-0.0024275-0.00032477i,-0.0028292-0.00057596i,-0.0047022+0.00026169i,-0.0043196+0.00061572i,-0.0023281+0.0010791i,-0.00048189+0.0016529i,0.00053489+0.0010957i,0.00086818+0.00056322i,0.0014005+4.1035e-05i,0.001793-0.0009711i,0.0013946-0.00091521i,0.0010272+5.46e-05i,0.0015917+0.00026032i,0.0013887+0.00055167i,0.00014663+0.00039154i,-0.00033053-0.00028103i,-0.00052837-1.1439e-06i,-0.00072652+0.000642i,-0.00072712+0.00029563i,-0.0002364+1.3949e-05i,-0.00020228-8.0011e-05i,-0.0012576-0.00049295i,-0.00081661-0.00072943i
0.00094038+0.00042688i,-0.00024695-2.6778e-05i,4.8591e-05-0.00072069i,0.00068647-0.00094975i,-3.2089e-05-0.0011873i,-0.00045982-0.0002298i,-0.00019481+0.00088491i,0.00047018-5.2855e-05i,0.0014901-0.0011392i,0.0017849-0.0010785i,0.0011606-0.00030348i,-0.00014296+0.00014459i,-0.00041076-0.00023385i,0.00032853-0.00072641i,-0.00038875-0.00080662i,-0.00045902-0.00064263i,0.00017905-0.00062749i,-0.00037473-0.00045479i,-0.00065046-2.9313e-05i,-0.00038473+0.00078139i,-9.8143e-05+0.00081406i,0.00025621+0.00086741i,0.00020068+0.0010932i
0.0017776+0.00019063i,0.0009705+0.0010714i,0.00034501+0.00043461i,-0.0002821+0.00017206i,-0.00039224+0.00071498i,0.00047831+0.00087409i,0.0012224-8.6028e-05i,0.00057969-0.00044339i,-0.00018211-0.00017309i,-0.0002338-0.00074368i,-9.554e-05-0.0014331i,0.000354-0.00084347i,0.00072616+0.00016682i,0.00075834+8.9594e-05i,0.00062424-0.00076147i,-0.00017933-0.00091267i,-0.00060214-0.00033763i,-0.00045447-0.00037365i,-0.00036224-0.00053989i,-0.00031866-0.00037379i,-1.0483e-05-0.0006719i,0.00017061-0.00054673i,0.0007351+0.00015917i
-5.4248e-05+0.0018264i,0.00012365+0.0012169i,-0.00015388+0.0016525i,-0.00017025+0.00093744i,0.00075805+0.00054899i,0.00205+0.00038651i,0.0018035+1.7185e-05i,0.00060101-0.00036717i,0.00065649-0.00045888i,0.00077791+0.0005029i,0.00041662+0.00037557i,0.00077983-0.0004695i,0.0013352-0.00069859i,0.0013686-0.00060333i,0.0017107-0.00038286i,0.00092332+0.00015027i,-0.00019027+0.0005628i,-0.001092+0.00056734i,-0.0015122+0.00034538i,-0.00071499+0.00057764i,-0.00057893+0.0006672i,-0.0006727+0.00018716i,4.3962e-05+0.00027575i
-0.00045996-0.00042771i,-0.0018346-0.00067074i,-0.002204+0.00046085i,-0.0012938+0.0016228i,0.00016389+0.0013381i,0.0011153+0.0007332i,0.0009467+0.00026269i,0.00050219-0.00014971i,0.00022204-0.00029996i,0.00013095-0.00053321i,0.0001905-0.00085118i,0.00064752-0.00055497i,0.0006116-0.00083046i,0.00033315-0.00090953i,0.00012585+8.5564e-05i,-0.00073069+0.00041309i,-0.0014788-0.00022033i,-0.0013792-0.00022413i,-0.0009118+0.00044518i,-0.00056283+1.6864e-05i,5.0492e-05-0.00027801i,0.0010206+0.00018838i,0.00078539+0.00029952i
0.0002457+0.0016664i,0.00081812+0.0017523i,0.00078362+0.0019329i,0.00084629+0.0022247i,0.00040885+0.0022396i,0.00058845+0.00099964i,0.00064962-0.00054094i,0.00027786-0.0011549i,-0.00014917-0.00039432i,-0.00049919+0.00013129i,-0.0002284-0.00039845i,0.00024232-0.00069375i,0.00093822-0.00093933i,0.00080307-0.0007911i,-2.0439e-06-2.0713e-06i,-0.00019585-0.00011743i,0.00011761-0.00047114i,0.00021241-0.00032252i,-0.00040966-0.00018112i,-0.0007293-0.00029331i,-0.00064484-0.00017275i,0.00028301+0.00049821i,0.00046752+0.00077006i
0.0014239+0.00082165i,0.0009532+0.00052929i,0.0016172-0.00023045i,0.0012045+0.00071228i,0.00061576+0.0005359i,0.00011087+0.00051794i,0.00038134+0.0010191i,0.00078554+0.00056501i,0.00070106-0.00054343i,0.00099984-0.00087624i,0.00057674-0.00038599i,-9.069e-06-6.4522e-06i,1.9231e-05+0.0010621i,-0.00043947+0.00051544i,-0.0008179-0.0010323i,-0.0008992-0.0016007i,-0.00078326-0.0014557i,-0.00016753-0.00062007i,0.0008042+9.4781e-05i,0.001324+0.0002767i,0.00052693-5.365e-05i,-0.00045016-0.00040451i,-0.00086197-0.0010597i
-1.6033e-05+0.00066777i,0.00089606+0.00092549i,0.0019394+0.00047479i,0.0015906-8.4561e-05i,0.00060249-0.00082793i,0.00010601-0.001723i,2.7728e-05-0.0018061i,9.5607e-05-0.001127i,0.00025694-0.00073508i,0.00030554-0.00044397i,0.00019742-0.00028624i,0.00028847-0.0007238i,0.00046145-0.0010837i,0.00052968-0.0012748i,-0.0001898-0.00086363i,-0.001045-0.00018034i,-0.001017+0.00037449i,-0.00081018+0.00061308i,-0.00018379-8.9163e-05i,0.0001099-0.00078025i,-0.00029277-0.0012781i,0.0001829-0.00083956i,0.00030715-0.00057576i
0.00080923+0.0012977i,0.00088846+0.00068468i,0.0019784+0.00044702i,0.0026434-0.00060913i,0.001819-0.0009264i,0.00088039+9.8362e-05i,0.0010578+0.00021877i,0.0008491+0.00020516i,8.9583e-05+0.00034512i,0.00010771+0.00013295i,0.00021891-0.0005784i,-9.3245e-05-0.0004762i,-0.00047951-0.00036255i,-0.00061653-0.00087827i,-0.00055188-0.0015747i,-6.7381e-05-0.001591i,0.00025492-0.0013657i,-0.00021187-0.00034644i,-0.00081787+2.6692e-05i,-0.00045562-0.00065225i,0.00015651-0.00069169i,0.00014436-0.00078367i,3.4212e-05-0.000514i
-0.00017223+0.0014305i,0.00040491+0.00053446i,-0.00020888+0.000522i,-0.0017289+0.00068985i,-0.0013687+0.00033798i,0.00038227-0.00038106i,0.00035321-0.0011818i,-0.00028726-0.0015711i,-0.00011111-0.0014468i,0.00021044-0.0009307i,-6.5662e-05-0.00022591i,-8.0268e-05+0.00025458i,0.00019887-0.00018733i,0.00059692-0.00047378i,0.00049579-0.00024019i,-0.00027381-0.00018441i,-0.00011939+3.7945e-05i,0.00033127-0.00060057i,0.00041083-0.00047194i,0.00068839+0.00043571i,8.5864e-05+0.00076895i,-0.00043794+0.00032681i,-0.00014194+0.00025243i
0.00085098+0.00083555i,0.00094653+0.0011244i,0.0010324+0.00075412i,0.00033935+0.000929i,0.00033806+0.0011092i,0.00032598+0.00037611i,0.00030357-0.00028131i,-1.477e-05-0.00073763i,-0.00033958-0.0014453i,4.8799e-05-0.0017056i,-4.7376e-05-0.00075104i,-0.00030691-0.00017938i,3.7118e-05-0.00041189i,0.00054509-0.00026679i,-0.00016444-0.00025556i,-0.0011726-0.00026982i,-0.0010588+0.00046468i,-0.0010141+0.00044236i,-0.00040613+0.00031108i,-0.00017789+0.00021297i,4.2728e-06-0.00018005i,0.00066394-0.00037211i,0.00052447-0.00036108i
-0.0024432+0.0014097i,-0.0027291+0.0010367i,-0.0019814+0.0023501i,-0.00090915+0.0030498i,0.00018676+0.0022413i,0.00056177+0.0006491i,0.00029786-0.00076287i,-0.00027449-0.0011601i,-0.00078627-0.0011408i,-0.00063357-0.00040257i,-0.00041715+0.00050979i,-1.8603e-05+0.00051743i,0.0012806+0.00041821i,0.0019301-0.00051692i,0.0020369-0.00078483i,0.00081012-0.00015258i,-0.00016351-0.00011638i,0.00032533-7.1882e-05i,0.0005687+2.0609e-05i,-0.00027122-0.00057086i,-0.00077845-0.0002057i,0.00032618+0.00060844i,0.00059519+0.00053544i
0.000755-0.0014523i,-0.00010694-0.00061648i,-0.00015191-0.00039105i,-0.00038986-4.3228e-07i,-0.0010521+0.00014619i,-0.00041249-0.00045253i,0.00079214-0.00093322i,0.00090855-0.00086905i,0.0001004-0.00052895i,-0.0005145-0.00019275i,-0.00080667-0.00051299i,-0.00028431-0.00046055i,-2.3782e-05+0.0003154i,-2.1516e-05+0.00033914i,-0.0002773-0.00019184i,-0.0010774-0.0007062i,-0.00092707-0.0010556i,-0.00019299-0.00057763i,-4.23e-05-0.00014906i,-8.429e-05-0.00066021i,0.0002776-0.00076464i,0.00080265-0.0006452i,0.0005478-0.00024074i
-0.0010111+0.0012998i,-0.0012628+0.0010237i,-0.0012186+0.0011885i,-0.00077748+0.0018801i,0.00039212+0.0014544i,0.00047025+0.00021847i,-0.00086431-0.00053482i,-0.001267-0.00087008i,-0.00024719-0.00059683i,0.00016839-0.00019954i,0.00037659-0.00087822i,0.00070958-0.001025i,0.00045725-2.3595e-05i,0.00092194+0.00022648i,0.0012965+0.000139i,0.00076659+0.00044422i,-3.0208e-05+0.00075924i,-0.0005104+0.00016322i,-0.00025471+0.00023064i,0.00012609+0.00075176i,0.00018621+9.822e-05i,0.00025698-0.00071244i,-0.00032852-0.00067403i
-0.0020853-0.00031521i,-0.001475+0.00095906i,-0.001005+0.0028589i,-0.00047028+0.0037524i,-8.1032e-06+0.0027176i,0.00078993+0.00069i,0.00072689-0.00069125i,0.00031815-0.00082381i,0.00027206-5.9037e-05i,0.00053475+0.0005472i,0.00041399+9.9547e-05i,0.0005656-0.00071403i,0.0013806-0.00078462i,0.0010711+0.00018867i,0.00078049+0.00014792i,0.00099916-1.2595e-05i,0.00022357+0.00036541i,-0.00054426+0.00052499i,-0.00063131+0.00061789i,-0.00028679+0.00083802i,-0.00030403+0.00069524i,0.000321+0.000264i,0.0012675+0.00019218i
-5.9843e-05+0.0010243i,-0.00031664-7.6449e-05i,-0.0012724-0.0019039i,-0.0010735-0.0016006i,-0.0001908-0.00028024i,0.00041902-0.00032884i,8.9341e-06-0.00058647i,-0.001139-0.0011607i,-0.0012506-0.0012182i,-2.6563e-06-0.00096229i,0.00055579-0.00044945i,-0.00013666+0.00057139i,-0.00034395+0.00012861i,0.00021203-0.00019719i,0.00039847+0.00023633i,-0.00014338-0.00042603i,-0.00048025-0.00086684i,-1.0587e-05-0.00048213i,0.0004856-0.00018996i,0.0011684-5.5403e-05i,0.0006538-0.00021226i,-0.00048908-0.00030776i,-7.1226e-05-0.00013573i
0.0018229+0.0023391i,0.00036648+0.0030859i,0.00088742+0.0017947i,0.0011942+0.00051884i,-7.0519e-05+7.0145e-05i,-0.00044786-0.00044171i,0.00055477-0.00063338i,0.00093945-0.00081685i,0.0005612-0.00088541i,0.00070575-0.0010861i,0.00065223-0.00083859i,0.00028248-0.00038294i,0.00029727-6.9533e-05i,0.00040949-0.00034945i,0.00087893-0.0013255i,0.0002181-0.00097634i,-0.001067+5.7365e-05i,-0.00095305+0.00066731i,-4.6214e-05+0.00059037i,0.00036312+0.0005i,6.801e-05+0.00056514i,-9.5551e-05-0.00039563i,0.00039456-0.00045483i
-0.00068544+0.00059578i,-9.502e-05+0.0012263i,-0.00087897+0.0017183i,-0.0011906+0.0027449i,-0.00017268+0.0030078i,0.00076308+0.00075217i,0.00098498-0.000677i,0.0010869+0.00011967i,0.0013223+0.00023713i,0.00087656-0.00040128i,-0.00010656-0.00085249i,-0.00027915-0.00066049i,-0.00028477-4.343e-05i,0.00050589-0.00017135i,0.00041621+6.1563e-05i,-0.00059748+0.00031609i,-0.00067607-0.00055755i,-0.0001446-0.00081563i,0.00039273-2.6676e-05i,0.00016094+0.00045418i,-0.00017595+0.00026709i,0.00028323-1.2086e-05i,0.00069369-0.00033089i
-0.0013453+0.00097553i,-0.00288+0.00045248i,-0.0028476+0.00097494i,-0.003108+0.0011409i,-0.0023464+0.00058701i,-7.6072e-05+9.3126e-06i,0.00088878-0.00029932i,6.1401e-05-0.00047142i,2.153e-05-0.00058486i,-8.9706e-05-0.00045698i,-0.00077558-0.00071438i,0.00013745+6.0016e-05i,0.00064646+0.00048798i,0.0010233+0.00033402i,0.0013097+0.00028864i,0.0010732-5.7801e-05i,0.0013157+0.0004115i,0.00050367+0.00074208i,-0.00038702+0.00095199i,0.00013843+0.00036605i,0.00070205-0.00035321i,0.00063496-0.00042721i,0.00057432-0.00056253i
-0.00013185-0.00085458i,-0.00083425-0.0016444i,-0.00093977-0.0017513i,-0.00070703-0.00024099i,-0.00052808+0.0016306i,0.00027473+0.0018158i,0.00068218+0.00019731i,9.2807e-05-0.0011592i,4.8717e-05-0.0011233i,0.00017982-0.00034133i,-0.00024328-0.00017672i,0.00017189-0.00011707i,0.00072885-3.6233e-05i,0.00081401+0.00014536i,0.00057893+0.00042398i,6.1258e-05+0.00016775i,-0.00039067+9.2398e-05i,-0.00034075+0.00017843i,-0.00013428+0.00013885i,0.0002961-0.00022693i,0.00076402+6.9503e-05i,0.0007766+0.00065409i,0.00045077+0.00042804i
-0.00021244-0.00059852i,-0.00053041+0.00069567i,-0.00040827+0.0011999i,0.00028685+0.00093976i,0.0001339+0.0011074i,-0.00021338+0.0010445i,-0.00052941+0.00073891i,-0.0006813+0.00042381i,-0.0002427-0.00020149i,-6.9121e-05-0.00094966i,-5.4866e-05-0.0010892i,-7.0199e-07-0.00025147i,0.00070887+2.2897e-05i,0.0013549+0.00051191i,0.00075485+0.00011929i,-0.00015005-0.0010465i,-0.000311-0.00029092i,3.3233e-05+0.00055583i,7.6888e-05-2.7338e-06i,0.000102-0.00052652i,0.00034784-0.00055469i,0.00084463-0.00044367i,0.00073299+0.00043485i
7.5262e-05+0.0010526i,0.00074504-0.00037653i,-0.00020044-0.0008535i,-0.00073979-3.7098e-05i,-0.00065151+0.00042353i,-0.00051493+5.428e-05i,-0.00025483+0.00035391i,0.00021801+0.00046646i,0.00069623+0.00035272i,0.000371+0.00054813i,1.5061e-05+0.00017298i,0.00024132-0.00017319i,0.0012758-0.00032124i,0.0019783-0.00068312i,0.001296-0.0011743i,-8.4057e-05-0.0011592i,-0.0010906-0.0005485i,-0.0015595-0.00019263i,-0.0011807-0.00044962i,-7.8966e-05-0.00052683i,0.00032132+0.00052427i,0.00043032+0.0011748i,0.0005762+0.00046408i
5.1065e-05-0.00079988i,0.00057079-0.0012582i,0.00042963-0.00078542i,-0.0013774+0.00030461i,-0.0019317+0.00099128i,-0.00046342+0.00028776i,-0.00015013-0.0015105i,-0.00021716-0.0011283i,0.00049152+0.00029081i,0.00094323-0.00021286i,0.00058905-0.001212i,-3.6024e-05-0.001038i,-0.00060315-0.00044232i,-0.00052656+2.5283e-05i,8.6724e-05+2.3447e-05i,0.00019801-0.00023052i,1.6088e-05-0.00012039i,-0.00049629+6.6386e-05i,-0.00043733+0.0004283i,2.4277e-05+0.00069176i,0.00031927+0.00035954i,0.00051098-0.00023322i,-3.5675e-05-0.00039294i
-0.0011262+0.00090877i,-0.0011935+0.00045948i,-0.001138+0.00077573i,-0.00076474+0.0010552i,-0.0008401+0.00099234i,0.00036887+0.00049898i,0.0013176-0.00018357i,0.0011463-0.00011223i,0.00082202+0.00017892i,0.00018236+0.00030965i,0.00031149-0.0004986i,0.00037384-0.00066337i,0.00060839+0.00016766i,0.00112+0.00010491i,0.00056047-0.00096147i,-0.00047957-0.0010289i,-0.00086667-0.00036808i,-0.00069643+4.3717e-05i,-0.0007539+0.00091982i,-0.00073926+0.0012662i,-0.00034157+0.00043908i,-8.6016e-05+0.00027665i,0.00060232+0.00062301i
-0.00069575-0.0002489i,-0.00064684-0.00010273i,-0.0020806-0.00012987i,-0.00242-0.00037654i,-0.00094696-4.7375e-05i,0.0004643+0.00053279i,0.00099635+4.0618e-05i,0.00059615-0.00058766i,0.00054816-0.00055153i,0.00033753-0.00074359i,-0.00054191-0.0011821i,-0.00066565-0.0003437i,0.00060066+0.00044577i,0.0010904+0.00035237i,0.00042632+0.00020785i,0.00018606+4.466e-05i,-6.0123e-06+0.0001969i,-0.00031117+8.5131e-05i,-0.00019-0.00016773i,-0.00020215-0.00071987i,-0.00030441-0.00069635i,-4.623e-05+0.00034408i,8.8317e-05+0.00034652i
-0.00098759-0.00012591i,-0.0016175-0.00011357i,-0.0031415-0.00042335i,-0.0024349-0.00029562i,-0.00020769+0.00062005i,0.00062755+0.00076715i,0.0012869+0.00082141i,0.00086409+7.2925e-05i,0.00031759-0.0007607i,0.00028827-0.0010713i,-0.00060898-0.00083539i,-0.00092206-0.00047225i,-6.2428e-05+4.3167e-06i,5.662e-05+0.00050594i,-0.00072317+0.00011502i,-0.0012944-0.00053209i,-0.00095611-0.00035967i,-2.7547e-05+0.00050065i,0.00052904+0.00069874i,0.00035891+0.00015218i,0.00018391-0.00016749i,-0.00046937-0.00013838i,-4.9897e-05-0.00086161i
0.0013497-6.0545e-05i,0.0011416-1.6854e-05i,0.00020325-0.00011043i,-0.0001137-0.00029061i,0.00017589-0.00013335i,0.00019836-0.00064762i,0.00080826-0.00080393i,0.0014182-0.00049042i,0.0011989-0.00012284i,0.0010004-0.00015415i,5.5083e-05-0.00043027i,-0.0007046-0.00082865i,-0.00052241-0.0010844i,0.00039023-0.0010332i,0.0010414-0.00095902i,0.00040851-0.00047131i,-0.00023526-0.00056288i,-0.00034044-0.00079253i,-0.00058901-0.00061459i,-0.0004631-0.0008411i,-3.0164e-05-0.00084561i,0.00030862-0.00015344i,0.00033314+0.00022405i
0.00044352-0.0007808i,-0.00074312-0.00040353i,-0.0011649-0.0011491i,-0.00053458-0.0010279i,-0.00036667-0.0002853i,-4.9045e-05+0.00037964i,0.00054566+0.00033052i,0.0013887-8.1717e-05i,0.0020768+0.00014687i,0.0016913-0.00020352i,0.0008886-0.000912i,0.00010484-0.00036372i,-0.00010028+0.0002639i,-0.00021335-0.00012428i,-7.9659e-05-0.00088357i,-0.00012928-0.0012913i,-0.00048381+5.9068e-06i,-0.00059631+0.0013012i,-0.00069695+0.00094984i,-0.00087544+0.00037891i,-0.001289+0.00020311i,-0.00071776+0.00050634i,0.00036235+0.0002924i
-0.000492-0.0002732i,5.5e-05+0.0010757i,-0.0010985+0.0023806i,-0.001684+0.0022627i,-0.00049593+0.0015693i,0.0011659+0.00088034i,0.0016229-6.924e-05i,0.0015239-0.00090179i,0.0013879-0.0010073i,0.0010482-0.00066644i,0.00067361-0.00043784i,0.00013213+3.7206e-06i,0.00039455+0.00013961i,0.00062943-0.00014464i,0.00011197+0.00010772i,8.146e-06+0.00020095i,-0.0002309-0.00016529i,-0.00092649-0.00022169i,-0.00096942-0.00021613i,-0.00047603-3.136e-05i,-5.0516e-05+2.0565e-05i,0.00015258-0.00052068i,0.00020547-0.0006329i
0.00054709-0.00063935i,7.5784e-05-0.0011653i,3.2994e-06-0.0021192i,0.00034343-0.0016655i,0.00040284-0.00052095i,0.00076253+1.743e-05i,0.00094976+0.00019623i,0.00069157+0.00058476i,0.00038175+0.00021245i,0.00053126-0.0007138i,0.00042313-0.0011332i,0.00047357-0.00030962i,0.00055972+0.00081636i,0.00020381+0.0010703i,-0.00021689+0.00056864i,-0.00062365-0.00027981i,-0.00095924-0.0012209i,-0.00074415-0.00082588i,-0.00016144-0.00010199i,5.4589e-05-0.0006088i,-0.00018501-0.00061393i,-0.0003493-0.00022328i,0.00027499+0.00030008i
-0.001716-0.0014791i,-0.0026297-0.0012771i,-0.0041999-0.0012967i,-0.0039008+1.2812e-05i,-0.0022347+0.0018641i,-0.00020544+0.0014085i,0.0011392+0.00030775i,0.0010016+0.00012478i,0.0005748-0.00034429i,0.00057748-0.0001698i,-0.00076231-4.865e-05i,-0.0018753+6.3775e-05i,-0.00096808+0.00032946i,-1.8828e-05-5.9344e-05i,-0.00021505-0.00046982i,-0.00016143+0.00021378i,-0.00059886+0.00018904i,-0.00086294-0.00014824i,8.7852e-05+0.00054246i,0.0003729+0.00086662i,-0.00032182+0.00013552i,-3.9183e-06-5.24e-07i,4.4001e-05+0.0007177i
3.8563e-05-0.00064513i,0.00072746+0.00053072i,-0.00013428+0.001172i,-0.0004399+0.00071009i,-0.0002474+0.00029162i,0.00027571+0.00015109i,0.00094597-0.00011622i,0.0011445-0.00062332i,0.0010464-0.00061602i,0.00010237-0.00012441i,-0.00043673-8.6889e-05i,0.00029904-0.00042164i,0.00031888-0.00025799i,-3.6259e-05+3.766e-05i,0.00042351-0.00043386i,0.0013555-0.00050919i,0.001248+0.00034784i,0.00024819+0.00082801i,-7.0169e-05+0.00055613i,-0.0001746+0.00088705i,1.9208e-05+0.00097676i,0.00019968+0.00037427i,0.00021199+0.00016851i
