-0.0014896+0.00091094i,0.0005037-0.0015612i,0.00032325-6.8071e-05i,0.00094988+0.0025787i,0.0017164+0.0044802i,0.0028435+0.0040897i,0.0030624+0.0024178i,0.0016171+0.0019799i,0.0010209+0.0013297i,0.0015046+0.00073395i,0.0011309-0.00052307i,0.00047008-0.0020601i,0.00032186-0.0015192i,-0.00020059-0.0010974i,-0.00076249-0.0009866i,-6.2883e-05-0.00060663i,0.00021502-0.00084949i,-0.00018565-0.00055461i,-0.00035825-0.00048066i,-0.00029373-0.00072148i,-1.5e-05-0.00051658i,0.00011831+1.3032e-05i,0.00022349-0.00031942i
0.00037892+2.757e-05i,-0.0002887+0.0017851i,-0.00078734+0.0026996i,6.21e-05+0.002044i,0.00098549+0.0010946i,0.00084837+0.0013069i,0.0011436+0.0012347i,0.0016328-0.0003699i,0.0015505-0.00088344i,0.0007058-0.00020838i,-0.00034537-6.8768e-07i,-0.00049901+0.00045703i,-0.00036154+0.00072884i,-0.00040468+0.000725i,7.3421e-06+0.00066956i,0.00045026+3.7872e-05i,0.00058666+2.8565e-05i,0.00028124+0.00057242i,-2.5903e-05+0.0007094i,0.00013041+0.00037005i,0.00043746-0.00040429i,3.635e-05-0.00084978i,0.00013674-0.00033503i
0.00053945+0.00038844i,0.00043764-0.00030388i,0.00099353-0.00027509i,0.0011007+0.00011724i,0.00084892+0.0016065i,0.00091453+0.0020582i,0.00055802+0.0020089i,-0.00023222+0.0022036i,-7.5523e-05+0.001487i,-0.00015101+0.000518i,-0.00050132-0.00026898i,0.00018448-0.00021239i,0.00032109-0.00021284i,-0.00028491-0.00057261i,-0.00016419+5.321e-05i,-0.00049834+0.00076458i,-0.00084854+0.00097089i,-0.00094868+0.0008206i,-0.00084154-0.00011945i,0.00022271-0.00079653i,0.00043928-0.00037721i,-0.00056743-0.00025519i,-0.00035117-0.00033276i
0.0011362+0.0015443i,0.0012193+0.001154i,0.0015324-0.00060239i,0.0014096-0.0008672i,0.0010347+0.00023285i,0.00054337+0.00098947i,0.00055276+0.0014055i,0.0011086+0.0013347i,0.0010973+0.0014037i,0.00020532+0.0011275i,-3.0079e-05+0.00029162i,-0.00071639+9.2092e-05i,-0.0013606+0.00037834i,-0.00054138+0.00069901i,9.7315e-05+0.00080426i,0.00024439+0.0011073i,0.00045779+0.00071151i,0.00012012+0.00034489i,-0.00022753+0.00020565i,0.00026344+0.00016436i,0.00069431+0.00022902i,0.00054376+9.2507e-05i,8.8623e-05+0.00017808i
-8.1911e-05-0.0014948i,0.0002462+0.00076545i,-0.001083+0.0020219i,-0.0019534+0.0024592i,-0.0018351+0.0023355i,-0.00027192+0.0020202i,0.001832+0.001079i,0.002182-0.0003695i,0.00081499-0.0014422i,-0.00040808-0.0011883i,-0.00021664-0.00042601i,6.9941e-05-0.00037936i,0.0002104-0.0003249i,0.00053245+0.00015107i,0.00071514+0.00089635i,0.0003789+0.00067075i,0.00088197-0.00030684i,0.0012768-0.00017959i,-7.4094e-05+0.00029443i,-0.00077138+0.00015047i,-4.5791e-05-0.00016439i,0.00022475+0.00038928i,0.00051787+0.00069053i
0.001225+0.00057383i,-0.00032481+0.00026246i,0.00013422-0.00078486i,-0.00020027-0.0010368i,-0.00082558-0.00083855i,-0.001632+0.00029417i,-0.0014381+0.0010013i,-7.9041e-05+0.00093726i,0.00094252+0.00087049i,0.00081184+0.00044613i,0.00033012+4.3686e-05i,-0.00066598-0.0002265i,-0.0010781+0.00017488i,-0.00011791+0.00086889i,0.00036924+0.0010392i,0.00035538+0.0012296i,0.00012354+0.001686i,-0.00034813+0.0012627i,-0.00051177+3.8526e-05i,-0.0010101-0.00081443i,-0.0011908-0.00083681i,-0.0008632+0.00018717i,-0.00057159+0.00028197i
-0.00038755+0.001002i,0.00061456+4.1315e-05i,0.0013953+0.0008469i,0.0023146+0.0016118i,0.0035622+0.00077936i,0.0023812-5.6292e-06i,0.00040345+9.6212e-05i,0.00012283+0.00041393i,0.00036101+0.00095962i,0.00038614+0.0013563i,0.0002709+0.0011188i,0.00028971+0.00063969i,-0.00038331+0.00056915i,-0.00060648+0.00044524i,4.5101e-05-1.2698e-05i,-0.0001974-0.00022636i,-0.00031646-0.00022581i,-0.00016539-0.00022092i,-0.00046396-3.2454e-05i,-0.00027683+8.7042e-05i,0.0003397+3.0018e-05i,0.00074343+0.00035858i,0.00085747+0.00017685i
0.001935-0.00048258i,0.0019313-0.00057782i,0.0024226-0.0016554i,0.001411-0.00096836i,-0.00039166+0.00078493i,-0.00080529+0.0010022i,0.00037762+0.00094296i,0.00046895+0.0010243i,-0.00019791+0.0002653i,-0.00087339-0.0001166i,-0.0013614-6.6136e-05i,-0.00075772+0.00032066i,-8.8405e-05+0.0008745i,6.7365e-05+0.00039835i,0.00035188-0.0001546i,0.00083551+5.0564e-05i,0.0004291+0.00034188i,0.00012339+0.00033034i,0.00025329-0.00016002i,-0.00035276+9.6039e-05i,-0.00032789+0.00023629i,0.00022211-0.00011697i,1.6322e-05-2.8239e-07i
0.00089222+0.0012076i,-0.00022893+0.0015092i,0.00025055+0.0028642i,0.0020887+0.0027296i,0.0022858+0.0022113i,0.0022136+0.0020684i,0.0025447+0.0014591i,0.0014556+0.00067128i,0.0003579+0.00046696i,0.00069465+0.0003534i,0.0010547-2.2959e-05i,0.0011376-0.00065753i,0.001319-0.00032296i,0.00039641+0.00081805i,-0.00074964+0.0010452i,-0.00049758+0.00042182i,-0.00062223+0.0003382i,-0.000638+0.0005638i,-0.0001921+0.00040984i,-0.00078062+0.00054231i,-0.0010428+0.00039908i,-0.00059161-0.00023193i,0.00032787-0.00058501i
-0.0018565-0.00031359i,-0.002819-0.00027978i,-0.0025266+0.00039223i,-0.0015451+0.0014638i,-0.00054677+0.0019624i,-0.00016742+0.0025628i,-0.0002432+0.0016885i,-0.00016112+0.00049434i,-0.00030098-0.0006206i,-0.00026003-0.00067328i,0.00041014+7.7033e-05i,0.00025409+0.00010343i,-7.1399e-05+0.00059236i,-0.00026077+0.00059098i,-0.00067165+0.00011897i,-0.00091786+0.00039505i,-0.0010805+0.00028105i,-0.00048026-0.00036807i,0.00013404-0.00026316i,0.00017404+6.1815e-06i,-8.645e-05-0.00062072i,-4.8645e-05-0.0007692i,-0.00011509-0.00057242i
0.00032624+0.0017418i,0.0015596+0.0014522i,0.0019203+0.0010903i,0.0017+0.0017779i,0.0011469+0.0018861i,0.00096709+0.0019227i,0.00093646+0.0017626i,0.00052519+0.00082801i,0.00044591+0.00051167i,0.00032447+0.0008002i,-2.3315e-05+0.00042454i,-0.00015185+4.2547e-05i,0.00024104+0.00022747i,-0.00018341+0.00011646i,-0.0010134+5.0058e-05i,-0.00067196-4.0926e-05i,-0.00010327-0.00039876i,9.7139e-05-0.00046587i,-7.455e-05-0.00039893i,-0.00026845-0.00015617i,-1.2022e-05+0.00067941i,-0.00051295+0.00081321i,-0.00071661+0.0002748i
0.00011485-0.00030422i,-0.00022516+0.0002309i,-0.001177-0.0013675i,-0.0014832-0.0019216i,-0.00091047-0.00029131i,0.00042203+0.00083816i,0.0010212+0.00083055i,0.00053021+0.00058019i,0.00015736+0.00019484i,-0.00017934+0.00011031i,-3.1212e-05+0.0008217i,0.00026168+0.00059038i,0.00012475-5.7741e-05i,0.00083786+0.00033145i,0.00085223+0.0006447i,-0.00056879+0.00068339i,-0.0014699+0.00034581i,-0.00024123+5.1048e-05i,0.00055834+0.00056436i,-2.2124e-05+0.00048346i,-4.2755e-05+0.00043994i,0.00013626+0.00078614i,-0.00018262+0.00027768i
0.00055937-0.001491i,0.00027711-0.0013403i,-0.00051705-0.00073133i,-0.00046402+0.0014001i,-0.0002427+0.002162i,0.00030276+0.0024192i,0.0014755+0.0023917i,0.0015754+0.0013856i,0.00042609-3.8234e-05i,-0.00051912-0.00015647i,-0.00019023+0.0001611i,0.00031285-0.00020097i,-0.00013138-0.00071269i,0.00029409-0.00034514i,0.00056682+0.00021426i,-3.5915e-05+0.00027787i,-0.00020724+0.00037785i,-9.6876e-05-0.00018925i,0.00040818-0.00018168i,0.0003147+0.00033224i,0.00020137+0.00028693i,0.0002949-0.00043177i,-0.00012795-0.00064096i
0.00098273+8.2769e-05i,0.00034868+0.0010658i,0.00032096+7.6782e-05i,0.00016594-0.00049654i,-0.00026885+0.00052979i,-0.00022078+0.0019516i,0.00016145+0.0022825i,0.0003475+0.0012283i,0.00029761-4.4747e-05i,0.00013677-0.0006274i,6.7458e-05-0.0003123i,-0.00026757-0.00041551i,-5.5342e-05-0.00058325i,0.00036323-0.00018699i,0.00060231+0.0001338i,0.00039986+0.00026188i,0.00046397-0.00023796i,0.0011336-0.00070086i,0.00052358-0.00079822i,-0.00063107-0.0009211i,0.00031136-0.00046244i,0.00073122+0.00017829i,-0.00068103+0.00085623i
0.0010287-0.00045975i,0.0011584+0.00017796i,0.0015677+0.00086292i,0.00095167+0.00040525i,-0.00025378+0.00071918i,-0.00026493+0.0016i,0.00028834+0.0014183i,0.00047767+0.00088562i,0.00019088-0.00017149i,0.00012085-0.0012403i,9.6789e-05-0.00085362i,0.00041542-0.00062866i,0.00076982-0.00064688i,0.00078535-0.00029996i,0.00033806+0.00011571i,-2.1226e-05+0.0003015i,0.00015435+0.0003844i,-5.5077e-05+0.00041181i,-0.00030766+0.00023764i,-5.209e-05+0.00046588i,6.6121e-05+0.00068382i,-0.00043509-6.8627e-05i,-0.00080338-0.00094501i
-0.0010219-4.1798e-05i,0.00035799+8.8705e-05i,0.00082687+0.00056182i,0.00049588+0.00078164i,0.00033186+0.00087258i,0.00096475+0.0011454i,0.0013679+0.0010404i,0.0011074+0.00088771i,0.00054041+0.00088631i,-0.00013838+0.00024751i,-0.00043328+8.2908e-05i,-0.0004887+0.00069723i,-0.00013644+0.00055185i,-0.00057012-0.00079397i,-0.0010129-0.0011804i,-0.00044479-0.00060095i,4.8434e-05-1.2443e-05i,-0.0002758+0.00065174i,-0.00035313+0.00022127i,0.00049403-0.000326i,0.00092417-0.00019228i,0.00062856-0.00038691i,0.0005714-0.00031606i
0.001078+0.00031293i,-0.00039494+0.0012488i,-0.00099824+0.0013088i,-2.326e-06+0.0009935i,0.00051253+0.00080538i,0.00074001+0.0016072i,0.0012355+0.0014511i,0.001752+0.00083762i,0.00091542+0.00065198i,0.000119+0.00030472i,0.00019041+0.00041889i,0.00016564+0.00031659i,0.00041573+0.00024373i,-9.6041e-05+0.00058744i,-0.00054454+0.00025579i,-0.00025105+0.00025672i,0.00030191+0.00074865i,0.00041252+0.00057219i,-0.00015598+0.00013088i,-0.00016249-0.00014234i,0.00022429-3.4968e-05i,0.00055755-7.1067e-06i,0.00069507-0.00025933i
-0.0018195+0.00024129i,-0.0017434-0.00012102i,-0.0014558+0.0015639i,9.3026e-05+0.0023835i,0.0007915+0.0016725i,0.00065255+0.001661i,0.00064129+0.0012674i,0.00010665+0.0004788i,0.00021373+0.00038184i,0.00033077+0.00051964i,-0.00067022+0.00058959i,-0.00081609-0.00038054i,-0.00018746-0.0011946i,-0.00034253-0.00073654i,-0.00046073+0.00036787i,-0.00079589+0.00051475i,-0.00022331+0.00068425i,0.00087868+0.00052564i,0.00086514+7.0402e-05i,0.00079733-0.00012291i,0.00014108+0.00037361i,-0.00076229+0.00059056i,-0.00056718-0.000204i
0.000506+0.001033i,0.00090396+0.00084197i,0.0018108+0.001376i,0.0022752+0.0012821i,0.0023527+0.0015961i,0.0020128+0.0010808i,0.0014114+0.00057613i,0.0010257+0.0005872i,0.00048061+0.00029212i,-0.00022189-0.0003793i,-3.144e-05-0.0004194i,0.00074939-0.00073977i,9.4299e-05-0.0009691i,-0.00078121-0.0003698i,-0.00067432+0.00038877i,-0.00084106+0.00025942i,-0.0011992-0.00044254i,-0.0006734-6.0493e-05i,-0.00042407+0.00062019i,-0.00051575+0.00040961i,0.00041595+0.00028353i,0.00026204+0.00053507i,-0.0010478-0.00061007i
0.0003596+0.0012211i,-0.00050381+0.00070443i,-0.00044249-0.00055664i,0.0001239-0.00074065i,7.592e-05+8.4002e-05i,-0.00061444+0.00067246i,0.00019186+0.0013525i,0.0011314+0.00090947i,-8.6032e-05-0.00027512i,-0.00043327-0.00091783i,0.00022133-0.00088906i,-0.000299-0.00051531i,-0.00082165-0.00068858i,-0.00067044-0.00088854i,0.00010605-0.0005638i,0.00033208+0.00053004i,-7.8127e-05+0.0010497i,-0.00017455+0.00035149i,2.2732e-05+0.00049957i,-0.00039483+0.00072295i,-0.00037001-0.00016224i,0.00013588-0.0010556i,-0.00033507-0.0011234i
-0.0016076-0.00060275i,-0.00053892-0.00066347i,0.00023923-0.00012977i,0.00091136+0.0018096i,0.0023188+0.0028501i,0.0031763+0.0028357i,0.0023098+0.0021889i,0.00095818+0.0013274i,-6.4775e-05+0.00060564i,-0.00080809-0.00062722i,-0.00076612-0.0016241i,-0.00041364-0.0015651i,7.1824e-05-0.0013669i,-0.00052565-0.0011263i,-0.0006857-0.00024827i,0.00026732+0.00022047i,-6.7035e-05+3.1505e-05i,-0.00089408-0.00027779i,-0.0007937-0.00026843i,6.4723e-05-3.1646e-05i,0.00072321+0.00010859i,0.0002638+0.00010525i,0.0005738+0.00022643i
0.0019717+0.0010452i,0.0018632+0.0020289i,0.0019539+0.0020332i,0.0012158+0.00095071i,0.00084049+0.00014162i,0.00063338+0.00050632i,0.00091442+0.0011307i,0.00050459+0.00058177i,0.00022682-0.00031647i,0.00036967-0.00073505i,0.00024647-0.0013092i,0.00039576-0.0012492i,0.00048511-0.00023825i,0.00040908+0.00053615i,0.00038005+0.00042046i,0.0002848+0.00065751i,0.00017957+0.0010674i,-4.2472e-05+0.00055933i,-0.00023877-0.00064763i,-0.00036748-0.0011255i,-0.00089793-0.00065843i,-0.00048662-0.00023479i,0.00025106+0.00025659i
-0.00047223+0.0013265i,-0.0013616+0.0013869i,-0.0012697+0.0018752i,-0.00021287+0.0021089i,0.00063567+0.0021835i,0.00077401+0.0027538i,0.00064379+0.0022839i,0.00063117+0.00056477i,0.0011444-0.00063108i,0.0015784-0.0009584i,0.0015219-0.0010654i,0.0015191-0.0005053i,0.00047593+0.0003282i,-0.00043648+0.00044099i,-0.00065149-3.9368e-05i,-0.00060631+5.6316e-05i,-0.00018921+0.00060663i,-0.00038363+0.0001965i,-0.00076847-7.1688e-05i,-0.00093253+0.0004654i,-0.00067434+0.00015547i,0.00028634-0.00053136i,0.00085854+4.5598e-05i
-0.00092958-1.1209e-05i,-0.0011232+0.00013642i,-9.3509e-05-0.000578i,0.0018225-0.00035746i,0.0024883+0.0018558i,0.0029882+0.0028041i,0.0033956+0.0014202i,0.0020959+0.00047232i,0.00071002+0.00054795i,0.00023855+0.00060329i,0.00041001+0.00046169i,0.00074414+0.00074477i,0.00051956+0.00027396i,-5.6719e-06-0.0007949i,-0.00069687-0.00027196i,-0.00030362-6.73e-05i,0.00056176-0.00046209i,-0.00047605-4.7217e-05i,-0.00070444-8.4873e-05i,-2.1033e-05-0.0004935i,6.7853e-05-0.00038985i,0.0001596-2.2166e-05i,0.00037932+0.00040669i
0.00072636-0.00080334i,-1.1632e-05-0.00030655i,-0.00011188-0.00058437i,0.00015894-3.0155e-05i,-0.00025496+0.0010685i,-0.00075895+0.0018118i,-0.00029259+0.0020601i,0.00055425+0.0016026i,0.00088436+0.0011929i,0.00051893+0.00099686i,0.00010184+0.00065192i,0.00077445+4.1906e-05i,0.00070689-0.00063858i,8.1753e-05-0.00084399i,0.00031912-0.0010499i,0.00057401-0.00062025i,0.00062723+0.00064673i,0.0003077+0.0008323i,0.00024469+0.00063647i,0.00036133+9.0127e-05i,4.4612e-05-0.00053806i,-0.00021914-0.00021537i,0.00036048+5.3623e-06i
0.00041807+0.0006835i,0.00025853+0.00088811i,-0.00071899+0.0019953i,-0.00058268+0.0019325i,0.00038013+0.0015042i,0.00088257+0.0020334i,0.00058605+0.0013698i,-8.0026e-05-0.00035106i,-0.00074051-0.00080607i,-0.00047917-0.00026193i,-0.00011461-2.2648e-05i,0.00035088-0.00024701i,0.00065748-0.00073274i,-2.4887e-05-0.0005623i,-0.000296+0.00030087i,-0.00026206-2.7896e-05i,-0.0010423-0.00066491i,-0.0010029-0.00076969i,-0.00014773-0.00061621i,-0.0005509-0.0001628i,-0.0011848-0.00013696i,-0.00064528-0.00010189i,-1.8982e-05-0.0001531i
-0.0010897+0.0014283i,-0.00096812+0.0012977i,-0.00035752+0.0018788i,-0.00028224+0.0025397i,0.00066287+0.0029299i,0.0018405+0.0025087i,0.0013214+0.001264i,0.00081542-7.1154e-05i,0.00040364-0.00077634i,0.00035365-0.00024765i,-8.4236e-05+0.00017502i,-0.0010388+0.00058278i,-0.00095912+0.0011731i,-0.00095299+0.0010951i,-0.00086345+0.00062745i,0.00010143-5.9617e-05i,0.0005999-0.00022858i,0.00020253-1.7903e-06i,-0.00021422-0.00036085i,-0.00066459-0.00082727i,-0.00079499-0.00023884i,-0.00011779+0.00030319i,0.00013511-6.483e-05i
-0.00038925+0.00020778i,0.0007774+7.6237e-05i,0.0012906-0.00093339i,0.0010736-0.0019755i,0.0016011-0.0013622i,0.0013914-0.00015689i,0.00061453-0.00048082i,0.0004582-0.00068178i,0.00083415-0.00013242i,0.0007987-8.1108e-05i,0.0003675-0.00013431i,0.00014906+3.7078e-05i,0.0001591-0.00022056i,5.7905e-05-0.00064711i,-0.00030819-0.00011755i,-0.00027235+0.00060883i,0.00035417+0.00083913i,0.0008308+0.00084407i,0.00078039+0.00070452i,0.00030147+0.00034532i,-0.00029909+0.00031335i,-0.00037594-0.00014899i,0.0002799-0.00090488i
0.00056458-0.00069754i,0.00059493+0.0006005i,0.00107+0.00031732i,0.0015937+0.00092745i,0.0010625+0.0019949i,0.00093184+0.0030609i,0.0011143+0.0026799i,9.054e-05+0.00042601i,-0.00042008-0.00072315i,0.00033207-0.00022963i,0.00020183+0.00049127i,0.00021903+0.0012207i,0.00062264+0.0014411i,0.00039327+0.0012304i,0.00056747+0.0017103i,0.00064922+0.0014418i,-0.00020514+0.0001656i,-5.6787e-05-0.000733i,0.00037198-0.00073999i,0.00079165-0.00050234i,0.00078278-0.00019911i,0.00018632-3.2225e-05i,0.00014574-0.00067501i
0.0012359+0.00013237i,0.00019163+0.0003647i,0.00074967+0.00045524i,0.0017195+0.00043202i,0.0013286-7.7549e-05i,0.00072092-0.00037492i,0.00035684-3.9333e-06i,0.00034767+0.00033925i,0.00080638+4.0409e-05i,0.00066913-2.2527e-05i,0.00028988+6.0011e-05i,0.0001304+0.00011423i,-2.4398e-05-5.3552e-05i,-3.5427e-05-0.00018832i,0.00068576+2.9725e-05i,0.0012232+9.1055e-05i,0.00037915+0.00040195i,-0.00064635+0.0004341i,-0.0007011-0.0001038i,-0.0004648+0.0001235i,-0.00045471+0.00056407i,-0.00064281-0.00013544i,-3.2957e-05-0.00041129i
-0.00067482-0.00065332i,-5.8073e-05+0.0003674i,0.0001594+0.0021177i,-0.00013824+0.002715i,0.00023508+0.0021386i,0.0012575+0.0014534i,0.0012744+0.0010138i,0.0011191+0.0010269i,0.00030776+0.0011645i,-0.00055746+0.00050847i,-0.0005795-0.0003587i,-0.00062022-0.00065012i,-0.00030354+9.7416e-07i,5.9154e-06+0.00047837i,-0.00044623+7.1169e-05i,-0.00075748+6.179e-05i,-0.00014547+0.00067265i,0.0002764+0.00055891i,0.00057594+0.00037796i,0.00021568-0.00010693i,2.0067e-05-0.00051191i,0.00034748-0.00056309i,0.00012826-0.00058551i
0.00058316-0.00030107i,0.00026726+0.00040053i,-0.0004552+0.00014865i,-0.00023704+0.001106i,0.00031174+0.0025697i,0.00035551+0.0024206i,7.1598e-05+0.0014309i,-3.6933e-05+0.00077326i,3.4229e-05-0.00016805i,0.00041224-0.0009325i,0.00043713-0.00041454i,0.00053948-0.00016713i,6.479e-05+0.00028392i,-0.00027511+0.00030418i,-0.00012676-5.3556e-05i,-0.00071632+1.6085e-05i,-0.00066169-6.5742e-05i,-0.00044743+0.00013132i,-0.0010154+0.00026522i,-0.00058245+0.00052517i,-5.0086e-06+0.00087117i,-0.00028658+0.00030214i,-1.8821e-05-8.4992e-05i
3.9099e-05+0.00077705i,-0.00049794+0.0019006i,-6.0292e-05+0.0022145i,0.0012614+0.0015598i,0.0017383+0.001414i,0.0016121+0.0014327i,0.00089675+0.00065774i,2.8113e-05-0.00024641i,-7.745e-05-5.4134e-05i,0.00032698+0.00030333i,0.00068073+0.00044532i,0.00042339+0.00038106i,-0.00028645+0.0007635i,2.4174e-05+0.00079774i,0.00046105+0.00044716i,-2.4405e-05+0.00074311i,-0.00026259+0.00094028i,-0.00048447+0.0011009i,-0.0004104+0.00062554i,-0.00015007-0.00048565i,0.00076356-0.00047491i,0.0010793+3.9914e-05i,0.00078797-0.00044293i
