0.001183+0.00027355i,0.0011116-0.00048517i,0.00065928-0.0015126i,-0.0021029-0.0025787i,-0.0040435-0.0018056i,-0.0043978+0.00030804i,-0.0024341+0.0019708i,-0.00027163+0.0018105i,0.00080067+0.00044225i,0.0006177-0.00061716i,0.00018305-0.00091066i,0.00021404-0.0007344i,0.00064805-0.00056353i,0.0009766-0.00028504i,-0.00022408-0.00026515i,-0.001388+0.00022878i,-0.00071939+0.00060804i,0.00037247+0.00068452i,0.00048421+0.00054832i,-0.00019174+0.00042431i,-0.00012453+0.00070443i,0.00042387+0.00094772i,0.000242+0.0010111i
-0.00041892+0.0015952i,0.00023231+0.0021364i,0.00077884+0.0010026i,8.8455e-05-0.00072041i,-0.0010121-0.00033816i,-0.00095875-0.00010726i,-0.00061475-0.00068894i,-0.00078921-0.00015221i,-0.00024442+0.00047873i,0.00055387-7.8953e-05i,2.5416e-05-0.0005424i,1.1151e-08-0.00053745i,0.00038929-0.00055294i,0.00028935-0.00019637i,0.0002625-0.00021045i,-0.00029024-0.00055004i,0.00014203-0.00018433i,0.0014912-4.4496e-05i,0.0017457-3.4208e-05i,0.0010871+0.0002529i,0.00078935-0.00030283i,5.6848e-05-0.00046482i,-0.00090047-0.00011187i
0.0015018-0.00054454i,0.00068638-0.0016336i,-0.0003198-0.00095917i,-0.00073773-0.0013374i,-0.0011928-0.0018614i,-0.0020155-0.0010202i,-0.0026066-0.00035258i,-0.0020861+3.6161e-05i,-0.00098669+0.00021539i,-0.00063906+8.4448e-05i,-0.00046491+0.00012248i,-0.00024908+6.4289e-05i,-0.00038589-0.00027229i,-0.00062934-0.0011182i,-0.00037817-0.0012772i,-6.5123e-05-0.00041663i,0.00032126-0.00016495i,0.00049948-0.00030293i,0.0004481+7.5952e-05i,0.0004054+0.00011553i,0.00033117-0.00027028i,0.00065027-9.4846e-05i,0.00074886+0.00016674i
-0.0010778+0.0013502i,-0.00083467+0.0015985i,-0.00092087+0.00044418i,-0.00068473-0.00091668i,-0.00066706-0.00027509i,-0.0010931+0.00046667i,-0.00083376+0.00036765i,-0.0004806+0.00052827i,-0.0012306+0.00067659i,-0.0015395+0.00085422i,-0.00019706+0.0011821i,0.00078273+0.00074621i,0.00020806-0.00019199i,-0.0005066-0.00024752i,-0.00044263+5.7854e-06i,-0.00018892-3.0363e-05i,1.0799e-06+0.00028355i,0.00026307+0.00033913i,-6.1723e-05-0.0002257i,-0.00020072-0.00076714i,0.00011316-0.00074003i,-1.5037e-05-0.00091724i,0.00015178-0.00063696i
0.0026627-0.0029294i,0.0018019-0.0035346i,0.00078936-0.0032099i,-0.00025367-0.0022126i,-0.0019746-0.00094987i,-0.0028238-0.00057603i,-0.0020448-0.00016516i,-0.0013795+0.00013512i,-0.00039073+0.00037318i,0.0002514+0.00011126i,0.00024103-7.5403e-05i,0.00023902+0.00052111i,-0.00015135+0.00042651i,-0.00063011-0.00035243i,-0.00065984-0.00031194i,-0.0006021-0.00023851i,-0.00079524-0.00065495i,-0.00039052-0.00023059i,-2.8036e-05+0.00012766i,0.00016253-0.00011594i,-6.5613e-05-0.00036304i,-0.0008245-0.00019922i,-0.00083212-9.213e-05i
9.5728e-06+0.004444i,4.5419e-06+0.0034605i,0.00072417+0.002102i,0.00090336+0.000406i,0.00073789-0.00080402i,-0.00020944+0.00022068i,-0.00091914+0.00059595i,-2.7528e-05-0.00042475i,0.0006505+0.00025323i,0.00054657+0.00088044i,0.00079962+7.4833e-05i,0.00017434-0.0003106i,-0.00025454+0.00012681i,0.00030137-0.0005002i,0.00031341-0.00087506i,0.00029388+0.00016728i,0.00056364+0.00069597i,0.00036598+0.0010606i,0.0004819+0.0002422i,-0.00016786-0.00061832i,-0.00063531+9.9832e-05i,-0.00012588+0.00050291i,-0.00025166+0.00020738i
-0.0011804-0.0011819i,-0.0006703-0.0012279i,-0.0005197-0.00042427i,-0.00079552-0.0010776i,-0.0014586-0.0011841i,-0.0020023-0.00046178i,-0.0012432-0.00040981i,-0.0011117+0.00030176i,-0.0013417+0.00064416i,-0.0012052+0.00026796i,-0.0008729+0.00081479i,0.00026378+0.001088i,0.001325+0.00051587i,0.00096134-0.00029444i,0.00012784+0.00030444i,-0.00043084+0.00046032i,-0.00025131-0.00022994i,7.1626e-05-0.00037209i,-0.00062603+0.00015228i,-0.0012398+0.00070868i,-0.00085858+0.00070854i,-0.00027693+0.00077844i,0.00016704+0.0005499i
0.00021785-0.00026338i,-8.8354e-05-0.00057555i,-0.0012535-0.00012365i,-0.001279+2.681e-05i,-0.00066886+0.00040018i,-0.0011925-0.00023393i,-0.0013944-0.0017566i,-0.00080212-0.0018336i,-0.00080986-0.00064996i,-0.0012208+0.00056271i,-0.00062089+0.00069163i,0.00046412+0.00063865i,0.00063017+0.00070813i,0.00035666+0.00013743i,0.00034064-0.00035198i,0.0003658-6.6107e-05i,8.5346e-05+0.00030688i,-0.00029747+0.00024454i,-0.00067363+0.00021436i,-0.00042219+4.6477e-05i,-0.00018745+0.00043465i,-0.00026139+0.00044716i,-0.00035688-0.00010866i
-0.00027561+0.00097714i,0.00045849+0.0014749i,0.0010717+0.00029365i,5.3698e-05-0.00058076i,-0.0013409-0.00091341i,-0.0013464-0.00032871i,-0.00021141-0.00037366i,0.00046246-0.0010281i,0.00040609-0.00070735i,0.00015793-0.0012377i,-0.00012535-0.00057856i,9.9376e-05+0.00050904i,0.00037812+0.0004124i,-0.00015965+0.0001115i,-0.00077387-0.00030945i,-0.00062126-0.00077367i,-0.00045029-0.00063044i,-0.0009938-0.00029445i,-0.00098921-0.00024467i,-0.0001465+2.3683e-06i,-0.00014957+5.6003e-05i,-0.00053503-3.3074e-05i,7.9778e-06-0.00055698i
0.0020127+0.00033723i,0.0030261-0.00017652i,0.0028932-0.00064761i,0.00030074-0.0012597i,-0.00083488-0.001625i,-0.0007072-0.00093577i,-0.00076797+0.00012174i,-0.00039786+0.0008055i,-0.00054743+0.0010347i,-0.0004881-0.00017104i,0.00032972-0.0010497i,-0.00013415-0.00089179i,-0.00035698-1.9262e-05i,-0.00034348+0.00061676i,-0.00012539-0.00015373i,0.00085561-0.00056318i,0.0001718-0.00061078i,-0.00068073-0.00090096i,-0.00092292-0.00053873i,-0.00056134+8.1285e-05i,-5.8695e-05-2.8604e-05i,-1.6388e-05+0.00032715i,-0.00024748+0.0008246i
0.00082956+0.0036063i,0.0013525+0.0028194i,0.0016843+0.00023951i,0.00079333-0.0014533i,-0.00023526-0.0012791i,-0.0005431-0.00096535i,-0.00078302-0.00010567i,-0.0011266+0.0011971i,-0.00060162+0.00077738i,-7.4922e-05+0.00056136i,0.00015027+0.0014536i,0.00027233+0.00084176i,-0.00020605-5.9605e-05i,-0.00035763-0.00030107i,-0.00027024-0.00052177i,-0.00083469+4.9528e-05i,-0.0013436+0.00017469i,-0.0012372-5.9076e-05i,-0.00085587+0.00028458i,-0.00062965+8.3024e-05i,-0.00037323-0.00066227i,-5.2226e-05-0.00092545i,0.00048419-0.00058169i
0.0011231+1.1906e-05i,0.0014203-0.00020262i,0.00044719-0.00025276i,-0.00093446-0.0014861i,-0.0018832-0.0025097i,-0.0025663-0.0016343i,-0.0018499-0.00065328i,-0.0011476-0.00045569i,-0.0010985+0.00033559i,-0.00012551+0.00077854i,0.00070437+0.00071688i,0.00070774+0.00048559i,0.00075332+0.00022178i,0.0003987+0.00065774i,-0.00027852+0.0014759i,-0.00086922+0.0010233i,-0.00094485-0.00022445i,1.2921e-05-0.00036355i,0.00031154+0.00056919i,-0.00010882+0.00094426i,0.00033515+0.00048618i,0.00053134-0.00016631i,-0.00026716-0.00018915i
-0.00010929-0.0016201i,-0.0011615-0.0011884i,-0.0010617-0.0018155i,-0.0011034-0.001548i,-0.0013051-0.00022188i,-0.0016522+0.00034296i,-0.0018824+0.00038376i,-0.00058685+0.00023321i,-0.00027824+1.9058e-05i,-0.0011387-0.00022647i,-0.0011555+0.00020065i,-0.00064377+0.0007012i,-0.0005098+0.0011429i,-5.7233e-05+0.0014519i,0.00030961+0.0010799i,0.00027948+0.0013146i,0.00088108+0.0010956i,0.00060976+2.4702e-05i,0.00024095-0.00049198i,0.00066853+4.3761e-06i,0.00081747+0.00050082i,0.00061194+0.00055791i,-0.00016234+3.1474e-05i
0.0025685-0.00027452i,0.0021527-0.00037723i,0.00092384-0.00084844i,-0.00056158-0.0016676i,-0.0013396-0.0017208i,-0.0009535-0.00094398i,-0.0010136-0.00011358i,-0.00084399-0.00025327i,-0.00048319-0.0010144i,-0.00068651-0.00073779i,-0.00083122-0.00038959i,-0.00023776+0.00047444i,0.00053471+0.0009716i,0.00094645+2.451e-05i,0.0005043-0.0011066i,-0.00019361-0.001306i,-0.00016927-0.00053675i,-8.0674e-05-0.00022928i,-0.00024772-0.00054053i,-0.00043068-0.00064371i,-0.00030164-9.5697e-05i,0.00014503+0.00039937i,-0.00023126+0.00059354i
-0.00023851+0.00094384i,-6.6804e-05+0.00044759i,-0.0010735-0.00047093i,-0.00087645-0.00014746i,-0.00058302+0.00038394i,-0.00088212+0.00092796i,-0.00077966+0.00046506i,-0.00048782-5.7173e-05i,-0.00020036-3.478e-05i,0.0003198+0.00047881i,-8.0202e-05+0.00086042i,-0.000279+0.00059083i,0.00048548+0.00011414i,0.00050605+7.859e-06i,-1.1857e-05+0.00016397i,-3.7608e-05+0.00026258i,0.00039094+0.00055366i,0.00023433+0.00028153i,3.4328e-05-0.00043066i,0.00019215+3.0491e-05i,-3.5588e-05+0.0005504i,-0.00011004+9.8928e-05i,-1.5732e-05+0.0002364i
0.001259-0.00048113i,0.0015361-0.00036423i,0.00082992-3.5677e-05i,-0.00022768-0.00023794i,-0.001431-0.00073126i,-0.001892-0.00086866i,-0.0020066-6.4913e-05i,-0.0017957-9.9765e-05i,-0.0011165-0.00033756i,-0.0013772-5.5954e-05i,-0.00061161-2.1075e-05i,0.00086914+5.947e-05i,0.0010363+0.00021658i,4.7035e-05-0.00045163i,-0.00071906-0.00053802i,-0.00049239-0.00018153i,0.00014006-9.9732e-05i,0.00081255-0.00024223i,0.00076618-0.00011356i,0.00045275+0.00012359i,0.00047447-0.00016665i,0.00059425-0.00019868i,0.00010316+5.4548e-05i
-0.00085235-0.00016315i,-0.0010233-0.00051893i,-0.0011959-0.00016247i,-0.00092176-0.0005042i,-0.0012706-0.001488i,-0.0011421-0.0013371i,-0.00089084-0.00026854i,-0.0012658+0.00038268i,-0.0011538+0.001043i,-0.00070506+0.0012789i,-0.00048863+0.0011693i,-0.00046326+0.00028231i,-0.00040644-0.0011789i,0.00045165-0.000613i,0.00033772+0.0004025i,7.4883e-05+0.0002582i,0.00018756-7.5167e-05i,0.00016341-0.00074523i,0.00059382-0.00068163i,0.00078515+0.00014606i,0.00073999-0.00019252i,0.00036615-0.0004634i,0.00011751+0.00099119i
-0.00013739-0.0010666i,0.00010278-0.00036001i,-0.00063495-0.00010224i,-0.0020821-0.00020819i,-0.002843-0.00025699i,-0.0021658+0.00082694i,-0.0016699+0.00085536i,-0.00093005-0.00040195i,-0.0007042-0.00057172i,-0.0013564+0.00026933i,-0.0012595+0.00059685i,-0.00079467+0.0005086i,-0.00070898+0.00031873i,0.00015521-0.00013595i,0.00062272-0.00031155i,0.00078103-0.00026399i,0.00099608+2.4213e-05i,0.00084066+2.4553e-05i,0.00029113+2.0932e-05i,0.00043889-0.000666i,0.00088254-0.0012745i,0.00060596-0.00060097i,-2.9379e-05+0.00031442i
0.0011613+0.00039324i,0.0014664-5.9596e-05i,0.0012235-0.00065455i,0.0012989-0.0012007i,0.0013346-0.0021119i,0.00056068-0.0026496i,-0.00031675-0.0016293i,-0.00016661-0.00031679i,8.5994e-05+0.00016107i,-0.00031076+0.00075222i,-5.5635e-05+0.0009255i,0.00098422+0.0010428i,0.00041013+0.00068838i,-0.00049593+0.00027886i,0.00032169+0.00041114i,0.0010571+0.0005959i,0.00056844+0.00029315i,0.00024055-1.483e-05i,-0.00019755-0.00016008i,-0.00027304-0.00037325i,0.00045504-0.0008896i,-0.00012047-0.0010955i,-0.00030314-0.00077369i
