0.0033669+0.0015915i,0.0041021-0.00051978i,0.0012885-0.0049363i,-0.0014902-0.0044498i,-0.0034165-0.0012472i,-0.0034624+0.00053933i,-0.00075834+0.00083509i,0.0010548+0.00010311i,0.0014366+7.6062e-05i,0.00081089-0.0002895i,-0.00028428-0.00090688i,-0.0010308-0.00053243i,-0.0011249+0.00059115i,-0.00092425+0.0013264i,-0.0018042+0.0010825i,-0.0020323+0.00053041i,-0.00060704-9.7418e-05i,0.00091251-7.1314e-05i,0.00060975+0.00073729i,-0.00044479+0.00044916i,-0.00045021-0.00011087i,-4.061e-05-0.00046181i,-2.956e-05-0.00079211i
-0.00010644-0.0024414i,-0.0010457-0.0023416i,-0.0011411-0.002381i,-0.00093356-0.002319i,-0.00083113-0.0017948i,-0.00086618-0.00067784i,-0.00052237+0.00024478i,-0.00043404-0.00020108i,0.000451-1.8105e-08i,0.00051056+0.00045682i,-0.00017218-1.1782e-05i,0.00037301-6.5967e-05i,-0.00035276+0.0003706i,-0.00087243+0.00079122i,-0.00029798+0.00098995i,-8.7105e-05+0.00059018i,-0.00019664-0.0006039i,-0.00042093-0.0011121i,-0.000479-0.00056112i,-0.00082669-0.00030237i,-0.00050861-0.00054714i,0.00040228-0.00018526i,0.0010655-4.9618e-05i
0.0019127-0.0017383i,0.00085394-0.0024018i,-0.00028433-0.0024612i,-0.00087189-0.0017453i,-0.0015258-0.0009069i,-0.00029089-9.7779e-05i,0.0011106+0.00048954i,0.0009545+0.00025784i,0.00027804-0.0010498i,-5.6612e-05-0.0016465i,0.00029429-0.00063785i,0.00036777+7.0907e-06i,-0.00036755+2.6117e-06i,-0.001023+6.7707e-05i,-0.0009058+0.00073847i,-0.00056288+0.00043709i,-0.00028413-9.5808e-05i,0.00018294+0.00015021i,0.00076017-7.4155e-05i,0.0013841-0.00086599i,0.0011479-0.00065071i,0.00037841-1.0759e-05i,-0.00049022+0.00029353i
-0.0023391+0.00020675i,-0.0028491+2.9001e-05i,-0.0018087+0.0010015i,3.162e-05+0.0012558i,0.0015282-4.9951e-06i,0.00101-0.0011418i,0.00059466-0.00093197i,0.00013594+0.00011194i,-0.00037503+0.00033577i,-0.00013726+0.00027157i,-4.2924e-05-2.3977e-05i,-0.00039527-0.00037526i,-0.00010853-0.00026338i,0.0014378-0.00015576i,0.0011605+0.00037926i,0.00013379+0.00013905i,0.00027827-0.00043202i,0.00053743-0.00010698i,0.00044564+0.00023205i,-1.5317e-05+0.00055722i,-0.00035694+0.00043025i,-0.00056676-5.0518e-05i,-4.4028e-05+0.00031759i
0.0007012-0.0020263i,0.0006282-0.0021469i,-0.0002518-0.0027399i,-0.0010037-0.0019175i,-0.00074112-0.0010184i,-0.00025129-0.00053402i,6.2236e-05-0.00040478i,0.00031803-1.2836e-05i,0.00070915+0.00038246i,0.00072209-8.5923e-05i,0.00049876-0.00012424i,0.00043715+0.00061739i,0.00057107+0.00096004i,0.00066666+0.00074647i,0.00043414+0.0010397i,2.3661e-05+0.001363i,-0.00015258+0.0012084i,-0.00033766+0.00056496i,-0.00029136+0.0002804i,-3.1618e-05+0.00024442i,0.00030727-0.00013028i,0.00051245-0.00010539i,-0.00028815+0.00031662i
0.00087959+0.00075372i,0.0011876-0.00062735i,0.0015452-0.00012558i,0.0013715+0.00013074i,0.00092011+6.0852e-05i,0.0003329+0.00057673i,-0.00066121-0.00014232i,-0.00063806+0.00021799i,-0.00043668+0.0010856i,-1.7283e-05+0.00057104i,0.00039546-0.00016834i,-0.00044411-0.0001018i,-0.0012632+0.00014728i,-0.00083561+0.00030087i,-0.00052691+0.00010413i,-0.00034825+0.00071904i,-0.00046898+0.0012031i,-0.00064175+0.00093248i,-0.0002394+0.00041476i,0.00028729+2.8023e-05i,0.00033367-0.0005005i,0.00017111-0.00047691i,0.00018773-0.00050614i
-0.0017914-0.0031349i,-0.001732-0.0035379i,-0.0022863-0.0029709i,-0.0020867-0.0012756i,-0.00059489-0.00027327i,0.0014794-0.00046257i,0.0016388-0.0010827i,0.0011154-0.00073096i,0.00085267-0.0002069i,1.7942e-05-0.00061795i,-0.00017943-0.00027831i,-0.00067578+0.00059649i,-0.0011075-4.3114e-05i,-0.00065814-0.00038205i,0.00010985+0.00051393i,-0.00036495+0.00099025i,-0.00084597+0.00029592i,1.1623e-05+2.3634e-05i,0.00073851+0.00086582i,0.00036321+0.00023752i,0.00054426-0.00075669i,0.00091883-0.00092215i,-0.00023186-0.00057404i
0.0019106-0.001873i,0.0016402-0.0016257i,0.0014589-0.0010167i,0.0020856-0.00070272i,0.002074-0.00032382i,0.0014385+0.00026678i,0.00029321+0.00037347i,-6.1718e-05-4.1694e-05i,-0.00042865-0.0004122i,-0.00011117+0.00012699i,0.00030253+0.00069993i,0.00030014+0.0010617i,2.2756e-05+0.0017546i,-0.00039896+0.0018253i,-0.00024494+0.0017043i,8.9443e-05+0.00099245i,8.2293e-05+0.00016629i,-1.2832e-05+0.0003078i,-4.8276e-05-0.00046421i,-0.00064447-0.0011247i,-0.0014121-0.00058523i,-0.0016178+0.00017405i,-0.0012938-5.267e-05i
-0.0014274+0.0014413i,-0.0024063+0.0012349i,-0.0027646+0.0006725i,-0.0010037+0.00084924i,0.00047816+0.00062416i,0.00078853-0.00017539i,0.0015668-0.00086964i,0.0011914-0.00056002i,6.7148e-05+0.00060851i,-5.9465e-05+0.00084929i,-0.00027141+0.00030807i,-4.2441e-06+0.00028986i,-3.0532e-05+0.00012522i,-0.0010225-0.00045694i,-0.00068488-0.00058525i,0.00039051-0.00040318i,0.00015329-0.000323i,0.00026103-0.00015072i,0.00072236-0.00056143i,0.00062285-0.00042418i,0.0007393+9.6396e-05i,0.00057711+0.00029379i,0.00020792+0.0005036i
-0.0011295+0.00048011i,-0.0012326-0.0011113i,-0.00039821-0.0016456i,0.0010171-0.0010816i,0.0013982-0.00049332i,0.0010468-0.00093665i,0.00047954-0.0017148i,-0.0005021-0.001272i,-0.00074799-0.0003677i,-0.00041229-7.3952e-05i,-0.00064402-0.00015878i,-0.001683-0.0001897i,-0.0019177-0.00037678i,-0.0004702-0.00025143i,2.1035e-05-0.00050767i,-0.00026643-0.00061825i,0.00049614-0.00064701i,0.00036443-6.2633e-05i,-0.00070115+0.00079276i,-0.0006808+0.00087455i,-0.00015879+0.00092941i,0.00042406-0.00048744i,0.00095584-0.0013683i
-0.001651+0.00036613i,-0.0012904-0.0011736i,-0.00047679-0.00078576i,-0.00032155-8.7436e-05i,1.8665e-05-0.00011703i,1.6631e-05-0.00053564i,-0.00029448+5.6312e-06i,-8.895e-05+0.00052922i,0.00038599+0.00026405i,0.0010785+0.00089392i,0.0004808+0.00088978i,-0.00078999+7.0181e-05i,-0.0003477-0.00045105i,-7.1249e-05-0.00070411i,-0.00048322-0.00028325i,-0.00021084+6.3591e-05i,0.00050305+0.00038838i,0.00021749+0.00073282i,-0.00060783+0.00053812i,-0.00061617+4.2898e-05i,8.2443e-05-0.00053624i,7.4677e-05-0.0010769i,-0.00015367-0.00094927i
0.0011161-0.0027865i,0.0012452-0.0037287i,7.4186e-05-0.0025684i,-0.00046303-0.0014i,-0.00024709-0.0011847i,0.00071009-0.0011236i,0.0013434-0.00096586i,0.00051786-0.00097155i,-6.1106e-05-0.0014009i,-0.00020042-0.00059547i,0.00015713+0.00038254i,0.00050508+0.00061735i,-0.00021056+0.00076889i,-0.00063694+0.0011568i,0.00017887+0.00096814i,0.0004084-8.0686e-05i,-0.00014269+7.8407e-05i,-0.00066059+7.8606e-05i,-0.00016491-0.00035629i,0.00055365-0.00052856i,0.00069861-0.00086806i,0.00031776-0.0013488i,-0.00013927-0.0007218i
0.0020601-0.0011637i,0.002494-0.00028778i,0.0017221-0.00090752i,-2.9364e-05-0.00059701i,-0.00019203+0.00031143i,0.00040686+0.00097263i,-9.7386e-05+0.00063848i,-0.00066167+0.0003147i,-0.00033662+0.00019585i,-0.00036133-0.00071788i,-0.00056854-0.00063975i,-0.00024435+0.00057763i,-9.9271e-05+0.0010399i,-0.00058529+0.00046972i,-0.0011538+0.00035602i,-0.0015133+0.00051923i,-0.001087+0.00069196i,-0.0005426+0.00078513i,-0.00064666-0.00020199i,-0.00055945-0.00052572i,0.00017266-0.00020766i,0.00022121+3.6469e-05i,-0.00019872+0.00024566i
-0.0022068-0.00034737i,-0.00099993-0.00088959i,-0.00042412-0.00050304i,-0.00048952+8.8312e-06i,0.00046336-0.0008101i,0.001435-0.0014862i,0.0009828-0.00088214i,-0.00029966+1.3347e-05i,-0.00017115+0.00063068i,0.00019098+0.00019898i,-0.00036306+4.8182e-05i,-0.0013699+0.00019246i,-0.0010497+0.00013828i,-0.00034066+0.00015452i,8.9902e-06+0.00044042i,5.7256e-06+0.00056843i,-7.7799e-05+0.00024724i,0.0001979-2.8386e-05i,4.2052e-05-0.00039387i,0.00036374-0.00019228i,0.00025827+7.4269e-05i,2.4592e-05-4.4381e-05i,0.00028962+3.9405e-05i
-0.00089727-0.001982i,-0.00019913-0.0013482i,-3.2485e-06-0.00057949i,-0.00056317-0.00028202i,7.0584e-06-0.0002749i,0.00071112-0.00071008i,0.00097768-0.00075951i,0.00015163-0.00025179i,0.00010663-0.00015413i,-5.0604e-05-7.4981e-05i,-0.00012507-0.00029623i,-0.00016161+3.8838e-05i,-0.00052558-0.00030886i,-0.00049051-0.0005669i,-0.00030156+0.00025011i,-5.7835e-05+0.00020943i,0.00013215-0.00023652i,0.00052472-0.00081992i,0.00075304-0.00078597i,0.00061025-0.00045719i,0.0004702-0.00030716i,8.9907e-05-0.00011362i,-9.9751e-05+0.00024174i
0.0022529-0.00020526i,0.0024906-0.00042661i,0.0015781-0.0010413i,0.0008374-0.00057654i,0.00091295-0.00017106i,0.00052979-0.00070387i,0.0002214-0.00057459i,0.00018288-0.00023274i,0.00052933-0.00010336i,0.0012674-0.00011183i,0.0010141+0.00016084i,-3.57e-05+0.00049036i,-0.000509+0.00014644i,-0.00030197-0.00045161i,-0.00050351-0.00086416i,0.00020146-0.00063705i,0.00072329+1.8454e-05i,0.00035781-0.00020893i,0.00041523-0.00011468i,0.00036169+0.00058676i,0.00033282+0.00059846i,-0.00033568-0.00052211i,-0.0007032-0.00085202i
0.0017005+0.00066279i,0.0021331-8.5906e-05i,0.0027973-0.0009394i,0.0017242-0.0016176i,0.00041006-0.00090318i,8.2999e-05-0.00020809i,-0.00057337+7.917e-05i,-0.00024366+0.00011295i,0.0008731-0.00010886i,0.00059307-0.00051509i,-0.00035667-0.00069742i,-0.00077036+0.00015123i,-0.00048821+0.00095597i,-0.0009055+0.0013041i,-0.0015362+0.001094i,-0.00071031+0.00057815i,-0.00040146+0.00038309i,-0.00053396-2.3519e-05i,7.6742e-05-0.00049307i,0.00060135+0.00034277i,0.00048776+0.00065702i,3.1293e-05+0.0009913i,-2.1502e-05+0.00043812i
-0.0013773-0.0032574i,-0.0021597-0.0037207i,-0.0018437-0.0013777i,-0.00051458+0.0015075i,0.0004742+0.001272i,0.00075147-2.0938e-05i,0.0010299-0.00050413i,0.00043339-0.00093541i,-0.00038299-5.1371e-05i,-0.00073322+0.00085217i,-0.00072997+0.00054603i,-0.00041696+4.341e-05i,0.00064701-2.49e-05i,0.0014519+5.2493e-05i,0.0012733-0.00040731i,0.00058597-0.00011301i,-0.00016042+0.00039916i,-0.00041397-2.6778e-05i,3.2872e-05+2.7419e-05i,0.00032615+0.00029066i,0.0003235+0.00045516i,0.00093584+0.00015117i,0.0012039-0.00022914i
0.0034835-0.00089431i,0.0028231-0.0013072i,0.00039782-0.00023158i,-0.00071398+0.00039279i,-0.00069477-0.0007322i,-0.00094059-0.001207i,-0.0011756-0.00094024i,-0.00073775-0.001063i,-0.00015619-0.0006701i,-0.00047295-0.00013954i,-0.00089498-0.00020783i,0.00014431-0.00022388i,0.00043583+0.00029693i,-0.00056928+0.00043898i,-0.00095725+0.00061015i,-0.00073811+0.00045746i,-0.00049004+0.00010295i,-7.073e-05+0.00071293i,6.7174e-05+0.0010146i,0.00057353+0.00028776i,0.0010609-0.00024215i,0.0011407-0.00055586i,0.00017628-0.0005953i
-0.00094907+0.0015652i,-0.00078812+0.001155i,-0.00036641+0.00024222i,-0.00046775-0.00068372i,-0.00082453-0.00018382i,-0.00078127-1.4881e-05i,5.1304e-06+0.00019701i,0.00083362+0.00094587i,0.00056123+0.0006659i,-0.00012312-0.00024474i,-0.00079272-0.00070652i,-0.00071358-0.00099789i,-0.00041414-0.00075135i,-0.00095837-0.00015916i,-0.0012476-0.00025787i,-0.00050123-0.00047994i,0.00081401-0.00049737i,0.00075471+0.00066013i,6.9516e-05+0.0015714i,0.00029943+0.0008429i,0.00039129-0.00049496i,8.9166e-05-0.0010689i,0.00030525-0.00048067i
-0.0010895-0.003365i,-0.00052601-0.0029774i,-0.0010378-0.0020862i,-0.0011368-0.0014071i,0.00043939-0.00090623i,0.0010731+1.9585e-05i,0.0008851-7.4553e-05i,0.00040596-0.0011402i,0.00030185-0.0008705i,0.00063233-0.00027783i,0.00061927+0.00067559i,0.00081084+0.0016235i,0.00088824+0.00083761i,0.0017613-0.00036315i,0.0014559-0.00091172i,0.00012014-0.00095832i,-0.00062118-0.0011218i,-0.00038404-0.0014929i,9.8977e-05-0.0012674i,0.00062182-0.00076668i,0.00085982+4.6147e-05i,0.00075593-0.00024396i,0.00071548-0.0010127i
0.0010101+0.00047949i,0.00039789-0.00018949i,-7.5367e-06-0.0018202i,-0.00030507-0.0012252i,2.581e-05+8.055e-05i,-7.6443e-05+0.00025489i,-0.0010482-0.00046994i,-0.0011666-0.00080725i,-0.00025512+9.8688e-05i,0.00017983+0.00060468i,-0.00082082-0.00018965i,-0.0010636-0.00062528i,0.00028493-5.1905e-05i,0.0011262-4.9172e-05i,0.00048838-0.00016207i,-2.7417e-05-9.554e-05i,5.2616e-05-0.00040598i,3.6679e-05-0.000308i,0.00015417-0.00012661i,0.00072791-4.5984e-05i,0.00089756+0.00024782i,0.00082768+0.0003303i,0.00062772+0.00036112i
-0.00062177-0.00086016i,-0.0013928-0.0011439i,-0.001634+2.3246e-05i,-0.001141-0.00020947i,-0.0002081-0.0016682i,4.3528e-05-0.0015625i,-0.0001683-0.00063203i,9.4433e-05-0.00069279i,-0.00016211-0.00074689i,0.00015527-0.0003755i,0.00071072-0.00016065i,-3.6016e-05+0.00030968i,-0.00054708+0.00050143i,0.00029891+0.00045885i,0.00060366-0.00020236i,3.9472e-05-0.0006335i,-0.0003078-0.00049142i,-4.2348e-05-2.2195e-05i,-0.00083069+0.00074339i,-0.0013968+0.00021697i,-0.00053265-0.00030466i,0.00053524-0.00065413i,0.00095621-0.0009505i
0.0013716-7.473e-06i,0.0010795-0.0011841i,-4.3215e-05-0.0030577i,0.00082944-0.0027141i,0.00098525-0.00089407i,0.00026402-0.00032666i,0.00080202-0.00017342i,0.0011567+0.00078615i,0.001028+0.0014131i,0.0003752+0.0012235i,-0.0005291+4.1327e-05i,-0.00044851-1.4375e-05i,0.00033276+0.00065266i,0.00036876+0.00043137i,-1.866e-05-4.1898e-05i,-0.00087995-9.813e-05i,-0.0011154+0.00021252i,-0.00013668+0.00042726i,0.00047148+0.00038387i,0.00024493+0.00056589i,7.262e-05-0.00023095i,-0.00029957-0.001057i,-0.00076323-0.00064813i
0.00036848+0.00031374i,0.00025282+0.00020042i,0.00091301-0.00036329i,0.0022047-0.000973i,0.0027811-0.0013983i,0.001961-0.0014973i,0.00081602-0.0016846i,0.00051022-0.0015961i,0.00033552-0.00012705i,-0.00010029+0.00053718i,-0.00057594+0.00013932i,-0.0005653+0.00054831i,-0.00061637+0.00043661i,-0.00019482-0.00010256i,-0.00051209+0.00017809i,-0.00097145+0.00017658i,-0.00097881+0.00011326i,-0.0011913+0.00076013i,-0.0007871+0.00047443i,0.00013011+3.5218e-05i,0.00085075+0.0004953i,0.00055749+0.00051296i,0.0001798+0.0001119i
0.0010896+0.00066479i,0.00031425+3.025e-05i,2.3973e-05+1.3586e-05i,0.00025444+0.00092567i,0.00085751+0.00074969i,0.0010117-0.00013045i,-0.00043975-0.00027191i,-0.00078858-0.00013501i,-2.4968e-05-0.00021323i,-8.0529e-05+3.9416e-05i,-0.00012696+0.00041688i,-0.00042847+0.00027262i,-0.00035259-0.00047729i,0.0004971-0.00091739i,0.00079365-0.00083488i,0.00060822-0.001337i,0.00081645-0.0012351i,0.0004727-0.00011503i,-4.1051e-05+0.00082857i,-0.00028265+0.00078956i,-0.0006172+0.00053664i,0.00011455+0.00049496i,0.00018345+0.00055416i
0.0017616-0.0012512i,0.0027848-0.001736i,0.0023772-0.00086501i,0.0011944-0.00070756i,0.00052346-0.00067604i,0.00075649-0.00035203i,0.0011568+0.00043626i,0.0010469+0.001076i,0.00080946+0.00059995i,0.0011129+6.0814e-06i,0.00069598+0.00027579i,-7.0521e-05+0.00042153i,-0.00014067+0.00047779i,-0.00075351+0.00054306i,-0.0010094+0.00011752i,-0.00072656+4.1387e-06i,-1.4954e-05-2.6795e-05i,0.00041415-1.7201e-05i,0.00065061+0.00012034i,-0.00019092+0.00068071i,-0.0012778+0.00014236i,-0.00023208-0.0010489i,0.00025091-0.00097192i
-0.00023745-8.719e-05i,-0.00017246+0.0006322i,0.00023221-0.00038346i,0.00073479-0.00066517i,1.7994e-06-0.00051882i,-0.0010286-0.00076833i,-0.00053022-0.00030834i,6.8854e-05+0.00065405i,-0.00026077+0.00021766i,0.00015671-0.00044268i,0.00014-0.00043563i,0.00048893+3.9098e-05i,0.00078032+9.8309e-05i,0.00013011-0.00055203i,0.0002195-9.537e-05i,0.00020467+0.00015851i,0.00058634-0.00045687i,0.00074159+0.00034721i,0.00034118+0.0014966i,0.00048082+0.00096847i,0.00096451+0.00038884i,0.00080706+0.0001776i,-0.00034673-0.000297i
0.00085581-0.0029183i,-0.00077208-0.0037806i,-0.001122-0.0024116i,-0.0013147-0.0010038i,-0.00076586-0.00057387i,3.6195e-06-0.00072905i,0.00035795-0.0010798i,0.00012051-0.00069737i,-0.00043682+0.00015137i,-0.00060477+0.00011958i,-0.00022735+0.00049236i,0.00051533+3.9509e-05i,0.00070242-0.00013464i,0.00021655+0.00081791i,0.00029716+0.00057059i,0.00021384+0.00019975i,-0.00043102+0.00033073i,-0.00068823+0.00054213i,-0.00054098+0.00078147i,-0.00016056-5.1942e-05i,0.00082527-0.00028127i,0.00023657+0.00058774i,-0.00069701-0.00014449i
0.0018573-1.7672e-05i,0.00083727-0.00024465i,-0.00067098-0.00078112i,-0.0007307-0.0011241i,-9.258e-06-0.00019677i,0.00037575-0.00023903i,0.00049866-1.3613e-06i,7.9654e-05+0.00073132i,-0.0007065+0.00084779i,-0.0011354+0.00038242i,-0.0012146-0.00028763i,-0.0004239-0.00071339i,0.00017977-0.00029027i,-5.4169e-06+0.00045841i,6.7063e-05+0.00062498i,0.00031325-2.5931e-05i,0.00054579+0.00021075i,0.00016994+0.00053233i,0.00020073+7.6163e-05i,0.00086067-0.00029514i,0.0011177-5.3878e-05i,0.00037001+4.853e-05i,0.00030214-0.00047175i
0.00092189-0.00041488i,0.00032133-0.0023773i,-0.00013655-0.0028348i,-0.0003663-0.00164i,-0.00074501-0.0013754i,-0.00033589-0.0013638i,0.0010438-0.0009029i,0.0010595-0.00030445i,0.0010462+0.00010425i,0.0012373-0.00019967i,0.00069171-0.0011507i,-0.00021131-0.00080307i,-0.00027447+0.00061741i,0.0004663+0.00083858i,0.00034673+0.00010641i,0.00021689-0.00047999i,0.00036657-0.00049867i,0.00040081+0.00013036i,0.00023491+0.00047308i,-0.00022659-0.00029149i,-0.00069976-0.0013216i,-0.00054429-0.0012491i,-0.00066889-0.00013512i
0.00047681+0.00081866i,0.0012127+0.00019184i,0.0027302-0.00022523i,0.0018085-0.001046i,0.00077876-0.0010521i,0.00068647-0.00061337i,0.00025594-0.00063625i,0.00050058-0.00012i,0.0005508+0.00020386i,-6.1987e-05-0.00017676i,-0.00090626+0.00024139i,-0.00073534+0.0006915i,-0.00054124+0.00032627i,-0.00044759+0.00028285i,8.8706e-06-2.5618e-05i,0.00040717-0.00048075i,-0.00022606-0.00030367i,-0.00074853-8.5511e-05i,-0.0001266+0.0001431i,0.00029587+0.00035541i,0.00029275+0.00076299i,-0.00064625+0.0010898i,-0.00069392+0.0009411i
