-0.00095345+0.00049641i,-0.0012015-3.9466e-06i,-0.00098748+0.00030663i,-0.0012742+0.00043283i,-0.001186-0.00021576i,-2.3044e-05+0.00024428i,0.0013405+0.0013932i,0.0014318+0.0015117i,0.00095477+0.0014048i,0.0015464+0.0006823i,0.0019196-0.00089927i,0.0016269-0.0010764i,0.00067475-0.00013222i,-8.8056e-05-0.00018505i,-0.00025095+0.00011468i,0.00046545+0.00032248i,0.0009832-0.00016643i,0.00082811-4.6435e-05i,0.00012336+9.9504e-05i,0.00024268-0.00023106i,0.00076399-0.00074367i,0.00089094-0.00077614i,0.0010874-0.00051634i
-0.00084926-0.00025566i,-0.0011811+0.00027366i,-0.00077474+0.00039796i,-0.00065422+0.000279i,0.00015691+0.00030047i,0.00083652+0.00010188i,0.0014065+0.00015628i,0.0014303+0.00029468i,0.00064751+0.0002478i,1.0069e-05+0.00023839i,-7.9053e-05+9.9092e-05i,-0.00030996-7.9845e-05i,-0.00058365-0.00014346i,6.1649e-05+0.00050286i,0.00055097+0.0012606i,0.00060909+0.0006679i,0.00073866+8.7724e-05i,0.00056979+0.00049169i,6.6308e-05+0.0010323i,-0.00046377+0.00079102i,-0.00029123+0.00044386i,-4.4333e-05+0.00020067i,-0.00012851+0.00044754i
-0.00031638-0.00066148i,-0.00064206-0.0011469i,-0.00066489-0.0013018i,-0.00050197-0.00059521i,0.00055086+0.00033671i,0.0012219+0.0011092i,0.0011243+0.0016579i,0.0011343+0.0015322i,0.00085811+0.0014426i,0.00036149+0.00075573i,0.00011689-0.0001673i,-6.96e-05+0.00018064i,-0.001036+0.00041615i,-0.0011786+0.00035566i,-0.00067739-7.3801e-05i,0.00029055+4.5748e-08i,0.00062454+0.00065543i,0.00022064+0.0011841i,-0.00010795+0.00093383i,-0.00015896+0.0003072i,0.00040298-0.00014765i,0.0010862-7.0563e-05i,0.0013438+0.00019348i
0.00059847-7.614e-05i,0.0013307+0.0003544i,0.0015999+0.00063889i,0.0011806+0.00077855i,0.00066965+0.00059586i,0.00035554+0.0010221i,-0.00043554+0.0011549i,-0.00029632+0.00086986i,0.00052767+0.00059373i,0.00093806-0.00036221i,0.0008961-0.0012671i,0.00036153-0.00069796i,-0.00026972-0.00038987i,-0.00043845-0.0003658i,-0.00085788-0.00018263i,-0.00067835+0.00035462i,-5.7518e-05+0.0010585i,-2.8381e-05+0.00094427i,0.00056067+0.00053514i,0.00072114+0.001016i,0.00027476+0.0013319i,0.00010914+0.0006299i,-0.00046194+0.00018104i
-3.0675e-05-0.0019179i,-0.00078969-0.0019947i,-0.0013911-0.0018565i,-0.00098584-0.0016041i,-0.00017891-0.0011435i,0.00061728-0.00049281i,0.0016483-0.00034954i,0.0012723-0.00097961i,0.00085701-0.00077536i,0.00042565+0.00041107i,-0.00041196+0.0011098i,-0.00062446+0.00059334i,0.00013712+0.00029031i,0.00047739+0.00082651i,-7.8503e-05+0.00096587i,-0.00057348+0.00035122i,-0.00013466-0.00022832i,0.00038327-0.0003569i,0.00029963-0.00014079i,0.00042311-0.00028884i,0.00025992-0.00010037i,-0.00013985+0.00014177i,-0.00013661+0.00062007i
0.001444-0.00025126i,0.0004896+0.00045492i,0.0002272+0.0017953i,0.0016447+0.002137i,0.0029157+0.0014684i,0.0023567+0.00061558i,0.0016727+0.00022165i,0.0014702+3.5038e-05i,0.001125+0.00017272i,0.0010183+0.00040847i,0.00081456+0.00016321i,0.00054185-0.00038251i,0.00015672-0.00078357i,0.00024659-0.0013274i,-0.00022203-0.0012268i,-0.00076353-0.0010668i,0.00017752-0.00076396i,0.00028087-0.00055379i,-0.00027976-0.00014228i,-0.00034549+3.8139e-05i,-0.00037565+0.00035045i,-0.00032066+0.00027099i,-0.00044059+2.0606e-05i
-0.0016487+0.00061395i,-0.0015839+0.0015404i,-0.00067401+0.0016666i,-0.00045675+0.0016768i,-8.3521e-06+0.0012252i,0.0010407+0.00055779i,0.0010568-1.5885e-05i,0.00046708-0.00062598i,9.8382e-05-0.00048189i,7.6995e-05-0.00020099i,9.6334e-05-0.00028189i,0.00038539-0.00028119i,0.0006602-0.00028166i,1.8892e-05-0.00036316i,-0.00013047-0.00015985i,0.00060718+0.00081157i,0.00059826+0.0011791i,-0.00017554+3.9482e-05i,0.00035242-0.00069705i,0.0011007-0.00053297i,0.00077426+2.5417e-06i,0.00014694-0.00011696i,0.00052937-0.00072906i
0.0010533+0.00019609i,-0.00029141-0.00063145i,-0.00074485-0.00048634i,-0.00039483+0.0002199i,-0.00056155+0.00034398i,-0.00029402+0.00067439i,0.00049382+0.0011878i,0.00013536+0.00092283i,-0.00035907+0.00025276i,-1.5871e-05+3.6388e-05i,0.00096073+0.00047271i,0.00033803+0.00071834i,-0.00049696+0.0007564i,-0.00041198+0.00055829i,-0.0001893+0.00022319i,0.0003278-0.00080633i,0.0005974-0.00073464i,0.00021755-0.00029782i,-0.00031536-0.00051219i,-0.00048671-0.0001842i,0.0002766-0.00042317i,0.00039593-0.00079893i,-0.00019208-0.00068021i
-0.0015949+0.0011281i,-0.0017738+0.0012331i,-0.0021396+0.0014784i,-0.0014657+0.0013999i,0.00068658+0.00037074i,0.0017066-0.00034781i,0.00044724-0.00036245i,-0.00025358-0.00059841i,0.00021918-0.00079346i,0.00016886-0.00010524i,-0.00021984+0.00056387i,-0.00051976-0.00019364i,-0.00052793-0.001243i,-0.00030367-0.00093319i,-0.0002271-0.00046558i,0.00019782-0.00041195i,0.00056295-0.00068679i,0.00042185-0.0013097i,4.5402e-05-0.00096946i,-0.00023407-0.00010123i,-0.0010859+0.00076175i,-0.0015287+0.0010996i,-0.00092112+0.00066235i
-0.001389-0.0022144i,-0.0014325-0.0015068i,-0.0010611-0.00058175i,-9.6146e-05+0.00035492i,0.0012502+6.9967e-06i,0.0022799-0.00037678i,0.0021559-0.00017031i,0.00068231-0.00043681i,-0.0004014-0.0008361i,-0.00027102-0.0011014i,0.00027736-0.00061582i,0.00059199-4.5385e-05i,0.00048312-0.00072702i,3.9848e-05-0.0012372i,2.1372e-05-0.0010211i,0.00041763-9.5345e-05i,0.00063384+0.0011215i,0.00080327+0.00098442i,0.00072241-0.00014525i,3.9945e-05-0.00017729i,-0.00013712+0.00014424i,0.00043299-0.00018477i,0.0010125-0.00024114i
0.0010584+6.4046e-05i,-0.0003252+0.0011412i,-0.00096594+0.0011014i,-0.00064854+0.00048564i,3.3728e-05+0.00012639i,0.0013502-0.0001025i,0.0025212-0.00065025i,0.0020485-0.00058613i,0.00098257-0.00026114i,0.00066504-0.00028358i,0.00022013-0.00039871i,-0.00018168+3.3441e-05i,2.6718e-05+0.00011946i,-0.00049768-0.00074649i,-0.0014995-0.00055048i,-0.001078+0.00063834i,-0.00051473+0.00098671i,-0.00030253-3.3677e-05i,0.00022043-0.00041311i,0.00081271-0.00016054i,0.00060888-0.00047659i,-8.3162e-05-0.00029631i,-0.00037965+0.00054334i
-0.0020584-0.00020419i,-0.0019552+0.00063111i,-0.0013744+0.0021861i,-0.00060508+0.002541i,0.00091355+0.0020552i,0.0021236+0.0014837i,0.0018275+0.00050188i,0.00066424+0.00019041i,0.0001338+0.00057153i,0.00046117+0.00082526i,0.00051663+0.00039535i,-0.00012591-0.00018742i,-0.00063037-0.00065578i,-0.00083837-0.00055904i,-0.00037128+5.2793e-05i,-0.00036788+0.00036585i,-0.00035011+0.00032462i,-0.00036134+0.00041919i,-0.00051258+0.00024828i,-0.0004343+0.00036064i,-0.00024247+0.00069705i,-0.0001027+0.00024505i,7.3242e-05-0.00016184i
-0.00066427-0.0015497i,-0.0017128-0.0011115i,-0.0016607-0.0016943i,-0.001017-0.0007256i,0.00045951-0.00024101i,0.0017259-0.00044657i,0.0012881-0.00028904i,0.00049122-0.00052884i,0.00023717+0.00038448i,9.3458e-05+0.0013524i,0.0003917+0.0010504i,0.00097072+0.00086389i,0.00031049+0.00047349i,-8.0103e-05+1.6163e-05i,0.000861-4.5994e-06i,0.00067683+0.00013535i,-0.00043568+2.8347e-05i,-3.5354e-05-0.00034379i,0.00037247-0.00068552i,-9.4667e-06-3.2344e-05i,2.3284e-05+0.0002969i,0.00027384-0.00023108i,0.00021954-0.00047304i
0.00038175-0.00010959i,-0.00038545+0.00035485i,-0.001223+0.0012774i,-0.0013095+0.0016453i,0.00034398+0.0014597i,0.0015492+0.00093294i,0.0015994+0.00014357i,0.0011191-2.2624e-05i,0.00070514-0.00058572i,0.0011578-0.00040749i,0.0016868+6.6385e-05i,0.0013681+0.00042981i,0.000319+0.00015505i,-0.00018483-5.5412e-05i,-0.0003192+0.00073226i,-0.00034376+0.00037266i,-0.00022963-0.00065576i,0.00041307-0.00066341i,0.00090975-4.6224e-05i,0.00040166-3.5029e-05i,1.166e-05-0.00042261i,-0.00019682-0.000468i,-9.0358e-05+0.00013557i
-0.0012467-0.00077901i,-0.00065348-4.8522e-05i,-4.5547e-05+0.00023363i,-0.00035802+0.00057329i,0.00042812+0.0011926i,0.0015576+0.00062286i,0.0014348-0.00018768i,0.0012054-0.00090497i,0.0010915-0.00070476i,0.0012779+0.0006163i,0.00058492+0.00072423i,-0.00035369+7.5559e-05i,0.00026308-0.00019825i,0.00096097-0.00021587i,0.00057506+0.00028055i,2.566e-05+0.00014i,0.00014989-0.00045118i,0.00018977-0.0010734i,0.00020632-0.0011369i,0.0010275-0.00042468i,0.0014967-2.7936e-05i,0.00094747-0.0004826i,2.9601e-05-0.00064852i
0.0014819-0.0021921i,-0.00021601-0.002033i,-0.0024398-0.00022831i,-0.0019046+0.00028865i,-0.00015009+0.00015133i,0.00048942+0.00012163i,0.0011352-2.1426e-05i,0.0013209-0.00037167i,0.00026709-0.00033305i,-0.00070599+0.00029241i,0.00010063+0.00026425i,0.00075806+0.00018893i,2.3542e-05+0.00056362i,-0.00013332+0.00063159i,0.00022693+4.6771e-05i,0.00015448+0.00026503i,-0.00018274+0.00044086i,0.00046464-0.00012837i,0.0012815+0.00021631i,0.00037914+0.00022896i,-0.00079528-0.00030318i,-0.00092756+0.00010417i,-0.00071524+0.00020241i
-0.00067748-0.00048008i,-0.0011084-0.00090568i,-0.001301-0.00089281i,-0.001336-0.00042907i,-0.0010969+0.00070741i,0.00019321+0.00077645i,0.0011343+0.00020115i,0.0012083-0.00016754i,0.0010769-6.2727e-05i,0.001021-0.00033109i,0.00075464-0.00054737i,0.0010215-4.4396e-05i,0.00083457+0.0002533i,0.00020794-3.6256e-05i,-3.7611e-05+0.00053534i,-0.00046478+0.0013767i,-0.0003672+0.0011253i,0.00010385-0.00017213i,3.5593e-05-0.0009716i,-6.1877e-05-1.9119e-05i,0.00026094+0.00060194i,0.00089751+0.00019023i,0.00084709-0.00027197i
-0.00018121-0.0013914i,0.00063266-0.00029496i,0.0014715+0.0015482i,0.0017551+0.0022121i,0.0011964+0.001526i,0.0015154+0.0010408i,0.0021048+0.001161i,0.0015777+0.00071792i,0.00026937-0.00043084i,-0.00026472-0.0008819i,-0.00027507-0.0012005i,-0.0002661-0.0014478i,0.00019213-0.00084799i,0.00068723-3.6887e-05i,0.00054165+0.00043061i,0.00019272-0.00013318i,-0.00025068-0.00080601i,-0.00069618-0.00058112i,-0.00052772+0.00017369i,-0.00042756+0.00023246i,9.7207e-05-0.0001902i,0.001259-0.00012453i,0.00097812+3.4984e-06i
0.0004936+0.00024451i,0.00066495+0.00048874i,0.00085514+2.4853e-06i,-9.2938e-05+0.00046259i,-0.00033312+0.00063901i,0.0011211+0.00055202i,0.0019916+0.00079138i,0.0012796+0.0008111i,0.00054957+0.00037158i,0.0015272-0.00011686i,0.00188-0.00028173i,0.001323-0.00067464i,0.00026065-4.1702e-05i,-0.00037389+0.00062032i,-0.00020014+0.00073249i,2.781e-05+0.0004472i,-0.00011209+0.00064951i,-0.000457+0.00095906i,-0.00093465+0.00012774i,-0.00060289-0.00049613i,-0.00025541-0.00050574i,0.00010378-0.00026745i,0.0001906+0.00014074i
-0.0020156+0.0011874i,-0.0025307+0.0015724i,-0.0015536+0.003047i,-0.00050565+0.0025374i,0.00033072+0.001028i,0.0012888+0.00025823i,0.0018625+0.00052112i,0.0020483+0.00056254i,0.0011828+0.00077522i,9.097e-05+0.00077324i,-0.00041479+4.4222e-05i,-0.00050459-0.00042692i,-0.00061926-0.00037388i,-0.00045735-0.00039744i,-0.00035066-0.00064493i,-0.00022386-0.0011302i,3.5085e-07-0.001165i,-0.00035803-0.00049533i,1.828e-05+0.00013762i,0.00013747+0.00029426i,0.00014467+7.989e-05i,0.00047464+2.6345e-05i,0.00053321-9.6736e-05i
-0.0010383+0.00013783i,-0.0011571+0.00046079i,-0.0021398+0.00068853i,-0.0014779+0.00086056i,-0.00047626+0.0011538i,0.00039204+0.00027284i,0.0012891-0.00060861i,0.00099636-0.00095993i,0.00067275-0.0012798i,0.0014757-0.0011374i,0.0016298-0.00075615i,0.00040218-0.00057369i,-0.00014467-0.0006038i,5.5531e-05-0.00068103i,-0.00027502-0.0007873i,-0.00051644-0.00071703i,3.4975e-05+4.053e-05i,0.00080643+0.00019925i,0.00076895+7.4489e-05i,0.00010296+0.00026354i,0.00031296+0.000311i,0.00090383+0.00043496i,0.00021449+0.00032095i
-0.0010134-0.00099338i,-0.0020572-0.00083352i,-0.0022475-0.0014328i,-0.0018159-0.00029916i,-7.7122e-05+0.00093215i,0.0014757+0.0010446i,0.001501+0.000841i,0.0010868+0.00095624i,0.00044005+0.00091106i,-0.0003299+0.000238i,-2.1573e-05-0.00020631i,0.00066286-0.00080609i,0.00073431-0.00042718i,0.00042597+0.00023471i,-7.258e-05+0.00012719i,-0.00033737-0.00018743i,-0.0005047-0.00029559i,-0.00050268-0.00031118i,-0.00021508-6.2058e-05i,0.00034537+0.00020361i,0.00027297-0.00030746i,-7.4664e-05-0.00081959i,0.00062862-0.00028873i
-0.00020147+0.0011267i,-0.00039747+0.0018111i,-0.0009837+0.0015467i,-0.0011481+0.00088782i,-0.00028621+0.00097796i,0.00075395+0.00065701i,0.0017537-0.00028672i,0.0019516-0.00054385i,0.0016114-0.00065004i,0.001937-0.00033524i,0.0013653+4.4194e-05i,3.0068e-05-0.0010003i,-0.00040619-0.001255i,-0.00020104-0.00026748i,-0.00076763+0.00062617i,-0.0010495-0.00012027i,-0.00037097-0.0012596i,-3.2303e-05-0.00086045i,-0.00014099-0.00043251i,-0.00046682-0.00010018i,-0.0013724+6.3377e-05i,-0.00036677-0.00033034i,0.00036759+0.00034891i
0.0005395-0.00041275i,-0.00050189-0.00060928i,-0.0013302+0.00054757i,-0.0008521+0.00086571i,0.00013927-0.00010947i,0.00085674-0.00055785i,0.0015169-0.00046263i,0.0011191-0.00071785i,0.00065777-0.00051938i,0.00065779-0.00032558i,0.00135-0.00059562i,0.0014592-0.00061841i,0.0010187-0.00026213i,0.00064596-0.00017079i,5.0133e-05-0.0005809i,-0.00025043-0.0006578i,-0.00075975-0.00064912i,-0.00039906-0.00034549i,0.00024648+0.00016759i,-4.7445e-05+0.00065942i,-0.00012164+0.0010001i,0.00033924+0.0012371i,0.00026445+0.00055964i
-0.0029259+0.00034433i,-0.0035625+0.0011154i,-0.0029602+0.0022658i,-0.00084439+0.0022847i,0.0015507+0.0017349i,0.0024554+0.00053006i,0.002076-4.7041e-05i,0.0007186+0.00026596i,-0.00019662+0.00048604i,0.00034355+0.0003068i,0.0012151+0.00010125i,0.00072742+0.00058267i,0.00043446+0.0010552i,0.00056102+0.00082192i,0.00043879+0.00014223i,0.00021939+0.00028243i,-0.00031338+0.00054086i,-0.00068917+0.00018374i,-0.0010994+8.3008e-06i,-0.00089738-0.00038615i,-0.00013318-0.00090697i,0.00037781-0.00031796i,0.0004398-0.00011096i
-0.0005458-0.00054197i,-0.00076513-0.00091692i,-0.00032577+0.00063126i,-0.00044944+0.001202i,-0.00045093+0.00012022i,0.00051923-0.00061886i,0.0022325-1.7564e-05i,0.0024283+0.00053724i,0.00082787+0.00037419i,0.00033503+0.00073827i,0.0011379+0.00019179i,0.0016268-0.00069199i,0.0015423+0.00011221i,0.0011914+0.00030328i,0.00051566+0.0002099i,-9.1237e-05+0.00064932i,-0.00035282+0.0010042i,-0.00014677+0.00046034i,-0.00032722+7.1278e-05i,0.00037908+0.00053329i,0.00079825+0.00026269i,0.00040881-0.00029669i,0.00080161-0.00013291i
-0.0017059+0.0015208i,-0.0020218+0.0014695i,-0.0013609+0.0024796i,0.00017478+0.0023767i,0.0013463+0.0015586i,0.0010781+0.00048214i,0.00063294-0.00055359i,-7.7539e-05+9.5719e-05i,-0.00015013+0.00099228i,0.00069246+0.00086052i,0.0004461+0.00019412i,1.3821e-05-0.00090149i,0.00014523-0.00056551i,0.00019483-0.00052947i,0.00075726-0.00074987i,0.0009396-0.00010794i,0.00024395-3.0619e-05i,-2.5186e-05-0.00084331i,-0.00030258-0.001454i,-0.00041836-0.00082645i,6.4673e-05+0.00024168i,0.00029558+0.00029444i,-0.00020084-0.00023892i
2.701e-05+0.0011852i,-0.00059857+0.00080828i,-0.00063384+0.00085756i,-0.00026485+0.0013488i,-0.00053529+0.0010062i,0.0001776+0.00046352i,0.0011896-0.00018363i,0.0014872-0.00053032i,0.0008057-0.00044382i,-5.7436e-05+0.00042644i,-0.00032084+0.0011592i,-0.00024804+0.00069956i,-4.3552e-05-0.00020593i,0.0003013-0.00045433i,0.00032732+0.00036978i,-0.00050673+0.00016126i,-0.0010879-0.00066091i,-0.00034201-0.00032123i,0.00077108-8.6949e-05i,0.0003988-6.4333e-05i,-0.0003382-0.0002207i,-0.00077933-0.00032543i,-0.0005502-9.4569e-05i
-0.0024081-0.0019138i,-0.0030085-0.00058045i,-0.0024342+0.00097178i,-0.0016491+0.00031426i,-0.00027475-9.5867e-05i,0.00098103+0.00095719i,0.0013817+0.0012669i,0.00082132+0.00039574i,-0.00012109+7.9975e-05i,-3.8729e-05+0.00051686i,0.0010424+0.00015363i,0.00062375-0.00067406i,-0.00036755-0.00061933i,-0.00021897-0.00050961i,0.00029685-0.00022012i,0.00056896-0.00085532i,-0.00017493-0.00056593i,-0.00072833+0.00025408i,-0.00060329-0.00021495i,-0.00027098-0.00053709i,-6.9682e-06-0.00048558i,0.00011208+0.0002337i,0.00052652+0.00022976i
0.0016726+0.0011976i,0.0030001+0.00059131i,0.0026223+0.0011851i,0.0016202+0.0020036i,0.0016096+0.0012588i,0.0023601+0.00034769i,0.0014964+6.4008e-05i,0.000461-0.00023389i,0.00011313-0.00036567i,0.00037243-0.00042173i,0.0014494-0.00011164i,0.001033-0.00025405i,0.00023342-0.00061276i,0.00017834-0.00090377i,-6.0573e-05-0.00045155i,-7.5871e-05+0.00041045i,-0.00015251+0.00020913i,-0.00049359+0.00015592i,-0.00127+0.00024878i,-0.00089134-9.6684e-05i,0.00054082+0.00046939i,0.00085504+0.0009642i,0.00056789+0.00014797i
-0.0023162-0.00016308i,-0.0038484+0.0011549i,-0.004073+0.0014399i,-0.0029434+0.0010477i,-0.0015005+0.0012178i,0.00053371+0.0017881i,0.0018752+0.00097518i,0.00093264-0.00011326i,-0.00012858-0.00059889i,3.2697e-05-0.00053425i,0.0008433+2.5887e-05i,0.0014908-2.4235e-05i,0.00064491-0.00038955i,-4.7499e-05+0.00027061i,0.00013015+0.00015358i,0.0003161-0.00071456i,0.00045195-0.0004584i,0.0010811-8.9479e-05i,0.00086243-0.00037818i,0.00057206-0.00090327i,1.4071e-05-0.00044774i,-0.00088984+0.00045126i,-0.00054227+0.0004393i
0.00023526-0.001348i,-0.00027943-0.00088796i,-0.00028214+0.00015777i,0.00045101+0.00023908i,0.0004184+0.00026259i,0.0011682+0.0004766i,0.00224+0.00043001i,0.0017695+1.8939e-05i,0.0012031+6.3843e-05i,0.00099694+0.00058907i,0.00034574+0.00034244i,-0.0004079-0.00056401i,-0.0011293-0.00059512i,-0.00072364+2.3768e-05i,-0.00013952+9.3278e-05i,-0.00057347-0.00013965i,-0.0010021-4.4293e-05i,-0.00047828-0.0001213i,9.5936e-05+0.0001425i,-0.00021249+0.00030339i,-0.00070648+0.00042311i,0.00012776+0.00099463i,-2.9698e-05+0.001073i
-0.0011318+0.00038904i,-0.0016933+0.00070842i,-0.0025429+0.0014198i,-0.0016029+0.0021544i,0.00040104+0.0016223i,0.0015088+0.00063827i,0.0010135+0.00038963i,2.9488e-07-4.0679e-05i,-0.000171+2.0464e-05i,0.00060189+0.0001908i,0.00096352-3.9537e-05i,0.00058245-0.00016111i,7.8817e-05-0.00028421i,-0.00047478-0.00070655i,-0.00064654-0.0010163i,3.6754e-05-0.00034953i,0.00043237+0.00026405i,-0.00040147+0.00014555i,-0.0010339+0.00017209i,-0.00091126+0.00019123i,-0.00063641+0.00045467i,-0.00093282-0.0002333i,-0.00031552-0.00099408i
