-0.0003994-6.515e-06i,-0.00013543-0.00012666i,-0.00071528-0.00049075i,-0.00099183-0.0010047i,-0.00083352-0.00026527i,-0.0011572+0.00051674i,-0.00045395+0.00077773i,0.0012611+0.00094595i,0.001926+9.0954e-06i,0.0016423-0.00020494i,0.00087408-6.6487e-05i,-0.00022011-0.00058343i,-0.00057354-0.00068768i,-9.2935e-05-0.00027999i,0.00018557+0.00044315i,-0.0002003+0.0014696i,-0.00044355+0.0012018i,-6.8442e-05+0.00046816i,0.00028536-0.000187i,0.00028633-0.00042332i,-0.00013353-0.0005105i,-0.00041606-0.0005455i,-0.00072995-0.00059389i
0.00016543-0.000286i,0.00046205-0.00060711i,0.00097868-0.00085781i,0.0016617-0.0011879i,0.0011518-0.0022779i,-0.00064084-0.0025579i,-0.001121-0.0015513i,-0.00035512-0.00064137i,-9.312e-05-0.00054149i,0.00032199-0.00064653i,0.00024439-0.0003455i,-0.00040958-3.4148e-05i,-0.0005178-0.00010658i,-0.00028927-0.00027866i,-0.0005973-0.00027001i,-0.00068749-0.0003257i,-0.00054565-0.00057428i,-0.00046836-0.00047997i,-2.8157e-05-0.00068257i,0.00026214-0.00059998i,-3.5701e-05+0.00017625i,-0.00040622+0.0005641i,-0.00058314+0.00024456i
-9.6477e-06+0.00093528i,0.00054344+0.00019793i,0.0020066+8.1834e-05i,0.0029179-0.00039049i,0.0020155-0.0015169i,0.00033143-0.0021412i,-0.00028975-0.0020672i,0.00050978-0.0016362i,0.0010116-0.00054126i,0.00061738-0.00075619i,6.1844e-05-0.00092956i,-0.00059187-0.00045054i,-0.00084043-0.00014797i,-0.00064725-0.00035265i,-0.0007558-0.00023139i,-0.0006672+0.00017192i,-0.0002515+0.00021752i,0.00016197-1.4713e-06i,0.00018195-0.00030688i,0.00031299-0.00073795i,0.00061169-0.00090353i,0.00051757-0.0011745i,0.00076863-0.00078416i
0.00092394-0.00094307i,0.0011191-0.00016587i,0.0014307+0.00064202i,0.0014675+0.00055395i,0.00053121-0.00030256i,-0.00047209-0.0010445i,-2.2657e-05-0.00040239i,0.00016534+0.00037805i,0.00041391-0.00017285i,0.00095619-0.0001946i,0.00099618+0.00011053i,0.00061738-3.8173e-05i,-8.8305e-05+1.2337e-05i,-0.00050085+0.00022659i,-0.00054041+0.00011621i,-0.00092569-0.00043192i,-0.00038618-0.00081189i,-1.9123e-05-0.00037626i,-0.00012783+0.00023549i,0.00067106+0.00052422i,0.00033435+0.00082294i,-0.00052612+0.00014122i,-0.0003977-0.00059802i
0.00019608-0.00037344i,0.0010043-0.00065647i,0.0013131-0.000625i,0.0013141-0.00013563i,0.00061538+0.00011499i,0.00013824-5.5304e-05i,0.000559+4.0087e-05i,0.00082047+0.00054744i,0.0012566+0.0004633i,0.00087481+0.00022871i,-0.00037863+0.00020381i,-0.00064178+0.00017845i,-0.00013512+0.00017673i,-4.0292e-05+0.00043746i,-0.00083846+5.0104e-05i,-0.00059788-0.00052078i,0.0002856-0.00028219i,6.1193e-06+0.00017928i,0.0002792-0.00036197i,0.0011748-0.00056305i,0.0011427-0.0003972i,3.3037e-05-0.00030053i,-0.00034047+1.5172e-05i
-0.0010832-0.00057333i,0.00026948-0.0012164i,0.00087374-0.00070009i,0.00071972-0.00031039i,0.0001809-0.00079456i,0.00028655-0.00054387i,0.0012921-0.00062323i,0.0015289-0.00081512i,0.001526-0.00070623i,0.0012456-0.0004443i,0.00080955-0.00012392i,1.2288e-05+8.3757e-05i,-3.0438e-05+0.00059909i,0.00082372+0.00084861i,0.001114+0.00024166i,0.00045448+0.00035273i,-0.00012904+0.00093065i,-0.00048456+0.00039095i,4.3318e-05+4.5295e-05i,0.00013242+0.00087291i,-0.00016381+0.0013969i,0.00013443+0.0011093i,0.0001993+9.3227e-05i
-0.00021862+3.3154e-05i,0.00045322+0.0010506i,0.00054732+0.0011863i,0.00036242-0.00022686i,0.00053102-0.00064896i,0.0010965-0.0006749i,0.0013465-0.0012992i,0.001416-0.0010565i,0.0003751-0.00038169i,-0.00064616-0.0005305i,-0.00029582-0.00025221i,-0.00047783+0.00095205i,-0.00057685+0.0013062i,-0.00029739+0.000864i,5.1152e-05+0.00081666i,0.00020737+0.00075103i,-0.00069862+0.00035255i,-0.00070954-0.00034376i,-0.00028096-0.0014393i,-0.00031491-0.0016513i,-0.00030108-0.00083751i,-0.00054198-0.00030835i,-0.00051227+8.7418e-05i
-0.00020331+3.2836e-05i,0.00083755-0.00024949i,0.002116+8.0178e-05i,0.0033242+0.00024767i,0.0029038-0.00027655i,0.0012292-0.0010292i,-0.00034611-0.0015264i,-0.00028888-0.0016407i,0.00054215-0.0012485i,0.0014729-0.0012056i,0.0015908-0.0012129i,0.00055573-0.00072236i,-0.00052249-0.0002953i,-0.00078426+0.00027706i,-0.00012003+0.00028792i,-2.045e-05+0.00029671i,-0.00072548+0.00082596i,-0.00059055+0.00057838i,-0.00026888-0.00021024i,-1.9088e-05-0.00014554i,0.00021783+0.00033537i,-0.00025545+0.00013161i,-0.0006337-0.00053901i
-7.4949e-05-0.0019945i,6.7871e-06-0.00052274i,0.0002594+6.7286e-05i,0.00011506-0.00049593i,-0.00014385-0.00070026i,0.00082851-0.0003487i,0.0016701-0.00051767i,0.0014106+5.7578e-05i,0.00073252+0.00040706i,0.00070093-0.00014796i,0.00057565-0.00048591i,-0.00022328-0.00051654i,-0.00043615-0.00081002i,1.6366e-05-0.00044322i,-0.00013471-1.5368e-05i,-0.00029169-0.00044825i,1.6904e-06+6.9821e-05i,4.9644e-05+0.00016466i,0.00010044-8.9001e-05i,0.0005492-0.00058549i,0.00065971-0.00071507i,0.00061731-0.00036395i,0.00019296-0.00017145i
-0.00061135+0.00065488i,-0.00010244+0.0019202i,-0.0005047+0.0012559i,-0.00080088+0.00034104i,-0.0012092+0.00053205i,-0.0014473-0.00017518i,-0.00060845-0.00098543i,0.00041088-0.00098702i,0.0008121-0.00056287i,-8.2882e-05+5.0243e-05i,-0.00079783+3.3842e-05i,-0.00070546-2.657e-05i,-0.0001596-0.00027956i,9.5197e-05-0.00026087i,-0.0010549+0.00035954i,-0.00093492+0.00065006i,-0.00041377+0.00071062i,-0.00080774+0.00047325i,-0.00034452+0.00032909i,0.00036338+8.0108e-05i,0.00027709-0.00047404i,4.8876e-06-0.00019136i,-0.00040733+0.00038368i
0.0004926+0.0013268i,0.0018986+0.00040052i,0.0027051+0.00098384i,0.0031124-5.81e-05i,0.0031211-0.001594i,0.0022739-0.0016055i,0.00064056-0.00075974i,0.00015195-0.00058324i,0.0007831-0.00060876i,0.0010941-0.00063454i,0.00056599-0.00073208i,-0.00036489-0.00028362i,-0.00066016+0.00020555i,0.00015978+0.00013608i,0.00029671+0.00030741i,-0.00013119-0.00065024i,-0.00030037-0.00064176i,0.0002915+0.00021151i,0.00065911-0.00074633i,0.00037226-0.0016666i,0.00048739-0.0011099i,-0.00063785-0.00036687i,-0.0010313+0.00016129i
0.00097937-9.0109e-06i,0.0010521-0.00048243i,0.0015953-0.00054889i,0.0018592-0.0010333i,0.00074102-0.0018826i,-2.3972e-05-0.0017481i,0.00024724-0.00019391i,0.00055122+0.00015715i,0.00060298+0.00015495i,0.00063456+0.0001876i,0.00013639+0.00036957i,-0.00064052+0.00073631i,-0.0011337+0.00094198i,-0.00085803+0.00068517i,-0.00047502+4.3979e-05i,-5.2626e-05-0.00030812i,-0.00027794+0.00041174i,-0.00061375+0.00045864i,0.00034332-0.00033803i,0.00050201-0.00031343i,0.00012972-0.00023836i,0.00037127-9.2289e-06i,-0.00033591-0.00013748i
0.00075373-0.00023241i,0.0012518+0.00021614i,0.00076792-0.00049117i,0.0009178-0.00041839i,0.00097702-0.00025757i,4.6935e-05-0.0007773i,0.001181-0.00022181i,0.0016985-0.00040288i,0.0010928-0.0016386i,0.00079203-0.00075172i,0.00032281+9.3452e-05i,-0.00012165-0.00019284i,-0.00031482+0.00021652i,-3.3238e-05+0.00075643i,-0.00019578+0.00040095i,0.0001744-4.9382e-05i,0.00042981+0.00031544i,-3.9762e-05+0.001127i,0.00018438+0.00099598i,0.00042218+5.1074e-05i,0.00016553-0.0002733i,-0.00023261+0.00030265i,-0.0003653+0.0003032i
0.00026665+0.00047015i,-0.00024198+0.00015876i,-0.00055372+0.00084168i,-0.00036644+0.00074715i,0.00040011+0.00057629i,0.00089731+6.4959e-06i,0.00071116-0.00082691i,0.0013707-0.00041156i,0.0014115-0.0003956i,0.00074426-0.00029585i,6.1435e-06+0.00037647i,-0.00023803+0.0002713i,-0.00029483+0.00029118i,-0.00031146+0.00091072i,5.1201e-05+0.0011094i,-0.00050562+0.00068326i,-0.0012238+0.00052578i,-0.00064394+0.0004142i,9.367e-05+0.00011488i,0.00049882-0.00033547i,6.3851e-05-0.00067931i,-0.00025734-0.00012764i,0.0001996+0.00039332i
-0.00070219-0.00064502i,-0.00059689+0.00047548i,0.00039495+0.0017149i,0.00098138+0.0011986i,0.00097621-0.00021279i,0.0020408-0.00080151i,0.0021746-0.0010239i,0.00099364-0.0013421i,0.00077128-0.00071703i,0.00022636-0.00014968i,-0.00083546-0.00040975i,-0.00052782-0.00081135i,0.00032023-0.00086158i,0.00081897-0.00073544i,0.0010206-0.0010086i,0.00063889-0.00094204i,-0.00021536+5.4394e-05i,-0.00023194+0.00066882i,0.00011428+0.0010247i,0.00033097+0.00062665i,0.00053486+0.00020515i,0.00054642-7.4626e-05i,0.00020784-0.0010762i
-2.0776e-05+0.0016108i,0.00067362+0.0013721i,0.0014054-0.0001552i,0.00039516-0.0017597i,1.1845e-05-0.0023263i,-0.00058518-0.0016919i,-0.00059519-0.0010674i,0.00030048-0.00051793i,0.0010669-4.3888e-05i,0.0014233+6.8685e-05i,0.00072129+0.00035096i,-0.00035718+0.00024701i,-0.00023744-0.00040799i,-0.00011075-0.00028584i,-0.00035451+0.00023523i,-0.00057674+0.0005025i,-0.001094+0.00043366i,-0.0010301+0.0005268i,-0.00069083+0.00040865i,-0.0008632-0.00022059i,-0.00062614-0.00043217i,0.00017543-0.00033172i,0.00040724-0.00043898i
0.0015608+0.00047239i,0.0016061-8.5851e-05i,0.0015245-0.00059699i,0.00097554-0.0012389i,-2.3989e-05-0.0017766i,-0.00098388-0.001609i,-0.0004655-0.0012792i,0.00065509-0.0012526i,0.0010546-0.0011538i,0.00080512-0.00038824i,0.00053429+0.00014448i,0.00069168-7.9656e-05i,-5.9011e-06+0.00064706i,-0.00049534+0.00076933i,0.00024866+0.00015151i,0.00049352-9.5242e-05i,-7.6476e-05+0.00012427i,1.2857e-05+0.00030091i,0.00024458+0.00026438i,0.00057615+0.00030102i,0.0011888+0.0003851i,-0.00021729-4.2388e-05i,-0.002034-0.00059616i
0.0009964+0.00041635i,0.0020681-0.00041648i,0.0027833-0.00036998i,0.0032073-3.808e-05i,0.0020394-0.0012002i,0.000529-0.0017254i,0.00040571-0.00075417i,0.00094771-0.00037977i,0.0019806-0.0001844i,0.001785-0.00032143i,0.0009278-0.0007671i,0.00050286-0.00036205i,-0.00034389+0.00070772i,-0.0010119+0.00095507i,-0.00051271+0.00060093i,0.00038576+0.00086442i,0.00048704+0.00051026i,0.0001273+0.00011868i,0.00017457+0.00032645i,0.00062555+0.00013773i,0.00097849+0.00018571i,0.00049078+0.00030233i,-0.00015872+0.0006216i
-0.00044688-0.0017601i,8.2396e-06-0.00076465i,-0.00022715-0.00035178i,-0.00040042-0.00048354i,0.00049749-0.00039895i,0.00084711-0.0006661i,5.6233e-05-0.00086072i,-0.00030084-0.00025388i,0.00017011-0.00035242i,0.00034712-0.00089065i,0.00038152-0.00076353i,-0.00025744-0.00024537i,-0.0010361+0.00063577i,-0.0005757+0.00021328i,0.00035575-0.00028051i,0.00068734+9.0561e-05i,0.00083479+0.00022952i,0.00089297+0.00021451i,0.00046806-0.00030092i,0.00024598-1.3082e-05i,0.00079375+0.00056727i,0.00061276-0.0003777i,-0.00022598-0.00084894i
0.0020669+0.0016152i,0.0030049+0.0015198i,0.0032348+0.0016763i,0.0026267+5.9862e-05i,0.0017413-0.0023307i,0.00050557-0.0023687i,0.0005857-0.00056444i,0.0011062+0.00056881i,0.0011752+0.00033981i,0.0012524-1.1557e-05i,0.0013065+0.00010705i,0.00091191-0.00030905i,-0.00010665-0.00025326i,-0.00016825+0.00020697i,-0.00012854+0.00022232i,1.0876e-05-0.00026915i,0.00024885+0.00034799i,0.00027746+0.0001312i,0.00067892-0.000702i,0.00066088-0.00010549i,0.00040599+0.00081879i,0.00015179+0.00081734i,1.2219e-05+0.00065286i
7.7067e-05-3.3254e-05i,-0.00073601+0.00031019i,0.00016483+0.00039811i,0.0012778-0.00020584i,0.00049818-0.0012005i,-0.00040088-0.0010331i,9.0559e-05-0.00011778i,0.00075104-0.00014737i,0.00073323-0.00057349i,0.00092119-0.0003945i,-9.9786e-05-0.00013598i,-0.00040541-0.00014816i,0.00031969+0.00038973i,0.00026059-5.2253e-05i,-0.00011668-0.00030785i,-0.00039895-0.00046598i,-0.00016364-0.00046392i,0.00035754+0.00023107i,0.00067106+0.00064067i,0.0010747+0.00015392i,0.00065813-0.00050651i,-4.5804e-05-0.00064727i,0.00062759-0.00074391i
-0.00055887+0.00064579i,-0.0014768+0.0011734i,-0.0014842+0.00055066i,-0.00081479-0.00080397i,0.00014708-0.0014093i,0.0003382-0.0013758i,2.4438e-05-0.0010624i,0.00028046-0.00028609i,0.00048363-0.00021328i,0.00063676+8.7062e-05i,0.00016854+0.0002931i,0.00011925+0.00049789i,-2.1711e-05+0.00063874i,-0.00055961+0.00014182i,-0.00067296+7.2566e-05i,-8.3992e-05-6.0314e-05i,0.00019437-7.8362e-05i,5.1447e-05+0.00048156i,5.6169e-05+0.00061083i,-0.00035705+0.00057308i,-0.00076125+0.00018612i,-0.0005106+0.00015367i,-0.00051814+0.00038039i
-0.00020246+0.00089162i,0.00093244+0.0013007i,0.00072106+0.0009408i,0.0014908+1.2079e-05i,0.0015254-7.113e-06i,0.00052502-0.00042252i,5.5329e-05-0.0010416i,-0.00021827-0.0011307i,0.00029999-0.00060047i,0.00080565+8.8181e-05i,0.00067716+0.00033455i,8.5792e-05-5.9765e-05i,-0.00070042-0.00046038i,-0.0005282-0.00029383i,-0.00016143+0.00022662i,-0.00014906-0.00038219i,5.6012e-05-0.0010103i,0.00048326-0.00079368i,0.00069554-0.00035393i,0.00019671-0.0001765i,-0.00056151-9.9067e-05i,-0.00036553+0.00061451i,0.00050043+0.0010789i
-0.002374-0.00076999i,-0.0021513+0.0004649i,-0.0012703+0.0014838i,0.00049288+0.0010761i,0.0017764+0.000112i,0.0015322-0.00097034i,0.0010273-0.0016322i,0.00070974-0.0010334i,0.00072914-0.00031794i,8.627e-05-0.0001249i,-2.1871e-05-0.00059533i,-0.00014953-0.00075805i,0.0001177-0.00038853i,8.9601e-05+6.8455e-05i,-0.00046298+2.6771e-05i,-0.00023368-0.0001986i,-0.00019137+1.525e-05i,-9.0263e-06+8.2814e-05i,0.00013108-0.0004232i,-8.1228e-05-0.00038213i,0.0004286-0.00020392i,0.00094463-2.8055e-05i,0.00099281-0.00018505i
-0.00010475-0.00049698i,0.00067309-0.0010802i,0.001302-0.0011854i,0.0017544-0.00089337i,0.0019737-0.0010166i,0.0012363-0.0010468i,0.0010369-0.00078218i,0.0013259-0.00079434i,0.0013948-0.0011024i,0.00098464-0.0010524i,0.00063122-0.0013376i,0.00024799-0.0018538i,-0.00033139-0.0010357i,-0.00055264-0.00025082i,-0.00071783+0.00021728i,-0.00092941+0.00048511i,-0.00041694-7.6856e-07i,0.00045803+0.0005367i,0.00017994+0.0014614i,0.00030412+0.00097345i,0.00073212+7.9515e-05i,0.00015921+0.00012626i,-4.7115e-05+0.0008585i
4.3124e-05-0.0010067i,-0.0006703-0.00055366i,-0.00084102+0.0003083i,0.00012323+0.00019065i,0.00041254+0.00061799i,0.0003826+0.00068817i,0.00065342-0.00035903i,0.00067971-0.00050488i,0.00056267-0.00038654i,0.00041762-0.00018265i,0.00031881+0.00024563i,0.00036965-0.00013311i,7.4852e-05+0.00033345i,0.00034594+0.00077445i,0.00075995-5.639e-05i,5.6873e-06-0.00019665i,-0.00065326-5.7648e-05i,-0.0010114+9.623e-05i,-0.000833+0.00064473i,-0.00029657+0.00046445i,1.2364e-05+0.00016851i,5.0676e-05+0.00052903i,0.00032108-5.4939e-07i
-0.00089466+0.00024118i,-0.0014446+0.00075072i,-0.00069951+0.00068654i,-0.00029843+0.00038851i,-0.00054078+0.00046639i,-0.00071716-0.00016556i,-0.00011662-0.00049571i,0.00081718-0.00017947i,0.00085174-0.00027138i,0.00032878+8.811e-05i,-0.00048696+0.0007293i,-0.00057014+0.00071919i,-0.00026621+3.1993e-05i,-0.00013145-0.00042534i,-0.00058427-0.00023349i,-0.001195-0.00015399i,-0.00059434-0.00021771i,0.00026714-0.00071188i,0.00061258-0.0012886i,0.00089204-0.00082259i,0.0004392-0.00041965i,-3.6615e-05-0.00032573i,-1.228e-06-7.4961e-05i
0.0006866-0.00017713i,0.00088435-0.00022649i,0.001703+0.00039054i,0.0022796+0.00089057i,0.0019666-0.00048436i,0.0010005-0.0014833i,0.00055371-0.00045167i,0.00065829-0.00043908i,0.00079252-0.0014001i,0.00057543-0.0014352i,-0.00019246-0.00126i,-0.00051246-0.00034029i,-0.00087813+4.8565e-05i,-0.00064745-0.00086527i,-0.00015901-0.0013365i,-0.0004988-0.00084254i,-0.00052151-6.6409e-05i,-0.00060409+0.00056348i,-0.0010982+0.00087766i,-0.00063294+0.00055897i,-0.00051303-0.00055649i,-0.000792-0.00078475i,-0.00089935-0.00010554i
-0.0011346-0.00042196i,-0.00066851+0.0004033i,4.2101e-05-0.0003316i,0.00065976-0.0012018i,-7.7429e-05-0.001147i,-0.0002771-0.0012922i,0.00029163-0.0016014i,0.0010144-0.0011854i,0.0016124-0.0008128i,0.00091894-0.00075293i,0.0001522+0.0002592i,-0.00034965+0.00070193i,-7.1209e-06-0.00023994i,-9.5788e-05-0.00015623i,-0.00058847+0.0002603i,-0.00054135+7.9647e-05i,-0.00093129+0.00032816i,-0.00048723+0.00095868i,0.00011462+0.00082002i,-0.00068075+0.0005593i,-0.00093362+0.00083508i,-0.00036533+0.00063649i,-0.0002677-0.00022905i
-0.0003565+0.0001592i,0.00086604-0.00037227i,0.0018115-0.0003125i,0.0017448+0.00026417i,0.0021562-0.00035674i,0.0017523-0.00076401i,0.00065715-0.0015054i,0.0009036-0.0011694i,0.0012889-0.00041422i,0.00091883-0.00024004i,0.00034014+8.6279e-05i,0.000245+9.5857e-05i,0.00051012-0.00074035i,0.0008283-0.00097813i,0.00048195-0.00051989i,-5.2209e-05+0.00031594i,-0.0007326+9.3097e-05i,-0.00043368-0.00064091i,0.00047936-0.0012341i,0.000864-0.0015248i,0.00097268-0.00097849i,9.3261e-06+0.00012821i,-0.00036249+0.00032286i
0.00012639+0.0013466i,0.0010589+0.0021017i,0.0018513+0.0022225i,0.0015501+0.0021925i,0.0012889+0.00099884i,0.0010329-0.00042966i,0.001053-0.0012944i,0.000602-0.0012085i,-0.00021653-0.00069556i,0.00028227-0.00028702i,0.00040217+0.00067248i,-0.00011381+0.00088477i,-0.00081404+0.00028941i,-0.0011621+0.00086937i,-0.00063904+0.0010668i,-0.00076938+0.0002042i,-0.0005651-0.00093964i,0.00039573-0.00036729i,0.0002867+0.00031832i,0.00045539-0.00058038i,0.00067421-0.00084046i,1.5161e-05-0.0014839i,-2.9073e-05-0.0010391i
