-0.0029124-0.00050518i,-0.0020805-0.0023784i,-0.0021753-0.0030663i,-0.0024979-0.0022025i,-0.0020361-0.00062273i,-0.0019314+0.00063261i,-0.0014769+0.0012424i,0.00056485+0.0010003i,0.0015829+0.00045976i,0.00028204-0.00019834i,-0.00045282-0.00085566i,-0.00010234-0.00088238i,-0.00068092-0.00028967i,-0.0013388+0.00079537i,-9.767e-05+0.0016558i,0.00088207+0.00092059i,0.00011147-8.9997e-05i,-0.00038053-0.00038544i,0.00043665-0.00068448i,0.0009211-0.00094764i,0.00060704-0.00050529i,-0.00027056-0.0002833i,0.00010952-0.0002357i
0.0016837-0.00019357i,0.0016037-0.00072906i,0.0015005-0.0013871i,-0.00042841-0.00071254i,-0.0018989-0.00011442i,-0.00085374-2.6007e-05i,0.0004171+0.00014891i,0.00094276+0.00064824i,0.00079459+0.00054221i,0.00074708-0.0006547i,0.0010056-0.0009016i,0.00054671-0.0005588i,0.00046805-0.001294i,0.00085269-0.0013795i,0.00050878-0.00086814i,-0.0003411-0.00036455i,-0.00045027-0.00015879i,-9.9301e-05+7.378e-05i,0.00020738-0.00062629i,0.00050885-0.0010336i,0.00052613-0.00097585i,0.00020853-0.00064574i,-6.6031e-05+0.00017084i
-4.611e-05+0.00021159i,7.0502e-05-8.6583e-05i,0.000739-0.0010909i,0.0011638-0.0010931i,0.00056282-0.00050614i,-7.178e-05-0.00029031i,-0.00018167+0.00014386i,-9.3349e-05+0.00064724i,0.00075375+0.00010029i,0.001335-0.00058i,0.001341-0.00087083i,0.0010811-0.0016038i,0.00029179-0.0013168i,-0.00065178-0.00012249i,-0.00083691+0.00012013i,-0.00024732-0.00049708i,-0.00011649-0.00066257i,-0.00030708-5.1137e-05i,0.00016259+0.00024755i,-4.3942e-05-0.00040006i,-0.00048372-0.00063122i,-0.00021842-0.00057201i,0.00051528-0.00052977i
0.0021099-0.00039535i,0.0018551+0.00031321i,0.0024986-0.00082595i,0.0016949-0.0010065i,-0.00043602-0.0013906i,-0.0013952-0.00038261i,-0.00086125+0.0012147i,-0.00022671+0.00083774i,0.00079991+0.00031139i,0.00092141-0.00038127i,7.3502e-05-0.00053761i,-0.0003426+8.8961e-05i,0.00013273-6.2041e-05i,0.0009562-0.00017845i,0.0011507-0.00038529i,0.00098364-0.0008083i,0.00077997-0.00051757i,0.001322+0.00015821i,0.0018123+0.00078245i,0.00059144+0.0008431i,-0.00017338+0.00064277i,-0.00038797-0.00012981i,-5.4053e-05-0.00065932i
0.0018447+3.457e-05i,0.0024334-0.00034072i,0.0035066-0.0012358i,0.0023484-0.0009531i,0.00061568-0.0011124i,-0.00013751-0.0021015i,-0.00020405-0.0010599i,-0.00010573+0.0007083i,-1.4032e-05+0.00013651i,0.00051443-0.00067622i,0.00050706-0.00026227i,0.00011265-0.00056995i,-0.00018457-0.0013327i,-2.283e-05-0.00072581i,0.00012136-0.00073973i,0.0005984-0.00092322i,0.0010931-0.00013223i,0.00050034+0.00019461i,0.00023769-0.0004818i,0.00017701-0.00046463i,-7.1477e-05+0.00020998i,-0.00020513+0.00011385i,0.00037571-0.00023943i
0.0021391-0.00056342i,0.0012351-0.0010117i,0.00064943-0.0010612i,0.000313-0.00083428i,8.1825e-05-0.00052469i,1.9618e-05-2.6942e-05i,0.0011074+0.00025063i,0.0018768+0.00092779i,0.0013738+5.0202e-05i,0.0010766-0.0011586i,0.0010376-0.0012375i,0.00095273-0.00098186i,0.00049635-0.001066i,-0.00010163-0.00044372i,0.00027058+0.00027735i,0.00016459+0.00012267i,-0.0004777-0.00053211i,-0.00012302-0.00074789i,0.00069165-0.00031837i,0.00057077-0.00010474i,0.00036466+3.7706e-05i,0.0005167+0.00015642i,0.00055209-8.9162e-05i
-0.0011891-0.00056406i,-0.0024414-9.2445e-05i,-0.0027188+0.00092643i,-0.0011538+0.0017857i,-0.00063023+0.00089937i,-0.00027893+3.3232e-05i,0.00023222-0.00092466i,0.00025355-0.00072674i,0.0005583+0.00022893i,0.0010362-0.00027749i,0.0011086-0.00035148i,0.0009744+9.1751e-05i,0.00025854+0.00050799i,-0.0003102+0.00052427i,0.00013358-2.919e-05i,0.00070931-0.00075834i,0.00037267-0.0010429i,0.00054721-0.00074376i,0.00075201-8.4653e-05i,0.00015645-0.00014695i,-0.00040036-0.00076053i,-0.00020338-0.00052674i,0.00052748+0.00038839i
0.0015693-0.00045832i,0.00092502-0.00053328i,-4.1001e-05-0.00097316i,-0.00056846-0.00066101i,4.1081e-05+3.4156e-05i,0.00023128-0.00026784i,-0.00049309+0.00056419i,-0.00025334+0.00046569i,0.00030312-0.00019849i,-0.00048566-0.00080715i,-0.00075733-0.0013079i,-0.0008094-0.00088014i,-0.00076342+0.00018556i,-0.00051271+0.00094007i,-0.00036352+0.00080956i,-0.00016666+7.1745e-05i,-0.00010265-0.00047296i,-0.00039271-0.00028631i,-0.001198-0.00012425i,-0.00097351-7.0742e-05i,0.00022414+0.00020029i,0.00012463+3.725e-05i,2.9153e-05+8.0968e-05i
-0.0027205+0.0018741i,-0.0017093+0.0028429i,-0.00088291+0.0037314i,0.00042182+0.002455i,0.0010553+0.0015869i,0.00084531+0.0016418i,0.0007423+0.0010823i,0.0012129+0.00010289i,0.0011782-0.00061653i,0.0007739-0.0013908i,0.00048565-0.00074321i,0.00061783+7.2854e-05i,0.0005828-0.00024628i,-0.0001362+2.9055e-05i,-0.00023111+0.00071909i,0.00011333+0.00064233i,0.00022558+0.00037935i,0.00025363+0.0004439i,0.00045373-0.00041728i,0.00051399-0.0011824i,0.00044677-0.00030936i,0.00039753+0.00087441i,4.9271e-05+0.00073966i
0.00061232-0.0012311i,0.00028364-0.001139i,-0.00026561-0.0019821i,-0.001496-0.0020921i,-0.0020469-0.0017511i,-0.0016025-0.00094122i,-0.00060924-0.00011442i,0.0004451-0.0005606i,0.00028571-0.00040612i,0.00016475+2.733e-07i,0.00038731-0.00050309i,-0.00015043-0.00072796i,-0.00090382-0.00088307i,-0.00062241-0.00028411i,-0.00034+9.7292e-05i,1.2245e-05-0.00051274i,-2.5103e-05-0.00072972i,-0.00026132-0.00091659i,0.00054758-0.00094631i,0.0010235-0.00070805i,0.0002085-0.0006218i,-0.00088339-0.00059634i,-0.00052666-0.00067271i
0.0013361-0.0018716i,0.00056046-0.0014183i,-0.00046275-0.001997i,-0.0013039-0.00090815i,-0.0010749+0.00021721i,-0.00044578+0.00050952i,0.00015243+0.00044318i,0.00052451-0.00013206i,0.00055205-0.00032509i,0.00017645-0.00029845i,0.00010326-0.00096562i,0.00045576-0.0014116i,1.3084e-05-0.00078863i,-1.4817e-05+0.00048236i,0.00047081+0.00054005i,0.0008359-0.00021067i,0.00069745-0.00011033i,0.00042715+0.00043522i,8.0805e-05+0.00053807i,4.9351e-06+0.00036374i,0.00067246-2.0613e-06i,0.00048663-0.00030049i,-0.00036679+2.4513e-06i
-0.00023015-0.0012354i,0.00040397-0.00112i,0.00088402-0.0016681i,0.00094753-0.0011871i,0.0001236-0.00022239i,-0.0010916-2.6041e-05i,-0.00068952+0.0004606i,4.9332e-05+0.00067683i,0.00023907+0.00082297i,0.00016227+0.00014707i,-7.5713e-05-0.0012437i,0.00070946-0.001309i,0.0012214-0.00024171i,0.00061513+0.00013187i,-0.00018951+0.00067935i,8.3587e-05+0.00079584i,0.00066826-0.00015686i,0.00040094-0.0010437i,0.000266-0.0014253i,8.7506e-05-0.0017552i,0.00035332-0.0013623i,0.00011638-0.00083598i,-0.00031473-0.0002731i
-0.0014015-0.0012181i,-0.0024782-0.0012974i,-0.002764-0.00015644i,-0.0022429+0.00018873i,-0.00093944+1.6562e-06i,0.00073879+0.00085813i,0.00033165+0.0009264i,0.00064613+0.00039443i,0.0012887+0.00019179i,0.00033064+0.00038799i,1.0533e-06+0.00041954i,-5.0468e-05-6.4848e-05i,-0.00035904+1.5392e-05i,-0.00027803+0.00075758i,-5.4577e-05+0.00085788i,-0.00014567+0.00047286i,-2.9977e-05+0.00059126i,0.00035052+0.00017286i,0.00054051-0.00077785i,0.00070958-0.0012528i,0.00095962-0.0012966i,0.00045754-0.0019766i,-0.00026607-0.0018798i
0.00098228+1.1209e-05i,0.00074344-0.0002418i,0.00073683-0.0025353i,0.00044952-0.0019494i,-0.00064241+8.9583e-05i,-0.00040099+0.00086817i,0.00027453+0.00056521i,0.0010403-7.7097e-05i,0.0017063-0.00046239i,0.0012126-0.0011097i,0.00015261-0.00093101i,-0.0004627-1.7753e-05i,-0.00074571+0.00030664i,-0.0014108+0.00018249i,-0.0011561+0.00055812i,-0.00018718+0.00061552i,0.00030601-1.7377e-06i,0.0007569-0.00038003i,0.00034646-0.00029211i,-0.00012713+5.0882e-05i,0.00016308-5.8721e-05i,5.0752e-05+0.00017555i,-0.00052873+0.00070144i
-0.0014035-0.0014555i,-0.00078752-0.0016818i,-0.0010901-0.00077477i,-0.0017957-0.00044495i,-0.0012887-0.00054526i,0.00028232-0.00066597i,0.0008842+3.2872e-05i,0.00052222+0.00073028i,0.0010405+0.00030986i,0.0016245-0.00030654i,0.0011722-0.00078305i,0.00062144-0.00086699i,-6.5218e-05-0.0002619i,-0.00048633+7.2151e-05i,0.0003706-0.00027591i,0.00067719-0.0006432i,-8.3683e-05-0.00051072i,0.0001954-7.2612e-05i,3.5583e-05+0.00039551i,-2.7044e-05+0.00074633i,0.00034651+1.5433e-05i,0.00013561-8.6055e-05i,-0.00019951+0.0003862i
0.0019179+0.00051924i,0.00079796+0.00090023i,-0.00054348-0.00018567i,-0.00067046-0.0017997i,-0.0002639-0.0024858i,-0.00014573-0.0012002i,-7.0293e-06+0.00019373i,0.00044041-8.0142e-05i,0.00094598-0.00029517i,0.0011447-0.00027728i,0.00094516-0.00025681i,0.00011249-0.00040122i,0.00016255-0.00075306i,0.00091349-9.2556e-05i,0.0010406+0.00085798i,0.00025063+0.0008202i,-0.0005579+0.00038185i,7.3645e-05-6.9742e-05i,0.00026805+0.00052568i,0.00034411+0.00063856i,0.00079712-0.00039761i,0.00072499-0.00045942i,0.0010724-0.0003532i
-0.002989-0.0016889i,-0.0023202-0.001083i,-0.0020096-0.00058306i,-0.00083226-6.7403e-06i,-0.00029964+0.00054398i,-0.00033028+0.00064032i,-0.00046311-6.0617e-05i,-0.00065849-0.00012285i,0.00013935-0.00013109i,0.00059132-0.00048325i,0.00051079-0.00045181i,0.00088542+0.00042592i,-0.00023232+0.00074283i,-0.00055835+0.00030327i,-0.00049491-0.0004768i,-0.00020102-0.00056707i,0.0010099+0.00020562i,0.0015439+0.00035161i,0.00095924-0.00022936i,0.00060225-0.00025885i,0.00092353-0.00010535i,-7.1176e-05-0.0004773i,-0.0001817-0.00031974i
-0.0019038+0.0020864i,-0.0015456+0.0020369i,-0.001045+0.0016648i,-0.00039359+0.0012654i,0.00073566+0.00072894i,0.0011736-0.00054788i,0.00040039-0.00086162i,0.00055152-0.00010473i,0.0014476+0.00010835i,0.0011563-0.00020104i,0.00091449-0.00027554i,0.00068313-0.00021558i,0.00035121-0.00041551i,4.8272e-05-0.00056666i,-4.8126e-05+0.00043021i,0.00016409+0.0010441i,0.0001476+0.00069087i,0.00038497+1.0364e-05i,0.00054784+0.00011564i,6.4008e-05+0.00081086i,0.00034085+0.0011122i,0.00082866+0.0006653i,0.00069644+0.0005661i
-0.0022079-0.00080737i,-0.001863+0.00020735i,-0.0013316+0.00047599i,-0.00099261+0.00031011i,-0.00048209+0.00027551i,9.94e-05+0.00029382i,0.00054344-0.00026184i,0.00050703-0.00064268i,-0.00037113-0.00032313i,-1.7941e-05-0.00030712i,0.00070358-0.00066827i,0.00033855-8.0962e-05i,-0.00021405+0.0005746i,-0.0001714+5.2495e-05i,-2.6977e-05-8.9071e-05i,-0.00031197-0.00043419i,0.00029381-0.00041327i,0.00033268+0.00032637i,-8.0521e-05+0.00064158i,-0.00018718-6.1285e-05i,-0.00013171-0.001144i,-0.00034173-0.001311i,-0.00051141-0.00027274i
-0.00042481-3.5215e-06i,-0.00020831-0.00042594i,0.00016093-0.00017053i,0.00014589-0.00012396i,-0.00023157-0.00094504i,-0.00059918-0.0013981i,-0.00038018-0.00066645i,0.0002456+0.00018255i,0.00030941-5.8867e-05i,0.00057943+1.8673e-05i,0.0010501+0.00014955i,0.0007077-0.00058346i,3.9849e-06-0.00073839i,-0.00033328-0.00035883i,-0.00025589-0.00019591i,-0.00067561+0.000424i,-0.00045181+0.00058637i,0.00037791+0.00028661i,0.0010823+0.00022263i,0.0014332+2.7487e-05i,0.00096576+0.000203i,0.00011748+0.00020814i,-4.6551e-05+0.00017522i
0.0016248+2.1873e-05i,0.00065834+0.0001924i,0.00017768+0.00032921i,0.00018761+0.00072374i,0.00024208+0.0014755i,0.00039239+0.001818i,0.00023272+0.0008895i,0.00034542-0.00018096i,0.00070159-0.00091681i,0.00054961-0.00045014i,0.00053238+0.00040212i,0.00047229-0.00013661i,0.00041226-0.00019163i,0.00052923+0.00013601i,0.00077979+0.00029598i,-0.00010486-0.00013199i,-0.00070718-0.00085193i,-0.00014096-0.00067601i,-5.3768e-07-5.4613e-05i,0.00024989+0.00029897i,0.00048362+1.269e-05i,0.00045797-0.00013399i,-0.00010372-0.00034478i
0.00031325+0.0020568i,0.00031925+0.0028278i,-1.7109e-05+0.0023432i,-0.00016835+0.00048022i,0.00012026-0.00058792i,-0.00046611-0.00056405i,-8.2893e-05-0.00024285i,0.00099937+0.0004409i,0.00092585-0.00011176i,0.0004169-0.00098374i,0.0006987-0.0012033i,0.00067316-0.0012293i,-0.00015494-0.00087942i,0.00069985-0.00059799i,0.0015149-0.00061437i,0.0013753-0.00096033i,0.0011364-0.0011834i,0.00034488-0.0012349i,-0.00045224-0.0011538i,-0.00052821-0.0011268i,-9.369e-05-0.00036905i,0.00014755-0.00018354i,1.1063e-05-0.00049096i
1.7872e-05-7.8432e-05i,0.00068877+0.0010173i,0.00070244+0.0012581i,0.00037582+0.00068208i,0.00078705+0.00066554i,0.00058402+0.00038925i,-0.00026619+0.00017183i,-0.0005186+0.00031245i,0.00023475+0.00013068i,0.00054014+0.00039027i,6.1089e-05+0.00025716i,-1.992e-05-0.00047446i,0.00014117-0.00040267i,0.00044371-0.000161i,0.00078872+0.00032291i,0.00079564+0.00020472i,0.00053848-0.0006037i,1.8076e-05-0.00072783i,-0.00068335-0.00094287i,-0.00067865-0.0010155i,0.00017923-0.00092244i,0.00034831-0.00068483i,-0.0002473-0.00028043i
0.0014426-0.0017753i,0.00030187-0.0013801i,0.00062307-0.00048945i,0.00075371-0.0004116i,-0.0010551-0.00037252i,-0.0017012-0.00033983i,-0.00099511-0.00026371i,0.0002987-0.00020111i,0.0013076-0.0011285i,0.0016403-0.0012214i,0.0010804-0.00039702i,-3.9763e-05-5.9111e-05i,-0.00063441+0.00030986i,-0.00068061+0.0004184i,-0.00031982+0.00014626i,0.00030278-0.00021512i,0.00070401-0.00053296i,0.00090301-0.0001207i,0.001164+0.00083801i,0.00093825+0.0010228i,0.00071396+0.00055291i,0.00037214-0.00023919i,-0.00028059-0.00025952i
0.00099068-0.0007004i,0.00025201-0.00077264i,-0.0003535-0.0015601i,-0.00055829-0.0015566i,-0.00017924-0.0012387i,0.00028451-0.00076624i,0.00038622-0.000314i,0.00055622+0.00013719i,0.00077987-0.00041993i,0.00036275-0.0012935i,-0.00025957-0.00081228i,-0.00076484-0.00024768i,-0.0011587-0.00036393i,-0.0010526-0.00025795i,-0.00026342+8.7308e-05i,9.5573e-06+2.6531e-05i,0.00026729-0.00026252i,0.00022637+0.00026121i,0.00018613+0.00012091i,0.00042311-0.00067175i,0.00074116-0.00086403i,0.00079046-0.00084831i,-0.00018295-0.0011014i
0.0034858+0.00041244i,0.0022563+0.00080657i,0.0023478-0.00080133i,0.002018-0.0020016i,0.0013083-0.0023875i,0.00083933-0.0020365i,0.00047655-0.00068116i,0.00058421+0.00026047i,0.00080737-4.5966e-05i,0.00061692-0.00093015i,0.0009289-0.0014433i,0.0007658-0.0016178i,0.00063905-0.0017358i,0.00071092-0.0016895i,-9.6151e-05-0.00056084i,-0.00061253+3.2934e-05i,-0.00013309-0.00013969i,0.00027214-1.013e-05i,0.00029915+0.0006963i,0.00051636+0.0012451i,0.00037474+0.00083402i,-3.9357e-05+0.00018722i,-0.00038381+0.00044649i
-0.00073218-0.0023899i,-0.00075756-0.0019036i,-0.0012257-0.00152i,-0.00018591-0.00072293i,0.00068406+0.00043721i,0.00031234+0.00086291i,-0.00014777+0.00020054i,-0.00057521+0.00021917i,-0.00052778-0.00025185i,0.00023651-0.00089115i,0.00042193-0.0012984i,0.00034913-0.0013673i,0.00019882-0.00028149i,-0.00041799+0.00051984i,-0.00049504+0.00049697i,-0.00055013-3.7379e-05i,2.4662e-05-0.00043821i,0.00061049-0.00046954i,0.00037503+0.00024844i,7.4765e-05+0.00133i,-2.6012e-05+0.00051776i,0.00069189-0.0007686i,0.00088073-0.00065337i
-0.00012012-9.9333e-05i,-0.0011938+0.00012144i,-0.0013678-0.00016798i,-0.0010991+0.00017766i,-0.0012107+3.0754e-05i,-0.0017482-0.00014063i,-0.00094527+0.00036813i,0.0003275+0.00034116i,0.0004811-0.00042197i,0.00057306-0.00076441i,0.00091679-0.0013547i,0.00096443-0.0010659i,0.00067098+4.011e-06i,0.00076953+0.0010439i,0.00073723+0.0010685i,-8.9114e-05+0.00013026i,-3.6928e-05-0.00068677i,3.8626e-05-0.0006281i,-0.00018568-0.00097727i,0.00024614-0.0019319i,0.00073642-0.0013947i,0.0010659-0.00046388i,0.0010125+0.0002967i
-0.0011426-0.001064i,-0.0014834-0.0007378i,-0.0016476-0.00070172i,-0.0015127+0.00029i,-0.0016282+0.00022738i,-0.00082941-0.00026454i,-1.0423e-05-0.00063801i,0.00086306-0.00098489i,0.0013909-0.00084794i,0.0011756-0.00053661i,0.00039971-0.00046769i,0.00012199-0.0011493i,0.00030955-0.0011665i,0.00047336-0.00022266i,0.0011812+0.00046959i,0.0011121-0.00016371i,0.00011392-0.0010754i,-0.00067883-0.00069225i,-0.00066009-0.00019478i,0.00011961+0.00030396i,0.0005454+0.00066543i,-1.1796e-05+0.00058297i,-0.00051685+0.00041133i
-0.0012717-0.0025663i,-0.00084904-0.0019711i,-0.0022446-0.001849i,-0.0024224-0.0017137i,-0.0015527-0.00086794i,-0.0006412-0.00042058i,-0.00015842+0.00060913i,0.00026343+0.0012485i,0.00067687+0.00079352i,0.00012697+0.00028537i,-0.00048629-0.00023703i,-5.526e-05-0.00041091i,0.00019117+0.00016002i,0.00013535+0.00034784i,2.2416e-05+0.00037864i,0.00030601+0.0001542i,0.00088573-0.00019451i,0.00078739-0.00037698i,0.00043723-0.00020654i,0.00083819+8.5542e-05i,0.0014229-0.00064726i,0.00084381-0.00080599i,0.00041647+0.00028245i
-0.00059749-0.0010498i,-0.00025369-0.00094614i,0.0010313-0.0013547i,0.0015156-0.00048143i,0.00067143+7.5648e-05i,0.00015393+0.00072921i,0.00024123+0.00095061i,0.00073405+0.00044894i,0.0011181+0.00022155i,0.0010311+0.00051954i,0.00015805+0.00030081i,0.00011213+0.00055296i,0.00059821+0.00062352i,0.00011074-0.00014913i,-0.00022331-0.00056511i,0.00076807-0.00053083i,0.00058423-0.00049318i,0.00043533-0.00027692i,0.0012924-0.00032311i,0.00106-0.00053715i,-0.00024847-0.00028152i,-0.00058276-0.00018072i,-0.00010476+0.00053344i
0.00020167+2.6732e-05i,0.0005585-0.00010817i,0.00028325+0.0013602i,-0.00022373+0.0016006i,-0.0009158-8.7468e-05i,-0.0001646-0.00067064i,0.00042565+0.00039171i,5.9071e-05+0.00062792i,9.1454e-05-0.00028971i,0.00069722-0.00072377i,0.0012383-0.00073436i,0.0010405-0.0012819i,0.00060221-0.00047408i,0.00055357+0.00081178i,0.00080319+0.0012731i,0.0011344+0.0007797i,0.0011072+5.4266e-06i,0.0007022-0.00010239i,0.00030079+0.0001194i,0.00038215+0.00016844i,0.00038393-0.00015732i,5.9986e-05-0.0008766i,8.4807e-05-0.00092907i
-0.00066874-0.0012384i,0.000111-0.0012207i,-9.6059e-05-0.00046652i,-0.00061456-0.00021547i,-7.4413e-05-0.00030831i,0.00030073-0.00027296i,0.00026953-0.00011793i,0.00068588+0.00041235i,0.00048891+2.1281e-05i,0.00036265-0.00069938i,0.00025966-0.0010164i,-3.1572e-05-0.0010317i,-0.00024096-0.00035382i,-0.00076069+0.00070639i,-0.00055638+0.00088456i,0.00054762+0.00020982i,0.00078043+0.00026564i,0.00028038+0.00014091i,0.00041354-0.0002889i,0.0011717+0.00047539i,0.0013686+0.0012494i,-0.00017419+0.00095386i,-0.0011117+0.0006875i
