0.00023984+0.00019634i,-0.00093054+0.00061692i,-0.0018504+0.0022282i,-0.00099809+0.0023405i,-2.1352e-05+0.0017371i,-0.00013085+0.0014364i,-0.00062591+0.0013826i,-0.00021746+0.00099783i,0.00018366+0.00054963i,-9.8534e-06+0.00051206i,0.00033838-0.00024553i,0.00099534-0.00083619i,0.00069152-0.0002842i,2.7011e-05+0.00029256i,0.00053452+0.00069141i,0.00090216+0.0006002i,0.00057834+0.00043669i,3.0449e-05+0.00018663i,-0.00029624-0.0003326i,-0.00076245-0.00077703i,5.3438e-05-0.00094126i,0.0013896-0.00089299i,0.0014815-0.00059284i
-0.0002598-0.00017345i,0.00010354+0.00076075i,-0.00045068+0.0012159i,-0.0012562+0.0020835i,-0.0011929+0.00101i,-0.00099435+0.00064474i,-0.00067167+0.00098731i,-0.00032669+0.00012587i,-0.00055864-0.0007422i,-0.00013797-0.00083542i,0.00021846-0.00074159i,2.2181e-05-0.00053382i,0.00013811-0.00035273i,0.00056447+0.00013185i,-5.9496e-05+0.00043316i,-0.00094691+8.4498e-05i,-0.00066984-0.00014469i,-0.00021403-0.0001224i,-0.00041534-0.00031649i,-0.00047796-0.001254i,9.9194e-05-0.00086811i,-3.8381e-05+0.00039939i,3.3348e-05+0.00012682i
-0.0020704-0.0029665i,-0.0015459-0.002703i,-0.0012798-0.0015668i,-0.0015201-0.00037304i,-0.00139+0.0010739i,-0.00054748+0.0011341i,-0.00039265+0.00046826i,2.5637e-05+0.00059576i,-0.00023166+0.00084512i,-0.00067628+0.00029607i,0.00021429-0.00029872i,0.00054903-0.00017622i,0.00041791+0.00028507i,0.00015151-5.4696e-05i,-0.00039652-0.00076369i,-0.00083036+0.00021683i,-0.00084404+0.00077432i,-0.0001691+0.0011423i,0.00042489+0.0016302i,0.00024892+0.00030184i,-0.00024164-0.00064915i,0.00047113-0.00049316i,0.001043-0.00020678i
0.0010964+0.0027728i,0.00031921+0.0028021i,-0.00040197+0.0014477i,-0.00046171+0.0011555i,-0.00012951+0.0011654i,-9.8235e-05+0.0012973i,0.00015529+0.0014861i,0.0010428+0.001778i,0.00092369+0.0018745i,0.00025759+0.0012563i,7.8036e-05+0.00072986i,0.00015078+0.00057672i,0.0001813+0.00028828i,0.00011859+0.00025842i,0.00026345-9.4543e-05i,0.00079749+5.047e-05i,0.0013239+0.0004268i,0.0010665+0.00026208i,0.0010558+7.4068e-05i,0.00043202-0.00053459i,-0.0002992-0.00076297i,0.00026453-0.0003231i,0.00020604+0.0004657i
-0.00070626-0.0011308i,-0.0012613-0.00040598i,-0.00017611+0.00032954i,0.00034071-0.00014462i,-0.00027046-0.0010891i,-0.00034396-0.00022054i,0.00041774+0.00080779i,0.0010752+0.00020502i,0.00086073-0.00010711i,-0.00011209+4.5288e-05i,-0.00058994-0.00013544i,-0.00056563-0.00015018i,-0.00029445+0.0002113i,0.00020994+0.00012726i,0.00056899-0.00039244i,0.00063064-0.00052723i,0.00031082-0.00039254i,0.00037444+0.00025173i,0.00061741-7.6619e-05i,0.00061553-0.0010677i,0.00046336-0.00066675i,-3.8932e-05-0.00029596i,0.00041517+0.00028225i
0.0011746-0.0019878i,0.001547-0.001221i,0.00060545-0.00019283i,-0.00035626+0.00084128i,-0.00054776+0.0015414i,-0.0011244+0.0011665i,-0.0014964+0.00052669i,-0.000689+0.00019661i,-8.9084e-05-0.00010674i,9.0355e-05-0.00052367i,-0.00021704-0.00041264i,-1.6446e-05-0.00046758i,0.00033307-0.00051596i,-0.00041364-0.00071841i,-0.00095116-0.00013151i,-0.00027382-6.7854e-05i,0.00028385-0.0010277i,0.000274-0.00097031i,0.00063871-0.00040863i,-0.00015409-0.00045541i,-0.00087192-0.00071837i,-6.7588e-05-0.00071542i,0.00033439-0.00041874i
-0.0018062+0.00029264i,-0.0014366+0.0002023i,-0.00042931+0.0016714i,0.00010739+0.0021185i,0.00041083+0.001002i,0.00042867-0.00042987i,-6.995e-05-0.0010765i,0.00034044-0.00077141i,0.00053152-0.00033926i,5.4756e-05-0.00033794i,0.00015227-0.00057346i,0.00017013-0.00053625i,-0.00077956-0.0004886i,-0.00097278+0.00024673i,-0.00063057+0.0010519i,-0.00058211+0.0011132i,-0.00043581+0.00054327i,-0.00030484-0.00016633i,-0.00015696-4.7558e-05i,-0.00064834+0.0002754i,-0.0007336-8.8744e-05i,-4.3555e-05-0.00057441i,0.00052148+1.8233e-05i
0.00016609-0.00087844i,-0.00012639-0.0013889i,-0.0016331-0.0024313i,-0.0014819-0.0019487i,-0.0018105-0.00057896i,-0.0029015+0.00027894i,-0.0024731+0.00053385i,-0.00059565+0.00016704i,0.00095252+0.00012885i,0.00079947-0.00047804i,0.00012857-0.00096072i,-0.00049575+2.7252e-05i,-0.00068453+0.0006135i,-0.00030733+0.00078879i,0.00056907+0.001169i,0.0011605+0.001145i,0.00095162+0.00072024i,0.0010462+0.00073754i,0.0012131+0.00086652i,0.0007613+4.5175e-05i,-8.8598e-05-0.00048091i,2.875e-06-0.00031401i,-1.1975e-05-0.00018384i
-3.5023e-05-0.0005433i,0.00069806-0.0013684i,0.00078088-0.0015686i,0.0011987-0.0013456i,0.0013743-6.5518e-05i,0.00097701+0.00045997i,0.00030184+0.00010273i,-1.59e-05+2.6427e-05i,0.00025364+0.00029067i,0.00023915-2.6988e-05i,0.000212-0.00053621i,0.00042525-0.00073587i,0.00013211-0.0010941i,8.3541e-05-0.00093189i,-6.1931e-05+3.9792e-05i,-0.00041781+0.00069185i,0.00013418+0.00025744i,0.00075624+0.00044596i,0.00063613+7.4969e-05i,0.00025383-0.00058482i,-0.00027332-9.439e-05i,-0.0008595+0.00049335i,-0.00046439+0.00053816i
-0.001652-0.00022683i,-0.00077592+0.0012293i,-0.00021431+0.0019186i,0.00033251+0.0023439i,0.00074633+0.0030017i,0.0010253+0.0021159i,0.0010031+0.00052863i,0.00054989+0.00014646i,-0.00017036+0.0010618i,-0.00050509+0.00076051i,-0.00025539-0.00026419i,9.5746e-05-0.00036315i,0.00016877-7.893e-05i,-0.00011744-2.0052e-05i,-0.00038621-8.4878e-05i,-0.00031874+8.4608e-05i,8.0624e-05+0.00068781i,6.6154e-05+0.0010329i,-0.00029192+0.00044143i,8.6894e-05-5.9884e-05i,0.00011817-0.00027552i,-0.00034887-0.00061122i,-0.00034872-0.00040511i
