0.00060143+0.0019132i,0.0029859+0.00069508i,0.0016524-0.0016075i,-0.00057076-0.002757i,-0.0022844-0.0010039i,-0.0028324+0.00073681i,-0.0018113+0.0011043i,-0.0003458+0.001327i,0.00068293+0.0012406i,0.00032758+4.0585e-05i,-0.00067522-0.00078202i,-0.0014549-0.00014154i,-0.0010135+2.4297e-05i,-0.00051455+0.00050138i,-0.00096733+0.00069333i,-0.00039299-0.0002893i,0.00025324-0.00070327i,0.00012038-0.00012492i,0.00030258+0.00078064i,0.00011018+0.00058768i,-0.0001449+8.3162e-05i,-0.00061963+0.00016984i,-0.0011286-7.0902e-05i
-0.00040938-0.0021446i,0.00060677-0.0029169i,0.00095355-0.0017546i,9.1451e-05-0.00049166i,-0.00067414+0.00012462i,0.00053523+0.0008991i,0.0010381+0.00063388i,0.00014491+6.654e-05i,-0.00056163+0.00011322i,-0.00028123+0.00055539i,-2.2144e-05+0.0010454i,0.0001712+0.0012738i,0.00065378+0.0011198i,2.4273e-05+0.00085225i,-0.00064367+0.00041101i,-0.00074328+0.00018017i,-0.0009266+0.00030664i,-0.0010138+0.0011537i,-0.00063732+0.0012909i,-2.5606e-05+0.00045027i,4.486e-05+0.000252i,-0.00013057-0.00028496i,-0.00013024-0.0006279i
-0.00034358+0.0014825i,-0.0001103+0.0011238i,-0.00044513+0.0016359i,-0.00049368+0.0019171i,-0.0002818+0.0023338i,-0.00029036+0.0016205i,-0.0010048+0.00075253i,-0.0010563+0.00050054i,-7.4443e-05-0.00018217i,0.00046825-0.00094396i,0.00023627-0.00012391i,-0.00043508+0.00077959i,-0.0011503+0.0003747i,-0.00032429+0.00059015i,4.5331e-06+0.00047998i,-0.00069632-0.00037385i,-0.00057572-6.2577e-05i,-0.00012472+0.00039599i,-0.00013003+0.00039641i,-0.0005056+0.0008405i,-3.7535e-05+0.0011089i,0.00015078-0.00024991i,-0.00052672-0.0013912i
0.0017096+0.00055634i,0.001945-7.1338e-05i,0.0028803+0.00024209i,0.0028725+0.00072027i,0.0017837+0.00030637i,0.0008271-0.00022898i,0.00025966-2.9803e-05i,-0.00014568+0.00017907i,-0.00036591+0.00031866i,-8.3928e-05+0.00060243i,-2.7401e-05+0.0008108i,-0.00036993+0.00043957i,-0.00031087-0.00023359i,0.00010271-0.00015465i,0.00026461+9.6464e-05i,0.00078435+0.00038628i,0.0008306+0.00054339i,-0.0001709+0.00076121i,-0.0002897+0.0014341i,4.4856e-06+0.0014847i,-0.00037337+0.000332i,-0.0006516-0.00065255i,-0.0004129-0.00011313i
-0.00059309-0.0012217i,-0.00029269-0.0012181i,0.0008908-0.00062676i,0.00073747+0.00028126i,0.0007497+0.0012587i,0.001297+0.00082042i,0.0012558+0.0001992i,0.0006308+0.00079429i,0.001086+0.0011362i,0.0017112+0.00069035i,0.00043692+0.00038526i,-0.00064001+0.00081441i,0.00032097+0.00049074i,0.00067465+0.00021742i,0.00019092+0.0009838i,0.00034624+0.0013052i,-0.00032919+0.0015256i,-0.00085334+0.0016291i,-5.7961e-05+0.0012052i,0.00075605+0.00047511i,0.0013548+0.00046358i,0.00048105+0.00046554i,-0.00056905-0.0001345i
-0.0012666+0.0024769i,-0.00013978+0.0016859i,0.00069582+0.0023114i,0.0017468+0.0023667i,0.001637+0.0016901i,0.00054212+0.00098524i,0.00042423+0.00046102i,0.00015569+0.00062589i,-0.00066153+0.0011154i,-0.00030074+0.00021915i,1.9095e-05-0.000753i,-0.00021748-0.00093732i,-0.00035444-0.00018943i,-0.00064055+0.00099968i,-0.00056578+0.00081977i,-0.00033731+0.000256i,-0.00013891+0.00034771i,-0.00024351+0.0013618i,0.00016042+0.001655i,0.00051767+0.00084487i,0.00014149+0.00054791i,-0.00011928+0.00061198i,-0.00035328+0.00011519i
-0.00080378-0.00022382i,-0.00019686+0.00050922i,-0.00083066+0.00096075i,-0.0012377+0.002383i,-0.00059621+0.0036117i,9.1204e-05+0.0020889i,-0.0007769+0.0010261i,-0.0016063+0.0011143i,-0.00083451+0.00060273i,0.00024803+0.00090465i,0.00038865+0.0010744i,0.00015973+0.00039529i,-0.00035922+0.00064057i,-0.00036215+0.0012219i,0.00044018+0.00080578i,6.2134e-05+0.00024661i,-4.4228e-05+0.00055426i,-0.00019929+7.9588e-05i,5.6406e-05-0.00065071i,0.00049967+0.00049797i,0.00011405+0.0015257i,-0.00075791+0.00095534i,-0.00112-0.00040808i
0.00040233-0.00056343i,0.00063509-0.0007534i,0.00075699-0.00083316i,-0.00046652+0.0002415i,-0.0002758+0.0015204i,0.0013849+0.0013396i,0.0015319+0.00078806i,0.00033765+0.0010033i,-0.00026488+0.00086532i,7.9581e-06+0.00071421i,0.00016167+0.00075553i,0.00050148+0.00062171i,0.00011457+0.00097588i,-4.7436e-05+0.00097634i,0.00023685+0.00098875i,0.00096419+0.00050051i,0.00067541-0.00021089i,-0.00020337-0.00025041i,0.00024401+0.0001667i,0.0008475+0.00063686i,0.00082655+0.00032691i,0.00015277-0.00018413i,-0.00017362-7.2449e-05i
0.00034997+9.3953e-05i,6.2653e-05-0.00037996i,1.2915e-06+0.00024536i,0.00089779+0.00059294i,0.00038991+0.0010632i,-0.00040569+0.00077046i,2.6151e-05+0.00022844i,-0.00049155+0.00064653i,-0.00051852+0.00056324i,-0.00017628+0.00047204i,0.00012666+0.00057951i,0.00056409+0.00021418i,0.00082537-0.00028505i,5.6846e-05-0.00047122i,-0.0010699-0.00055407i,-0.00069438+4.3833e-05i,-1.2631e-05+0.00026246i,5.2136e-05+0.00041769i,-0.00037185+0.0005579i,-0.0006329+0.00037451i,-0.00044073-0.00027523i,-2.788e-05-0.00040859i,-0.0003086-4.019e-05i
0.0021474-0.0015119i,0.0023598-0.0017999i,0.001985-0.0022527i,0.00053934-0.0017961i,-0.00036521-0.0010423i,3.4921e-05-0.00021533i,-0.00068082+0.00059101i,-0.001484+0.0011976i,-0.00069763+0.0012743i,-0.0001949+0.00024352i,0.00037713-8.3019e-05i,0.00070447+0.00080586i,0.00075934+0.00089931i,0.0010163+0.00034061i,0.00083233-0.00049075i,0.00045128+0.00027166i,6.0405e-05+0.00098989i,0.00018091+0.00072269i,0.00027087+0.00099278i,0.00011655+0.00057464i,-3.8451e-05-7.8839e-05i,-0.00036131-0.00022338i,-8.6903e-05+0.00011772i
0.000943-0.00060429i,0.0015143-0.00052139i,0.0012065-0.00088732i,-3.9403e-05-0.00097683i,-0.00078466+0.00022924i,-0.0010629+0.0020136i,-0.00065468+0.0024586i,9.0055e-06+0.0012327i,-8.5042e-05-1.6403e-05i,0.00026247-0.00057102i,0.00096787-0.0010664i,0.001083-0.0011905i,0.00053891-0.00011678i,-0.00023927+0.00096357i,-0.00068121+0.00077276i,-0.00043907+0.00068781i,-0.00034621+0.00090149i,-0.00068088+0.00047015i,-2.9096e-05+0.00022084i,0.00082192+2.3943e-05i,0.0003058-8.9252e-05i,-0.00033771+3.1987e-05i,-0.00079546-0.00026076i
-0.00077463-0.00013353i,-0.00010383-0.0013256i,0.0007043-0.00019344i,0.00076689+0.00029963i,0.001004+0.00020597i,0.0010683-8.4645e-05i,0.00057013-0.00098216i,9.3257e-06-0.00061207i,0.00026564+0.00038254i,0.00056696+0.00048438i,5.4365e-05-5.253e-05i,-0.0004969-0.00032202i,-0.00056467+0.00020527i,-0.0010093+0.00085376i,-0.00094918-4.1664e-06i,-0.0001333-0.00023272i,0.00018162-0.00019908i,0.000447+0.00020752i,0.0004758+0.0012598i,-9.5951e-06+0.0012146i,-0.00048394+0.0011009i,-0.00053618+0.00071091i,-0.00041352+0.0002498i
0.002245+0.00034834i,0.0018141+0.0007469i,0.0024092-0.00063693i,0.0021075-0.00088305i,0.00064193-0.00081259i,4.2998e-05-0.0012156i,0.00040012-0.0018544i,0.00035024-0.00093927i,0.00029422-2.7539e-05i,0.00053574-0.00024905i,0.00049812-0.00049943i,0.00013054-8.5829e-05i,-0.00051246+5.4452e-05i,-0.00062068+0.00011593i,-0.00075339+0.00088489i,-0.00080477+0.00081785i,-0.0003498+0.00027792i,-0.00021422+0.00040962i,5.2053e-05+0.00062596i,-0.00030764+0.00055697i,-0.00059273-0.0001209i,-0.00030665-0.0013025i,-0.00039199-0.0012604i
-0.00073935-0.0026602i,0.00011277-0.0026176i,0.0001632-0.0019929i,-0.00066563-0.00068789i,-0.00070298+0.0009612i,-0.00032133+0.0017241i,-1.188e-05+0.0016296i,0.0002043+0.00095043i,0.0004839+0.00053454i,0.00080634+0.00078713i,0.0005713+0.00015071i,0.00087112-0.00044906i,0.00065036-0.0002662i,-3.8518e-06-0.00077138i,0.00011026-0.00061197i,0.00021258-0.00038162i,2.9911e-05-0.0005357i,-1.3685e-05+0.00046086i,-0.00050401+0.0010809i,-0.00048429+0.0006492i,0.00028483+0.00043502i,0.0010846-4.5552e-05i,0.00090311-0.00052204i
0.0014166-0.00054162i,0.00094122-0.0013748i,3.8304e-05-0.0014445i,-4.8213e-05-0.00093363i,0.0011445-0.00024619i,0.0013157+4.4285e-05i,0.00015531-0.00023047i,0.00023422-0.00038236i,0.000133+6.5367e-05i,-0.00086734+0.0007921i,-0.0011687+0.00064637i,-0.00053687+0.00019783i,0.00028946+2.9357e-05i,0.00029062+8.5848e-05i,-0.0003953-0.00013527i,-0.0005392-0.00032902i,-0.00059224+2.3731e-05i,-0.00053224+0.0005953i,-0.00092452+0.00023921i,-0.00087516-0.00015471i,-5.9105e-05+0.00058396i,0.00014263+0.00072784i,0.00016607+0.00022874i
0.00019823+0.0015166i,0.00083819+0.0018158i,0.0018427+0.0011566i,0.0018719+0.00068914i,0.0015765+0.0013923i,0.0014267+8.3966e-05i,0.0013062-0.00096059i,0.00058724-0.0004661i,-1.2776e-05+0.00031503i,0.00055702+0.0011205i,1.9456e-05+0.0017043i,-0.00072902+0.0011441i,-0.00049853+0.00049556i,5.3318e-07+0.000109i,0.00032779-0.00032012i,0.00030601-6.2188e-05i,0.00023399+0.00036455i,0.0004701+0.0001768i,0.0001302+0.00032307i,0.00017696+0.00052612i,0.00011+0.00011277i,-0.00053085+3.8315e-05i,-0.00032135+0.00037665i
0.00051204+4.0438e-05i,-0.00052142-0.00014247i,-0.00011867-0.0015552i,-0.00038452-0.0012903i,-0.00092404-9.0326e-05i,-0.00045825+0.00078579i,-0.00019429+0.00065653i,-2.8352e-05+0.0004635i,0.0010045-0.00047392i,0.0012007-0.0012082i,0.00013566-0.00054223i,-0.00055426+0.0006755i,-0.000512+0.001059i,-0.00044514+0.0013027i,-0.00057764+0.0013251i,-0.00028757+0.00075075i,0.00035433+0.00078836i,-9.2059e-05+0.001296i,-0.00076484+0.0010194i,-0.00023796+0.00010193i,-0.00012169-7.47e-05i,3.4947e-05-0.00077377i,0.00041342-0.00066625i
0.0012631-0.0002681i,0.0014675-0.00085781i,0.0025456-0.0013835i,0.0023302-6.1475e-05i,0.0021161+0.00015889i,0.0016851-0.00015045i,0.0008411+0.00036967i,0.00053741+0.0012148i,0.00095569+0.0013851i,0.0012839+0.00079326i,0.0008125+0.00039592i,0.00013714+0.00074491i,-0.00019612+0.0012335i,-0.001017+0.00088075i,-0.0012168+0.00060634i,-0.00047185+0.001407i,-0.00041831+0.0016075i,-0.00056465+0.0013197i,-0.00048674+0.0015859i,-0.00048313+0.0008353i,-0.00045163+0.00022353i,-0.00047805+0.00030249i,-0.00039042-0.00044713i
0.0012746-0.00061476i,0.0020401-0.00031258i,0.0019427-0.00060698i,0.0014221-0.00089932i,0.001226-0.00019315i,0.00020596+0.00069012i,-0.00093415+0.00047476i,-0.0012184+0.00047536i,-0.00085525+0.00084751i,-0.00014169+0.00073782i,0.00013084+0.00032612i,0.00021812+0.00022206i,0.00033269+0.00024987i,0.00048426+0.00017053i,0.00078455+0.00063321i,0.00040889+0.0012566i,-0.00083178+0.001427i,-0.0014439+0.00099814i,-0.0015375+8.5279e-05i,-0.00080738-0.00038256i,-0.00011035-0.00022061i,-4.7632e-05-0.00024133i,-0.00025879+0.00026039i
0.0014124-0.00052123i,0.0015548-0.00099276i,0.0018465-0.0012727i,0.0015365-0.00036828i,0.00083151+0.0008595i,-4.7511e-05+0.0015286i,-0.00086698+0.0015454i,-0.00065617+0.0011602i,-0.0001084+7.1769e-05i,-0.00029227-0.00072064i,-0.00036899-0.00040054i,3.7496e-05+0.00035251i,0.00022734+0.00068278i,0.00037276+0.00074801i,0.00028386+0.0004425i,0.00049006+0.00034014i,0.00047594+0.00089839i,0.00016718+0.00040256i,-6.9245e-05+0.00022373i,0.00048997+0.00063606i,0.0007159+0.00047318i,0.00012189-0.00026887i,0.00010213-0.00071311i
0.00075258+1.9613e-06i,0.0014333+0.00019204i,0.0026691+0.00040913i,0.0034348+0.00052033i,0.0026988+0.00022523i,0.0013352-0.00076666i,-0.000236-0.00098211i,-0.00039308+0.00014947i,0.00050868+0.00047761i,0.00046715+0.00018446i,-0.00030621+0.0002843i,-0.00043018+7.7468e-05i,-0.00091892-2.1979e-06i,-0.0013678+0.00013639i,-0.00094998+0.00015673i,-0.00025828+0.00010836i,9.0192e-05+0.00089839i,-2.366e-05+0.0018904i,9.7258e-05+0.0019837i,0.00014662+0.0011413i,-4.8787e-05+0.00046042i,-6.888e-05-0.00010418i,-0.00016677-7.9565e-05i
9.2821e-05+0.0018718i,9.9034e-05+0.00081228i,0.00033924+0.0012054i,0.00089538+0.0022426i,0.0018372+0.002007i,0.0015094+0.0015268i,0.00069532+0.00098544i,0.00072263+0.00037816i,0.0011832+0.00046294i,0.0007631-0.00044955i,0.00019845-0.001054i,-0.00013778-0.00059204i,-0.00031251-0.00060561i,-0.0010517-0.0003636i,-0.0011391+9.3044e-05i,-0.00044568+0.00031963i,-0.00072349+0.00028688i,-0.00057111+0.00051195i,0.00047432+0.001452i,0.00057836+0.0013897i,-4.9736e-05+0.00082921i,4.7088e-05+0.00067641i,0.00011114+4.4719e-05i
-0.00034855-0.0019436i,-0.00032928-0.00097432i,-0.0014673-0.0010945i,-0.00083273+0.00096312i,-0.00028949+0.0029208i,-0.0003823+0.0022402i,-0.00024351+0.0013782i,-0.00059033+0.00057402i,-0.00077704+4.7174e-05i,-0.0012688+0.00061166i,-0.00074527+0.00050986i,0.00030057+0.00058941i,0.0008121+0.00036419i,0.00057962+9.2008e-05i,-0.00074684+4.9678e-05i,-0.0015697+0.00013062i,-0.0012553+0.00064282i,-0.00084417+0.00090874i,-0.00061765+0.0013408i,-0.00022096+0.0018423i,0.00047582+0.00088966i,0.00099703-0.00035762i,0.00047009-0.00054732i
-0.0024104-0.00021856i,-0.0022717+9.5459e-05i,-0.001798+0.0015788i,-0.0011423+0.0029572i,-7.0891e-05+0.0032461i,0.00091884+0.0027093i,0.0011876+0.0013179i,0.00043334+0.00053612i,-0.00024923+0.0010825i,-7.6039e-05+0.00099164i,0.00045487+0.00043632i,0.00029552+0.00040177i,-0.00049811+0.00064375i,-0.00036763+0.00073636i,1.8604e-05+0.0003105i,-5.1535e-05+0.00015787i,-0.00069336+0.00035476i,-0.00079001+0.00055363i,-0.00058754+0.00065426i,-0.00034166+0.00037068i,0.00017499+0.00013558i,-0.00011006+1.4881e-05i,-0.00082326+0.00024666i
-0.00040914-0.0010409i,-0.0011911-0.0013847i,-0.0015872-0.00021674i,-0.00079373+0.0011745i,0.00071057+0.001912i,0.00094691+0.0013822i,-0.00033194+0.00080647i,-0.00054522+0.0011104i,0.00018086+0.001542i,0.00061688+0.0010624i,0.0003914+0.00048889i,4.5999e-05-0.00012675i,7.2873e-05-0.00027164i,1.6581e-05-0.00022188i,-0.00019801-0.00011139i,-0.00067592+0.00044609i,-0.0011976+0.00096323i,-0.00081182+0.00080346i,1.0453e-05+0.00021885i,0.00043437+0.00048824i,0.00014066+0.00020704i,-0.00022024-0.00062029i,-0.0001413-0.00056432i
-0.00028293+0.00096456i,-7.1179e-05+0.00075639i,0.00026997+0.00091808i,0.001067+0.0017391i,0.00065846+0.0019077i,-0.00011421+0.0010808i,1.9794e-05+0.00036898i,-7.3181e-07+9.3147e-05i,-0.00014313+0.00057798i,0.00069764+0.00082281i,0.00069093+0.000451i,0.00018901+1.8067e-05i,-4.8418e-05+0.00018258i,-0.00041981+0.00030386i,-0.00071686+0.00085792i,-0.0012458+0.0010304i,-0.0011389+0.00011005i,-0.00022664-4.481e-05i,7.6392e-05+0.00043227i,-0.00036427+0.00041287i,-0.00026307+0.00049456i,-0.00011503+0.00019118i,-0.00023607-0.00025533i
0.00021213-1.3648e-06i,0.00014275+0.00093875i,-0.00053873+0.00095765i,0.00014349+0.0012839i,0.0013997+0.0027136i,0.0014561+0.0023767i,0.00049143+0.0010877i,-0.00015486+0.0010682i,0.00028784+0.00065112i,0.00026335-0.00019628i,-9.0045e-05-3.7557e-05i,-0.00059402+9.8343e-05i,-0.0011126+0.00026264i,-0.0007748+0.00043711i,-0.00078934+0.00022247i,-0.0011027+6.2411e-05i,-0.00056246+0.00059641i,-0.00050745+0.0007342i,-0.00067406-6.4368e-05i,-0.00023485-0.00047806i,0.00019044-7.5124e-05i,0.00031237+0.00023866i,-2.3111e-05+0.0002406i
-0.00057515+0.0014732i,0.00059229+0.00077522i,0.0010018+0.0014784i,0.0013869+0.0018798i,0.0013406+0.00090873i,0.0012738-0.00015012i,0.00051689-9.5292e-05i,-0.00035452-7.803e-05i,0.00013276+7.919e-05i,0.00073574+0.00045025i,0.00038532-0.00012056i,-0.00026147-0.00010549i,-0.00055854-4.8661e-05i,-0.00043882-0.00031107i,-0.001043+0.00067615i,-0.00094035+0.0011966i,-0.00043064+0.00093636i,-0.00062535+0.00043652i,-0.0002492+0.00067869i,5.7031e-05+0.0011823i,-7.1585e-05+0.00055373i,-0.00025419+0.00031683i,-8.923e-05+0.00066796i
-0.00038492-0.0027085i,-0.00035359-0.0018012i,-0.0018977-0.001598i,-0.0023021-0.00063816i,-0.0019024+0.0016282i,-0.0013116+0.0025902i,-0.00076982+0.0016165i,-0.00081007+0.0010148i,-0.00013691+0.0008891i,0.00061533+0.00051835i,0.00067258+0.00049804i,0.00043904+0.00078189i,-0.00012312+0.00054081i,0.00012319+0.00017882i,6.635e-05+0.00024422i,-0.00010253+0.00082744i,0.00020829+0.0014314i,0.00046844+0.0013218i,0.00011686+0.0012103i,-0.00012474+0.00070281i,-9.3561e-06+0.00011995i,-0.00018957-0.00030657i,2.9674e-05-0.00038542i
0.00094164-0.00044448i,0.0016583-0.000692i,0.0021648-0.00071873i,0.0013375-0.00026332i,-0.00020647+0.00050071i,-0.00054473+0.00091159i,1.2931e-05+0.00082763i,-0.00038068+0.00061741i,-0.00059394-0.00021086i,-3.4379e-05-0.00057296i,-0.00026536-0.00032728i,-0.00055046-6.7341e-05i,-0.00038116+0.00047347i,-0.0010084+0.00097784i,-0.0010131+0.00071971i,-0.0010937+0.00048642i,-0.00099729+0.00036198i,-0.0002604+4.2435e-05i,0.00057549-0.00011729i,0.0014978+0.00016717i,0.0011434-5.1305e-06i,0.00093708-0.000485i,0.0009085-0.00016327i
0.00088291-0.00056815i,0.0010838+0.00012796i,0.0017409+0.00094794i,0.0026965+0.0012114i,0.0011704+0.0011529i,-0.00093006+0.0010597i,-0.00052996+7.377e-05i,0.00030574+4.4093e-05i,0.0004326+0.00055945i,0.00025285+0.00021126i,0.00044079+0.00010169i,0.00045337+0.000292i,0.00010705+0.00063422i,0.00032521+0.0010678i,0.00045916+0.00095024i,-9.7055e-05+0.00090022i,0.00017366+0.0010613i,-5.6109e-05+0.0013101i,-0.00059935+0.00094351i,9.7538e-05+0.00012888i,0.00088824-0.00041788i,0.0008541-0.00031389i,0.00010363+0.00014145i
0.0012337+0.00077592i,0.0010678+0.00042307i,0.001812+0.0011986i,0.0020138+0.00051334i,0.0019341-0.0005947i,0.0018911-0.0002761i,0.00051434+0.00055764i,-0.0010576+0.00038301i,-0.00085727+0.00017757i,-0.00061095+0.00013767i,-0.00093292+0.0006719i,-0.00099386+0.0017267i,-0.00052795+0.0013767i,-0.00072277+0.00039898i,-0.00099337+0.00091754i,-0.00066415+0.0013696i,-0.00068318+0.00092848i,-0.00085688+0.00054733i,-0.00018644+0.00046615i,0.00051866+0.00028908i,0.00054568+1.8833e-05i,0.0005649+0.00039682i,0.00053844+0.00067628i
