-0.0040536-0.0014727i,-0.0028121-0.0015318i,-0.0013333-0.0027133i,-0.00097057-0.0028599i,-0.0013374-0.002197i,-0.0012685-0.0016235i,0.000357-0.0011997i,0.0015713-0.00058134i,0.001028-0.00041109i,0.00075751-0.00028901i,0.00015561+0.00053188i,0.00012125+0.0010178i,0.00050726+0.00030451i,0.00049426+0.00025103i,0.00071178+0.00056313i,0.00095612-3.0739e-05i,0.0002089-0.00010014i,-0.0016291-0.00034431i,-0.0016328-0.00059337i,0.00056367-2.3838e-05i,0.00097725+0.00027756i,0.00052294+0.00045147i,0.0012168+0.00046768i
0.002585-0.0015326i,0.0039624+0.00041384i,0.0039935+0.0004932i,0.0024067-0.00069654i,0.00055043-0.00070382i,-0.00021759-0.0006897i,1.3231e-05-0.00039321i,0.00022133+0.00014244i,0.00066923-0.00031341i,0.00045494-0.00023494i,-0.00031382+0.00021338i,-0.00055325+0.00038425i,-0.00063882+0.00080264i,-0.0012203+0.00054342i,-0.0011474-0.00015753i,-0.00048087-0.00020168i,-0.00012697-0.00059703i,0.00042036-0.00053301i,-2.6808e-05+0.00036049i,-0.00064026-8.5367e-05i,-0.00028002-0.00022958i,-0.00023682+0.00066518i,-2.6936e-05+0.0013143i
0.00043094+0.0036508i,0.00048207+0.0039491i,0.0020621+0.0022377i,0.0037008+1.2392e-05i,0.0031534-0.00038793i,0.0015722+0.00012668i,-0.00018069+0.0010322i,-0.00035454+0.0011609i,0.0011025+0.0010344i,0.0015972+0.00082359i,0.00037586+0.00040486i,0.00022552+0.00011932i,0.00041543+0.00049042i,-0.00016061+0.00049478i,0.00032841+0.00034047i,0.00036593-1.3508e-05i,0.00035238-0.0008117i,0.00047838-0.0011501i,-0.00038134-0.0012215i,-0.00091619-0.00080123i,-0.00061385-5.3363e-05i,-0.00026655+0.00052111i,-0.00064425+0.00063235i
-0.0076582+0.0025351i,-0.0061136+0.002216i,-0.0033886+0.0010213i,-0.0010374-0.001079i,-6.9782e-05-0.002741i,-0.00062247-0.0027895i,-0.0013899-0.0025177i,-0.00065859-0.0016028i,8.9628e-05-0.00069044i,0.00060284-0.00059114i,0.00055573-0.0002975i,8.6456e-05-0.00049528i,0.00023763-0.00092737i,0.00030175-0.00016788i,0.00062934+0.00021793i,0.0012473-0.00024977i,0.00078084-0.00081193i,0.000126-0.0012107i,-0.000404-0.00056521i,-0.00045155+1.5326e-05i,-0.00056804-0.00028272i,-0.00027451-0.00097031i,-0.0003121-0.00032898i
0.0041825-0.0025244i,0.0040525-0.0017165i,0.0031548+0.00013461i,0.0020401+0.00027284i,0.00075467-0.00032105i,-0.0010552-0.00050414i,-0.0010798-0.00051544i,-0.00088682-0.00052096i,-0.0011035-0.0010616i,-0.00041377-0.00054408i,-0.00024941+0.00013647i,0.0003275+9.6952e-05i,0.0012692-0.00025449i,0.00090306-0.00014629i,-0.0001349+0.00061064i,-0.00041184+0.0012573i,-0.00033784+0.0014694i,-0.00025122+0.0011918i,0.00067966+0.0011063i,0.001164+0.00088868i,0.00092901+0.00049379i,0.00022641-0.00031243i,-5.3049e-05-0.0010497i
0.0026171+0.005865i,0.0017251+0.0055609i,0.0014904+0.0030328i,0.0016483-0.00042267i,0.001826-0.0021136i,0.0017525-0.0019369i,0.0003777-0.00055535i,-0.00025123+0.00048651i,0.00024835+0.00039202i,5.2819e-05-0.00010226i,0.00032017+3.6564e-05i,0.00094359-0.00015099i,0.00064049-0.00062775i,-0.00014804-2.11e-05i,-0.0010273+0.00067212i,-0.0014505+0.00076566i,-0.00097749+0.00063013i,-0.00081817+0.00045748i,-0.00020993+0.00024221i,0.00080584-0.00046987i,0.00081527-0.0004742i,0.00021955-0.00040314i,0.00038977-0.00044429i
-0.0052692-0.0022698i,-0.0043355-0.00093124i,-0.0016156-0.00089936i,-0.00035665-0.0015332i,-0.00069223-0.0015686i,-0.0014692-0.00085519i,-0.0017958-0.00018443i,-0.00083812+0.00071465i,0.0001033+0.00073387i,-6.2635e-05-0.00058668i,-0.0002436-0.0010262i,9.0958e-05-0.00044828i,1.4192e-05+0.00024069i,-0.00048107+0.00024864i,-3.9599e-05-0.00012427i,0.00025284-6.3762e-05i,-0.00033085+0.00018358i,-0.0011277+5.8877e-05i,-0.0014855+0.00084245i,-0.00069919+0.0012013i,0.00013545+0.00044983i,0.00034186+0.00025493i,0.0002539+0.00014932i
0.0026381-0.0017007i,0.0026029-0.00052772i,0.0012585-0.0016549i,0.00080663-0.0018516i,-0.00056215-0.00037214i,-0.0017942+0.00079215i,-0.0016008+0.0002071i,-0.0007399+1.2939e-05i,0.00031925+0.0011632i,0.00070945+0.0012545i,0.00046564+0.000827i,4.2135e-05+0.0006679i,-0.00014363-0.00016323i,-0.00048281-0.00048247i,-0.00065445+0.00022116i,-0.00087604+0.00029119i,-0.0012296-0.00017156i,-0.00058496-0.00083089i,-0.00029822-0.0010314i,-0.00033995-0.00049697i,0.00027149+0.00033538i,0.00046733+0.0011477i,8.1312e-05+0.00047852i
-0.00094574+0.0083791i,0.00093932+0.0081503i,0.0027023+0.0046336i,0.0028541+0.00071323i,0.0019376-0.0026218i,0.00095794-0.0029086i,-0.00086225-0.00060209i,-0.00083412+0.00051176i,0.00099229+0.000259i,0.0014731-0.00029954i,0.00038069-0.00062848i,7.2633e-05-0.0002716i,-0.0003621+0.00016391i,-0.00075405-0.00067252i,-0.00039243-0.00034883i,-0.00097336+0.00045687i,-0.0010492-0.00012406i,-0.00019741-0.00010827i,5.6242e-05+0.00013927i,-0.00013947-0.00031848i,-3.2737e-05-0.00031882i,-0.0007068-0.00015703i,-0.0016957-0.00018496i
-0.005294-0.0040921i,-0.0049037-0.0020233i,-0.0024869-0.0014161i,-0.00023814-0.0022453i,0.00086384-0.0024309i,0.0001014-0.00066947i,0.00032208+0.00047047i,0.00064802+0.00085212i,-0.00012015+0.00049276i,-3.7964e-05+0.00017882i,0.00034542+0.00034607i,0.00081718+0.00020021i,0.00093105+0.00010184i,0.001088+0.00053558i,0.00096405+0.00016313i,0.0014738-0.00063826i,0.0017024+4.0293e-05i,0.00093355+0.00076074i,-3.5585e-05+0.00092952i,-0.00054497+0.00023115i,-0.00073262-0.0011009i,-0.00043098-0.00070451i,0.00023295-0.00012039i
