-0.0036841-0.00086017i,-0.0032187-0.0020211i,-0.0033824-0.0015898i,-0.0030874+0.00052669i,-0.0021587+0.0020746i,-0.0016459+0.0017797i,-0.00067847+0.00066426i,8.6687e-05+0.00019284i,-0.00040489-0.00044513i,-0.0001669-0.0011901i,0.00042311-0.00076395i,0.0012105-0.00028919i,0.0010112+0.00010883i,0.0001651+0.0010149i,-0.00039988+0.0012188i,-0.00071212+0.00075696i,1.6808e-05+0.00081226i,9.6632e-05+0.00068716i,-0.00016708+0.00074547i,0.00029022+0.00059104i,-0.00019603+0.0001713i,-0.00049484-0.00032777i,-0.00050029-0.00088123i
-0.00024853-0.0018741i,0.0007319-0.0023806i,0.0012007-0.001744i,0.00050032-0.00080836i,3.4925e-05-0.00053283i,-0.00029184-0.0003897i,0.00038268+0.00017054i,0.0010828+6.4185e-05i,0.00057642+1.1373e-05i,-0.00022234+0.00046556i,8.2529e-05+0.00024304i,0.00067264-0.00038902i,0.00032574-0.00055859i,0.00066899-0.0004394i,0.00093931-0.00051267i,0.00049037-0.00077379i,1.5358e-05-0.00074123i,-0.00041339+6.1077e-05i,-0.00070482-0.0003005i,-0.00049413-0.00052526i,-0.00042683-0.00050417i,-2.615e-05-0.00012627i,3.9798e-05+0.00055793i
0.00086817+0.0013723i,-0.00025114+0.0006217i,0.00025106+0.00021618i,0.00020775-0.00034448i,-0.00092553-0.00089796i,-0.0014863-0.00014186i,-0.00047814+0.00035612i,0.0011832-6.6174e-05i,0.0017198-0.00038351i,0.00046192+3.3046e-05i,-0.00096985+0.00060579i,-0.0014857+0.00042313i,-0.0011474-0.00036965i,-0.0006204-0.00055896i,-9.2479e-05-0.00025128i,0.00016159+0.00017223i,0.0002946+0.00063562i,0.00031099+0.00062243i,-0.00011053-0.00033332i,-0.00024209-0.00028288i,0.00029383-2.0734e-05i,5.7271e-05-0.00075057i,-0.00079284-0.00044242i
-0.00084761-0.0013658i,-0.00091023-0.001703i,-0.00081148-0.0020765i,-0.00060376-0.0015891i,-0.00019092-0.0007837i,-0.0002367-0.00031439i,0.0010328-0.00036775i,0.001704-0.00013163i,0.00033492+0.00037278i,-0.00033872+0.0010715i,-0.00017182+0.0017702i,0.00012073+0.0014687i,0.00074981+0.0011025i,0.00062232+0.00077144i,-2.7476e-05+0.00042972i,-7.4728e-05+0.00055333i,-0.00039129+0.0010012i,-0.0010723+0.0010806i,-1.1225e-05+0.00048326i,0.00090806+0.00024793i,0.00094616+9.2778e-05i,0.0011836-7.8976e-05i,0.00046313-6.9961e-05i
0.0019823+0.00017157i,0.0021577-0.00019527i,0.0015767-0.00086987i,0.0013276-0.0006351i,0.00071518+0.0005569i,-0.00071738+0.00086909i,-0.0012039+0.0013071i,-0.00044591+0.0013617i,0.00051434+0.0010095i,0.00050642+0.0009332i,-0.00020186+0.00086201i,-0.00020717+0.00090269i,0.00010779+0.00017834i,0.0001801-6.3199e-06i,0.00015252+0.00095877i,0.00015369+0.0014288i,0.00056069+0.00063435i,0.00069264+0.00071i,0.00030063+0.001173i,0.00024406+0.00012637i,-8.8968e-05-0.00063921i,7.5582e-05-0.00053421i,0.00057555-0.00039494i
-0.00018131+0.001006i,-0.00016005+0.00094028i,-0.00053737+0.0011055i,-0.00039204+0.00085142i,-0.00010068+0.00060593i,-0.00048251+0.00046511i,-0.0006453+0.00068962i,2.8526e-05+0.0011081i,0.00032975+0.0013472i,-0.00016747+0.001912i,-5.1516e-05+0.0014656i,0.00051819+0.00069208i,0.00044322+0.00090269i,-0.00017305+0.00081521i,-0.0010151+0.00011668i,-0.0010533-0.00020753i,-0.00051288+0.00017832i,-0.00042562+0.00046852i,-0.00027745+0.00023526i,0.00039724-0.00011147i,8.9118e-05-0.00036396i,-0.00035998-0.00081151i,-0.00035946-0.00057408i
0.00090788-0.00030292i,9.1579e-05-0.00065698i,0.00017513-0.00062823i,-0.0005383-0.00018417i,-0.0013409-0.00079649i,-0.00092954-0.0018463i,-0.00056437-0.00098436i,0.00012721+0.00012874i,0.00070287-0.0003471i,0.00041841-0.000138i,-4.2809e-05+0.00083464i,-0.00062141+0.001004i,-0.00046751+0.00076751i,-3.4004e-05+0.00063056i,0.00050254+0.00065746i,0.00055841+0.00087392i,6.0226e-05+0.00089206i,6.5425e-05+0.00094402i,-0.00049068+0.0010677i,-0.0008262+0.00041093i,-0.00039435+0.00034831i,5.4674e-06+0.00044616i,0.00052968+1.2951e-05i
-0.00088135+0.0027608i,0.0012613+0.002397i,0.0018513+0.0018541i,0.0012271+0.0001153i,0.001124-0.00089435i,0.00076789-0.00081997i,-4.925e-06-0.0015537i,1.0849e-06-0.0016494i,-0.00018086-2.502e-05i,2.5004e-05+0.00091909i,0.00070068+0.00058263i,0.0001552+0.00050936i,-1.5109e-05+0.00063642i,9.7771e-05+0.00091906i,6.1181e-05+0.0011666i,0.00026599+0.00016124i,0.00073602-0.00085313i,0.00078345-5.1498e-05i,0.00083324+0.00023962i,0.00094502+0.00036695i,0.00068442+0.00087925i,0.00064542+0.00072483i,9.1292e-05+0.00040437i
-0.00088495-0.00044032i,-0.0012675-0.00092209i,-0.00029898-0.0007581i,0.00063624+0.00026735i,0.00073405+0.0014067i,0.00012759+0.0012182i,-0.00051891+0.00074975i,-0.00044211+0.00054051i,0.00044004+0.0012528i,0.00032822+0.0015814i,0.00010368+0.0012498i,-3.6429e-05+0.0015861i,-0.00010392+0.0014059i,0.00046605+0.0008675i,0.00057512+0.00010059i,0.00033997+0.00022996i,-0.00078359+0.0012634i,-0.001319+0.0014786i,-0.00034087+0.0013869i,0.00016952+0.0018084i,4.0126e-06+0.00095477i,0.00058701-0.00046552i,0.0012656-0.00066023i
-0.00038756+2.5792e-05i,0.00052914+0.00073035i,0.00021601+0.00034515i,0.00045345+0.00010223i,0.00046188+0.00015631i,-0.00049406+0.00036744i,-0.00055925+0.00095476i,8.5688e-05+0.0012058i,0.00087729+0.0013189i,0.0012385+0.0012412i,0.00036924+0.00092955i,-4.6147e-05+9.4356e-05i,0.00040843-0.00014863i,0.00027409+0.00033708i,5.8241e-05+0.00078072i,0.00030319+0.00058135i,0.00039385+0.00041219i,0.00043404-1.6217e-05i,0.00075482-0.00063251i,0.00033704-0.00082981i,9.6558e-05-0.000407i,-0.00027647+0.0006349i,-0.0011636+0.00056195i
0.0016155+0.00064255i,0.0023534+0.0010197i,0.0022926+0.00063177i,0.0013391+0.00018064i,-0.00024507-0.00018521i,-0.001631+7.245e-05i,-0.0011456+0.00027424i,-0.00013121+0.00062411i,-7.7144e-05+0.00069775i,-0.00014116+0.00084435i,-0.00042667+0.00056666i,-0.00081131+0.00016747i,-0.0001463-0.00023648i,-0.00010442-0.0007933i,-0.00033654-0.00055264i,-0.00021429+3.3285e-05i,0.00017932-8.9994e-05i,0.00027299+0.0003251i,-0.00043393+0.00050477i,-8.5123e-05+6.652e-05i,0.00055513+0.00020952i,0.00054469-1.0819e-05i,0.00044613-0.00014675i
-0.0019244-0.00068363i,-0.0022581-0.00042844i,-0.0016337-3.6784e-05i,-0.00029545+0.00030804i,0.00037547+0.00056872i,0.00081271+0.00016727i,0.000527-7.4138e-05i,-0.00021484+0.00030136i,-0.00092682+0.0009016i,-0.0009321+0.00050434i,-0.00031217+0.00024673i,-0.00014996+0.00048103i,5.1752e-05+0.00056568i,0.00013972+0.00037257i,0.00042754+3.6623e-05i,0.00053102-0.00023532i,-5.858e-07-0.00015455i,-0.00051868+0.00012447i,0.00010793+0.00012702i,0.00049274+0.00085419i,-1.6737e-06+0.0014008i,-0.00055021+0.00047658i,-4.0062e-05-0.00032213i
0.0010475-6.213e-05i,0.0014282+0.0001469i,0.00093934-0.00011295i,-0.00027941-0.0007339i,-0.0002666-0.00071575i,0.00022813-0.0012338i,0.00014003-0.0014599i,0.00046269-0.00094687i,0.00078907-0.00079496i,0.00048176-0.00095129i,0.00039473-0.001288i,0.00057951-0.0012104i,1.2713e-05-0.000483i,-0.00059453-4.9355e-05i,0.00014835+0.00063373i,0.00075987+0.00083915i,0.00015195+0.00025217i,-0.00056556-0.00016622i,0.00012688-0.00019439i,0.0012454+0.000427i,0.0006074+0.00096703i,-3.837e-05+0.00054089i,0.00055589-5.0035e-05i
-0.00049779+0.00023681i,-0.00076499-0.00048779i,-0.00011612-0.0011758i,0.0011938-0.00051214i,0.00086732-2.0079e-05i,0.00011731-8.829e-05i,-5.0557e-05+0.00057292i,-7.3585e-05+0.00069055i,0.00036215+0.00066538i,0.00023077+0.00058049i,0.00049293+0.00033514i,0.001298+0.00073938i,0.001165+0.00067551i,0.00052852-0.00010465i,0.00024688-0.00048427i,0.00074357-0.00081893i,0.00074791-0.00051786i,-0.00042811-0.00026297i,-0.00036859-0.00040821i,-0.00035237-0.00011059i,-0.0004962+0.00023529i,0.00019625+0.00021862i,0.00051512+0.000138i
0.00034674-0.00068423i,-0.00039553+6.8787e-05i,-0.00016642+0.001072i,-3.8665e-06+0.0013643i,-0.00035968+0.0008746i,0.00028266+0.0013279i,0.00092573+0.0020011i,0.00034027+0.0019623i,9.6579e-05+0.0017229i,0.00045657+0.0010543i,0.00087136+0.00081256i,0.00057787+0.00053797i,-0.00010777-6.0236e-05i,0.00023511-0.00012555i,0.00045351-0.00034768i,0.0002492+0.00011014i,3.9627e-05-0.00019987i,-0.00031507-0.001261i,2.1023e-05-0.0010943i,3.3224e-06-0.00077535i,-0.00063757-0.00031285i,-0.00043811+0.00031279i,0.00027777+0.00052236i
0.00091092+0.00013158i,0.00014163-0.00023773i,-0.00011083-0.00098148i,-0.00059348-0.0009198i,-0.00038624-0.00016775i,0.00020943+0.0015365i,0.00047181+0.0019313i,0.00040615+0.00062703i,0.0001358-1.5237e-05i,-0.00017572+7.0157e-05i,-0.00052532+1.8088e-05i,-0.00069069-5.8499e-05i,-0.0003294+0.00016598i,-0.00017975+0.0010379i,3.6606e-05+0.00093985i,0.00047503+0.00010767i,-0.00023626-0.000151i,-0.0009054-0.00011068i,-0.00077839-0.00013413i,-0.00028822+6.9042e-05i,0.00023241+0.00065964i,0.00011059+0.00023846i,-0.00038745+9.5411e-05i
0.0014087-0.00077458i,0.00094182-0.0020086i,-0.00018493-0.0032428i,-0.00045734-0.0037235i,-0.00064124-0.0025251i,-0.0014007-0.0010543i,-0.001184-0.00014848i,-8.4942e-05-4.5547e-05i,0.00048499+0.00012772i,0.00038259+0.0002524i,-0.00020734-0.0003318i,-0.00047189-0.00030241i,0.00024496+0.00013287i,0.00060717+9.7073e-05i,0.00046521-0.00020658i,-0.00038248-1.1601e-05i,-5.3182e-05-1.1173e-05i,0.00089748-0.00059084i,0.00057223-0.00063047i,0.00079081-0.00063429i,0.001114-0.00050421i,0.00069212-2.1764e-05i,0.00070385+5.1854e-05i
0.00017981-0.0030701i,-0.0013409-0.0032501i,-0.0029001-0.0019889i,-0.0032543-0.0002454i,-0.0024655+0.00036752i,-0.0021495+0.0006486i,-0.001436+0.00028907i,0.00025327-0.00039112i,0.00056348-0.00048599i,-0.00030712-7.7402e-05i,-0.00024752+0.0011086i,0.00037396+0.0014991i,0.0011382+0.0011411i,0.0004757+0.0012399i,-0.00032167+0.0010016i,-0.0010185+0.00058716i,-0.0011552+0.00044798i,-0.00025779+0.00024139i,-8.3338e-05+5.6689e-05i,-0.00053497-2.4014e-06i,-0.00029908+0.00032818i,0.00035251+0.00056363i,8.9279e-05+0.0006501i
0.0010653+8.9976e-05i,0.00085416-0.00066455i,0.00099744-0.00090166i,0.00097739-0.00093397i,0.00082026-0.0015141i,0.00042381-0.00071434i,0.00041261+0.00054819i,0.00052803+0.00075178i,0.0006279+0.00036958i,0.00053169+0.00069446i,0.0003481+0.0007i,1.026e-05+3.5047e-05i,-0.00067805+0.000127i,-0.00048219+0.00049074i,0.0002976+0.00022936i,-0.00032978+0.00055034i,-0.00081576+0.00056377i,-8.0658e-05-5.8361e-06i,-0.00028398+0.00028375i,-0.00042056+0.00018594i,0.00011839+0.00011091i,7.6908e-05+0.00048165i,2.0683e-05+0.00023493i
-0.0016371-0.0039094i,-0.0023492-0.002244i,-0.0021733-0.001552i,-0.0023707-0.00077387i,-0.0015199+0.00075318i,-0.00041361+0.0018504i,0.00045557+0.0018638i,0.00039746+0.0010139i,-0.00064589+0.0010392i,-0.0013679+0.0021342i,-0.0014257+0.0022191i,-0.0010077+0.001369i,0.00022858+0.00049955i,0.00082693+0.00057848i,0.00010142+0.00051474i,-0.00074743-7.0985e-05i,-0.00023249-0.00025836i,0.00017609-0.00027936i,0.00021506-0.00040968i,0.00024448-0.00046312i,-0.00035246-0.00015154i,-0.00056118+0.00019731i,-0.00037222+3.5468e-05i
0.0022028-0.0016806i,0.0015783-0.0021363i,-0.00013176-0.0020005i,-0.00067111-0.00093169i,-0.00044966+0.00034216i,3.3188e-05+0.0007479i,0.00018355+0.0011487i,-9.6573e-05+0.0012322i,0.0001136+0.001105i,0.00050699+0.0010836i,0.00026473+0.00068546i,-8.0941e-05+0.00077773i,0.00028083+0.00071482i,0.0012009+0.00015739i,0.0010063+0.00036524i,7.5959e-05+0.00092109i,-0.00061013+0.00087015i,-0.00054936+0.00034207i,0.00023722+0.00018981i,0.00018222-5.1662e-05i,-0.00027691-5.7893e-05i,-0.00017051-3.669e-05i,-0.00016724-0.00036229i
0.00010344+0.0015101i,0.0003778+0.0015749i,0.00039861+0.00105i,0.00010584+0.00073221i,0.00036985-0.00047598i,3.7545e-05-0.00036817i,-0.00069637+9.8723e-05i,-0.00031462+0.00061596i,-0.00023266+0.0010145i,-4.9418e-05+0.00067459i,0.00055789-0.00042256i,0.0003229-0.00101i,0.00028499-0.00066583i,0.00045054-0.00027972i,0.00058889-0.00030638i,0.00059173+0.00022637i,0.00097969+0.0005479i,0.0010937+0.00012327i,0.00099154+0.00056468i,0.00089607+0.00061859i,0.00079595+0.00024288i,0.00045077+0.00029889i,-0.00028562+0.00020984i
-0.001911-0.0014206i,-0.0016048-0.0018858i,-0.00079408-0.0010396i,-0.00014242-0.00085703i,0.00013708-0.001718i,0.00020441-0.0015838i,-0.00075275-0.0011673i,-0.00065978-0.00088194i,0.00012766-0.00081186i,0.00036572-0.0009568i,-5.5791e-05-0.0003139i,-0.00050895+0.00014443i,-0.00023584+4.5108e-06i,0.00026071+0.00056508i,0.00016657+0.001705i,-2.8117e-05+0.0014282i,-0.00027136+0.00055836i,-0.00032821+0.00017828i,0.00019428-0.0003157i,4.4413e-05-0.00069067i,-0.00058453-0.00043347i,-0.00028709+0.0001099i,5.7611e-05+0.00012351i
0.0013772+0.0011891i,0.0020261+0.001643i,0.0013713+0.00032116i,0.00041656+0.00011801i,9.9838e-05+0.00096594i,-0.00021433+0.00072783i,-2.1122e-05+0.00029863i,0.00035045-0.00011119i,-0.0003578-0.00038706i,-0.00041384-0.00029493i,-4.8923e-05+0.00047611i,0.00011923+0.00067914i,0.00017813+9.8385e-05i,-0.00016853-0.00091093i,0.00012937-0.001145i,0.00010539-0.00031434i,-0.00031217+0.00035177i,-0.00028225-0.00037084i,0.000413-0.00022318i,3.3936e-05+0.00073572i,-7.3961e-05+0.00063352i,0.00033586+0.00041245i,0.00075799+0.00070432i
-0.0010118+0.0013299i,-0.00098639+0.00084671i,0.00032301+9.7369e-05i,0.0010926-0.00036565i,0.0010784-0.00057867i,0.00060374-0.00088819i,-0.00035101-0.00022225i,-0.0008024+0.00072798i,-0.00070084+0.00060603i,-0.00020483+0.00022352i,0.00047697+0.00026903i,0.00034359+0.0010312i,-0.00055896+0.0010938i,-0.00074127+0.00051262i,-0.00025091+0.0010201i,-0.00015956+0.00080405i,-0.00075477+9.0593e-05i,-0.00068062-0.0005141i,-0.0003773-0.00050911i,0.00017049-8.6268e-05i,0.00035936+0.00047114i,-0.00053492+0.000497i,-0.0002491+0.0002187i
0.0023591-0.00084979i,0.0035121-0.0025768i,0.0034116-0.0026817i,0.0021642-0.0022316i,0.00092913-0.0016391i,-0.00031935-0.00031293i,-0.00076684+0.00082211i,-0.00042005+0.0012945i,0.00048659+0.0010948i,0.00080265+0.00040931i,-0.0004549-0.00021138i,-0.00092137-0.00012905i,-0.00058374+0.00016903i,-5.8952e-05-0.00025792i,-0.00038505-0.00078291i,-0.00056047-0.00032958i,0.00010411-5.0576e-05i,0.00025748-0.00035659i,5.9069e-05-0.00064161i,0.00027541-0.00029537i,0.00037724+0.00080779i,-0.00014631+0.00053867i,0.00016309-0.00032894i
0.0020567+0.00017469i,0.002128+0.00037442i,0.0024624+0.00038391i,0.0017274-0.00072718i,0.00049456-0.0014503i,-9.3643e-05-0.00059428i,-2.8335e-05+0.00030712i,0.00037419+0.00053057i,5.0853e-05+3.1159e-05i,0.00040287-0.00032761i,0.00023042-0.00046646i,-0.0003403+0.00024756i,-0.00068905+0.00057884i,-0.00093877+0.00013082i,-0.00027299+0.00017399i,0.00056206+0.00058752i,0.00070373+0.00053474i,0.00014853+0.00010228i,-0.00024786-0.00036081i,-6.1559e-05-0.0011262i,-0.0001646-0.0011317i,-0.00030946-0.00017828i,-0.00019201+0.00038382i
-0.0012897+0.00079067i,-0.0011223+0.00080083i,-0.0012462+0.00032685i,-0.00119+0.00037111i,-0.00097361+0.00018755i,0.00017377-0.00046229i,0.00071663-0.00026886i,0.00075719+8.35e-06i,0.0002907+8.8415e-05i,-0.00070039-9.1901e-05i,-0.00051701-6.451e-05i,-0.00047187+0.00035581i,-0.0004484+0.00028818i,5.2181e-06-0.00020341i,0.00062768+0.0002168i,0.00042879+0.00082353i,0.00041103+0.00069996i,0.00063087+0.0004996i,0.00059612+0.00025214i,-2.0745e-05-0.00014719i,-0.00067537-0.00046445i,-0.00061988-0.0002609i,0.00014921+0.00016975i
0.0015068-0.0017265i,0.0021076-0.0014391i,0.00221-0.0018295i,0.00085446-0.0023259i,-0.00056051-0.0022956i,-0.00039635-0.0018523i,0.00012541-0.00017577i,0.00090348+0.0011152i,0.00064254+0.00095927i,-1.7542e-05+0.00037367i,0.00028001+0.00021731i,-3.7424e-05+0.0001654i,-0.00074479-0.00025467i,-0.0004019-0.00050094i,-7.7747e-05-0.00020255i,-4.8542e-05+0.00027092i,-0.00016238+0.00057014i,-0.00030201+7.1e-05i,-0.00018499+8.2284e-05i,0.00024976-0.00014457i,0.00019441-0.00084103i,-4.7682e-05-0.00082647i,0.00055842-0.0005604i
0.0018536+0.0012853i,0.0021948+0.00094558i,0.002888-0.00056981i,0.0028081-0.0015673i,0.0017656-0.001515i,0.00032752+0.00014246i,-0.00015162+0.00063679i,0.00042706+0.0004077i,-1.8026e-05+0.00083355i,-0.00075048+0.0006767i,-0.00051012+0.00047808i,-0.000518+0.00069206i,-0.00041204+0.00056031i,-5.237e-05+0.00024246i,-0.00018897+0.00057288i,-0.00061857+0.00079837i,-0.0012283+0.00063464i,-0.00088705+0.00033736i,0.00026352+0.00056117i,0.00060172+0.00095799i,0.0001146+0.0004762i,-8.546e-05-0.00038301i,-6.7585e-05-0.00061736i
7.1578e-05-0.00077635i,-9.2876e-05-0.0027523i,0.00052528-0.0034759i,0.00051824-0.0015021i,-0.0013702+0.00047218i,-0.0022753+0.0013196i,-0.00079551+0.0015939i,0.0002846+0.0012425i,-0.00013423+0.00093163i,-0.00010349+0.00033319i,-5.8923e-05+3.9776e-05i,-0.00089228+0.00078973i,-0.00090617+0.0016031i,-0.00045377+0.0014124i,-0.000289+5.6089e-06i,-0.00025616-0.00026834i,-2.1213e-05+0.00020999i,-0.00028164+8.1042e-05i,-0.00065372+0.00016953i,-0.00089607+4.1507e-05i,-0.00099926+9.2234e-05i,-0.00034967+0.00030869i,2.5742e-05-0.00015398i
0.0011516+0.0023184i,0.0020859+0.0020062i,0.0015688+0.0015665i,0.0012265+0.0017646i,0.0013964+0.0015315i,0.00073868+0.00023058i,-0.00022419-0.00066062i,-0.0004808-3.2619e-05i,0.00031034+0.00084007i,0.00074599+0.00061149i,0.00082979-6.0626e-05i,0.00067142-0.0005015i,0.0003423-0.00032487i,0.0002718+0.00020717i,0.00058815+0.0009323i,0.00060851+0.00015355i,0.00010722-0.001101i,-0.00032927-0.00063207i,-0.00080235-0.00015575i,-0.0004994-0.00012315i,0.00014995-7.5861e-05i,0.00049522-0.00033316i,0.00054224-0.00010475i
