-0.002773+0.0010152i,-0.0035651+0.00058594i,-0.0044562+0.0016586i,-0.0032985+0.0027873i,-0.0019053+0.003431i,-0.00071408+0.0019467i,-0.00032304+0.00078368i,-8.327e-05+0.0016398i,0.00032427+0.0016153i,-3.6064e-05+0.00051124i,-0.00011784+0.00022325i,0.00030709+0.00084812i,0.00057245+0.00036754i,0.00031599+8.9092e-05i,-0.00026385+0.00070137i,4.0424e-05+0.00023369i,0.00088215-0.00015256i,0.00041842+8.1739e-05i,-0.00013041-8.5316e-05i,0.00059588-0.00025987i,0.0012561-0.00047469i,0.0012802-4.3614e-06i,0.00084965+0.00021094i
-0.0010574-0.00050858i,-0.00083613-0.00019887i,-0.0010308+0.0005717i,-0.00099737+0.0023884i,-0.00081451+0.0024639i,-0.00075681+0.00066742i,-0.0010032-5.7436e-05i,-0.0012413+0.00036881i,-0.0012102+0.00054043i,-0.00059024+0.00090554i,-0.00023061+0.0012273i,-9.6027e-05+3.9031e-05i,0.00028457-0.00027723i,-0.00065239+0.00012654i,-0.0010179-0.00019785i,2.1516e-05+0.00013436i,0.001027+0.00053195i,0.00075501-0.00020792i,0.00020072-0.0014332i,0.0004087-0.0016698i,0.00049657-0.0011359i,0.00021543-0.00098611i,-0.00066243-0.00022793i
0.00059474+0.0022625i,0.00036968+0.001403i,0.00037868+0.0015508i,0.00093939+0.0021285i,0.0012637+0.0017193i,-8.9468e-05-5.6428e-05i,-0.0016837-0.0012107i,-0.0016726-0.001155i,-0.00088229-7.9478e-05i,-0.00029673+0.00075759i,-0.0002895+0.00050742i,-0.00059471+0.00018151i,-0.00013867+0.00023081i,0.00037371+0.00058155i,0.00050631+0.00077706i,0.00053351+1.3205e-05i,0.00053475+0.00022349i,0.00037052+0.00063798i,-0.0003862+0.00061948i,-0.00079454+0.0013954i,-0.00079459+0.00081711i,-0.00053124-1.0303e-05i,-0.00025269-0.00065441i
-0.0008384-0.00010054i,-0.0011986+0.00062113i,-0.00055271+0.0023908i,-2.5136e-05+0.0023777i,0.00020636+0.00090149i,-0.00021107-9.2485e-05i,-0.0005948+0.000182i,-0.0009143+0.00024826i,-0.00053776-0.00058071i,-0.00042655+0.00011368i,-0.0007514+0.00079492i,-0.00025678+0.00019919i,-0.000399-0.0001977i,-0.0012209-0.00048403i,-0.001169-0.0003514i,-0.00060424+0.0003798i,-0.00028252+0.0001575i,0.00045987-0.0008569i,0.00033059-0.00018342i,-0.00089453+0.00023851i,-0.00047036-0.00040884i,0.00016281-0.00074028i,0.00016002+0.00026223i
-0.0014427-0.00034789i,-0.0022069-0.00011229i,-0.0032197+0.0015364i,-0.0015588+0.003109i,0.00088541+0.0025939i,0.00064541+0.0010904i,-0.00085348+0.00069964i,-0.00078466-4.3459e-05i,0.00034227-0.00054541i,0.00036004-0.00011453i,5.9931e-05-0.00010569i,0.00067164-0.00049006i,0.00091135-0.0012271i,0.00022723-0.0017663i,-0.000254-0.0012348i,0.00033073-0.00030712i,0.00066306+4.6746e-05i,0.00043151+0.00042244i,0.00037401+0.00018559i,0.00034799-0.00013329i,-5.9013e-05-7.5961e-05i,4.0069e-05-0.00015792i,0.00080048+2.7485e-05i
-0.0019177-0.00070065i,-0.0015004-6.8512e-05i,-0.0024201+0.00047258i,-0.0017954+0.0015955i,-0.00050136+0.0022211i,-0.00012027+0.0011641i,-0.00013406+0.00084407i,-7.0924e-05+0.00071229i,-9.9187e-05+0.00058413i,-0.00066386+0.0010308i,-0.00037343+0.00089911i,0.00011937-0.00044442i,0.00016455-0.00090944i,0.00029718-1.5894e-05i,0.00032135+0.0010135i,5.9708e-05+0.0007231i,8.9811e-05+4.9584e-05i,-0.00013605+1.9436e-05i,-2.2802e-05+0.00013649i,0.00028517+0.00012191i,0.00063204-0.00022852i,0.00062566-0.00045336i,-4.0615e-05-1.3046e-05i
-0.00012087-0.00059988i,-0.00098491-0.00090157i,-0.00086219+5.7027e-06i,-0.0013427+0.00066481i,-0.0020789+0.0012309i,-0.0023638+0.0012394i,-0.0015872+0.00099105i,-0.00056309-0.00045213i,-0.0003569-0.0015938i,-0.0003587+9.1633e-05i,-0.00089845+0.0015291i,-0.0014348+0.00062775i,-0.00098765-0.00037883i,-0.00045523-0.00013311i,-0.00036284+0.00055614i,-0.00015098+0.00029279i,0.00021139+6.4196e-05i,0.0001253+0.00041782i,8.6247e-05+0.00014117i,0.00011611-0.00052601i,0.00056338-0.00081754i,0.0011726-0.0010368i,0.00047704-0.00056807i
-0.0012595-0.00015977i,-0.00048913+0.00056046i,-0.00026574+0.0017138i,-0.00082582+0.0020841i,-0.00041582+0.0012093i,0.00019617-8.3725e-05i,-2.3695e-05+9.0335e-05i,-0.00087703+0.00072179i,-0.0010909+0.00027107i,-0.00092302-0.00040544i,-0.0013667-0.00032638i,-0.00089668-1.9911e-06i,-0.00051306-2.3796e-05i,-0.00050935-0.00037261i,0.0002211-0.00068257i,0.00033305-0.00070796i,7.9859e-05-0.00075765i,0.00047006-0.00034804i,0.00086669+0.00041869i,0.00041229+0.00076516i,0.00017705+0.00045737i,0.00037517+0.00019749i,-1.9219e-05+0.00019999i
-0.00089177-0.0020395i,-0.0022039-0.0019304i,-0.0028743-0.0011924i,-0.001547-0.00028299i,-0.00078945+0.00088297i,-0.00038882+0.0004711i,0.00032596+6.0315e-05i,7.6733e-06+0.0007118i,-0.00075648+0.00069954i,-0.0011656+0.00038325i,-0.0006864+0.00011741i,-5.7253e-05+4.9462e-05i,-0.00012498+5.6677e-05i,-0.00089613+0.00061512i,-0.0015876+0.00081764i,-0.00065838+0.0014028i,4.4137e-06+0.0011725i,-0.000186+0.00019223i,-0.00014578+0.00010435i,-0.00012771+0.00059847i,-0.00016066+0.00037107i,4.161e-05-1.0258e-05i,-0.00044408+0.00042395i
0.00066787+0.00053149i,-0.0010106-8.264e-05i,-0.0013232+9.3761e-05i,-0.00031059+0.001642i,0.00030226+0.0013488i,-0.00027201+0.0001966i,-0.00087918+0.00034655i,-0.0010557+0.00046961i,-0.0010711+0.00064948i,-0.00076395+0.00083845i,-0.0003708+0.0006884i,0.00039077-0.00024386i,0.00051597-0.00077033i,7.0926e-05-0.00041475i,5.4966e-05-0.00051905i,0.00049233-0.0013787i,0.0010874-0.001354i,0.0011699-0.00075387i,0.00081416-0.00064839i,0.0007433-0.00033404i,0.00061306+5.2506e-05i,0.00045585-0.00041491i,0.00065618-0.00029031i
0.00055013-0.00033423i,0.0002034-0.0010518i,0.00060977-0.00057875i,0.00089714+5.1215e-05i,0.00034197-0.00016488i,-0.00067796-6.233e-05i,-0.0014828+0.00049844i,-0.00088748+0.00090994i,-0.00012547+0.00040192i,-0.00027143+0.00010403i,-0.00067505-0.00018078i,-0.00040655-0.00065109i,0.00012674-0.00055187i,-0.00051454-0.00032055i,-0.0010113-8.0977e-05i,-3.0664e-05+0.00055167i,4.6588e-05+0.00035013i,-1.7619e-05-0.00047435i,0.00016689-0.00065163i,-5.0553e-05-0.00048126i,0.00038486-0.00083361i,0.00024958-0.00094416i,-0.00067286-0.00033792i
-0.00032693-0.0013143i,-0.0010526-0.00027051i,-0.0015017+0.0010825i,-0.0011958+0.0013048i,-0.0004524+0.0005179i,-0.00080162+0.00013028i,-0.0011535+0.00040996i,-0.00026548+0.0005745i,0.00016424+0.00065239i,-0.00028701+0.00095927i,-0.00079757+0.00082813i,-0.00067511-3.1389e-05i,-0.00047272-0.0009366i,-8.8069e-05-0.00087453i,0.00054327-0.00014947i,0.00015964+0.0011582i,0.00024403+0.0014283i,0.00020766+0.00021017i,-0.00017519-0.00067826i,0.00028877-0.00017373i,0.00072389+0.0003074i,0.00020003+4.0388e-05i,-0.00026381-0.00032346i
-0.00018841+0.00055613i,-0.00038937+0.00087422i,-0.00064448+0.0022636i,-0.00070505+0.0020872i,-0.00022744+0.0014192i,-0.00081477+0.0014175i,-0.0018626+0.00065901i,-0.0014647-2.3648e-05i,-0.0006983-1.448e-05i,-0.00046619+0.00069469i,-0.00066812+0.00091801i,-0.0007747+1.6175e-05i,-0.00099128-0.00016229i,-0.00068561+0.00064487i,-0.00027879+0.0009677i,-0.00026184+0.00031822i,-0.00014321-0.00037903i,0.00016536-0.00051728i,0.00055504-0.00039631i,0.000612-0.00010735i,0.0005005+4.6141e-05i,8.097e-05-0.00034643i,-0.00012144-0.00037061i
-0.00039624-0.0012464i,-0.0013989-0.0011997i,-0.00070368-0.0008486i,0.0010371-0.0004335i,0.00086923-0.00058725i,-0.0009636-0.0012211i,-0.0015026-0.0015983i,-0.00088742-0.0011295i,-0.00031692-0.00070002i,-0.00064823-0.00041613i,-0.001901+0.00049725i,-0.0016511+0.00048987i,-0.00023696-0.00093117i,0.00046754-0.0010687i,-0.00038575+0.00019102i,-0.00064199+0.00076294i,-2.1105e-05+0.00039167i,-0.00033777-0.00029134i,-0.00031814-9.6826e-05i,-0.00021274+0.00013493i,-0.00016748+0.00017232i,0.00036656-0.00022411i,0.00076661-0.00035705i
-0.0017694+0.00031955i,-0.0029501+0.0001403i,-0.0036993+0.0012835i,-0.002057+0.0020374i,0.00038909+0.0020845i,0.001015+0.0015373i,-0.00062256+0.00062366i,-0.0014182-0.00021677i,-0.00083198+3.215e-05i,-0.00042264+0.0002406i,-0.00016726+0.00030365i,0.00011968+0.00027028i,0.00021712+2.3718e-05i,0.00053112+0.00045931i,0.00051512+0.0010037i,0.0003823+0.0018063i,0.0010267+0.0020752i,0.0013705+0.0012094i,0.00077646+0.000233i,0.00033979-8.6463e-05i,0.00054782+0.00077175i,0.00060534+0.0011988i,0.00048276+0.0010075i
0.00065252-0.00082171i,0.00034201-0.00098933i,-0.00096412-0.00073703i,-0.001648+0.00010158i,-0.0018103+0.00070718i,-0.00086771+0.00045149i,-0.00065982+0.00044008i,-0.0010035+0.0006911i,-0.0010292+0.00078277i,-0.0013515+9.7236e-05i,-0.0010868-0.0003249i,-0.00082037-0.00051171i,-2.1389e-05-0.00058481i,0.00034879-0.0011738i,0.00016726-0.0013581i,0.00041685-0.00049213i,0.00039463-0.00064665i,0.00057413-0.00080509i,0.00061278-5.1798e-05i,0.00013831+0.00017453i,2.9853e-05-6.2279e-06i,-0.00055795+0.00049113i,-0.0010712+0.0006613i
-0.0034746-0.0004673i,-0.0034056+0.0013408i,-0.0043061+0.0033393i,-0.0022901+0.0038644i,-0.00024463+0.0026016i,-0.00028336+0.00071512i,-0.0011785+0.00034951i,-0.0010896+0.00015832i,-8.0392e-05-0.00038034i,0.0002611+4.887e-05i,-0.00025437+0.00085555i,-0.00058912+0.00094042i,-0.00067304+0.00048264i,-0.00034603+0.00040904i,0.00015125+0.00093963i,-0.00037073+0.00067892i,8.6959e-05+0.00037715i,0.00060838+0.00031592i,0.00031301-0.00070266i,-2.3301e-05-0.00014491i,-0.00065454+0.00060401i,-0.00090797+0.00038789i,-0.0010277+0.0009259i
-8.2644e-05-0.00028527i,-0.00012927-0.00034062i,-0.00034508+0.0005941i,0.00029718+0.0014197i,0.00013407+0.00078373i,-0.0011632-8.9763e-05i,-0.0017369+0.00018898i,-0.0010453+0.00031439i,-4.0736e-05-0.00010726i,0.00047154-0.00020993i,6.829e-05+0.0001958i,-0.00062575-0.00022908i,-0.00066889-0.00071486i,-0.00064465-0.00013745i,-0.0011149+0.00078041i,-0.00066974+0.0011094i,-3.5301e-05+0.0011121i,0.00048783+0.00029293i,0.00078456-0.00045654i,0.00034541-0.00066919i,0.00053677-0.00035046i,0.00096951-0.00015198i,0.00034144+0.00023573i
0.00014369+0.00023524i,-0.00024861+4.7272e-05i,-0.0013315+0.00044836i,-0.0012588+0.00097821i,-0.00061788+0.0010088i,-0.0009379+0.00016815i,-0.00056399-7.8853e-05i,-0.0004509+0.00016545i,-0.00089309-0.00030579i,-0.001641-0.00014372i,-0.0011659+0.00037854i,-0.00040424+0.00015801i,-0.00042631+5.9228e-05i,0.0002275+0.00054352i,0.00023613+0.00026257i,0.00062548-4.2782e-05i,0.00086774-0.00015513i,0.00040577-0.00056208i,-9.5185e-05+8.8265e-05i,-0.00060587+0.00082008i,-0.00037738+0.00046234i,-0.00010993-0.00026228i,0.00010984+1.698e-05i
-0.0012245+0.00012723i,-0.0017436-0.00055753i,-0.0014678+0.0012282i,-0.0004467+0.0024515i,0.00061737+0.0012921i,1.7397e-06-0.00058059i,-0.0011007-0.0013398i,-0.00094386-0.00049522i,-0.00065936+0.00055137i,-0.0014578+0.00096116i,-0.0014705+0.00067947i,-0.0015943+0.00093836i,-0.0014595+0.00079844i,-0.00034767+0.00019991i,0.00022215+0.00028659i,0.00022654+9.4514e-05i,0.00038814+0.00010987i,-8.1422e-05+0.00020038i,-0.00046194-8.6118e-05i,-0.00030716+3.625e-05i,-0.0001118+0.00036769i,-0.00036724+1.7919e-05i,-0.0004179-0.00038483i
0.00048613-0.00079739i,1.3286e-05-0.00090635i,-0.00036132-0.00031441i,-0.0005386+0.00081104i,0.00051483+0.0011314i,0.00020445+0.00098614i,-0.00089258+0.00060269i,-0.00063055+0.00074381i,0.00042984+0.00023372i,-0.00038832-7.9405e-05i,-0.0011701+0.00034573i,-0.00099972+0.00032647i,-0.00080867+9.6526e-05i,-0.00039495+0.00014167i,0.00043866+0.00030906i,0.00065219+0.00054637i,0.00022085+0.00048917i,0.00038354-0.00023804i,0.00062645-5.398e-06i,0.00092627+0.00033991i,0.0015046-0.00016062i,0.001311+7.641e-05i,0.00051972+0.00052656i
-0.0021344+0.00029322i,-0.0026221+0.00030073i,-0.0038006+0.0009072i,-0.0043429+0.0018264i,-0.0033149+0.0016771i,-0.001792+0.0011338i,-0.00086862+0.00054685i,-0.00074466+0.00028174i,-0.00098013-0.0002746i,-0.0014365-0.00049194i,-0.0018734+0.00012714i,-0.0011487+0.00077969i,-0.00038378+0.0010964i,-0.00045801+0.0012803i,0.00019233+0.0014759i,0.00090689+0.0013288i,0.00064114+0.00053956i,0.00045402-0.00010849i,0.0012923-0.00054884i,0.0015667-0.00017771i,0.00050501-1.2041e-05i,0.00022478-0.00024344i,0.00087905+0.0004134i
-0.00095263-0.00045139i,-0.001324-0.0011104i,-0.001199+0.0013127i,-0.00076811+0.0034179i,0.00066884+0.0025719i,0.0010488+0.00066213i,0.00027927+0.0002889i,-5.668e-05+0.00063511i,-0.00019186+0.0007614i,-0.0003237+0.00090646i,-0.00015065+0.00079026i,-5.8352e-05+0.00087264i,-0.00023137+0.00017472i,-0.00047059-0.00060886i,-0.00028924-0.00041535i,-0.00019028-2.8757e-05i,-0.00023861+0.00026671i,-7.4941e-05+0.00020882i,0.00066394-5.8464e-05i,0.00052973+0.00022728i,0.00023164+0.00017953i,0.00048023+0.00039397i,0.00031871+0.00073752i
-0.0015506-0.0010932i,-0.0021331-0.00088351i,-0.0020497+0.0006172i,-0.0013824+0.0021198i,-0.0011042+0.001794i,-0.0010571+0.00044891i,-0.0011208+0.00015413i,-0.00083879+0.00056451i,-0.00041741+0.00089522i,-0.00035074+0.00098581i,-0.0001562+0.00063048i,-0.00037315+0.00019388i,-0.00070175-0.0004983i,-0.00063581-0.00092697i,3.1718e-05-0.00082361i,0.00094902-0.00037369i,0.00060106-0.00012279i,-0.00037862-0.00017231i,-0.00036651+7.3807e-05i,0.00025513+8.8936e-05i,0.00026993-0.00045836i,-0.00010094-0.0012655i,-0.00022305-0.00032302i
8.4325e-05-0.00088917i,0.0011533-0.0018594i,0.0012533-0.00033616i,-0.00032215+0.00051632i,-0.0011709+0.00026652i,-0.0014787-0.00023826i,-0.0012124-0.00035262i,-0.00055437-3.7325e-07i,-0.00063054-1.5984e-05i,-0.0004756-0.00010906i,-0.00035774+0.00049306i,-0.00012904+0.00077694i,5.7136e-06-0.00024275i,-2.5086e-05-0.0013121i,0.00040389-0.0012807i,0.00084266-0.00085406i,0.00048574+0.00010575i,-0.0001138+0.00029807i,-0.0004178-0.000214i,0.0001605-0.00042825i,0.00051652-8.0707e-05i,0.00019815+0.00019581i,-0.00060069+0.00019862i
-0.00014849-0.00044324i,-0.00098885-0.00073316i,-0.0026256-0.0002991i,-0.0018086+1.3853e-05i,-0.0010467+0.00040947i,-0.0014496+0.00085305i,-0.0020061+0.0005252i,-0.0020091+0.00015796i,-0.0013306-0.00030072i,-0.0011343-9.725e-05i,-0.00076113+0.00060676i,8.6228e-05+0.000861i,0.00019533+0.00013925i,0.00045039-0.00019629i,0.0011928+0.00061039i,0.0011268+0.00071491i,0.00014979-0.00016737i,0.00068105-7.6922e-05i,0.00096713+0.00018741i,-0.00025924+2.8294e-05i,-0.00049157-0.00017851i,0.00025307-8.8912e-05i,-0.00034477+0.00029438i
-0.001695+0.0015904i,-0.00099787+0.002134i,-0.0010116+0.0033579i,-0.00088556+0.004189i,-0.00014579+0.0026424i,-0.00010199+0.00038298i,-0.00089583-0.00020477i,-0.0012118-0.00030502i,-0.0010915-5.191e-05i,-0.0013944+0.00039521i,-0.00063656+0.00068181i,0.00011214+0.00062507i,5.6876e-05-0.00017809i,0.00014525-0.00046249i,-7.1286e-05+0.00014914i,0.00069883+0.0010597i,0.00099843+0.0012993i,0.00066242+0.00054842i,0.00098799+2.5421e-05i,0.0007938-5.117e-05i,0.0007128+0.00029248i,0.00035391+0.00035487i,-0.00066411+0.00024879i
