-0.0010254-0.00069259i,-0.0010426-0.00039507i,-0.0016768-0.00021849i,-0.0011809+0.00053469i,-0.00025064+0.0022342i,-0.00032152+0.0019118i,-0.0005945+0.0011992i,0.00042927+0.0012131i,0.001497+0.00071173i,0.0019797-0.00074903i,0.0016332-0.0015778i,0.0013166-0.00043615i,0.00069789+0.00045928i,-5.8655e-05+0.00048904i,-0.00088925+0.00079379i,-0.0016361+0.00068159i,-0.0012347+0.00017642i,-0.00028538-0.0007692i,-0.00048243-0.00073499i,-0.00027737+0.00018696i,0.00010643+0.00078509i,-0.00019749+0.0010622i,-0.00010517+0.00064865i
0.00074543+0.0014344i,0.0016955+0.0013776i,0.0015509+0.00064391i,0.00027602+0.00059051i,-0.00056353+0.0010014i,-0.00018292+0.00059537i,0.00058392+0.00019924i,0.00070149+0.00053843i,0.00043295+9.4167e-05i,0.00015097-0.00086327i,0.00041208-0.0010347i,0.00050611-0.00047154i,5.0302e-06+1.9466e-05i,0.00010607-9.0356e-05i,-0.00069102-1.3156e-05i,-0.0016616+0.00015811i,-0.001652+0.00053261i,-0.0013143+0.00013978i,-0.00096214-0.00064414i,-0.00020521-0.0011338i,0.0006452-0.00091662i,0.000457-0.00033416i,-0.00021757-3.4668e-05i
0.0012292-0.00013308i,0.00031417-0.00087701i,0.00023819-0.00093692i,0.0001035-0.00067868i,-0.00086932-0.00036015i,-0.001434-0.00071971i,-9.5198e-05-0.00051409i,0.00097827+4.8098e-05i,0.0010929-0.00028818i,0.0011985-0.00025098i,0.00069051-0.00024812i,0.00035682+0.00026252i,0.00010426+0.00094415i,0.00011462+0.0010043i,0.00014089+0.00076069i,-0.00029212-0.00016945i,0.00023458-0.00053964i,0.0011663-0.00062008i,0.00034326-0.00066486i,-0.00056515-0.00021884i,-0.00021006+0.00030609i,-0.00012978-0.00027202i,-0.00084264-0.00075373i
0.00027116-0.00092013i,0.00021527-0.001375i,0.00043234-0.0014581i,0.00065307-0.00099705i,0.00040626-0.00043847i,0.00045878+1.7947e-05i,0.00067031+3.5565e-05i,0.0010228-0.00035421i,0.0011689-0.00088998i,0.001199-0.00075438i,0.0011615-0.0001556i,0.001113+0.00023572i,0.00076948-2.0868e-05i,-0.00031275-0.00039431i,-0.00037466-0.00033586i,4.8613e-05+0.00015645i,-0.00033494-0.00016858i,5.4369e-06-0.00044169i,0.00063128+0.0004341i,0.00054361+0.00094849i,0.00014693+0.00032464i,0.0003989-0.00015992i,0.0005647-0.00030774i
-0.00084481+0.0010671i,-0.00087459+0.0015831i,-0.00010269+0.0016932i,0.00090641+0.00085372i,0.0010955+9.5385e-05i,0.0011267+0.00010967i,0.00094743+0.00014047i,0.00063899-0.00021438i,0.0006643-9.3504e-05i,0.0012143-0.0003846i,0.0015556+0.00013051i,0.0010107+0.00056759i,0.00046551-1.4774e-06i,0.00013893-0.00084751i,0.00016525-0.0011817i,0.00029226-0.00077859i,5.1193e-05-0.00027645i,-0.00066845-0.00020446i,-0.00041801-0.00031838i,0.00017357+0.00055219i,6.8823e-05+0.00083836i,0.00093088-8.5219e-05i,0.00089261-0.00025881i
-0.0006002+0.002061i,0.0010164+0.0024993i,0.00035409+0.001977i,-0.00075233+0.0010969i,-0.00021348+0.00058636i,0.0010676-0.00054103i,0.00054637-0.00065091i,-0.00061254-0.00080384i,0.00017929-0.0013193i,0.00070852-0.00081964i,0.00086272-0.00065648i,0.00047564-0.00082628i,-0.00020208-0.00026386i,0.00014009+0.0002042i,0.00044157-8.8701e-06i,-0.00016342+6.8174e-05i,-0.00041066-0.00018409i,-0.00020027-0.00025288i,-0.00025123-0.00044083i,6.5754e-05-0.00059859i,1.1165e-05-0.00051959i,-0.00047327-0.00041513i,-9.9534e-05-0.00019135i
0.00062121-0.002753i,-0.00078958-0.0034662i,-0.0015813-0.00266i,-0.0016323-0.0013643i,-0.0013665-0.00060741i,-0.00089622+4.1005e-05i,-0.00014372+6.3565e-05i,0.00072796-0.00061079i,0.0011086-0.00087872i,0.00097217-0.0005814i,0.00020755-0.00056707i,-0.00016629-0.00089707i,-0.00047694-0.0011541i,-0.00058812-0.0010466i,0.00068889-0.00032491i,0.0012841+0.00035718i,0.00024567+0.00014378i,-0.00032929+0.00039763i,-0.00067745+0.00054472i,-0.00044691-0.00023183i,0.00035858-0.00052948i,0.00070065-0.00010232i,0.00024275-0.00012716i
-0.00091126-6.9865e-06i,-0.00013431+0.0010849i,0.00011298+0.00036684i,-0.00073529-0.00025279i,-0.00077801+0.00025531i,0.00034588+0.0010268i,0.0014335+0.00084375i,0.0010759-0.00056642i,0.00062236-0.0011782i,0.00026393-0.0011936i,-0.00037117-0.0010462i,-0.00025922-0.00076927i,-0.00048405-0.00082003i,-0.00068032-0.001059i,0.00021616-0.00037234i,0.00054006+0.00090473i,0.00010446+0.00062482i,-0.00067159-0.00015006i,-0.00035074-0.00060331i,0.00083155-0.00031062i,0.0010945-0.00016316i,0.00089041-0.00043484i,0.00039799+7.3556e-05i
-0.0015853+0.00061916i,-0.00058197+0.0014574i,4.4561e-05+0.0019094i,0.00035698+0.0014898i,0.00063316+0.00098828i,0.0008281+0.00057082i,0.00083558+0.00032876i,0.00067017-0.00022123i,0.0012059-0.00044803i,0.00092559+3.3924e-05i,-0.00041332+0.00022975i,-0.00023982+3.3563e-05i,0.00066614-5.2749e-05i,0.00045415-0.00072423i,-0.00087052-0.0007866i,-0.0012544-0.0001828i,-0.00083295+7.9163e-05i,-0.00021421+0.00017502i,0.00013445+0.00012625i,-0.00052326+0.00030152i,-0.00064697+0.0008952i,-0.00035272+0.00046044i,0.00038554-0.00016836i
0.0018815+0.0012471i,0.0014523-3.4056e-06i,0.0012567-0.00067195i,-0.00013202-0.00020092i,-0.00081406+8.0947e-05i,-0.00017781+9.5319e-06i,0.00062853-0.00017425i,0.00094708-0.00024065i,0.0011777-0.0010712i,0.00060501-0.0014827i,-0.00042971-0.00086307i,-0.00052898-7.3687e-06i,-0.00051376+0.00059816i,-0.00028941+0.00024349i,-0.0002269+0.0001222i,2.4545e-05+0.00015853i,0.00018484-0.00054197i,-8.4443e-05-0.00036122i,0.00036625-0.00021651i,8.9331e-05-0.00044971i,-0.00063096-0.00039395i,0.00021694+0.00057866i,0.00056433+0.00062421i
0.00056132-0.00023028i,-0.00062437-0.0011335i,-0.0014631-0.0012179i,-0.0013565-0.0004139i,-0.0013358+6.9491e-05i,-0.0013149-0.00015491i,-0.00074567-0.00019084i,0.00011845-0.00021403i,0.0011292-0.00040047i,0.0012203-0.00052136i,0.00083801-0.00047583i,0.00055385-0.00084001i,0.00058016-0.001441i,-9.7096e-05-0.00063244i,-0.0001875+0.00017904i,0.00021292+0.00037387i,7.0186e-05+0.00022902i,-9.7337e-05+0.00077308i,-1.899e-05+0.00084396i,0.0002042+0.00034275i,0.00017929+0.00017052i,-0.00036594-0.00035665i,-0.00064647-0.00027286i
-0.00012994-0.0010439i,-0.00022179-0.0012364i,0.00025129+3.599e-05i,0.00072087+0.0010726i,0.0003438+0.0013476i,0.00047343+0.0011544i,0.00097297-9.8877e-05i,0.000591-0.0011531i,0.00057798-0.001152i,0.00071704-0.0008206i,-1.0059e-05-0.00077405i,-0.00027944-0.00062925i,7.235e-05-9.1121e-05i,-5.3108e-05-0.00032113i,-0.00043138-0.00061937i,-0.00043053-0.00039734i,-0.00052451-0.00061494i,-0.00052658-0.00062243i,-0.00058806-0.00021707i,-0.0010777+0.00057225i,-0.00056414+0.00032058i,0.00035965-0.00091768i,0.00028851-0.00087765i
-0.0017343+0.0011466i,-0.00091129+0.0006027i,-0.00043158-0.00048951i,-0.0011056-0.00036127i,-0.0012142+0.00056649i,-0.00060726+0.00077809i,8.7033e-06+0.00011804i,0.00078761-0.0002891i,0.001022-0.00037439i,0.00081482-0.00028418i,0.00069438-0.00037217i,0.00067386-2.1077e-05i,0.00065271+0.00061663i,0.00015024+0.00033463i,-0.00037477-0.00010212i,-0.00020063+0.00042472i,-7.3075e-05+0.00080838i,-0.00040546+0.00066587i,-0.00070623-4.1894e-05i,-0.0010308+0.0003977i,-0.0010887+0.00097958i,-0.00066933+0.00092141i,-0.00024374+0.00069333i
6.4014e-05-0.0022066i,-0.0011726-0.00055493i,-0.0011064+0.0014165i,0.00059237+0.0010202i,0.0015457+0.0010226i,0.00090057+0.0012554i,0.00040791+0.00022804i,0.00014315-0.0010787i,0.0004642-0.0014611i,0.0012837-0.00087223i,0.0013477-0.00043048i,0.0011035-0.0007203i,0.00065437-0.00079428i,-0.00029909-0.00041909i,-0.00014694-0.00013746i,1.7314e-05+0.00028328i,-0.00031331+0.00051686i,0.00030867+0.00033395i,0.00047412+0.0002489i,-0.0001864-0.00024346i,-0.0002375-0.0010489i,0.00020953-0.00075536i,0.00062822-0.00013415i
0.0012162+0.0012675i,0.00021619+0.00057556i,8.0177e-05+0.00021626i,-0.00011639+0.00020445i,-0.00065495-0.00039047i,0.00021888+2.5232e-05i,0.001244+0.00072217i,0.0017412+0.0013107i,0.0018479+0.00047324i,0.0014508-0.00092892i,0.00038034-0.00064394i,-0.0003327+0.00028063i,-0.00010107+0.00072215i,0.00046334+0.00060573i,0.00036271+0.00065872i,-0.00010685+0.00023748i,6.8184e-05+0.00018884i,0.00047201+0.00048832i,0.00069589+0.00069905i,0.0007815+0.00028163i,1.6215e-05-0.00022467i,-0.00036588-0.00010051i,-0.00043408-0.00050286i
-0.0010474-0.0011798i,-0.0013216-0.00049808i,-0.0014232-0.00015676i,-0.0011825-0.00023325i,-0.00053105+7.5332e-05i,0.00048058+3.9244e-05i,0.0010536-6.1477e-05i,0.00064471+3.0053e-05i,0.00024832+0.0001517i,0.00022041+0.00044364i,5.2338e-05+0.00023534i,-0.00033234-0.00024677i,6.295e-05-0.00049548i,0.00080358-0.00046089i,0.00086893-0.0001341i,0.00023064+0.00035187i,6.3236e-05+0.00056602i,-0.00030099+0.0002365i,-0.00040932-0.00026529i,-0.00020376-0.00032236i,-8.3443e-05-0.00087979i,0.00085173-0.0009326i,0.0012022-0.00012168i
-0.0013438+0.00034169i,-0.0016401-0.0003737i,-0.0014765+0.00038237i,-0.00084148+0.0015229i,-0.00062225+0.0020505i,0.00072038+0.0013815i,0.0016394+0.00024697i,0.0014641-0.00092648i,0.0011036-0.0014943i,0.00064417-0.0014339i,0.00014722-0.001181i,-5.871e-05-0.0011215i,-8.118e-05-0.0011947i,0.00039878-0.00089239i,0.00067389-0.00076369i,-0.00036032-0.00057694i,-0.00059599-0.0003969i,-0.00079343-0.00015745i,-0.00077534-0.0002582i,-0.0003415+8.7006e-05i,-0.00042682+0.00023198i,-0.00040671+7.9801e-05i,-0.00033068-0.0010393i
0.00039675+0.00082651i,0.00072517+0.00065509i,0.00073773-0.00016221i,0.0006009-0.0010058i,0.00054083-0.00074507i,0.00061041-7.2052e-07i,0.00022913+0.00081821i,0.00055423+0.00079565i,0.0010552-9.2827e-06i,0.00082158-0.00028536i,0.00053555-0.00015191i,0.0006821+0.00036263i,0.00032447+0.00017991i,-3.7105e-05-0.0004055i,0.00025484-0.00027214i,-3.6548e-05-0.00030627i,-0.00081233-0.00033138i,-0.00072225-0.00010574i,0.0002158+0.0004345i,0.00024292+0.00046111i,-1.8966e-05-0.00047125i,4.8431e-05-0.00038117i,-0.00026634+0.00012735i
0.0011279-4.8448e-05i,0.00069938+0.00029329i,-0.00039073+4.0241e-05i,-0.0010566-0.00029794i,-0.0012687+0.00014154i,-0.0008767+0.0011813i,0.00018266+0.00048426i,0.00088323-0.00033471i,0.00067366-0.00089159i,-0.00045478-0.0013813i,-0.00082453-0.00083083i,-0.00044561-0.001049i,6.75e-05-0.001086i,0.00070207+7.2681e-05i,0.00027757+0.00040803i,4.0713e-05-0.00029372i,0.00043006-0.00058128i,-2.8063e-06-0.00023629i,-7.1835e-05-0.00027268i,0.00037494-0.00020082i,0.0010275+0.00015043i,0.00047006-0.00025716i,-4.5487e-05-0.00034325i
0.00055709+0.00015191i,0.0001912-0.00057733i,0.0011573-0.00073298i,0.0011784-0.001361i,0.00066236-0.0015154i,4.4611e-05-0.00044784i,0.00010825-0.00055938i,-0.00012871-0.00041277i,-0.00040113+0.00017638i,8.6936e-05+0.00021262i,0.00054231-0.00049468i,0.0003727-0.00047021i,-0.00012109+0.00032004i,0.00016892+0.00014027i,7.88e-05-0.00028095i,-0.0004844+5.4305e-05i,-0.00043012+0.00060854i,-0.00062363+0.00083348i,-0.00027023+0.00022139i,0.00013604-0.00054405i,-0.00032827-0.0001625i,-0.00084166+0.00050778i,-0.0010964+0.00083224i
0.00066771-0.00053191i,-0.00085026-0.00085426i,-0.00104-0.00099657i,-0.0009085-0.00035357i,-0.001306+0.0005453i,-0.00035754+0.00059607i,0.00085121+0.00041263i,0.0010401+0.00045559i,0.00084097-0.00026955i,0.00065264-0.0011431i,0.00026431-0.0010248i,9.0923e-05-0.00064007i,0.00042819-0.00076873i,0.00012201-0.0011534i,7.1009e-05-0.0010546i,0.00077546-0.00066092i,0.00084297-0.00021642i,0.00043221+6.308e-05i,-0.00039838+0.00039626i,-0.00014685+0.00088156i,5.7724e-05+0.00043743i,-0.00020986-0.00076624i,0.00040477-0.00076619i
-0.00075963+0.00077999i,-0.00074145+0.00055852i,-0.0004066-2.0768e-05i,0.00051654+0.0010571i,0.001063+0.0020699i,0.0010402+0.00098539i,0.0012712-0.00077388i,0.00093452-0.00094473i,0.00090199-0.00067141i,0.0015446-0.00035587i,0.0015006-9.1154e-05i,0.00063982-0.00038966i,0.00049746+0.00011554i,0.00056806+8.1058e-05i,-0.00016051-0.00046221i,-0.00099706-4.6402e-06i,-0.00094296+0.00032899i,-0.00029943+5.7989e-05i,-0.00036526-0.00079789i,-0.00039857-0.0010181i,0.00032748-0.00019798i,0.00014223-0.0001374i,-0.00077543-0.0009714i
0.0013366-0.00058743i,0.00056197-0.0016312i,-0.00019456-0.0030504i,-0.00083694-0.0027452i,-0.00093397-0.0014947i,-0.00063264+7.4815e-05i,0.00032026+0.00075184i,0.0012054+0.00010038i,0.00013742-0.0012403i,-0.00073061-0.0014887i,-0.00024572-0.0011671i,0.00015676-0.00084699i,0.00021871-0.00043462i,0.0011126-0.0006131i,0.001068-0.00092825i,0.00034671-0.0010335i,0.00060411-0.00059711i,0.00054309+2.2547e-06i,0.00027578+0.00053901i,0.00050127+0.00053757i,0.00060829+0.00060151i,0.00080236+0.00064637i,0.00091409+0.00025687i
0.00015194+0.00065766i,-0.00060978+0.0017222i,-0.0003101+0.0012578i,0.00062019-0.00026649i,0.0013189-0.00057138i,0.00059283+0.00028256i,0.0003546+0.00038237i,0.00064072+8.7516e-05i,0.00033601-0.00035195i,0.00078686-0.00088429i,0.0010187-0.00044567i,0.00082043+2.9407e-05i,0.00033865+0.00010201i,0.00031325-0.00033672i,0.0010122-0.00058224i,0.0008192+5.4513e-05i,-6.2014e-06+0.00067639i,-0.00065035+0.00028927i,-0.0013207-0.00045443i,-6.478e-05-0.00042302i,0.00072648+0.000126i,0.00029343+0.00039928i,0.00030645+0.00057692i
0.00070523+0.001477i,0.0016104+0.0011807i,0.0019063+0.00087461i,0.0010736+0.00071289i,-1.7222e-05+0.00046932i,3.4837e-05+8.4842e-06i,0.0013955-0.00040202i,0.0016151-0.00058506i,0.00094804-0.00051902i,0.0012638-0.0006169i,0.0021665-0.00078217i,0.0018972-0.00070527i,0.00010685-0.00034252i,-0.0010484-0.00033692i,-0.00051899+8.9983e-06i,0.00067998+0.00081563i,0.00040168+0.00051818i,-0.00073595-4.9867e-05i,-0.0007406-0.00069908i,0.00051337-0.00084256i,0.0010815-0.00040017i,0.00068142-0.00020112i,0.00039475-0.00031217i
-0.0016403+0.00084977i,-0.00079491+0.0010096i,-0.00033106+0.00027813i,-0.00020602-0.00097761i,0.00023018-0.00065106i,0.00052224+0.0001182i,0.00050641-0.0004156i,0.00047447-0.00083171i,0.00077535-0.00088549i,0.0007563-0.00060719i,0.00029348-0.00077794i,0.00038628-0.0015008i,0.00039104-0.0012872i,0.00013499-9.3584e-05i,5.3678e-07+8.2329e-05i,-0.00057615-0.0001272i,-0.0013672+0.00034537i,-0.0010221+0.00016973i,-0.00043121-0.00040587i,-0.0006646-0.00010979i,-0.00018906+0.0005631i,0.00032271+6.2888e-05i,0.00038743-0.0002716i
0.00084747-0.00037983i,0.00059041-0.00075695i,0.00054878-0.00035328i,0.00038222-0.00027322i,8.3691e-05-0.00046286i,-0.00030769-0.00010733i,-0.00034042-0.00058302i,0.00073679-0.00099115i,0.0018196-0.00084662i,0.0015463-0.0011155i,0.0009996-0.0013668i,0.00025131-0.00064413i,-0.00035586+0.0003436i,-0.0004641+0.00045726i,-0.00043134-0.00015107i,-0.0005284-0.00020491i,-0.00054692+6.2335e-05i,-0.00063201-9.607e-05i,-0.0007012-0.00015135i,-0.0004754-6.1161e-06i,-9.6127e-05-0.00043788i,4.222e-06-0.00010056i,0.00027556+0.00063255i
0.00083983-0.00053248i,0.0028637-0.0016294i,0.0026312-0.0018542i,0.0015516-0.0011908i,0.0016252+0.00026063i,0.0015519+0.00032479i,0.00079206-0.00017745i,0.00059383-0.00044712i,0.00047189-0.00074084i,0.00044863-0.0010746i,0.0004031-0.0011401i,0.00014654-0.00051118i,-0.00053306-0.00029504i,-0.00023391-0.00037698i,0.00021423-6.0145e-05i,0.00029022-8.2966e-05i,9.3721e-05-0.00074332i,-1.4526e-05-0.00072819i,1.3381e-05-0.00033983i,-0.00047751-0.00016596i,-0.00070187+0.00015615i,-3.1691e-06+0.00082598i,-0.00017891+0.0012442i
0.0024844+0.0026109i,0.0017759+0.0027298i,0.0016073+0.00079353i,0.0009296-0.00092892i,-0.00054008-0.00059321i,-0.00084096-0.00030969i,-0.0001063-0.00076387i,0.0011728-0.0011648i,0.0016149-0.00057123i,0.0011726-0.00071316i,0.00065755-0.00077492i,0.00017122+0.00012595i,0.000665+0.00022682i,0.00082617+0.00013182i,0.00010277+0.00014323i,-0.00082936-3.6764e-05i,-0.00095237+0.00073297i,-0.0003612+0.0013956i,0.00014259+0.00022112i,3.4202e-05-0.00074657i,0.00043302-0.00036511i,0.00065249-7.5705e-05i,0.00022414-0.00084066i
-0.0011666-0.00082385i,-0.0010904-0.001225i,-5.2886e-05-0.00074609i,-0.00037122-0.001106i,-0.00086643-0.00067019i,-0.00031493+0.00089333i,0.00047264+0.0010374i,0.0009381-0.00019373i,0.00083555-0.0015808i,0.00071891-0.0014997i,0.00042649-0.00044057i,0.00059732+0.0001773i,0.00085578+0.00037489i,0.00040909+0.00019964i,0.00067671-0.00022914i,0.00052076+3.3454e-05i,0.00064767+0.00038351i,0.00085515+0.00020171i,-0.00036243+7.9036e-05i,-0.00083025+0.00038925i,-0.00055116+0.00039484i,-0.00056677-0.00012684i,0.00012548+4.1182e-06i
0.0015607-0.00024634i,0.0025741-0.0019127i,0.0018675-0.0022185i,0.00014968-0.0017857i,-0.00056547-0.0011335i,-0.00072023-0.00023506i,-0.00013228+0.00019725i,0.0002107-0.00014907i,0.00045773-0.00086005i,0.00087373-0.0015135i,0.00055004-0.0010237i,0.00033979-0.00012913i,0.00067379+0.00015434i,0.00067799+0.000737i,0.00036118+0.00091138i,0.0004823-0.00018749i,0.00033467-0.0012513i,-0.00029554-0.0014318i,-0.00035934-0.0007194i,-0.000382-8.1818e-05i,-0.00028452+5.3976e-05i,-0.00017765-0.00026864i,3.0873e-05+6.5077e-05i
-0.0001478-0.00080719i,-0.0011062-0.00095243i,-0.0016627-0.00051169i,-0.00049804+0.00056779i,0.00027466+0.00092523i,0.0010896+0.00071906i,0.0011195+0.00010288i,0.00016726-0.00047718i,-0.00049417-0.00081171i,0.00068417-0.0014799i,0.0014052-0.0012407i,0.00076564-0.00041832i,0.00083546-0.00034958i,0.00046604-0.00054291i,-0.0003797-0.00035168i,-0.00034316-2.4112e-05i,0.00011258-6.4342e-05i,5.5541e-05+9.9336e-05i,-0.00047917+0.00050459i,-0.00074084+0.00097181i,-0.00035846+0.00094209i,-6.512e-05+0.00048299i,1.0556e-05+0.00045177i
-0.0028234+0.00014466i,-0.0041313+0.0016679i,-0.0029261+0.0020825i,-0.0017978+0.001574i,-0.0014174+0.00090575i,-0.0002551+0.00040982i,0.00064079-0.00010041i,0.00052627-0.00074111i,0.00030657-0.0006026i,0.00015795-0.00033928i,0.00015538-0.00050981i,0.00059934-0.00088396i,0.00054932-0.00060757i,-0.00013121-0.00021144i,-0.00041453-0.00053256i,-0.00077778-0.00079922i,-0.00039835-0.00076617i,8.5771e-05-0.00041552i,-0.00016745-3.5019e-05i,-0.00023298-0.00023819i,-0.00013768-0.00064926i,0.00036167+3.0707e-05i,0.00060437+0.00031709i
