-0.002162-0.00072607i,-0.002472-0.00082282i,-0.0033145-0.00098296i,-0.0030124-0.00091705i,-0.0023239+0.00027045i,-0.0011506+0.0016748i,0.0004492+0.0016976i,0.0011786+0.0015667i,0.0014785+0.001201i,0.001527+0.00010428i,0.00099393-3.7353e-05i,0.00035741+0.00029577i,0.00018558+0.00018841i,8.5091e-05+1.7897e-05i,-0.00070871+0.00037214i,-0.0005523-0.00015035i,0.00082401-0.000593i,0.001476-0.0002235i,0.0010275+0.00064812i,-0.00043686+0.0004815i,-0.00072319+2.2699e-05i,-0.00051699+9.8946e-05i,-0.00087517-2.4148e-05i
0.00034412+0.00081082i,0.00049289+0.0020372i,0.001073+0.0025212i,0.0013045+0.0031295i,0.00095954+0.0034409i,0.00070925+0.0028213i,0.0011026+0.0016152i,0.001024+0.0002854i,0.00030632-6.3268e-05i,0.00091465+3.4823e-05i,0.00082301-0.000246i,-0.00012802-0.00032923i,0.00017516+2.1953e-06i,0.00067177+0.00014572i,0.0010044+0.00029167i,0.00047495+0.0004733i,-9.0493e-05+0.0009476i,0.00017403+0.0011759i,0.00089701+5.3486e-05i,0.00093259-0.00060868i,0.00049813-0.00025508i,8.4166e-05-0.00028102i,-0.00068643-0.00071537i
-0.00010521-0.0018702i,0.00070153-0.00092571i,0.0019585-0.0011725i,0.0019607-0.00083579i,0.0016112+0.00016429i,0.0019173+0.0013433i,0.0020868+0.0016546i,0.0016772+0.0002321i,0.00071254+8.0497e-05i,-3.7045e-05+0.00032933i,7.7278e-05+0.00020154i,-0.00019525+0.00028047i,8.8023e-05-9.8972e-05i,0.00055281+0.00044534i,0.00057748+0.0007254i,0.00027982+0.00034779i,0.00018123+0.00047652i,0.00081652+0.00030304i,0.00042269+0.00030343i,0.00025033+0.00051438i,0.00039903+0.0015809i,-1.1793e-06+0.0014501i,-0.00064206+0.0008443i
0.00085278-0.0020137i,0.00042829-0.0012694i,-0.00016172-0.0015481i,0.00023001-0.0011332i,0.00097215+0.00050202i,0.00052753+0.00065801i,0.00047343+0.0004502i,0.00016503+0.00020092i,-0.00036782-0.00027583i,0.0001728-0.001084i,0.0003529-0.0012133i,-0.0004074-0.0010641i,-0.0015649-0.0009247i,-0.0012936+0.00020246i,-0.00011195+0.0007348i,0.00081276+0.00021229i,0.0011159+0.00016769i,0.0008835+8.6113e-05i,0.0011199-0.00026183i,0.00089478-0.000187i,0.00028715+0.00034113i,-0.00058635+9.1099e-05i,-0.00064697-0.00028887i
0.001333+0.0022973i,0.00014573+0.0018996i,-5.6282e-05+0.00010695i,-9.0944e-05-0.00056292i,-0.00012145-0.00057953i,-0.00053255-0.00064854i,-0.00057329-0.00031837i,-0.00082827+0.00031208i,-0.00055602-2.625e-05i,0.00086556-0.00054529i,0.00052681-0.00050221i,-0.00047076-0.00097582i,-0.00093796-0.00068444i,-0.00064809-0.00058228i,0.00010082-0.00039028i,0.0003047+4.4783e-05i,0.00052764+0.000138i,0.00024431+0.0002736i,0.00045821+0.00030153i,0.00094461+0.00048237i,0.00054457+7.6867e-05i,-0.0001162+0.00036401i,-0.00015797+0.00063977i
3.4465e-06+0.0004598i,-0.0010416+0.00080538i,-0.00015501+0.00072477i,0.00080585-0.00070176i,0.00014663-0.00086457i,-6.0099e-05-0.00012817i,7.4643e-05+0.00056817i,0.00028647+0.00091099i,0.0004446+0.00062451i,-0.00013508-0.00013461i,-0.00034326-5.4063e-05i,-0.00061629+0.00051726i,-0.0013725+0.00051207i,-0.0012892+0.0007213i,0.00015753+0.0010136i,0.0013262+0.00053035i,0.00079605+0.00024095i,-0.00042865+0.00038085i,-0.00082089+0.00024269i,-0.00057238-0.00031448i,-0.00015449-0.00061127i,0.00011329-0.00028282i,0.00040002-0.00045396i
0.00093177-0.00070533i,0.0010527-0.0013103i,0.00020546-0.0019581i,-0.00063033-0.0014965i,-0.00018601-0.0010445i,0.00035781+0.00016673i,0.00054427+0.00060162i,0.00033999-9.3033e-05i,-6.3782e-05-7.1554e-05i,-0.00023125+0.00078345i,3.8029e-05+0.00076597i,0.0003938-1.2009e-05i,0.00083293-0.00017176i,0.00088178-0.00019188i,0.00025439-0.00018747i,0.00050222+0.00016502i,0.0013592+0.00010239i,0.00045656-9.9312e-05i,-0.00033527-0.00033288i,-0.00094029-0.00013638i,-0.00085344-0.00011055i,1.0101e-05+7.0665e-05i,0.00022398+0.00074927i
-0.0010742-0.00075448i,-0.0010664-0.00049311i,-0.00093334+0.00066643i,-0.00069967+0.0017504i,0.00020393+0.0019655i,0.0020455+0.0019683i,0.0026074+0.00096475i,0.0012894+0.00064504i,0.00063351+0.00075692i,0.00054359-0.00070978i,0.00073298-0.0016609i,0.00061773-0.00026318i,4.5815e-05+0.00010128i,0.00023772-0.00013786i,0.0004312+0.00049812i,0.00051037+0.0004541i,0.00099424+2.9863e-05i,0.00080286+6.9686e-05i,0.00014484+5.5202e-05i,0.00032968-3.5099e-05i,0.00019102+3.7078e-05i,-0.00014711-0.00027739i,0.00018682+0.00021706i
-0.0019668+0.0007811i,-0.0021188+0.0013498i,-0.001626+0.0019047i,-0.00078398+0.0018256i,-0.00013598+0.0023901i,0.00054733+0.0018873i,0.00074628+0.0010635i,0.0007957+0.00082159i,0.0011987+0.00039824i,0.00090867-0.00013254i,0.00040416-0.00042268i,0.00043725-0.00020409i,9.3639e-05-0.00013209i,-0.0004193-0.00052929i,-0.00016105-0.00056181i,0.00045127-0.00015986i,0.00075997-0.00039702i,0.00082525-0.00054721i,0.00048894-0.00025836i,-0.00045387+0.00026327i,-0.0002157+0.00077812i,0.00051714+0.00068055i,0.00015328+0.00056163i
0.001156-0.00099012i,0.00077733+4.4047e-05i,0.00098665-9.4048e-05i,0.00077982-0.0014085i,0.00085037-0.0018071i,0.0013038-5.2716e-06i,0.00098997+0.00045623i,-0.00035234-0.00072174i,-0.00081446-0.0012469i,-0.00020413-0.00049415i,-0.00015784-0.00030789i,0.00017648-0.00040534i,0.0008672-0.00038164i,0.00060687-0.00052562i,0.00035797-0.001165i,0.00012582-0.0012313i,-3.886e-05-0.00033607i,0.00024069+0.00012888i,0.00047972-6.3548e-05i,-9.9157e-05-0.00045995i,-0.00040098-0.00037703i,-0.00059604-0.00025335i,-0.00085645-0.00028704i
-0.0010574-0.00097235i,-0.00054378-0.00043127i,0.00048006+0.00020065i,0.00054663-0.00044399i,0.00032797-0.0010666i,0.00039654+6.926e-05i,0.00047292+0.00066503i,0.00029727+0.0001833i,0.00046633-0.00047537i,0.00036669-0.0011514i,-0.00013812-0.00063607i,3.2316e-05-0.00077689i,0.00018047-0.00075662i,-0.00046117+7.1089e-05i,-0.0010981+0.0003429i,-0.000884+0.00062346i,-0.00017305+0.00054339i,-0.00024959-7.1317e-05i,-0.00029923-7.2147e-05i,4.0125e-05+0.00023841i,0.00035366+0.0006216i,0.00045912+0.00044357i,0.0009944+0.00012949i
0.00030534+0.0017379i,0.00011367+0.0026531i,-8.8587e-05+0.0023865i,0.00090633+0.0011219i,0.00090397+0.00037158i,0.00020991-7.8305e-05i,-1.1582e-05+0.00019796i,0.00036261+0.00042746i,0.00063011+0.00018603i,0.00060891+0.00020478i,0.00055293-2.7792e-05i,0.00048623-8.7725e-05i,-7.3722e-05+0.00022325i,-0.00035983-5.7444e-05i,-0.00015159-0.00060192i,0.00024919-0.00057417i,0.00038416-0.0004539i,0.00045224+0.0004847i,0.00043519+0.00071734i,0.00053152+0.00012766i,0.00026441+0.00046712i,-0.00054095+0.00055325i,-0.00070826+0.00038643i
0.00058016-0.0028687i,0.00012217-0.00066981i,-0.0017324-0.00045585i,-0.0016849-0.00017881i,-0.0009874+0.0011988i,-0.00036594+0.0018238i,0.00037639+0.0011157i,0.0011135+0.00042869i,0.0010382-0.0007795i,0.00042368-0.001668i,-0.00038943-0.001098i,-0.00071216-0.00060635i,0.00019572-0.00014769i,0.0011741-0.00086066i,0.0012123-0.001206i,0.00054913-8.6856e-05i,0.00055906-0.00021894i,0.00027041-0.0011093i,-0.00031074-0.00058182i,-0.00071995+0.00020062i,4.7663e-05+0.00022304i,0.00055274+3.6284e-05i,0.00035484-0.00013944i
-0.00068163-0.00066432i,-7.3305e-05-0.00043147i,-0.00038467-0.0003894i,-0.00089695+0.00033534i,-0.00098878+0.0011653i,-0.0005221+0.0015605i,0.00060036+0.0012259i,0.0013889+0.00056903i,0.00053471-0.00031916i,-0.00012999-0.00095004i,-0.00072878-0.00093072i,-0.00047802-0.0013067i,0.00042857-0.0007833i,0.00044814+7.5782e-05i,0.00067954-2.3085e-05i,0.00087917-0.00029572i,0.0010256-7.6965e-06i,0.00092058+0.00034376i,0.000689-0.00021763i,1.3744e-05-0.00050774i,-0.00034036+0.0002426i,0.00014345+0.0010945i,-0.00026427+0.00091726i
-0.0012462+8.9119e-05i,-0.00017229+0.00015528i,0.00020248+0.0015599i,0.00041206+0.0024452i,0.0014468+0.0022134i,0.0023419+0.0021876i,0.0017176+0.0025219i,0.00055716+0.00099447i,-3.8108e-05-0.00067024i,-0.00042267-0.00020315i,-0.0010922+0.00013268i,-0.0013654-0.00060964i,-0.0008342-0.0012828i,-0.00036863-0.00050646i,-0.00043381-0.00047664i,0.00034593-0.0010303i,0.00072911-0.00041148i,0.00037927-0.00025778i,0.00068249-0.00045025i,0.00030584-0.00038371i,-0.00044767+0.00028825i,-0.00076389+0.00070993i,-0.0001327+0.00027313i
-0.00013154-0.0016555i,-3.3758e-05-0.0011267i,-0.00032625-0.0013855i,-0.00083193-0.0010718i,-0.00067532-0.0002732i,0.00047332+0.00083614i,0.001418+0.00051825i,0.001216-0.00054737i,0.00063122-0.0015569i,0.00030713-0.0014378i,-0.00020245-0.00039626i,-0.0003132+0.00034768i,-0.00020681+8.1928e-05i,-0.0008915-0.00022963i,-0.00072468-0.0001754i,0.00048248+0.00015472i,0.00036201-0.00010662i,-0.00029506-0.00013874i,-0.0010342-0.00034548i,-0.0010873-0.00091388i,-0.00023788-0.00053868i,0.00023571-3.6904e-05i,0.00037848+0.00033611i
-0.00078317-3.4466e-06i,-0.00043829-0.00032698i,0.0012453-0.00063141i,0.001365+0.00035559i,0.0014173+0.0005731i,0.0022527+0.00096388i,0.0020285+0.00092427i,0.0012136-0.00027618i,0.00030099-0.00014992i,-0.00010191+0.00043338i,-0.00028719-0.00036715i,-0.00015137-0.00042923i,3.7407e-05+6.5294e-06i,-0.00017626-0.00032545i,-0.00030635+0.00014401i,-0.00014094+6.7775e-05i,-0.00022104-0.00065094i,-0.00075047-0.0004176i,-0.00038989-0.00016382i,0.00054544-9.2285e-05i,0.0009254+0.00016893i,0.00056293+0.00033156i,2.7894e-05+0.00040756i
0.00084079-0.00082674i,-0.00022723-0.00051597i,5.2125e-05-0.00065957i,0.00083734-0.00091965i,0.00077789-0.00050312i,0.00015258-0.00010211i,0.00061854+7.1664e-05i,0.0011195+0.00036945i,0.00067489+0.00049639i,-0.00021815+4.2082e-05i,-0.00087259-0.00089219i,-0.0013444-0.0013662i,-0.0011372-0.0012314i,0.00013705-0.00084979i,0.00054683+5.6037e-06i,0.0006493+0.00078842i,0.00089399+0.0013038i,0.00049389+0.0010823i,6.8175e-05+0.00056094i,-9.2575e-05+0.0001202i,0.00048211-0.0001241i,0.0010512+0.00020653i,8.574e-05+0.00065547i
-0.00065385-0.00028754i,-0.0017577+5.1241e-05i,-0.0026183+0.00021538i,-0.0017864+0.00066514i,-0.00074346+0.00087373i,1.2891e-06+0.00091623i,0.00063111+0.00045747i,0.00086927-0.00028869i,0.0010461+1.6935e-05i,0.00044935+0.00030745i,-0.00025345-0.00022362i,-0.00014108-0.00046206i,-4.6069e-05-2.7088e-05i,0.00013589+0.00022662i,0.00052464-0.00012825i,0.00081115-0.00059505i,0.00096833-0.00029582i,0.0013465+0.00023203i,0.00075146+0.00043217i,-0.00048138+0.00052007i,-5.4489e-05+0.0001687i,0.00047905-0.00028197i,-0.00015331+0.00017485i
2.7995e-05-9.7554e-05i,0.00088782+3.2586e-05i,0.0016467+0.00046456i,0.00090097-0.00042569i,-0.00022679-0.00045133i,-0.00078161+0.00041178i,-0.00013335+0.00045301i,0.00089377+5.8911e-05i,0.00078472-0.00086868i,0.0008219-0.001189i,0.00085409-0.00035544i,-0.00017016+0.00057362i,-0.00053794+0.0007684i,-0.00034376-0.00045827i,-0.00026965-0.001324i,-0.00015271-0.0002079i,0.00047662+0.00062501i,0.00074416+0.00045293i,0.00063181+0.00031156i,0.0004619+0.00021529i,8.6607e-05+0.00010343i,0.00025723+4.2471e-05i,0.00028723+0.00010747i
-0.0011704+0.00052213i,-0.0014007-0.00013799i,-0.00095507+2.3316e-05i,-0.0003679+0.00036279i,2.2863e-05-7.0862e-05i,0.00090008+0.00081204i,0.0014135+0.0013045i,0.00050534+0.00031233i,0.0005662-0.00079014i,0.0012159-0.0008138i,0.0013479+0.00034514i,0.0011186+0.0012032i,0.00079242+0.0011409i,0.00071759+0.0010553i,0.00054569+0.00089944i,4.381e-05+0.0006993i,-0.00010576+0.00014891i,0.00015773-0.00038638i,0.00030582-0.00028621i,7.4898e-05-3.0094e-05i,-0.0003977+0.00019005i,-0.00083199+0.00026765i,-0.00050398+9.6392e-05i
-0.0010251+0.00045095i,-0.0017365+0.0008508i,-0.0015077+0.0022165i,-0.00080197+0.0032759i,0.00030216+0.0020583i,0.0014838+0.00083889i,0.001315+0.00064682i,0.0010137+0.0006119i,0.00075184+0.00019863i,0.0012483+5.9269e-05i,0.0016622+0.00040174i,0.00078264+0.00010863i,0.0002711-0.00051876i,0.00062242-0.00031262i,0.0010918-0.00026692i,0.00052128-0.00035412i,0.00028489-0.00022753i,0.00064672-0.00064738i,0.00055386-0.00042816i,5.0197e-05+0.00047579i,-0.00022297+0.001141i,0.00034215+0.0010137i,0.00051461-0.00018407i
0.00015699-0.0001837i,0.00012923+0.00071808i,0.001068+0.0010134i,0.0018432+4.95e-05i,0.0017107+0.00066853i,0.0012978+0.00058272i,0.00057474+8.123e-05i,-0.0003148+0.0001628i,-0.00080397-0.00026687i,-0.00052296-0.00024221i,-0.00022187-0.00016484i,-5.2411e-05-0.0008325i,0.00066666-0.00058603i,0.0018765+0.00045832i,0.0017524+0.00014598i,0.0012786-0.00055766i,0.00090397-0.00054789i,-0.0003799-8.2182e-05i,-0.00089562+0.00090845i,-0.00039157+0.0015003i,-0.00020485+0.0012222i,-6.4993e-05+0.00038949i,0.00042552-5.5008e-05i
-0.00025535-0.00072711i,-0.00073449+0.00021416i,0.0002777+0.0010937i,0.00078962+0.0014804i,0.00054542+0.00087276i,0.00087799+0.00025913i,0.0016933+0.0007798i,0.001105+0.00085164i,0.00025062+0.00014461i,-0.00010059-0.00044773i,-0.00030691-0.00099315i,-0.00022101-0.0012573i,-2.3688e-06-0.0009583i,0.00022334-7.298e-05i,0.00033242-9.355e-05i,3.3427e-06-0.00011074i,0.00029922+5.6266e-05i,0.00029648-0.00017739i,-0.00053188-0.00013063i,-0.000855+0.00042404i,-0.0010544+0.00038924i,-0.001012-9.8016e-05i,-0.00077995-0.00041537i
-0.0017115+0.0017308i,-0.0013368+0.0025651i,0.0007186+0.0033326i,0.0015604+0.0015804i,0.0011831+0.00044285i,0.00036588+0.0006189i,-8.2291e-05+0.001057i,0.00050964+0.0014126i,0.0010785+0.00089954i,0.00074723+4.5733e-05i,-0.0003059-0.00020508i,-0.00026546-0.00025791i,5.6824e-05-0.0002565i,-2.8691e-05-0.00049227i,0.00013689+1.5263e-05i,0.00041125+0.00031311i,0.0012349-0.00030935i,0.0011897-0.00020001i,0.00067748+0.0003636i,0.00054409+1.2794e-05i,0.00015031-0.00067956i,-0.00029925-0.00031015i,9.8438e-05+0.00040339i
0.00020756-0.0010882i,-0.00036236-0.0013211i,-0.0021124-0.0012303i,-0.0022047-0.0011095i,-0.0013351-0.00081171i,-0.00066811+0.0003664i,0.00099802+0.00072302i,0.0020947+0.00084364i,0.00119+0.00045546i,9.0499e-05+6.2398e-05i,-0.00074649-0.00018584i,-0.001289-5.9563e-05i,-0.0014256+0.0001459i,-0.0010449+9.859e-05i,-0.00047895-0.00054865i,0.00031118-0.0012544i,0.00071218-0.0009805i,0.00018548-0.00053281i,-5.9285e-05-0.00059844i,0.00018246-0.00046269i,-0.00025019+0.00016701i,-0.00062447+0.00027984i,-0.00057147+0.00049394i
-0.0014879+0.0012863i,-0.00073233+0.0024437i,-0.00038147+0.0017063i,0.00025031+0.00066277i,0.00061547+0.0011151i,0.00050249+0.0015587i,0.0001401+0.0010164i,9.144e-05-0.00037007i,-7.1607e-05-0.0011439i,9.6008e-05-0.00022413i,0.00016112+0.00083116i,0.00028576+0.0012495i,0.00015219+0.00090775i,-6.114e-05+0.00015586i,8.8602e-05+0.00018939i,-0.00011855+0.00012203i,-0.00024003-6.8455e-07i,-9.1032e-06-0.00035906i,0.0004958-2.0435e-05i,0.00073311+0.00050718i,0.00025574+1.7628e-05i,-0.00043573-0.00020557i,-0.00039407+5.0737e-05i
0.00044653-0.00079002i,-2.8027e-05+0.00044931i,0.00062227+5.4128e-05i,0.0013099+0.00045852i,0.00087329+0.00203i,0.0016033+0.0020299i,0.001676+0.0011131i,0.0004469-3.9894e-05i,0.00019734-0.00039127i,0.00031072-9.1128e-05i,0.0001721-0.00042175i,0.00084851-7.4546e-05i,0.0010777+0.0010561i,0.00026613+0.0014669i,0.00021704+0.0015348i,0.00040404+0.00092566i,0.00076822+7.2219e-05i,0.0011779+0.00016997i,0.0010029+0.00041028i,0.00031978+0.00040756i,7.8599e-05+0.00045251i,-7.3322e-05+0.00051258i,-0.0002615+0.0010324i
0.0014078+0.0018515i,0.0012183+0.0019453i,0.0020793+0.0015714i,0.0022673+0.00042155i,0.0015165+0.00060373i,0.00088161+0.0021325i,0.00066791+0.0018023i,0.00063389+0.0011494i,0.00052199+0.00066316i,0.00095099-0.00058421i,0.00075394-0.0014965i,0.00013344-0.0014934i,-0.00026097-0.0010639i,-0.00061155-0.00051741i,-0.00010324-0.00042776i,0.00010926-0.00056955i,-0.00010271-0.0006688i,-0.00011399-0.00023232i,-0.00027898+2.2127e-06i,-0.00044675-0.0002832i,-0.00021647-0.00052586i,-0.00018694-0.00053853i,-0.00050037-0.0006679i
-0.00029316+0.00069268i,8.0675e-05+0.00070144i,0.00071994+0.0019512i,0.0010414+0.0021499i,0.0013004+0.00077525i,0.0013619+0.00037397i,0.0014203+0.00012877i,0.0010041+0.00036385i,0.0006725+0.00045357i,0.0004606+5.1739e-05i,-0.0005943-0.00077204i,-0.0011054-0.0008548i,-0.00031366-6.9141e-05i,0.00077724+0.00015154i,0.0011992-0.00034875i,0.0008061-0.00076945i,0.00057315-0.00068369i,-0.0001645-0.0011622i,-0.00072165-0.00065158i,-0.00062485+0.000661i,-0.00029657+0.00062341i,-5.8399e-05+0.00011712i,1.5434e-05+0.00054866i
0.00057336-0.0019452i,0.0017693-0.0010236i,0.0021038-0.00053625i,0.0013343-0.0012618i,0.0009882-0.00088689i,0.0014392+0.00088983i,0.0011911+0.0017777i,0.00020927+0.00086923i,-1.1066e-05+0.00044531i,-0.00011759+0.00019512i,-0.00063773+0.00015462i,-0.0010077+0.00012608i,-0.00060555-0.00021092i,-0.00030658-0.001142i,-7.6488e-05-0.00092301i,0.00074397+0.00059532i,0.0012026+0.0013891i,0.0011013+0.001522i,0.00094292+0.00036311i,0.00083128-0.00062954i,0.00069074-0.00046106i,0.00062286-0.00027672i,1.6673e-06-0.00015519i
-0.00015284+0.00086378i,-0.00040296+0.0010773i,-0.0003381+0.00096999i,5.0842e-05-0.00013082i,-2.8148e-05+0.00023466i,0.00055779+0.0014941i,0.0010474+0.0016174i,0.0015701+0.00076627i,0.001096+6.2894e-05i,-6.2626e-06-0.00044733i,0.00011397-0.00063878i,0.0003238+0.00025659i,-0.00046069+0.00067428i,-0.00078311+0.00015848i,0.00012199+6.7142e-06i,0.00076357+0.00022447i,0.00086263-0.00010861i,0.00064475-0.00041942i,0.00049541+0.0001415i,0.00054556+0.00091425i,0.00022922+0.00090802i,-0.00065128+0.00055843i,-0.00018607-1.843e-05i
-0.0021314-0.0021147i,-0.0026337-0.0004025i,-0.0028951-9.7573e-05i,-0.0022519+0.00050899i,-0.0015608+0.0015996i,9.5365e-05+0.0017738i,0.0010579+0.00092448i,0.0010928-0.00020783i,0.0010617-0.0001274i,0.000852+6.1821e-05i,3.279e-05+0.0005364i,-0.00070605+0.00064631i,-0.00053088+0.00078453i,-0.00014502+0.00071127i,-6.4411e-05-0.00017883i,0.0003235-0.00063584i,0.00094676-0.00041356i,0.0011041-0.00030363i,0.00099643+0.00012268i,0.0001535+0.00081382i,-0.00042043+0.00057289i,-8.3851e-05+4.107e-05i,-0.00015625-0.00010061i
