0.00095525+0.00088787i,0.0024978+0.00021212i,0.0036573-0.0020432i,0.004173-0.0040865i,0.002247-0.0038959i,-0.00017967-0.00048419i,0.00073274+0.0023816i,0.0027992+0.0021949i,0.0026952+0.00084102i,0.0016637-0.00029765i,0.0012306-0.00080999i,0.00057127-0.0012741i,-0.00054418-0.0011488i,-0.00026381-0.00047415i,-0.00014589-0.00021782i,-0.00052212-0.00014226i,-0.00012809+9.6327e-05i,0.00058095+3.3909e-05i,0.00071025-0.0004992i,1.5797e-05-0.00062942i,-0.00057014-0.00055526i,-0.00063588-0.00013054i,-0.00082272-0.00019796i
-0.00066653-0.00071083i,0.00045158-3.6067e-05i,0.0018348+0.00073548i,0.0033917-0.00054734i,0.0024673-0.0015441i,0.00072357-0.00055247i,0.0014366+0.00037823i,0.002216-0.00021954i,0.0015898-0.0011476i,0.0012825-0.00046823i,0.0011652+0.00040422i,-6.2085e-05-0.00036021i,-0.00070123-0.0010977i,-0.0002336-0.00063557i,-0.00017842+9.3884e-05i,-6.6636e-05-8.5427e-05i,0.00083503-0.0002919i,0.001214-0.00036709i,0.00072829-0.00024903i,0.0004312-0.0003013i,0.00032754-0.00099818i,0.00017652-0.0012936i,0.00013987-0.00042363i
0.00050146-9.5454e-05i,0.00086289-0.00049636i,0.0013652-0.0020581i,0.002367-0.0038956i,0.0024227-0.0039911i,0.0011764-0.0022527i,0.00089219+0.00033168i,0.0021024+0.0013326i,0.0018419+0.00021328i,0.00056672-0.00060727i,8.0477e-05-0.00020391i,0.00016325+0.00039196i,-0.00016287+0.00056323i,-0.00033722-0.0001128i,-0.00011234+0.00021762i,-0.00033718+0.0006955i,-0.00025707-2.2268e-05i,0.00027793-0.00066291i,0.0002228-0.00063523i,0.00041947-7.7283e-05i,8.5891e-05-2.1087e-05i,-5.2125e-06-0.00038156i,0.00013842-0.0010178i
-0.00033286+0.00033779i,0.0013571-0.0005142i,0.0040194-0.0024527i,0.0046966-0.0035832i,0.0027573-0.0035069i,0.0012222-0.0026921i,0.0016018-0.00047772i,0.0022271+0.00034131i,0.0015185-0.00067303i,0.00059784+0.00012699i,0.00034086+0.00084796i,0.0003299+0.00020549i,0.00044247+8.9434e-05i,0.00071653+0.00027857i,0.00050044-0.00016812i,0.00058829-0.00036445i,0.00048989-0.00067424i,0.00025018-0.0010941i,0.00057949-0.00077639i,0.00084134-0.00062632i,0.0004676-0.00094872i,0.000293-0.00074436i,0.00028517-0.000609i
0.0014391+0.0010837i,0.0022845+0.00044769i,0.0046566-0.00079285i,0.0054743-0.0031207i,0.0034167-0.0038599i,-0.00050329-0.0016629i,-0.0010595+0.00052649i,0.00093901+0.00072395i,0.0015677-0.00033612i,0.0010504-0.00096149i,0.00056018-0.00039411i,-0.00024833-5.8691e-05i,-0.00073984-0.00078361i,-0.00011592-0.0013989i,0.00056616-0.0010179i,0.00050644-0.00079947i,0.00089579-0.00061343i,0.00063332+7.6152e-05i,-0.00043788+5.5275e-06i,-0.0001341-0.00048287i,0.00043296+0.00010365i,0.00074699+0.00052223i,0.0010483-6.2922e-05i
0.00081179-0.0006267i,0.0016934+0.00025734i,0.0032235+0.00031527i,0.0046158-0.00094967i,0.0038261-0.0024155i,0.0021418-0.0016548i,0.001944-0.00025522i,0.0018781+4.7565e-05i,0.00038242-0.00029187i,-0.0010399+0.00025546i,-0.00029605+0.00036163i,0.00032016-0.00017059i,8.6661e-05-0.00069292i,-0.00026465-0.001409i,0.0002699-0.00084771i,0.0010983-1.9388e-05i,0.00082887-0.00038461i,0.00018683-4.7071e-05i,0.00040142-6.5243e-05i,0.00052951-0.00096798i,-0.00012367-0.00095553i,-0.00019194-0.0006242i,-0.00038498-0.00015996i
0.00053412+0.0005758i,0.00081128+0.0012616i,0.0012649+0.001227i,0.0028804-0.00073306i,0.0027009-0.0026864i,0.00040333-0.0016574i,0.00045015+0.00039197i,0.0013001+0.0013019i,0.00057636+0.00088343i,-0.00029567+0.00018626i,-9.4114e-05+0.00021682i,-1.3647e-05-0.00017762i,-0.00064911-0.00038829i,5.2178e-05-0.00010623i,0.00064888-0.00018149i,0.00044732-0.00028234i,0.00044478-0.00038361i,-0.00027332-0.00026157i,-0.00063445-0.0002594i,-0.00025884-0.00015214i,-0.00020934+0.00022443i,6.8292e-06-9.9854e-05i,-0.00021306-0.00023138i
0.0016233-0.0011694i,0.001463-0.0018224i,0.0019159-0.0029158i,0.0031281-0.0043585i,0.0029734-0.0053745i,0.0011956-0.0031795i,0.00098319+0.00083651i,0.002078+0.0015595i,0.0017621+0.00033526i,0.00058066+8.6791e-05i,0.00026091+0.00032039i,0.00066206+0.00011518i,0.00089918-0.00027451i,0.00043054+0.00028525i,-0.00026077-0.00043882i,-0.0001019-0.00061833i,-0.00026373-0.00019898i,-0.00017525-0.00050879i,0.00074061+7.8584e-05i,0.00015861+0.00071657i,-0.00042253+0.00030299i,-0.00027003-0.00025348i,-0.00035252-0.00053085i
0.0013126+0.00081142i,0.0023572+3.9406e-05i,0.0050514-0.0013946i,0.0053427-0.0035618i,0.0035083-0.0041527i,0.0013176-0.0020761i,0.00034371+0.00014626i,0.00096334+0.00043203i,0.00064093-6.0112e-05i,-0.00016343-0.0001501i,-0.00020138-5.0715e-05i,-9.9991e-05-0.00016305i,-6.927e-05-0.00019796i,0.00018337+0.00033338i,0.00011799+0.00032493i,-2.3922e-05+4.2466e-05i,0.00057439+0.0001477i,0.0013287-0.00012425i,0.00082828+0.0002745i,-0.00021874+0.00026973i,-0.00045143-8.2723e-05i,-0.00068452-0.00021521i,-0.0005039+8.5675e-05i
0.0008648+0.00036207i,0.0024545+0.0006386i,0.0041321+0.00011852i,0.0048514-0.0015688i,0.0032293-0.0027111i,0.00098396-0.0021262i,0.0012145-0.00057192i,0.0021587-0.00042649i,0.0015863-0.00067304i,3.3896e-05+0.00026123i,-0.0010004+0.00015373i,-0.00082663-0.00042604i,-0.00042709-0.00061492i,0.000113-0.00081165i,0.0012824-0.00042198i,0.0019233+0.00060094i,0.0011459+0.0007894i,0.00079079+5.8369e-05i,0.00053717-0.00043239i,-0.00034309-0.00016221i,-9.3455e-05-0.00011434i,0.00051068-0.00065099i,-4.9342e-05-0.00085i
0.0016347+0.00085248i,0.00091348+0.00030012i,0.0018672-0.00097918i,0.0041594-0.0031934i,0.0033698-0.0044724i,0.00084071-0.0024958i,0.00099704-0.00026041i,0.0016062-0.00049938i,0.0012473-0.00085487i,0.00048525+0.00035094i,-0.00037416+0.00097092i,-0.00048682-8.1898e-05i,-0.00072812-0.00049497i,-0.00043883+0.00011782i,0.00067417+0.00026754i,0.00057981-0.000221i,-4.0956e-05-6.4135e-05i,0.00013641+2.7959e-05i,0.00061619-0.0007761i,0.00017893-0.00074495i,-0.0006503+0.00025878i,-0.00037679+0.00079953i,3.9919e-05+0.00024407i
5.4047e-06-0.00014624i,0.0010877-9.1621e-05i,0.0028498+0.00060642i,0.0039742-0.0006182i,0.0030651-0.0021089i,0.0012545-0.00093237i,0.00082404+0.00076397i,0.0013519+0.0015413i,0.00091861+0.00070162i,0.00047995-0.00036167i,0.00069533-0.00037468i,0.00095865+9.2959e-05i,7.8074e-05+0.00037116i,-8.9186e-05+0.00022174i,0.00046187+0.00061842i,0.00015526+0.00085356i,0.00023148+0.00051302i,0.00049125-0.00017255i,-0.00010296-0.00049226i,-0.00073477-0.00021885i,-0.00013335-9.448e-05i,0.00053215-0.00056523i,0.0005873-0.00083008i
-0.00082141+9.7188e-05i,0.00051577+0.00065044i,0.0028257-0.00073974i,0.0045358-0.0031054i,0.0031308-0.0042735i,0.0007731-0.0032365i,0.00016152-0.00056045i,0.0013194+0.00048538i,0.0015061+0.00016892i,0.00022247+0.00066457i,-0.0001118+0.00071561i,0.00014488+0.00051147i,0.00012522-0.00032573i,0.00079347-0.0004559i,0.00068358+0.0002812i,0.00028387-0.0001541i,0.00035491-0.00042205i,0.00065235-0.00063194i,0.0011993-0.0013023i,0.00097612-0.0011954i,0.00038043-0.00058858i,0.0003329+9.269e-05i,3.9869e-05+4.7868e-05i
0.00034179-0.00052255i,0.0014058-0.0012432i,0.0022733-0.0020707i,0.0033751-0.0034039i,0.0029916-0.0034611i,0.0012595-0.001631i,0.0011733-0.00031084i,0.001857+0.00026971i,0.0008699+0.00014161i,0.00042261+0.00091786i,0.00048791+0.0013599i,0.00080041+7.9793e-05i,0.00092451-0.0004762i,0.00061288-3.8543e-05i,0.000116+0.00057788i,-0.00012383+0.00069525i,0.00047344+0.00046277i,0.00053673+0.00016449i,-0.00046418-0.00045327i,-0.00027028-0.00066712i,0.00063327-0.00065569i,0.0003651-0.00045701i,2.2648e-05+3.2301e-05i
0.0027231+0.00034591i,0.002691-7.5437e-05i,0.0050901-0.00086013i,0.0060067-0.0031706i,0.0035647-0.0039626i,0.0011922-0.0013304i,0.00097032+0.0012902i,0.0014972+0.0016191i,0.0019691+0.0008078i,0.0012281+9.6219e-06i,-1.1821e-05-0.00040622i,-0.00047609-0.00066656i,-0.00032912-8.1088e-05i,2.8855e-05-1.3348e-05i,0.0010017-0.00017878i,0.0015307+0.00028465i,0.00064299+0.00042884i,0.00013897-0.00027242i,0.00013178-0.00072353i,-0.00032133-0.00019429i,-0.00030629+2.068e-05i,-0.00017374-0.00053574i,-0.0005228-0.00076782i
-0.00061436+0.0020209i,0.0013178+0.0019047i,0.0031496+0.0015412i,0.0047201-0.0013086i,0.0039131-0.003835i,0.0019763-0.0026937i,0.0018346+0.00015006i,0.0018528+0.00076633i,0.0013416-0.00037479i,0.00065306-0.00078565i,0.00038272-0.00034625i,7.9401e-06+6.4373e-05i,-8.1049e-05-0.00019147i,-0.00020719-0.00040033i,-0.00067558-0.0004315i,-0.00057013-7.0576e-06i,-0.00062469+0.00048306i,-0.00047563+0.00013633i,8.2321e-05-6.774e-05i,0.00031152-6.9484e-05i,0.00062441-0.00087171i,0.00031572-0.00098436i,-0.00026192-0.00044628i
0.00014617-2.788e-05i,-0.00048451+0.0001124i,0.0012361-0.0027016i,0.0039692-0.0046306i,0.0034992-0.0042223i,0.00094824-0.0015024i,0.0012571+0.00070517i,0.0022401+0.00098447i,0.0013959+0.00025718i,-0.00015062-5.4039e-06i,-0.00022096+0.00018477i,5.561e-05+0.00024372i,-0.00053192+0.00022613i,-0.00032878+0.00060675i,0.00035541+0.0010518i,0.00076684+0.0017201i,0.00090349+0.00103i,0.00090655+0.00035146i,0.00041299-0.00018877i,0.00010916-0.00060856i,0.00022087-0.00097989i,-2.2291e-05-0.0012838i,2.8732e-05-0.0011937i
-0.00017483+0.00051636i,0.0019772-9.8839e-05i,0.0057874-0.00025685i,0.0075119-0.0017049i,0.0058888-0.0031257i,0.0029562-0.0023507i,0.0018462+0.00050713i,0.0021748+0.001979i,0.0016849+0.0012915i,0.00060406+0.00059995i,0.00018414+0.00031398i,-0.00019488+0.00016016i,-0.00033964+0.00020345i,-0.00068678+0.00014997i,-0.0007659+8.5116e-05i,-0.00039357+0.00064186i,-0.00014243+0.00023921i,0.00043474-0.001078i,0.0005399-0.0021243i,0.00091597-0.0015534i,0.00044663+0.00015918i,7.2983e-05+0.00017716i,0.00060479-0.00040173i
-0.0013993+0.00025677i,0.00072342+0.0010228i,0.0036922+0.000638i,0.0050569-0.00071398i,0.0043382-0.001664i,0.0024037-0.0013862i,0.0015537-0.00048248i,0.0016077+3.0737e-05i,0.00068155+0.00062501i,-0.00077199+0.0010366i,-0.00098183+0.00066149i,1.2183e-05+0.00015739i,0.00062164-0.00057994i,0.00024591-0.0011583i,0.00063328-0.00102i,0.00076999-0.00080242i,0.00041498-0.00038741i,0.00052519-0.0004427i,0.00036997-0.0006256i,0.00024706-0.00061689i,-0.00028552+3.133e-05i,-0.0011979+0.0008988i,-0.0010595+0.00080494i
-0.00019074+0.00083851i,0.00055757+0.0012028i,0.0019872+0.0009356i,0.0037525-0.0013135i,0.003746-0.0031351i,0.0016604-0.0011454i,0.0010801+0.00025124i,0.0017011+0.00021771i,0.00067726+3.0537e-05i,3.7279e-05-0.00060914i,0.00010347-0.00089903i,0.00011685-0.00087922i,0.00011562-0.00070677i,-0.00060535-0.00053598i,-0.00099166-0.00022587i,-0.00041776-0.00026758i,0.00080044-0.00053714i,0.0010165-9.2367e-05i,0.00032375+7.0411e-05i,0.0001079-0.00059062i,0.00030022-0.0015522i,0.0003262-0.0014711i,6.8826e-05-0.00080178i
0.0018113-0.0019984i,0.002058-0.0010877i,0.0030398-0.0011401i,0.0037004-0.0025267i,0.0018824-0.0027174i,-0.00033828-0.0010941i,0.0002002+0.00090142i,0.0012339+0.0010639i,0.0012226+0.0004847i,-0.00022398+0.00046073i,-0.00034736+0.00017345i,0.00099771+0.00023942i,0.00070077+0.00024982i,0.0002208+0.00036128i,-0.00031874+0.0011672i,0.00012788+0.00091352i,0.0010986-0.00040408i,0.00093701-0.00048471i,0.00084901-0.00012154i,0.0010679-0.00012682i,0.00072696-0.00027252i,0.00042161-2.4804e-05i,0.00099042+0.00026546i
-0.00087802+0.0012858i,6.3789e-05+0.00095768i,0.0032086-0.00041339i,0.0054274-0.001102i,0.0042583-0.0027259i,0.0020726-0.0022263i,0.0015214+0.00043102i,0.0020998+0.00046892i,0.0015403-0.00015695i,0.00019789+0.00051593i,0.00017471+0.00065307i,0.0007215-0.00014289i,0.00059885-0.00042193i,0.00055957+0.00013863i,0.00090169+0.00049531i,0.0010558+0.00018324i,0.0014053-0.00029363i,0.001731+0.000672i,0.0014125+0.0011857i,0.00049863+0.00016556i,-7.5648e-05-0.00039457i,0.00032371-0.00070536i,0.00060162-8.4366e-05i
-0.00022073-0.00041494i,0.001085-0.00021375i,0.0026275-0.0013902i,0.0046587-0.0027486i,0.0039615-0.0029146i,0.0013483-0.0016662i,0.00076022-3.5203e-05i,0.0012669+0.00044464i,0.001379+0.00027396i,0.00059788+9.636e-05i,-0.00035971-0.00082856i,-0.00055368-0.00068261i,-0.00036098-0.00022184i,-0.00018077-0.00021417i,-0.0002702+0.00027155i,-0.00027053+0.00058375i,0.0002066+0.00047002i,0.0006491+0.00088958i,0.00031214+0.0011016i,-0.00028303+0.00038248i,-0.00018701-0.00079101i,4.455e-05-0.00093596i,3.5163e-05-0.00070698i
0.001334+1.1223e-05i,0.0020122-0.00015228i,0.0039881-0.00070119i,0.0058729-0.0017551i,0.0047911-0.0030597i,0.0020453-0.0023011i,0.0010921-0.0003956i,0.0017173-9.3023e-05i,0.0010621-0.00037931i,0.00015663+0.00010798i,-1.1035e-05+0.00024785i,-4.6702e-05-9.2661e-05i,4.9056e-05+0.00054199i,3.6502e-05+0.00068886i,-5.996e-05+0.00028103i,0.00080587+0.00075803i,0.0016472+0.00026621i,0.00095731-0.00045209i,-0.00046111-0.00037333i,-0.0010212-0.00073209i,-0.0005632-0.00083778i,-1.9201e-05-0.00056774i,0.00014382+0.00048176i
0.0007435+0.0012133i,0.003015+0.001802i,0.0049876+0.0019495i,0.0050651-0.00054892i,0.0035988-0.003065i,0.0015799-0.002262i,0.00054074-0.00043413i,0.00062981+0.00052832i,0.00054265+0.00062327i,-2.0003e-06+0.00029239i,-0.0002207+0.00052891i,0.00015112+0.00094165i,-0.00027854+0.00042383i,-0.00041255-0.00033248i,-0.00037284+0.00017972i,-0.00061977+0.0013042i,0.0001772+0.00032771i,0.0011261-0.00079774i,0.0018393-0.00049599i,0.0011005-0.00042914i,-0.00022748-0.00041516i,-0.00052094-0.00024063i,-0.00033972-3.5491e-06i
-0.00036177+0.00021483i,-0.0005272+0.0013635i,0.0017239+0.0011888i,0.003554-0.0012452i,0.0026838-0.0033544i,0.0014345-0.001359i,0.001502+0.00055239i,0.0019576+0.0001848i,0.0011049-0.0009252i,0.00014028-0.0013554i,0.00052413-0.0003395i,-0.00015199-0.00039886i,-0.00017461-0.0002234i,0.00030946+0.00020752i,-4.111e-05-0.00029151i,-0.00069383-0.00033668i,-0.00062149-0.00050817i,-0.00047698-0.0010716i,-0.00029043-0.00083259i,-9.9802e-05-0.00069523i,0.0003454-0.0010079i,0.00080009-0.00086557i,0.0016054-0.00025805i
-0.00045718-0.00039427i,-0.00026721-0.0012677i,0.00088021-0.00198i,0.0038129-0.0033261i,0.00457-0.0029989i,0.0031902-0.00047877i,0.0023435+0.0010818i,0.0021779+0.00087489i,0.0010711+7.9937e-05i,6.9344e-05-0.00020023i,-1.816e-05-0.00048964i,-0.00021484-0.00071252i,-0.00041072+6.9418e-06i,-0.00083696+1.6075e-07i,-0.00073618+3.0523e-05i,0.00063002+0.00056797i,0.0014207+0.00022742i,0.00057089-7.6189e-05i,0.00038995+0.00027565i,0.00099375-0.00012812i,0.0010615-0.00030754i,0.00064497+0.00010019i,0.00032199+6.3433e-05i
0.0022832-0.00039254i,0.0027188-0.00081665i,0.0033822-0.0015003i,0.004399-0.0030178i,0.0038553-0.0040668i,0.0018187-0.0028669i,0.00079996-0.00064542i,0.0010606+0.00027515i,0.00099017+0.00024704i,0.00017263+0.00015686i,-0.00037014+0.00044435i,-0.00075964+0.00077834i,-7.3176e-05+0.00064807i,8.0518e-05+0.00054663i,-0.00055258+0.00064224i,-0.00029103+0.00047422i,0.00026626+0.00060614i,0.00055021+0.00040469i,3.9633e-05+0.00029753i,-0.00013653+0.00012702i,0.0001311-0.00042301i,-7.2248e-05-0.00069408i,0.00028923-0.00025525i
-2.8464e-05+0.00091166i,0.0026591+0.0019i,0.0063669+0.001586i,0.0078838-0.00083645i,0.0061568-0.00216i,0.0036765-0.0012663i,0.001863+0.00089044i,0.0019282+0.00098217i,0.0014768-0.00020875i,-0.00025708-0.00047401i,-0.00051273+4.4496e-06i,1.839e-05+0.00013689i,0.00014747-0.00079681i,1.9742e-05-0.00063204i,-0.00064208+0.00025975i,-0.00082923-0.00015886i,0.00089365-0.00095765i,0.0013544-0.0010324i,0.00047489-0.0010696i,-0.00021272-0.00034059i,-0.00041073+0.00030545i,0.00039664-0.00028629i,0.00080625-0.00035646i
-9.7293e-06+0.00037916i,0.00017542+0.00077958i,0.0020839-0.00052409i,0.0040249-0.0023937i,0.0032677-0.0027948i,0.0012309-0.0010608i,0.00066378+0.0011749i,0.0018497+0.0014129i,0.0022627-0.00020018i,0.0014648-0.0010467i,0.00077983-0.00043359i,0.00040148-0.00029121i,-0.00026996-0.00025527i,-0.00068185-5.9286e-05i,-0.00041808-0.00057801i,-0.00029538-0.00094786i,0.00088763-0.00049689i,0.0014547+0.0002443i,0.00082394+4.43e-05i,0.00092614-1.4686e-06i,0.0013528+0.000189i,0.0010007+0.00055813i,0.0002331+0.00045961i
0.00088317+0.00045546i,0.0015177+0.0018258i,0.0026912+0.0012938i,0.0040485-0.00060531i,0.0036168-0.0022369i,0.0019471-0.00084466i,0.0019143+0.0015538i,0.0027021+0.00091538i,0.0016883-0.00050732i,-0.00013269-0.00020665i,-0.0003402-8.6271e-05i,0.00034669-0.00026134i,0.0011738+7.3014e-05i,0.0012937+0.00073219i,0.00068562+0.00152i,0.00064094+0.0013037i,0.00065977+0.00056203i,0.00012787+0.00010298i,0.00013342+0.00050465i,-9.7084e-05+0.00025797i,-0.00053436-0.00012981i,-0.0003287+0.00013096i,-0.00014738+0.00035335i
-0.00083498-0.00025489i,0.0003405+0.00031548i,0.0015522+0.00023147i,0.0030698-0.0024118i,0.0033863-0.004223i,0.0018241-0.0028776i,0.00035359-0.00062973i,0.00084537+0.00056105i,0.0012316-3.1754e-05i,0.00021562-8.7226e-05i,-0.00052837-0.00020611i,-0.00034899-0.00058538i,-0.00026839-0.0004775i,7.3478e-05-0.0005784i,0.0004532+0.00027105i,0.00017352+0.0010455i,0.00021921+0.001439i,0.00064949+0.00077543i,0.00095108-0.00046738i,0.0010475-0.00073505i,0.00093488-0.00041963i,0.00074517-0.00031004i,0.00012691-0.00014844i
0.00080795-0.0013512i,0.0012575-0.0022198i,0.0039896-0.003629i,0.0064145-0.0055444i,0.0044036-0.0053854i,0.0015627-0.0035932i,0.00087325-0.001806i,0.0012922-0.0011429i,0.00059794-0.0011078i,0.00042072-0.00047495i,0.00057806+0.00016356i,6.2431e-05+0.0002147i,-0.00052183-0.00033108i,-0.00026776-0.0002509i,4.9421e-06+0.00047959i,-0.00044496+0.00012692i,-0.00026548-0.00065392i,0.00048478-0.0013449i,0.00057278-0.0015129i,-5.957e-05-0.00079565i,0.00028735-0.00023581i,0.00059353-8.3582e-05i,-0.00027112+0.00018728i
