-0.0024114+0.0005765i,-0.0009831+0.00093558i,-0.0019329+0.0040084i,-0.0024711+0.0072564i,-0.0019894+0.0085699i,-0.00093227+0.0055047i,-0.00073457+0.0022943i,-0.0004031+0.00069497i,0.00039661-0.00068761i,0.00043034-0.00062397i,0.00012105-0.00054365i,-0.00027995-0.0010265i,-0.00051521-0.0013337i,-0.00095562-0.0013038i,-0.0017728-0.0012217i,-0.00091916-0.00039087i,-8.0051e-05+0.00030418i,-0.00068714+0.00044848i,-0.00098128+0.00047518i,-0.00023849+0.00030968i,-9.9093e-05+0.00086928i,-0.00050702+0.0010574i,-0.00030454+0.00072771i
-0.0011631-0.00080047i,0.00057783-0.0025189i,-0.003105-0.0035784i,-0.0080945-0.0013059i,-0.0083502+0.0022468i,-0.0046833+0.0020044i,-0.0021022-0.0013393i,-0.0013693-0.0037367i,-0.00072669-0.0039622i,0.00053502-0.0028832i,0.0018196-0.0019526i,0.0027826-0.0017775i,0.0028269-0.0023616i,0.0018557-0.0032759i,0.00080099-0.0032139i,0.00012362-0.0032279i,2.2841e-05-0.002645i,-0.00034344-0.0015414i,-0.0013474-0.00093996i,-0.00082133-0.00042719i,0.00052623+4.8322e-05i,0.00022374-5.7322e-05i,-0.00040917-0.00034136i
0.0010053-0.00031373i,0.00081067-0.00011265i,-0.0025073-0.00053754i,-0.0076867-0.00013977i,-0.0080053+0.0025225i,-0.0031869+0.00255i,-0.00057005-0.00047949i,-0.00011097-0.0022015i,0.0017972-0.0029476i,0.0038167-0.0025075i,0.0036951-0.0011833i,0.0027348-0.0012331i,0.0032561-0.0021678i,0.003319-0.0022598i,0.0023075-0.0018689i,0.0010526-0.0013199i,-0.00037331-0.00093296i,-0.0016132-0.0010389i,-0.0012249-0.0006266i,-0.00036611+0.0002131i,-0.0009607+0.00084016i,-0.00097421+0.0012858i,-0.00040782+0.00052562i
-0.0017158-0.00092482i,-0.0025284+0.00156i,-0.0052019+0.0031717i,-0.0084925+0.0039639i,-0.0094211+0.0046243i,-0.006579+0.0024155i,-0.003119-0.0020693i,-0.0013542-0.0041729i,-0.00073439-0.0022096i,-0.00013912+0.00016151i,0.00066043+0.00060051i,0.0013658+0.00060887i,0.0024281+0.00086346i,0.0032159+0.00034928i,0.002702-0.00068549i,0.0014283-0.00081988i,0.00041838-0.00041202i,0.00026076+0.00022288i,0.00048737-8.0986e-05i,0.00025254+0.00015467i,-0.00020411+0.00061507i,-1.4336e-05+0.00019411i,-0.0001965+4.6067e-05i
-0.00026248-0.00010197i,-0.0025869-0.00027833i,-0.0042317+0.00032971i,-0.0069047+0.00022928i,-0.0076015+0.00049039i,-0.0045285-0.00048834i,-0.0022853-0.0029795i,-0.0015798-0.002621i,-0.00047131+0.001067i,0.00020212+0.003442i,-0.00026767+0.0032517i,-0.00042513+0.0022079i,0.00027547+0.0017029i,0.0011708+0.0016472i,0.0013761+0.00092995i,0.00059022+6.0025e-05i,-3.1749e-05+9.9694e-05i,-0.000751+0.00057965i,-0.0015036+0.0010517i,-0.001343+0.00099419i,-0.00098128+0.00065634i,-0.00026405-0.00049178i,0.00053203-0.00045351i
0.0015138-0.00092964i,-0.00219-0.0023i,-0.0092502-0.0026083i,-0.013168-0.0010967i,-0.010799+0.00082842i,-0.0063665+2.6221e-05i,-0.0038374-0.0025379i,-0.0013589-0.0026193i,0.00016932-0.001402i,0.00018807-0.00095168i,-6.0211e-06-0.00069677i,0.00011278-7.8581e-05i,0.00030749-0.00016518i,-0.00024665-0.00074491i,-0.00025139-0.0010708i,-7.6484e-06-0.0014165i,-8.0553e-05-0.0018097i,-0.00018176-0.0014892i,0.00033412-0.00081673i,0.00022981+4.0747e-05i,-0.00044411+0.00058569i,-0.00058687+0.00032096i,-0.00096146+0.00011153i
0.00047598-0.0011188i,-0.00045016-0.0028894i,-0.0033676-0.0039304i,-0.0076977-0.00078012i,-0.0090986+0.0026091i,-0.0055364+0.0024475i,-0.0014457-0.00026182i,-0.00011975-0.0021873i,-0.00084427-0.0031308i,-0.0020309-0.0036505i,-0.0021039-0.0027778i,-0.0017368-0.0021224i,-0.0010094-0.0013376i,-0.00017088-2.5469e-05i,-0.00042004+0.00061977i,-0.0014149+0.00073719i,-0.0017551-8.6576e-05i,-0.0013295-0.00012538i,-0.0015195+4.1787e-05i,-0.0018539-0.00017113i,-0.0009566-0.0001327i,-0.00029693-9.4045e-05i,-7.7771e-05-0.00044902i
-0.0018444-0.00071998i,-0.00031307-0.002781i,-0.0028781-0.0038122i,-0.007873-0.0019581i,-0.0080089+0.00069304i,-0.0040947-4.7917e-05i,-0.0018237-0.0028836i,-0.0014862-0.003649i,-0.00063711-0.0028841i,-0.00094619-0.0019509i,-0.0014089-0.0010264i,0.00030043-0.00019621i,0.0016621-0.00060425i,0.0011012-0.0008596i,5.7183e-05-0.00091993i,-0.00054815-0.0014907i,-0.00092255-0.0015124i,-0.0011124-0.001145i,-0.0015435-0.00055742i,-0.0015522+6.9595e-05i,-0.00054119+0.00044799i,0.00053979-3.6319e-05i,0.00033802-0.00067512i
0.0014875-0.0017185i,0.0014457-0.0001074i,-0.0022728+0.00087112i,-0.0079888+0.0033333i,-0.0097109+0.0053272i,-0.0059025+0.002766i,-0.0025709-0.0013777i,-0.00098952-0.0024757i,0.001421-0.0009021i,0.0028211+0.00017475i,0.0034577-0.00030149i,0.0033005-0.00048194i,0.0030021-0.0011687i,0.002887-0.003198i,0.0017026-0.0034999i,0.00053276-0.0029036i,2.261e-05-0.0025732i,-0.00062262-0.0014787i,-0.00089453-0.00020106i,-0.00095554+0.00033691i,-0.00090061+9.4302e-05i,-1.6366e-05+0.00011719i,9.254e-05+0.00014863i
0.0015801-0.0012545i,0.00037728+5.7459e-05i,-0.0028304-0.00048578i,-0.0074014+4.935e-05i,-0.0092695+0.002019i,-0.0054495+0.0012183i,-0.0016189-0.0017087i,0.00085001-0.0030472i,0.0032367-0.0024086i,0.0048349-0.0013731i,0.0044759-0.0010166i,0.0020473-0.00087399i,0.00061529-0.0013202i,0.00090994-0.0026316i,0.00057166-0.0035233i,0.00010512-0.0025245i,-0.00012232-0.00091292i,-0.00066841-0.00033412i,-0.00079305-0.00045276i,5.6251e-05-0.00049583i,0.0003404-0.00025537i,3.2346e-05-0.00037596i,0.00010025-0.00087035i
0.0015246+0.0015773i,-0.0021587+0.0018136i,-0.0050914+0.0011254i,-0.0088517+0.0014326i,-0.01044+0.0025792i,-0.0069696+0.0011165i,-0.0035526-0.0024624i,-0.0016788-0.0029806i,-0.00068051-0.0010853i,-0.00081095+0.00024498i,-0.0016121+0.0014196i,-0.0016104+0.0016479i,-7.4743e-05+0.00070292i,0.0012093+0.00051628i,0.0018752+0.0006505i,0.0017362+0.00014897i,0.00072549-0.00032802i,-1.3196e-07+1.2594e-06i,-0.00046256-0.00016527i,-0.00051645-0.00067647i,-0.00020706-0.00047727i,-0.00043129-8.7758e-05i,-0.00081439+0.00029064i
-8.4286e-05-0.0003086i,-0.0024033-0.0013057i,-0.006166-0.00087161i,-0.0091444+0.0018601i,-0.008668+0.003331i,-0.0053098+0.0010851i,-0.0028868-0.0010993i,-0.0014538-0.0011788i,-0.00082691+0.0012227i,-0.0016132+0.0030797i,-0.0019459+0.0030677i,-0.00042329+0.0019884i,0.0019005+0.001056i,0.0028461+0.00025203i,0.0019691+0.00047414i,0.00095556+0.00046845i,0.00064059+0.00032455i,9.8941e-06+0.00042129i,-0.00095427-0.00055986i,-0.00060284-0.00076998i,-0.00019094+0.00023967i,-0.00064214-0.00026811i,-0.00071004-0.00084846i
0.0016699+0.0001646i,0.0010107-0.0019482i,-0.0028091-0.0032594i,-0.0079397-0.00076863i,-0.0095116+0.0015599i,-0.0055683+0.00086544i,-0.001203-0.0015399i,0.00079105-0.002453i,0.001551-0.0018605i,0.0013813-0.0012282i,0.00045877-0.00029919i,0.0002765-0.00034704i,0.00069965-0.00091441i,0.00053885-0.00064419i,0.00037316-1.1183e-05i,-0.00030531+0.00050807i,-0.0010888+0.00040654i,-0.0011188+9.3432e-05i,-0.0014714+0.00031109i,-0.0008419+0.00081793i,-0.00022227+0.0015404i,-0.00019948+0.0010706i,-0.000387-7.2932e-05i
-0.0018138-0.00077901i,-0.0013023-0.0019396i,-0.0040538-0.0021383i,-0.0087681+1.11e-05i,-0.0085763+0.0035981i,-0.0043488+0.0024335i,-0.0016176-0.0020199i,-0.0012722-0.0038526i,-0.0013384-0.0042978i,-0.0015732-0.0051675i,-0.0017858-0.0051245i,-0.0013245-0.0034174i,-0.00060177-0.0013831i,-0.0010412+0.00049909i,-0.0015975+0.0012738i,-0.0021909+0.00069764i,-0.002399-3.252e-05i,-0.0024383-0.00024881i,-0.0018742+0.00016544i,-0.00054378+0.00075405i,0.0002038+0.0011879i,-0.00020099+0.00070489i,-0.00017537-0.00062354i
0.00044933-0.0011709i,-0.001015-0.0010642i,-0.0041276-0.0015227i,-0.0086636+3.4359e-05i,-0.010512+0.0032275i,-0.0068589+0.0020928i,-0.0030314-0.0020127i,-0.0019011-0.002944i,-0.0010673-0.0011877i,-0.00038348-0.00021686i,-4.6962e-05-0.00022085i,0.00047889-0.00032503i,0.00093466-7.3445e-06i,0.00024978+0.00023763i,-0.00027006-0.00021383i,0.00014333-0.00086303i,1.0026e-06-0.00031137i,-0.00054344+0.00057764i,-0.00092051+0.0013885i,-0.0011425+0.0013904i,-0.00089713+0.00048273i,-0.00035065+4.0632e-05i,-9.7895e-05-0.00049443i
-0.0030039-0.00074693i,-0.0035576-0.0011818i,-0.006173-0.00057678i,-0.008773+0.00094194i,-0.008729+0.002148i,-0.004339+0.00013694i,-0.0012499-0.0029546i,-0.00083138-0.0028099i,0.000635+9.021e-05i,0.0026619+0.0019917i,0.0042324+0.002375i,0.0042452+0.0014105i,0.0022488-0.00057225i,-0.00035202-0.0017453i,-0.001195-0.0014121i,-0.0012113-0.00060765i,-0.0011684-0.00057742i,-0.001143-0.00051613i,-0.0016462+0.00017652i,-0.0014854+0.00014248i,-0.0011536-0.00010324i,-0.00011784-4.0317e-05i,0.0010111+0.00048154i
0.0014712+0.00083396i,-8.2218e-05+0.00019314i,-0.0024551+0.00043689i,-0.0065656+0.0020328i,-0.0085607+0.0037376i,-0.0058651+0.0021912i,-0.0021965-0.0012415i,0.00021723-0.001936i,0.0026714-0.00075095i,0.0040607+1.3823e-05i,0.0031401+0.0005159i,0.0016422-0.0005934i,0.0013376-0.0015744i,0.001089-0.0014241i,-0.00024154-0.001232i,-0.00080478-0.0014061i,-0.00028721-0.0017996i,-6.4254e-05-0.0019974i,-0.00076268-0.001427i,-0.0016469-0.00078179i,-0.0013774-0.00022202i,-8.5085e-05-0.00013699i,-0.00030631-0.0003657i
0.0017223+0.0015141i,-0.0014799+0.00058789i,-0.0055906-0.00077505i,-0.010842+7.709e-05i,-0.011276+0.0019589i,-0.0064752+0.00050001i,-0.0034524-0.0024476i,-0.0029264-0.0025828i,-0.0024215-0.000836i,-0.00278+7.6339e-05i,-0.0032126-0.00048991i,-0.0021074-0.00072037i,4.8264e-05-0.00065239i,0.0016231-0.00017054i,0.0015383-4.7965e-06i,0.001012-0.00084345i,2.9836e-05-0.0010762i,-0.00071713-0.00090755i,-0.00099317-0.00042036i,-0.00037207-0.00037136i,-0.00037632-0.00040418i,-0.00058895-0.00011826i,-0.00015008-0.0012625i
-0.00061844+0.0024818i,-0.0030448+0.0029379i,-0.0041764+0.0027857i,-0.0070835+0.0039296i,-0.0081272+0.004445i,-0.0060608+0.001059i,-0.0036995-0.0027164i,-0.0024298-0.0025921i,-0.0022526-0.00067976i,-0.0032594+0.00040223i,-0.0032984+0.0012739i,-0.001174+0.0012898i,0.00091618+0.0013649i,0.0020183+0.0012595i,0.0015953+0.0002069i,0.0011204-0.0012592i,0.0013332-0.0015585i,0.00068851-0.0012024i,-0.0010556-0.00070183i,-0.000907-0.00024509i,1.0588e-05-0.00025436i,-0.00026624-0.0004153i,-0.00049505-0.00050336i
-0.0013653-0.0010585i,-0.0030502-0.0024347i,-0.0066693-0.0034174i,-0.010348-0.0014546i,-0.0098292+0.0016696i,-0.0058272+0.00014161i,-0.0027541-0.0026213i,-0.0011041-0.0030521i,0.00042407-0.0027532i,0.0012362-0.0019056i,0.0015982-0.00077279i,0.0013801-0.0002813i,0.001683-0.00066965i,0.0020448-0.00088654i,0.0015239-0.00088382i,0.00091405-0.00099226i,0.00058022-0.00051482i,0.00042607-0.00013845i,0.00082858+0.00036403i,0.0013712+0.0012082i,0.00082187+0.00096496i,0.00013779+0.00031391i,2.2681e-05-0.00030689i
-0.00016161-0.0016145i,-0.00078717-0.001834i,-0.0039196-0.00075483i,-0.0088709+0.0012049i,-0.0099677+0.0029589i,-0.0056725+0.0011566i,-0.001612-0.0024187i,-0.00081007-0.0040046i,0.00091766-0.0040655i,0.002732-0.0044419i,0.0026241-0.0040652i,0.0015795-0.0020585i,0.00043964-0.0001915i,0.00035904+0.00031176i,0.00034084-0.00012771i,-0.00015879-0.00049904i,-0.0003165-0.00032898i,-0.0005264+0.00023492i,-0.0012002+0.00080118i,-0.0019824+0.000959i,-0.0020413+0.00061821i,-0.0010233-0.00043885i,6.4351e-05-0.0011127i
-0.0015849-0.0020128i,-0.0013884-0.0038147i,-0.0048003-0.0029985i,-0.0099236-0.00021546i,-0.010471+0.00275i,-0.0055616+0.0019692i,-0.0011287-0.0021302i,2.2119e-05-0.0038799i,-0.00027011-0.002316i,-0.00056496-0.0015439i,-0.00045932-0.00083978i,7.1415e-05+0.00052049i,0.00044725+0.0009189i,0.00041398+0.0013436i,0.00043448+0.00097853i,0.00030619-0.00032034i,-0.00025977-0.00017345i,-0.0010627+0.00040063i,-0.0017612+0.00069835i,-0.0013582+0.00053556i,-0.0005974-4.0955e-05i,0.00032462-0.00018505i,0.00061887+0.00011967i
-0.00017762-4.5111e-05i,0.00040215+0.00020499i,-0.002434+0.00056876i,-0.0076172+0.0019938i,-0.0087367+0.0031957i,-0.0048529+0.000834i,-0.0016999-0.0030984i,0.0001137-0.002617i,0.0012521+0.0010452i,0.0011242+0.0036559i,0.00061073+0.0041941i,0.0007374+0.001951i,0.00093489+0.00057299i,0.00077817+0.00065646i,0.00033971-0.00012546i,3.1692e-05-0.00073222i,-0.00047533-0.00094732i,-0.001029-0.00077083i,-0.0013409-0.00037703i,-0.0013314-0.00038428i,-0.0010571-0.00063419i,-0.00094513-0.00036509i,-0.00090768+7.4481e-05i
0.00066711+0.0011626i,-0.0021015+0.0011972i,-0.0037112+0.00059338i,-0.0060445+0.00097973i,-0.0066675+0.0016103i,-0.0036717+0.00010975i,-0.00089322-0.0031064i,-1.6872e-06-0.0036866i,0.00050308-0.00070786i,0.0015011+0.0015409i,0.0020681+0.0012361i,0.0019474-0.00029689i,0.00081293-0.0014696i,0.00010229-0.001146i,-0.00043868-0.00082244i,-0.0018394-0.0010319i,-0.0031162-0.0012414i,-0.0034501-0.0010352i,-0.0027174-0.0010181i,-0.0015113-0.00069015i,-0.00045765-0.00010064i,-0.00035901-0.00011704i,-0.00090423-0.00079512i
-0.00021334+0.00032006i,-0.0024377+0.00019959i,-0.0076932-0.00053928i,-0.012434+0.00021749i,-0.01193+0.002059i,-0.0070071+0.0022097i,-0.0032774-0.0013248i,-0.0022884-0.0039803i,-0.0023845-0.0042397i,-0.0031444-0.0044776i,-0.0034119-0.0037093i,-0.0012781-0.0022913i,0.00084642-0.0012081i,0.0010244-0.0010653i,5.5381e-05-0.00065483i,-0.00026284-0.0010409i,-0.00038768-0.0022158i,-0.0013384-0.0019996i,-0.0013955-0.0011391i,-0.00023704-0.00052334i,0.00029394+5.5227e-05i,0.00063575-0.00021992i,7.4809e-05-0.0010138i
-0.002161-0.00064381i,-0.002685-0.0012925i,-0.0057821-0.00062774i,-0.010081+0.0019578i,-0.0098193+0.0039369i,-0.0059304+0.0023318i,-0.0020328-0.0014545i,-0.00058937-0.0036578i,-0.0012382-0.0040187i,-0.0024083-0.0039634i,-0.0031334-0.0026691i,-0.0011168-0.00070614i,0.0011078-0.00041853i,0.0018713-0.00081715i,0.0018139-0.0014964i,0.0010065-0.0021794i,0.00049888-0.0018922i,0.00096691-0.0012719i,0.00071544-0.00052676i,0.00088063+0.00057633i,0.0014235+0.00051663i,0.0012969-0.00060574i,0.00064252-0.00088147i
-0.0022837-0.0049948i,-0.0032019-0.0069915i,-0.0071135-0.0068544i,-0.010781-0.0025337i,-0.010851+0.0022712i,-0.0065443+0.0017859i,-0.0022864-0.0030252i,-0.00091682-0.0053413i,0.001102-0.0039532i,0.0034308-0.0021754i,0.0040983-8.1307e-05i,0.0041397+0.0014957i,0.0037037+0.00028313i,0.0030256-0.0019422i,0.0017459-0.0032654i,0.00069439-0.0033598i,0.00067568-0.0022426i,0.0007073-0.0011814i,7.1037e-05-0.00046462i,0.00011531+0.00052623i,-0.00022207+0.00068262i,-0.00034348-0.00013807i,0.00052283-0.00053749i
0.0022234-0.001367i,0.0015059-0.0020748i,-0.0037218-0.00026857i,-0.0093335+0.0029677i,-0.010376+0.0042693i,-0.0074277+0.0014007i,-0.0037-0.0031219i,-0.00033903-0.0044175i,0.0031913-0.0028137i,0.0053757-0.0020163i,0.0049148-0.0021963i,0.0023711-0.0010131i,0.0007389+1.3704e-05i,0.0011153-0.00014018i,0.0010789-0.0004091i,0.00021353-7.2133e-05i,0.00044685+0.0003167i,0.0010727+0.00076983i,-0.00034792+0.0013271i,-0.00070039+0.0008846i,0.00075918+0.00021787i,0.00075901-0.00025676i,0.0003753-0.00077916i
0.0018727+0.0020516i,0.00030159+0.0012026i,-0.0046122-0.00064826i,-0.009348-0.0010358i,-0.0098867+0.00079316i,-0.0065346+4.9402e-05i,-0.0033225-0.0039056i,-0.0012612-0.0048288i,0.00027418-0.0022656i,-0.00011236-0.00017367i,-0.0020259+0.00065651i,-0.0029964+0.00044346i,-0.0017444+0.00090504i,0.00069469+0.0014628i,0.0015975+0.0013946i,0.0016821+0.0010517i,0.001794+0.0010901i,0.00093812+0.0016143i,-0.00048471+0.0012376i,-0.00074551+0.00044021i,-0.00051111+0.0005006i,-0.00064024+0.00036236i,-0.0011665-0.00011951i
-0.00083585+0.0012982i,-0.0022318+0.00090258i,-0.0063928-0.0013077i,-0.012125-0.0014191i,-0.014576+0.0010252i,-0.0096909+0.00027529i,-0.0034808-0.0023049i,-0.0010963-0.0015328i,-0.0018709+0.0013391i,-0.0028382+0.0033779i,-0.0027403+0.003466i,-0.0018718+0.0021787i,-0.00029088+0.00094605i,0.0012735+0.0012306i,0.001594+0.0015574i,0.00048718+0.00060359i,-0.00099969-0.00050447i,-0.0014641-0.00033212i,-0.0011919+5.9918e-05i,-0.00062151+0.00015792i,-0.00065168-0.00048977i,-0.001481-0.0012476i,-0.0010874-0.00050135i
-0.003351-0.00086954i,-0.0037413-0.0026253i,-0.0063523-0.0026525i,-0.010566-0.00074823i,-0.011769+0.0011837i,-0.0076815+0.00045054i,-0.00382-0.0031053i,-0.0020329-0.0039534i,-0.00059037-0.0016412i,-0.00029507-0.0011374i,-0.0003584-0.0026561i,0.00014123-0.0034801i,3.391e-05-0.0026844i,-0.00075726-0.0010577i,-0.0018144-0.00022829i,-0.0022417-0.00053798i,-0.0024809-0.0011931i,-0.0023617-0.0011943i,-0.001492-0.00064726i,-0.00056215+0.00020665i,0.00014107+0.00086363i,0.00026942+0.00025111i,1.6491e-05-0.00028511i
-0.0010515-0.0045203i,-0.0023211-0.0049602i,-0.0078258-0.0048445i,-0.013992-0.0023751i,-0.014027-3.4556e-05i,-0.0078016-0.00055556i,-0.0034557-0.0032462i,-0.0020896-0.0052308i,-0.00045673-0.00556i,0.0002803-0.0071927i,0.00051983-0.0084027i,0.0016546-0.0063158i,0.0020565-0.0033962i,-0.00012454-0.0018098i,-0.002241-0.0014438i,-0.002783-0.00098312i,-0.0023863-0.0011159i,-0.0018346-0.0016787i,-0.0012096-0.0010653i,7.7357e-05-0.00083318i,0.0004477-0.00054622i,0.00010029-0.00071234i,-0.0004899-0.0013376i
0.0019563-0.0014639i,0.0024027-0.0015445i,-0.00053151-0.0017748i,-0.005813-0.000381i,-0.0083554+0.0019901i,-0.0050764+0.0012952i,-0.0019388-0.0019818i,-0.0015451-0.0038462i,-0.00098895-0.0037476i,0.00025001-0.0031346i,0.0018612-0.0013074i,0.0032394+0.00056692i,0.003258+0.00065817i,0.0015574-0.00010285i,0.00027537-0.0014659i,0.00018932-0.0018991i,0.0002163-0.0022205i,0.0001395-0.002642i,0.00010665-0.0014263i,-0.00027149+0.00024504i,-0.00012338+0.001088i,0.0011089+0.001187i,0.0011818+0.00090443i
0.0031405+0.0016858i,0.0014504+0.00065922i,-0.003381-0.0018654i,-0.010942-0.0028179i,-0.011889-0.0022352i,-0.0071819-0.0021717i,-0.0029979-0.0031475i,-2.6091e-05-0.0023461i,0.002837-4.415e-05i,0.0050735+0.001901i,0.0058014+0.0039861i,0.00562+0.0047786i,0.0046588+0.0036662i,0.003116+0.00047327i,0.0022981-0.0018658i,0.0017434-0.0013839i,0.0016922-0.00094211i,0.00098516-0.00023926i,-9.0651e-05+0.0011837i,-0.00026802+0.00096396i,0.00043801+0.00092462i,0.00078052+0.0015962i,0.00077343+0.00094299i
0.00040016+0.0024045i,-0.0017911+0.0016502i,-0.0062048+0.00078897i,-0.011668+0.0011144i,-0.01267+0.0028557i,-0.007831+0.0018176i,-0.0039111-0.0020635i,-0.0012365-0.0027638i,0.002217-0.00059485i,0.0039099+0.00099589i,0.0025364+0.0026626i,-4.7665e-05+0.0039562i,-0.00055314+0.0029979i,0.00026935+0.0010561i,0.00046555+0.00029843i,0.00085133+0.00026426i,0.00082713+0.00026707i,-0.00045159+0.00083422i,-0.00090347+0.00039493i,-0.000962-4.6809e-05i,-0.00085768+0.00042851i,-0.00062075-5.6292e-05i,-0.00043081-0.0005964i
-0.0027841+0.0011858i,-0.0037378+0.001222i,-0.0072052+0.00055518i,-0.011713+0.0013681i,-0.011868+0.0040325i,-0.0069051+0.0021813i,-0.0029319-0.0021588i,-0.0022447-0.0031893i,-0.0022339-0.0015504i,-0.0037763+0.00070292i,-0.0066424+0.0034645i,-0.0072222+0.003817i,-0.0050655+0.002455i,-0.0012989+0.0023626i,0.0019674+0.0022785i,0.0026438+0.0016389i,0.0010952+0.0016014i,-0.0007265+0.0021912i,-0.001056+0.00077319i,-0.00079984-0.00026963i,-0.00077941+0.00025545i,-0.00085194+0.00049273i,-0.00088246+0.00047576i
-0.004393-0.0022925i,-0.0061363-0.0019361i,-0.010925-0.0011303i,-0.015402+0.00067358i,-0.015165+0.0040127i,-0.0086672+0.0033713i,-0.0028775-0.00089593i,-0.002798-0.0018617i,-0.0050934-0.00052313i,-0.006008-4.3617e-05i,-0.0052631-0.00085234i,-0.004178-0.0027729i,-0.0030312-0.0027054i,-0.0014309-0.00077872i,-0.00055783-0.00083184i,-0.0011366-0.00065725i,-0.0019797+0.00015804i,-0.0021879+0.00024841i,-0.0019989+0.00023025i,-0.0014454-0.00014407i,-0.00091669-0.00055497i,-0.00096652-0.0003415i,-0.00057598-0.00079176i
-0.0015216-0.0026921i,-0.0038274-0.0041281i,-0.007709-0.005022i,-0.013063-0.0040435i,-0.013422-0.00081975i,-0.0073773-0.0016595i,-0.0030611-0.0048214i,-0.0013226-0.0037993i,0.0013674-0.0020127i,0.0025003-0.0036954i,0.0013523-0.0067612i,0.0002986-0.0083791i,-0.00057163-0.0074472i,-0.0019256-0.00346i,-0.0027748-0.00033706i,-0.0026171-6.1012e-06i,-0.0028783-0.00022964i,-0.0029193-0.00029477i,-0.0020165-0.00013139i,-0.00080671+0.00068219i,0.00038141+0.00033283i,0.00065458-0.00068639i,-0.00020737-0.0005769i
0.0022347-0.0024112i,0.00048695-0.0027937i,-0.0045879-0.0011853i,-0.01017+0.0024872i,-0.011077+0.0028459i,-0.0071083-0.0010404i,-0.0037492-0.0052951i,-0.0018998-0.0069939i,0.00069356-0.0063446i,0.0028314-0.0064991i,0.0042278-0.0076686i,0.0063512-0.0070306i,0.0052901-0.0052073i,0.0015536-0.0039869i,-0.00075333-0.0020897i,-0.0016334-0.0010493i,-0.0021275-0.0021537i,-0.0022808-0.0021293i,-0.001704-0.00048609i,-0.00033828+0.00023705i,0.00074152+0.00019979i,8.4017e-05-0.00085433i,-0.00032166-0.0016075i
0.0037147+0.0011934i,0.0030002-0.00079339i,-0.00087768-0.0031897i,-0.0071043-0.0030749i,-0.0099832-0.00092164i,-0.0071785-0.0008605i,-0.0037826-0.0025265i,-0.0021639-0.0035483i,7.5482e-05-0.0027115i,0.0027756-0.00078003i,0.0059421+0.0022592i,0.0082432+0.0031246i,0.0074996+0.0012393i,0.0048692-0.0007473i,0.0029534-0.0018669i,0.0017099-0.0021587i,0.00066594-0.0027613i,-0.00060529-0.0026989i,-0.0016862-0.00082573i,-0.001475+0.00058469i,-0.00068489+0.00066721i,-0.00026261+0.00026137i,-0.00045309+7.6771e-05i
-0.0012682+0.0018702i,-0.001629+0.0015433i,-0.0070677+0.00016655i,-0.013682-0.00029479i,-0.01294+0.00054821i,-0.006915-0.0011781i,-0.0028541-0.0042077i,-0.0010133-0.0043569i,0.0010475-0.0016953i,0.0027532+0.0028698i,0.0046808+0.0070475i,0.0064473+0.0078344i,0.0068321+0.005174i,0.006441+0.0010284i,0.0052436-0.0025856i,0.0033359-0.0043826i,0.0012517-0.0046018i,-0.00048022-0.0032311i,-0.0016423-0.0011812i,-0.0019998+0.00073373i,-0.00098142+0.0012895i,0.00074401+0.00072447i,0.0005974+0.00025706i
-0.0084497-0.0049244i,-0.0040419-0.0055297i,-0.014331+0.0013704i,-0.019081+0.0092864i,-0.014396+0.012462i,-0.0026315+0.008555i,0.0028415-0.0018355i,0.00036668-0.0059415i,-0.0020607-0.0024158i,-0.0040605+0.0020527i,-0.0053415+0.0048527i,-0.0041427+0.0056793i,-6.9268e-05+0.0042647i,0.0030212+0.00089796i,0.0022256-0.0015286i,-0.00015786-0.0014053i,-0.0010834-0.00088032i,-0.0011292-0.00042156i,-0.00035568-0.00042194i,0.00035468-0.00014737i,0.00040758+0.00061311i,0.00029818+0.0012706i,-0.00021373+0.00074881i
-0.0025794-0.0036633i,-0.0039246-0.0043682i,-0.008599-0.0048281i,-0.013313-0.0028735i,-0.012638+0.0014672i,-0.0071058+0.0019368i,-0.0021642-0.0027162i,-0.00051647-0.0062205i,-0.0018329-0.005682i,-0.0056528-0.0031439i,-0.0098055-0.00064953i,-0.010612+0.0016618i,-0.0074546+0.0039682i,-0.0029015+0.005077i,0.00051135+0.0029982i,0.0013832+0.001053i,0.0017084+0.00054388i,0.00099879-0.00035283i,0.00010485-0.00051866i,0.00049289+5.9247e-05i,-0.00042349+0.00024244i,-0.0015564-0.00037098i,-0.0016763-0.00042081i
0.00047504-0.0013774i,-0.0014289-0.0031636i,-0.0056406-0.0041529i,-0.011254-0.0024544i,-0.012852-0.000119i,-0.0084303-0.0012906i,-0.0032321-0.0043646i,-0.0012825-0.0048834i,-0.0021407-0.0048359i,-0.003065-0.0061301i,-0.0037941-0.0078375i,-0.0047824-0.0079896i,-0.0056468-0.0045099i,-0.0042576-7.2153e-05i,-0.0024961+0.0015214i,-0.0025781+0.0009162i,-0.0015676+0.00060963i,-0.00068722+0.00034331i,-0.00048457+0.0010295i,-0.00019584+0.0014967i,-0.00072313+0.00065108i,-0.0016581+9.4211e-05i,-0.0014614-0.00016659i
