-0.0024114+0.0005765i,-0.0009831+0.00093558i,-0.0019329+0.0040084i,-0.0024711+0.0072564i,-0.0019894+0.0085699i,-0.00093227+0.0055047i,-0.00073457+0.0022943i,-0.0004031+0.00069497i,0.00039661-0.00068761i,0.00043034-0.00062397i,0.00012105-0.00054365i,-0.00027995-0.0010265i,-0.00051521-0.0013337i,-0.00095562-0.0013038i,-0.0017728-0.0012217i,-0.00091916-0.00039087i,-8.0051e-05+0.00030418i,-0.00068714+0.00044848i,-0.00098128+0.00047518i,-0.00023849+0.00030968i,-9.9093e-05+0.00086928i,-0.00050702+0.0010574i,-0.00030454+0.00072771i
0.00029949-0.00084193i,-0.001982+0.00040261i,-0.0048332+0.0035072i,-0.0055689+0.0074535i,-0.0031591+0.0081419i,-0.0010777+0.0046497i,-0.0016547+0.001529i,-0.0015069+0.00025479i,-0.00056871-0.00032336i,-0.0010281+0.00038365i,-0.001233+0.00086531i,-0.00024851+0.00026849i,0.00018527-0.00023568i,-0.00067506-0.00051946i,-0.00081361-0.0013653i,0.00013186-0.0014798i,3.2999e-05-0.00051171i,-0.00053194+0.00014929i,-0.00027499+0.00099283i,0.00071958+0.00098271i,7.8254e-05+0.00012775i,-0.0015436-0.00037717i,-0.001026-0.00019227i
0.00057356+0.0016985i,-0.00066346+0.0013916i,-0.0017483+0.0027249i,-0.0011088+0.0051517i,-0.00058266+0.0058885i,-0.0012665+0.0033639i,-0.0019185+0.0005235i,-0.0012337-0.00010944i,0.00013463-0.00013126i,0.0011545-0.00054027i,0.00048812-0.00031031i,8.0111e-05-0.00026278i,0.00066824-0.00061948i,0.00099202-0.00082829i,0.00052314-0.00013135i,-0.00062336+0.00042989i,-0.0014439-0.0001694i,-0.0013615+0.00024102i,-0.00058511+8.0704e-06i,-0.00037101-0.00037856i,-0.00030185-7.4863e-05i,-0.0004613+6.0295e-06i,-0.00087852-0.00065412i
1.9059e-05-0.00082347i,-0.00086314-0.0010278i,-0.003113+0.00072264i,-0.0044894+0.0039571i,-0.0031393+0.0058544i,-0.0020276+0.0041857i,-0.0026962+0.00059169i,-0.0023778-0.0010246i,-0.00084472-0.00061298i,-0.00016577-0.00064269i,2.8497e-05-0.00041009i,-0.00026971+3.5858e-05i,0.00029393+4.416e-05i,0.00073974-0.00014676i,-0.00014044-0.00089169i,-0.00086528-0.0010342i,-0.00044362-0.00059703i,0.00014983-0.00073726i,8.5968e-05-0.00047199i,0.0002197+0.0001605i,0.00021893-0.0004125i,-0.00025352-2.5585e-05i,-0.001152+0.00015322i
0.00014998-0.0012397i,0.00064469-0.00078945i,-0.00038617+5.886e-05i,-0.0016123+0.0036874i,-0.0011194+0.0051384i,-0.00060971+0.0021592i,-0.0016549-0.00032251i,-0.00138-0.00058238i,-0.00032203-0.0012342i,-0.0006295-0.0018734i,-0.00076748-0.0016313i,0.00025373-0.0017076i,0.0011489-0.0014189i,0.0012045-0.00059869i,0.00074571-0.00046728i,0.00016007-0.00021375i,-0.0004672+0.0001724i,-0.0006871+0.00049385i,-0.0004552+0.00081361i,-4.2574e-05+0.00036348i,0.00014357-8.0052e-05i,-0.00017019-0.00013077i,-0.0010316-0.00023972i
0.00036502-0.00047342i,-0.00042125+0.00082995i,-0.0011372+0.0030786i,-0.0014535+0.0050095i,-0.0013571+0.0052765i,-0.0018307+0.0035147i,-0.0020898+0.00093981i,-0.00085423-0.00051703i,-4.9856e-05-0.0010093i,-0.00033015-0.0010565i,-2.1389e-05-0.00079056i,0.00014867-0.00085436i,0.00013413-0.00088795i,0.00035071-0.0010716i,-0.00019282-0.0010277i,-0.00054868-0.0010649i,-0.00032444-0.00088328i,-0.00057468-0.00056533i,-0.0010078+2.6237e-07i,-0.0010161+0.00040036i,-0.00035553+0.00014971i,-0.00021108-0.00021735i,-0.00081661+1.525e-05i
0.00044786-0.00034716i,0.00032943+0.0018059i,-0.00017669+0.0037875i,-0.00015205+0.0052929i,-0.00021596+0.0055186i,-0.00056435+0.0035044i,-0.0010955+0.00078004i,-0.00060463-0.00042055i,-0.0005132-0.00055745i,-0.00073506-0.00024989i,-0.0001715+0.00047929i,5.417e-05+0.00084506i,-0.00021253+0.00094059i,-0.00014911+0.00041986i,-0.00030713-0.0010816i,-0.00073752-0.0012209i,-0.00065627+0.00018802i,-0.00055365+0.0011423i,-0.00034474+0.0015955i,-0.00030173+0.0014904i,-0.00056122+0.00064198i,-0.00072827-0.00032324i,-0.00038747-0.00040721i
-0.0006989+0.0024483i,-0.0021632+0.0027361i,-0.0036741+0.0037378i,-0.0025455+0.0048198i,-0.00072873+0.0048149i,-0.00063236+0.0026313i,-0.0019382+0.00019883i,-0.0025449-0.00068521i,-0.0014141-0.00027731i,-0.00054574-3.4735e-05i,-0.00020696-0.00032668i,-0.00021703-0.0012193i,-6.4849e-05-0.0011526i,-0.00029918+0.00015007i,-0.00085195+0.00023227i,-0.00093763-2.6268e-05i,-0.00083248+2.6385e-05i,-0.00073269+0.00023268i,-0.00063561+0.00014931i,-0.00017413-7.9313e-05i,0.00029217+7.8864e-05i,0.00021205+0.00057077i,-5.4252e-05+7.0049e-05i
-0.0021996-0.0013011i,-0.0034357-0.0004098i,-0.0056391+0.0017338i,-0.0058217+0.0053374i,-0.0032739+0.006771i,-0.00050437+0.0043688i,-0.0011486+0.00065838i,-0.0022693-0.0010748i,-0.0013919-0.0013421i,-0.00082058-0.00067617i,-0.00060911-0.00037502i,-7.45e-05-0.00063241i,0.00030178-0.00093478i,3.3262e-05-0.001551i,-0.00017331-0.0013235i,-0.00026235-0.0010169i,-0.00084176-0.0005052i,-0.0012002-0.00013183i,-0.00067502-0.00018531i,-6.8393e-05+0.00046722i,0.00010307+0.00054237i,0.00018784+0.00048198i,7.4429e-05+0.00036157i
-0.00069596+0.0013839i,-0.0017125+0.0014355i,-0.0019092+0.0025723i,-0.0017449+0.0047006i,-0.00028452+0.0052844i,2.6568e-06+0.0027168i,-0.0011813-6.2398e-05i,-0.0010443-0.0006272i,-0.00099604-0.00028102i,-0.00096316+0.00017983i,-0.00023066-1.6109e-05i,0.00035066-0.00074443i,5.7025e-05-0.0010102i,-0.00077334-0.0014159i,-0.00093902-0.0015546i,-0.00051266-0.0014873i,-0.00045897-0.0015496i,-0.00029327-0.0012332i,3.0445e-05-0.00027893i,-0.00011514+0.00037857i,-2.3688e-05+0.00066282i,-0.00021364+0.00048471i,-0.00063408-0.00017318i
-0.0012127-1.6974e-05i,-0.00062017-0.00096383i,-0.0020565+0.00028259i,-0.0029291+0.0035938i,-0.0022342+0.0042729i,-0.0017694+0.0022446i,-0.0024444-2.9485e-05i,-0.0025142-0.0011936i,-0.0012497-0.00040758i,-0.00070514-9.0803e-05i,-3.6813e-05-0.00078182i,0.0011007-0.0012668i,0.00079108-0.00083086i,-0.00031393-0.0006167i,-0.00062503-0.0011i,-0.00017619-0.0010814i,-0.00029606-0.00029952i,-0.0010788-2.4572e-05i,-0.0015377-0.00025969i,-0.001576+3.6915e-05i,-0.00011824+0.00064457i,0.00049674+0.00034839i,-0.00013379-0.00012635i
0.0026151-0.00048654i,0.002445-0.0005358i,0.00085892+2.7067e-05i,-0.0017403+0.0024882i,-0.0025617+0.0044319i,-0.0021427+0.0024094i,-0.0025033-0.00045417i,-0.0027277-0.00068652i,-0.0012049-0.00067785i,0.00010054-0.0011168i,-0.00039114-0.00064554i,-0.00029318-0.00099538i,0.00025206-0.0011274i,0.00064931-0.0005082i,8.3162e-06-0.00091614i,-0.0011436-0.001296i,-0.0016668-0.00037531i,-0.0017611+0.00067791i,-0.0015014+0.00039103i,-0.001006+1.1465e-05i,-0.00061197+0.00056439i,-0.00028062+0.00082926i,0.00033041+0.00035906i
-1.3646e-05+0.0017847i,-0.00022848+0.0024507i,-0.0012778+0.0045855i,-0.0024374+0.0065147i,-0.002383+0.0063113i,-0.0013794+0.0029157i,-0.0015932-0.00010623i,-0.0014681-0.00046779i,-0.00033042-0.00056101i,-0.00024708-0.00084485i,-0.00043582-0.00046026i,0.00021361-0.00035167i,4.3742e-05-0.00039746i,-0.00036006-0.0005989i,-0.00022688-0.0013049i,-0.00077557-0.00092196i,-0.00089411-0.00033769i,-0.00067687-0.0003379i,-0.00078988+0.00057163i,-0.00023072+0.0014104i,0.00026689+0.00066355i,9.644e-05-0.00047064i,-0.00030272-0.00063312i
-0.00079786+0.00093889i,-0.0027188+0.0020351i,-0.0043877+0.0035799i,-0.0045346+0.0056101i,-0.0034647+0.0058i,-0.0021667+0.0032135i,-0.0015509+0.0012637i,-0.0017117+0.00051813i,-0.001584-0.00029233i,-0.001006-0.00035841i,-0.0002365-0.0001106i,0.00090069+0.00050317i,0.0010985+0.00010024i,-0.00023534-0.0011775i,-0.00083777-0.00098954i,-0.00048581-0.00030475i,-0.00046584+8.3654e-05i,-0.00099816+0.00032879i,-0.0011719+0.00036237i,-0.00071061+0.00027312i,-0.00050437+0.00022667i,-0.0010879+0.00059538i,-0.00093506+0.00062963i
1.6013e-05+0.00038861i,-0.001241-0.00038719i,-0.0018003+9.3646e-05i,-0.0028193+0.0021139i,-0.0021969+0.0031405i,-0.00055041+0.0017899i,-0.00099954-0.00030086i,-0.0015679-0.00086238i,-0.00033725-0.00072702i,0.00044576-0.00068094i,0.00059322-0.0003143i,7.399e-05-0.00026005i,-0.00050033-0.00011286i,0.00035089+0.00011369i,0.00082099-1.1871e-05i,0.00050845+4.3784e-07i,-9.0387e-05+0.00022061i,-0.00068537+0.00014859i,-0.00064311+0.00022i,-0.00091676+0.00054804i,-0.00062687+0.00016804i,0.00090522+0.00035626i,0.00049672+0.00048017i
0.00036587-0.0013917i,-0.00038117-0.00069902i,-0.0025001+0.00099283i,-0.00449+0.0045931i,-0.0030353+0.0061048i,-0.0011604+0.0033975i,-0.00093619-0.00037193i,-0.00058736-0.0015281i,0.00032722-0.0010014i,0.00056284-0.00062905i,0.00016584-0.00025582i,0.00013039+0.00034946i,0.00026943+0.00049787i,-0.00025219-1.3298e-05i,-0.00020762-0.00043465i,0.00023187-0.0006444i,0.00016084-0.0007959i,-0.00017874+0.00016817i,-0.00035617+0.0010392i,-0.00059666+0.00044508i,-0.00049108-6.2282e-06i,-0.0001313+6.0071e-05i,-9.5651e-05+0.00042781i
0.00096869-0.0010469i,0.00092013+0.00016861i,-0.0014118+0.0017082i,-0.0033709+0.0039348i,-0.0025435+0.004659i,-0.0013569+0.0033833i,-0.0017585+0.0014901i,-0.0020414+0.0003933i,-0.00025625+0.00022348i,0.0009598+5.5035e-05i,0.00026083+6.4858e-05i,0.00051252-6.5568e-05i,0.0010407+0.00058894i,0.00091348+0.0010454i,0.0010164-0.00045448i,0.00031172-0.001441i,-0.0009891-0.00043183i,-0.001572+0.00057504i,-0.00049884+0.0014802i,0.00050882+0.0012166i,-4.2325e-05-0.0002678i,-0.0010566+6.751e-05i,-0.00077475+0.00045173i
