-0.0034316+0.00165i,-0.0037858+0.00042154i,-0.0038294+0.00050981i,-0.0028658-0.00025819i,-0.0024699+0.00029527i,-0.0022329+0.0011628i,-0.00097638+0.0013972i,0.00053748+0.001013i,0.00049852-0.00041807i,0.00043582-0.00014458i,0.00061022+0.00028294i,0.00015659-0.001088i,0.000243-0.0016309i,0.00075806-0.000512i,0.0012927-9.0906e-06i,0.00073262-0.00029091i,-0.00051319-0.00054953i,-0.00088236-0.00050585i,-2.7831e-05-0.0011659i,0.00021614-0.0017108i,0.00021509-0.00074271i,0.00047901+0.00062373i,0.00018674+0.0010675i
0.00026016+0.0037629i,-0.00052545+0.0035728i,-0.00058817+0.0029661i,-0.00021525+0.0014433i,-0.00032341-0.00014633i,-0.00091737-0.00043909i,-0.00090646-0.00069812i,-0.00038782-0.00058582i,-0.0006994-0.00027484i,-0.0002991-0.00021972i,1.9156e-05-0.00029004i,0.00017124-0.00047199i,0.00070123-0.00038868i,0.00084943-0.00023848i,0.00061857-0.00074198i,0.00078976-0.0010526i,0.00058687-0.00049193i,2.2752e-05+6.6849e-05i,-0.00023111+4.6096e-05i,0.00057815-0.00033266i,0.0011706-0.00070378i,0.00049765-0.0005962i,-6.9696e-05-0.00012681i
-0.00041087+0.0019544i,-0.00047025+0.0018981i,0.00015831+0.0015433i,6.9683e-05+0.00077145i,-0.00038509-7.553e-05i,-0.00015108-0.00020509i,-0.00057084+0.0005536i,-0.00063229+0.00054308i,5.1215e-05-0.0003942i,-0.00019461-0.00039709i,-0.00034903+0.00035727i,-0.00063541+0.00091811i,-0.00087127+0.001001i,-0.00061189+0.00063707i,-0.00043038+6.4199e-05i,-0.0005983-0.00022262i,-0.00053522-0.00021151i,-2.9028e-05-0.00034294i,0.00039189-0.00061833i,-9.7724e-05-0.00025305i,-0.00097143+0.00080178i,-0.00091912+0.0010355i,-0.00069362+0.00063987i
0.0020806-0.0003769i,0.0017428-0.0013361i,0.0014549-0.0017145i,0.0011164-0.0013969i,0.00048186-0.00059735i,-0.0013535-0.00055199i,-0.0009218-3.5835e-05i,-5.89e-05+0.00081901i,-0.00018779+0.00071493i,-0.00014835+0.00054312i,-6.6543e-05+8.4244e-05i,0.00049419+7.0803e-05i,0.0010954-0.00010814i,0.00043764-0.00016817i,-0.00089351+0.00058428i,-0.0007094+0.00062118i,-0.00032703-6.9912e-05i,-0.00030281-0.00032046i,-0.00032621-0.00049638i,-0.00019414-0.00039704i,9.0706e-05-0.0005295i,0.0001152-0.00025297i,0.00029186-0.00030331i
0.00049427-0.0014211i,0.00018468-0.0011844i,-0.00082084-0.00053205i,-0.00042448+5.1154e-05i,-0.00029225+0.00018217i,-5.6125e-05+0.0001855i,8.9049e-06+0.00071522i,-0.00048888+0.00054705i,6.0433e-06-0.00020623i,5.1581e-05+0.00030691i,0.00015508+0.00012754i,0.00057039-0.00017302i,0.00025301-0.00016634i,-0.00037554-4.4519e-06i,-0.00059794+0.00047832i,-0.00045319+0.00056231i,-0.00062428+0.00029435i,-0.00058116-0.00013738i,-0.00017774-0.00036064i,0.00024318-0.0007653i,0.00017466-0.00021495i,-0.0002403+0.00022502i,-0.00059977+0.0004741i
0.00043825+0.00086421i,-0.00052592+0.00018814i,-0.00071891-0.00044042i,-0.00021555+0.00014068i,-0.0010304+0.00025723i,-0.0017534+0.00035107i,-0.00050195+0.00096647i,0.0010245+0.00022598i,0.0014608-0.00088871i,0.00088321-0.0010268i,0.00027913-0.00043741i,-2.6377e-05+0.00016732i,-0.00023924+0.00044643i,-0.00088733+0.00039769i,-0.00042658-9.974e-05i,4.4103e-05-0.00015682i,0.00011226+0.00025112i,0.00054057+0.00025052i,0.00042041+0.00039234i,0.00027572+0.00067849i,0.00018973+0.00072889i,0.00043553+0.00042155i,0.00074913+0.00048122i
0.0027441-0.000656i,0.0027911-0.0011145i,0.0023793-0.00081483i,0.00026551-0.00020518i,-0.00098574-0.00022971i,-0.0007018+0.00024044i,-0.00016391+0.001557i,0.00013321+0.0020702i,-0.00013982+0.00074487i,-0.00058842-0.00012894i,-0.00024236+3.0937e-05i,-0.00024219-0.00011592i,-0.00093594-0.00013412i,-0.0010086-9.6506e-05i,-0.001299+0.00068774i,-0.0015379+0.00067884i,-0.00083745+0.00037762i,0.00018027+0.00056977i,0.00041956+0.00025435i,0.00032497+9.0777e-05i,0.00022089+4.9317e-05i,0.00036214+0.00049203i,0.00055822+0.00050302i
-0.00050436-0.00097305i,-0.0011011-0.0012597i,-0.00097843+0.000191i,-0.00060922+0.0013644i,-0.00054313+0.0010998i,-0.00017111+0.00076537i,-0.0003262+0.00013009i,6.8828e-05-0.00023627i,0.00079945-0.00055907i,0.00038032-0.0009285i,2.8153e-05-0.00014902i,0.00031007+0.00038922i,-0.00016805+0.00011292i,-0.00033698-0.00025458i,0.00019265-0.00046346i,2.7734e-05+0.00022029i,-7.3867e-05+0.00030982i,0.00014812-0.00017919i,0.00034873-0.00025174i,0.00045826+2.29e-05i,9.1161e-05+0.00029846i,0.00038211+0.00056918i,0.00080513+0.00049733i
-0.00060208+0.0011993i,-8.0479e-05+0.00095623i,0.0007546+0.0003019i,0.00030237-0.00019119i,0.00030538-0.0009607i,0.0012904-0.001101i,0.0013123-0.00078884i,0.00087356-0.00037296i,0.00096364-5.2438e-05i,0.00092546-0.00024317i,0.00056106-0.0009054i,0.00059356-0.0007808i,0.00050466-3.6936e-05i,0.00056545-0.00033654i,0.00065828-2.7807e-05i,0.00025413+0.00044521i,0.00011351+0.00017862i,0.00070212+0.0002889i,0.00054159+0.00043275i,-0.0003052+3.3875e-05i,-0.00056415-7.2151e-05i,0.00023918-0.00020957i,0.00065324-0.00052272i
0.00075582-0.00023418i,0.0018597+0.00051262i,0.0013405+0.0014187i,3.1384e-05+0.00047417i,-0.00053555-0.00067251i,-0.00026108-0.00050645i,-0.0010787-0.00030181i,-0.0010297-0.00059127i,-0.00026292-0.00037767i,-0.00013212+0.00017705i,0.00012141+0.00036681i,0.00027726+1.8353e-05i,-0.00010303-0.00026307i,-0.00021341-0.00051715i,0.00017619-0.00045245i,-0.00016971-0.00025927i,-0.00057295-0.00044675i,-0.00076758-0.00047249i,-0.00076936-0.0005726i,-0.00049599-0.00044862i,-0.00025524-0.0003304i,0.00047579+0.00030447i,0.00079975+0.00088646i
-0.0017091-0.00088086i,-0.0032594+0.00020459i,-0.0035976+0.00085964i,-0.0020503+0.00016084i,-0.00069235+0.00034386i,-0.00061723+0.0009966i,-0.00048875+0.00056897i,-0.00024786-2.1603e-05i,3.3687e-06-0.0007385i,0.00041336-0.00037289i,0.00021111+0.00020858i,-0.00024413+0.00011587i,8.8791e-05-3.2459e-05i,0.00048528+0.00015182i,0.0002405+0.00012455i,0.000172-0.00075071i,-9.7642e-05-0.0010721i,-0.00025642-0.0008044i,0.00048803-0.00065351i,0.00091864-0.00026016i,0.00029043-0.00019298i,-0.00042586+3.8755e-05i,-0.00058699+0.00084724i
-0.00036709+0.0025905i,-8.2998e-05+0.0029604i,0.00069384+0.0029744i,0.00088408+0.0012072i,3.4864e-05-0.00054698i,-0.00069269-0.0010051i,-0.0013729-6.6178e-05i,-0.0010657+0.00065595i,-0.00034181+0.00027402i,0.00031165-0.00022827i,0.00080105-0.00025354i,0.00073665+0.00014885i,0.00023531+0.00015354i,-5.5436e-05-0.00038219i,-0.00039906-0.00049301i,-0.00086132-0.00043233i,-0.00083596-0.00031352i,-0.00048608-0.00036146i,-0.00011509-0.00066274i,8.1199e-05-0.00082833i,-0.00013815-0.001359i,-0.00015124-0.0011884i,0.00017234-0.00051054i
0.00070295+0.0021014i,0.0007344+0.0018344i,0.00073132+0.0011313i,0.00022009+0.00048963i,-0.00067849+0.00015777i,-0.0012511+0.00028624i,-0.0013495-6.4724e-06i,-0.00083029+9.715e-06i,-0.00047923+0.00011016i,-0.0002367-4.1568e-05i,-0.00034352+0.00081213i,0.00069079+0.00096012i,0.00064212-1.7068e-05i,0.00010519-0.00093219i,0.00034402-0.0010517i,-0.00030191-0.00086531i,-0.00012348-0.00029032i,6.7424e-05+0.0003448i,-0.00059831-4.9733e-06i,0.00020136-0.00022732i,0.00083539-0.00026437i,0.000329-0.00061974i,-0.00038211-0.00065015i
-0.0013878-0.000789i,-0.0016781-0.0018005i,-0.0029956-0.0014408i,-0.0023977+8.4859e-05i,-0.0012492+0.00072016i,-0.001518+0.00067866i,-0.00092287+0.00062329i,0.00017839+5.8462e-05i,-0.00025+1.0507e-05i,-0.00051294+0.00010102i,0.0001853-0.00054112i,0.0011989-0.0011352i,0.001139-0.00041391i,0.00034609+0.00013373i,0.00033942+0.00034009i,-3.2962e-06+0.00024771i,4.5809e-06-0.00024714i,0.00059771-0.00026659i,0.00052767-0.00041159i,0.00023927-0.00040808i,-0.00012839+0.00044728i,-0.00051755+0.00064943i,-0.00042106+8.9834e-05i
0.0019685+0.00097246i,0.002241+0.0014607i,0.0013257+0.0011929i,0.00063095+0.0002131i,-9.8334e-05-0.00015217i,-0.00075985+0.0001509i,-0.00040501+0.00050704i,-0.00024049+0.00044649i,-0.00041822-0.0001166i,-0.00023572-0.00043164i,-0.00037977-0.00029185i,-0.0005239+0.00018713i,-0.00034578+4.728e-05i,0.0001445+0.00013729i,0.00064451+0.00080599i,0.00022433+0.0011089i,0.00025965+0.00090179i,4.3199e-05+0.00098644i,-0.0005504+0.0010652i,-0.00024179+0.00057651i,0.00036374+7.3547e-05i,-0.00042939-0.00022763i,-0.0011519-0.00060534i
-0.00051955+0.00070995i,-0.00081178+0.00061743i,-0.00065621-0.00041283i,-0.00088457-0.00069964i,-0.0014002-0.00030771i,-0.00141+6.5812e-05i,-0.00089639+3.1254e-05i,-0.00090485+0.00026123i,-0.00098868+0.00011916i,-0.00070752-2.8023e-05i,-0.00066578-0.00012269i,-0.0010606-0.00036199i,-0.00086288+0.0001373i,-0.00034407+0.00045853i,-0.00023617+0.00085552i,-0.00011313+0.00082871i,0.0003159-0.00024517i,0.00032852-0.00075513i,0.00016562-0.00072277i,0.0010934-0.00037232i,0.0010705+0.00023793i,0.00021909-0.00018812i,0.00010854-0.001065i
-0.0022128-0.00019564i,-0.0024676+0.00031685i,-0.0022456+0.00040882i,-0.0007065+0.00052424i,-0.00055092+0.00040857i,-0.0006749-0.00031964i,-0.00038448-0.00046968i,-0.00019204-0.00058235i,-4.5849e-05-0.0011197i,-0.00064368-0.000619i,-0.00032884+0.00019434i,0.00048268-9.5845e-06i,0.0001367-0.00037357i,8.4442e-05-8.0635e-05i,0.00037208+0.0005906i,0.00019273+0.00010374i,-0.00070943-0.00022598i,-0.0012549+7.2493e-05i,-0.00058245-0.00040335i,-0.00026714-0.00054754i,-3.039e-05-0.00075718i,0.00022522-0.00060117i,0.00053278-0.00052537i
-0.0011865+0.00086268i,-0.00043847+0.0014554i,-2.0854e-05+0.002212i,-0.00055376+0.002049i,-0.00015985+0.0010973i,0.0001223-0.00020677i,-0.00023783-0.0011764i,-0.00025447-0.001206i,0.00039441-0.00092635i,0.0001022-0.00075527i,-0.00044985-0.0001833i,-0.00012652+0.00034183i,0.00058048-0.00049029i,0.00044639-0.0012968i,-0.00024844-0.00087208i,-0.00056909-4.6638e-05i,-0.00066996+0.00074156i,-0.0007061+0.00037186i,-0.00058051+3.4444e-06i,-0.00075254-0.00016675i,-0.00058946+0.00035865i,8.345e-05+0.00086812i,0.00021385+0.0002659i
0.0012731-0.00012795i,0.00097028+3.8938e-05i,0.0017076-0.00017593i,0.0011315-0.00031173i,-0.00030369-0.0001773i,-0.00073388+0.00058859i,-0.00068406+0.0013123i,-0.00051673+0.0010963i,0.00045792+0.00042079i,0.00054073+0.00052568i,-0.00040346+0.00034638i,-0.00015882+0.00011657i,0.00013412+0.00070411i,0.00055361+0.00123i,0.00031683+0.00082232i,-3.4545e-05-3.79e-05i,-0.00022199-2.8416e-05i,-0.00053298+2.3011e-05i,4.8162e-05-5.1601e-05i,0.00023829-0.00020126i,6.5826e-05-0.00022485i,-4.86e-05+0.00014961i,-6.1167e-05+0.00051895i
-0.00040172+0.00046585i,-0.00060807+0.0012903i,-0.00028043+0.00085475i,-0.0004275+0.00020015i,-1.8609e-05+8.4859e-06i,0.00082498+0.00016857i,0.00059015+0.00064058i,0.00046474+0.00041797i,0.00066432-0.00089184i,0.00048737-0.0016556i,0.00021024-0.00067127i,2.89e-05-0.00015313i,-0.00043159-0.00081653i,-0.00074134-0.00081703i,-0.00024851-0.00030673i,-3.2079e-05-0.0004817i,-0.00040583-0.00010942i,-0.00046921+0.00016518i,-0.00032017-9.5467e-05i,-0.00073257-0.00067757i,-0.0010728-0.0019109i,-0.00076054-0.0024432i,-1.641e-05-0.0012659i
0.00052808+0.0010856i,0.0010688+0.001445i,0.00041359+0.0011259i,1.6635e-05+0.00038054i,-0.00043397-0.00046334i,-0.0010583-0.00089575i,-0.0014952-0.00044425i,-0.0012621+0.00047699i,-0.00073437+0.00040085i,-0.00025519-0.00079905i,-0.00014816-0.00098541i,0.00052199+8.4152e-05i,0.00076557+0.00046403i,8.3713e-06+0.00042677i,-0.00096177+0.0002465i,-0.00040158+0.00031657i,0.00072613+0.00019131i,-0.00011763+0.00017105i,-0.0012592+0.0002308i,-0.00062345-0.00014519i,8.4942e-05-0.00030237i,-6.4754e-05+4.7378e-05i,-0.00051201+0.00060255i
-0.0015943+0.0011079i,-0.00092712+0.0012467i,-0.0013585+0.0012468i,-0.00094408+0.0012857i,-9.1434e-05+0.001518i,-0.00029442+0.00043689i,-0.0014049-0.00022546i,-0.0015992-5.1325e-05i,-0.00083784+0.00061339i,0.00029663+0.0012569i,0.0014443+0.0019389i,0.00063439+0.0012217i,-0.00044423-0.00017958i,0.00062253-3.5478e-05i,0.0015271+0.00037488i,0.00097932+0.00067236i,0.00053669+0.0011111i,0.00049391+0.00038065i,0.00015986-0.00095421i,-0.00040124-0.00070211i,-0.00075879+0.00029234i,-0.00042185+0.00019106i,-0.00040704+3.5781e-05i
2.8678e-05-0.0010415i,0.00042523-0.0007409i,-0.00068301+0.00060417i,-0.0011321+0.0010973i,-0.00030415+0.0012317i,-0.00043982+0.0014112i,-0.00020859+0.0011092i,0.00026363+0.00071499i,-0.00040558-9.7496e-05i,-0.00061783-0.00034018i,-0.00030367-0.00044183i,-3.7973e-05-0.00070564i,0.00028704-0.0008992i,0.00078983+2.3053e-05i,0.0011877+0.0013996i,0.00091639+0.00092081i,0.0005901+7.1964e-05i,-0.00029191+0.00019965i,-0.00010575+0.00036363i,0.00028861+1.61e-05i,-0.00028798-0.00034577i,-0.0001387-0.00062358i,0.00076603-0.0010673i
0.0019914+0.0025424i,0.0020977+0.0024357i,0.0015497+0.00098539i,0.00057666-0.00037532i,-0.00068369-0.00064778i,-0.0017743-0.00027231i,-0.0014607+0.00028998i,-0.00028346+0.00068674i,0.00099143+0.00046146i,0.001229-0.00011644i,0.00057641-0.00081574i,0.00037696-0.00031415i,0.00034617+0.00032755i,-0.00020182-0.00044823i,-0.00071489-0.00020924i,-0.00022323+9.5511e-06i,0.00028692-0.00070001i,-0.00018852-0.00044701i,-0.00061648+0.00029454i,-0.00044374+0.00046401i,0.00014575-0.00016801i,-0.00012331-0.00047491i,-0.00045914-0.00035536i
-0.0011023+0.0011467i,-0.00048245+0.001302i,-6.265e-05+0.00014968i,0.00047478-0.00090581i,0.0010732-0.00098341i,0.00078397-0.00080729i,-0.00033071-0.00061135i,-0.00095291-0.00014153i,-0.00064756-0.00010577i,0.00017151-3.2708e-05i,0.00058889+6.9754e-05i,0.00056226-0.00074963i,0.00028595-0.00079972i,0.00016821-0.0002366i,1.9056e-05-0.00032134i,-0.00036204-0.00049391i,-0.0012502-0.00076215i,-0.00089148+2.3942e-06i,-0.00015519+0.00062665i,-0.00015811+0.0008138i,-0.0004169+0.0013532i,-0.0012629+0.0015826i,-0.0017865+0.00043863i
0.0001522-0.00038128i,0.00052256+0.00062366i,-0.00020557+0.0012269i,-0.00056377+0.0010859i,-0.00047464+0.00066529i,0.00020661-0.00015081i,5.334e-05-0.00024932i,-0.00084758+8.3053e-05i,-0.00077087+0.00028223i,7.3739e-05+0.00047253i,-0.00016574+0.00031548i,-0.00049138+0.00028654i,-3.5391e-05+0.00033637i,0.00050156+0.00020826i,-6.8917e-06+0.0001071i,-0.0003395+0.00013534i,0.00042225+0.00015488i,0.00046558-0.00029115i,2.815e-05-0.00014264i,0.00023473+0.00030473i,-9.8799e-05+0.00042851i,-0.00075508+0.00020263i,-0.00094566+0.00023763i
-0.0011407+0.002154i,0.0001339+0.0024708i,0.00065831+0.0018599i,0.00049605+0.0018384i,2.9679e-05+0.0020113i,-0.00089178+0.00099001i,-0.0012335-2.2754e-05i,-0.0013572-0.00020857i,-0.0016416-9.8377e-05i,-0.0014589-0.00016537i,-0.0011198-0.00017255i,-9.5133e-05-0.00043694i,0.00030654-0.0007899i,0.0001493-0.00064535i,0.00020581+0.00028155i,-0.00026139+0.00087183i,-0.00025183+0.00057188i,-0.000216-0.00048865i,-5.6313e-05-0.00063923i,0.00030448-0.00012275i,-0.00022621-0.0008136i,-0.0010226-0.00081166i,-0.00032308-4.0352e-06i
0.00084422+0.0011213i,0.00059427+0.0014766i,0.001061+0.00030631i,-0.00020909-0.00044192i,-0.001946-0.00051161i,-0.0018955-0.00021405i,-0.0020527+0.00011713i,-0.0014283-6.2962e-05i,-0.00028544-6.5097e-05i,-0.00022572-0.00076257i,-0.00085581-0.0014429i,-0.0011417-0.00085788i,-0.00073104-0.00074559i,-0.00099103-7.5578e-05i,-0.0015495+0.00073957i,-0.0013166-0.00020536i,-0.00018897-0.00037984i,0.00014855+0.00018925i,-9.1404e-05-4.3587e-05i,0.00051437-0.00010875i,0.0011249-0.00019073i,0.00082017+0.00011907i,-1.8021e-05+8.6283e-05i
-0.00051506+0.0012935i,-0.0011648+0.00041684i,-0.0011825-0.00034925i,-0.00093307-0.00063968i,-0.00094563-0.00080369i,-0.00054235-0.0011438i,-0.00055382-0.00078324i,-0.0003484-0.00026408i,9.3145e-05+0.00010945i,-5.35e-05+0.0013096i,0.0001797+0.0020679i,0.00080441+0.0018293i,0.0010684+0.00076219i,0.00092255+1.7825e-06i,0.00052671-0.0004104i,5.6748e-06-0.00081279i,-4.7049e-05-0.00032607i,-8.5902e-05-7.163e-05i,-0.00039828-0.000271i,-5.4485e-05+7.6082e-05i,-7.6612e-05-8.844e-05i,7.1403e-05-0.00068869i,0.00069502-0.00017399i
0.0013037+0.001826i,0.0016198+0.00099112i,0.0020347+0.00062774i,0.0011493+0.00037609i,-7.8917e-05-3.5642e-05i,-0.00051556+0.00031139i,-0.00018979+0.0010244i,-2.4861e-05+0.0011822i,0.00018821+0.0006607i,0.00030256+0.00023867i,-0.00012543+0.00066825i,-0.00042356+0.00090129i,-0.00031594+0.00041097i,-0.00091858-0.00037576i,-0.0014966-0.00035882i,-0.0012317-6.27e-05i,-0.00084442-0.00031397i,-0.00072342-0.00059493i,-0.00033693-0.00056595i,0.00014172-0.00061392i,0.00076374-0.00080249i,0.0005814-0.00052455i,-0.00027552-0.00038667i
0.00024427-0.0013766i,-0.00047065-0.0012949i,-3.4333e-06+1.8206e-05i,-0.00026006+0.00083098i,-0.0012677+0.00028352i,-0.00097024+0.00027806i,-0.00028302+0.00027944i,0.00048449-0.00030772i,0.0011258-0.0006508i,0.00093669-0.00064491i,-5.9938e-05-0.00010594i,-0.00066767+0.00036556i,0.00027172+3.4694e-05i,0.00088698-2.6426e-05i,0.00038144+0.00042948i,0.00032279+0.00034755i,0.00062139-0.00017428i,0.00060076-0.00019784i,0.00016496-0.00020154i,0.00033261-0.00044614i,0.00082868-0.00045847i,0.00036468-0.00014613i,-0.00061358+0.00038971i
0.00086747+0.0019974i,0.0016979+0.002368i,0.0017391+0.0028542i,0.0012683+0.0023415i,0.00069245+0.00061164i,0.00022681-0.0012277i,-9.8133e-05-0.00059865i,-0.00053259+0.0004201i,-0.00086459+0.00084876i,0.00015831+0.00085809i,0.00070585+0.0006498i,-9.0248e-05+0.00063031i,-0.00031687-7.2023e-05i,0.00060406-0.00012027i,0.0013164-0.00025373i,0.00052369-0.00058979i,-0.00055153-0.00044906i,-0.00077744-0.00086757i,-0.00075387-0.0005415i,-0.0010466-3.9373e-05i,-0.00021056+0.00050903i,0.00066533+0.00071752i,0.00017888+0.00010302i
