-0.0023843+0.00018174i,-0.00094637-0.0010168i,-0.0020985-0.0016567i,-0.0017381-0.00079546i,-0.0009361+0.00122i,-0.00037635+0.0029765i,-0.00013301+0.002935i,0.00083227+0.0017465i,0.0021207+0.0013384i,0.0015643+0.0010075i,0.00054745+0.00031927i,-3.5185e-05+9.4704e-05i,-0.00075055-0.00019341i,-0.0010472-0.00050381i,-0.00048167-0.00025958i,-6.6926e-05+0.00071331i,-0.00050331+0.0015035i,-0.00052001+0.00091664i,2.4254e-05+0.00021135i,0.00026532+0.00040544i,0.00015269+0.00051067i,0.00040991+0.00051206i,0.00055268+0.0005503i
0.00096057+0.00090734i,0.00067706+0.00077409i,0.00021297-0.00057181i,-4.0581e-06-0.0010503i,8.6576e-05-5.0325e-05i,6.2999e-05+0.00053133i,-0.0006146+0.00042291i,-0.00053688+9.7463e-05i,2.5201e-05-0.00028087i,-0.00026451-0.0010013i,-0.00072278-0.00059699i,-0.0006378-0.00034132i,0.00035253-0.00085533i,0.00023911-0.00042529i,-0.00015938-0.00028964i,0.00020173+0.0001712i,-0.00035584-0.00015556i,-0.001166+0.00010653i,-0.00095489+0.0002055i,-8.748e-05+0.00020393i,0.00042279+0.00091761i,0.00056262+0.00043129i,-5.1501e-05-6.7813e-07i
-0.0014324-0.00068436i,-0.00066092+0.00040497i,-0.00049784+0.00030822i,-0.00087541-0.00034618i,-0.0012356-0.00031873i,-0.0011762+0.00092526i,-0.0010572+0.00078018i,-0.00052282+2.1131e-05i,-0.0004382+0.00038299i,-0.0004168+0.00033267i,-0.00073344-1.5057e-05i,4.4104e-05+0.0003254i,0.0010621+0.00046633i,0.00068891+0.00036212i,0.00025159+0.00012118i,0.00054679+0.00014458i,0.00030426+0.00018096i,-0.0002474-0.00059432i,-0.00030348-0.00076375i,-0.00067782+0.00042238i,-0.00082508+0.0012189i,-0.00031996+0.00043292i,0.00024244+0.00024569i
-3.0435e-06-0.0012634i,0.00029155-0.0015027i,0.00066827-0.0019334i,-0.00066203-0.0016704i,-0.0017747-0.0011214i,-0.0015149-0.00054085i,-0.0004288+0.00053455i,0.00027607+0.0012203i,0.00027308+0.00090839i,0.00014061-0.00011609i,-1.3811e-05-0.00027351i,0.00036332+6.9133e-05i,2.2563e-05-0.00034093i,-0.0010906-0.00015223i,-0.0015054+0.00082254i,-0.0011836+0.00051746i,-0.00039141+0.00033233i,0.00029743+0.00075014i,0.00070047+0.00052971i,0.00035475+0.00033828i,7.1484e-05+8.8208e-05i,0.00011086-0.00011488i,-0.00045767-1.1892e-05i
0.00051877+0.00072865i,0.001057+0.00072384i,0.0011551+0.00036447i,0.00090637-2.9071e-05i,9.9102e-05-0.00052263i,-6.1681e-05-0.00046125i,0.00062738+0.00046053i,0.00075436+0.00061738i,0.00095619+7.3925e-06i,0.00039837+0.00012724i,-0.0011846+0.00046756i,-0.00084324-0.00022827i,1.8373e-05-0.0002598i,-0.00050204+8.4576e-05i,-0.00030792-0.00017286i,0.00019703-0.00025766i,2.799e-05-0.00020192i,-0.00015408-0.00051418i,-0.00028573-0.00074357i,-0.00010579-0.00060482i,-0.00040505-1.0461e-05i,-0.00076681+8.5383e-05i,-0.00031459-8.0987e-05i
0.0017417+0.0011906i,0.001164+0.00036351i,0.00037278-0.0010638i,-0.00020435-0.0017452i,0.00031456-0.0011907i,-4.328e-05+0.00040889i,-0.00065221+0.0014434i,0.00024798+0.0009961i,0.0010248+0.00045961i,0.00012154-0.00012455i,-0.00029952+0.00036518i,0.00024273+0.00057738i,0.00023957+4.0835e-05i,0.00033563-0.00067554i,0.00028345-0.00081898i,0.00018896+7.7333e-05i,-8.0048e-05+0.00016426i,-0.0010948-0.00014447i,-0.0011641+0.00030903i,-0.00057369+0.00061593i,0.00010728+0.00019597i,0.00053862-0.00029528i,0.00031418+0.00019099i
-0.00074232-0.001451i,-0.00047861-0.0021871i,-0.00017212-0.0018785i,-0.000502-0.0026603i,-0.00039705-0.0027127i,-3.4054e-06-0.00040741i,-0.00019595+0.0012573i,0.00038292+0.0012767i,0.00096823+0.00062375i,0.00065986+0.00013732i,0.00056991+0.00015662i,0.00042722+0.00038895i,-4.3496e-05+6.14e-05i,0.00029329-0.00031146i,0.00064753+5.4333e-05i,0.00052105+0.00064056i,0.00051297+0.00061789i,0.00055981+0.00050397i,0.0002525+0.00052476i,1.2489e-05-0.00024532i,5.74e-05-0.0011484i,0.00029037-0.0013104i,0.00032142-0.00079764i
-0.0017738-0.0017542i,-0.0019776-0.0020631i,-0.0020783-0.0010439i,-0.0018233+0.00014262i,-0.00216+0.00081415i,-0.0022772+0.00051552i,-0.0012908-7.3291e-05i,0.00021143+0.00022906i,0.0006037+0.00028936i,0.0007212+0.00030919i,0.00050207+0.00016314i,0.00010767+0.00023132i,-0.00012275+0.00056996i,1.0603e-07+0.0002512i,0.00059335-0.00071349i,0.00073593-0.00052645i,0.00033434+0.00030182i,-0.00017947+0.00055635i,0.00020208-5.978e-05i,0.00056957-0.00023055i,0.00026223+0.0004394i,0.00029653+0.00036636i,-0.00013854+8.9366e-05i
0.0039727+0.0032125i,0.0056896+0.0016424i,0.0059335-0.00023162i,0.0037337-0.001128i,0.0010173-0.0010687i,-0.0005783+0.00058996i,-0.00080719+0.0020099i,-0.00034531+0.0018538i,5.2969e-05+0.00072254i,0.00024955-0.00063284i,-5.0831e-05-0.0010591i,-0.00010395-0.00074154i,1.8079e-05-0.00065255i,-0.00017114-0.00071367i,-0.00068016-0.00060372i,-0.00071037-0.00017893i,-0.00043413-0.00014305i,-0.00035005+6.2773e-05i,-0.00028962+0.00038896i,-0.00067015+0.00035778i,-0.00064215+0.00018311i,-0.00018226+0.00040125i,-0.00043073+1.0464e-05i
0.0016436-0.00091065i,0.0016045-0.0012399i,0.00058484-0.002654i,-0.00087792-0.0034024i,-0.0019375-0.00231i,-0.0017309-0.00061583i,-9.3174e-05+0.00040381i,0.00044295+0.0010814i,0.00028109+0.00017281i,0.00033212-0.00034598i,-0.00019622-4.3803e-06i,0.00016564+0.00059564i,1.7983e-05+0.00059343i,-0.00055362+0.00069077i,-0.00095756+0.00092457i,-0.00037671-3.1174e-05i,0.00034129+0.0001111i,0.00025656+0.00081395i,0.00052757+0.00036933i,0.0010787-9.9347e-05i,0.0005666-0.00024522i,-3.6358e-05-0.00050607i,0.00025811+0.00010253i
-0.0013683-0.0027951i,-0.00077383-0.0036511i,0.00014341-0.0021293i,1.9331e-05-0.00033949i,-0.00074868-0.00037862i,-0.0016264-0.00051884i,-0.001398-0.00025188i,-0.0006524+0.0001923i,-0.00057469+6.2621e-05i,-0.00061061-0.0012744i,-0.00075027-0.0010308i,-0.0003794+0.00045372i,-0.00021541+0.00053095i,-0.00089777+0.00017024i,-0.00085997+0.00088779i,-0.00028739+0.0012242i,-8.9177e-05+0.00082793i,-0.00026132+0.00056498i,-0.0002997-0.00017256i,-0.00051079-0.00053652i,-0.00087257-8.0658e-06i,-0.00055222+0.00051168i,0.00021172+0.00035263i
0.0024247+0.0018877i,0.0011035+0.0012594i,-0.00099799+0.00097581i,-0.0012147+0.00082788i,-0.0002495+0.00080111i,-0.00014913+0.0013356i,-0.00033147+0.0022782i,-0.00035464+0.0026359i,0.00038087+0.0016191i,9.5515e-05+0.00037755i,-0.00092609+0.00018868i,-0.001386+0.00052644i,-0.0013622+0.00076469i,-0.00090096+0.0001609i,-0.00052436-0.00087155i,-0.00034571-0.0011439i,-0.00030177+0.00041382i,-0.00036984+0.0016443i,-0.00057224+0.0007905i,-0.00071374-0.00052693i,-0.00039412-0.0011181i,0.0001819-0.00035762i,0.00044743+0.00094188i
0.001417+7.2677e-05i,0.001812-0.0014111i,0.0012765-0.0027636i,-0.00018322-0.0021506i,-0.0013966-0.00045742i,-0.0012886+0.00067858i,-0.00028704+0.00049363i,0.00064161+0.00045748i,0.0010059+0.00018963i,0.00060691-0.0002688i,-0.00016448-0.00032355i,-0.00028831-0.00042631i,-6.4859e-05-0.00043074i,-2.4347e-05+0.00038442i,-0.0003965+0.0010076i,-0.00051762+0.00052829i,2.611e-05+0.00068915i,-0.00040692+0.0010387i,-0.00078647+0.00045884i,-7.4495e-05-0.00012016i,0.0006577-0.00015408i,0.0010019-0.00022727i,0.00064822-0.00028127i
-0.00051897-0.0010122i,-0.00035597-0.00067961i,0.00012799+0.00040196i,0.0010625-6.8391e-06i,0.00087342-0.00070904i,8.9875e-05+6.2576e-05i,-0.0003026+0.00036978i,0.00031392+0.00016117i,0.00071709-0.00014736i,0.00028501-0.00045163i,0.00077877-0.00033946i,0.0008615-0.00011404i,0.00019394-0.00046993i,2.3571e-05-0.00088145i,0.00023123-0.0010702i,-2.6394e-05-0.0011807i,-0.00058516-0.00060499i,-2.6898e-05-0.0001344i,0.00044565-0.00035294i,0.00067048+0.00044272i,0.00079879+0.0013201i,0.00018815+0.00097568i,0.00020229+0.00042795i
0.0031768-0.00041979i,0.0022496-0.00020037i,0.0010929-0.00097213i,0.00031514-0.0013465i,-0.00054259-0.00027957i,-0.0010845+0.00047831i,-0.00086623+0.00063441i,0.00030029+0.00091308i,0.00080813+0.00089417i,-0.00015093+0.00073468i,-0.00092902+0.00093116i,-0.000528+0.00061881i,3.0676e-05-0.00030862i,4.9511e-05-0.00096786i,-0.00034155-0.00085071i,-0.00059215-0.001029i,-0.00014475-0.0011437i,-0.00017876-0.0007868i,-0.00029469+0.00019086i,0.00024638+0.00075905i,0.00051378+0.00065975i,0.00019613-0.00039792i,0.00023086-0.00078082i
-0.00012701+0.0020702i,0.0010594+0.0008861i,0.0011439-0.0015827i,-0.00023903-0.002509i,-0.0012065-0.001958i,-0.001154-0.00014197i,-0.0013348+0.00053553i,-0.00098378+9.5878e-05i,-0.00039726-0.00021925i,-0.00061833-6.6157e-05i,-0.0011403+0.00024161i,-0.00049915+0.00016682i,3.9382e-05+0.00019729i,-0.00047281+0.00043042i,-0.00063218+0.00046523i,-0.00045168+6.3258e-05i,-0.00058415+0.00014415i,-0.00074455+0.00028444i,-0.00049114-8.3477e-05i,0.00021591-0.00031281i,0.00022468-0.00039675i,-0.00056864-0.00017924i,-0.001434-0.00021429i
-0.0054374-0.002487i,-0.0064964-0.00055347i,-0.0045756+0.0003499i,-0.0015609+0.00025291i,0.00055021-4.3101e-05i,0.001276-0.00040581i,0.00017528-0.00016707i,-0.00061594-0.00014714i,-0.0010845-0.00063263i,-0.0018084-0.00023518i,-0.0014988+0.00076953i,-0.00052492+0.0010182i,0.00049865+0.00024086i,0.00079244-0.00078999i,0.00092083-0.0003807i,0.00081098+0.00063612i,-0.00019388+0.00059525i,-0.00021939-0.00042697i,-6.9137e-05-0.0012557i,-0.00036405-0.0010022i,-0.00033478-0.00059476i,-0.0004493-0.00049859i,-0.00020104-0.00028387i
0.0029932+0.0010188i,0.0045731+0.00031677i,0.0041079-0.00052159i,0.0013779-0.0013069i,-8.3374e-06-0.0015494i,-0.00050501-0.00035852i,-0.00088703+0.0012158i,0.00010364+0.002198i,0.0011924+0.0015189i,0.001213-1.6451e-05i,0.00064227-0.0008782i,0.00052226-0.00054522i,0.00031296+0.00011045i,-0.00046009+0.000615i,-0.00058192+0.00012797i,-0.00064984-0.0010518i,-0.00031224-0.00051757i,0.00018267+7.6089e-05i,-0.00031638-0.00049591i,-0.00024691-0.00021271i,0.00025892-0.00024002i,0.00029171-0.00060788i,0.0003963-7.2807e-05i
-0.00022618+0.00018372i,0.0014739-9.7252e-05i,0.0025951-0.0001581i,0.0021726-0.00042278i,0.0015169+0.00042292i,0.00087707+0.001644i,0.00052265+0.0015608i,-0.00012649+0.00061575i,-0.00042491+0.00064813i,-7.5713e-05+0.00079729i,0.00049185+0.0011751i,0.0007467+0.0015487i,0.00053451+0.0012158i,0.00064857+0.00013551i,0.00082388-0.00070747i,3.1456e-05-0.00057809i,-0.00025696-0.00028654i,-7.8973e-05-0.00011246i,-0.00067653+0.00044619i,-0.00092461+0.00054821i,-0.00030053-0.0001589i,4.6828e-05-0.00069615i,-0.00073139-0.00097964i
0.0014588+0.00059785i,0.0023812-0.00028336i,0.0025146-0.0020089i,0.0016835-0.0029309i,0.00018659-0.0014664i,-0.00059803+0.0002171i,8.8372e-06+0.00068443i,4.0741e-05+0.0010437i,-0.00025247+0.00054052i,-0.00015064-0.00072541i,-0.00043392-0.0012041i,-0.00013324-0.00097387i,-0.00010805+3.986e-05i,-0.00083003+0.00059612i,-0.00087939+0.00026069i,-0.00024026+0.00010499i,0.00057931+0.00032271i,0.0011606+0.00018391i,0.00092648+9.334e-05i,0.00054906+0.00096675i,0.0003423+0.00045862i,0.00017408-0.00079622i,0.00033874+0.00012545i
-0.00038641-0.0002469i,-0.001078+0.0006612i,-0.0014615+0.00024417i,-0.0013047-0.00074629i,-0.00091684-0.00063832i,-0.0015735-0.00040284i,-0.00087669+0.00086254i,0.00051113+0.0015261i,0.00020973+0.00045496i,0.00029652-0.00026103i,0.00048663-7.0123e-05i,-0.00030448-0.00024522i,-0.0010511-5.6868e-05i,-0.00092384+0.00027943i,-0.00058448+0.0002532i,-0.0007424-0.00015743i,-0.00040647-0.00043923i,-0.00011759-8.3874e-05i,-0.00062076+0.00059274i,-0.00080155+0.00035967i,-0.00079847-2.4568e-06i,-0.00068757+0.00024635i,-0.00067712+0.00026551i
0.0023649+0.00089423i,0.001938-0.0012429i,0.0012232-0.002478i,0.00091743-0.0022142i,0.00049485-0.0015448i,0.0002108-0.0003788i,-0.00076942+0.00078917i,-0.0015447+0.001091i,-0.0012273+0.0010339i,-0.0004221+0.00028511i,3.5044e-05-0.00020033i,-0.00056616-0.00013784i,-0.001028-1.4483e-05i,-0.00040299+0.00016128i,0.00032888+0.00082138i,-0.00019049+0.00035903i,-0.00071476-0.00014425i,-0.00012985-0.00014316i,-8.4557e-05+6.4372e-05i,-0.00068012+6.8623e-05i,-0.00022895-0.00063248i,-0.00037824-0.0005907i,-0.00096767+3.8434e-05i
-0.00092654+0.003606i,-0.0004657+0.0020337i,0.0013204-0.00017219i,0.0014826-0.0010597i,0.00030417-0.00085706i,-0.00077011+6.1297e-05i,-0.0013804+0.00022385i,-0.00092377-0.00068768i,-0.00011941-0.00049987i,-0.00055976+9.281e-05i,-0.0012908-0.00046552i,-0.00095353-0.00071522i,-0.00055678-0.00073759i,-0.0003589-0.00043541i,-0.00032931-1.4624e-05i,-0.00036488-0.00043123i,-0.00030794-0.00049141i,-0.00018983+0.00031131i,0.00014859+0.00049367i,-0.00021675+7.619e-05i,6.2924e-05+0.00038808i,0.00049506+0.00045992i,-0.00014282+0.00025473i
-0.0014719-0.00097673i,3.7937e-05-0.00095171i,0.0011309-0.0013587i,0.0011313-0.0013114i,0.00056852-0.00055476i,-0.00049339-0.00022921i,-0.0010384+0.00050378i,-0.0010833+0.0010249i,-4.1638e-06+0.00061078i,0.001008-0.00024424i,0.0012563-0.00035147i,0.0011438+0.00011543i,0.00034868+0.00068845i,0.00038448+0.00091529i,0.00059254-5.7116e-05i,0.00080472-0.00058027i,0.00090229+0.00019482i,0.00046675+5.3594e-05i,-0.00024755-0.00015025i,-0.00080632+0.00026606i,-0.000689+0.00066202i,-0.00065151+0.00066422i,-0.00049847+0.00064827i
0.0018305+0.00013729i,0.0027479-0.00068487i,0.0019294-0.0020326i,0.0011493-0.0016089i,0.00072137-0.00048069i,0.00095625+5.2396e-05i,0.0012405+0.00033416i,0.00085866+0.00022824i,-0.00016977+6.5399e-06i,-8.7111e-05+0.00010597i,0.00030689+0.00010356i,0.00011605-0.00064216i,-4.5155e-05-0.00058503i,0.00047571+0.00045771i,0.00095719+0.00029157i,0.00083193-0.00030778i,-3.948e-05-0.00041718i,-0.00042532-4.4527e-05i,-0.00029448+0.00041329i,0.00012678+0.00088906i,0.00031634+0.00069403i,0.00012211+1.5253e-05i,-0.0005805-0.00067158i
1.2106e-05+0.00011356i,0.00036716+0.00069853i,0.00070702+0.00067553i,-0.00016354-0.00017736i,-0.00022893-0.00040193i,-0.00060251+0.0011356i,-0.0010361+0.0018571i,-0.00037029+0.00083123i,0.00015866-0.00012763i,-9.0997e-05-0.00034595i,-0.00040881-0.00070645i,-0.00015095-0.00060371i,0.00037568-3.8149e-05i,-2.5361e-05+0.00069665i,-0.00034516+0.0013449i,0.00046565+0.00077997i,0.00043788+0.0002975i,-0.00049204+0.00047142i,-6.5435e-05+0.00045066i,-0.00014023+0.00042338i,-0.00037888-0.00012988i,-0.00012658-0.00051346i,0.0002081+1.9262e-05i
0.0027759-0.001131i,0.00306-0.0015004i,0.0016378-0.0025751i,-0.00039977-0.0020467i,-0.0015541-0.0010281i,-0.0015152+0.0001738i,-0.00054732+0.00096985i,0.0010015+0.00065327i,0.0015826-0.00053527i,0.00060928-0.0016657i,-0.00021374-0.0011803i,-0.00020453-0.00045322i,-0.0004319+7.1269e-06i,-0.0013412+0.00068859i,-0.0015229+0.00094603i,-0.00084449+0.0003653i,-0.00081292-0.00043881i,-0.000648-0.00090314i,0.0003521-0.00068509i,0.00078227-4.4146e-05i,0.00068186+0.00069158i,0.00037294+0.00050678i,-0.00017978+0.00042333i
0.00078679-0.0005935i,0.0012258-0.00081909i,0.0014721-0.0020563i,-0.00029356-0.001894i,-0.001753-0.00061162i,-0.001212+0.0010535i,-6.7236e-05+0.0011336i,0.00098546+0.00070694i,0.0016122+0.00047576i,0.00049141-0.0010229i,-0.00075249-0.00086107i,-0.00056562+0.00051875i,0.0003014+0.00053989i,0.00019028+0.00057112i,-0.00092225+0.00019555i,-0.0011009+0.000177i,-0.00021201+0.00011124i,-0.00029163+0.00039862i,-0.00069762+0.0007395i,-0.00014677+7.8527e-05i,0.0003801-0.00025437i,-0.00040404+0.00019119i,-0.0013087+0.001048i
0.0010599-0.00013479i,0.00088006-0.0013742i,-0.00035044-0.0030791i,-0.00081733-0.0032828i,-0.0014526-0.0023702i,-0.0018781-0.0012115i,-0.0020957-0.00028185i,-0.0017934+0.00035866i,-0.00081175+0.00035252i,-0.00011634-0.00058096i,7.9506e-05-0.00017636i,-0.00040082+0.00087521i,-0.0003007+0.00024292i,0.00029896-0.00059787i,0.00061018-0.00023028i,0.00073628+4.9145e-05i,-0.00015572-0.00055775i,-0.00071198-0.00045579i,-2.0902e-05+0.00020984i,0.00016505+0.00023593i,-4.0746e-05-6.6815e-05i,-0.00037656-0.00087472i,-0.0003357-0.001088i
0.0040308-0.0027424i,0.005541-0.0046993i,0.0047923-0.0068131i,0.0022423-0.0059085i,-0.00031208-0.0031537i,-0.0016374+0.00015552i,7.615e-05+0.0011425i,0.00092491+0.0013256i,0.0011306+0.0016022i,0.00056061+0.00083772i,-0.00076196-0.00021405i,-0.0012741+9.215e-06i,-0.0017049+0.00071552i,-0.0020434+0.00090601i,-0.0020052+0.0015962i,-0.0018385+0.0014546i,-0.0011109+0.00057096i,-0.00031133+0.00034181i,-0.00011368+0.0012548i,-0.00026593+0.0010561i,0.00023945+0.00048541i,0.0005043+0.00028485i,-4.5427e-05+6.5932e-06i
-0.0082682+0.0012473i,-0.0093822+0.0032301i,-0.0068752+0.0073359i,-0.0018031+0.0060433i,0.0014437+0.0033916i,0.0020607+0.00013603i,3.6807e-05-0.001992i,-0.00071905-0.0011267i,-0.0010171+0.0009019i,-1.6604e-05+0.0027332i,0.0017011+0.0019578i,0.0021957+0.00019549i,0.0023034-0.0012473i,0.0031979-0.0024834i,0.0042444-0.001756i,0.0030276-0.00098362i,0.00084356-0.001047i,-0.00056014-0.00076682i,-0.0016847-0.00088906i,-0.0019568-0.0013746i,-0.00093395-0.00075511i,-0.00032575+0.00052111i,0.00022352+0.0011278i
-0.0041567+0.00026813i,-0.0036198+0.00029253i,-0.002386+0.0013188i,-0.00042304+0.0010494i,0.0011149+0.00052036i,0.00095493-0.00087931i,-0.00090867-0.0010869i,-0.0020758-0.00077158i,-0.0020427-0.00059189i,-0.0013287+0.00081523i,-0.0004038+0.0010743i,-6.3134e-05+0.00077995i,0.00061632+0.00015221i,0.0013512-0.00086954i,0.0014317-0.0015103i,0.0012266-0.0016346i,0.0006471-0.00093113i,-8.1101e-05+0.0002043i,-0.00086465+0.0001659i,-0.0010859-0.00085067i,-0.00096101-0.00059526i,-0.00075327+8.7545e-05i,-0.00013293+0.0004392i
7.1891e-06-0.00052036i,-0.00029852+0.00048398i,-0.00097236+0.00083151i,-0.00089967-0.00023306i,-9.6074e-05-0.00042227i,0.0010854-0.00027916i,0.0010106+0.00050203i,0.00046806+0.0008991i,0.00069972-0.00017568i,0.00031143-0.00025422i,-1.5194e-05-0.0001397i,0.00065706-0.00033224i,0.00077086-0.00048124i,0.00075247-0.00053845i,0.00086925-0.00030918i,0.00098843-0.00091778i,0.00016141-0.001188i,-0.00071958-0.0006292i,-0.00106-0.00026888i,-0.00061131+0.00016698i,-0.00016034+0.00016967i,-7.7991e-05-0.0001391i,0.00061531-0.00034846i
0.00021811+0.0016397i,-0.00017928+0.001532i,-3.4544e-05+0.00051058i,2.3413e-05+0.0011157i,4.8786e-05+0.0012219i,-0.00019559+0.00028314i,-0.00062917-7.4051e-06i,-0.00059501+0.00010535i,-2.1301e-07+0.00010679i,0.0001685+0.00034663i,7.7882e-05+0.00063454i,0.00047535+0.00045518i,0.00070347+0.00012945i,0.00034234-0.00044441i,0.00089941+0.00012016i,0.0010498+0.00034405i,-0.00031898+0.0004376i,-0.00083444+0.00059931i,-0.00040686-0.0004234i,-0.00052333-0.00052846i,-0.00059842+0.00012694i,0.00010646+0.00039328i,0.00058469+0.00087788i
-0.0028246-0.00064797i,-0.001962+0.00080541i,-0.0012023+0.0014579i,-7.8908e-05+0.00075751i,0.0005327+0.0010105i,0.00035802+0.0019223i,-0.0003928+0.0019925i,-0.00046552+0.0011188i,-0.00070517+0.00042919i,-0.00061324+2.7987e-05i,-1.6158e-06+0.00023866i,0.00015366+0.00065708i,0.00080022+0.00049872i,0.0011278+0.00050304i,0.0007661-5.0349e-06i,0.00016077-0.0005506i,9.6689e-05-0.00091869i,0.00038125-0.0017178i,0.00058884-0.0014254i,0.00060369-0.00028607i,-6.0242e-06-0.00017993i,8.1143e-05-0.00045228i,0.00031291-0.00034819i
0.0018391-0.00087008i,0.0013515-0.00067157i,0.00064158-0.00063249i,-8.0313e-07-0.00070559i,-9.1479e-05-0.00060222i,-0.00029905-0.00055939i,-0.00072657+0.00058053i,-0.00065878+0.0015365i,-6.8663e-05+0.00064428i,0.00048131-0.00047877i,7.8965e-05-0.00094284i,-0.00058689-0.00079181i,-0.00024917-0.0006665i,0.00042688-0.00061548i,0.00015664-0.00041597i,-0.00043198-0.00075311i,-0.0011299-0.0010604i,-0.001676-0.0007191i,-0.0013092-0.00051801i,8.3934e-05-6.9291e-05i,0.00060511+0.00011777i,0.00062271-0.00064726i,0.00044829-0.00062005i
-0.0030499+0.00066462i,-0.0034734+0.0007898i,-0.0023874+0.00079319i,-0.0020237+0.00088706i,-0.0012309+5.1095e-05i,0.00021662-0.00016641i,0.00027154+0.00026382i,-7.0133e-05+0.00087017i,-0.00010301+0.0014376i,-0.00044634+0.0014604i,-0.00022724+0.0004374i,0.0003364-0.0004136i,6.6994e-05-0.00033123i,-0.00011463-0.00023451i,0.00058113-0.00023453i,0.0012653+0.00012369i,0.00053512+0.00083325i,-0.00020619+0.00059778i,0.0004081+0.00016138i,0.00057358+0.00044901i,0.00054346+0.00014839i,0.00062512+0.0001102i,-0.00035631+0.00045779i
0.0014726-0.0018725i,0.00028274-0.0025585i,-0.00078335-0.0032699i,-0.0018024-0.0028661i,-0.0031685-0.0013529i,-0.0033168-0.00072538i,-0.0019369-0.00016658i,-0.00094891+0.00091841i,-0.00067241+0.00080548i,-0.00073076-0.00033259i,-0.00078388-0.0013265i,0.00011175-0.00062262i,2.6042e-05+0.00048958i,-0.00070126+0.00052927i,-0.00042474+0.0011229i,-4.3099e-05+0.0011332i,-0.00055716+0.0007004i,-0.00079158+0.00052681i,-4.5015e-05+4.897e-05i,-0.00033715-0.00027074i,-0.00066284-0.00027085i,-4.8982e-05-0.00012193i,0.00034161-0.00039444i
0.0017621+0.0018388i,0.00277+0.0015943i,0.0024395-0.00014579i,0.00079413-0.0025588i,0.00048964-0.0030126i,0.00029458-0.0016001i,-0.00067344+0.0002993i,-0.000897+0.0010023i,-0.00077926+0.00056127i,-0.00076867-0.00035947i,-0.00050834-0.0006636i,-0.00034126-0.00025739i,-0.0010258+0.00023614i,-0.0009255+0.00032024i,0.00010559-0.00022228i,-0.00012699-0.00024865i,-0.00039189-0.00023291i,-1.34e-05-0.00032173i,-0.00016945+0.00069908i,-0.00060383+0.0015861i,-0.001018+0.0007357i,-0.00081315+2.4125e-05i,-0.00072952+0.00016213i
-0.0030759+0.0012767i,-0.0032562+0.00062995i,-0.0028393-0.0007496i,-0.0019177-0.0017368i,-0.00069623-0.0011363i,0.00048578+5.2438e-05i,0.0004729+0.00055057i,-0.00020606+0.00041863i,0.00018742+0.00043381i,0.00076285+0.00039531i,0.0002007+1.0701e-05i,-5.3987e-05-0.00041955i,-0.00032829+0.00017415i,-0.00014954+0.000744i,0.00067992-0.00010302i,0.00078166-0.00042195i,8.9922e-05+2.5945e-05i,-0.00013072+0.0003822i,0.00030895+0.00076841i,0.0002289+0.00019435i,0.00036727+0.00020051i,0.00082231+0.00041944i,0.0012193+0.00020892i
0.0020941-0.0010359i,0.0025426-0.0011768i,0.0024747-0.00054266i,0.0026262-0.0010418i,0.0019495-0.001199i,0.00053999-0.0011317i,-0.00041061-0.00038319i,-0.0010329+0.00098422i,-0.00042739+0.00087229i,0.00061861+0.00028608i,0.00042317+0.00040694i,0.0003939+1.4612e-05i,0.00095077-0.00024275i,0.00042912-0.00019676i,0.00071996+1.8919e-05i,0.00087484+0.00027763i,-0.00047739+0.00026442i,-0.00059446+0.00042868i,-1.5668e-05+0.0001385i,0.00016605+0.00024686i,-8.7963e-05+0.0007988i,0.00010288+0.00022349i,-0.00025324-0.00033086i
0.0017583+0.0026625i,0.0018458+0.002199i,0.00067465+0.00030548i,0.00063122-0.001378i,0.00048943-0.001227i,1.4611e-05+0.00025122i,-1.8321e-05+0.0012132i,8.1379e-05+0.0014662i,0.0002819+0.0011942i,0.00018997+0.00014088i,-0.00032534-0.00087549i,-0.00023618-0.00055474i,-1.9984e-05+0.00052166i,5.6945e-05+0.00047385i,3.6988e-05-0.00032872i,0.00022996-0.00069345i,-3.6919e-05-0.00037026i,-0.00059533+0.00023629i,-8.0742e-05+0.00067652i,0.00097479+0.000873i,0.0011095+0.00080674i,0.0006379+0.00091197i,-0.00011778+0.0010866i
-0.0015948-0.00052371i,-0.0008759-0.00066429i,0.000148-0.0014743i,0.0010592-0.0013125i,0.00099884-0.00039905i,0.00043703-2.7174e-05i,0.00052602-0.00048275i,-4.9634e-05-0.0009286i,-0.00095932-0.00052086i,-0.00049437-0.00021673i,0.00013601-0.00080663i,-2.9723e-05-0.0010114i,0.00015752-0.0004521i,0.00061784+0.00021724i,0.00076626+0.00020223i,0.0005724+0.00063371i,-0.00010387+0.00022519i,-0.0005512-0.00018725i,-0.0003057-0.00087718i,0.00011364-0.0012941i,0.00031555-0.00066545i,0.00023122-0.00023495i,9.5919e-05-0.00016865i
