-0.0023843+0.00018174i,-0.00094637-0.0010168i,-0.0020985-0.0016567i,-0.0017381-0.00079546i,-0.0009361+0.00122i,-0.00037635+0.0029765i,-0.00013301+0.002935i,0.00083227+0.0017465i,0.0021207+0.0013384i,0.0015643+0.0010075i,0.00054745+0.00031927i,-3.5185e-05+9.4704e-05i,-0.00075055-0.00019341i,-0.0010472-0.00050381i,-0.00048167-0.00025958i,-6.6926e-05+0.00071331i,-0.00050331+0.0015035i,-0.00052001+0.00091664i,2.4254e-05+0.00021135i,0.00026532+0.00040544i,0.00015269+0.00051067i,0.00040991+0.00051206i,0.00055268+0.0005503i
-0.00011563-0.0014951i,-0.00094431-0.001143i,-0.00086235-0.0007075i,-0.0002652-0.0022199i,-0.00064259-0.0022675i,-0.0012874-0.00042007i,-0.0002488+0.00035684i,0.00061935+0.00032547i,0.00021901-8.4553e-05i,0.00038743-0.00055728i,0.00052675-2.4791e-05i,-5.4944e-05+0.0012287i,-0.0001457+0.00091664i,1.8867e-05+0.00013431i,-0.00020335+0.001064i,-0.00037184+0.001602i,-0.00070596+0.00020995i,-0.00060741-0.00066605i,4.2924e-07-0.0005278i,0.00026397-0.00040115i,-0.00016196-0.00049383i,-0.00060463-0.00060979i,-0.00017133-0.00071972i
0.00075154+0.002518i,0.0015146+0.0011944i,0.0015261+0.0005467i,0.00091456+2.1778e-05i,3.4211e-05+0.00050597i,-0.00081456+0.0016203i,-0.00091345+0.0016941i,0.00017827+0.0015413i,0.00067983+0.00087836i,-0.00045778-0.00014638i,-0.00048669-0.0003209i,0.00019913-0.00010441i,-9.2135e-05+0.00022107i,-0.00045744-6.3927e-05i,-0.00032181-0.00019948i,-0.0006224+0.00014108i,-0.00066189+0.00025838i,-0.00059744-0.00040459i,-0.00035164-0.00053204i,4.624e-05+0.00029359i,-1.755e-05+0.00024892i,-0.00061845-0.00028731i,-0.0001557-0.0004744i
-6.1246e-05-0.0035202i,6.2386e-05-0.0039998i,-0.00035307-0.0036555i,-0.0014387-0.0023029i,-0.0018371-0.00077856i,-0.00070678+0.00013444i,0.00017351+0.00058358i,0.00021387+0.00082062i,-0.00010986-0.00051438i,-0.00064521-0.0014627i,-0.0003674-0.00079314i,0.00023936-4.704e-05i,0.00030498+0.00099039i,0.00016666+0.0017149i,-0.00064886+0.0012674i,-0.00090182+0.00060247i,-0.00054396+0.00039299i,-0.00071239-7.7713e-05i,-0.0012412-0.00034289i,-0.0015644-0.00021897i,-0.0010328+0.00055512i,-0.00025129+0.00098051i,0.00021174+0.00036491i
-0.00032347-9.5597e-05i,0.00029637+0.0010196i,-0.00058185+0.0010418i,-0.00075599+0.0005645i,-0.00011285+0.00051465i,1.8173e-05+0.00025173i,2.8677e-05+0.00044009i,-9.8075e-05+0.00033454i,-0.00010639-0.00014462i,0.00036327-0.00019134i,0.00032926-0.00019414i,-0.00017822-0.00015766i,-0.00048641-0.00030266i,0.00056543-0.00042169i,0.0012255+2.5685e-05i,0.00038251-0.00035252i,0.00033658-0.0011327i,0.00093993-0.0011359i,0.00019124-0.00084179i,-0.00010997-0.00045484i,0.00036243-0.0011462i,0.00089171-0.00075344i,0.0010477+0.0005604i
-0.00016331+4.2004e-05i,-0.00035494-0.00015232i,0.00073236-0.00056673i,0.00095828-0.00019231i,0.00026482-0.00014106i,0.00037789+0.00056935i,0.00011395+0.0014943i,-0.00050951+0.0013016i,-0.00021838+0.0011916i,-5.403e-05+0.0011029i,-0.00032881+0.00052069i,-0.00035675+0.00025215i,-0.00059828+0.00022866i,-0.00050006+0.00076289i,0.00019673+0.001307i,5.2859e-06+0.00074i,7.506e-05-0.00010975i,-0.00015982-0.00029371i,-0.0005271-0.00019739i,-0.00060522-0.00037078i,-0.0007279-0.00072947i,-0.00079208-0.00095923i,-0.00053933-0.00057748i
-0.00028387+0.001166i,-0.00059132+0.00014484i,0.00032844-0.00020748i,0.00092989-5.007e-05i,0.0011147+0.00035782i,0.00095004+0.0005395i,0.00045231+0.00035536i,0.00060983+0.00047271i,0.00080328+0.00027545i,0.00045032-0.00031246i,-0.00021225-0.00011397i,-0.00074653-0.00052696i,-0.00062428-0.00098933i,-0.00010795-0.0010208i,-6.6878e-05-0.0010449i,-4.6977e-05-0.00055705i,0.00045456-0.00064364i,0.00025166-0.00094392i,-2.7661e-05-0.00091809i,-0.00012144-0.00030135i,-0.00038195+0.00030657i,-0.00024519+0.00019853i,-0.00043845-0.00018204i
-9.6605e-05-0.00039643i,0.00031556+0.00027881i,0.0012538-0.0005893i,0.00082559-0.0016614i,-0.0002312-0.0015501i,-0.00061842-0.00044787i,-0.00043062+0.0010256i,-0.0004606+0.0010441i,-0.0008447+0.00014364i,-0.00053905-4.1104e-05i,-1.8197e-05+0.00024264i,0.00067864+0.00041122i,0.00078557+0.00067316i,-7.9285e-05+0.00039057i,-0.00059678+2.0281e-05i,-0.00042553-0.0001551i,-0.00015474-0.00020484i,-3.317e-05-0.00070356i,0.00048984-0.00066601i,0.00065314+0.00013526i,4.2042e-05+1.2425e-05i,-0.00011943-0.00019646i,-9.1784e-05+2.1794e-05i
0.0018847-0.00015191i,0.0028513+0.0002796i,0.002048-4.2452e-05i,0.00019795-0.00092326i,-0.00043447-0.00094939i,-0.00082303-0.00011815i,-0.00093088+0.00091938i,0.00015617+0.00090837i,0.0008605+0.00080244i,0.0004195+0.00084633i,0.00034406+0.00082699i,0.00045014+0.00044062i,0.00021048-0.0001597i,-0.00038792-0.00048203i,-0.0015795-0.00048781i,-0.0019876-0.00048328i,-0.0009206-0.00037882i,-0.00074215-0.00037511i,-0.00096745-9.1168e-05i,-0.00060814+0.00043864i,0.00010262+0.00078219i,0.00014541+0.0010018i,-0.00014799+0.00097905i
0.0014402+0.00049602i,0.0014613+0.00086929i,0.0015629-0.00017685i,0.0010303-0.0014145i,-0.00021149-0.0014146i,4.7226e-05+0.00010233i,0.000354+0.0013213i,8.603e-05+0.0013558i,0.0002177+0.00079139i,-4.9338e-05-0.00036436i,-0.00012291-0.00051181i,0.00047695+0.00019234i,0.00038213+0.00037736i,4.4761e-05+0.00059677i,-7.3591e-05+0.00032151i,-0.00013805-0.00010325i,-0.00024435-4.5634e-05i,-0.00040865-0.00010525i,-0.00077545+4.8287e-06i,-0.00082917-6.8498e-05i,0.00011924-0.00056058i,0.00039783+9.5466e-05i,-0.00033385+0.00029897i
0.00074196+0.0011991i,0.00031912+0.00067315i,-0.00023861-0.001205i,0.00010745-0.0014132i,0.00084142-9.4499e-05i,0.00053547+0.00055058i,-0.00015886+0.0013266i,-0.00073992+0.0023422i,-0.0010628+0.0015144i,-0.00012274-5.3121e-05i,0.00055376-0.00048029i,-4.3726e-05-5.9058e-05i,-7.9733e-05+0.0001786i,0.0004925+0.00041073i,0.001047+0.00053392i,0.0013179-1.2054e-05i,0.0014953+9.6657e-06i,0.001187+5.7522e-05i,-0.0002276-0.00038844i,-0.00092239-0.00054173i,-0.0010639-0.00023062i,-0.00037354+8.536e-05i,0.00029357+0.00044507i
