-0.00062896-0.0010951i,0.0005572-0.0016951i,7.9221e-05-0.001608i,-0.0015438-0.0013788i,-0.0017599-0.0006968i,-0.0012112+0.00074511i,-0.00041381+0.0014591i,0.00038925+0.00099521i,0.0011798+0.00047573i,0.0017034+0.00048067i,0.0015309+0.00016741i,0.00018248-0.00037902i,-0.00043383-0.00057341i,5.5304e-05-0.00082344i,-0.00024966-0.00076904i,-0.00047947-0.0010879i,-0.00021849-0.00096211i,0.00019499-0.00060511i,0.00070258-0.00037318i,0.0010588+0.0001811i,0.00080909+0.0002063i,0.00012343-0.00035403i,-8.4944e-05-0.00027026i
-0.0020649-0.0019902i,-0.0023176-0.0018142i,-0.0023324-0.001088i,-0.0016724-0.00096902i,-0.00086792-0.0012792i,-6.6435e-06-0.0011163i,-0.00024487-0.00037875i,-0.00090306-0.00044158i,-0.00072718-0.00077404i,0.00033856-0.00052809i,0.00097456+9.7985e-05i,0.00087499+0.00045455i,0.00091868-0.00010151i,0.0011006-0.00032883i,0.0013279+3.5734e-05i,0.0013655-0.00028868i,0.00086186-0.00089515i,0.0004744-0.00034491i,0.00014834-0.00010788i,-5.0252e-05-0.0004907i,0.00041781-0.00027999i,0.00066678+6.1397e-05i,0.0002621+0.00070763i
0.0032249-0.001344i,0.0028744-0.0015838i,0.0014197-0.0025791i,0.00027733-0.0025776i,-0.0010972-0.0017368i,-0.0014273-0.0008348i,-0.00030293-0.00030111i,0.00075873-5.0673e-05i,0.0010433+0.00016312i,0.00054727-0.00016569i,0.00022676-0.00015546i,-0.0003073-0.00028802i,-0.00078213+0.0002883i,-0.000553+0.00091405i,-0.00079325+0.0012817i,-0.0007471+0.00094963i,-0.00047173-6.5592e-05i,-0.00010958-8.7736e-06i,0.00046653+0.00051835i,0.00064463+1.3852e-05i,0.00075737-0.00045376i,0.00016914-0.00087672i,-0.00042961-0.00074092i
0.0018601-0.0010243i,0.00084669-0.00038621i,0.00020198-0.0021987i,0.00019309-0.002266i,-0.00068029-0.00050111i,-0.0018825+0.001002i,-0.0011436+0.0012739i,0.00023458+0.00053711i,0.00060961+0.00036382i,0.0003356-5.9664e-05i,-0.00045383-0.00010312i,-0.0013838+0.00022769i,-0.0015391+0.00019004i,-0.0013686+0.00025748i,-0.00094946+9.4632e-05i,-0.00082358-0.00027206i,-0.00025094-5.3033e-05i,0.00030284+0.00092448i,0.00047175+0.0012756i,-8.3371e-05+0.00080186i,-0.00043033+0.00025966i,-6.9152e-05+0.00015152i,-0.00027502+0.00017402i
-0.0008642-0.0011225i,0.00051461-0.0020564i,0.00089817-0.0033469i,-0.00045467-0.0024757i,-0.000895-0.0013345i,0.00015769-0.00015211i,0.00075467+0.00050049i,0.00043755-9.1427e-06i,0.00032418-0.00016958i,9.9592e-05+0.00041192i,9.9694e-05+0.00073029i,0.00070523+0.00037165i,0.0003728+0.00035714i,-0.00012309+0.00030561i,0.00023429+0.00013921i,0.00022985-0.0006543i,-8.856e-05-0.00065402i,-0.00041722-0.00025051i,-5.3461e-05+1.3533e-05i,0.00083325+0.00029101i,0.00083562-0.00041612i,8.0003e-05-0.00032122i,2.4691e-05+0.00011178i
0.00083874+0.00050347i,0.001958-0.00065889i,0.0018671-0.00034138i,0.0019563-0.00082218i,0.0009132-0.0014128i,-0.00059579-0.00092802i,-0.0006949-9.7915e-05i,-0.00032128+0.00058876i,5.8963e-05+0.00042146i,0.00096192+3.409e-06i,0.00030733-0.00061407i,-0.00089256-0.00095759i,-0.00064438-0.00075199i,-0.00033487-0.00068295i,-0.00083197-0.00047113i,-0.001467-0.00090412i,-0.00097436-0.00084274i,-0.00015541+0.00023045i,-8.3144e-05+0.00045071i,-9.4947e-05+0.00062541i,2.2125e-05+0.0012564i,-0.00044445+0.00089443i,-0.001138+0.00035372i
0.0024028+0.0012905i,0.0018289+0.0013648i,0.0022069+0.00080956i,0.0019626-0.00015313i,0.00034758-0.00069929i,-0.0010278-0.00086282i,-0.0011232-7.9857e-05i,-0.00039348+0.00024383i,-0.00013178-0.00016145i,-0.00070965-0.00072162i,-0.00081378-0.0011312i,-0.00032339-0.0011077i,0.00013987-0.00060935i,9.9854e-05-0.00013172i,-0.00057055-0.00050709i,-0.0011216-0.00054933i,-0.000575-0.00010249i,0.00030241+0.00023845i,0.00032823-6.3764e-05i,0.0002742+0.0002023i,8.2114e-05+0.00087107i,0.0002187+0.00045933i,0.00039544-0.00074709i
0.00083961+0.00079685i,0.0011945-0.0004105i,0.001129-0.0010905i,0.00016149-0.0013586i,0.00019439-0.0016948i,-0.00020025-0.00079644i,-0.00040455+7.7854e-05i,8.7143e-05+0.0001348i,0.0006069+0.00017349i,0.00035783-0.00056895i,-0.00032437-0.0013233i,-0.00035746-0.00057544i,-8.1906e-05+0.00016874i,-0.0005217+0.00021781i,3.6102e-06-0.00049514i,0.00024203-0.00015538i,-0.0011218+0.00027505i,-0.0011103-8.8543e-05i,-0.00018108+5.6314e-05i,-0.00011498+0.0004458i,-0.00055017+0.00051056i,-0.00051608+6.8926e-05i,-0.00019338-0.00010608i
-0.00099155-0.00018814i,-0.0019395-0.0010906i,-0.0025556-0.00062307i,-0.0015189+0.00023547i,-0.00054936+0.00040489i,-0.000984+0.00052224i,-0.0012868+0.0013071i,5.5797e-05+0.0015534i,0.0014376+0.00083141i,0.00080292-0.00025219i,0.00056378-0.0010559i,0.00068558-0.0010911i,0.00082926-0.0003106i,0.00085296+0.0004507i,0.00054133-0.00019026i,0.00041615-0.00062023i,-2.8193e-05-0.00020756i,-3.2779e-05-0.00036253i,-4.598e-05-0.00040052i,-0.00011202+6.1474e-05i,0.00040819+0.00046215i,0.00027081+0.00045604i,-0.00066899+0.00013145i
0.00011571+0.0011216i,0.0017595+0.00014709i,0.0022396+9.6411e-05i,0.0010974+0.00017373i,0.00072038-0.00010126i,0.00023332-0.00054371i,-0.0005561-0.00044418i,-0.00074901+0.00014706i,-0.00033073-9.5734e-05i,0.00027252-0.0011038i,0.00064149-0.00099845i,0.00029581-0.0002863i,0.00012008+0.00031459i,0.00033245+0.00026901i,-3.3352e-05-0.00039291i,-0.00024313-0.00046402i,6.3142e-05-0.00036296i,-0.00020945-0.00038813i,-0.00045788-3.221e-05i,-1.2263e-05+0.00055498i,5.9005e-05+0.00066015i,-0.00029078+0.00017503i,-0.00014255-0.00011024i
0.0024239-0.000314i,0.0024373-0.00055178i,0.0013051-0.0013931i,-7.8116e-05-0.001545i,-0.0011577-0.00062155i,-0.0014078-3.7452e-05i,-0.00099752+0.0005522i,-0.00098635-0.00018206i,-0.00095394-0.00045316i,-0.00056716+0.00025244i,-0.00033633+0.00043072i,-0.00014812-0.00064948i,-0.00022838-0.0014123i,0.00034874-0.00037304i,0.0004498+0.00025513i,-0.00075409-0.00017118i,-0.0011276-0.00050192i,-0.0009418-9.9743e-05i,-0.0004841+0.00011707i,8.1164e-05-7.6313e-05i,-0.00053873-0.00042007i,-0.0011239-0.0005806i,-0.0010728-0.00041812i
0.0020981+0.00097037i,0.0012844-0.00034013i,0.0012584-0.0022123i,0.0011069-0.0025259i,0.00010422-0.0022756i,-0.00079349-0.001356i,-0.00040609-2.4435e-05i,0.00059305+0.00079162i,0.0014098+0.00041224i,0.0012004-0.00013694i,0.00056436+9.7727e-05i,2.9563e-05+0.00045248i,-0.00036134+0.00039085i,-0.00050323-0.00041277i,-0.00083721-0.00028107i,-0.00031742+0.00033693i,3.2255e-05+0.00060655i,0.00012241-5.3067e-05i,0.0003683+0.00011787i,0.00066652+0.0004524i,0.00068038-1.514e-05i,0.00076851-0.00041124i,0.00050675-0.00074865i
0.0016504-0.00020603i,0.0017094-0.001759i,0.00020934-0.0017184i,-0.0014445-0.0016506i,-0.0008924-0.0017211i,-0.00025686-0.0012184i,-9.2249e-05-0.00095217i,0.00030313-0.00061776i,0.00061044+9.8326e-05i,9.2571e-05-0.00022643i,-0.00027563-0.0015095i,0.00039215-0.00059257i,0.00061917+0.00081609i,0.00029422+0.00063494i,-0.0002461-0.00021152i,-0.00022029-0.00059001i,-0.00010698-0.00017211i,-0.00046659+0.00033152i,-0.00012458+0.00024777i,0.00039104+0.00030567i,0.00047623+0.00022999i,0.00084736+5.3249e-05i,0.00056865+0.00037226i
-0.0009535-4.7536e-05i,-0.00061401+0.0013731i,-0.00035823+0.0021142i,-0.00018389+0.0010516i,0.00067785+0.00045975i,0.00027546+0.00051096i,-0.00055178+0.00031194i,-0.00055812+5.4663e-05i,6.0267e-05+0.00016691i,-7.4638e-05+3.9347e-05i,-0.00053848-0.00079521i,-0.0010457-0.00068974i,-0.00099028-0.00019857i,-0.00068517-0.00033812i,-0.00048913-0.00098284i,7.359e-05-0.00091659i,0.0001538+1.0297e-05i,-0.00025047-0.0002224i,5.2303e-06+0.00045422i,3.353e-05+0.0013847i,-0.00031506+0.0005632i,9.9165e-05-0.00052235i,0.00054562-0.0005525i
2.1494e-05-0.00046597i,0.0005527+8.2145e-05i,5.4962e-05+0.00042507i,-2.9849e-05+0.00093502i,0.00057203+0.0010247i,0.00094047+0.00065925i,0.0001391-0.00026596i,-0.00010274-0.00071835i,3.2464e-05-0.00026325i,0.00044554-0.00025013i,0.00087463-0.00037228i,0.00021632-0.00057855i,5.9861e-05-0.00063629i,0.00099872+5.7169e-05i,0.0006128+0.00090768i,-8.7421e-05+0.00061067i,0.00022248+0.000242i,-0.00031308-0.00021995i,-0.00099441-0.00082686i,-0.00046843-0.00085355i,-9.7135e-05-0.0006163i,-4.8947e-05-0.00089896i,0.00036515-0.00085818i
0.0028277+0.00090119i,0.0012433-0.00073327i,0.00052168-0.0018796i,-4.6028e-05-0.0020893i,-0.00088152-0.0017763i,-0.00086325-0.00030102i,4.2357e-05+0.00030802i,-0.00038091-0.00011326i,-5.7693e-05-0.00036477i,0.0012868+0.00012664i,0.00090219+0.00066462i,0.00017282+0.00064618i,0.00012509+0.00076291i,-6.4419e-05+0.00087887i,-0.00034756+0.00044546i,-0.000588-0.00048872i,-0.00070118-0.00016572i,-0.00058186+0.00092228i,-0.0001745+0.00033993i,0.00040484+0.00020892i,0.00059895+0.00066676i,0.00034347+7.8333e-05i,0.00022613-0.0008894i
-0.00018818+0.0024246i,-0.00061539+0.002687i,-0.00016772+0.0012895i,0.00023696+0.00087452i,-0.00077526+0.00018444i,-0.0022833-8.8201e-05i,-0.0024436+0.00010226i,-0.0015189-0.0003078i,-0.00011284-0.00098241i,0.0010247-0.00067445i,0.0011319-0.0010079i,0.0012373-0.0005932i,0.0011602+0.00025707i,-0.00011023+0.00021807i,-0.00083615-6.5353e-05i,-0.00027263-8.3642e-05i,0.00054546+0.00093594i,0.0011501+0.0012636i,0.00066867+0.00036094i,0.00013588-0.00081669i,-0.00010268-0.00077534i,0.00033243-0.00048291i,0.00088847-0.00032493i
