-0.0034733-0.00030147i,-0.0030362-0.00010394i,-0.0036574-0.0004035i,-0.0025083-0.00032827i,-0.0015743+0.0012063i,-0.00098436+0.0021336i,-0.00011877+0.0016251i,3.0421e-07+0.0011113i,5.3509e-05+0.0010688i,0.00031779+0.00084682i,0.00060895+0.00030133i,0.00035257-0.00059606i,0.00016578-0.00042387i,0.00031907+0.00064385i,0.00020245+0.00081041i,-0.00043873+0.00020643i,-0.00040209+0.00024927i,0.00024345+0.00099778i,0.00070899+0.00018474i,0.00066164-0.0014067i,-8.541e-05-0.0010936i,-0.00022458+0.00015333i,0.00016123+0.00077652i
0.00070497+0.0020019i,0.0014744+0.00085283i,0.0020616+0.00044065i,0.0024244+0.00092573i,0.0026669+0.00095863i,0.0022433-7.034e-05i,0.0014601-0.00088016i,0.00074064-0.00066773i,0.00037142-0.00042222i,0.00044196-0.00027531i,0.00036911-0.00022159i,-3.933e-06-0.00052378i,-0.00036377-0.00092714i,-0.00034861-0.00053895i,7.0203e-05+0.00015146i,2.6847e-05+5.4499e-05i,0.00019821-0.00063616i,0.00027779-0.00067829i,0.00029138-0.00039626i,0.00039516-0.00010729i,-0.0003726+6.4136e-05i,-0.00057699+0.00043392i,-8.878e-05-0.00016586i
0.00013581-0.00065596i,6.9907e-05-0.00035106i,0.00050985-0.00081171i,0.0009101-0.00060788i,0.0004656-0.00052489i,-5.8551e-05-0.00059524i,-0.0002995+5.9156e-05i,-3.8705e-05-0.00036118i,-0.00042208-0.00091576i,-0.00030837-0.00053402i,0.00014296+0.00010013i,-1.3486e-05+3.2286e-05i,-0.00079338-0.00039095i,-0.00050789-0.00072678i,-0.00016894-0.00099138i,-7.6648e-05-0.00038715i,0.00051526+0.00026785i,0.00067354+0.00065564i,0.00035528+0.00062416i,0.00056145+0.00059131i,0.00096394+0.00086329i,0.00041909+0.00063509i,0.00018396+0.00035979i
0.0033367+0.00072109i,0.0025199-0.00066385i,0.0025814-0.0012166i,0.0023036-0.00068293i,0.00084748-0.00084037i,-0.00019644-0.00028982i,-0.00089096+0.00083983i,-0.00053687+0.00056038i,0.00038291-8.2282e-05i,0.00019057-0.00073408i,-8.6763e-05-0.0010302i,-0.00014179-0.0010841i,-0.00019807-0.0014632i,-0.00031286-0.00097725i,-0.00045143+0.00010807i,-0.00053799+0.00019392i,9.7831e-05+0.00022833i,0.0010769+0.00041554i,0.0008634-0.00038455i,0.0007303-0.00068185i,0.00063821-0.00017132i,-0.00014525-0.00030728i,-0.00027407-0.00027438i
5.669e-05-8.0687e-06i,0.00022866+0.00035326i,-1.3956e-05+0.0011234i,0.00068452+0.00093533i,0.00086781+0.00071895i,0.00040661+0.00082715i,0.00066723+0.00068395i,-6.2681e-05+0.00096681i,-0.00040291+0.00045983i,0.00050228-0.00035705i,0.00052997-0.00048666i,6.117e-05-0.00049641i,0.00013093-0.00019363i,-2.6702e-05-0.00020681i,-0.00051236-0.00059431i,-0.00039315-9.5466e-05i,-0.00071442+0.00086682i,-0.00059044+0.00052656i,-0.00038148+0.00027088i,-0.00037959+0.00031052i,-0.00022441+0.00063378i,-0.00036239+0.0010318i,-0.00084945+0.00070418i
0.0010801-0.00024433i,8.7219e-05+0.00086408i,0.00019403+0.0009835i,0.00041095-0.00024691i,0.0010062-0.00060729i,0.00075126-0.00067223i,-0.0002488-0.00037265i,-0.00056803-3.9866e-05i,-0.00039319-0.00058815i,-0.00018823-0.0013491i,0.00019431-0.0011523i,0.00055659-0.0008194i,0.00052499-0.00026579i,6.002e-05+6.042e-05i,-0.00033921+0.00013975i,-0.00072557+0.00056467i,-0.00061458+0.00029251i,0.00025074+8.2598e-05i,0.00056667+0.00010549i,-8.9515e-06-0.00018473i,-0.00044533-0.00014985i,-0.00056129+0.00014645i,-3.5738e-05-0.0003651i
-0.00067048-0.0026055i,-0.0010644-0.0018956i,-0.00092959-0.0011167i,-0.00051207-0.000264i,-0.00052452+0.0010597i,-0.00025995+0.0013359i,0.0001899+0.00065775i,0.00056834+0.00055735i,0.00031383+0.00010124i,-0.00026031-0.00058433i,-0.00045164-0.00027278i,-0.00027148+0.00013582i,-0.00012939+6.3209e-05i,0.00014198+0.0005532i,-0.00028033+0.0010453i,-0.00049982+0.00039717i,-9.1752e-05-0.00020616i,0.00025491-2.125e-05i,0.00023455+0.00011901i,0.00026608-0.00035663i,-1.0202e-05-0.0012093i,-0.00014001-0.0011486i,-6.881e-06-0.00050032i
-0.0012095-0.000885i,-0.0010091-0.0010325i,-0.0011331-0.00098183i,-0.0011935+0.00035823i,-0.00068306+0.00052824i,0.00024101-3.9152e-05i,0.0010645-0.00065454i,0.00051268-0.0011859i,-0.00040768-0.0010675i,-4.0944e-05-0.00057705i,0.00079289-0.00029937i,0.00026579-0.00076579i,-0.00059708-0.00066068i,-0.000444+0.00025969i,-0.00011872+0.00041061i,-9.3292e-05-0.00020934i,-1.8033e-05+4.9877e-06i,0.00016738+4.7487e-06i,0.00093346-0.00022183i,0.0008558-0.00020524i,0.00049953-0.00041705i,0.00052861-0.00024144i,0.00022915-0.0002144i
-0.00045841-0.00069765i,-8.3613e-05-0.00089179i,-0.00023119-0.00085233i,0.00070103-0.0006896i,0.00092652+0.00067872i,-3.8784e-05+0.0007766i,-4.3019e-05-0.00027519i,0.00010702-0.00050242i,0.00013159-7.8398e-05i,-0.00012783-2.2557e-05i,4.0884e-06-0.00069358i,-0.0002045-0.0005772i,-0.00092341-0.00040033i,-0.0009114-0.00085034i,-0.0012677-0.00081536i,-0.0021187-0.00075257i,-0.00099823-0.00045322i,0.00073682-0.00013966i,0.00094694-0.0001868i,0.00038329-0.00040707i,-0.00069809+8.1226e-05i,-0.00075423-6.2784e-05i,-0.00019676-0.0004665i
0.00044686+0.0012033i,0.00073085+0.00058598i,0.00048734-0.00034735i,0.00012953-0.0010822i,-0.00010045-0.0009938i,0.00043635-0.0008338i,0.0006659-0.00013667i,0.00031003+0.0005216i,-0.00017408-0.00039881i,-3.7301e-05-0.00032168i,-6.6492e-05+0.00035876i,-0.00034612-0.00045894i,-0.00032807-0.00089066i,-0.00064617-0.00078028i,-0.00014009-0.00065907i,0.00077393-0.00017746i,0.00096556+0.00030933i,0.00015466+6.9358e-06i,-0.00058562-0.00069053i,-0.00034946-0.00040873i,-0.00060372+0.00022355i,-0.00034182+0.00050325i,0.00039346+0.00057481i
-0.0011537+4.2708e-05i,-0.0012033+8.5956e-05i,6.2463e-05+0.00029011i,0.00057171+0.0012404i,-0.00016235+0.0014187i,-0.00042819+0.00093039i,-0.00032602+0.00051725i,-0.00064129+0.00056147i,-0.00048272+0.00026397i,9.0665e-05-0.00074132i,9.9921e-05-0.00090572i,-0.00042362-0.00018635i,8.3811e-05+0.00049134i,-0.00020739+0.0009663i,-0.00090322+0.0010085i,-0.00019895+0.00026204i,0.00094973-0.00042079i,0.0011816+6.2534e-05i,0.00068494-0.00010549i,3.3609e-05-0.00045596i,-0.00090514+0.00017184i,-0.0012775+5.9444e-05i,-0.00037472+6.1489e-06i
-0.00022213+0.00018696i,-0.00060776+0.00029132i,-3.8553e-05-0.00013819i,0.0013851-0.00044383i,0.0015253-0.0001536i,0.0016162+0.00036458i,0.0014131+0.00098026i,0.00030196+0.00057352i,0.0002156+8.3192e-05i,-1.2925e-05+0.00047436i,-0.00026464-0.00015907i,0.0001491-0.0011357i,0.00019642-0.00097698i,0.00032874-0.00065893i,3.2672e-05-0.00017772i,-0.00055774+0.00013186i,-0.00061916-0.00016492i,-0.00030157+6.6793e-05i,0.0001062+0.0001922i,-0.00011099-0.00016072i,-0.00041225-0.00011124i,-0.00025023-0.00013283i,-0.00020137-0.00056267i
-0.00080854-0.00080689i,-0.0015852-0.0010469i,-0.00047607-0.0019025i,0.00096894-0.0011852i,0.0014252+0.00010415i,0.00096478+0.00043373i,2.5391e-05-0.00010113i,-0.00033854-0.00031946i,-0.00025777-0.00032951i,-0.0002795-0.0010773i,-0.00066369-0.00065522i,-0.00082876+0.00024155i,2.8694e-05+0.00014176i,0.00037731-0.00023038i,0.00027228-5.8833e-05i,0.00067073+0.0007678i,0.00085889+0.0011581i,0.0015608+0.00062888i,0.0017741-0.00072972i,0.0014092-0.0011703i,0.000522-4.2182e-05i,-0.00029071+0.00076066i,-5.6361e-05+0.00022726i
0.00061611-0.0027278i,-0.00051431-0.002901i,-0.00070148-0.0021618i,-0.00068523-0.0012941i,-0.0013776-0.00020685i,-0.0014244+0.00049345i,-0.00077533-0.00023298i,-0.00042825-0.0012227i,-4.7573e-05-0.0014473i,-0.00032221-0.0012387i,-0.00046879-0.00083768i,-0.0002652-0.00041973i,-0.00081176-0.00030216i,-0.00070557-0.00034384i,-0.00023629+3.7705e-05i,-0.00039257+0.00053714i,0.00035184+0.00054221i,0.00078671-1.9833e-05i,0.00092563-0.00050856i,0.00057585-0.0001772i,-5.9846e-05-0.0001971i,-0.0002571-0.00064881i,-0.00052382-0.00072095i
-0.0011404-0.00081298i,-0.00063162-0.0010575i,-0.0008217-0.00081426i,-0.00056841-0.0004416i,-0.00028932+0.00059426i,-0.00011449+0.0013342i,-0.00016174+0.00065259i,-0.00025289-0.00037056i,5.3229e-06-0.00032499i,0.00038013+0.00046796i,-0.00015551+0.00037257i,-0.00034097-1.0686e-05i,-0.0003094+0.00031422i,-0.00074482+0.00077391i,-0.00041433+0.00041255i,-6.1557e-06+0.00019874i,-0.00042798+0.00023584i,-0.00082398-0.00037841i,-0.00015625-0.00066104i,0.0011773-0.0011663i,0.00066627-0.0010147i,-0.0010829+0.00015884i,-0.0010072+4.0039e-06i
-0.00017265+0.0026023i,0.00045591+0.0032341i,0.0007684+0.0027395i,0.0015686+0.00099063i,0.0023699+8.0835e-05i,0.0024682-0.00046666i,0.0019019-7.9299e-05i,0.0007949+0.00048414i,0.00035374+0.00081487i,0.00062781+0.00038401i,0.0008462+2.1398e-05i,0.00019883+0.00016018i,-0.00010818+0.00014705i,-0.00018956+0.00012084i,-0.00014346+9.4835e-05i,2.9527e-05-0.00022174i,-0.00039016-0.00074077i,-0.00050084-0.00082215i,2.2863e-05-0.00063448i,5.8625e-05-0.00076747i,-0.00049199-0.0013797i,-0.00045226-0.00097919i,-0.00024237-8.4463e-05i
0.00056924-0.0012711i,-0.00015263-0.00049436i,-0.00031103-0.0011334i,0.00049174-0.0012679i,0.00070597-0.00038587i,0.00078889-0.00015532i,0.00099387-0.00047985i,0.00086291-0.0010447i,0.00024669-0.00082263i,-0.00016947-0.00066658i,-0.00093275-0.00060644i,-0.0013494-0.0004646i,-0.00091794-9.183e-05i,-0.00063637+0.00037313i,-0.00068636+0.00010121i,-0.00019291-0.00027174i,0.00022454+0.00010348i,-0.00029036+0.00037362i,-0.0002154-0.00048943i,-0.00041545-0.00079023i,-0.00029357-0.00077738i,0.00020091-7.8516e-05i,0.00057747+0.00060518i
-0.00072581-0.0012887i,0.00031315-0.00091209i,0.0012731-0.0011101i,0.0010646-0.00035041i,-0.00048006+0.0010147i,-0.0010527+0.00089033i,-0.0010483+4.4371e-05i,-0.00073116-3.5085e-05i,-9.2072e-05+0.00029123i,-0.00019517+0.0006407i,-0.00050622+0.00046355i,1.0364e-05-0.0002161i,-2.5215e-05+0.00032949i,-0.00058561+0.00099086i,-0.0012044+0.0008212i,-0.00056101+0.00070039i,0.00077602+0.00020728i,0.0010811-0.00029293i,0.00095161-0.00085858i,0.00049056-0.0011027i,-0.00036313+7.8393e-05i,-0.00067335+0.00112i,0.00019463+0.00056739i
0.0012919-8.1376e-05i,0.002338+0.00031647i,0.0029535+3.9995e-06i,0.0017472-0.0003623i,0.0016895-0.00032199i,0.0012019+0.00035769i,0.00057284+4.9176e-05i,0.0004208-0.00057233i,-0.00010149-0.0010616i,-0.00034982-0.0014603i,-0.00026891-0.0005845i,0.00052063-0.00018081i,0.00074893-0.0010154i,-0.00014411-0.001137i,-0.00025248-0.00027789i,0.0003473+0.00084507i,0.00053308+0.0011738i,0.00063443+0.00058732i,0.0011871+0.00028751i,0.0012441+0.00078415i,0.00025224+0.00085694i,-0.00039281+0.00020516i,5.0229e-05-0.00022032i
-0.0013588-0.00030117i,-0.002993-0.00019186i,-0.0028336-0.00030476i,-0.0016168+5.9205e-05i,-0.00043673+0.00059693i,0.00058872+8.3153e-06i,0.0008001-0.00070012i,0.0008964-0.00072898i,0.00069855-0.00015724i,0.00012911+0.00044901i,-0.00014985+0.00029366i,-0.00055886-0.00051527i,-0.00074195-0.00033553i,-0.00058474+5.8911e-05i,0.00026544+0.00015117i,-3.7329e-05+0.00050071i,-0.00036952+0.0011959i,0.00047965+0.00075529i,0.00061449+6.5507e-05i,-0.00014928+1.6488e-05i,-8.2497e-05+0.0001602i,0.00038254+0.00032658i,0.00012134-0.00075388i
0.00096058+0.0016114i,0.0020416+0.0018015i,0.00227+0.0019824i,0.0016191+0.0015599i,0.00061997+0.00067673i,0.0011961-0.0002463i,0.0017314+6.6103e-05i,0.00088529+0.00012138i,9.7693e-05+0.00011344i,-7.5928e-05+9.2666e-05i,-6.0466e-05+9.759e-05i,-8.2543e-05-6.3111e-05i,0.00025705-0.00042515i,0.00063635-0.00037752i,0.00074391-0.00070841i,0.00092825-0.00029957i,0.00051243+0.00041991i,-0.00044714+0.00070346i,-0.00031793+0.00055736i,5.2653e-05-0.00036697i,0.00020548-0.00063838i,5.1681e-05-0.00021087i,-3.7675e-05+0.00013257i
-0.0029572-0.0010112i,-0.0025989-0.00099303i,-0.0015264+4.2858e-05i,-9.7681e-05+0.0013385i,0.0007863+0.00099873i,0.001415+0.00028683i,0.0011596-0.00024076i,0.0002725-0.00064107i,-4.8039e-05-0.00085604i,0.00020722-0.00061314i,-8.9925e-05+0.00015239i,-0.0002238-5.9669e-05i,-0.00067741-0.00015618i,-0.0008554+5.6446e-05i,-0.00050818-0.00043515i,-0.00037371-0.00020194i,-2.4055e-05+0.00022073i,0.00024161+0.00025931i,-4.3903e-05+5.0228e-05i,-0.00015256-0.00063694i,-0.00040217-0.00093473i,-0.00025119-0.0010129i,-8.557e-05-0.00051202i
-0.0022461+0.0021302i,-0.0015907+0.0023686i,-0.001585+0.0028799i,-0.00069766+0.001901i,0.001233-0.00024204i,0.001644-0.00073438i,0.00078865-0.00050371i,-0.00030608-0.00041826i,-0.00083591-0.0004849i,-0.0005546+0.00021532i,-0.00011317+0.0008957i,-0.00069974+0.0011375i,-0.0014913+0.0010985i,-0.0011152+0.00028928i,9.7652e-05-0.00014574i,0.00085193-0.00031898i,0.00036235-9.5904e-05i,-0.00038905+0.00044569i,0.00066505+0.00053985i,0.0011704+0.00011446i,0.00040761-0.00025781i,-0.00010306+1.699e-05i,0.00014923+0.00022202i
-0.0015158-0.001059i,-0.0017247-0.0022094i,-0.0022323-0.0017419i,-0.00061758-0.00038029i,0.00031676+0.00059368i,0.000567+0.00041449i,0.00057963-0.00028523i,-0.00043031-0.0009414i,-0.00064369-0.0012598i,-0.00046922-0.00093935i,-0.00075753-0.00076748i,-0.00051152-0.00050514i,8.5692e-05-0.00032951i,-0.00026926-0.00091576i,-0.00046539-0.00063078i,-0.00035924+3.4721e-05i,0.00021209-0.00013282i,0.00095494-0.00037584i,0.0013311-0.00018554i,0.00070271-0.00023675i,-7.0372e-06-0.00032763i,-0.00015712+0.00039982i,-0.00053657+0.00094297i
-0.00064588+0.0013623i,0.00038726+0.0003489i,0.00045864+0.00013458i,0.00026915-0.0006782i,0.0004416-0.00055204i,-4.2092e-05-0.00022275i,-0.00046851-0.00078705i,-0.0004081-0.0013462i,-0.00023611-0.0011468i,0.00031491-0.00049276i,6.5361e-05-4.0596e-05i,-0.00080946+0.00037325i,-0.00049275+0.00067405i,-0.00070221+0.00038117i,-4.3823e-05-0.00045723i,0.0010478-0.00041029i,0.0011079+0.00014139i,0.0010836+0.00080469i,0.0010068+0.00055544i,0.00093899-0.00047113i,-0.00015944-0.00081685i,-0.00072936-0.00023198i,-0.00045402+0.0002572i
-0.00074214+0.00017057i,0.00038151+0.00017501i,0.00090534+0.0011273i,0.00087068+0.0022313i,0.0011091+0.0019372i,0.00153+0.00046688i,0.0015066-0.0008865i,0.00060076-0.0010289i,0.00018501-0.00058774i,0.00035027+8.8172e-06i,8.5955e-05+0.00024549i,0.00024683+0.00035461i,0.00025665+0.00039045i,0.00014203-5.0471e-06i,6.9002e-05-2.0689e-05i,0.00014226-1.3634e-05i,-0.00019381-0.000383i,-0.00040755-0.0011015i,-0.00016801-0.00090429i,-0.00020957-0.00041612i,-0.00054045-0.00045471i,-0.00089207+0.0002186i,-0.0010351+0.00071046i
-0.00058698-0.00031233i,-0.0019283-0.00033417i,-0.0022837-0.00094541i,-0.00094781-0.0011158i,-0.00029189-0.00021458i,0.00011264+0.0010196i,0.00028142-0.00014229i,0.00029209-0.00098109i,0.00016828+0.00029723i,-0.0001153+0.0012077i,1.7635e-05+0.0010661i,3.0765e-05+0.00097734i,-0.00041152+0.00053283i,-0.00042547+0.00018766i,-0.00078905+0.0007064i,-0.00052562+0.0011984i,5.3703e-05+0.0011792i,-5.3866e-05+0.00069363i,0.00069982-6.3215e-05i,0.0005669-0.00060272i,-0.00072622-0.00090584i,-0.0015246+0.00019202i,-0.0011578+0.0010187i
0.00082764-0.0022901i,-0.00011017-0.0026803i,-0.0014014-0.0034062i,-0.00025139-0.0011135i,0.00072515+0.00072832i,0.00063231+0.00070359i,1.3147e-05+0.00059966i,-0.0012081+0.00025736i,-0.001447-0.00026714i,-0.00068977-0.00026427i,-0.00052317+0.00031581i,-0.00041051+0.00024634i,-0.00064816-0.00024614i,-0.00071716-4.4946e-06i,-0.00028524+6.9292e-05i,0.00023147-0.00040923i,0.00053791-1.2824e-05i,-6.7514e-05+0.000705i,-0.00055379+0.00036153i,-0.00078422+3.6175e-05i,-0.00095785-0.00012073i,-0.0007663-0.00015951i,-0.00092615+0.00047983i
0.00035913-0.0018779i,0.00030718-0.0010688i,0.00024627-0.0011707i,-0.00050963-0.0013008i,-0.00064155-0.00055934i,-0.00033169+0.000552i,-0.00044319+0.00037566i,-0.00014073-0.00079318i,-0.00017911-0.0014213i,0.00012162-0.0010571i,0.00063723+5.6755e-06i,-0.00026065-8.1545e-05i,-0.0010477+3.9551e-06i,-0.00088155+0.00075445i,0.00026103+0.00058628i,0.00032846+0.00023903i,-0.00086049+0.00038417i,-0.00087728+0.00022343i,0.00037569-0.00016593i,0.00091304-0.0012158i,0.00054644-0.0016327i,0.00015941-0.00060714i,9.2575e-05+0.00023557i
0.0014506+0.0010829i,0.001833+0.00089598i,0.002044+0.0010109i,0.00069081+0.001148i,0.00048063+0.00047872i,0.0011437-0.00046718i,0.00080247-0.00048052i,2.5887e-05-0.00014242i,0.00024818-0.00055214i,0.00031678-0.00086559i,0.00044863-0.00061912i,0.00060148+0.00035702i,5.0815e-05+0.00025274i,-4.9624e-05-0.0010472i,-0.00045926-0.0012963i,-0.00021018-0.00058275i,0.0010054-0.00057415i,0.0011742-0.0005331i,0.00046262-0.00029766i,-7.0719e-05-0.00065888i,8.0823e-05-0.00090147i,0.00010384-0.00084324i,0.00049487-0.00050815i
-0.00067959-0.00094858i,-0.00029114-0.0011905i,-0.00022679-0.001159i,0.00024822-0.0018847i,0.00049917-0.0013597i,0.00086265-0.00066493i,0.0015074-0.0007508i,0.00066439+0.00012543i,-0.00032089+7.6647e-05i,0.00075917-0.00025391i,0.00079084+0.00055741i,0.00010495+0.00017099i,0.00038087-0.0003252i,0.00064087+0.00026044i,0.00063087+8.1716e-05i,0.00018106+7.6833e-05i,-0.00012885+0.00032894i,0.00017528-0.00028834i,0.00014418-0.0009961i,5.9461e-05-0.00095783i,0.00023546-0.000217i,-0.0001619+7.7098e-05i,0.0001938-0.0002744i
0.00028448+0.0010623i,-2.0728e-05+0.00053845i,0.00028881+0.0013438i,0.0010566+0.00095774i,0.00086264+0.00061116i,-0.00073941+0.00056381i,-0.00069618+0.00048118i,0.00078988-3.4497e-05i,0.00043811-0.001012i,0.00012517-0.00048152i,0.00041689+0.00026946i,-0.00015757-0.000162i,-3.4613e-05-0.00043679i,0.00055045-0.00015145i,0.00075692+2.6236e-05i,0.00072393+0.00040148i,0.00031876+0.00079131i,0.00038432+0.00069924i,0.00058756-8.8826e-05i,0.00093725-0.00076999i,0.00054918-0.00075127i,-8.6882e-05-0.00010705i,0.00019628-2.8093e-05i
