-0.001408+0.00085734i,-0.0021538+0.00055193i,-0.0028135+0.00016828i,-0.0021956-0.00037078i,-0.00064523-0.00013177i,0.00061505+0.00017462i,0.0013297+0.00095604i,0.0006921+0.0016672i,-2.8709e-05+0.0010386i,0.00016854+0.00014231i,-1.9028e-06+0.00051276i,-0.00045115+0.00079816i,0.00018006-0.00016831i,0.001402-0.0002743i,0.0010366+0.000512i,0.00055825+0.00056649i,0.00056724-0.00033471i,0.00068109-0.0013583i,3.2645e-05-0.0017788i,-0.00050222-0.0009655i,-0.00046546+0.0004751i,6.3203e-05+4.5597e-05i,0.00040614-0.00057674i
0.00054952-0.00022178i,-3.0921e-05-0.0011427i,-0.00056944-0.0013496i,-0.00089797-0.0011512i,-0.00056431-0.00099792i,-0.00067687+8.6066e-05i,0.00016598+0.00080361i,0.0009815+0.00063956i,0.0006051+0.000286i,0.00041495+8.0021e-05i,0.00033188+0.00017104i,-0.00011215+0.00069841i,-0.00027846+0.00085301i,-0.00088765+0.0015797i,-0.0011613+0.0011896i,-9.5318e-05-0.00016288i,0.00047991+3.0285e-05i,0.00021502-0.00017354i,0.00028781-0.00047791i,0.00091279+0.00039695i,0.00073481+0.00081831i,-4.2733e-05+0.00092004i,-0.00059749+0.0005463i
-0.0014196-0.00048821i,-0.0016006-0.00049507i,-0.00091621-0.00070588i,-0.0010049-0.00015418i,-0.00097705-0.00044601i,0.00035907-0.00067756i,0.0013108-0.0012234i,0.0010671-0.0020188i,0.00014555-0.0011046i,-0.00026433-0.00021476i,0.00031226+8.729e-05i,0.00066078-0.00022329i,0.00061172-0.00073539i,0.00012616+6.0745e-05i,-0.00061164+0.00087606i,-9.5644e-05+0.00055893i,-2.3796e-05+0.0002006i,0.00048445-8.1433e-05i,0.0011976-1.7633e-05i,0.00081415+0.00031123i,3.4309e-05+3.4346e-05i,-0.00010632-0.00088264i,-2.6724e-05-0.00086592i
-0.00037228-0.0011762i,-0.00038722-0.0010464i,-0.00014196-0.0010272i,0.00086209-0.00082945i,0.0012687-0.00018696i,0.0012189+0.00027641i,0.00091821-0.00056671i,0.00067728-0.00075954i,0.0007696-0.00050934i,0.00031585-0.00077145i,-0.00017371-0.00024572i,0.00022755+1.4154e-05i,0.00099647-0.0001082i,0.00080199-0.00024029i,0.00022822-0.0010623i,0.0001848-0.0011221i,0.00042514-5.4273e-05i,0.00015933+0.00018851i,2.303e-05-2.9929e-05i,-1.7343e-05-0.00036556i,0.00024107+1.7637e-05i,0.00026021+0.00074768i,0.00041643+0.0006041i
0.00070354-0.0011751i,0.00021884-0.0017138i,-0.0011208-0.0017097i,-0.00083973-0.00065052i,0.00017699+0.00057934i,0.0011441+0.00063801i,0.0019219-0.0001278i,0.0013311-0.00048213i,0.00014482-0.00046254i,-0.00053949+2.7206e-05i,-0.00090189+0.00052469i,-0.00011049+0.00082666i,0.00038237+0.00098572i,1.3272e-05+0.00031398i,0.0006404+0.00019976i,0.0014259+0.00061076i,0.00080512+0.00060255i,3.7642e-05+0.00046888i,0.00024303-0.00020897i,0.0005865-0.00042818i,0.00050875+0.00038388i,0.00074091+0.00041325i,0.00016782-0.00085516i
0.0016769+0.00099817i,0.0018394+0.0015353i,0.001405+0.00029893i,0.00081324-0.001314i,-0.0004594-0.0017778i,-0.0012154-0.00060019i,-0.00029723-0.00047651i,-4.1982e-06-0.0013003i,-0.00023426-0.00066587i,0.00011513-0.00024669i,0.00057298-0.0004751i,0.00082784-0.00010881i,0.00036699+0.00046375i,-0.00035402+0.00032223i,-0.00058858-0.00021898i,-0.00068115+9.765e-05i,-0.00061454+0.00047494i,-0.0010028-0.00035325i,-0.00099598-0.00064004i,-0.00057886+1.8251e-05i,1.5088e-05+0.00034062i,0.00036333+0.00035659i,0.00015377+0.00016374i
-0.0011946-0.00080587i,-0.0010307-0.0014783i,-0.0013756-0.001973i,-0.0020183-0.0021766i,-0.00075272-0.0023661i,0.00027212-0.00146i,0.00037639-0.00037906i,0.00070187-2.5715e-05i,0.00079038-0.00011603i,0.00047672-0.00031191i,0.0007031-0.00013957i,0.0011437-0.00053532i,0.00079268-0.0010251i,0.00051555-0.00037199i,0.00033642+0.00037518i,0.00047089+0.00046571i,0.00045326+0.00021037i,0.00039076+0.00019723i,0.00064833-0.00027849i,0.00024294-0.00044087i,0.00037973+0.0003331i,0.00084925-2.5119e-05i,0.00021309-0.00068733i
-0.00094605-0.0013741i,-0.0008274-0.0012798i,-0.0013374-0.0024691i,-0.0011185-0.0017854i,-0.00039607-0.00021428i,0.00032697-0.00014672i,0.0011802-0.0010558i,0.00090904-0.0015668i,-0.00036259-0.00096224i,-0.0013247-0.00044846i,-0.00092656+5.2508e-05i,-0.00024616+0.00033745i,0.00023908+0.00054436i,0.00071559+0.0011194i,0.00053545+0.00084459i,0.00034155+0.00029835i,0.00071481+6.1239e-05i,0.0008374+0.00046316i,0.00051551+0.0011654i,0.0002922+0.001437i,-6.0643e-05+0.00084992i,-0.00073126-0.00026413i,-0.00022586-0.00041126i
-1.2302e-05-0.0021652i,-0.00048344-0.0027832i,-0.00091468-0.0017821i,-0.0012407-0.00022331i,-0.00074719-0.00029326i,0.00044325-0.0006362i,0.0015465-0.00092182i,0.0014657-0.0010784i,0.00096273-0.00098218i,0.00048393-0.0010647i,0.00052009-0.0010624i,0.00040605-7.2634e-06i,-8.789e-05+0.0015253i,0.00062603+0.0018566i,0.00075137+0.0011516i,0.00021523+0.00022217i,-0.00033557-0.00041348i,-0.0005687-0.00088268i,-6.5709e-05-0.00076649i,5.2533e-05-0.00086321i,6.7117e-05-0.0011753i,-0.00034509-0.00068181i,-0.00079097-0.00039042i
0.0029261-0.00071694i,0.0038599-0.0022333i,0.0034911-0.0039284i,0.0017301-0.0036791i,-0.00015189-0.0020434i,-0.00076884-0.00071886i,0.00040322-0.00029973i,0.0010334-0.00059529i,0.00095138-0.0007672i,0.00048986-0.00045089i,-0.00047094-8.4662e-05i,-0.00085592+0.00030786i,-0.00033691+0.00072586i,-0.00035501+0.0005745i,-0.00079119+0.00088046i,-0.00035748+0.0005576i,0.00030532-7.5135e-05i,0.00075421+0.00049658i,0.0010869+0.00076965i,0.00092066+0.00047741i,0.0002593-0.00010526i,-0.00011069-0.00046451i,-0.00022591-0.00014521i
0.0030055+0.00058784i,0.0023344-0.00062881i,0.0016227-0.0019624i,0.0010571-0.0019136i,9.2161e-05-0.001265i,0.00025058-0.00099985i,0.0012086-0.000722i,0.0014872-0.00019151i,0.00066789-4.9408e-05i,0.000211-0.00045604i,0.00060994-0.00044093i,-0.00028022-9.323e-05i,-0.0010931+0.0006123i,-0.00057576+0.0018079i,0.0006087+0.0013842i,0.00079299+0.00051076i,0.00022378+0.00017443i,-5.3172e-05+7.9358e-05i,-0.00022979+0.00013877i,0.00011311-0.00017618i,0.00039466-0.0002556i,0.00024667+3.7686e-05i,0.00030844+0.00047512i
0.0018269-0.0026797i,0.0013836-0.0033943i,0.00068478-0.0026327i,-0.00039896-0.001792i,-0.00094755-0.0012131i,-0.001002-0.00011771i,8.1189e-05+0.00018189i,0.00059865+0.00035925i,-0.0003627+8.6844e-05i,-0.0010446-0.00061361i,-0.00070549-0.00049063i,-0.00052639-0.00015766i,-0.00030713+0.00038175i,0.0001709+0.0013191i,0.00019637+0.0017063i,0.00038884+0.00073125i,-7.8569e-05+1.4669e-05i,-0.00070341+0.00068158i,-0.00021961+0.0010774i,0.0010348+0.00088084i,0.0009201-0.00013356i,-3.9295e-05-0.0012237i,-0.00046181-0.0015597i
-0.00032103-0.0025995i,-0.00020103-0.0017067i,-0.00151-0.0005514i,-0.0018874+0.00014722i,-0.00097465+0.00021998i,0.00080583+0.00040286i,0.0022541-5.2454e-05i,0.0014801-0.00072948i,-0.00021989-0.0011152i,-0.00040579-0.00085894i,0.00015817+0.0004913i,0.0003804+0.00096078i,0.0010169+0.00060768i,0.0014224+0.00058676i,0.00090894+0.0016347i,0.00066376+0.0013401i,0.00094017+0.00023714i,0.0003315-3.2351e-05i,-0.00034424-0.00017156i,-9.1419e-05-5.7468e-05i,-8.4012e-05+0.00030445i,9.8596e-05+0.00040081i,0.00013535-0.00038314i
-0.001262-0.00098757i,0.00016173-0.001002i,0.00076914-0.00037217i,0.00040644-1.6637e-05i,0.00027567+4.6727e-05i,0.00086104-0.00081209i,0.0014466-0.0010906i,0.0011349-0.00089345i,0.00036527-0.00084811i,0.00023715+3.2494e-05i,4.7638e-05+0.00031236i,-0.00019225-8.5545e-05i,0.00031366+8.3777e-05i,-0.0003309-0.00014788i,-0.00077455-0.00026579i,-0.00035631-0.00030306i,-0.00013766-0.00092564i,0.00012071-0.00097451i,0.00027478-0.00045108i,0.00042839+0.00090464i,-4.3935e-05+0.0011263i,-0.00018128+0.00010842i,2.1633e-05-8.4845e-05i
0.0017703-0.00040549i,0.0024911-0.0009628i,0.0027589-0.0015342i,0.0016163-0.0021754i,-0.00038738-0.0022757i,-0.0010596-0.0014489i,-0.00011101-0.0012882i,0.0011077-0.0011546i,0.001058+0.00012488i,0.00014399+0.0002572i,0.00010166-0.00084734i,0.00080488-0.00081813i,0.00043514+0.0001506i,-8.0512e-05+0.00035425i,-0.00041014+4.5674e-05i,-0.00044405-7.4832e-05i,0.00012715+0.0002091i,-0.00038781+0.00047631i,-0.0006317-0.00017493i,-0.00034342-0.00016495i,-0.00073792+8.6205e-05i,-0.00086268+3.4447e-05i,-0.00064018+0.00035499i
0.0016195+5.1921e-05i,0.0024639+0.00033208i,0.0027363+0.00063443i,0.0010753-0.00021157i,-0.00079933-0.0011171i,-0.00077937-0.0013314i,0.00050663-0.0004011i,0.0017389+0.00021577i,0.0022019+0.00036351i,0.0010356+0.00029169i,0.00052361-0.00015862i,0.00066569-0.00073344i,-8.6237e-05-0.00033021i,-0.00081303+0.00067136i,-0.0010493+0.00034768i,-0.00056801-0.00048357i,-3.7751e-05+0.00033101i,0.0001495+0.0011362i,0.00043116+0.0015934i,0.00073094+0.00099221i,0.00070053-0.00058364i,0.00081576-0.00066183i,0.00087905-0.00076339i
0.00056383+0.00015795i,0.00066602+0.00084924i,0.00074969+0.00034306i,0.00098774-9.5295e-05i,0.00069721+0.00050757i,0.0004683+0.00064393i,0.0010459-0.00072286i,0.0015809-0.0013618i,0.00055319-0.0003452i,0.00012996-0.00028149i,0.00033948-0.00020884i,-0.00040044+8.1064e-06i,-0.00074543-0.00015478i,-0.00026206-0.00022875i,-4.8056e-05+0.00011624i,0.00022416-0.00023653i,0.00066481-0.00086036i,0.00045587+5.539e-05i,0.00045236+0.00044529i,0.00066941+0.0005502i,5.1752e-05+0.0010469i,0.00015336+0.00034279i,0.00050594-0.00016775i
7.0371e-05+9.1927e-06i,0.0006055-0.00072622i,-0.00065463-0.0017807i,-0.00081321-0.0019685i,-0.0010567-0.0021202i,-0.00098152-0.0016337i,0.00030474-0.0013231i,0.0013407-0.0010601i,0.0016001-0.00066206i,0.0015708-0.00087141i,0.00085572-0.00067961i,-0.00018683+4.4139e-05i,-0.00011173+0.00048945i,0.00035403+7.6619e-05i,0.00053929-5.3062e-05i,0.00071941-0.00043566i,0.00063795-0.00054545i,0.00013219+2.4931e-05i,-0.00043241+0.00066803i,-0.00090093+0.00089752i,-0.00043132+0.0010682i,-0.00013217+0.00060516i,-0.00033609-0.00013564i
0.0019287-0.0004941i,0.0011622+0.00024312i,-6.0084e-05+0.00013363i,-3.6325e-05-0.0014617i,0.0008419-0.001301i,0.0010031-0.00027954i,0.00065912-0.00064651i,7.8088e-05-0.001014i,-0.00040719-0.00087382i,-0.00056261-0.00059327i,-0.00051016-0.00034369i,-0.0003544-0.00045903i,-0.00082618-0.00011144i,-0.0005228+0.00070377i,0.00051832+0.00024655i,6.5946e-05-0.00087487i,-0.00031698-0.00033472i,0.00020418+0.00077016i,0.0003275+0.00024585i,-0.00015992-0.00082662i,-0.00015791-0.00079371i,0.00049452-0.00027615i,0.00076294-0.00061981i
0.00033504+0.00011553i,0.0002655-0.00081129i,-0.00011512-0.001933i,-7.7861e-05-0.0025797i,-0.00013555-0.0015335i,-0.00035431-0.00016822i,9.5626e-05+6.5318e-05i,0.0011657+0.00015899i,0.0013667+9.3573e-05i,-0.00015244-0.00015737i,-0.00071051+8.8295e-05i,-0.00020823+0.00017623i,0.00028317+0.00024286i,0.00012728+0.00028509i,0.0001406-7.2563e-05i,0.00015041+0.00032037i,0.00028725+0.00069534i,0.00032359+0.00068591i,0.00036407+0.00091975i,0.00033924+0.0010838i,2.4591e-05+0.00078554i,-0.00030956-2.1044e-05i,-0.0003042-0.0010745i
