0.00086091-0.00063949i,0.0015445-0.0018978i,0.0024486-0.0020066i,0.0014128-0.0014727i,0.00028483-0.0011137i,0.00011324+0.00041448i,0.00055015+0.0017066i,0.0014367+0.0019675i,0.0018429+0.0009732i,0.0012517-0.00027317i,1.2671e-05-0.0012046i,-0.00077195-0.00076406i,-0.00068116-0.00039947i,9.4344e-05-0.00035965i,0.00076503+0.00050976i,0.00058295+0.00035028i,0.0010723-0.00028308i,0.0012457-0.00077555i,0.00064176-0.00043977i,-0.00025207+0.00036089i,-0.00042279+0.00011904i,-0.00011026-0.00024842i,-0.00048679+0.00010774i
0.00077827-0.00092744i,0.00018474-0.00011058i,-0.00099706+0.0010961i,-0.00018108+0.0013631i,0.00067153+0.00095194i,0.00021581+0.00084767i,0.00056679+0.00045957i,0.00074758+0.00027378i,-0.00026612+0.00062896i,-0.00044147+0.00025179i,-0.00019929-0.00023795i,-0.00027775+0.00012298i,0.00012424+0.00026465i,0.00020431+0.00026334i,4.6372e-05-0.00011998i,0.00042848+0.00028339i,0.00055116+0.00068753i,0.00038043-0.00057783i,0.00034702-0.0015945i,0.00034321-0.0013908i,0.00040971-0.00082466i,2.4285e-05-0.00088281i,-0.00021442-0.00080362i
0.0011935+0.00091519i,0.0016699+0.00035178i,0.0017396+0.00044481i,0.0012983+0.00083533i,0.00058017+0.00034928i,0.00054292-0.00076815i,0.000633-0.00063843i,0.00010414-0.00035558i,-0.00012948+3.8469e-05i,-0.000379+0.00059785i,-8.0441e-05+0.00025998i,0.00033639-0.0001226i,0.00047478-0.00054631i,-7.1246e-05-0.00010776i,-0.00047217+0.00075369i,-0.00034273+0.0007491i,-0.00013361+0.00048798i,4.454e-05+0.00045975i,-0.00018428-7.7078e-05i,-0.00037422-0.00013727i,-0.0003442+0.00052549i,-0.00013633+9.9911e-05i,-0.0001134-0.00036234i
0.0033756-0.0003048i,0.0027746+0.00050729i,0.002507-0.00010673i,0.0018654-0.0013776i,0.0010749-0.00084509i,0.00045749+1.0522e-05i,8.5504e-05+0.00037608i,0.00053949-0.00039827i,0.00053676-0.00094627i,7.405e-05-4.4825e-05i,0.0001326+0.00066033i,7.3945e-05+0.00041121i,-0.00024214+4.5566e-05i,-0.00013414-0.00048447i,-0.00019558-0.00068619i,-9.8438e-05-0.00027918i,-0.00019276+0.00028361i,-0.00053774+0.00038686i,-0.00073965+0.00051446i,-0.00059881+0.00023573i,0.00033964-0.00040938i,0.00055119-7.7551e-05i,8.2509e-05-0.0007804i
0.00026092+0.00022145i,-0.0004086+0.0010795i,-0.0003194+0.0014113i,-0.00055817+0.0007731i,-0.00039706-0.00024646i,-0.00048208-0.00054061i,-0.00069792+0.00032542i,-0.00053045+0.0014431i,-0.00017209+0.0019324i,-5.8984e-08+0.001318i,8.5712e-05+0.00030024i,0.00035732-0.00013833i,0.00029699+0.00024025i,0.00012664+9.5863e-06i,0.00047621-2.3156e-05i,0.00030556+2.2751e-05i,-0.00048859+0.00025397i,-0.0010717+0.00060048i,-0.00079252+0.00020291i,-0.00063281-0.00020568i,-0.0012266-0.00025385i,-0.00064566-0.00054563i,-0.00016949-0.00048831i
-0.0012451-0.0011509i,-0.0016367-1.9245e-05i,-0.0015973+0.00097315i,-0.00033632+0.00045509i,-1.3587e-05-4.6144e-05i,9.145e-06-0.00018345i,-0.00025278+7.8037e-05i,-0.00058641+0.00048569i,-0.00079882+0.00053231i,-0.00058613+0.0004866i,9.5226e-05+0.00057424i,-0.00030377+0.0011076i,-0.00089834+0.00031698i,-0.00082646-0.0006735i,-0.00016815-0.00071523i,0.00071244-0.00042334i,0.00105+0.00057156i,0.0008924+0.00090811i,-0.0001278+0.00042949i,-0.00044723+0.00015757i,-0.00058535-0.00035025i,-0.0010976-0.00041964i,-0.00067576-0.000152i
0.0013947-0.0015415i,0.0010669-0.0018212i,0.00090154-0.0024959i,0.00038293-0.0020197i,-0.00040095-0.0010267i,-0.00075291-0.00021978i,-0.00045271+0.00081633i,0.00042935+0.00075611i,0.00028292+0.00022952i,-0.00044767-0.00035497i,-0.00055975-0.00022137i,0.00024433+0.00050071i,0.0012299+0.00012599i,0.0012928-0.00051992i,0.00025415+0.00014937i,-0.00075878+0.00031239i,-0.00096026+0.00019847i,-0.00077616-0.00021493i,-0.00055024-0.00037975i,-0.00066085+2.3334e-05i,-0.00052261+0.00057851i,0.00035986+0.00075815i,0.0003667+0.00045416i
-0.00028506+0.00068285i,0.0011086+0.00075452i,0.0031135+0.00093535i,0.0028288+0.0010617i,0.0014071+0.001172i,0.00078623+0.00049994i,0.00075764-0.00011859i,0.00099015+0.00054777i,0.00037565+0.00060992i,-0.00021848+0.00025914i,-0.00051006+2.4553e-05i,0.00039755-0.00027253i,0.0014029+2.4316e-05i,0.00075203+0.00078041i,0.00017932+0.00097085i,0.00085521+0.00029154i,0.00070531+0.00011941i,-0.0006074+0.00043419i,-0.00064832+0.00069236i,6.6527e-05+0.00099051i,0.00049378+0.00014172i,0.00039452-0.00056432i,-0.00037336-0.00058096i
0.0022788+0.00038941i,0.001928-6.6069e-05i,0.00091518+0.00027144i,0.00051465-0.00050943i,0.00088385-0.00032328i,0.00099552+0.0011114i,0.0001963+0.0016609i,-0.00039243+0.0010221i,-0.00012131+0.00040081i,3.7529e-05+0.00015589i,-0.00035068+0.00041781i,-0.00019296+0.0011394i,-0.0002227+0.00027163i,-0.00061185-0.00074431i,-0.00041703-0.0005751i,0.00017291-0.00067959i,-0.00013711-0.00065969i,-0.00072349-0.00013616i,-0.00049569+0.00011404i,-6.9592e-05+0.00043485i,-0.00062811+0.00035082i,-0.00090344-9.4751e-05i,7.3992e-05-0.0002512i
-0.0024742+0.0028296i,-0.0027481+0.0021948i,-0.0022895+0.0028233i,-0.00092488+0.0027156i,0.00045653+0.0011044i,0.0010129+0.00021317i,0.00014833-0.00039323i,-0.00050887-0.00078486i,0.00089804-2.7675e-05i,0.0016721+0.0011218i,0.00066568+0.0011381i,0.00056018+0.00054954i,0.0012034+0.00099199i,0.00089177+0.0010205i,0.00015296+0.0013078i,-0.00046045+0.0013889i,-0.00032935+0.00093546i,-0.00036564+0.0011109i,-1.9371e-05+0.0014298i,0.0001041+0.0011438i,-0.00055164+0.00068052i,-0.00029377+0.00054093i,0.00027901+0.00070312i
-0.0028756-0.0016958i,-0.002891-0.0018405i,-0.0020776-0.00013193i,-0.0012716+0.0010036i,-0.00072831+0.001517i,-5.2142e-05+0.0010637i,-2.3194e-05-0.0003119i,-0.00018696+4.4781e-05i,0.0002635+0.00096723i,0.00010178+0.00081229i,-0.0004833+0.0011691i,2.5403e-05+0.0014675i,0.00034274+0.00017968i,0.00017648-0.00045094i,-6.4577e-05-7.851e-06i,-0.00021465+0.00051294i,-0.00034923+0.00037072i,0.00059441+5.6274e-05i,0.0014258+0.00074835i,0.00080147+0.0011346i,0.00017831+0.00057883i,0.00046339+0.00033976i,0.0009118+0.00064398i
