0.00086091-0.00063949i,0.0015445-0.0018978i,0.0024486-0.0020066i,0.0014128-0.0014727i,0.00028483-0.0011137i,0.00011324+0.00041448i,0.00055015+0.0017066i,0.0014367+0.0019675i,0.0018429+0.0009732i,0.0012517-0.00027317i,1.2671e-05-0.0012046i,-0.00077195-0.00076406i,-0.00068116-0.00039947i,9.4344e-05-0.00035965i,0.00076503+0.00050976i,0.00058295+0.00035028i,0.0010723-0.00028308i,0.0012457-0.00077555i,0.00064176-0.00043977i,-0.00025207+0.00036089i,-0.00042279+0.00011904i,-0.00011026-0.00024842i,-0.00048679+0.00010774i
0.10801+0.07538i,-0.042572-0.0072929i,-0.19398-0.018415i,-0.14689+0.049333i,-0.027131+0.061414i,-0.0269+0.023213i,-0.056328+0.011167i,-0.026067-0.0077653i,-0.010437-0.027235i,-0.021955-0.012552i,-0.018577+0.0083852i,0.00012072+0.02071i,0.024756+0.021178i,0.030317+0.0021787i,0.0093309-0.01946i,-0.011404-0.030598i,-0.016742-0.030542i,-0.0088951-0.019687i,0.0015745-0.010342i,0.0022258-0.0074909i,-0.0050539-0.0016431i,-0.0081725+0.0076335i,-0.0043947+0.010437i
-0.12842+0.037982i,-0.02173-0.096993i,0.018076-0.28716i,-0.061513-0.34756i,-0.066967-0.2832i,0.018677-0.22579i,0.0094797-0.16993i,-0.060201-0.066452i,-0.050606+0.010444i,0.0041603+0.0068903i,0.023452-0.012527i,0.01823-0.0036126i,0.016186+0.012631i,0.012344+0.015584i,0.0036322+0.012568i,-0.0088708+0.01787i,-0.02796+0.025744i,-0.044893+0.02003i,-0.047029+0.0071115i,-0.036671+0.0014032i,-0.026106+0.00092332i,-0.018095-0.0009301i,-0.0097186-0.003341i
0.049079-0.1336i,0.13065+0.017i,0.24465+0.14697i,0.25613+0.13839i,0.16489+0.099203i,0.091887+0.080877i,0.065958+0.043029i,0.052687+0.01993i,0.037963+0.019007i,0.011196+0.019167i,-0.0072998+0.023118i,-0.0073665+0.021537i,-0.001987+0.016377i,0.012131+0.0067476i,0.031435-0.015129i,0.042554-0.036284i,0.04284-0.044868i,0.031173-0.037231i,0.015252-0.01828i,0.0063752-0.0059954i,0.0010327-0.006466i,-0.0025186-0.0062942i,6.5046e-05-0.0027178i
0.10525+0.12534i,-0.023535+0.15522i,-0.083658+0.224i,0.049004+0.26639i,0.15805+0.23877i,0.13308+0.17525i,0.095412+0.083268i,0.061836-0.025055i,0.012244-0.063274i,-0.015056-0.027365i,-0.020109+0.0038727i,-0.020819+0.0098426i,-0.022006+0.0034286i,-0.024095-0.0011626i,-0.024775-0.00056845i,-0.029833-0.0055957i,-0.034114-0.01852i,-0.026419-0.03036i,-0.016664-0.031563i,-0.010867-0.021791i,-0.0014389-0.011953i,0.010316-0.0072511i,0.016942-0.0050914i
-0.18293+0.020893i,-0.17809-0.10616i,-0.23177-0.19203i,-0.31619-0.11152i,-0.28837-0.040826i,-0.18202-0.071455i,-0.11102-0.075349i,-0.063509-0.028714i,-0.021858-0.013969i,-0.0046791-0.039594i,-0.011535-0.053255i,-0.027586-0.037534i,-0.040918-0.0063873i,-0.034059+0.02684i,-0.0038466+0.050719i,0.027348+0.058552i,0.043401+0.054706i,0.041132+0.040223i,0.026333+0.018004i,0.014622+0.00083548i,0.010278-0.0080288i,0.0028976-0.011178i,-0.0053483-0.0063912i
0.076384-0.18993i,0.16869-0.12822i,0.19256-0.086607i,0.04399-0.10671i,-0.088717-0.07835i,-0.055258-0.0087456i,0.011174+0.01049i,0.022552-0.00055655i,0.013753-0.00011044i,0.0025035+0.010267i,-0.0034166+0.010225i,-0.0091768-0.0038934i,-0.01032-0.01379i,-0.0033789-0.017081i,-0.0024967-0.021482i,-0.0014736-0.028357i,0.010184-0.033745i,0.025934-0.027659i,0.038117-0.018107i,0.036244-0.015773i,0.018944-0.014885i,0.00090839-0.01077i,-0.0091842-0.0062415i
0.14263+0.17345i,0.061558+0.22535i,0.02349+0.17909i,0.1232+5.4369e-05i,0.20282-0.1165i,0.16766-0.06935i,0.10091-0.0088396i,0.026823-0.0016111i,-0.021659+0.011528i,-0.021283+0.021012i,-0.012003+0.018084i,0.0077246+0.0081316i,0.021756-0.017034i,0.0007037-0.025279i,-0.025193+0.0018836i,-0.033135+0.039771i,-0.03278+0.065466i,-0.026359+0.066364i,-0.013798+0.048131i,-0.003961+0.02859i,-0.00011118+0.01774i,0.0013543+0.011677i,-0.00042583+0.0046212i
-0.24572+0.04543i,-0.27486-0.057657i,-0.20765-0.12069i,-0.07277-0.036976i,-0.015418+0.050781i,-0.059841+0.053573i,-0.072485+0.04161i,-0.0086289+0.035909i,0.028714+0.013075i,0.016499-0.015349i,0.0092255-0.028791i,0.016743-0.020416i,0.024747-0.0055405i,0.026692-0.002619i,0.025773-0.0091736i,0.028355-0.013318i,0.031307-0.0099867i,0.020572-0.00057643i,0.0014682+0.0099767i,-0.004313+0.015137i,0.00030893+0.012681i,0.006041+0.0090118i,0.014132+0.0049109i
0.074943-0.26663i,0.20296-0.2584i,0.27086-0.1319i,0.17773+0.050878i,0.084148+0.14316i,0.07933+0.09587i,0.089584+0.022464i,0.07893-0.003507i,0.068303+0.00069752i,0.069557+0.0073965i,0.064423+0.0010528i,0.037785-0.00075678i,0.016787+0.0026803i,0.0043103-0.012561i,-0.02562-0.033353i,-0.065714-0.039842i,-0.091393-0.038817i,-0.086532-0.032976i,-0.054632-0.022252i,-0.023257-0.01288i,-0.0069859-0.0057831i,0.0015764-0.0017856i,0.007089-0.00075253i
0.2201+0.21278i,0.1759+0.34667i,0.048405+0.38445i,-0.039121+0.23293i,-0.036419+0.070779i,0.028111+0.0062662i,0.065193+0.0038168i,0.034292+0.043387i,0.0039331+0.063818i,-0.0056188+0.047168i,-0.011604+0.035928i,-0.0097608+0.030929i,-0.0022977+0.022054i,0.009583+0.018645i,0.02148+0.021864i,0.02477+0.027536i,0.020845+0.030799i,0.012639+0.025761i,0.0029301+0.021566i,0.0016119+0.022482i,0.0084048+0.020024i,0.010449+0.016682i,0.0071331+0.016565i
-0.31144+0.13035i,-0.4392+0.071094i,-0.45855-0.038401i,-0.33003-0.046925i,-0.19878+0.04251i,-0.14758+0.15555i,-0.11506+0.19105i,-0.09254+0.10505i,-0.098529+0.027672i,-0.094252+0.015513i,-0.072099+0.014541i,-0.050611+0.015112i,-0.02096+0.027438i,0.018921+0.024416i,0.045674-0.014784i,0.043826-0.066113i,0.027825-0.092604i,0.014069-0.082631i,0.0028252-0.051573i,-0.0044795-0.02439i,-0.01001-0.012167i,-0.016314-0.009228i,-0.017553-0.0079021i
0.0096842-0.385i,0.10247-0.53367i,0.19959-0.54771i,0.1256-0.3935i,-0.046142-0.19898i,-0.13925-0.091922i,-0.15895-0.058441i,-0.14143-0.039798i,-0.090345-0.026312i,-0.028171-0.018582i,0.0038336-0.016102i,-0.0051288-0.0090469i,-0.031129+0.0035266i,-0.053172+0.020938i,-0.053868+0.039769i,-0.033445+0.045062i,-0.012852+0.036214i,-0.001818+0.019284i,-0.00247-0.0033458i,-0.014083-0.017121i,-0.025177-0.015238i,-0.029778-0.010455i,-0.029488-0.0057383i
0.35916+0.19115i,0.47042+0.34278i,0.40152+0.4435i,0.19986+0.29634i,0.018991+0.001676i,-0.091089-0.18059i,-0.096046-0.18389i,-0.020415-0.10583i,0.029262-0.044966i,0.019807-0.013935i,0.011758+0.0021824i,0.016022-0.014579i,-0.0014993-0.03451i,-0.01952-0.016862i,0.00068927+0.017484i,0.049768+0.034785i,0.086431+0.026747i,0.084213+0.0092344i,0.058789+0.0014372i,0.037243+0.0011045i,0.025322-0.0032638i,0.021799-0.0083965i,0.020461-0.0079091i
-0.3208+0.29206i,-0.4808+0.40663i,-0.4753+0.37036i,-0.1941+0.21653i,0.11727+0.06384i,0.23478-0.034999i,0.18729-0.068521i,0.085648-0.0634i,0.0072942-0.036647i,-0.025467-0.0028508i,-0.028345+0.01246i,-0.010643+0.0097109i,0.022101-0.0097717i,0.038283-0.04161i,0.014752-0.055393i,-0.022762-0.03479i,-0.042169-0.0010789i,-0.036938+0.019772i,-0.018683+0.018261i,-0.0041508+0.0039477i,0.0022484-0.005601i,0.0027596-0.0082485i,-0.00035346-0.011257i
-0.1551-0.44928i,-0.2415-0.71726i,-0.23458-0.82837i,-0.15371-0.60824i,-0.012392-0.2528i,0.11844-0.046685i,0.14019-0.0060144i,0.084308-0.0083678i,0.045692-0.021349i,0.028904-0.051108i,0.013053-0.051951i,0.016252-0.01671i,0.026437+0.009194i,0.013784+0.015122i,-0.0044845+0.025883i,-0.0072777+0.042843i,-0.0050491+0.054671i,-0.0062513+0.050837i,-0.0096173+0.030053i,-0.010585+0.013473i,-0.0072583+0.011404i,-0.00042509+0.014901i,0.0066005+0.01866i
0.4698+0.034058i,0.72773+0.043028i,0.75361+0.12625i,0.44331+0.19727i,0.070403+0.22718i,-0.07269+0.21127i,-0.019356+0.12233i,0.062516+0.0085953i,0.066686-0.050901i,0.028018-0.039573i,0.010883-0.019257i,-0.0044501-0.016704i,-0.025511-0.0089621i,-0.025595-0.0011053i,-0.01511-0.0053786i,-0.014819-0.020455i,-0.026637-0.039826i,-0.03528-0.042724i,-0.023463-0.026313i,-0.0043636-0.01224i,0.0062614-0.0065951i,0.0133-0.0042946i,0.017622-0.0071859i
-0.18185+0.44547i,-0.17693+0.75124i,-0.09242+0.82375i,0.061518+0.55284i,0.10804+0.18961i,0.024625+0.034476i,-0.011485+0.060507i,-0.0044129+0.085638i,-0.0094523+0.077045i,-0.0076743+0.073621i,-0.0056928+0.077166i,-0.010507+0.071192i,-0.0042472+0.043839i,0.0028615+0.0036911i,-0.015437-0.025443i,-0.047593-0.021148i,-0.051149+0.0021834i,-0.02814+0.012685i,-0.010268+0.0084311i,-0.004269-0.00085776i,-0.0063715-0.009369i,-0.01286-0.0097411i,-0.018086-0.0052876i
-0.35499-0.35625i,-0.71823-0.51805i,-0.91117-0.58387i,-0.77521-0.46864i,-0.42752-0.28375i,-0.13992-0.15204i,-0.039268-0.023449i,0.001329+0.086686i,0.049982+0.086069i,0.045926+0.016114i,0.012681-0.01627i,0.0083895-0.013832i,0.016751-0.0050888i,0.02798+0.013549i,0.044417+0.017006i,0.051946-0.0078379i,0.04766-0.030898i,0.036206-0.029932i,0.025896-0.013961i,0.023872-0.0047938i,0.020446-0.0077165i,0.0098743-0.009565i,0.0068886-0.0052728i
0.43143-0.186i,0.64493-0.43643i,0.6236-0.47614i,0.37137-0.21993i,0.16122+0.063509i,0.08303+0.14133i,0.0051409+0.066354i,-0.056768+0.013407i,-0.043194+0.013515i,-0.021591+0.00018965i,-0.037087-0.034203i,-0.052453-0.05007i,-0.044526-0.035i,-0.023877-0.0085502i,0.0047946+0.0045926i,0.0229-0.0012675i,0.01003-0.0020064i,-0.012354+0.012361i,-0.012489+0.021141i,0.0017992+0.015225i,0.0086773+0.00471i,0.0047708-0.0033295i,-0.0013925-0.0075808i
0.041748+0.4441i,0.35187+0.71222i,0.69977+0.64322i,0.79521+0.23682i,0.50981-0.046579i,0.12412-0.025033i,-0.050217+0.04774i,-0.082677+0.058202i,-0.088316+0.074896i,-0.055504+0.090268i,-0.0091307+0.083018i,0.022889+0.066609i,0.030359+0.032034i,0.0030061-0.0059023i,-0.024951-0.0090476i,-0.014269+0.010301i,0.016561+0.0098838i,0.028092-0.012017i,0.012746-0.021457i,-0.0011449-0.0081931i,-0.00011174+0.0062481i,0.0024499+0.013417i,0.0030129+0.018536i
-0.41327-0.12741i,-0.81615-0.0060629i,-0.98025+0.17963i,-0.77551+0.23149i,-0.45404+0.074782i,-0.23408-0.10438i,-0.098948-0.15255i,-0.012751-0.1261i,0.0017416-0.099874i,-0.00927-0.073136i,0.010139-0.042369i,0.034868-0.02332i,0.034194-0.016394i,0.019613-0.0071164i,0.0070102-0.0014484i,-0.008254-0.01079i,-0.028228-0.029176i,-0.038957-0.041111i,-0.032631-0.036001i,-0.015805-0.021712i,-0.00073752-0.0087347i,0.0086238+0.0010005i,0.017377+0.0042222i
0.24033-0.26682i,0.21196-0.51403i,0.0053576-0.38801i,-0.12798+0.1027i,-0.0096224+0.34124i,0.1192+0.11914i,0.059216-0.093006i,-0.034567-0.084777i,-0.034721-0.044631i,-0.021317-0.055088i,-0.052954-0.053052i,-0.082879-0.010017i,-0.056877+0.034079i,-0.0055125+0.035284i,0.018688+0.016392i,0.017742+0.01258i,0.017176+0.023223i,0.022818+0.034726i,0.019357+0.033896i,0.0033186+0.029085i,-0.0064512+0.026275i,-0.010602+0.018659i,-0.016657+0.014417i
0.15217+0.27153i,0.4888+0.28899i,0.68285-0.0023655i,0.52031-0.31753i,0.25576-0.22634i,0.20671+0.085329i,0.23265+0.19235i,0.13885+0.1362i,0.032245+0.11147i,0.016905+0.1004i,0.019133+0.067632i,-0.0006668+0.046026i,-0.0087693+0.034225i,-0.01024+0.016391i,-0.017806+0.0065555i,-0.0075835+0.0040918i,0.020143-0.0090803i,0.032973-0.022459i,0.022618-0.019154i,0.0073312-0.0068656i,-0.001483+0.00066906i,-0.0051172+0.00090112i,-0.0084253-0.0010402i
-0.31141+0.016725i,-0.55945+0.22276i,-0.66385+0.34237i,-0.65208+0.22066i,-0.57393+0.074901i,-0.3787+0.10256i,-0.14745+0.099129i,-0.053022-0.0029464i,-0.055408-0.043884i,-0.036884-0.03164i,-0.0055082-0.050932i,-0.0076562-0.083676i,-0.032594-0.074742i,-0.035616-0.031079i,-0.015714-0.0012334i,-0.0064618+0.010165i,-0.01245+0.029132i,-0.012856+0.044898i,-0.00067318+0.030678i,0.0056853-0.0026541i,-0.0004727-0.023142i,-0.0033763-0.028797i,-0.004995-0.031335i
0.10038-0.19855i,-0.0088789-0.33544i,-0.093902-0.18792i,0.0090588+0.076931i,0.064735+0.097576i,-0.14876-0.040804i,-0.31176-0.020634i,-0.1954+0.042484i,-0.055087-0.0033552i,-0.03481-0.034623i,-0.029996-0.01635i,-0.0070169-0.011774i,0.006999-0.016114i,0.014725-0.013332i,0.024597-0.0097921i,0.032298-0.00096789i,0.033539+0.011406i,0.028232+0.01519i,0.021397+0.013872i,0.017641+0.015494i,0.01136+0.015728i,0.0015156+0.014072i,-0.0016576+0.0095994i
0.12915+0.12359i,0.37079-0.041634i,0.46712-0.44145i,0.34806-0.73312i,0.20391-0.66443i,0.17432-0.4199i,0.16789-0.2428i,0.10776-0.13095i,0.046226-0.038424i,0.039101+0.027599i,0.071137+0.059785i,0.098082+0.056494i,0.087062+0.029994i,0.039933+0.015722i,-0.0028889+0.026126i,-0.017416+0.02986i,-0.027688+0.0056125i,-0.046426-0.014502i,-0.052104-0.0070388i,-0.036924+0.0044323i,-0.016556+0.0084272i,0.00079974+0.010808i,0.013448+0.0092436i
-0.17519+0.01493i,-0.2563+0.18972i,-0.24176+0.28707i,-0.25041+0.23639i,-0.20391+0.13136i,-0.027268-0.0034761i,0.054157-0.14518i,-0.02418-0.15785i,-0.063475-0.082046i,-0.048571-0.054241i,-0.05066-0.040178i,-0.04408-0.0066231i,-0.026906+0.013543i,-0.019727+0.0098741i,-0.02907-0.0010887i,-0.04419+0.0028854i,-0.038208+0.016622i,-0.016994+0.017462i,-0.007564+0.0033713i,-0.012165-0.010136i,-0.015684-0.013676i,-0.013475-0.0095865i,-0.0084961-0.0027365i
0.11613-0.09165i,0.10815-0.094864i,0.21764+0.14264i,0.46126+0.34415i,0.4946+0.30842i,0.24544+0.25818i,0.077262+0.26563i,0.079332+0.1611i,0.057515+0.021287i,-0.008655-0.015362i,-0.058398+0.0038248i,-0.075829+0.025006i,-0.052112+0.023166i,-0.025292-0.011531i,-0.027091-0.044187i,-0.040325-0.047049i,-0.040286-0.031993i,-0.024257-0.020514i,-0.0043573-0.019908i,0.0088303-0.02324i,0.0061565-0.019784i,-0.0056692-0.0055898i,-0.0065264+0.0052657i
0.037903+0.12182i,0.15183+0.045722i,0.14327-0.19107i,0.077958-0.35191i,0.077941-0.2916i,0.10875-0.1539i,0.12562-0.087274i,0.098518-0.061197i,0.047262-0.0073424i,0.046479+0.039808i,0.059698+0.024819i,0.031255-0.0023829i,0.0029045-0.00011518i,0.0057484+0.0090279i,0.021965+0.0035826i,0.025593-0.018643i,0.010226-0.028624i,-0.0012568-0.014066i,0.00071034-4.3524e-05i,0.0078693-0.001546i,0.012594-0.018998i,0.010183-0.034732i,0.005991-0.030618i
-0.15127-0.046704i,-0.28209+0.081324i,-0.31092+0.23934i,-0.27696+0.37108i,-0.19569+0.35182i,-0.12799+0.13394i,-0.13151-0.021471i,-0.097302-0.0031688i,-0.026996-0.0011728i,-0.027169-0.04742i,-0.038843-0.058743i,-0.019853-0.058256i,-0.0095682-0.043344i,0.0058616-0.01499i,0.031109-0.0075367i,0.04627-0.014104i,0.047316-0.021972i,0.034952-0.027029i,0.020116-0.02614i,0.011426-0.019676i,0.0065419-0.010879i,0.002943-0.0080505i,-0.00027158-0.0083489i
0.14072-0.063106i,0.17624-0.10821i,0.20637+0.058972i,0.24849+0.2609i,0.22348+0.28153i,0.16639+0.22818i,0.15625+0.18555i,0.1408+0.09619i,0.079222-0.0067391i,0.012301-0.046399i,-0.020715-0.033455i,-0.015149-0.013591i,0.0012279-0.010176i,0.0021466-0.010391i,0.0057066+0.0068181i,0.025546+0.023916i,0.031791+0.020426i,0.013429+0.013106i,-0.0042132+0.018664i,-0.0049595+0.034161i,0.0059883+0.047955i,0.015925+0.047929i,0.014855+0.035278i
-0.004784+0.12542i,0.037495+0.13172i,-0.12217-0.028766i,-0.40263-0.14296i,-0.45879-0.063591i,-0.24863+0.032689i,-0.081345+0.011275i,-0.069964+0.010422i,-0.046942+0.083322i,0.030137+0.10201i,0.066252+0.075374i,0.057923+0.065437i,0.035532+0.050997i,0.0068022+0.035158i,-0.015852+0.031319i,-0.031636+0.026509i,-0.036408+0.017365i,-0.024951+0.014761i,-0.0052486+0.024993i,0.011667+0.029117i,0.017449+0.014256i,0.014926-0.00049892i,0.014882-0.00088318i
-0.15275-0.082172i,-0.34903-0.039847i,-0.43557-0.022525i,-0.42304-0.062493i,-0.38797-0.069376i,-0.34426-0.002055i,-0.26787+0.070091i,-0.14593+0.074847i,-0.058243+0.025737i,-0.044778+0.0058258i,-0.031496+0.019615i,-0.0055731+0.0071858i,-0.0052178-0.015687i,-0.016282-0.021675i,-0.031727-0.02203i,-0.045896-0.011449i,-0.041661+0.0054851i,-0.026625+0.0096232i,-0.015922-0.0048106i,-0.014702-0.027891i,-0.016576-0.036136i,-0.015736-0.026678i,-0.011653-0.010271i
0.13224-0.069956i,0.22129-0.24912i,0.30151-0.37009i,0.36667-0.45851i,0.30696-0.49653i,0.14239-0.39316i,0.062817-0.22953i,0.052487-0.14031i,0.009462-0.10983i,-0.042103-0.088015i,-0.079898-0.066713i,-0.083211-0.034819i,-0.036848-0.015412i,0.011626-0.026034i,0.033248-0.045106i,0.038856-0.05594i,0.036082-0.05522i,0.023528-0.042859i,0.0060697-0.024076i,-0.0035612-0.0071131i,-0.0054071+0.0052354i,-0.0066007+0.014026i,-0.0083288+0.017134i
0.012483+0.11243i,0.18472+0.15054i,0.35507+0.040506i,0.43745-0.056418i,0.41913-0.053308i,0.3277-0.078488i,0.19146-0.1016i,0.082795-0.03229i,0.062919+0.036581i,0.069513+0.021779i,0.041705-0.011548i,0.011022-0.0052012i,0.0057343+0.017178i,0.012359+0.027657i,0.019909+0.024239i,0.020846+0.01336i,0.015832+0.0012025i,0.014415-0.013387i,0.016018-0.026415i,0.014557-0.02835i,0.01005-0.022528i,0.0073594-0.015046i,0.0043827-0.015409i
-0.089275-0.054312i,-0.19036+0.065783i,-0.11812+0.29836i,0.054025+0.47716i,0.17093+0.47159i,0.23092+0.35293i,0.245+0.22043i,0.18416+0.09907i,0.086215+0.028307i,0.045974+0.021539i,0.061405+0.0098272i,0.050524-0.018026i,0.0038629-0.013374i,-0.024524+0.02126i,-0.014072+0.050066i,0.014886+0.050958i,0.036168+0.034195i,0.03465+0.020701i,0.015434+0.011065i,-0.0044476+0.0037748i,-0.012073+0.0027485i,-0.0087559+0.0040787i,-0.0055982+0.0026773i
0.10849-0.0022684i,0.1125-0.014275i,-0.060354+0.1499i,-0.28844+0.37865i,-0.37498+0.44048i,-0.30365+0.35047i,-0.18566+0.22732i,-0.096205+0.13098i,-0.037735+0.086983i,-0.01087+0.05564i,-0.013208+0.035655i,-0.0077345+0.039916i,0.012393+0.02978i,0.012803+0.0020772i,-0.0054419-0.012339i,-0.02131-0.010778i,-0.032558+0.00071341i,-0.035755+0.022325i,-0.02108+0.044248i,0.0025121+0.053389i,0.0097681+0.049223i,0.0016406+0.041154i,-0.0012435+0.028931i
-0.067695+0.1062i,-0.086477+0.15813i,-0.18373+0.045364i,-0.31518-0.076597i,-0.35055-0.057369i,-0.30459+0.012751i,-0.2704+0.067743i,-0.21066+0.106i,-0.12514+0.096786i,-0.085614+0.076378i,-0.070534+0.085112i,-0.03842+0.080638i,-0.0083339+0.043757i,-0.0036909+0.0055897i,-0.01378-0.0031592i,-0.016528+0.017061i,-0.015039+0.038737i,-0.012925+0.047621i,-0.0026599+0.03979i,0.0068067+0.0099729i,9.4021e-06-0.026325i,-0.01947-0.041482i,-0.03172-0.025797i
-0.084932-0.11186i,-0.23815-0.20431i,-0.28369-0.33542i,-0.23886-0.52373i,-0.17787-0.63581i,-0.12466-0.57334i,-0.095089-0.42407i,-0.1086-0.25758i,-0.13186-0.1127i,-0.11869-0.037656i,-0.084276-0.020121i,-0.059832-0.02211i,-0.046452-0.022183i,-0.024298-0.014444i,0.0059752-0.016257i,0.021678-0.035095i,0.016453-0.052915i,0.0016304-0.051877i,-0.0085667-0.034541i,-0.0089309-0.02186i,-0.0049392-0.020034i,-0.0010179-0.019472i,0.0026957-0.013963i
0.13947-0.0036425i,0.28541-0.088699i,0.3553-0.11921i,0.34105-0.104i,0.25122-0.092385i,0.12557-0.081356i,0.041061-0.061576i,0.023979-0.050753i,0.041659-0.073857i,0.028835-0.12376i,-0.019184-0.12867i,-0.032273-0.074362i,-0.0073762-0.028421i,0.006523-0.011396i,0.001122-0.002939i,-0.0064366+0.0051103i,-0.0068208+0.0035215i,-0.017876-0.011564i,-0.040508-0.01771i,-0.038504-0.003491i,-0.0081761+0.013077i,0.021741+0.015202i,0.03344+0.00049824i
-0.041498+0.092037i,0.050923+0.19587i,0.22496+0.18673i,0.38708+0.15904i,0.45739+0.21621i,0.46052+0.2798i,0.40859+0.24809i,0.27361+0.14054i,0.13676+0.056336i,0.093013+0.019662i,0.081581-0.01497i,0.042919-0.031128i,0.011865-0.015069i,-6.2717e-05+0.0024981i,-0.0037287+0.022066i,0.0079226+0.041478i,0.023396+0.039247i,0.023522+0.018855i,0.0075053+0.0022528i,-0.00761+0.0011264i,-0.0076676+0.0066549i,0.00049849+0.012912i,0.0067327+0.018346i
-0.059444-0.093612i,-0.23056-0.098866i,-0.34808+0.028332i,-0.34802+0.18439i,-0.25084+0.22204i,-0.12523+0.14296i,-0.032282+0.032251i,0.0048399-0.016949i,0.014938+0.014542i,0.029121+0.056046i,0.037893+0.052748i,0.024613+0.026497i,0.0067212+0.01357i,-0.0042615+0.0065663i,-0.021806-0.004864i,-0.047785-0.0072671i,-0.059786+0.0088787i,-0.041108+0.029454i,0.0010034+0.027677i,0.035065-0.0013514i,0.03428-0.030261i,0.010239-0.036642i,-0.0095963-0.025763i
0.10463+0.039892i,0.17743+0.0087213i,0.086479+0.041003i,-0.095671+0.1384i,-0.22565+0.21038i,-0.26421+0.23126i,-0.20425+0.22814i,-0.079939+0.18009i,-0.0036229+0.11346i,-0.0027905+0.078362i,-0.014464+0.05813i,-0.014652+0.03595i,-0.011306+0.018438i,-0.01264+0.0078954i,-0.018577+0.00015998i,-0.022752-0.010341i,-0.028413-0.015715i,-0.029398-0.006461i,-0.020498+0.004186i,-0.012809+0.0010039i,-0.017576-0.011362i,-0.031011-0.016579i,-0.037507-0.009192i
-0.05928+0.049417i,-0.011973+0.093486i,0.083256-0.047896i,0.068998-0.26297i,-0.048883-0.33469i,-0.090615-0.27429i,-0.080423-0.19575i,-0.12313-0.090423i,-0.15579+0.023823i,-0.13644+0.051958i,-0.12+0.027704i,-0.10357+0.029978i,-0.06654+0.030107i,-0.029843+0.0028376i,0.0046079-0.028123i,0.031547-0.058485i,0.026691-0.085822i,-0.0036098-0.10645i,-0.032149-0.11529i,-0.037712-0.09348i,-0.023941-0.049695i,-0.010385-0.015711i,-0.0086959-0.001193i
-0.01162-0.098685i,-0.10501-0.15024i,-0.12778-0.12188i,-0.090467-0.12577i,-0.073971-0.19935i,-0.10364-0.2597i,-0.15127-0.25124i,-0.19684-0.17582i,-0.21691-0.095884i,-0.19679-0.051728i,-0.13934-0.02069i,-0.057212-0.0028105i,0.012415-0.0111i,0.040712-0.018821i,0.041865-0.0012347i,0.044407+0.026377i,0.054307+0.033994i,0.043805+0.023646i,0.012213+0.022713i,-0.0078931+0.03225i,-0.0094444+0.035065i,-0.00090879+0.02793i,0.015062+0.0072342i
0.066466+0.082364i,0.1438+0.11166i,0.12134+0.15478i,0.11299+0.15819i,0.16798+0.090177i,0.17557+0.058059i,0.14589+0.076275i,0.11918+0.021778i,0.080307-0.075247i,0.062908-0.10874i,0.064308-0.088983i,0.049584-0.060063i,0.027005-0.041143i,0.0064679-0.032235i,-0.010761-0.015752i,-0.013535+0.0073703i,-0.009592+0.01738i,-0.012288+0.023876i,-0.0075133+0.044335i,0.023627+0.051203i,0.060337+0.018223i,0.069284-0.024025i,0.058879-0.035604i
-0.10415+0.010335i,-0.17295+0.072773i,-0.18307+0.065039i,-0.14291+0.0726i,-0.066319+0.14583i,0.019272+0.20566i,0.056781+0.17582i,0.055443+0.086745i,0.055537+0.0085722i,0.068901-0.036752i,0.078429-0.063288i,0.053188-0.067049i,0.013304-0.035124i,-0.0016306+0.003593i,-0.0050766+0.016876i,-0.017909+0.014235i,-0.027704+0.010673i,-0.016722+0.0031015i,0.0095655-0.016919i,0.028581-0.038562i,0.03399-0.038203i,0.031437-0.023428i,0.021275-0.0090307i
0.020388-0.11974i,-0.043147-0.26351i,-0.061518-0.29484i,0.023978-0.21389i,0.1353-0.11968i,0.17973-0.0826i,0.17374-0.065051i,0.17496-0.034272i,0.1786-0.010838i,0.14161+0.0073219i,0.074637+0.017542i,0.016701+0.027706i,0.00060031+0.048325i,0.02046+0.053177i,0.03877+0.036163i,0.050561+0.012035i,0.061216-0.010826i,0.067235-0.016691i,0.076314-0.014914i,0.077452-0.021399i,0.051893-0.018516i,0.018144+0.0055922i,0.0046362+0.030773i
0.07518+0.080644i,0.23901+0.07626i,0.27277-0.012057i,0.10297-0.088482i,-0.13331-0.036699i,-0.21549+0.065789i,-0.12793+0.093597i,-0.068329+0.10385i,-0.10508+0.16854i,-0.13705+0.20673i,-0.14055+0.17478i,-0.13205+0.1295i,-0.11286+0.090372i,-0.10668+0.049648i,-0.11291+0.015334i,-0.11233-0.0064011i,-0.10753-0.024046i,-0.11899-0.052864i,-0.13636-0.071423i,-0.11576-0.044071i,-0.057675+0.0085836i,-0.0026691+0.038501i,0.022389+0.028922i
-0.086104+0.0071819i,-0.080838+0.13969i,0.045401+0.25241i,0.14483+0.32159i,0.13211+0.33362i,0.07184+0.25589i,-0.038373+0.12888i,-0.19549+0.050017i,-0.3169+0.032744i,-0.34435+0.013825i,-0.28803-0.014836i,-0.19692-0.042418i,-0.10851-0.072021i,-0.037996-0.090505i,0.019472-0.076811i,0.07135-0.043213i,0.11088-0.022574i,0.13973-0.015702i,0.15279-0.011184i,0.11916-0.0033002i,0.036647+0.0017631i,-0.05194+0.0078953i,-0.092777+0.025511i
