-0.0020159+0.00058171i,-0.0014704-0.00015387i,-0.0024141+8.2489e-06i,-0.0025671+0.00074544i,-0.001607+0.0010791i,-0.00052782+0.0011842i,-0.00080504+0.0017366i,-0.0014375+0.0018315i,-0.0004292+0.0015237i,0.00091808+0.0011141i,0.00087641+0.0006816i,0.00088775+0.0006172i,0.0007996+0.0008294i,0.00015022+0.00073557i,0.00036914+0.00077178i,8.775e-05+0.00016434i,-0.00025076-0.00042372i,-0.00032197-0.00096223i,-0.00013851-0.00076879i,-0.00025337-0.00069298i,-0.00089065-0.00058481i,-0.00086451-2.1768e-05i,-0.00032935+0.00029685i
-0.00093242+0.0016141i,-0.00067384+0.0021278i,0.00060508+0.0028185i,0.0023118+0.0028216i,0.0022948+0.0017892i,0.0013444+0.00048878i,-0.00011965+0.00032046i,-0.0014308+0.0007472i,-0.0011979+0.00041785i,-0.00030494-0.000248i,5.2965e-05-0.00014581i,0.0004113+0.00051236i,0.00044798+0.0008181i,0.00015786+0.00036328i,0.00022039-0.00013545i,0.00023018+1.9661e-05i,9.6842e-05+0.00015167i,0.00079546-5.3738e-05i,0.00094736+3.981e-05i,0.00041369+1.9197e-05i,-0.00010786+0.00032749i,-0.00023022+0.0004331i,-2.6263e-05+0.0004685i
0.00097949+0.00073267i,0.00070903+0.0011794i,-7.2602e-05+0.0006529i,-0.00050913-0.00068256i,0.00056386-0.0015639i,0.00041102-0.0014308i,-0.00089012+2.605e-05i,-0.0010162+0.00080914i,-0.00046164+0.00092699i,-0.00082023+0.00060922i,-0.00022471+0.00019943i,0.00032329-0.00032426i,-0.00022709-0.000535i,-0.00043041-0.00023508i,-0.00075116-0.00014885i,-0.0012741-0.00016244i,-0.00055228-5.1962e-05i,0.00038416-0.00030468i,9.1235e-05-0.000328i,-0.00079077-0.00038858i,-0.001191-0.00055903i,-0.00068579-0.00031412i,-0.00030687-0.00029217i
0.0003511-0.00029266i,0.00028169-0.0017155i,5.8841e-06-0.0021463i,-0.00053494-0.0011335i,-0.00054182-0.00037807i,-0.00040245+0.00027806i,-0.0016618+0.000649i,-0.0020555+0.00063911i,-0.0015538+0.0014439i,-0.00092789+0.0020491i,-0.0006864+0.0013621i,-0.0013479+0.00094203i,-0.00080452+0.00038681i,-7.1071e-05-0.00021133i,-0.00053508-0.00041101i,-0.00034469-0.00064821i,0.00021242+0.0002291i,-0.00017+0.0008518i,9.532e-05+0.00030596i,0.00046993+0.0010397i,0.0001645+0.0010971i,-0.00012557+0.00018074i,0.00011376-1.6857e-05i
0.00098352-0.00040231i,0.0015793-0.0017227i,0.001413-0.0016725i,0.0010954-0.0016096i,0.0016864-0.0010348i,0.0014016-0.00016312i,-0.00076066-0.00050665i,-0.0023711-0.00066954i,-0.0014024-1.6617e-05i,-0.0003587+0.00068823i,-8.0321e-05+0.00091435i,0.00023656+0.00087432i,-2.8594e-05+0.00021074i,-0.00018787-2.2678e-05i,-0.00055938+0.00024942i,-0.00092876+0.00039395i,-0.00045565+0.00064723i,0.00015795+8.263e-05i,0.00019797-0.00053158i,0.00023252-0.00051685i,0.00029898-0.00048846i,0.00011708+0.0001583i,1.2869e-05+0.00044228i
-0.0014453-0.0012521i,-0.00011489+0.00018085i,-0.00015578+0.00053378i,-0.00013927+0.00042424i,6.3289e-05+0.00083375i,-0.00037176+0.00082204i,-0.00093235+0.00045324i,-0.0017697+0.00022957i,-0.0020615+0.00016723i,-0.0013053+0.00019165i,-0.00083774+0.00079364i,-0.00064458+0.00080976i,0.00022818+0.00013726i,0.00049351-8.2303e-05i,0.00059377-0.00011652i,0.00069745+0.00052343i,0.00041491+0.00078604i,-0.00040403+0.00037955i,-0.00093105+4.368e-05i,-0.00056847+0.00021696i,-0.00035314-1.8082e-07i,-0.00092624+0.00018084i,-0.00065066+0.00057143i
0.0012981+0.0011879i,0.00079198+0.00091034i,0.0016523+0.00037995i,0.001976-0.00057498i,0.0019763-0.0011243i,0.0012168-0.0010649i,0.00048195-0.00039876i,-0.00025583-0.0001694i,-0.00057383-0.00023937i,-0.00069608+1.3883e-05i,-0.00085072-0.00038583i,0.0001017-0.00074192i,5.6238e-06-0.00065115i,-0.00072401-0.00058662i,-0.00055706-0.00047644i,-0.00044163-0.00063419i,-0.00057468+0.00043768i,-0.00016182+0.0012794i,0.00090755+0.001456i,0.0011209+0.00061366i,0.00025059+6.747e-05i,3.5205e-05-0.00013115i,0.00016552-0.00027338i
-0.00069086+3.3492e-05i,-0.0015038-0.00025267i,-0.0010659+0.00039637i,-0.00011805+0.00047629i,0.00032665-0.00063446i,-0.00012826-0.0020992i,-0.0012255-0.0020489i,-0.0017682-0.00093702i,-0.0015472+0.00020887i,-0.0012175+0.00046569i,-0.00075435+6.5993e-05i,8.2077e-05-0.0004511i,-0.00047745+0.00029528i,-0.00066918+0.0013524i,-0.00027449+0.00059302i,-0.00075659-0.00011596i,-0.0010052+0.00039376i,5.0967e-05+0.00081216i,0.00056374+0.001152i,0.0001079+0.00077208i,0.00020137+1.2509e-06i,-0.00022603+7.9012e-05i,-0.00048593+0.00077746i
0.0017855-0.002001i,0.0021116-0.0024764i,0.001455-0.0018318i,0.00028309-0.0017752i,-7.3726e-05-0.0017372i,-0.00036229-0.0008103i,-0.00013106-3.5076e-05i,-0.00052458+0.00081183i,-0.0010043+0.00066677i,-0.0011697+0.00046308i,-0.00065376+0.00061191i,-0.00055065+0.00029337i,-0.00067457+5.1729e-05i,-0.00024753+5.7916e-06i,-0.00036176+0.0001518i,-0.00095224-0.00033223i,-0.00058263-8.9175e-05i,0.0005059+0.00044261i,-0.00010954+0.00052272i,-0.00061165+0.00050517i,-0.00071945+3.1265e-05i,-0.001217+0.00018608i,-0.0011655-6.4204e-05i
0.00032109+0.00028745i,0.0011108-0.00080341i,0.0015356-0.0006584i,0.0010652-1.9012e-06i,0.00045639+1.121e-05i,-0.00014733-0.00079049i,-0.00096766-0.00016669i,-0.002316+0.00060182i,-0.002474+0.00031033i,-0.0011144+0.00036141i,0.00049976+0.00077823i,0.00077776+0.00046414i,0.00064364-8.9768e-05i,0.00072424-0.00033302i,0.00074774-0.00084452i,0.0010868-0.0012763i,0.0010683-0.00050172i,0.00047538+0.00049474i,9.7767e-05+0.000222i,-0.00022807-0.00018138i,-0.00090417-8.5072e-05i,-0.00071615-5.1709e-05i,0.00074567+0.00023421i
0.0013081+0.0032361i,0.00010566+0.0030851i,0.0019038+0.0027399i,0.0026142+0.0012162i,0.0024803-0.00061995i,0.0013462-0.00073867i,-0.00053676-3.2761e-05i,-0.0013097+0.0001816i,-0.00081345+0.00013946i,2.7582e-05+0.00013601i,0.0003334+0.00051777i,-0.00037752+0.0010382i,-0.00024947+0.00053934i,0.00033326-0.00035499i,-4.1592e-05-0.00050041i,-0.00013039-0.0003811i,0.00046752-3.8848e-05i,0.00050149+0.00035782i,0.00047443+0.00085281i,0.00041548+0.00035792i,0.00046378-1.0116e-05i,0.00074909+0.00048157i,0.00040832-5.9149e-05i
-0.00031303-0.00082146i,0.00031814-0.00026507i,0.00090887+0.00074384i,0.0010761+0.0012127i,0.00097973+0.00057307i,0.00027909-5.4963e-05i,-0.00056562+0.00015464i,-0.0011352+0.00067867i,-0.001168+0.00056847i,-0.00073021+0.00066491i,-3.9864e-05+0.00013674i,0.00010213-0.00071933i,2.0383e-05+3.0777e-05i,0.00060705+0.00072916i,0.00047953+0.00079197i,2.7731e-05+6.6494e-05i,-0.00015632-0.00046805i,8.3304e-05-0.00030456i,0.00086761-0.00015076i,0.00035852+0.00010467i,-0.00096897+0.00045008i,-0.0016331-6.4061e-05i,-0.0014565-0.00031231i
-0.00045835-0.00093229i,-0.00087572-0.0018919i,-0.0009997-0.0013803i,-0.00032161-0.00082351i,0.00042856-0.001191i,0.00046262-0.00088695i,0.00049015-0.00025948i,-0.0003277+0.00016423i,-0.0010847+0.00021935i,-0.00046573-8.235e-05i,-0.00015373-0.00018535i,-6.7431e-05-0.00023175i,0.00036862+0.00021201i,-0.00042365+0.0010279i,-0.00070299+8.3533e-05i,-0.00047433-0.00065701i,0.00010513-0.00014318i,0.00042663-0.00033688i,-0.00042633-0.00063611i,-0.0010644-0.0006453i,-0.00075964-0.00034816i,-0.00015933+0.00025083i,0.00013441+0.00010711i
0.0012077-0.00098157i,0.00091678-0.00077285i,0.0013434-0.0018896i,0.0022297-0.0026697i,0.0017848-0.0018955i,0.0011477-0.00069306i,-0.00013075+0.00028543i,-0.0012271+0.00065583i,-0.001207+0.00010196i,-0.0015769+0.00057762i,-0.00092829+0.00086416i,0.00072411-0.00014244i,0.00077984-0.00028113i,-0.0005748+0.00012505i,-0.00086129+0.00013053i,-0.00044466+0.00032332i,-0.00059163+0.00021663i,-0.00013824+7.4423e-05i,-9.6476e-05+0.00072114i,-0.00066294+0.0011005i,-0.0012293+0.00083713i,-0.0010196+7.9386e-05i,-0.00035785-0.00072861i
-0.00056851+0.00054498i,-0.00050029+0.0012089i,-0.0004201+0.0014496i,0.00033274+0.0012466i,0.0016019+0.0011838i,0.0010356+0.00062673i,-0.001093-4.5895e-05i,-0.0014103-7.0149e-05i,-0.0010255+0.00041244i,-0.00060592+0.0010639i,-0.00029945+0.0015214i,-0.00031599+0.0013598i,-0.00045788+0.0013484i,-0.00013609+0.00079456i,-0.00035747+0.00013494i,-0.00061243-0.00024939i,-0.00064194-0.00012711i,-0.00052787+0.00021399i,-8.0707e-05+0.00091148i,-0.00072075+0.0010698i,-0.00084645+0.00058766i,4.9413e-05+0.00014519i,-8.4186e-05-9.7555e-05i
0.0013329-0.0018137i,0.00048683-0.0013911i,0.00064059-0.0012665i,0.001855-0.00088937i,0.00081821-0.00053421i,-0.00075783-9.446e-05i,-0.00051872+6.896e-05i,-2.1003e-05+0.00024597i,-0.00012077+0.00043442i,-0.00054393+0.00030283i,-0.00060091+0.00032849i,-0.00015813+0.00063224i,0.00056415+0.00067457i,0.0010258+0.00038984i,0.00087045+0.00014579i,0.00032666+0.00011724i,5.0017e-05+0.00018362i,0.00050827-0.0001908i,0.0015897-0.0004265i,0.001646-0.00038958i,0.00034322-0.0010191i,0.00031988-0.00057368i,0.00038463+0.00041322i
-0.0010188+0.0014919i,-0.0011842+0.0014442i,-0.0010153+0.0019391i,0.00061668+0.001166i,0.0015127+0.00010597i,0.00079972-0.00058706i,-0.00033101-0.0001893i,-0.0010813+0.00044657i,-0.0010076+0.00061513i,-0.00018823-0.00011504i,0.00052896+1.6797e-05i,0.00050045+0.0010981i,0.00033568+0.0010849i,-0.00013383-0.00013524i,-0.00017319-0.00057588i,-0.00048023+7.7177e-06i,-0.00090449+0.00020363i,-0.00068028-0.00028825i,-0.0005539-0.0010628i,-0.0002787-0.00084375i,-0.0005675-0.00041162i,-0.00092583+1.5095e-05i,-0.0011159+0.00028786i
-8.5757e-05+0.0014703i,-0.00033588+0.00096359i,0.00035465+0.00032938i,0.0003918+0.0003342i,0.00067153-0.0001109i,0.00047212-0.00071167i,-0.00076619-0.00055541i,-0.0014067+0.00021155i,-0.0015149+0.00078852i,-0.0014136+4.0315e-05i,-0.00042535-0.00051398i,-0.00024924-0.00025169i,-0.00060956-0.00037953i,-0.0011521-0.00030277i,-0.0012694-0.00043404i,0.00023357-0.00022897i,0.00096527-0.00020629i,-2.0236e-05-0.00072882i,-0.00078299-2.74e-05i,-0.00093834+0.00057106i,-0.0010487+0.00022947i,-0.00063846-0.00070199i,0.00060174-0.00082108i
0.00052311+0.00020095i,0.00064733+0.002039i,0.0013439+0.0024922i,0.0013985+0.0010309i,0.00138+0.00016784i,0.0017947-0.00030468i,0.00094746+0.00036764i,0.00025077+0.00043598i,0.00034244-0.00025312i,-3.1577e-05-8.6735e-05i,-0.00032149+0.00015954i,0.00044241+0.0006354i,0.0012592+0.00062388i,0.00068239-8.8607e-05i,-0.00017371-0.00016241i,-3.1332e-05+1.7878e-05i,9.6255e-06+0.00013861i,0.00065729+0.00038758i,0.0010387+0.00035415i,0.00039028+9.0068e-05i,-6.1281e-05-0.00070211i,-0.00070488-0.0009242i,-0.00023814+1.3642e-05i
0.0027042-0.001583i,0.0022914-0.00082261i,0.0016026-0.00031006i,0.00019828-0.00056151i,-0.00069116-0.00063559i,-0.00073113-0.00037164i,-0.00042118-0.00021298i,-0.00038635+0.00035366i,-0.0010058+0.00048038i,-0.00094237-0.00027245i,-0.00038002-0.00038701i,-1.081e-05-1.472e-05i,-5.1535e-05+0.00032725i,-0.00042022-0.00014698i,-0.00015348-0.00056598i,0.00015035+0.0003106i,-0.00041041+0.00068238i,-0.00010121-1.8771e-05i,0.00051392-0.00034353i,0.00049515-4.6748e-05i,0.00077408+0.00062104i,0.001202+0.00015165i,0.00088332-8.3113e-05i
0.00093112+6.4865e-06i,0.0013961-2.3156e-05i,0.001441+0.00054082i,0.0011761-0.00029601i,0.00093679-0.00085755i,0.00055119-0.00057507i,-0.00010868-0.00034196i,-0.00065813-0.00056835i,-0.00061205-0.00029122i,-9.7144e-05+0.00068768i,-2.1133e-05+0.00064917i,-3.2987e-05-0.00035617i,0.00024995-0.0011233i,0.00069698-0.00054043i,0.0007543+0.00041271i,0.00035395+0.00026345i,0.0006093-7.2833e-05i,-5.2485e-05+0.00017777i,-0.00048053+0.00021272i,9.3885e-05+0.00027299i,-0.00018964+0.00036828i,-0.00023465+0.00032102i,-0.00016507+0.00014455i
-0.0011717-0.00088584i,-0.0010275-0.00043933i,-0.00094835-0.00010162i,-0.00040046+0.00073771i,-0.00051816+0.00097476i,-0.001639+0.00038136i,-0.0021263-0.00025847i,-0.0014203-0.00014984i,-0.00026882+0.00019581i,-0.00026501+0.00018533i,-0.00086615+0.00034618i,-0.00012584+0.00047258i,0.00036478+0.00063797i,9.7199e-05+0.00060089i,-0.00019498-9.5214e-05i,6.0411e-05-0.00054027i,0.00046733-0.00056692i,5.9984e-05-0.00040151i,-5.0661e-06+0.00013671i,-0.00022475+0.00047668i,-0.00036674+0.00027534i,-0.00025007+0.00052622i,-0.00016883+0.00061978i
-0.0025009+0.00069081i,-0.0025161+0.0012287i,-0.00106+0.0014592i,0.000676+0.00084458i,0.0024917+8.6589e-05i,0.0020959+8.8784e-05i,0.00025749-0.00060226i,-0.0005632-0.0016505i,-0.00066146-0.00093714i,-0.00055558+0.00066752i,0.00013092+0.0012343i,0.00042967+0.0015218i,-0.00041432+0.00084534i,-0.00066896+0.00023427i,4.7121e-05+0.00044742i,0.00032249-4.7771e-05i,-0.0004285-0.00029516i,-0.00063953-4.2619e-05i,-0.00011259-0.00035953i,-0.00029589-0.00040377i,-0.00080591-0.00039488i,-0.00052083-0.000663i,-0.00059466-0.00089714i
-0.00029756+0.0012515i,-0.001851+0.0010365i,-0.001945+0.0008792i,-0.00090307+1.6591e-05i,0.00021841-0.00061254i,8.2215e-05-0.0010276i,-0.0010792-0.0008474i,-0.0015377+0.00022781i,-0.0015545+0.00045015i,-0.001294+0.00096466i,-0.0010742+0.0010352i,-0.00013782-0.00030336i,0.00026151-0.00085621i,-0.00071794-0.00054473i,-0.00080798-0.00065084i,-0.00040597-0.00065201i,-0.00092086-7.9242e-05i,-0.00072441+0.0001683i,-0.00032075-0.00034686i,-0.00030207-0.00066491i,-5.7352e-05-0.00052911i,0.00038016-0.00037213i,0.0010239-0.00012742i
-0.00054376+0.00055842i,-0.00045378+0.0013869i,-3.143e-05+0.0032848i,0.0003362+0.002697i,0.001236+0.00010246i,0.00089195-0.0012956i,-0.00054701-0.00045227i,-0.00097593+0.0006509i,-0.0014967+0.0014527i,-0.00085724+0.0020003i,0.00017626+0.0016551i,-0.00019037+0.001103i,-0.00022915+0.00054584i,0.00050995+0.00076017i,0.0010006+0.00047423i,0.0008856-4.9816e-05i,0.00070516+0.00013061i,0.00074698-0.00014653i,0.00030758-0.00061926i,-0.00039857-0.00080639i,-0.00099474-0.00056052i,-0.0014111+0.00034081i,-0.0013137+0.00076485i
0.00010994+0.00072434i,-0.00010009+0.002524i,0.0015987+0.0026405i,0.0019288+0.0011355i,0.00051619+0.00025223i,-0.00035397+0.00018621i,-0.00082922-0.00016548i,-0.0015207-0.00022614i,-0.0017194+0.0001524i,-0.0014653+0.0005544i,-0.00039976+0.0010567i,0.00021328+0.00067454i,0.00022177-7.7224e-05i,0.00096864-0.0005796i,0.00096019-0.00086288i,0.00038201-0.00054802i,-9.2943e-05+0.00037878i,-0.00094769+0.0010605i,-0.00097651+0.00056971i,-0.00070791-3.4541e-05i,-0.00044139+0.00053874i,-0.00014731+0.00082758i,-0.00048577-0.00013701i
-8.909e-06+0.0011656i,0.00059042+0.00026731i,3.4642e-05-0.00041624i,-0.00055928-0.00040921i,-9.0343e-05-0.00058823i,0.00044555-0.00088957i,-0.00019293-0.00099637i,-0.00074703-0.0006016i,-0.00014085-0.00045425i,0.00064893-0.0008457i,0.00094518-0.00018527i,0.00041563+0.00065622i,-3.6512e-05+0.00062178i,-0.00018705+0.00033783i,-5.8658e-05+0.00025925i,0.00015579+0.0005806i,0.00038945+0.00028907i,0.00074948-0.00011397i,0.00038771-0.00047296i,-0.00026523-0.00059009i,-0.00017836-0.00014784i,0.00036615+0.00039436i,0.0002275+0.00037522i
-9.4801e-05-0.0024604i,0.00045659-0.0033023i,0.00039478-0.0029506i,0.00072509-0.0013992i,0.00049026-0.00057005i,-9.5707e-05-9.4133e-05i,-0.0011393+0.00024377i,-0.0015393+0.00095089i,-0.0011417+0.00095904i,-0.00065609+0.00049778i,-0.00058621+0.00051222i,-0.0010617+0.00046315i,-0.0011365+0.00074167i,-0.00054759+0.00098915i,2.6784e-05+0.00083304i,-0.00015846+0.00059016i,-0.00078062+0.00038338i,-0.00023882+0.00044003i,-2.4134e-06+2.9144e-05i,-0.00018127-0.00022202i,0.00092643+4.1809e-06i,0.00085581+0.00038644i,0.00059063+0.00022826i
0.0015862-0.00050173i,0.0014208-0.00089918i,0.00079667-0.00062655i,0.001858+7.2996e-05i,0.0019176+0.00022446i,-0.00051462-9.4971e-05i,-0.0014463-0.00026115i,-0.00085126-0.0007053i,-0.0011175+0.00019055i,-0.0009707+0.0014291i,-0.00078695+0.0010943i,-0.00069085+0.00078845i,-0.00067384+0.00048816i,-0.00061018+0.00029395i,-0.00020994+0.00072276i,-0.00083118+0.00047633i,-0.00093433+0.00013624i,-0.0001519+0.00053954i,0.00088955+0.00061408i,0.00055711+0.00010459i,-0.00020056+6.5332e-05i,-0.00079754+0.00064581i,-0.0013336+0.00061411i
-0.0007679-0.00065261i,-0.0013335-0.00048642i,-0.0014434-0.00034724i,-0.0012353+0.00015118i,-0.0011001+0.00011269i,-0.001147+0.00083901i,-0.0022579+0.0010398i,-0.0028403-0.00013073i,-0.0018394-0.00051811i,-0.00057697-0.00054429i,0.00038492+7.5379e-06i,-0.0003955+0.00037815i,-0.00089378-0.00025715i,-0.00056406-0.00049602i,-0.00057503+4.009e-05i,-0.0007905+0.00049102i,-0.00053589+0.00088832i,0.0002079+0.0012292i,0.0010595+0.0009463i,0.00043863+0.000473i,-0.0010338+0.0001016i,-0.00066992-0.00089202i,0.00035374-0.00086381i
0.00072086-0.00037719i,0.0013369+0.00066444i,0.0016591+0.00048527i,0.0016204-0.00039328i,0.0017578-0.0009735i,0.0015595-0.001224i,0.00088789-0.00081887i,-0.00027681-0.00041944i,-0.0001244-0.00037126i,0.00010402+2.1735e-05i,-0.00045852+0.00051739i,-0.00043652+0.00065165i,-0.00059334+0.00055443i,-0.00042171+0.00015308i,0.00059346+8.4203e-05i,0.0014181+6.425e-05i,0.00015378-8.0963e-05i,-0.00081912-0.00044955i,-0.00022958-0.00068945i,4.492e-05-0.00063022i,-0.00010395-0.0002764i,-5.4956e-07+7.3655e-05i,0.00028533+0.00040991i
0.0033648-0.00082624i,0.0032513-0.0013495i,0.0029426-0.0019089i,0.0017931-0.0014646i,0.0011636-0.00097455i,0.00040558-0.00099574i,-0.00078362-0.00055864i,-0.001522+0.00023944i,-0.0010636+0.00012303i,-9.6298e-05+0.00018372i,0.00040619+0.00015644i,0.00022917-0.00045354i,-5.307e-07-0.0010054i,0.00038648-0.00077058i,-4.8222e-05-0.00016955i,-0.0007056-0.00015782i,0.00051141+7.3292e-06i,0.0012178+0.00058664i,0.00095513+0.00042559i,0.00057223+0.0003762i,-0.00027922+7.354e-05i,-0.00082272-0.00049185i,-0.00064997-0.00070636i
