-0.0032918+0.00026434i,-0.0021292+0.00036379i,-0.0018964+0.0013829i,-0.0020182+0.002493i,-0.0016779+0.0033528i,-0.00084928+0.0029244i,-0.00053577+0.0013846i,-0.00063481+0.0011147i,-0.00066341+0.001779i,-0.00048219+0.0014985i,0.00013716+0.0002501i,0.0004184-0.0010384i,-0.00051279-0.00074769i,-0.0012671-5.9267e-05i,-0.00092082+0.00011073i,0.00022243+9.166e-05i,0.00035128+0.00047376i,-2.081e-05+0.00065175i,0.00041358-0.0001275i,0.00085541-2.7845e-05i,0.00048145+0.00035076i,-0.00058812+3.3057e-05i,-0.00055876-0.00086461i
0.00055009+0.0015883i,0.0016801+0.0014467i,0.001243+0.0020842i,0.0010963+0.00113i,0.0017317-0.00034813i,0.00088608-0.0003431i,0.00038162+0.00052761i,0.00026566+0.0011666i,-0.00056088+0.00096274i,-0.00027933+0.00029224i,0.00052447+2.1297e-05i,-0.00020868-0.00040007i,-0.00059203-0.00075393i,-0.00039604+4.7969e-05i,-9.1034e-06+0.00035047i,-1.8136e-05-0.00016959i,-0.00019983+0.00037982i,-3.8157e-05+0.00084694i,-0.00029867+8.9609e-05i,-0.00038705-0.00017915i,-0.00074614+1.3094e-05i,-0.0006344-0.00082315i,-0.00052574-0.00083004i
-0.0012905+0.00012436i,-0.0015021+0.00075424i,-0.00092544+0.0011993i,-0.00067531+0.0015651i,-0.00038008+0.002257i,0.00060884+0.0021597i,0.0006353+0.0015333i,-0.00059535+0.0011549i,-0.0014531+0.00051285i,-0.0015364+0.0004535i,-0.0011712+0.00025069i,6.3533e-05-0.00069875i,0.00064886-0.000663i,-0.00011524-0.0005239i,0.00012536-0.0005436i,0.00096125-0.00061607i,0.00068217-0.00051447i,-6.2243e-06-0.00036095i,9.3792e-05-0.00016785i,-4.1237e-06+0.00041944i,9.9257e-05+0.00064379i,0.00070462+0.00024269i,0.00096132-8.8739e-06i
-0.00081883-0.0006342i,-0.0007568+0.00016047i,-0.0012813+0.00045402i,-0.0011411+0.00057208i,-0.00034741+0.001564i,1.6865e-05+0.0019824i,-0.00024265+0.001313i,-0.00081883+0.00042383i,-0.0017445-0.00036827i,-0.002097-0.00015701i,-0.00070422+2.583e-05i,0.00053122-0.0001852i,0.00055529-0.00031733i,0.00051072-0.00056174i,0.00065017-0.00095683i,0.00068804-0.00070531i,0.00090846-0.00012475i,0.00022669+0.00027451i,-0.00066374+0.00066476i,-0.00011878+0.00062349i,0.00048989+0.00023717i,0.00023282-0.00025789i,-4.8301e-05+0.00022203i
-0.00069286+0.0025475i,-0.00087504+0.0020827i,-0.00056322+0.001927i,-0.00050287+0.0015115i,-0.0005257+0.00049657i,0.00020601+6.1102e-05i,0.00047039+0.00018457i,0.00015947+0.00041588i,-2.4948e-05+6.0499e-05i,0.00048922-0.00013028i,0.0011243-0.00026577i,0.00073148+2.9408e-05i,0.00024522+0.00012862i,-1.5107e-05-8.6442e-05i,-0.00051905-0.00054275i,-0.00033109-0.00084029i,-0.0007383-0.00014754i,-0.00051962+0.00068452i,0.0006136+0.00094257i,0.00039594+0.00024222i,-0.00025396-0.00089747i,-0.0007416-0.0011114i,-0.00078888-0.00061428i
-0.0012037-0.0012055i,-0.0016881-0.0010447i,-0.0021668-9.6726e-06i,-0.0022427+0.0010214i,-0.0023116+0.0021829i,-0.001672+0.0027474i,-0.0011414+0.0019082i,-0.00048429+0.0016781i,-0.00064567+0.0015503i,-0.0010492+0.00063911i,-0.00061825+0.00012024i,0.0002976-1.291e-05i,0.0006124+1.4409e-05i,0.00073319+0.00076088i,0.0006705+0.00032557i,0.00051449-0.00024015i,0.00028491+0.00059057i,-0.00010488+0.00078956i,0.00010747+0.00022983i,9.5656e-05+0.00033186i,-0.0002538+0.00028195i,-0.00063719-0.00019145i,-0.00057833-0.00012769i
0.0002846-8.6038e-05i,-0.0013348+0.00010593i,-0.0024468-0.0012776i,-0.0020353-0.0016104i,-0.0011767-2.2749e-05i,-0.0008877+0.00069235i,-0.00024978+0.00045711i,-0.00023555+0.00081391i,-0.0011225+0.0013097i,-0.00051093+0.0015092i,0.000667+0.00023962i,0.00041438-0.00064695i,4.7827e-05-0.00073264i,0.00018021-0.00096922i,0.00059988-0.00098179i,0.00041231-0.00012295i,-0.00055642+0.0004161i,-0.00078245-7.6569e-05i,-7.8446e-05+9.7579e-05i,-0.00028945-0.00030455i,-0.0005889-0.00066987i,0.00047209-0.0005083i,0.0010629-0.00014896i
0.00048852+0.0017939i,0.0012105+0.0018262i,0.00077463+0.00063738i,0.00014046-0.00046452i,0.00086636-0.00075815i,0.00053499-0.00032479i,9.8282e-05+0.00057064i,0.00014711+0.00135i,0.00040265+0.0012775i,2.3397e-05+0.00027511i,-0.00057918-5.3375e-05i,-0.00015546+0.00031474i,0.00040041+1.0028e-05i,0.00036106-0.00027689i,-0.00031083+0.00040308i,-0.00040248+0.00060705i,-0.00013596+0.00040646i,-0.00067334+0.00043344i,-0.00086315+0.00066167i,-0.00057116+0.0010896i,-0.00051783+0.00048139i,-0.00046419-0.000273i,-0.00029204+0.00011176i
-0.00081819-0.00093173i,-0.00037097-0.00083049i,-0.0011305+0.00039927i,-0.00040438+0.0012677i,0.00055126+0.001419i,0.00049849+0.0012561i,0.00018265+0.00060293i,-0.00019582+0.00050376i,-0.0011806+0.00067977i,-0.0017204+0.00036238i,-0.00092369+3.0631e-05i,-0.00030448-6.78e-05i,-0.00026235-0.00025124i,-0.00041661-0.00013739i,-0.00076027-0.00030185i,-0.0010867-0.00076375i,-0.00080146-0.00082303i,-0.00036279-0.00088011i,-0.00061934-0.00050814i,-0.00068635-0.00028449i,-0.00019288-0.00043918i,-7.0791e-05+7.3899e-05i,-0.00022238+0.00012772i
-0.0019061+0.0010011i,-0.0020958+0.0012858i,-0.00085313+0.0020497i,0.0012362+0.0030332i,0.0018529+0.0027682i,0.0012183+0.0017924i,0.00096472+0.0013251i,0.00071078+0.0014717i,1.6699e-05+0.0013371i,-0.00018566+0.00034106i,-0.00037076-5.943e-05i,-0.00049326-0.00075962i,-0.00011779-0.00072212i,0.00058743+0.00031547i,0.00070589+0.00053874i,0.0002556+0.00031866i,8.7241e-05+0.00028168i,0.00022972-0.00035837i,0.00021163-0.00081699i,-0.00049722+0.00015624i,-0.00063705+0.00074283i,-0.00050608-0.00037736i,-0.00019245-0.00049063i
0.00045508+0.0010913i,-0.00021118+0.002188i,-0.0012216+0.0024836i,-0.001267+0.0014368i,-0.00011315+0.00045824i,0.0010157+0.00036749i,0.00020947+0.0011591i,-0.00042287+0.0018832i,-0.00011162+0.0021389i,0.00013952+0.0018184i,-4.9786e-05+0.0015327i,0.0001017+0.00098111i,0.00067439+0.00079454i,0.00044591+0.00062937i,0.00034841+0.00068856i,7.3911e-05+0.00076203i,-0.00041236+0.00048294i,0.00018277+0.00036322i,0.00022753+0.00014006i,-8.3989e-05-6.3351e-06i,-0.00035022+9.3542e-05i,-0.00049782+0.00043632i,-0.00038848+3.9719e-06i
-0.0016919+0.00063252i,-0.0016944+0.00069131i,-0.0016488+0.0013193i,-0.0012378+0.0015176i,2.6163e-05+0.0015598i,0.0003888+0.0020287i,-0.00061882+0.002332i,-0.0021418+0.0020109i,-0.0028004+0.0020369i,-0.0017431+0.0015422i,-0.00034174+0.00032205i,0.00044171-0.00067256i,0.0008492-0.0011843i,0.00035939-0.00069103i,-0.00071749-0.00029872i,-0.0011221-8.7395e-05i,-0.0012625-0.00033476i,-0.00046728-0.00076374i,0.00034683-0.0005192i,0.00010956-0.00074823i,-0.00024273-0.0012574i,-0.00070036-0.00062966i,-0.00075095+0.00049735i
-0.0007286-0.001804i,-0.0011242-0.0024089i,-0.0007605-0.00211i,-0.0010439-0.00075616i,-0.0017728+0.00027287i,-0.0008618+0.00077574i,-0.00013334+0.00067574i,-0.0001052+0.00010441i,-0.00067717+0.00034862i,-0.0011346+0.00056395i,-0.00038204-9.3606e-05i,0.00090993-0.00055222i,0.0011191-0.00088131i,0.00037743-0.00086024i,0.00045442-0.0003703i,0.0009765-0.00061823i,0.001086-0.00052687i,0.00077342+0.00036795i,0.00032777+0.00082943i,-0.00017309+0.00084092i,0.00042142+0.00069619i,0.0004387+0.00058652i,-0.00017001+0.00054991i
0.0014255-0.0016161i,0.00010663-0.00052087i,-0.0019255+0.00062161i,-0.0026078+0.0010291i,-0.0021769+0.0017222i,-0.0011545+0.0018817i,-4.9167e-05+0.001376i,0.00021276+0.001073i,-0.00061097+0.00051714i,-0.0016184+8.2316e-05i,-0.0013276-0.00014608i,-0.00093731-0.00041724i,-0.00029726-0.00049873i,0.00056659-0.00040858i,0.00049065-0.00081025i,0.00012012-0.00063693i,0.00034769-0.00028304i,0.00058485+0.00029314i,0.000491+0.00032726i,0.00012092-0.00032533i,-0.0004775-0.00035465i,-0.00074928-0.00052801i,-0.00064232-0.00047302i
-0.00054366-0.00041646i,-0.00070651+0.00044752i,-0.0010085+0.0022481i,-0.00094664+0.0023707i,-0.00065408+0.001407i,-0.00058241+0.00067192i,-0.0008445-0.00013294i,-0.0013989+0.00045529i,-0.0012626+0.0014595i,-0.00055049+0.0011915i,-1.3307e-05+0.00060749i,0.00080734+0.00024511i,0.00035904+0.00059034i,-0.00055971+0.00097207i,-0.00012112+9.713e-05i,0.00041148-1.7567e-05i,0.00034562+0.00082185i,0.00066604+0.00017693i,-0.00034941-0.0003177i,-0.00051167+0.00014336i,2.3579e-05+8.8453e-05i,-0.00020029+0.00010165i,-0.00090246+0.00072914i
9.4395e-05-0.00091853i,-9.0238e-05-0.0010328i,-0.0011533-0.00064343i,-0.0021067+0.00036466i,-0.0017201+0.0012444i,-0.00056936+0.00066829i,-0.0004635+0.00074831i,-0.0011265+0.0017678i,-0.0016688+0.0020928i,-0.0013158+0.0015026i,-0.00042508+0.0012178i,-0.000168+0.00099479i,0.00012449+9.978e-06i,3.6407e-05-0.00082006i,9.8101e-05-0.00058663i,0.00043738-0.00020288i,0.00030704-0.00025933i,0.00036569-0.00040704i,0.00035686-0.00010518i,-2.217e-05+0.0010454i,0.00033008+0.0011214i,0.00047958-0.00015415i,8.3322e-05-0.00074515i
0.00081232+0.0027639i,0.0006343+0.0016304i,0.00025066+0.00038983i,-0.00066018+0.00014796i,-0.0014569+0.00040897i,-0.0016166+0.00011072i,-0.00065873-0.00010361i,-0.00036398+0.00069007i,-0.00073545+0.00097813i,-0.00068741+0.00044801i,-0.00053623+0.0002941i,0.00014691+0.00015873i,3.1239e-05+0.00014327i,-0.00074408+0.00028218i,-0.00056281+0.00052916i,-0.00054892+0.000389i,-0.00038818-4.7698e-05i,-0.00024636-2.0638e-06i,-0.00033242+2.275e-05i,-0.00021316+0.00019764i,-0.0003814-0.00015736i,0.00010395-0.00048188i,0.00027088-0.00018617i
0.0010735+0.00041392i,0.00074288+0.00075201i,0.0020245+0.0010424i,0.0018321-0.00046732i,1.7614e-05-0.001201i,-0.0012503-0.00031734i,-0.0018746+0.0010393i,-0.00081468+0.001692i,0.00031194+0.0013049i,-0.00048635+0.0002062i,-0.0012968+0.00044662i,-0.0013143+0.00083052i,-0.00055658-6.557e-05i,0.0001982-0.00068945i,0.00021461-0.00036302i,2.076e-05+0.00048409i,0.0004763+0.00041978i,0.00086028-0.0004265i,0.00094403-0.00030893i,0.00052586+0.0003493i,-0.00046831+0.00020935i,-0.00073392+4.7671e-05i,-0.00047357+0.00014663i
0.00082948+0.0023746i,0.0015219+0.001874i,0.0014179+0.00095868i,0.00095471+4.3432e-05i,0.00016343-0.00015689i,-0.0014896-0.00025838i,-0.0019421+0.00030568i,-0.00086219+0.00099072i,-0.00066192+0.00084186i,-0.00040888+0.00021451i,0.00014656+0.00029779i,0.00024017+5.1935e-05i,0.00046941+0.00026532i,-0.00017134+0.00088761i,-0.00077687+0.00051309i,-0.0004125+0.00069144i,-6.1827e-05+0.00047975i,-8.3087e-05-0.00016608i,3.7143e-06-0.00068689i,-0.000219-0.00087289i,-0.00020902-0.00068201i,0.00011443+0.00021742i,-2.8172e-05+0.00069733i
-0.00014914+0.00029144i,-0.00017805+0.00067438i,-0.00013851+0.00058274i,-0.00018862+0.0014174i,-0.00031509+0.001572i,-0.00019225+0.0012493i,-0.00055653+0.00159i,-0.0012845+0.0010983i,-0.0013175+0.00035407i,-0.0015985+0.00034497i,-0.0014341+0.00059706i,-0.00028745+0.00021068i,0.0009505-0.00058626i,0.0014938-0.00056009i,0.00080941-0.00026633i,-0.00026014-0.00045949i,4.4762e-06-0.00046947i,0.00053953-0.0001923i,-0.0001709+0.00013106i,-0.0012095-0.00025145i,-0.0016758-0.00072058i,-0.0010761-0.00087159i,0.00036218-0.0011194i
5.4871e-05+0.0021252i,-0.00031357+0.0015868i,0.00021482+0.00098162i,0.00035511+0.00047405i,-0.00022121+0.00014007i,-0.00065713+3.2929e-05i,-1.7883e-06+0.0003564i,-0.00071543+0.00050584i,-0.0011096+0.0002132i,-2.6174e-06+0.00038706i,0.00055839+0.00047627i,0.00068861+0.00026829i,0.00057332+0.00066252i,-0.00032231+0.00049842i,-0.00031391+0.00032441i,0.00032153+0.00023811i,0.00032214-0.00052435i,0.0001705-6.2117e-05i,-0.00051678+0.00071072i,-0.0015466+4.1634e-05i,-0.0015391-0.00024862i,-5.5947e-05-0.00018458i,0.00053275-0.00082222i
0.00065438-0.0023611i,-0.0014228-0.0032721i,-0.0014783-0.0023642i,-0.00074587-0.00018308i,-0.0004255+0.0013802i,-0.00056164+0.0014521i,-0.00063552+0.0010963i,-6.2118e-05+0.0013882i,-0.00023612+0.0012806i,-0.00015603+0.00045375i,0.00047556+0.00015407i,0.00023779-0.00019689i,-0.00038604-0.00077947i,-0.00053777-0.00092374i,-3.7833e-05-0.0010509i,0.00055019-0.001066i,0.00077352-0.0012613i,0.00087028-0.00089748i,-0.00013676-0.00055067i,-0.00018084-0.0005644i,0.00073418+0.00018229i,0.00083333+0.00059778i,0.00095535+0.00047159i
0.0013866-0.0014173i,0.00031891-0.0016552i,-0.0011907-0.0017556i,-0.0015325-0.0012065i,-0.00072064+0.00021333i,-2.023e-05+0.001002i,-0.00046961+0.0010827i,-0.00019617+0.00063769i,-0.00066844-0.00032727i,-0.0013008+0.00017977i,-0.0010712+0.00095542i,-0.00068061+0.00082741i,0.00028055+0.00064025i,0.0011997+0.00047643i,0.0013774-1.103e-06i,0.00091803-0.00068281i,3.1877e-05-0.00054027i,-0.00039022-0.00086352i,-0.00079587-0.00094706i,-0.0011934-0.00047235i,-0.0007391-0.00081234i,-0.00033735-0.00029288i,-0.00027929+6.6332e-05i
0.00043521+0.00070346i,0.00025646+0.0023025i,-0.00075522+0.003111i,-0.0012+0.0022713i,-0.00072644+0.0014537i,-0.00020647+0.00088495i,-0.00026886-0.0001239i,-0.00053002+0.00048689i,-0.00069137+0.00054448i,-0.00061326+8.3203e-05i,-0.00066312-0.00023122i,-0.00030552-0.0010299i,-0.00047308-0.0015435i,-0.00063645-0.00095665i,0.00011346-0.00047962i,-9.1116e-05-0.00024285i,0.00040102-0.00032358i,0.0012099-0.00062035i,0.00065505-0.00027912i,-0.00059097-0.0003587i,-0.00071449-5.2469e-05i,-0.00035802+0.00031882i,0.00021563+9.778e-05i
0.00063043+0.0023425i,0.001159+0.0022054i,0.00055086+0.0014484i,-0.0006325+0.00043326i,-0.00038645-0.00028216i,-0.0010556+0.0005859i,-0.0021232+0.00048313i,-0.0018671+0.0007132i,-0.0014166+0.0012005i,-0.00095335+0.00053678i,8.3564e-05+0.00053254i,0.00032657+0.0013659i,-0.00053633+0.0013191i,-0.0011178+0.00056024i,-0.00082585+0.00021371i,-0.00030156+6.0027e-05i,-0.00027558-0.00015361i,-5.8438e-05+0.00052883i,-0.00019021+0.00045219i,-0.0004957+0.00017494i,-0.00029928-0.00019805i,0.00041732-0.00082055i,0.00073663-0.00071124i
0.00025367-0.0016497i,0.00079544-0.0022755i,0.0008072-0.0022505i,-0.00038172-0.0019622i,-0.0015534-0.0014037i,-0.00052228-0.00089967i,0.00052951+2.7292e-05i,-0.00020213+0.00078428i,-0.00096375+0.00019199i,-0.00085322-0.00057412i,-0.0010052-0.00047005i,-0.00091417+0.00029818i,0.00047682+0.00067804i,0.00055836+0.00042491i,3.651e-05+9.5722e-05i,0.00029323-0.00013939i,0.00044362+0.00014931i,0.00010329+9.1031e-05i,-0.00049041-0.00047352i,-0.00035459-0.00057551i,0.0003523-0.00016498i,0.00031143+0.00054935i,-4.1431e-05+0.00066946i
