0.0028552+0.00096379i,0.0027219-0.00034116i,0.0010727-0.0013309i,-0.0012101-0.0019488i,-0.0020762-0.00062333i,-0.0018624+0.0016238i,-0.00075749+0.0028958i,-0.00031952+0.0025426i,0.00032678+0.0010582i,0.0011438+0.00024129i,0.0015029-0.00016505i,0.00086701-0.00028493i,3.0491e-05+6.3419e-06i,-0.00054348-0.00011871i,-0.00054646-0.00056908i,-0.00023927-0.00034351i,5.3415e-05+5.19e-05i,0.00037157+0.00066407i,0.00012045+0.00036916i,-0.00034899-0.00052238i,7.4572e-05-0.00036644i,0.00025861-0.00010246i,0.00012573-0.00034956i
0.00087737-0.0012652i,-0.00044533-0.0018066i,-0.00047016-0.0012794i,-4.9951e-05+0.00014658i,-0.00051167+0.00049074i,-0.00074915+0.0011651i,-0.00048333+0.0019689i,-0.00030931+0.0015436i,0.00024206+0.00084045i,0.00082637+0.00057455i,0.00032215+0.00015147i,-0.00027783-0.0002633i,-0.00048481-0.00038276i,-0.00053678+6.9793e-05i,-0.00068603+0.00080396i,-8.348e-05+0.00066814i,-0.00012971+0.0002865i,-0.00015772+0.00049984i,-0.00013558+0.00019403i,-0.00058757-0.00057683i,-0.00042767-0.00093471i,-0.00039245-0.00015197i,-0.00028775+0.000355i
0.0017545-0.00054866i,0.00083096-0.00039738i,0.00036944-0.00039861i,0.00033618-0.00055183i,0.00083562-0.00036356i,0.00089424-9.7934e-05i,0.00050861+0.00040074i,0.0010869+0.00097698i,0.00095269+0.00073283i,0.00054958+0.00022041i,4.9208e-05-0.00043507i,-0.00063259-0.00034635i,-0.00042551+4.5083e-05i,-0.0002315+0.00069621i,-0.00070758+0.0013311i,-0.00067354+0.00090654i,5.7452e-05-1.0832e-05i,0.00064446-0.00048217i,-4.6079e-05-0.00029331i,-0.001078-0.00043206i,-0.0011885-0.00057751i,0.00010515-0.00076725i,0.00059997-0.00050927i
0.0021746-0.00036876i,0.0018169-0.00053694i,0.00014664-0.0012045i,-0.0013704-0.001414i,-0.0020416+3.6623e-06i,-0.0018747+0.0014257i,-0.00086098+0.0016315i,0.00049619+0.00063938i,0.00065877-0.00055618i,-4.7428e-05-0.0010986i,0.000235-0.0012388i,0.0003803-0.0007939i,7.1962e-05-0.00032759i,0.00013099-4.3425e-05i,0.000477-8.3388e-05i,0.000512-0.00014069i,-5.7808e-05+0.00012899i,-0.00052665+0.00023519i,-0.00061205+0.00035057i,-0.00023543+0.00054115i,-5.1142e-05-0.00014495i,-0.00059753-0.0011834i,-0.00093643-0.00061287i
-0.0011683+0.0021118i,-0.00040982+0.0010591i,0.00013045+0.0011363i,0.0014046+0.0018288i,0.0026311+0.0007707i,0.0018722-0.00042951i,0.0010242-0.00041523i,0.00073411-4.3283e-05i,-2.5431e-05+0.0002459i,0.00011931+0.00016032i,-1.9953e-06-0.00020767i,-0.00016185-0.00040918i,0.0010568-0.00071174i,0.0020145-0.0010158i,0.0018117-0.0010409i,0.0010998-0.00069996i,0.0007731-0.00076274i,0.00023239-0.0006429i,0.00027632-4.9142e-05i,0.0011297+0.00018544i,0.0010719+9.1627e-05i,0.00010199-6.8591e-05i,-7.1531e-05-0.00018104i
0.00057314-0.00080282i,0.0014837-0.00063959i,0.0013316-0.00038019i,0.00011948-6.6222e-05i,-0.00054023+0.00065277i,-0.0002196+0.0012361i,0.00063389+0.0010988i,0.00093593+0.00051036i,0.00065458-0.00015974i,-0.00018768-0.00033169i,-0.00071881-0.00031874i,-0.00059314+0.00019111i,-0.00031363-0.0004657i,-0.00021439-0.00088713i,-0.00017239+5.0583e-05i,0.0001725+0.0005149i,0.00038999+8.6543e-05i,0.00039346-0.00043816i,0.0005489-0.00055443i,0.00073444+0.00043662i,0.00041544+0.0010131i,-6.0789e-05+0.000645i,0.00020284+0.00023122i
0.00024975+0.00032577i,0.001389+0.00040593i,-5.6144e-05+0.0010637i,-0.00066336+0.0010725i,0.00011026+0.0008814i,0.00027857+0.00079993i,5.4663e-05+0.0002101i,-0.00034274+9.0474e-05i,-0.00047552-0.00044251i,0.00021232-0.00094594i,0.00083406-0.00060835i,3.473e-05+6.7123e-05i,4.5927e-05+9.2823e-05i,0.00029897-0.00048426i,1.5725e-05-0.00027369i,0.00030628+0.00028701i,-7.7479e-05+0.00028796i,-0.00053003+0.00049094i,-0.00085319+0.00070833i,-0.0017476-0.00034521i,-0.0013869-0.00042426i,-0.00037033+0.00021821i,-0.00037169+0.00058277i
0.0010332+0.0015186i,0.0013432+0.0017071i,0.001546+0.001037i,0.0010366+0.001025i,0.00091977+0.00046862i,0.0006339-6.624e-05i,0.00040878+0.00024688i,-0.00018048+0.00080518i,-0.00061513+0.00084752i,-3.9391e-05+0.00017132i,0.00085283-0.00056568i,0.0011131-0.00010142i,0.00046012+0.00063701i,-0.00039385-0.00028487i,-0.0011176-0.00067123i,-0.00078223+0.00015243i,-0.00043527-0.00022252i,0.00015555-0.00041812i,0.00065235+6.5775e-05i,0.00056616+0.00065283i,0.00094951+0.0006279i,0.00041931+0.00010328i,-0.00012751+0.00032306i
0.0005589-9.9228e-05i,0.0011199-0.00046868i,0.00055681-0.00037998i,0.00014384-0.0010797i,9.5638e-05-0.00052818i,0.00048499+0.00074207i,0.00055213+0.0013497i,0.0006518+0.0015793i,0.00016614+0.00094712i,-0.00062505+1.6285e-05i,-0.00051747-0.00039954i,-0.00029161-0.00016951i,-0.00011574+9.1387e-05i,-0.00033829+0.00055429i,-0.00062922+0.0009844i,-0.00051452+0.00042062i,0.0001676+0.00038544i,0.00028097+0.00034401i,0.00026009+0.00042851i,0.00033786+0.00056151i,-0.00035211-0.0001674i,-0.00026525-0.00049352i,0.00039531-0.00030548i
-0.0018617-0.001014i,-0.0019415-0.0020594i,-0.0016991-0.0019286i,-0.0012829-0.0012189i,-0.00020548-0.00064914i,0.00098085-0.00076736i,0.00072183-0.0011297i,-0.00026715-0.0011962i,-0.00016226-0.00077069i,0.00087217+1.6503e-05i,0.0012645+8.8713e-06i,0.0010796-7.4067e-05i,0.0011427-0.00013765i,0.00085344-0.00038849i,0.00099734-0.00026189i,0.00088142-0.00048237i,-0.00016762-0.00038966i,-0.0001651+0.00017451i,0.00012279+9.2226e-05i,-8.6362e-05-0.00067702i,-0.00014476-0.00069389i,-7.2035e-05+0.00040772i,4.1259e-05+0.0013078i
0.0015379-0.00066787i,0.0015391-0.00039694i,0.0011281+2.2321e-05i,0.00016046+0.00010949i,-0.0011536+0.00011223i,-0.00099646+9.6405e-06i,0.00017834+0.00059131i,0.0008396+0.00071699i,0.00095369+0.000248i,-0.00010977-0.00047104i,-0.00088549-0.00093864i,-0.00062165-0.00068371i,-0.00049052+0.00029728i,-0.00076443+0.00044853i,-0.00046294-0.000228i,0.00039478-0.00010725i,0.0003266+0.00019463i,-6.3766e-05-0.00016107i,0.00028956-0.00053814i,0.00061324-0.00057951i,1.9582e-05-0.00060763i,-0.00099658-0.00059305i,-0.0014215-0.0006932i
-0.00015349+0.0034019i,-0.00013945+0.0036443i,0.00059398+0.0033103i,0.0019713+0.0020351i,0.0015924+0.00079417i,0.0007018+0.00010806i,0.0007702+0.00015249i,0.00070734+0.00015315i,-6.1036e-05+0.00036309i,-0.00042634-0.00010804i,-0.00028225-0.00078906i,-0.00012561-0.00075348i,-0.00061538-0.00041443i,-0.00089074-0.00010133i,-0.00024583+0.00013931i,0.00027937-7.0976e-05i,-0.00035761+1.8046e-05i,-0.0013887-0.0002736i,-0.00088802-0.0010686i,0.00034766-0.00093694i,0.00063065-0.00026996i,0.00073128-0.00011517i,0.00063557-0.00071876i
-0.0011386+0.001416i,-0.0019515+0.001424i,-0.0017046+0.0013428i,-6.4306e-06+0.0003314i,0.00038261-0.00034127i,0.00088511+0.00010742i,0.0013848+0.00043676i,0.0011787+0.0005366i,0.00053824+0.00032382i,0.00033258-0.00065868i,8.26e-05-0.0012055i,-0.00034049-0.0010527i,-0.00012618-0.00047858i,0.00044557+0.0003823i,0.00036986+0.00056164i,-0.00038848-0.00070222i,-0.00048245-0.00091185i,-5.0101e-05-0.00019867i,3.5956e-06+0.00059513i,-0.00019979+0.0012987i,-0.00021642+0.00084487i,0.00023219+0.0003577i,-0.00036402+0.0002464i
0.00016421-0.00028186i,-0.00084146+0.00097501i,-0.00072466+0.0020846i,0.00045209+0.0018045i,0.00064977+0.00056306i,0.00030895-0.00028526i,0.00030293+9.5788e-05i,0.00047395+0.0006245i,0.00065099+0.00051762i,0.00034038+0.00038112i,0.0007182-0.00022766i,0.0011978-4.9891e-05i,0.00062978+8.407e-05i,0.0003609-0.00022985i,-0.00034077-0.00066039i,-0.00099701-0.0006802i,-0.00026646-0.00043126i,0.00086918-4.6172e-05i,0.0011005-3.1177e-05i,0.00017881-2.7283e-07i,-0.00061535-0.00073362i,-0.00022144-0.00069659i,-8.4167e-05+0.0002822i
0.0011029-9.0535e-05i,0.0010498-0.0010755i,0.00023263-0.00037188i,-0.00032502+0.00038148i,-0.00018383+7.274e-05i,-0.00021313-0.00047151i,-0.00048876-0.00068506i,-0.00050489+0.0004705i,-0.00029183+0.00078634i,-0.00054252+0.00034838i,-0.00062776+0.00085233i,-0.00019614+0.00049349i,0.00017085-0.00034244i,-0.00035262-3.3108e-05i,-0.00066338+0.00047764i,-0.0005481+0.00022861i,-0.00067616+0.00034892i,-0.0004174+0.00085088i,-0.00029692+0.0012018i,-0.0002602+0.0010781i,-0.00044065+0.00045358i,-0.0003901+0.00021861i,0.00032424+0.00038389i
0.00040054-0.0003629i,0.00081821-0.0007236i,-0.00016997-0.0016233i,-0.001396-0.00091587i,-0.0012341+0.000105i,0.0006887+0.00046344i,0.0015515+0.0010292i,0.00077114+0.0012802i,0.00075402+0.0010517i,0.00051966+0.00083915i,-0.00082569+0.00077612i,-0.0012902+0.00043908i,-0.0010896+0.00036191i,-0.00097199+0.0011516i,-0.00053694+0.00099106i,-6.0452e-05+0.0004285i,-2.2937e-05+0.00040858i,0.00013727-3.6848e-05i,0.00028368+5.2338e-06i,-6.0912e-05+0.00032847i,0.00024+0.00021039i,0.00039139+0.00014487i,0.00037554+6.2139e-05i
-0.0014944-0.00043829i,-0.0012269-0.00059271i,-0.00051946-0.00055335i,-0.00085487+0.00025505i,-0.00073142+0.0014099i,0.00047856+0.0011952i,0.0011738+0.00050301i,0.0011218+0.00015909i,0.00071397-5.9379e-06i,-0.00034937-2.7688e-05i,-0.00045142+1.9848e-05i,4.0554e-05+0.00065657i,-4.4256e-05+0.0001269i,-0.00021336-0.00062361i,0.00023435-0.00023819i,0.0011043+0.000215i,0.0010556-0.00014741i,0.0011953-0.00063094i,0.00066502-0.00039519i,-0.00043568+0.00015742i,-0.00058508+0.00061046i,-0.00058899-4.3075e-05i,-0.00062153-0.00055605i
-0.00014329-0.00079531i,-0.00063096-0.0017395i,-0.00082848-0.0011293i,8.9325e-05+0.00034947i,0.001297+0.0005674i,0.0014035-0.00023536i,0.00055709-0.00088084i,0.00041171-0.0011761i,0.0002612-0.00069305i,1.4537e-05-0.00014652i,0.00037754+0.00028847i,0.00068608+0.00061407i,0.00074678+0.00015743i,0.00052011-0.0004325i,0.00064945-0.0003738i,0.0014003-0.00017698i,0.00098236-3.0549e-05i,0.00013275-0.00031645i,0.00033691-0.00027315i,0.00047005-9.566e-05i,0.00066754-0.00027952i,0.0011592-0.00047645i,0.00064525-0.00057544i
0.00051682+0.0011333i,0.0016229+0.00090681i,0.001411+0.0003589i,0.00088088+0.00023873i,3.6856e-05+0.00065909i,-2.3981e-05+0.00097089i,0.0015259+0.0009232i,0.0019371+0.0010531i,0.00098528+0.0007968i,-8.2441e-05-7.1014e-05i,-0.00084928-0.00073123i,-0.00034717-0.00067837i,-8.8021e-05+5.3724e-05i,-0.00016934-2.0363e-05i,-0.00019282-4.6235e-05i,4.6032e-05-8.4402e-05i,-0.00016793-0.00027256i,-0.00017675-0.00011201i,0.00018092+0.00041879i,0.0002192+0.001166i,-0.00018156+0.00081724i,-0.00027557-0.00046148i,6.166e-05-0.0012528i
-8.1903e-05+0.0017311i,0.00052774+0.0014636i,0.0013801+0.00078696i,0.0016888+0.0002387i,0.0014566-0.00051452i,0.00041763-0.0012213i,0.00063818-0.00078594i,0.0012066+0.00010113i,0.0010383+0.00029606i,0.0002105-5.6494e-05i,-0.00065301-0.00068195i,-0.00024349-0.0011831i,-0.00033959-0.00048377i,-0.00021523+0.00033741i,9.5758e-05-0.00019913i,7.9596e-05-0.00035739i,-0.00045382-0.00042987i,0.00025599-0.000964i,0.0011474-0.0012901i,0.0010178-0.0010668i,0.00046909-0.0011075i,3.7396e-05-0.0013904i,0.00074029-0.0013173i
0.00085801-0.00052639i,0.00014531-0.00038453i,-0.00036336-0.00075558i,-0.00032882+2.281e-05i,0.00021918+0.00071786i,0.00038115+0.0003623i,0.00025025-3.8685e-05i,0.00043885+0.00034744i,0.00018606+0.00033795i,-0.00043822+8.4405e-05i,-0.00041946-6.2891e-05i,-3.1838e-05+0.00012594i,-0.00019366+0.00043771i,3.0623e-05+0.00019726i,7.119e-05-0.00030199i,-0.00063415-0.00012496i,-0.00062807-2.8241e-05i,-0.0001841+0.000185i,0.00021972+0.00054157i,0.00035743+0.00014697i,5.1777e-05-0.00071374i,0.00050893-0.00092325i,0.00056539+0.00010148i
-0.0010183-0.001474i,-0.00059524-0.0011574i,-8.2908e-05-0.00087786i,-0.00021542-0.00018653i,-0.00086254+0.00096128i,7.5417e-05+0.0011483i,0.00086177+0.00057471i,0.00084036-3.7413e-05i,0.00013848-0.00034805i,-0.00019593-0.00010596i,0.00029936+1.1376e-05i,-4.3076e-05-0.000338i,6.9728e-05-0.0012547i,0.00086709-0.00085462i,1.3665e-05-0.00029857i,-0.00016932-0.00066809i,0.00025877+0.00039448i,-4.1279e-05+0.00052727i,0.00021653-0.0004125i,0.0005312-0.00057016i,0.00036845-0.0013132i,-0.00052986-0.0015519i,-0.00096393-0.00055063i
-6.4044e-05-0.001112i,-4.625e-05-0.00088931i,-0.0013828-0.00036409i,-0.0020096+0.00016941i,-0.00080485+0.0015332i,0.0004094+0.0021444i,0.00079125+0.00089585i,0.0010065-0.0002623i,0.00027085-0.00026797i,-0.00055533+0.00058388i,-0.00059991+0.0011423i,-0.00036625+0.00098127i,0.00027647+0.00066188i,0.00034792+0.0004089i,0.00020746+0.0004776i,-0.0001568-0.00029022i,-0.00041299-0.00090395i,0.00035851-0.00032442i,0.00075902+0.00033347i,0.00035122+0.00029767i,-0.00045061+0.0002203i,-0.00070205+0.00059871i,-0.00024521+0.00087831i
0.00047537+0.0019773i,0.00057734+0.0013891i,0.00026239+0.0017478i,0.00028714+0.0010479i,0.00066151-2.8085e-07i,0.00095099+0.00045511i,0.00084927+0.0014754i,9.2634e-05+0.00099197i,-0.00051546+0.00021737i,-0.00041064+0.00033796i,-0.00025262-1.4623e-05i,-8.0467e-05-7.7801e-05i,-0.00042178-0.00015264i,-0.00061408-0.00019205i,-0.00036383+0.00025231i,-4.4894e-05+0.0003546i,0.00046311-5.2946e-05i,0.0009576-8.6202e-05i,0.00069829+0.00022439i,0.00097042+0.0006867i,0.001138+0.00076897i,0.00055427+0.00056582i,-0.0001255+0.00029427i
-0.0001998+0.000622i,0.00058183+5.1841e-05i,0.00032481-0.00035245i,0.00065184-0.00045814i,0.0013596-0.00022887i,8.2943e-06+3.4196e-05i,-0.00015197+0.00011714i,0.00066217+0.00067606i,0.00021625+0.00029358i,-0.00030526+1.2816e-05i,-0.00069518-0.00040879i,-0.00055075-0.00063169i,-0.00059574-0.00061616i,-0.00054151-0.00049255i,-4.792e-05-9.3779e-05i,0.00046509+0.00021817i,-0.00013369+0.00031414i,-0.0008462-0.00014571i,-0.0009148+1.1644e-05i,-0.00020534+4.5353e-05i,0.00051804-1.3806e-05i,4.3254e-05+0.00018008i,-4.9281e-05-0.00025956i
5.839e-05-0.00039979i,0.00018633-0.00033958i,0.0014846-0.0013125i,0.0017183-0.00082638i,0.0016418+0.00014237i,0.0012667+0.0012184i,0.00076356+0.0019553i,0.00064592+0.00095113i,0.0005667+0.00024938i,0.00022338+0.00057169i,0.00015586+0.00028031i,0.00035704+0.00054339i,9.8526e-05+0.00057402i,0.00052284+0.00015329i,0.0010118+0.00021086i,0.0007298-7.2234e-05i,0.00078482-0.00069329i,0.0003939-0.00039484i,-0.00039679+1.2232e-05i,7.5721e-05+7.9634e-05i,0.00060667+2.8893e-05i,5.6564e-05+9.4374e-05i,-0.00016529+0.00048259i
0.0010966-0.00041626i,0.00099633-0.00025215i,0.00010038+7.5507e-05i,-0.00067276+0.00063276i,-0.00055823+0.00092182i,-0.0005475+0.00088835i,-0.00079081+0.00125i,-0.00062047+0.001263i,0.00014853+0.00066597i,0.00042442-5.0847e-05i,-0.00039411-0.00042658i,-0.00087631+9.083e-05i,-0.00040979+0.00036841i,0.00033525-0.00011154i,0.00052265-0.00060257i,9.2079e-05-0.00097347i,0.00021288-0.00093285i,-0.00074023+0.00010663i,-0.0010179+0.00034544i,-1.9736e-05-4.5294e-05i,-6.1948e-05+0.00048358i,-0.00036466+0.00087907i,-0.00011485+0.00027861i
-7.5226e-05+0.00095628i,0.00052834+0.0008732i,0.00010187+0.0004619i,-0.0002404+0.0013217i,4.1683e-05+0.0018868i,0.00020143+0.0016405i,0.00024583+0.00099211i,-0.00028978+0.00025918i,-0.00064733-0.00013228i,-0.00059444-8.2025e-05i,-0.00080334-0.00037411i,-0.00057-0.001011i,-0.00050082-0.0012258i,-0.00014662-0.0014381i,0.00025459-0.0011547i,5.4873e-05-0.00069703i,-0.00050238-0.00013304i,-0.00076711-0.00011433i,-0.00039441-0.00089363i,5.2063e-05-0.00068692i,0.00022063-0.00029913i,0.00041176-5.2562e-06i,0.00067897+0.00098761i
-0.0020971+0.0014629i,-0.0016436+0.0011302i,-0.0015402+0.0011512i,-0.0013292+0.0010376i,-0.00098666-0.0001101i,-0.00066009-0.0006405i,-0.00019362-0.00010297i,4.0186e-05+5.1463e-05i,6.7231e-05-8.2503e-05i,-0.00018274-6.3254e-05i,-0.0002383-0.00052015i,0.00037987-0.0012171i,0.0010923-0.0012304i,0.00072543-0.00034655i,-0.0001918-0.00034601i,0.00036627-0.00043056i,0.00038428-0.00028771i,-0.00034957-0.00032093i,-0.00064192-0.00011418i,-0.00054396+0.0002454i,-0.00078005+0.00034018i,-0.00079704-0.00018882i,-0.00046673-3.5581e-05i
