0.0031771+0.00068635i,0.0037971-0.0008563i,0.0026706-0.0021979i,0.0013409-0.0022258i,-7.7731e-05-0.0021016i,-0.0019911-0.0011071i,-0.0022485+0.00080729i,-0.00080678+0.0015917i,0.00073309+0.00084149i,0.0014456-0.00012937i,0.00082682-0.00042249i,-0.00032629-0.00091551i,-0.00050843-0.00098598i,-0.00081646-0.0003962i,-0.0018494-0.0003341i,-0.0017774-0.00039871i,-0.00068228-0.00065544i,0.00010577-9.8161e-05i,0.0004571+0.00049692i,5.7444e-05+8.1753e-05i,-0.00035495-0.00055948i,-0.00056561-0.0009964i,-0.00027362-0.00067865i
0.0031692-0.00033932i,0.003581-0.0010974i,0.0024688-0.0021165i,0.0019348-0.00098181i,0.00094127+0.0002065i,-0.00016179-0.00081715i,-0.00065722-0.0014527i,-0.0011735-0.0012388i,-0.00153-0.0010163i,-0.0008721-0.00060088i,-7.2988e-05+0.00025018i,-0.00022794+0.00072748i,-0.00046154+0.00058913i,-0.00030968+0.00072566i,7.7197e-05+0.00084787i,0.00031917+0.00077707i,0.00015144+0.00010003i,0.00024594-0.00049366i,8.7761e-05-6.2924e-05i,0.00043934+0.0004642i,0.001111+0.00055234i,0.0009063-7.918e-05i,8.0019e-05-0.00083127i
-0.00077324+0.0001466i,-6.6121e-05+0.0003727i,-6.1915e-05-0.00014244i,-7.3258e-05-0.001279i,0.00087735-0.0014257i,0.00042177-0.0010918i,-0.00080128-0.00070141i,-0.00095039-0.0010419i,-0.0004394-0.0011103i,-0.0003056-2.9933e-05i,-0.00048611+0.00025915i,-0.00076237-0.00057764i,-0.00017206-0.0011268i,0.00031234-0.001482i,0.00015275-0.0012969i,0.00064038-0.00040375i,0.00017867+0.00017736i,-0.00047562+0.00032334i,-0.00054357+0.00022881i,-0.00034642+0.00068329i,0.00019707+0.00071294i,0.00024492+0.00018053i,6.8809e-05-0.00030518i
-0.0010826+0.00035215i,-0.00080348+0.0011615i,-0.00017016+0.0015252i,0.0011692+0.00076992i,0.001028-0.00040512i,0.00033522-0.0010976i,-0.00055612-0.0010361i,-0.0011515-0.00053641i,-0.00097508-0.00045031i,-0.00081164-0.00034772i,-0.00068902-6.8012e-05i,-0.00012497-0.00020298i,0.00044962-0.00065859i,0.001093-0.00098016i,0.0014132-0.0008868i,0.00070005-0.0002731i,0.00045575-0.0001258i,0.00044119+0.00014311i,0.00018979+0.00038176i,-0.00040768+0.00047174i,-0.00081785+0.00030605i,-0.00054242-5.9706e-05i,-0.00017601-8.9894e-05i
0.00061992+0.00098287i,0.00078094+0.0022162i,0.0013591+0.0019389i,0.0014897+0.00047718i,0.0012362-0.00014375i,0.00032328-0.00020654i,-0.00060798-9.0374e-05i,-0.00050981+0.00011207i,-0.00050202-0.00038839i,-0.00046599-0.00077245i,-0.00040195-0.00022024i,-0.00049429+5.7802e-05i,3.0916e-06-0.00010636i,0.00040995-0.0002229i,-0.00023548-8.7584e-05i,-0.0010722+9.8865e-05i,-0.001019+0.0001558i,-0.00042675+0.00038462i,-0.00018539+0.00063266i,-7.6675e-05+0.00021017i,0.00064406+0.00020212i,0.0007828+0.00023648i,0.00031057-0.00058684i
0.00019268-0.0019272i,-0.00064985-0.0016966i,0.00041777-0.0011937i,0.00076104-0.0012823i,0.00083757-0.0011339i,0.00088321-0.00059455i,0.00051708-0.00025097i,5.8655e-05+0.00037716i,6.0811e-05-9.1693e-05i,-0.0002899-0.0001241i,-0.00029694+0.00056293i,5.6857e-06+0.00028662i,0.0005237-2.3216e-05i,0.00092015-0.00037891i,0.0010316-0.00034938i,0.00068342-0.00017911i,0.00024432-0.00073347i,0.00071108-0.0002574i,0.00058791+0.00095941i,-2.8051e-05+0.00049936i,6.2175e-05+0.00011433i,0.00050927+0.00058572i,0.00085336-2.7085e-05i
-0.00059942+0.00055634i,-0.0010265+0.0013921i,-8.5845e-05+0.0023295i,0.000246+0.0014753i,0.00045932+0.00010074i,0.00061297-6.6806e-05i,-1.8893e-05-0.00013674i,-0.00012194-0.000443i,0.00012224-0.00058339i,-0.00020146-0.00063687i,-0.00091834-0.00048234i,-0.00049009-6.2155e-05i,0.00028045-4.0692e-05i,0.00042255-0.00048046i,8.4223e-06-0.0006657i,-0.00038421-0.0010121i,0.00036871-0.001548i,0.00086244-0.0014401i,0.00023536-0.00072798i,-0.00018266+0.0003178i,4.4084e-05+0.00075051i,0.00064114+0.00059252i,0.00043016+0.00052373i
0.0013134+0.000459i,0.0021771+0.00010622i,0.0028795-0.00027967i,0.0021978+0.00025994i,0.00084418+0.00026098i,0.00036317-0.00047816i,-0.00092868-0.00093911i,-0.0013537-0.00062307i,-0.00071891-0.00067094i,-0.00099701-0.00073061i,-0.00040352-0.00034946i,0.00052469+3.0388e-05i,0.00050302+0.00065493i,-0.00063181+0.00034042i,-0.0012339+5.7518e-05i,-0.00075373-0.0003567i,-0.00038645-0.00086735i,-6.5853e-05-0.00054656i,-0.00020644+0.00013263i,-0.00010245-4.8598e-05i,0.0002019+0.00023925i,0.00028529+0.00069949i,7.6803e-05+0.00075249i
-0.0013918-0.00076339i,-0.0013305-0.00030576i,-0.00040789+0.00042681i,1.0462e-05+0.00060168i,0.00034663+0.00061995i,-0.00027654+0.00019324i,-0.00069817-8.8501e-05i,-0.00089119-0.00032008i,-0.00040014-0.00030891i,7.5349e-05-0.00024114i,0.00048645-0.00051805i,0.00083457-0.00068044i,0.00079729-0.00088816i,0.00043413-0.00089172i,0.00053828-0.00046151i,0.0011925-5.3577e-06i,0.00086545+0.0001072i,0.00037468+0.00017784i,1.5288e-05+0.00035678i,4.7741e-05-0.00013699i,0.00027963-0.00016851i,0.00038265+0.00023434i,0.00045691+0.00018949i
-0.0005278+0.001202i,-0.00035271+0.00076963i,0.0010705+3.05e-05i,0.0016452-0.0011293i,0.0013345-0.0020029i,0.00038061-0.00172i,-0.00088582-0.00095907i,-0.0010059-0.00086762i,-0.000407-0.00026932i,-0.00021708-0.00011874i,-2.2822e-05-0.00057787i,-0.00051437-0.00011738i,-0.0009637-3.7955e-05i,-0.00052758-0.0003156i,-0.00058742+0.00012515i,-0.00080073+0.00033857i,-0.00089548+0.0002353i,-0.00075676+0.00018396i,1.2282e-05+0.0003674i,0.00031648+0.00027649i,0.0005532+0.00041448i,0.00072417+0.00074107i,0.00068639+0.00054243i
0.00064252-0.0012043i,0.0016116-5.5821e-05i,0.0012613+0.00039927i,3.9477e-05+0.00030583i,-6.0276e-05+0.00062452i,0.00016988+0.00022975i,-0.00010254-0.00097458i,-0.00048437-0.0015315i,-0.00088311-0.00079198i,-0.00047301+0.00024833i,0.00027566+2.8772e-06i,0.0002194+0.00021317i,-0.00021825+0.00067937i,0.00031927-0.0001588i,0.0012261-0.00066426i,0.0012256+5.5609e-07i,0.0010563+0.0002339i,0.00073239-0.00026141i,0.00056068-0.00014433i,0.00028615+2.7634e-05i,-0.00017013+0.00031723i,0.00019948+0.0001117i,0.00077835-2.1194e-05i
0.0010563+0.0025045i,0.0013326+0.0015615i,0.0013882+0.00060921i,0.00082646+7.9473e-05i,0.0002525-0.0011053i,-0.00087409-0.0012099i,-0.0015637-0.00069199i,-0.0010368-0.00078933i,-0.00033188-0.00090771i,-0.00059089-0.00097742i,-0.00072955-0.00021389i,-0.00024135+0.00010317i,0.00026555+0.00022386i,-0.00032728+0.00081233i,-0.00045197+0.00019585i,0.00064615-9.2786e-05i,0.001639+0.00038085i,0.0012082+5.5951e-05i,4.0601e-05-0.00093626i,-0.0002403-0.00057535i,0.00075976+0.0011153i,0.0010644+0.0016658i,2.5036e-05+0.00061654i
-0.0037044-9.8296e-05i,-0.003457-0.00025207i,-0.0016961+0.00082448i,-9.5251e-05+0.0014156i,0.0013532+0.00070961i,0.0017309+6.538e-05i,0.0012535-0.00054798i,0.0006345-0.00095795i,2.0634e-05-0.00091669i,-5.1461e-05-0.00064663i,7.9196e-06-0.00084838i,-0.00012055-0.00065215i,3.4453e-05-0.00028042i,0.00052125+0.00037085i,0.00083969+0.00043721i,0.0009578+0.00030616i,0.00077779+0.0012796i,0.0011847+0.001215i,0.00067229+0.00064707i,-0.00029309+0.00061591i,0.00027142+0.00014198i,0.00080353+0.00032182i,0.00049045+0.00038544i
0.0026395-0.00084159i,0.0029932-0.0013361i,0.0025493-0.00072945i,0.0020906-0.00020921i,0.001237-0.00024056i,-0.00050091-0.00069004i,-0.0006443-0.0013537i,-0.00051361-0.0012081i,-0.00061042-0.00039493i,-0.00037941-0.00024145i,-0.00069158+7.7824e-05i,-0.00055764-0.0001116i,4.6416e-05-5.0794e-05i,0.00018973+0.00069774i,-1.4817e-06+0.00046867i,-2.7637e-05+1.9734e-05i,0.00026553-0.00034887i,0.00054533-0.00074378i,-2.2074e-05-0.00064277i,-7.1756e-05-1.8668e-05i,0.00015922+0.0002074i,5.4782e-05-0.00031469i,-0.00040478-0.00057287i
-0.0018579+0.0015852i,-0.0010629+0.0020788i,0.00029309+0.0024407i,0.00087437+0.0021128i,0.00043208+0.00066345i,0.00016344-0.0010883i,-0.0005246-0.0017141i,-0.001218-0.000997i,-0.0012648-0.00041924i,-0.0011136-0.00032755i,-0.00080641+5.8283e-05i,0.00025691+0.00018626i,0.00080022-0.00042891i,0.00052459-0.00075358i,0.00055443-0.00076276i,0.00036016-0.00099033i,0.00029234-0.00083086i,0.00014465-0.00046751i,-0.00014448-0.00013347i,-0.00019521+0.00037476i,-0.0008149+0.00061005i,-0.0013906+0.00024301i,-0.0012731+1.3261e-05i
-0.0013271-0.00038914i,-0.0026035-0.00061669i,-0.0023413+0.00045234i,-0.00036062+9.1411e-05i,7.4492e-05-0.00078931i,-0.00069128-0.00087681i,-0.00086454-0.0006844i,-0.0010209-0.0010217i,-0.00035008-0.0007991i,0.0006306-5.9835e-05i,0.00053094+0.0003987i,-0.00032072+6.2785e-05i,-0.00072247-0.00039714i,-9.7654e-06-0.00031426i,0.00068491-0.00060322i,-0.00033499-0.00050586i,-0.00096808-0.00041082i,0.00012939-0.00071464i,-8.7542e-05-0.0011202i,-0.0011323-0.00098934i,-0.0013898-0.0005588i,-0.00085239-0.00026607i,0.00039665+0.00051546i
0.0014486+0.00058444i,0.001523+8.9256e-05i,0.0024497-0.00018414i,0.0029488+0.00017353i,0.0021506+0.00055045i,-1.0621e-05-0.00046271i,-0.0013341-0.0018466i,-0.0009887-0.0013905i,0.00018353-0.00050606i,0.0006951-5.7463e-05i,-8.7024e-05-0.00030535i,-0.00038062-8.3915e-05i,0.00035385+0.00067658i,0.00062987+0.00047747i,1.6425e-05-9.0851e-05i,0.00019104-0.00014543i,0.00068901+0.00017967i,0.00037086+0.00074032i,-0.00062366+0.00073356i,-0.0011698+3.0478e-05i,-0.00028877-0.00025468i,0.00015501+0.00022777i,-2.9386e-05+0.00033132i
0.00075985+0.00099684i,0.0015134+0.0012487i,0.0031828+0.0010824i,0.0025061+0.0001686i,7.6855e-05-0.00065387i,-0.0011671-0.0011009i,-0.00048206-0.00099134i,-0.00064846-0.00069821i,-0.00074147-0.00046621i,-0.00033379+8.0119e-05i,-0.00046515+0.00034907i,0.00043416+0.00088096i,0.00092781+0.00083187i,-0.00032271-0.00020269i,-0.00068745-0.0003221i,0.00016772-8.5164e-05i,0.00010301-0.00048812i,-0.0010532-0.00048759i,-0.00074212+0.00011356i,2.7472e-06+0.00057758i,0.00025925+0.00039957i,0.00012495+0.00026608i,-0.00019683-4.4724e-05i
0.00085964-0.00041865i,7.6394e-06+0.00013464i,0.00010107-0.00037226i,0.00017506-0.00060519i,-0.00046937+0.00039296i,-0.00021484+0.0013563i,-0.00023593+0.0013131i,-3.3618e-05+0.00040533i,0.00030342+9.9573e-05i,-5.2357e-05+0.000739i,-0.00056782+0.00090901i,-0.00078336+0.0012423i,-0.0002603+0.0014464i,5.1418e-05+0.0010559i,-5.0636e-05+0.00046992i,0.0001541+0.00029695i,9.3182e-05+0.00016867i,0.00027862-0.00049545i,0.00088954-0.00022092i,0.00056966+0.00022099i,0.00075066-0.00017372i,0.00083126-0.000135i,-5.2919e-05+0.00012351i
-0.00023697-0.0030508i,-0.00021906-0.0024535i,-0.00074352-0.0010703i,0.00011093-0.00060637i,0.00095308-0.00075514i,0.00022402-0.0012767i,-5.4074e-05-0.0016071i,0.0001952-0.001706i,-0.00021682-0.0011627i,-0.0011753-9.4564e-05i,-0.001424+0.00052438i,-0.00029155+0.00081402i,0.00088099-2.4388e-05i,0.00053248+1.0463e-05i,-2.4882e-06+0.00077126i,-0.00011903+0.00092855i,-0.00033114+0.00038669i,-0.00011985+2.1809e-05i,0.00053083+0.00027497i,0.00037268+0.00022252i,-0.000451+0.00045373i,-0.00067891+0.00066341i,-0.00054536+0.00043067i
0.0019712+0.0010612i,0.0026478+0.0021945i,0.0024073+0.0027462i,0.0014007+0.0014004i,0.00041515-0.00071787i,0.00063129-0.0019477i,0.0015823-0.0013474i,0.0013213-0.00024256i,0.00032309+0.00044631i,0.00055087+0.00084545i,0.00039682+0.00059944i,0.00010418+0.00042829i,0.00020579+0.00018296i,-1.5234e-05-0.000276i,-0.00016956+8.0094e-05i,-0.00033555+0.00064302i,-0.00044399+0.00080819i,-0.0002894+4.4076e-05i,-0.00049538-0.00011451i,-0.00051322+0.00040582i,-0.00016289+0.00070094i,6.8659e-06+0.00093916i,0.00021028+0.00062923i
-0.0027153-0.00035643i,-0.0033653-0.0010886i,-0.002399-0.0003334i,-0.00020489+0.00084272i,0.00065822+4.3755e-05i,-0.00058167-0.0016365i,-0.0016001-0.0022442i,-0.0011298-0.0017644i,-0.00010021-0.00075558i,9.1536e-05+6.2136e-05i,-0.00069012+0.00013458i,-0.0013092+0.00015193i,0.00014443+0.00017776i,0.0010511+4.0313e-05i,0.00036788-0.00013289i,0.00024895+0.00052508i,0.00081271+0.00055084i,0.00070635-0.00015795i,0.00025661-0.00017585i,-8.864e-05+0.00022549i,0.00041879-0.00011325i,0.00044498-0.00018944i,-0.00015876+6.7613e-05i
-0.00010295-0.00065877i,-0.0010754-0.0011637i,-0.00094585-0.0002704i,0.00057587+0.00014034i,0.00084748-8.3196e-05i,-0.00040552-0.00021814i,-0.0011817-0.00048883i,-0.0010789-1.2923e-05i,-0.00095062-3.9336e-05i,-0.0016242-0.00060495i,-0.0015709-0.00034775i,-0.00067141-0.00067741i,5.1535e-05-0.0016934i,0.00015511-0.0013245i,-5.6409e-05-0.00035822i,0.00039224-0.00013275i,0.0011075-5.1797e-05i,0.00089637+3.5481e-05i,-4.8225e-05+0.00051831i,-0.00056818+0.0008422i,-0.0004581+0.00061367i,9.9573e-05+0.00057972i,-9.1089e-05+0.00091688i
0.00064353+0.0011049i,0.0010001+0.001539i,0.00049056+0.0018945i,0.00060514+0.0019522i,0.00072469+0.00090229i,0.0004583-0.00073458i,-0.00083922-0.0017354i,-0.001574-0.0011579i,-0.00085024-0.000422i,0.00013586+7.7495e-05i,0.00015133+0.00068312i,0.00025365+0.00058402i,0.00076366+0.00067272i,0.0014607-0.00024099i,0.001539-0.00083566i,0.00050747-0.00064016i,0.00027082-0.00063821i,0.00072353-0.00016054i,0.00094743-0.00062282i,0.00025362-0.0011632i,-0.00094812-0.00081783i,-0.00069413-0.00040955i,0.0003475-0.00024332i
0.00066847+0.0014032i,0.0007415+0.0016073i,0.00068651+0.0014555i,0.00017734+0.00099873i,-0.00043799-4.3693e-05i,-0.0011546-0.00048855i,-0.00107-0.0004971i,-0.00097748-0.00038241i,-0.00017735-7.9506e-05i,0.00028005+0.00030904i,-0.00045953+0.00019505i,-0.0010411-0.00021486i,-0.00045202-0.00060834i,0.00059878-0.0011038i,0.0010672-0.00083667i,0.000905-0.00051864i,0.00032528-0.00017627i,0.00013128-0.00010601i,0.00017514+9.7646e-05i,0.00078963-7.8323e-05i,0.00042824-0.0010461i,-0.00045353-0.00066707i,-0.00076389-1.8191e-05i
0.00068155-0.00065799i,0.00050605-0.0016408i,0.0013774-0.0016485i,0.0020187-0.0007477i,0.00098122-0.00030742i,-0.00025929-0.0010272i,-0.00036639-0.00069566i,0.00051502-1.9613e-05i,0.0004834-0.00015258i,-0.00014519-0.00041544i,-7.8122e-05-0.00082938i,-4.3942e-05-0.0016179i,-0.00018158-0.0011132i,0.00018855-0.00013545i,0.00042632-1.8668e-05i,0.00011332-0.00037522i,-0.0002256-0.00059923i,-4.2204e-05-0.00023418i,0.00028549+0.00055129i,-0.00037577+0.00065139i,-0.00021852+0.00014186i,0.00033641+2.2941e-05i,0.00041375-4.4293e-05i
0.00061299+0.00070464i,0.00064387+0.00061015i,0.00068145+0.0001699i,0.0012044+0.00020699i,0.0010266+0.00032642i,0.00077412+0.00043285i,0.00026029+0.00052253i,-0.00049087+6.2699e-05i,-0.00052872-0.00039356i,-0.0002882-0.00062964i,2.9831e-05-0.0003644i,0.00091028+0.00014686i,0.0012538+0.00014667i,0.0010035-4.8923e-05i,0.00092745+0.00014534i,0.00059044+0.00022465i,3.7643e-05-2.2213e-05i,2.8936e-05-0.00020777i,2.0729e-05+0.0001662i,-0.0001835+0.0001587i,-0.00042075-0.00022626i,-0.00044783-0.0001842i,0.00010316-0.00021074i
-0.0012043-0.00063819i,-0.0013603-0.00059014i,-2.4927e-05-0.00083978i,0.0014605-0.0012044i,0.0010171-0.0018448i,-0.00027798-0.0016328i,-0.00050896-0.00081348i,-0.00048804-0.0004908i,-0.00010759-0.00072208i,-4.418e-05-0.00038554i,-0.00033963+0.00029148i,-0.00058365+0.00014962i,-8.8393e-05-0.0004892i,0.00054346+5.5254e-05i,2.5311e-05+0.0010574i,7.1111e-05+0.001192i,0.00026179+0.0013741i,0.00048596+0.0014549i,0.00065242+0.00085181i,0.00036709-0.00011584i,0.00031881-0.00044107i,0.00023975-0.00062364i,1.4292e-05-0.00029686i
0.0013344+0.0002702i,0.0023321-0.00019178i,0.0024992+0.00067499i,0.0021627+0.0010129i,0.0015277+0.00011448i,0.00051225-0.00099899i,-6.7922e-05-0.00059969i,-0.00038009-0.00016776i,-5.0545e-05+0.00018069i,-2.9325e-05+0.00031482i,0.00023831-0.00032274i,-7.46e-05-0.00044086i,-0.0011559-0.00050266i,-0.00071189-0.00063342i,0.00032955+0.00012694i,0.00012691+0.00015788i,1.081e-05-0.00029152i,-0.00026846-0.00039201i,-0.00083323-0.0010747i,3.5984e-06-0.00095888i,0.00039971-0.00017324i,-0.00020825+0.00074531i,-0.00073339+0.00078386i
0.00018115+0.0026025i,-0.00063485+0.0029303i,-0.00097345+0.0019048i,0.00047917+0.00046674i,0.00035762-0.00043297i,-0.00053218-0.0013962i,-0.0012935-0.001711i,-0.00046353-0.0012645i,0.00015546-0.00067107i,-0.00034103-0.00065816i,-0.00024181-0.00053014i,-0.00011318+2.7762e-05i,0.00068646+0.00024497i,0.00097224-1.602e-06i,0.00031143-0.00022927i,-0.00040669-0.00039183i,-0.00021611-0.00025208i,0.00076178-0.00026948i,-1.5353e-05+3.8127e-06i,-0.00066367+0.00049581i,-0.00034797+0.00068099i,0.00029842+0.00064899i,0.00090792+0.0012291i
0.00048598+0.00053894i,0.0016022+0.0011738i,0.0025718+0.0009003i,0.0022602+0.000138i,0.0016717-0.0012676i,0.00080538-0.0017962i,-0.00011111-0.0013114i,-0.00046756-0.00044282i,-0.00059656-0.00024264i,-0.0007489-0.00052404i,-0.00092952-0.00048018i,-0.00052795-0.00019502i,-0.00046282+5.4896e-07i,-0.00078856-0.00029522i,-0.00059787-0.00080937i,-0.00030687-0.00074801i,-0.00033615+0.00021772i,-0.00062285+0.00076519i,-0.0010544+0.00031158i,-0.0003878-0.00018146i,0.00010438+0.00043463i,0.00018729+0.0011854i,0.00045036+0.0007216i
0.0012407-0.0020496i,0.0018148-0.0028636i,0.001365-0.0033575i,0.00019024-0.0023824i,-0.0005602-0.0013463i,-0.00059337-0.00092373i,-0.0008312-0.00044291i,-0.00084852-0.00039055i,-0.00051394-0.00029881i,-0.00028584+0.00054206i,-0.00027279+0.00096777i,-0.0002061+0.0010158i,0.00021849+0.0021052i,0.00048224+0.0022055i,0.00046898+0.00086815i,-0.0003575+0.00062364i,-0.0011798-0.00017799i,-0.0010738-0.00061708i,-0.00018184-3.1108e-05i,0.0011822-0.00033067i,0.0010324-0.00058678i,-0.00031911-0.00026099i,-0.0004895-1.9199e-05i
