-0.0032886-0.00038311i,-0.0029387-0.00084816i,-0.0031507-0.00074459i,-0.0031019-0.00033786i,-0.0019689+0.00084538i,-0.00088232+0.0019359i,-0.00042428+0.0012481i,0.0001749+0.00061313i,0.00034809+0.00090622i,5.4067e-05+0.0013492i,0.00040372+0.0015339i,6.3269e-05+0.0016116i,-0.0006029+0.00079395i,-3.3507e-05-0.00072835i,-0.00015599-0.00076927i,-0.00021626-0.00023798i,-3.0704e-05+0.00077073i,-0.00054658+0.0021637i,-0.00059424+0.0016067i,0.00050692+0.00024685i,0.00087985+8.3588e-05i,1.7314e-05+0.00057708i,8.3107e-06+6.7431e-05i
-0.097889+0.39829i,-0.12268+0.57905i,-0.1041+0.54709i,-0.046647+0.33208i,-0.00050617+0.14409i,0.026949+0.078493i,0.048964+0.057556i,0.043002+0.0291i,0.019083+0.010841i,0.0029405+0.009621i,-0.0038749+0.01257i,-0.0068391+0.015855i,-0.0079192+0.016689i,-0.0080041+0.010154i,-0.0095593+0.0032812i,-0.014335+0.0066155i,-0.017954+0.018724i,-0.013165+0.029083i,-0.00079464+0.026555i,0.0068565+0.01529i,0.0066374+0.0067418i,0.0062158+0.0021886i,0.0056905-0.00069638i
-0.40682-0.073528i,-0.61249-0.058583i,-0.60914-0.028404i,-0.39593-0.021484i,-0.16233-0.036064i,-0.032972-0.028232i,0.016493+0.012777i,0.027757+0.033805i,0.017122+0.024763i,0.0047117+0.0091379i,-0.0016544-0.0058775i,-0.0047399-0.014103i,-0.0009915-0.013053i,0.0094534-0.0084695i,0.015219-0.0066053i,0.011731-0.0097969i,0.0020546-0.017722i,-0.0082988-0.025501i,-0.013362-0.025894i,-0.012561-0.019169i,-0.0081208-0.010811i,-0.0015728-0.0057444i,0.0038613-0.0040033i
0.045396-0.40586i,0.0021067-0.60494i,-0.027219-0.57087i,0.0055332-0.32513i,0.037805-0.10021i,0.018711+0.0024347i,-0.016162+0.038286i,-0.019853+0.041604i,-0.0048755+0.021931i,0.0039126+0.0013589i,0.0035182-0.010458i,-0.00066713-0.012818i,-0.0020315-0.0070539i,0.0019377+0.00043541i,0.0059913+0.0037151i,0.003529+0.00019414i,-0.0012806-0.0055183i,-0.0015926-0.0054861i,0.0029762+0.0008895i,0.0064774+0.0063358i,0.0059261+0.0071159i,0.0016686+0.0075819i,-0.0018001+0.0084842i
0.39339+0.012624i,0.57911-0.094755i,0.54032-0.19391i,0.32381-0.16936i,0.16043-0.062867i,0.096741+0.0020806i,0.043341+0.0097192i,0.00016291+0.004288i,-0.010324-0.0011787i,-0.0036537-0.0040158i,0.0067472-0.0012877i,0.014073+0.0030208i,0.010457+0.0089943i,-0.0019532+0.017248i,-0.011029+0.020798i,-0.0077226+0.018074i,0.0063745+0.012562i,0.019013+0.0043843i,0.01951-0.0054851i,0.01293-0.012346i,0.0065658-0.010337i,0.0029744-0.0043476i,0.0019748-0.00078744i
0.0178+0.37526i,0.15613+0.55871i,0.24054+0.55355i,0.14283+0.38445i,-0.019357+0.21532i,-0.075975+0.10367i,-0.056052+0.018999i,-0.034559-0.019545i,-0.021141-0.017192i,-0.013508+0.00066675i,-0.0042135+0.013611i,0.0023583+0.008714i,-0.0006851-0.00090151i,-0.0052533-0.0062637i,-0.0082198-0.010254i,-0.01165-0.009135i,-0.01616-0.001653i,-0.019337+0.0080981i,-0.018799+0.014314i,-0.015193+0.015278i,-0.010727+0.010904i,-0.0078999+0.0056257i,-0.0059645+0.0027199i
-0.33909+0.037819i,-0.46149+0.20113i,-0.38766+0.29256i,-0.20727+0.19475i,-0.10827+0.066423i,-0.099113+0.044153i,-0.076001+0.049476i,-0.042487+0.020129i,-0.027937+0.00038935i,-0.020353+0.0043488i,-0.01259+0.010492i,-0.0069276+0.0098158i,-0.0044066+0.003765i,-0.0011791-0.0029562i,0.0037643-0.0084089i,0.0050186-0.0096022i,0.001926-0.0043938i,-6.8235e-05+0.001165i,0.0022795+0.00095838i,0.0040976-0.0035361i,0.0023849-0.0043834i,0.002488-0.00057715i,0.0031356+0.001142i
-0.057228-0.29744i,-0.26982-0.39121i,-0.4291-0.31699i,-0.35896-0.19697i,-0.19324-0.16297i,-0.10514-0.14967i,-0.07024-0.086109i,-0.034976-0.023666i,-0.0099462-0.0024584i,-0.0066645-0.0063513i,-0.012548-0.010072i,-0.010875-0.005839i,9.7048e-05+0.00083938i,0.0090052+0.0078814i,0.013337+0.012545i,0.012218+0.0064426i,0.0056268-0.0070891i,-0.0022411-0.014649i,-0.0083423-0.01095i,-0.0097433-0.0040786i,-0.0080789-0.0039387i,-0.008984-0.0072129i,-0.0099115-0.0075559i
0.26044-0.059126i,0.33187-0.26607i,0.26448-0.38821i,0.18013-0.27028i,0.15105-0.10975i,0.095326-0.081254i,0.019952-0.078542i,0.0042283-0.044119i,0.021562-0.024012i,0.024923-0.022791i,0.012489-0.018603i,-0.0016219-0.0062859i,-0.0089354+0.0031908i,-0.013617+0.0059114i,-0.013353+0.0061661i,-0.0069426+0.005162i,0.00047183+0.006517i,0.0068073+0.0094907i,0.013577+0.0086811i,0.01805+0.0034154i,0.015752-0.0021239i,0.0074382-0.0051814i,-0.00056516-0.0062149i
0.057931+0.20529i,0.25761+0.19326i,0.37679+0.02999i,0.27927-0.089014i,0.15172-0.06445i,0.14182-0.038831i,0.12391-0.070749i,0.061397-0.066537i,0.029779-0.027859i,0.024724-0.0073585i,0.023184-0.0035121i,0.019598-0.0014922i,0.011456+0.0015392i,0.0016804+0.0020928i,-0.0050302-0.0018994i,-0.0041004-0.0063641i,0.0009873-0.0061883i,0.0030993-0.0027734i,-0.00069719+0.00016602i,-0.0031301+0.00036264i,-0.00029425-0.0024801i,0.0032974-0.0062468i,0.0067449-0.0065101i
-0.14803+0.057352i,-0.097135+0.2759i,0.048207+0.4548i,0.078091+0.41866i,-0.0046443+0.26163i,-0.026882+0.13193i,0.012513+0.035175i,0.020056-0.015441i,0.0043867-0.011079i,-0.0026615+0.0071949i,-0.0024711+0.014722i,0.00079063+0.007532i,0.0040595-0.0057202i,0.011679-0.011552i,0.020862-0.0076194i,0.022052+0.00053234i,0.011175+0.0058159i,-0.0027572+0.0062959i,-0.0059007+0.0044922i,-0.0024644+0.0049059i,0.00013458+0.0071552i,0.0035535+0.006733i,0.0054474+0.0054999i
-0.021986-0.11895i,-0.16651-0.054553i,-0.23241+0.078345i,-0.1296+0.076847i,-0.037192-0.0025357i,-0.026131+0.014429i,0.0027581+0.058191i,0.019152+0.039586i,-0.0060312+0.013851i,-0.02177+0.010945i,-0.023075+0.01486i,-0.021889+0.020242i,-0.018252+0.018711i,-0.015148+0.015176i,-0.0069346+0.015736i,0.0046384+0.012669i,0.008513+0.0037691i,0.0027876-0.003596i,-0.0054131-0.0053976i,-0.008844-0.0074565i,-0.0083814-0.010028i,-0.0064752-0.007268i,-0.002706-0.0020792i
0.068026+0.0069153i,-0.083136-0.10635i,-0.35253-0.18442i,-0.43434-0.15068i,-0.26407-0.1115i,-0.1004-0.098013i,-0.027568-0.040153i,0.01707+0.0088833i,0.033047+0.010698i,0.024728-0.0022829i,0.0089409-0.013176i,-0.0042833-0.014074i,-0.00389-0.0054189i,-0.0014204+0.0043123i,-0.0055514+0.014643i,-0.0076599+0.020528i,-0.0036686+0.013281i,0.0047732+0.00059998i,0.011647-0.0045006i,0.011574-0.00247i,0.0087064-0.0013234i,0.0061312-0.0041642i,0.0020221-0.0076586i
-0.020133+0.046187i,0.076321-0.080956i,0.18603-0.24674i,0.22377-0.21563i,0.19859-0.057303i,0.14576+0.0030779i,0.067808+0.0015504i,0.026285+0.0057887i,0.023634-0.0044284i,0.023649-0.012742i,0.022087-0.019195i,0.0097839-0.026661i,-0.0034183-0.023441i,-0.0047537-0.017531i,-0.0025295-0.01185i,0.0021543-0.0018962i,0.01035+0.008056i,0.010711+0.011762i,0.0030849+0.0084535i,0.004095+0.0038218i,0.012757+0.0003211i,0.016961-0.0033938i,0.014734-0.0040392i
-0.021658-0.075161i,0.1299-0.098708i,0.3139-0.16236i,0.29701-0.21676i,0.16141-0.15605i,0.09701-0.042895i,0.054585-0.0085863i,-0.010347-0.0014081i,-0.03576+0.024589i,-0.021726+0.03454i,-0.0022545+0.029687i,0.013625+0.022244i,0.018833+0.019307i,0.017808+0.023196i,0.014704+0.024568i,0.0058828+0.02232i,-0.0032741+0.023959i,-0.0017978+0.028975i,0.0059798+0.029202i,0.0062899+0.02413i,0.0034886+0.018851i,0.0062432+0.01589i,0.010436+0.013512i
0.11433+0.0076223i,0.14707+0.19801i,0.15937+0.46135i,0.10927+0.5247i,0.0010338+0.38624i,-0.067583+0.23869i,-0.057973+0.13185i,-0.025596+0.058036i,-0.0026605+0.024145i,0.0023699+0.015611i,-0.0023833+0.02013i,-0.00061771+0.020037i,0.0015456+0.0089455i,-0.0033435+0.0043611i,-0.0091575+0.008469i,-0.012793+0.012261i,-0.018113+0.010767i,-0.023914+0.00028709i,-0.022605-0.013519i,-0.013665-0.020434i,-0.0046269-0.015402i,-0.0008864-0.0049509i,-0.0026574+0.0019097i
0.013074+0.13923i,-0.088444+0.20267i,-0.20184+0.22728i,-0.15499+0.15484i,-0.059794+0.037598i,-0.052513-0.0019942i,-0.025669+0.0097137i,0.025851-0.012231i,0.022039-0.03572i,-0.0027789-0.030988i,-0.018604-0.021286i,-0.028618-0.011491i,-0.034513-0.003511i,-0.044102+0.00032079i,-0.052178+0.0041017i,-0.046484+0.0043996i,-0.03209-0.0021872i,-0.019626-0.0028476i,-0.0099037+0.0084276i,-0.0021141+0.013538i,-0.00045592+0.006544i,-0.0042917+0.0021161i,-0.0056754+0.0026044i
-0.1914+0.011947i,-0.36381-0.082179i,-0.55321-0.22202i,-0.60507-0.23157i,-0.45441-0.15657i,-0.25787-0.14096i,-0.13738-0.11811i,-0.063483-0.052889i,-0.018311-0.0090399i,-0.001822+0.0064092i,0.0071549+0.0010351i,0.0098669-0.014968i,0.009532-0.020652i,0.011837-0.020313i,0.0098196-0.016414i,0.0058303-0.0051505i,0.0079584+0.0012007i,0.017545-0.0059222i,0.026141-0.013707i,0.027607-0.006154i,0.027111+0.0090835i,0.024465+0.012414i,0.016072+0.0045575i
0.0067324-0.19713i,0.11168-0.34203i,0.29428-0.40401i,0.379-0.31303i,0.31026-0.18646i,0.19638-0.13471i,0.084461-0.096037i,0.0046463-0.039689i,-0.022316-0.0088005i,-0.015183+0.00136i,0.0071143+0.0021816i,0.019338-0.0045841i,0.016831-0.0054238i,0.014044-0.0016482i,0.01061-0.0031767i,0.00057748-0.0076493i,-0.011463-0.0017699i,-0.023645+0.017377i,-0.034303+0.03594i,-0.029852+0.039951i,-0.014982+0.029507i,-0.006717+0.01541i,-0.0041277+0.0079195i
0.22685-0.031178i,0.42462-0.060261i,0.52457-0.11595i,0.41787-0.22003i,0.24987-0.25385i,0.17542-0.18108i,0.1286-0.11993i,0.049386-0.067808i,0.0064787-0.012175i,-0.00018171+0.0066757i,-0.0058677+0.012362i,-7.7352e-05+0.022679i,0.010033+0.02358i,0.0087411+0.018621i,0.0018682+0.012468i,-0.0050879+0.0024164i,-0.01128-0.0028937i,-0.0079711-0.0012185i,0.0034479-0.0010771i,0.0038159+0.00062675i,-0.0055806+0.0075945i,-0.007663+0.010331i,-0.0046304+0.0041678i
0.03294+0.25412i,0.023056+0.51463i,-0.034673+0.73441i,-0.043009+0.74743i,0.022255+0.57705i,0.078733+0.37501i,0.09835+0.2124i,0.10191+0.083386i,0.088697+0.0045125i,0.055582-0.023633i,0.019962-0.021526i,-0.0048491-0.017398i,-0.024603-0.023468i,-0.042533-0.030726i,-0.045926-0.03335i,-0.029407-0.032851i,-0.01643-0.036945i,-0.02673-0.042878i,-0.046133-0.038002i,-0.047425-0.022282i,-0.031296-0.009045i,-0.015696-0.0063194i,-0.0076463-0.0082317i
-0.21265+0.052465i,-0.36772+0.087508i,-0.38265+0.078639i,-0.20918+0.054968i,-0.044315+0.054009i,0.0080173+0.079186i,0.034294+0.080863i,0.033025+0.035781i,-0.011069+0.0030815i,-0.032651+0.0041695i,-0.024464+0.0012365i,-0.013771-0.0040628i,-0.00055382-0.0033206i,0.012024-0.0046635i,0.019817-0.0020028i,0.021219+0.0072207i,0.019936+0.015141i,0.025623+0.020055i,0.032259+0.022861i,0.022639+0.021508i,0.0040172+0.016861i,-0.0045612+0.013723i,-1.8365e-05+0.010117i
-0.065166-0.23863i,-0.18289-0.45571i,-0.32689-0.57174i,-0.45079-0.45i,-0.4551-0.21123i,-0.34373-0.062961i,-0.22669-0.0087812i,-0.13653+0.023699i,-0.063867+0.043305i,-0.012412+0.045164i,0.02197+0.038946i,0.044377+0.026879i,0.060015+0.010347i,0.070256-0.0043688i,0.065688-0.011168i,0.046772-0.0097873i,0.028715-0.0055642i,0.012027-0.010888i,-0.0094258-0.024877i,-0.023224-0.030243i,-0.019785-0.021407i,-0.0067314-0.013332i,0.0024173-0.010166i
0.25209-0.050555i,0.4667-0.10991i,0.57482-0.11676i,0.4929-0.096079i,0.32084-0.099628i,0.18368-0.10281i,0.10643-0.078515i,0.07506-0.064107i,0.056489-0.077443i,0.031738-0.074069i,0.013377-0.044781i,0.00051666-0.0093568i,-0.0076258+0.023751i,-0.0093921+0.048794i,-0.010995+0.058109i,-0.013445+0.046801i,-0.018992+0.028983i,-0.024875+0.025012i,-0.023744+0.028948i,-0.018719+0.021041i,-0.012917+0.0016517i,-0.0043964-0.010199i,0.0052339-0.0090119i
0.092644+0.22191i,0.20899+0.3621i,0.26959+0.29465i,0.21596+0.033855i,0.12247-0.15285i,0.074062-0.1624i,0.066589-0.11535i,0.058199-0.071889i,0.040557-0.027422i,0.015133+0.0021625i,-0.0098984+0.018057i,-0.025946+0.022001i,-0.034179+0.01931i,-0.03383+0.015342i,-0.022993+0.0090909i,-0.0043123+0.0036336i,0.010561-0.0080287i,0.014915-0.032905i,0.014531-0.058749i,0.0094217-0.062551i,0.0047393-0.03926i,0.010074-0.01088i,0.017798+0.0011205i
-0.22823+0.091648i,-0.43518+0.23182i,-0.4848+0.38168i,-0.30505+0.46746i,-0.088437+0.44898i,0.0075489+0.36109i,0.018148+0.26845i,0.031273+0.19215i,0.046648+0.12312i,0.04201+0.067027i,0.027902+0.02974i,0.012687-0.0024421i,-0.006568-0.02806i,-0.025752-0.038061i,-0.038398-0.032221i,-0.041696-0.015233i,-0.037031-0.003565i,-0.032378+0.0009615i,-0.029042+0.007841i,-0.016812+0.010267i,-0.00039501+0.0056749i,0.0050555+0.0058655i,0.004278+0.014217i
-0.055576-0.20389i,-0.094298-0.36983i,-0.067683-0.38385i,0.0065529-0.24755i,0.028552-0.12428i,-0.0026767-0.059396i,-0.017999-0.022136i,-0.036124-0.001028i,-0.05944+0.0119i,-0.054186+0.015843i,-0.037759+0.011578i,-0.012109+0.01323i,0.027135+0.010658i,0.05643+0.0011186i,0.059366+0.00020442i,0.041124+0.0085693i,0.027131+0.018103i,0.037478+0.019572i,0.057863+0.0057589i,0.058163-0.012695i,0.035611-0.015893i,0.012699-0.0036707i,0.0033562+0.0071745i
0.21617-0.08284i,0.34133-0.20277i,0.24002-0.30744i,-0.058264-0.28799i,-0.25486-0.1689i,-0.24116-0.088478i,-0.16146-0.067237i,-0.09448-0.045809i,-0.036981-0.026202i,-0.0021609-0.012795i,0.0099032+0.0033675i,0.010553+0.017572i,0.0056942+0.029178i,-0.001761+0.035958i,-0.011714+0.023433i,-0.019637-0.0017535i,-0.022073-0.01657i,-0.026632-0.016872i,-0.035169-0.00802i,-0.031401+0.0062757i,-0.013947+0.015197i,-0.00072176+0.012913i,0.0025188+0.0085518i
0.07721+0.25137i,0.15971+0.45463i,0.20755+0.49619i,0.22137+0.3176i,0.2455+0.086545i,0.25936-0.027795i,0.22295-0.037127i,0.15747-0.038657i,0.092541-0.056642i,0.037543-0.054578i,0.0032256-0.039618i,-0.019711-0.022525i,-0.037967+0.0069812i,-0.041166+0.033592i,-0.029663+0.04288i,-0.012149+0.038628i,-0.0013701+0.026134i,0.0044421+0.020507i,0.017766+0.025604i,0.026766+0.024479i,0.022007+0.016589i,0.01212+0.011792i,0.0061625+0.010929i
-0.20744+0.079307i,-0.29922+0.14937i,-0.20032+0.1337i,0.011147+0.026218i,0.11203-0.047717i,0.078025-0.020939i,0.021618+0.034418i,-0.0085013+0.067177i,-0.0070637+0.081996i,-0.0005934+0.070791i,-0.0024853+0.048966i,-0.00099816+0.019207i,-0.0033882-0.02432i,-0.012076-0.061366i,-0.016401-0.074599i,-0.012391-0.064228i,-0.0051648-0.05037i,-0.0062946-0.050325i,-0.016758-0.053916i,-0.022488-0.044085i,-0.018674-0.022205i,-0.013648-0.0054235i,-0.012436+0.0032876i
-0.070205-0.21257i,-0.17569-0.35864i,-0.25563-0.31489i,-0.2099-0.050234i,-0.087245+0.22113i,-0.031346+0.31563i,-0.042607+0.25745i,-0.036458+0.16008i,-0.0094298+0.082409i,0.010975+0.030183i,0.014852+0.0018456i,0.015545-0.0028137i,0.026452+0.0023055i,0.037784+0.00828i,0.03595+0.013256i,0.016786+0.014628i,-0.0022863+0.015487i,-0.0047921+0.017318i,0.001384+0.022395i,0.0087466+0.024894i,0.0083851+0.016908i,-0.0010055+0.0074117i,-0.0086134+0.0037989i
0.21432-0.0038496i,0.35987-0.013288i,0.31741-0.009619i,0.090492+0.027438i,-0.10197+0.040903i,-0.146-0.019101i,-0.11439-0.099141i,-0.10254-0.12946i,-0.10506-0.092814i,-0.078891-0.032594i,-0.041887-0.004374i,-0.0198+0.0044773i,0.0039247+0.022385i,0.034747+0.033882i,0.055534+0.019957i,0.057811-0.0088178i,0.046635-0.024506i,0.034616-0.023631i,0.024338-0.019509i,0.0090428-0.010545i,-0.0018911+0.0041919i,-0.0013366+0.013892i,0.0054757+0.014355i
0.026048+0.22346i,0.086293+0.33233i,0.1216+0.24041i,0.019117+0.028728i,-0.14252-0.062122i,-0.18238-0.034946i,-0.11162-0.0014117i,-0.027043+0.016748i,0.016822+0.025291i,0.024323+0.031231i,0.023082+0.024634i,0.0010536+0.0075508i,-0.041904+0.012619i,-0.072567+0.039428i,-0.074829+0.0554i,-0.054619+0.046193i,-0.03395+0.022824i,-0.02679+0.011007i,-0.028066+0.019188i,-0.02501+0.028364i,-0.013543+0.025163i,-0.0011384+0.015098i,0.0047429+0.0061317i
-0.21979+0.026274i,-0.34097+0.089746i,-0.29975+0.12508i,-0.10445+0.04089i,0.076799-0.0794i,0.15316-0.08814i,0.1602-0.026203i,0.14429+0.0043583i,0.11639-0.009609i,0.061168-0.024935i,0.010838-0.0053453i,0.0022903+0.014266i,0.0066526+0.0028047i,0.0023491-0.010234i,0.0075991-0.0040136i,0.026984+0.011298i,0.042404+0.015965i,0.043602+0.0012216i,0.032927-0.020305i,0.012629-0.034086i,-0.0068975-0.030522i,-0.014331-0.015084i,-0.015654-0.00015756i
0.027832-0.15424i,0.026558-0.21404i,0.062622-0.14806i,0.1379-0.028587i,0.12534+0.032795i,0.00077762+0.03359i,-0.10912+0.029097i,-0.12791+0.037806i,-0.090475+0.049015i,-0.049026+0.03835i,-0.029429+0.018596i,-0.018465+0.0040141i,-0.011782-0.014634i,-0.017818-0.027065i,-0.024252-0.025815i,-0.022137-0.020009i,-0.010553-0.016157i,0.0021182-0.021633i,-0.0015085-0.033652i,-0.013622-0.034054i,-0.017155-0.021607i,-0.014867-0.0090705i,-0.012047-0.00050032i
0.14312+0.087375i,0.18656+0.0447i,0.086083-0.043848i,-0.073154-0.037614i,-0.14543+0.05792i,-0.12589+0.096772i,-0.085733+0.044744i,-0.062634+0.0065253i,-0.048604+0.013749i,-0.023937+0.018174i,-0.013487-0.0031798i,-0.024183-0.013049i,-0.020263+0.010212i,0.001463+0.03949i,0.020891+0.056607i,0.029807+0.057537i,0.029784+0.046307i,0.028658+0.036799i,0.03245+0.022803i,0.030293+0.0018785i,0.016161-0.011658i,-0.0021431-0.0098271i,-0.012582+0.00045604i
-0.13489+0.15605i,-0.17002+0.25466i,-0.15019+0.25448i,-0.16817+0.14287i,-0.21145-0.02607i,-0.18137-0.18057i,-0.095904-0.22675i,-0.039233-0.17633i,-0.030971-0.10955i,-0.026529-0.048915i,0.002251-0.014839i,0.021457-0.016831i,0.0066878-0.029988i,-0.024386-0.038185i,-0.045237-0.034996i,-0.038478-0.023328i,-0.016513-0.0088655i,0.0037627+0.0046283i,0.016604+0.0089677i,0.018297+0.0040861i,0.014151+0.0026831i,0.010784+0.0033697i,0.0054359+0.00039452i
-0.092424-0.13027i,-0.05978-0.17841i,0.10974-0.15856i,0.28419-0.18022i,0.28268-0.23991i,0.18675-0.19524i,0.13961-0.069906i,0.12352+0.011662i,0.088209+0.018879i,0.035038+0.0048283i,0.00062486+0.0043317i,-0.0042566+0.0046693i,-0.0061784-0.0021331i,-0.018309-0.0073583i,-0.034065-0.00035788i,-0.041829+0.023783i,-0.036041+0.043398i,-0.024333+0.043574i,-0.0078173+0.033444i,0.011617+0.019331i,0.017551+0.0033793i,0.0072784-0.0069513i,-0.0062355-0.010637i
0.18336-0.024122i,0.23979-0.026527i,0.15121-0.020411i,0.077922+0.010816i,0.1716+0.045968i,0.27743+0.037286i,0.22901+0.0011871i,0.10564-0.0023541i,0.048735+0.018086i,0.032328+0.017596i,-0.00076377+0.020796i,-0.011993+0.032071i,0.0103+0.016441i,0.033108-0.013009i,0.041558-0.033574i,0.032341-0.034194i,0.016231-0.012403i,0.0092657+0.0086849i,0.0092759+0.011854i,0.0064849+0.0071596i,-0.0007674+0.0058418i,-0.0035607+0.0036999i,0.00098682-0.00084213i
-0.051928+0.28237i,-0.11505+0.44739i,-0.15019+0.52031i,-0.13051+0.55423i,-0.077075+0.54436i,-0.029349+0.43266i,-0.038671+0.25795i,-0.083093+0.12366i,-0.07891+0.072428i,-0.021135+0.039975i,0.01687-0.011807i,0.0088499-0.034089i,-0.0047184-0.014645i,-0.0032132+0.0098757i,0.0025559+0.024455i,0.0014715+0.022583i,-0.005465+0.011469i,-0.0082797+0.0049006i,-0.0044851+0.005936i,0.0025967+0.012895i,0.011229+0.012149i,0.014515-0.0021233i,0.0093784-0.014451i
-0.33103-0.043356i,-0.44803-0.08471i,-0.3939-0.11762i,-0.33823-0.12646i,-0.35872-0.056492i,-0.29003+0.070669i,-0.10215+0.092275i,0.012167+0.003116i,0.0046266-0.03741i,-0.006589-0.014047i,0.0072661-0.0054162i,0.012604-0.010045i,0.01795-0.0045312i,0.028581+0.0024362i,0.03075+0.0056212i,0.025896+0.0070567i,0.016178+0.0097831i,0.002573+0.017507i,-0.0059875+0.025824i,-0.0099007+0.02478i,-0.011871+0.017901i,-0.0058874+0.01486i,0.0028738+0.015583i
0.10906-0.36474i,0.14303-0.52605i,0.042312-0.49876i,-0.13625-0.40813i,-0.26207-0.36438i,-0.29822-0.27765i,-0.22036-0.12905i,-0.092279-0.045796i,-0.041123-0.041178i,-0.045626-0.014174i,-0.02739+0.026768i,-0.0046336+0.033168i,-0.0031035+0.02405i,-0.010718+0.01996i,-0.021945+0.018524i,-0.032466+0.015301i,-0.032934+0.0074014i,-0.025347-0.002181i,-0.01821-0.0030445i,-0.01441+0.0045445i,-0.0086362+0.010909i,0.00018462+0.013067i,0.0061129+0.0080387i
0.33312+0.23656i,0.48263+0.36118i,0.47749+0.24585i,0.39723-0.051984i,0.29712-0.26194i,0.13887-0.25874i,0.018997-0.10097i,0.01421+0.022615i,0.024787+0.032726i,-0.0075015+0.01513i,-0.033032+0.013129i,-0.035209+0.016189i,-0.027023+0.027939i,-0.01908+0.045165i,-0.014781+0.053619i,-0.012296+0.044696i,-0.017328+0.024727i,-0.03+0.0039883i,-0.043424-0.011026i,-0.048601-0.01859i,-0.043089-0.018141i,-0.033291-0.0087952i,-0.022747+0.0043512i
-0.32651+0.39321i,-0.46622+0.51027i,-0.35189+0.36539i,-0.10484+0.12459i,0.049646+0.016707i,0.10451-0.036491i,0.058858-0.10287i,-0.0059752-0.094709i,0.0066616-0.049019i,0.034412-0.032404i,0.032933-0.025943i,0.018811-0.029519i,-0.01144-0.036213i,-0.040618-0.024593i,-0.049201-0.007614i,-0.036798+0.0035231i,-0.014145+0.012522i,0.0060296+0.012739i,0.010145-0.0012123i,-0.0043493-0.012625i,-0.016835-0.0067333i,-0.011228+0.0042606i,0.0041989+0.0068892i
-0.49601-0.4295i,-0.70279-0.55766i,-0.57845-0.32639i,-0.21335+0.048303i,0.058603+0.18744i,0.10652+0.13632i,0.065275+0.05575i,0.022623+0.0041442i,0.0034188+0.0087956i,0.015887+0.021171i,0.028444+0.015495i,0.032108+0.009637i,0.022642-0.0029546i,-0.0036391-0.028152i,-0.02144-0.047863i,-0.016835-0.043386i,-0.0030848-0.023756i,0.0070668-0.014835i,0.012299-0.028145i,0.010162-0.050535i,0.001477-0.055743i,-0.0077508-0.036089i,-0.015006-0.011375i
0.52376-0.37962i,0.78822-0.47829i,0.79125-0.32013i,0.5632-0.10406i,0.27872-0.029824i,0.082422-0.036052i,0.035909-0.033968i,0.044394-0.032232i,0.013368-0.011192i,-0.015169+0.028865i,-0.020691+0.044714i,-0.013219+0.0397i,0.007894+0.020263i,0.023757-0.0025037i,0.02592-0.010838i,0.016379-0.010819i,0.00022479-0.0071215i,-0.0048179+0.0023323i,0.0084668+0.0090644i,0.020458+0.0045035i,0.016937-0.004982i,0.0037157-0.0045395i,-0.0046321+0.0064882i
0.34375+0.50274i,0.48962+0.61485i,0.34492+0.40844i,0.038407+0.15926i,-0.11006+0.085324i,-0.091116+0.069563i,-0.051536+0.050787i,-0.01639+0.035288i,-0.0072263-0.0037548i,-0.031826-0.026764i,-0.050714-0.024567i,-0.062136-0.013921i,-0.051885+0.0053353i,-0.015323+0.0089724i,0.012718+0.0056271i,0.019743+0.0094094i,0.01515+0.008401i,0.01674+0.0011019i,0.034642-0.0064914i,0.055662-0.012238i,0.061937-0.018919i,0.042152-0.025439i,0.009956-0.024497i
-0.78763+0.334i,-1.2095+0.62854i,-1.182+0.73731i,-0.77952+0.53917i,-0.3743+0.21642i,-0.11324+0.0010413i,0.012677-0.043582i,0.052359-0.01534i,0.047925-0.014582i,0.011766-0.012744i,-0.0016671+0.010504i,0.010894+0.0060122i,0.0079105-0.0066342i,-0.0065265+0.0035404i,-0.026027+0.013818i,-0.04025+0.018525i,-0.037515+0.018686i,-0.030284+0.018607i,-0.022936+0.019013i,-0.0101+0.0097909i,-0.0022287-0.0044576i,-0.0064829-0.012631i,-0.011399-0.010484i
-0.12553-0.73819i,-0.185-0.98928i,-0.11987-0.78285i,0.0082593-0.40645i,0.036305-0.22137i,-0.013465-0.13831i,-0.030883-0.050331i,-0.029127+0.011395i,-0.025277+0.030771i,-0.018212+0.01614i,-0.012191+0.002015i,0.0042175-0.002441i,0.023386-0.0029327i,0.043501+0.0061589i,0.064234+0.0091767i,0.060224+0.0074617i,0.028251+0.016125i,0.0008553+0.024429i,-0.0014845+0.024038i,0.0068906+0.024189i,0.011045+0.026752i,0.014237+0.021379i,0.016525+0.0058743i
0.6396-0.2484i,0.79223-0.58645i,0.54906-0.80231i,0.23957-0.63764i,0.19797-0.29891i,0.23583-0.11371i,0.14771-0.059292i,0.047084-0.011584i,0.025703+0.01834i,0.018109-0.0037939i,-0.028756-0.018732i,-0.050866+0.0084453i,-0.0298+0.022531i,-0.026832+0.013977i,-0.03547+0.012436i,-0.025786+0.0073974i,-0.009684-0.011525i,-0.0055332-0.030023i,-0.0098862-0.030155i,-0.0097458-0.012176i,-0.0035205+0.0020553i,0.0030964+0.0049036i,0.004332+0.0068824i
