-0.0032886-0.00038311i,-0.0029387-0.00084816i,-0.0031507-0.00074459i,-0.0031019-0.00033786i,-0.0019689+0.00084538i,-0.00088232+0.0019359i,-0.00042428+0.0012481i,0.0001749+0.00061313i,0.00034809+0.00090622i,5.4067e-05+0.0013492i,0.00040372+0.0015339i,6.3269e-05+0.0016116i,-0.0006029+0.00079395i,-3.3507e-05-0.00072835i,-0.00015599-0.00076927i,-0.00021626-0.00023798i,-3.0704e-05+0.00077073i,-0.00054658+0.0021637i,-0.00059424+0.0016067i,0.00050692+0.00024685i,0.00087985+8.3588e-05i,1.7314e-05+0.00057708i,8.3107e-06+6.7431e-05i
0.00098055-0.00067762i,0.0009686-0.0018158i,0.0010292-0.0018482i,0.00074818-0.00080675i,0.00041541-0.00038045i,-0.00084349-0.00043242i,-0.0012368-0.00045653i,0.00018146-0.00032722i,0.00058375+0.00011837i,0.00053133+6.4745e-05i,0.00034577+0.00017386i,0.000311+7.4094e-05i,5.4352e-05-0.00018817i,-0.00021397+0.00038874i,-0.0002898+0.00086734i,-0.00018649+0.0007205i,0.00035546+0.00014956i,0.00055818+0.00030781i,0.00029926+0.00051153i,-0.00015031+0.00052296i,0.00018416+0.00026544i,0.00026054-6.7955e-05i,-0.00070918-0.00019268i
0.001734-0.0003529i,0.0012746+0.00091305i,0.0009349+0.0012078i,0.00057084+0.00010482i,-0.0010448+0.0002163i,-0.0023463+0.00022875i,-0.0017445-0.0011403i,-0.00059038-0.0013003i,-0.00014775-0.00050315i,-0.00044363-4.2139e-05i,-0.0003709+0.00012599i,0.00049526-0.00067829i,0.00061201-0.0010132i,-2.241e-05-0.0004718i,0.00072493+0.0002433i,0.0012321+0.00060433i,0.00047035+0.00043452i,0.00062491+0.00053909i,0.00015053+0.00037472i,-0.00067391-0.00057185i,-0.00057876-0.00087313i,-0.0003685-0.00015833i,-0.00061423+0.00042807i
0.00062037+0.0019482i,0.00021549+0.00077952i,0.00041377-2.9774e-05i,0.001011-0.00034693i,0.0007588-0.0010278i,0.00022158-0.0017235i,0.00055296-0.0012958i,0.00089279-0.0003498i,0.00091022+0.0012596i,0.00066343+0.0013829i,0.00012058+0.00016799i,-0.00024844-0.00023714i,-0.00018495-4.3453e-05i,0.00021112+0.00049479i,0.00025147+0.00092972i,7.2243e-06+7.2778e-05i,1.2957e-05-0.00092255i,0.00012941-0.00037354i,0.00034915+0.00048489i,0.00037563+0.0002556i,0.00016294-0.00010731i,-0.00031648+9.3267e-05i,-0.00038361+0.00033057i
0.0011704+0.0019419i,0.0014149+0.0017127i,0.0014007+0.00090586i,0.0014188-0.00041788i,0.00073728-0.00053413i,-0.00067753+0.00026015i,-0.0013819+8.3168e-05i,-0.00085573-0.00026373i,0.00020009-0.0002546i,0.0010477-0.00039775i,0.00098957-0.00034546i,0.000323+1.2327e-05i,-7.6951e-05+0.00064024i,-0.00011723-7.4719e-05i,0.00034346-1.3226e-05i,0.00060503+0.00035047i,0.00080024+1.823e-05i,0.00050705+7.6736e-05i,-7.7854e-05+0.00043351i,-0.00010891+0.00017779i,0.00017598-0.000395i,0.00040694-0.0004758i,0.00059368+5.6343e-05i
0.00089636+0.0014351i,0.0012111+0.0018505i,0.00093446+0.00090895i,0.0010902-9.5144e-05i,0.00070001-0.00068576i,5.2418e-05-0.00071319i,-0.00084145-0.00033266i,-0.0013748-0.00049758i,-0.0011058+3.2424e-05i,-0.00058362+0.00030783i,-0.00015528-6.5257e-05i,0.00041445+0.00032794i,0.0003761+0.0005491i,0.00037227+2.6651e-05i,0.00042709+0.00014104i,8.4783e-05-9.446e-05i,0.00059896-0.00092212i,0.0010332-0.00099403i,0.00080432-6.3796e-05i,0.00042972-0.00016099i,0.00044983-0.0010456i,0.00037045-0.00067869i,7.8146e-05-0.00014427i
0.00045927+0.0024108i,0.00063477+0.0019938i,0.00046385+0.001879i,0.00023592+0.0011791i,0.0014145+0.00040522i,0.0012096+0.00024324i,-0.00016471+0.00072831i,-0.00020369+0.00084783i,0.00050038+0.0011052i,0.00098385+0.0011498i,0.00040534+0.00045983i,-0.00013512+0.00068983i,8.3141e-05+0.00094162i,-0.00028471+0.00038653i,-0.00023916+0.00011173i,0.0003981+0.00044869i,0.00011339+0.00073483i,0.00020147+0.00052554i,0.00028985+0.00049406i,0.00038882+0.00019182i,0.001236-0.00057618i,0.001365-0.00043462i,0.00097124+0.00093139i
0.0012833-0.0010883i,-0.00013724-0.0017645i,-0.0008607-0.0014227i,-0.001304-0.00063693i,-0.0019529-0.00024137i,-0.0024276+0.0001746i,-0.0018493+0.00013035i,-0.0012324+2.2917e-06i,-0.00039237+0.0004571i,0.00029672+0.00060646i,-6.7571e-05-6.8635e-05i,-0.00039301+0.00032938i,0.00015952+0.0014365i,0.00058684+0.0013768i,0.000672-0.00055448i,0.00056816-0.00083765i,0.00032565-0.00026887i,0.00028542-0.00025964i,0.00019322+1.5887e-05i,0.0002789+0.00016261i,0.00027062-6.2325e-05i,0.0002922-0.00020553i,0.0001282+0.00014018i
-0.00054362-0.0021672i,-0.00033743-0.0029408i,-0.0013912-0.0015363i,-0.0017359-0.00053943i,-0.00069269+0.00010507i,3.1447e-05+0.0008946i,-0.00014254+0.00061556i,-0.00089379+0.00053765i,-0.00099163+0.0007749i,-0.00085189+0.00020216i,-3.4669e-05+0.0002297i,0.00040634+0.00083572i,-0.00011822+0.00065246i,0.00013104+0.00043832i,0.0003593+0.0006254i,0.00020783+0.00048656i,-8.7389e-05+0.00088085i,-0.00023507+0.0011677i,0.00034437-1.1692e-05i,0.00029512-0.00036934i,-6.0025e-05-1.7842e-05i,-0.00030568-0.00020527i,-0.00036828-0.00027349i
0.0020151-0.00019072i,0.00011155-0.00090552i,-0.0011358-0.0023218i,-0.0015164-0.0025216i,-0.0018354-0.0010088i,-0.0022522+0.00050132i,-0.0014637+0.000169i,-0.00030079-0.0010685i,-8.134e-05-0.0012977i,0.00047259-0.00091699i,0.0010539+0.00021675i,0.00024298+0.00087319i,-0.00096464+0.00062279i,-0.00053406+0.00066102i,0.00025701+0.00054436i,0.00031047+0.00080515i,0.00013275+0.0006159i,-0.00024045+0.0004988i,-4.3693e-05+0.00050347i,0.00033062-0.00015133i,0.00045343-0.00024705i,0.00059242-6.4901e-05i,0.00067974-1.2947e-05i
-0.00032014+0.00011437i,0.00071595-0.0002653i,0.00070839+0.00045143i,1.8417e-05+0.0011798i,0.00019283+0.00061928i,0.00075858+0.00034453i,5.1109e-06+3.1874e-05i,-0.00037475-0.00014537i,-0.00014207-0.00025007i,0.00020714-0.00026306i,5.8957e-05+0.00027693i,0.00011596-0.00013109i,0.00047204-0.00032097i,0.00035314+8.5169e-06i,-0.00038982+0.00013543i,-0.00062318-6.1797e-06i,-0.00012421+5.2987e-05i,2.2995e-05+0.00016326i,-2.5321e-05-0.00087111i,3.2583e-05-0.00097947i,-0.00059848-0.00071756i,-0.00094402-0.00075323i,-0.00039056-0.00042198i
