-0.002289-0.00064858i,-0.0014509-0.0017364i,-0.0021997-0.00030473i,-0.0032936+0.00070012i,-0.0021603+0.0024331i,-0.00055383+0.0029193i,0.00014519+0.0020916i,0.0009474+0.0020278i,0.0014814+0.0018999i,0.0020883+0.0010146i,0.0017895-0.00014121i,0.00059873-0.00090666i,6.0277e-05-0.00067801i,-0.00065742+1.7632e-05i,-0.0011546+0.0004925i,-0.00104+0.00088433i,-0.00037086-0.00010813i,0.0003512-0.00030559i,8.4545e-05+0.00039055i,0.00025305+0.0010024i,0.00073379+0.0010147i,0.0005791+0.00033593i,0.00021668-0.00038246i
0.001053+0.0013531i,-0.00017357+0.0019165i,-0.00078153+0.0022846i,-0.0015576+0.0029798i,-0.0023127+0.002182i,-0.0020959+0.0019223i,-0.00077958+0.0025031i,1.3705e-05+0.0018616i,0.0006303+0.0004795i,0.00069193-0.00055262i,4.5666e-05-0.00092849i,0.00010449-9.4019e-05i,-0.00016336+0.0012476i,-4.7442e-06+0.001724i,0.00047893+0.00090163i,-0.00034969-0.00027798i,-0.0013575-0.00049436i,-0.00078245-0.00015182i,0.00026695+0.00031192i,0.00040229-0.00039583i,0.00051341-0.00076658i,0.0004759-0.00024187i,0.00071816-0.00020858i
0.00035294+0.00030008i,0.0001489-0.0012042i,0.00020297-0.0016286i,-0.00030059-0.00084762i,-0.0003491-2.9189e-05i,-0.00022097+0.00055121i,-0.00051132+0.00095714i,-0.00024833+0.00039321i,0.0010109-0.00072673i,0.00098907-0.0011995i,0.00012315-0.00022739i,0.00014917+0.0009313i,0.00062683+0.0010714i,0.00021407+0.00071128i,-0.00011232+0.00026294i,-2.3271e-05+0.00034615i,-0.00034279+0.00073782i,-0.00050968+0.0002734i,-0.00031821-0.00044746i,-0.00035817+1.0403e-05i,-4.4404e-05+0.00041137i,0.00038093+9.2705e-05i,0.00038345-0.0004051i
0.0022998-0.001171i,-6.3384e-05-0.00027439i,-0.0022496-9.9876e-05i,-0.003196+0.00059093i,-0.0026722+0.0022818i,-0.0012672+0.0023093i,-0.00017175+0.0011133i,0.00058005+0.00067874i,0.00048439+2.4444e-06i,0.00069808-0.00071622i,0.0010265-0.00037282i,0.00089819+0.00014451i,0.00097805-0.00041623i,0.0010959-0.00061994i,0.00085403-0.00038704i,0.00094339-0.00041871i,0.00080695-0.00011058i,7.2201e-05-0.0001754i,2.9156e-06-1.5502e-05i,0.0002975+0.00028233i,0.00046351+0.00027001i,0.00066513+0.00027365i,0.00021015+9.5368e-05i
-0.0014352+0.00066958i,-0.0006642+0.001048i,-0.0014705+0.0020689i,-0.0019994+0.0029926i,-0.0010118+0.0033821i,0.00095699+0.0020577i,0.0011697+0.0013i,-1.3955e-05+0.00086109i,-0.00031897+0.00051157i,-1.917e-05+0.00075037i,-8.9626e-05+0.00061041i,-0.00012199-0.00039369i,0.00013498-0.00057223i,0.00014061-0.00065103i,-7.1228e-07-0.00091385i,-0.00037652-0.00016577i,-0.00073683+0.00019949i,5.3134e-05-0.00047305i,0.00093662-0.0001871i,0.00026139+0.001155i,-0.00045472+0.001279i,-0.0001231+0.00067389i,0.0002486+0.00022342i
0.0001937-0.00062375i,-0.00049319-0.0010098i,-0.00092955+1.7805e-07i,-0.0026932+0.0012282i,-0.0024731+0.0015975i,-0.0010991+0.0016925i,-2.0754e-05+0.0011572i,0.0005677+0.00073715i,0.00014535-1.7065e-05i,-0.00029799-0.00025086i,-3.0512e-05+0.0002568i,-5.2419e-06+0.00059968i,-4.0574e-06+0.00094676i,-1.4538e-05+0.00077769i,-3.6762e-05+0.00026786i,0.0004976-0.00037844i,0.00047119-1.9973e-05i,-6.2037e-05+8.2744e-05i,-0.00019329-0.00020063i,-0.0004154+0.00012401i,-0.00042053+0.00049072i,7.2544e-05+0.00019067i,1.8001e-05-0.00017245i
0.00017566-0.0014034i,-0.00032924-0.001337i,-0.0018611-0.0017648i,-0.0036559-0.00056873i,-0.0030688+0.00095494i,-0.0010409+0.0010199i,-0.00021952+0.00059996i,0.00015064+0.00058423i,0.00052744+0.00046812i,0.00066932+0.0003009i,0.00057788+0.00015244i,0.00042334+0.00025667i,0.00026418+0.00013545i,0.00034908+8.7887e-05i,2.0523e-06-0.00011715i,-0.00036931+2.5016e-05i,-4.7541e-05+0.00017333i,0.00015834+0.0002739i,0.00014272+0.00058141i,5.0024e-06+0.00076217i,0.00025854+0.00030935i,0.00023715-0.00019851i,-5.5266e-06-3.337e-05i
0.0011383+0.00078625i,-0.00051013+0.002432i,-0.0015265+0.0028487i,-0.0023094+0.0034134i,-0.0022809+0.004306i,-0.0015223+0.0034894i,-0.00031033+0.0020159i,0.00041393+0.00090552i,0.00051987+0.00013061i,0.00049037-0.00041219i,0.00039406-0.00035057i,0.00073524+8.4692e-05i,0.0010353+0.00011849i,0.00073991-0.00015372i,0.0002201-0.00020883i,0.00010746-0.00029133i,0.00058608-0.00043689i,0.000878+0.0001785i,-0.00051379-0.00010209i,-0.0013842-0.00055393i,-0.00074983-0.00011937i,0.00016416+0.00040894i,0.00072879+0.00056688i
0.0010759+3.8588e-05i,-0.00083817-3.4267e-05i,-0.0011343+0.00029654i,-0.00060143+0.00068357i,-0.00080467+0.0010693i,-0.0002873+0.00049962i,0.00022347+0.00027675i,0.0006888+0.00091792i,0.0010345+0.00064706i,0.00073351+0.00011372i,0.00048446+0.00049118i,-0.0002288+0.00056469i,0.0001228+0.00061621i,0.00036262+0.0014869i,2.2432e-05+0.0016248i,-7.1102e-05+0.00059026i,0.00011049+0.00033396i,-0.00031602+0.00069589i,-0.00088684+6.2301e-05i,-2.6598e-05-0.00011013i,0.00031727-0.00019038i,0.00098946+0.00011988i,0.0015724+0.00027691i
0.0010134-0.0008111i,-0.00034283+0.00068795i,-0.0014473+0.0010644i,-0.0023561+0.0018738i,-0.0023101+0.0036392i,-0.0016199+0.0034262i,-0.0014124+0.0018472i,-8.2197e-05+0.0011726i,0.0012178-0.0001742i,0.0013323-0.00076516i,0.00080914-0.00035141i,0.00016856-0.0001576i,-0.00022821-0.00025452i,0.00035366-3.8549e-05i,0.00057293+0.00045529i,0.00044434+0.00064374i,0.00023269+0.00061688i,-0.00039817-0.00016985i,-0.00063203-0.00072043i,0.00027782-0.00038511i,0.00071659+0.00015229i,0.00021792+0.00052592i,0.00050002+0.00082169i
-0.0015107-4.0676e-05i,-0.0024442-3.9567e-05i,-0.0033093-0.00034108i,-0.0041418+0.00091323i,-0.0036536+0.0019727i,-0.0014566+0.0023872i,-0.00035818+0.0020147i,-0.00095078+0.0014167i,-0.0009669+0.00044046i,7.3098e-05-0.00058105i,0.0011452-0.00056429i,0.00081047+0.00015294i,0.00010276+0.00034934i,-0.00071385+7.6011e-05i,-0.00098121+6.1039e-05i,-0.00074292-3.969e-05i,-0.00094871-0.00017268i,-0.00075788-0.00044758i,-0.0005296-0.00073972i,-0.00021569-0.00043767i,0.00055084+0.00018704i,0.00085678-0.00012514i,0.0011328+3.7445e-05i
0.00095801-0.00019721i,0.00029338-0.00049856i,-0.00062828-0.00025659i,-0.00090019+0.0011216i,-0.00047919+0.0019769i,0.00018753+0.0021116i,0.00051878+0.0019399i,0.00017853+0.0018957i,-2.037e-06+0.0010839i,0.00069941-9.687e-05i,0.0012501-0.00039145i,0.00078621-0.00035303i,0.00025464-0.00034655i,-0.00033152+4.9478e-05i,-0.00072363+0.00026978i,-0.00045536-0.00026457i,2.167e-05-0.00014056i,0.00021678-2.8253e-05i,0.00040416-0.00040388i,0.00059552-5.1948e-05i,0.000661+8.655e-05i,-0.00027885+7.1255e-05i,-0.00091606-0.00041351i
-0.00073921+0.0010224i,-0.0017588+0.0011732i,-0.0034538+0.0013274i,-0.0045143+0.0027468i,-0.0041217+0.0037217i,-0.0024008+0.00337i,-0.00085748+0.0027323i,-0.0001251+0.0014219i,0.00027465+0.00043604i,-2.9222e-06+0.00034722i,-0.00029734+0.00098849i,0.00015211+0.0010895i,0.00085186+0.00069583i,0.0013833-2.6703e-05i,0.00059734+0.00029892i,-0.00076417+0.00071572i,-0.00069884+8.2226e-05i,-0.00014826-0.00011481i,1.4727e-05-0.00022557i,0.00021517-0.00041506i,0.00078083-0.00041614i,0.00063231-0.00063641i,0.00052896-0.00041321i
-0.00013054-0.00084096i,-0.0017298-0.00063009i,-0.0032149-0.00016487i,-0.0037686-0.00028328i,-0.0021033-0.0001965i,-5.388e-05+0.00036847i,0.0005639+0.00021314i,0.00029737+0.0002478i,-0.00030811+0.00013701i,-0.00022599-0.00046919i,0.00015999-0.00018913i,0.00055727+0.0012847i,0.00020503+0.0017567i,-0.00064468+0.0008561i,-1.4635e-05+0.0002322i,0.0006908+0.00090875i,0.00092145+0.00067643i,0.0003688-0.0010331i,-0.00022087-0.0015856i,-7.9094e-05-0.00053171i,1.4819e-05+7.8359e-05i,1.1502e-05-0.00048664i,-0.00025067-0.00044061i
0.0017046+0.00061033i,0.0011458+0.00077024i,-0.00021689+0.00046864i,-0.0014217+0.001563i,-0.0016827+0.0034235i,-0.0013897+0.0029713i,-0.00043359+0.000933i,0.00035338+0.00036412i,-0.00023527+0.00025074i,-0.00075685-0.00067767i,-0.00038463-0.00054201i,1.5105e-05+0.00097618i,0.00018448+0.0013581i,0.00057713+0.00027796i,-0.00021372+0.00017829i,-0.00097737+0.00071803i,-0.00027647+0.00075832i,0.00047293-0.00028405i,0.00015169-0.0015202i,-0.00037562-0.0011463i,-0.00017106-0.00027441i,0.00051111-0.00023857i,0.00075989-0.0001855i
-6.8817e-05-0.0022908i,-0.00050628-0.0015611i,-0.0019555-0.0015755i,-0.0037986-0.0010088i,-0.0037598+0.00087558i,-0.0015686+0.001423i,8.9708e-05-4.7004e-05i,-0.00022311-0.00017834i,-0.0004152+5.5873e-05i,2.6805e-06-0.00019923i,0.00023288+0.00032263i,0.00026958+0.00069154i,0.00039118+0.00055814i,0.00054943+0.00049982i,0.00035383+0.000276i,-0.00049869+0.00023327i,-0.00017472+0.00023047i,0.00013116-6.6043e-05i,-0.00029252-0.00056643i,-0.00024789-0.001185i,9.9652e-05-0.00074769i,0.00040121-6.212e-05i,0.00050517+1.6165e-05i
-4.302e-05+0.0011079i,-8.7196e-05+0.0018432i,-0.00011052+0.0026455i,-0.0010412+0.0035915i,-0.00094972+0.0034376i,0.00012262+0.0025677i,0.00021651+0.0012354i,0.00010456+0.00064444i,0.00054716+0.00033622i,0.00056455-0.00046022i,0.00018714-0.00043447i,0.00059153-0.00014685i,0.00095146+0.00062199i,0.00068258+0.0016815i,0.00058713+0.0014417i,0.00011938+0.00035147i,-0.00030551+0.00010304i,-0.00028357+0.00014382i,9.6212e-05-1.8559e-05i,0.00020861+0.00031649i,-0.00010503+0.00057615i,0.00043476+0.00055954i,0.00083719+0.00036196i
-0.00051391+0.0012802i,-0.00099048+0.001504i,-0.0012946+0.0015403i,-0.0016775+0.0020924i,-0.0012054+0.0026401i,-0.0010569+0.0023142i,-0.00087603+0.0017302i,-0.00045548+0.0017206i,-0.00060244+0.0012323i,0.00010723+0.00057397i,0.00074337+0.0005539i,0.00024204+2.5949e-05i,-0.00041198-0.00032947i,-0.00073218+0.00041606i,-0.00061913+0.00039525i,-1.3308e-05+0.00015708i,-1.966e-05+0.00022297i,-0.00019974+6.8511e-06i,0.00011805-0.00062471i,0.00065114-0.00057738i,0.00011342+2.0813e-05i,-2.1498e-05-0.00044057i,0.00047402-0.00043885i
0.001614-0.00059674i,-0.00016289-0.0010801i,-0.0032976-0.0021189i,-0.0049697-0.0016314i,-0.004893-0.00034465i,-0.0034164+0.00052972i,-0.00090519+0.00053245i,-7.4911e-06+0.00080979i,0.00034005+0.001031i,0.00074197+0.00013341i,0.0008509+0.00093782i,0.00067419+0.001638i,0.00059962+0.00078737i,0.00012498+0.0005249i,9.7731e-05+0.00011947i,0.00018987+0.00039499i,0.00035362+0.00088341i,0.00074866+0.00086301i,0.00071256+0.00034195i,0.00042637+0.00016573i,0.00050317+3.9611e-05i,0.0012719-0.00020617i,0.0011347+0.00034925i
0.00099531+0.00052886i,0.00019099+0.0011771i,-0.0020923+0.001895i,-0.0032009+0.0021515i,-0.0015378+0.0021798i,-0.00051617+0.0023202i,-0.00057978+0.0018493i,0.00037502+0.0012415i,0.0015132+0.00070481i,0.00094871+0.00064628i,-8.9989e-06+0.00087236i,0.00072854+0.00059942i,0.0010203+0.00033093i,-0.00037637-0.00065117i,-0.00073786-0.0015091i,-0.00065612-0.00071948i,-0.00064793-3.417e-05i,-0.0010486-0.00063329i,-0.0012706-0.00019235i,-0.00083103+0.00091561i,-0.00076708+0.0012829i,-0.00042716+0.00066493i,0.00032915+0.00025331i
0.0010879-0.00075102i,0.00051529-0.0012873i,-0.00024565-0.00087628i,-0.00089526+0.00019771i,-0.0014407+0.0012779i,-0.00079123+0.0014335i,0.00072241+0.0010853i,0.00096806+0.0013794i,0.00032156+0.0010802i,0.00045184+0.00048578i,0.00091832+0.00033412i,0.00054507-2.8763e-05i,0.00024884-0.00051666i,0.00043673-3.4806e-05i,0.00048463+0.00012307i,0.00027679+8.047e-05i,0.00020417-0.00027325i,-0.00030396-0.00018851i,-0.00043541-0.00011887i,-5.7947e-05-0.00088432i,3.7743e-05-0.0006682i,-2.2293e-05-0.00016547i,0.00050749-0.00041683i
0.00083982+0.0012544i,-0.00038988+0.0012457i,-0.0010962+0.0011032i,-0.0014776+0.0013104i,-0.00096076+0.0021355i,-0.00033653+0.0014505i,0.0002411+0.00091395i,0.00052859+0.0011309i,0.00034549+0.0010412i,-0.00030984+0.00043946i,-0.00025631-0.00074093i,-0.00015415-0.0009302i,0.000185-0.00031982i,0.00064728+0.00042359i,-3.1832e-05-2.2037e-05i,-0.0012253-0.00093689i,-0.0011305-0.00024344i,-0.00086075+0.00014159i,-0.0003665-0.00022049i,0.00033415+0.00020014i,0.00031361+0.0010971i,-0.00031356+0.0010417i,3.0181e-05-0.00027686i
-0.001661-6.5248e-05i,-0.0016869-0.00044149i,-0.0021906+0.00021986i,-0.0027671+0.0013836i,-0.0021074+0.0020973i,-0.00067331+0.0026234i,-0.00051316+0.0026054i,0.00015894+0.0013931i,0.001108+0.0002009i,0.00088344+0.00038243i,0.00094219+0.00085879i,0.0012036+0.00078592i,0.00081439+0.00065854i,0.0010945+7.5691e-06i,0.0011322+0.00015556i,0.00029469-0.00023317i,-0.00012012-0.00015003i,-0.00056665+0.0003275i,-0.0011519+0.00010928i,-0.00080596+0.00014329i,0.00060983-0.00040977i,0.00057822-0.0005646i,3.7914e-05+0.00010752i
0.0010275-0.0014969i,0.0009365-0.0010979i,-0.00053701-0.00068348i,-0.0023662+0.0010289i,-0.0020374+0.0029255i,-0.00063555+0.0029131i,9.2225e-06+0.0023466i,0.00028235+0.0018841i,0.00023695+0.0007648i,0.00016475-0.00057103i,0.00016727-0.00078525i,0.00022659-0.0005877i,0.00033322-0.00034881i,0.00094124+0.00036398i,0.0014041+0.00088614i,0.00051549+0.00012633i,-0.00066888-0.00057481i,-0.0010684+0.00026576i,-0.00070703+0.00084919i,-0.00042591+0.00040652i,-7.0396e-05-8.1469e-05i,0.00059596-0.00038531i,0.00063412-0.00034912i
-0.0010762-0.00070518i,-0.00072139-0.00041473i,-0.0020067+3.7958e-05i,-0.0027342+0.0012705i,-0.0021448+0.0021586i,-0.000688+0.0018958i,0.0010244+0.0011027i,0.0017794+0.00029227i,0.0013968+0.00049181i,0.00073517+0.00052326i,0.00079388-0.00010981i,0.001119-0.00018416i,0.0010761+5.6078e-05i,0.00073411+0.00017343i,-0.00010106+0.00023014i,-0.00094301+0.00027232i,-0.00062986-0.000159i,-0.00017772-2.8431e-05i,2.0333e-05-0.0001641i,0.00056218-0.00060318i,0.0004897-0.0005209i,5.7068e-05-7.1331e-05i,-0.00041232-0.00046659i
0.00010112-0.00046137i,-0.0011324-0.00046453i,-0.0026977-0.00065767i,-0.0034003+0.0012887i,-0.0027497+0.0033768i,-0.0012934+0.0038034i,-0.00047857+0.0027219i,7.5123e-05+0.00121i,0.00041107+0.00021783i,2.0298e-05-0.00016262i,6.5152e-05-0.00017848i,0.00033286+3.2424e-05i,0.00012893+0.00021406i,0.00033944-0.00027365i,0.00085051-0.00070703i,0.00038641-0.00065218i,0.0001108-0.00065393i,1.4084e-05-0.00063197i,-0.00030615-0.00035627i,-0.00024247-0.0002069i,-1.1974e-05-0.00066998i,0.00019115-0.00014757i,7.7653e-06+0.00050723i
-0.00014881+0.00057369i,-0.0010814-2.3717e-05i,-0.00088414-0.00019449i,-0.00034508+0.00020868i,-0.00028632+0.00055619i,0.00018614+0.00095533i,-0.0002991+0.00092323i,-0.00026417+0.00054289i,0.00022652-0.00024264i,0.00049494-0.00024451i,0.0011438+0.00034852i,0.00070271+0.00059667i,-0.00019132+0.00041458i,-0.00016083+0.0003133i,-0.00014143+0.00060281i,-0.00041103+0.00064834i,-0.00061325+0.00020374i,-0.00027586-0.00037436i,-0.0002686-0.0006539i,-0.00086582-0.00029969i,-0.00069283-0.0004968i,-0.00041646-0.00047549i,-0.00022689-0.00017911i
-3.6997e-05-0.00034272i,-0.00025205-0.00050043i,-0.0011492-0.00028201i,-0.00242+0.0016302i,-0.0018305+0.0037643i,-0.00090479+0.0035834i,-0.00011542+0.0021003i,0.00086958+0.0017163i,0.00050758+0.00092766i,0.0007816+0.0002526i,0.0011031+0.00074478i,0.0015065+0.00067674i,0.0013942+0.00048509i,0.0002472+0.00037393i,-0.00035771+0.00015222i,-0.00022778+0.00017481i,0.00027269+0.0003158i,0.00032173-2.0894e-06i,0.00017745-4.3098e-05i,-0.00023528-0.00017257i,-0.00062836-0.00011396i,-0.0006801+8.8867e-05i,-0.0010026-0.00035159i
-0.00091323-8.1154e-05i,0.00015821+0.00088704i,-0.00095778+0.0025238i,-0.003002+0.003828i,-0.0024608+0.0047595i,-0.0010037+0.0046943i,-0.00087261+0.0029588i,-0.00012179+0.0013542i,0.00065938+0.00037041i,-0.00013556-7.4356e-05i,-0.00050793+5.9931e-05i,5.4956e-05+9.2667e-05i,0.00014767+0.00013157i,4.7526e-05+0.00041364i,-0.00010894+0.00028977i,-0.00040307-0.0002677i,-0.00016655-0.00052914i,-0.00013931-0.00044951i,-0.00054085-0.00023502i,-0.00052543+0.000147i,-0.00028339+0.00022503i,0.00012778+3.5623e-05i,-0.00014117+0.0001528i
-0.00038903+0.0010169i,-0.0025752+0.00085809i,-0.003298+0.0012272i,-0.0033111+0.0027269i,-0.0031599+0.0028654i,-0.0018168+0.0018579i,-0.0005447+0.00086053i,7.039e-05+0.00052811i,0.00058643+0.00041347i,0.0012317+0.00031469i,0.00093305+0.00028975i,0.00014568+0.00071964i,-0.00059381+0.00075484i,-0.001261+0.000377i,-0.0010329+0.0010315i,-0.00066167+0.0012823i,-0.00074467+0.00059196i,-0.00061076+7.9099e-05i,-0.00018747+0.00014395i,-0.00046291+0.00044701i,-0.00063097+0.00023493i,2.8916e-05+0.00011151i,0.00013796-0.0007074i
0.00010453-0.0014399i,0.00037165-0.0017002i,-0.001621-0.0017739i,-0.0039515-0.00021274i,-0.0036228+0.0016583i,-0.0017452+0.0022122i,-0.00064881+0.0017207i,-1.5712e-05+0.00036357i,9.183e-05-0.00083268i,5.6567e-05-0.00028093i,0.00022693+0.00039906i,-0.00022282+0.00011646i,-0.00013758-0.00049763i,0.00057435-0.00067299i,7.0562e-05-0.0005408i,-0.00049521+9.0598e-05i,-0.00027646+0.00031547i,1.879e-05+5.9095e-05i,8.129e-05+0.00033982i,-0.00024739+0.0001016i,0.00044428+0.00063815i,0.0011609+0.001216i,7.3485e-06+0.00026271i
-0.00095033+0.0012398i,-0.00078555-0.00045756i,-0.00040913-0.0008505i,-0.0013741-0.00012774i,-0.0021793+0.0013183i,-0.0019154+0.0025261i,-0.0016818+0.0014475i,-0.00020095+0.00044132i,0.001248+0.00048283i,0.0011954-0.0001075i,0.00068429-0.00061574i,0.00051351+5.1593e-05i,2.5973e-05+4.0341e-05i,-0.00019397-0.00076851i,-0.00022147-0.00083454i,-0.00018057+8.8044e-05i,-0.00045061+0.00038732i,-0.00063587-1.3867e-05i,-0.00019492+0.00012597i,4.1757e-05+0.00053301i,0.00029895+0.00010648i,0.00036344-0.00017533i,0.0004064-0.0001675i
