-0.00036238+0.00061427i,6.827e-05-0.00026691i,-9.6587e-05-0.00023956i,0.00021364-0.0006657i,0.00011186-0.00087492i,-0.00029923+0.00022009i,-0.00041665+0.00058672i,-0.00038747+0.0011885i,0.00013234+0.0015547i,0.0010645+0.00072371i,0.0010849-6.4572e-05i,0.00080613-0.00062849i,0.00069498-0.00050723i,-0.00046276+0.00022099i,-0.00065655+0.00013603i,0.00048388+0.00027631i,0.00066439+0.00046307i,0.0005963+0.00015417i,0.00064515+0.00087008i,0.00046549+0.001081i,-0.00022833+0.00012809i,-0.00014265-0.00025592i,0.00021156-0.00047931i
0.0022358+0.0014849i,0.0020599+0.0018327i,0.0024157+0.00096999i,0.0012636-0.0011898i,0.00021975-0.0020287i,-0.0010004-0.001354i,-0.0014021-0.0005207i,-0.0012582+2.5331e-05i,-0.00015997+0.00034739i,0.00081015+0.00056505i,0.00015681-0.00020557i,0.00024847-0.00011198i,0.00089058+0.00033453i,0.00086066-0.00016261i,-0.00025793-0.00040194i,-0.00086544+0.0001884i,-0.00093074+0.00023i,-0.00078179-6.5531e-05i,-0.00032181+0.00026258i,0.00011975+0.00088034i,0.0012308+0.00091555i,0.0015785+0.00019169i,0.00035181-0.00056502i
-0.0012011+0.00092321i,-0.00044875+0.0014919i,0.00028691+0.0013771i,0.00072738+0.0010248i,0.00045266+0.0015181i,5.4986e-05+0.0012725i,-0.00016262+0.00031794i,5.9418e-05+2.6434e-05i,0.00094984-0.00015494i,0.0013772+0.0001533i,0.00081076-0.00027558i,0.00090202+0.00013419i,0.00061556+0.00038286i,0.00014116-0.00076456i,0.00046416-0.00070077i,0.00051168+0.00031493i,0.00045842+0.00087368i,-7.3282e-05+0.0011738i,-0.00075156+0.00072797i,-0.00042054+0.00081386i,-1.218e-05+0.0011008i,2.3915e-05+0.00024583i,-0.00046589+0.00015745i
-0.0030385-0.00067968i,-0.0033389+0.00024584i,-0.0036759+0.0011751i,-0.0028887+0.00056237i,-0.0013975-0.00017457i,-0.00043702-0.00073633i,-0.00032969-0.00083538i,-0.0003684+0.00035203i,-6.1036e-05+0.0014386i,0.00055111+0.0014797i,0.00060583-0.00015652i,-0.00040185-0.0012632i,-0.0010074-0.0011364i,-0.00046912-0.00071419i,4.009e-05-0.00026493i,-0.00017749-0.00018462i,-0.00068508-6.6706e-05i,-0.00087005+7.6816e-05i,-0.00071661+0.00036692i,-0.00037236+0.0001765i,-9.9288e-05-0.00022434i,-0.00033775+0.00016045i,0.00010892-6.9153e-05i
-4.4904e-05-0.0006048i,-0.0012229-0.0016281i,-0.00087998-0.0016726i,-9.6737e-05-0.00046307i,-0.00069253+0.00064257i,-0.0015985+0.00046657i,-0.0014985-2.1523e-05i,-0.0008357+9.216e-06i,-2.5041e-05+0.0006115i,0.00080407+2.2293e-05i,0.0012289-0.00039277i,0.0011228-0.00021105i,0.00033796-0.0011857i,-0.0004199-0.0015594i,-0.0004993-0.00023374i,-0.00063022+0.00059891i,-0.00066434+0.00060362i,-0.00012204+0.00086238i,0.00023437+0.00076446i,-1.7878e-06+0.00014331i,4.8397e-05+0.00021834i,0.00093283+5.887e-05i,0.0015827+0.00033775i
-0.00046273-7.3147e-05i,0.00025842+0.00072343i,0.00060265+0.00063738i,-0.000197-0.00075962i,-0.00055423-0.001075i,-0.0011403-0.00057741i,-0.0012779-0.00038541i,-0.00028941-0.0001498i,0.0010418+3.4583e-05i,0.0011103-7.8877e-05i,0.00010973-5.7759e-06i,6.0596e-05+0.00030121i,5.0096e-05-0.00023862i,2.4978e-05-0.00062082i,0.00035431+8.3079e-06i,0.00020547+0.00092726i,-0.0004057+0.00093436i,-0.00079171+3.0365e-05i,-0.00049793-0.0002875i,-3.1623e-05+0.0001623i,6.1643e-05+0.00049927i,-0.00016883+0.00048983i,-8.5652e-05+0.0010165i
-0.0005913-0.0020172i,-0.00083337-0.0020548i,-0.0007401-0.00097261i,-0.00047199+0.00091016i,-0.00010191+0.0015556i,0.00014507+0.00024704i,-0.00016536-0.00031133i,0.00098137-0.00020289i,0.0017568+0.00049681i,0.001479+0.0004865i,0.00083388-0.00057722i,0.00031842-0.00084354i,0.00017084-0.00086895i,-0.00090713-0.00073268i,-0.0015529-5.4351e-05i,-0.0011819+0.00070172i,-0.0004157+0.00015702i,0.00016558-0.00010045i,0.00031297+0.00042736i,-0.00013555+0.00056101i,-0.00092543+0.00053204i,-0.00082044+0.00033426i,-0.00054691-2.3035e-06i
0.0003278+0.001922i,0.00065236+0.0015457i,0.0018939+0.00095341i,0.0014277+0.00044746i,0.00029151-0.00051966i,0.00038817-0.00078488i,0.00015258-0.00031697i,-1.9311e-05+3.484e-05i,0.00049626-0.00010487i,0.0014078-4.2638e-05i,0.0018437+1.2554e-05i,0.001615-8.1072e-05i,0.00073405-0.0004149i,0.0001009-0.0010819i,-0.0001161-0.00073442i,-0.00019629+0.00028781i,0.00031763+0.0012178i,0.00058705+0.001953i,1.3454e-05+0.0013086i,0.0006905+0.00066321i,0.00077682+0.00015066i,-0.00046249-0.00044158i,1.6796e-05-8.5411e-05i
0.00093429-0.00018387i,0.00054809-0.00054223i,0.0011249-0.000637i,0.00092985-0.00062336i,3.2133e-05-0.00018089i,-0.00041257+0.00069014i,-0.00056155+0.00077087i,-0.00021798+0.00078189i,0.00058+0.00062662i,0.0007727+0.00038699i,0.00062571+0.00016255i,0.0011008-0.00032513i,0.00067339-8.9571e-05i,-0.000413+8.8703e-05i,-5.9075e-05-6.9183e-06i,-0.00021721-2.4205e-05i,-0.0014286-0.00010288i,-0.0010006-0.00020489i,0.00042641-0.00056453i,0.00028747-0.00040337i,1.6876e-05-8.6856e-05i,-0.00025139+0.0006037i,-0.00053411+0.00075856i
-0.0002996+9.0335e-05i,0.00070036+0.00021102i,0.00075202+0.00059906i,0.00045224+0.00089397i,3.7438e-05-3.8324e-05i,-0.00075451-0.0011913i,-0.0010266-0.00085837i,-0.0003783+0.00058959i,0.00036137+0.00058883i,0.00081486-0.00044466i,0.00098886-0.00054027i,0.00073315-0.00050828i,0.00077451-0.00011082i,0.00017384-0.00019588i,-0.00052731-0.00061114i,-6.8678e-05-3.1027e-05i,0.00023857+0.00072875i,0.00013265+0.00047722i,0.00026261-0.00032833i,-5.8128e-05-0.00030468i,-0.0001673+0.00027947i,0.00016554+0.00032922i,0.00027884-0.00049438i
-0.00073536-0.0017303i,-0.00090242-0.00051425i,-0.0016857-0.00044098i,-0.0013397-0.00031045i,0.0001761+0.00037413i,0.00045239+6.2119e-05i,0.00029984-9.4984e-06i,0.00025919+0.000688i,0.00010655+0.001742i,-0.00010106+0.0023934i,-9.6731e-05+0.0021143i,-6.256e-05+0.00085407i,-0.00060025-0.000464i,-0.0014793-0.0015235i,-0.0013619-0.0019115i,-0.00071689-0.00052106i,-0.00041243+0.00067695i,-0.00025446+0.0007943i,0.00016528+0.00051045i,0.00019496+0.00031792i,-0.00011206+0.00021257i,-1.1247e-05-0.00020633i,0.00043753-0.0005904i
