-0.00036238+0.00061427i,6.827e-05-0.00026691i,-9.6587e-05-0.00023956i,0.00021364-0.0006657i,0.00011186-0.00087492i,-0.00029923+0.00022009i,-0.00041665+0.00058672i,-0.00038747+0.0011885i,0.00013234+0.0015547i,0.0010645+0.00072371i,0.0010849-6.4572e-05i,0.00080613-0.00062849i,0.00069498-0.00050723i,-0.00046276+0.00022099i,-0.00065655+0.00013603i,0.00048388+0.00027631i,0.00066439+0.00046307i,0.0005963+0.00015417i,0.00064515+0.00087008i,0.00046549+0.001081i,-0.00022833+0.00012809i,-0.00014265-0.00025592i,0.00021156-0.00047931i
-0.00065279-0.00071045i,-0.0016113-0.00019276i,-0.0012875-0.0010135i,-0.0011942-0.0015129i,-0.0012553-0.0014813i,-0.0007321-0.0011762i,-7.5742e-05-0.00070147i,-4.9703e-05+0.00011477i,8.0488e-05+0.00061221i,0.0014848+0.00037933i,0.0022992+9.9442e-05i,0.0017104-0.00051078i,0.0007823-0.0011345i,-0.00020319-0.0013654i,-0.00033458-0.0010973i,0.00040076-0.00038265i,0.00051696-0.00040189i,-0.00045168-0.00040767i,-4.4437e-05-5.9205e-05i,0.0004095+4.1921e-05i,-0.00017431-0.00010678i,-0.00018832-0.00015271i,5.1656e-05-0.0006393i
0.00027683-0.0007962i,-0.00075041-0.00068519i,-0.0013312+5.1182e-05i,-0.0011811+0.00069327i,-0.0010088+0.00066088i,0.00016213+0.00067648i,0.00066119-0.00014318i,-1.6861e-06-0.00053582i,2.2109e-05+0.00053944i,0.00037972+0.0011478i,0.00069884+0.00057597i,0.00078952+0.00055156i,6.6163e-05+0.00082623i,-0.00083486+7.9897e-06i,-0.00083324-0.00051692i,-0.00053398+0.00018756i,-0.00034994+0.00084296i,0.00052597+0.00029972i,0.0010487-0.0003303i,0.00094227-0.00045903i,0.00023518-0.00026508i,-2.0332e-05+0.00019386i,0.0007659+0.00031024i
0.00091681-1.15e-05i,0.0011193+0.00065849i,0.0011349+0.00093381i,0.00066854+0.00046925i,0.00033858+4.9218e-05i,-0.0010414-0.00077448i,-0.0022775-0.0014167i,-0.0017412-0.0003773i,-0.00075337+0.0010853i,0.00074937+0.001094i,0.0012218-0.00028999i,0.00076585-0.00077278i,0.00081124-0.0009097i,0.00028589-0.000619i,-0.00073948+9.5394e-05i,-0.00070409+0.00021217i,5.0341e-05+0.00056921i,0.00017935+0.0011566i,-0.00018906+0.00089381i,-0.00022244+0.00060175i,1.5701e-05+0.0011893i,0.00018286+0.0012298i,2.7043e-05+0.00035567i
-1.5978e-05-0.0031206i,-5.5548e-05-0.0031696i,-0.00026978-0.0018149i,-0.00073748-0.00050519i,-0.0011469+0.0001835i,-0.00088382+0.00027416i,-0.00050169-0.00019095i,0.00029985-0.00034439i,0.00087926+0.00061343i,0.00042275+0.0016475i,0.00054035+0.0014537i,0.0012003+0.0010284i,0.00095062+0.00016417i,0.00051521-0.00045175i,0.00063785+0.00014696i,0.00067504+0.0012447i,0.00059202+0.0015516i,0.00049181+0.00036494i,-0.00014246-0.0010883i,8.8002e-05-0.0010901i,0.00031128-0.00051946i,-5.056e-07+0.00019061i,0.00015796+0.00014566i
-0.0012815-0.00026518i,-0.0011805+0.00030507i,-0.00085149+0.00039097i,-0.00041394-3.6572e-06i,-0.00029286-0.00047483i,-0.00023426-0.00039658i,-0.00045809+0.00028377i,-0.00032594+0.0011101i,2.7589e-05+0.0014626i,0.00073257+0.0011037i,0.0011288+0.0014637i,0.00097526+0.0015284i,0.00041703+0.00078582i,0.00017236+0.00031039i,-7.5382e-05+4.5076e-05i,4.6726e-06+0.00026132i,-0.00023228+0.00070347i,-0.00020133+0.0011829i,-0.00010731+0.0012578i,-6.7443e-05+0.00077699i,-0.00040075+0.00046591i,-0.00070901-0.00032647i,-0.00018541-0.00084275i
0.00077939+0.00087944i,0.0013079+0.001129i,0.00083891+0.00096188i,-0.00018568+0.00063578i,-8.1016e-05+0.00085394i,-0.00055443+0.00063121i,-0.0013751+0.00029394i,-0.00087214+0.00062758i,0.00032149+0.0011039i,0.0012872+0.00092083i,0.0017384+0.00068814i,0.0013123+0.00089856i,0.00084569+0.0001401i,0.00076559-0.00069125i,3.8066e-05-0.0010564i,-0.0004725-0.00076861i,-0.00038205-0.00042604i,-0.00018734-0.00038157i,-0.00034265+0.0002691i,-0.00031254+0.0011088i,-0.0002257+0.0012109i,-0.00024219+0.00058494i,-0.00015701+0.00012817i
0.00022274+0.00095445i,0.0013518+0.00081965i,0.0016335+0.00095131i,0.00040627+0.001172i,0.00042075+0.0006986i,0.00056649-0.00030605i,-0.00013441-0.0012509i,4.3182e-06-0.00080414i,0.001056+0.00065437i,0.0020714+0.000984i,0.0015188-5.5925e-05i,0.0011897-0.00044275i,0.001454+0.00023034i,0.0010847-7.1919e-05i,-7.0475e-05-0.00054788i,-0.001053-0.00018354i,-0.0010626+6.702e-05i,-7.1629e-05-5.9825e-05i,0.00010258+0.00055266i,-0.00053793+0.0006664i,-0.00069693+0.00062791i,-0.00040192+0.00069939i,0.0003691+0.0001171i
0.00061283+0.00039427i,0.00035981+0.00088231i,0.00084133+0.00095974i,0.0013241+0.00050719i,0.0011018-0.00029869i,0.00041176-0.00027113i,0.0004817+0.00025034i,0.0010047+0.0011113i,0.00087779+0.00065696i,0.00086103-0.00082491i,0.00095874-0.00032591i,0.00073393+2.8959e-05i,0.00075017-0.00018695i,0.00047492-0.00059154i,0.00044894-0.00052567i,0.00020113+0.00010305i,-3.0031e-05+0.00041089i,9.7995e-05+0.00053764i,2.3839e-05+0.00041532i,9.5492e-05+0.00091704i,0.00034982+0.00089353i,0.00069907+0.00068387i,0.00077956+0.00084646i
-0.00065469+5.3019e-05i,-0.00095787+0.00088576i,-0.0013715+0.00050894i,-0.0010266+0.0009706i,-0.00057468+0.0013205i,-0.00022116+0.00084249i,-0.00013278+0.00035551i,-0.00046011-5.6114e-05i,-0.00057855+0.00010533i,-0.00050811+0.00058181i,-4.6324e-05+0.0009927i,0.00063368+0.0011069i,0.00013685+0.00041411i,-0.00080479+0.00045219i,-0.00066267+0.0010508i,-0.0002751+0.00061092i,-0.00014161+0.00049403i,0.00024439+0.00078143i,-7.0954e-05-0.0002119i,6.6557e-05-0.0008206i,-0.00012807-0.00068259i,-0.00037865-0.00050194i,6.3811e-05+0.00048193i
-0.00052569-0.00098013i,-0.00021302-0.0010861i,-0.00034138-0.0012545i,0.0002097-0.0011852i,0.00041034-8.1085e-05i,0.00084746-2.1333e-05i,0.00084905+0.00036801i,0.00021877+0.0011869i,0.00046653+0.001563i,0.0010202+0.0012293i,0.0010011+0.00042699i,0.00075202-0.00035476i,0.00080802-0.00032341i,0.00061342+0.00030223i,0.00030415+0.00047387i,-0.0001852+0.00043182i,-0.00060509+0.00056609i,-0.00047395+0.0007669i,-2.6125e-05+0.0005183i,0.00010686+0.00013368i,-0.00022311+0.00041995i,-0.00041188+0.00057083i,3.7506e-05+0.00052799i
-0.00027483-2.0153e-05i,-0.00078414-0.0003255i,-0.00035965+0.00057413i,0.00015575+0.0018063i,-0.00031906+0.0011499i,-0.00058864-0.00031536i,-0.001248-0.00049235i,-0.0012199+0.00048105i,-0.00054365+0.00076982i,0.00046543+0.00033667i,0.0012832-8.5018e-05i,0.00118-7.8665e-05i,0.00064618+1.546e-05i,0.00022745+2.2875e-05i,-0.00027847+0.00063872i,-4.3837e-05+0.00068652i,0.000435+0.00061456i,0.00043243+0.00086133i,0.00050242+0.00074271i,0.00030108+0.0002911i,5.2101e-05+0.00038269i,6.4689e-05+0.00044568i,-0.00040517+9.8659e-05i
-0.00040369+0.0010702i,-0.00081871+0.0014249i,-0.00029824+0.0013393i,0.00038459+0.00040675i,0.00027907-0.00088583i,0.00014023-0.0012443i,0.00021223-0.00091063i,0.00027223-0.00064839i,-0.00012361+0.00066495i,0.00036659+0.00094672i,0.00092577+0.0003136i,0.00095381+0.00095297i,0.0007968+0.00085458i,0.00016674-1.7245e-05i,0.00029699+2.6177e-05i,0.00046266+0.00029466i,0.00025282-0.00016489i,0.00038147-0.00029015i,0.00078592-0.00016137i,0.00087937-0.00018643i,0.00032625+3.3757e-05i,-0.00033778-0.00011893i,-0.00016638-0.00016222i
-0.0017492-0.00065225i,-0.0020755-0.0010126i,-0.0024245-0.0015704i,-0.0013595-0.00079803i,0.00035671+0.00022544i,0.00069359+0.00041365i,0.00013919+0.00068229i,-9.2877e-05+0.0012577i,0.00021262+0.0015846i,0.00078274+0.0014378i,0.00058788+0.00051193i,0.00042608-2.7858e-06i,0.0012254-0.00011475i,0.00073411-0.00073656i,-0.0005604-0.0004031i,-0.00048688+8.0597e-06i,-0.00019446-0.00058012i,-0.00043613-0.00069182i,-0.00050027-0.00059955i,-7.0076e-05-0.0005291i,-0.00017786+0.00012766i,0.0001995+0.0006758i,0.00087647+0.00011493i
-0.00030302-0.0011058i,0.00018211-0.0011582i,0.00094822-0.0003928i,0.00062162+0.00046883i,-3.7819e-05+0.00053079i,-0.00060776-0.00031601i,-0.00043884-0.00028165i,6.4429e-05+0.00028751i,0.00037119+0.00039992i,0.00011027-6.0327e-05i,0.00057021-0.001027i,0.0018517-0.00093644i,0.0016554-0.0010036i,0.0001479-0.0012381i,-0.00057002-0.00081386i,-0.00061023-0.00037939i,-0.00039994-0.0010311i,0.00031364-0.0012173i,0.00058862+0.00029944i,0.00051553+0.0010374i,0.00062137+0.00034853i,0.00014243-0.00026537i,-0.00013704-0.00023857i
0.00059428+0.0009584i,-0.00026492+0.0021991i,0.00019504+0.0020755i,0.00024717+0.0011245i,-0.00024542+0.0002366i,-4.7643e-05+0.00028147i,0.00015278+0.00035112i,7.4949e-05+0.00051533i,0.00026417+0.00065156i,0.00045507+0.00017531i,0.00023834-0.00026666i,6.7632e-05-0.00023279i,0.00062337-0.00068772i,0.00071654-0.00050805i,0.00030624+3.4427e-05i,0.0003374-0.00017786i,0.00024428-0.00056172i,-0.00087533-0.00025483i,-0.0011108+6.8811e-05i,-0.00023728+0.00028982i,0.00025113+0.0002443i,0.00026789-0.00026669i,0.00035622-0.00015475i
-0.0012355-0.00039994i,-0.0014745-0.00043492i,-0.0022497+0.00031578i,-0.0025691+0.0012657i,-0.0018008+0.0011425i,-0.00033045+0.00072709i,-0.00012532+0.00051193i,-0.00073156+0.00047575i,-0.00037285+0.00060344i,0.00028382+0.00052628i,0.00084423+0.00014842i,0.0011618-0.00063753i,0.00046899-0.00089491i,-0.00052958-0.0006165i,-0.00083632-0.00075824i,-0.00047119-0.00056604i,-0.0002892+0.00059892i,-0.00040239+0.00079046i,-0.00057656+3.3796e-05i,-0.00056849+0.00032279i,-0.00041066+0.00073119i,-0.00019995+0.00061272i,-5.4973e-05-0.00015814i
0.00094692+0.00016628i,0.0014403-0.00080087i,0.0010932-0.00079634i,0.0012879-0.00025289i,0.0014026+0.00010114i,0.00060741-0.00016112i,0.00039594+0.00024738i,0.00042786+0.0009978i,0.00018652+0.0014173i,0.00091974+0.0018235i,0.00093393+0.00093307i,-0.0005779-0.00029326i,-0.00051496-0.00056585i,0.00020072-0.00081247i,-0.00026021-0.00070564i,-0.00028853+9.8499e-05i,8.1827e-05+0.00092995i,-0.00029308+0.00072055i,-0.00085789-0.00047766i,-0.00083961-0.0011925i,-0.00052785-0.00059093i,-0.00016101-0.00022258i,-0.00030008+0.00032417i
-0.00096377+0.00045182i,-0.0010304+0.0012132i,-0.00071102+0.0011877i,-0.00024586+0.00017796i,0.00023376-0.0010491i,0.00057431-0.001216i,0.00032327-0.00068179i,-1.7359e-06+0.00056504i,-0.00021811+0.0011218i,0.00017924+0.00078844i,0.0007751+0.0010628i,0.0012215+0.0016619i,0.0013844+0.0010772i,4.1704e-06-0.00038124i,-0.00096436-0.00070056i,-0.0004929-0.00040346i,5.3836e-05-0.00033564i,-0.00026565-2.1182e-05i,-0.00085439+0.00028714i,-0.0012576+0.0006578i,-0.0011351+0.00078837i,-0.00034414+0.00034762i,6.9618e-05+0.000211i
-0.0021486+0.0015103i,-0.0030289+0.0018271i,-0.0030577+0.0022432i,-0.0027289+0.0017305i,-0.0019063+0.00082725i,-0.0007212+0.00014539i,-0.00068394-0.00076103i,-0.00087508+0.00030794i,-0.00048571+0.00071143i,0.00046044+0.00025062i,0.001292+0.00030689i,0.0014598+0.0004213i,0.0010535+0.00053977i,0.00024794+0.00014011i,-0.00016496+0.00013302i,0.00016253-8.0881e-05i,0.00047912-0.00028045i,0.00043001+3.6748e-05i,0.00022039-0.00031557i,-0.00023688-0.00033852i,-0.00051513+7.4683e-05i,-0.00019118+0.00028641i,1.8895e-05+0.00030346i
-0.002224-9.8797e-05i,-0.001996-0.00081689i,-0.0022304-0.00092052i,-0.0017476+0.00017301i,-0.00085076+0.00080406i,-0.00088545-7.5414e-05i,-0.0011981-0.00079754i,-0.00092726+3.3423e-05i,-0.00026537+0.00082633i,0.00064344+0.0004149i,0.0011522+0.000481i,0.0018251+0.00046413i,0.0018931+0.00022893i,0.00086815-5.6717e-05i,-9.3562e-05-0.00046703i,-0.0004573-0.00058999i,-0.00048309-0.00024517i,-0.0004166+0.00034295i,-0.0001728+0.0010246i,0.0002169+0.0014881i,0.00049003+0.0010374i,0.00049963+0.00097753i,-5.7664e-05+0.00089308i
0.00099714-0.00018169i,0.0021378+4.504e-05i,0.0017699-0.00026303i,0.0010337-0.00048604i,0.0010732+1.6334e-06i,0.00073909+0.00013996i,-0.0001701+0.00056839i,-0.0004136+0.0012613i,0.00053806+0.0013995i,0.0013033+0.00029923i,0.00097516-0.00073287i,0.00036346-0.00051782i,0.00038335-0.00076927i,0.00022091-0.0012517i,-0.00031321-0.00064984i,0.00020912-6.7884e-05i,0.00063978+5.1641e-05i,9.7765e-06+0.00020213i,-0.00019394+0.0007321i,-5.1288e-05+0.00067751i,0.00046183+1.602e-05i,0.00079377+0.00047452i,-0.00024909+0.00049617i
0.0012284-8.9606e-05i,0.00022766+0.0014841i,-0.00061632+0.0012364i,-0.00063535+0.00035673i,-0.00083435+0.00019921i,-0.0010284+0.00011476i,-0.0011261+7.0838e-07i,-0.00047129-0.00013866i,0.00043279+0.00028501i,0.00058041+0.0011385i,0.00016785+0.0010029i,0.00040294-0.00030509i,0.00056828-0.00049537i,0.00018548+2.5896e-05i,0.00061574-0.0001454i,0.00091686+8.0222e-06i,0.00044883+0.00031716i,3.833e-05+0.00062758i,-1.1307e-05+0.00035011i,0.0003331-0.00015683i,0.0002999+4.603e-05i,-8.843e-06+8.7244e-05i,-0.00016723-0.00049512i
-0.00032399-0.00060723i,-0.0012562-0.00074343i,-0.0010934-0.0010037i,-0.00077522-0.00099993i,-0.00036354-0.0011342i,0.00028838-0.0015856i,-0.00032401-0.00084259i,-0.00073873+0.00065471i,0.00032278+0.0015282i,0.00072039+0.0017789i,0.00030082+0.0014687i,0.00030223-9.4889e-05i,0.00077562-0.00062631i,0.00036756-0.00013402i,-0.00036985+0.00066853i,-8.2325e-06+0.00067162i,0.00029927+0.00065369i,-5.1044e-06+0.00090473i,-8.5734e-05+0.00080051i,0.00013416+0.00064869i,0.00047988+0.00047847i,-0.0002222+0.00017745i,-0.00022796-0.00031692i
0.00025196-0.0007079i,0.00029417-0.0007322i,-0.00015229-0.00093554i,-0.00073064-0.00099956i,-0.00089921+0.00023342i,-0.00063154+0.00058691i,-0.00017641-0.00013673i,0.00022934+0.00038747i,-0.00022292+0.001318i,-0.00015911+0.0018521i,0.00038764+0.0019044i,0.00043134+0.001909i,0.0006024+0.0012135i,0.00020801+6.3694e-05i,0.00016694+1.5586e-05i,0.0013255+0.00091205i,0.0016426+0.0014796i,0.00039579+0.0010117i,-0.00040478-0.00015924i,0.00016582-0.00063739i,0.00024236-0.00020576i,0.00013803+1.8724e-05i,0.00085198-7.3554e-05i
-0.00055799+0.0014502i,-0.00040674+0.0025412i,-0.00046412+0.0017744i,2.0695e-05+0.0011016i,0.00040827+0.0016913i,0.0003623+0.00096049i,-4.5995e-05+0.00015888i,-0.00028229+0.00076071i,-0.00035812+0.0010449i,0.0003804+0.00048705i,0.0015133+0.00043927i,0.0019615+0.000365i,0.0024722-0.00020967i,0.0017595-0.00064616i,0.0003736-0.0004672i,-0.00018216+0.0004116i,-0.00037305+0.00027071i,-0.00045275+0.0001232i,-0.0005151+8.8823e-05i,-0.00041821+9.4929e-05i,-0.00032543+0.00068677i,-0.0003526+0.0005905i,0.00012752+0.00018624i
0.0016503+0.00093884i,0.0012039+0.0012437i,0.00092691+0.0025303i,0.00013988+0.0021321i,-0.00038505+0.00087001i,-0.00046283-5.048e-05i,-0.0012086+0.00011038i,-0.00068339+0.0013329i,0.00096311+0.0018066i,0.001544+0.00074182i,0.0013678+0.0002392i,0.0016392-0.00023585i,0.0015798-0.00066019i,0.00021653-0.00054166i,-0.00064029-0.00056798i,6.7974e-05-0.00020869i,0.000816+0.00029118i,0.00065301+0.00074283i,0.00017773+0.00088219i,0.00038344+0.00082462i,0.00084716+0.0011744i,0.00055655+0.00058251i,0.00040749-0.00021235i
0.0019292-0.00093417i,0.0014125-0.0010012i,0.00085456-0.0021468i,0.00052403-0.0025212i,0.0001816-0.0017863i,-0.00077591-0.0012148i,-0.0013067-0.00082027i,-0.00037363+0.0002722i,0.00089184+0.00082125i,0.0013199+0.00039896i,0.0011712-0.00041467i,0.00083932-0.00092533i,0.00057507-0.00087362i,-0.00011403-0.00065284i,-0.0003213-0.0006332i,-0.00041993-7.6729e-07i,-0.00074725+8.9835e-05i,-0.00041385+0.00033487i,-0.00025526+0.001107i,-0.00071476+0.00096184i,0.00023971-8.9434e-05i,0.00084182+0.00021916i,7.7157e-05+0.00057148i
0.0012448+0.0022042i,0.0013211+0.0030049i,8.7592e-05+0.0017326i,-0.00040467+0.00061013i,3.204e-05+0.00061523i,-0.0002977+0.00024268i,-0.00059434-0.00021151i,5.0884e-05+0.00038i,3.4193e-05+0.0011931i,0.00057123+0.0013698i,0.00099281+0.00096633i,0.00061267-3.5949e-05i,0.0006018-0.00079354i,0.00025059-0.00062165i,-0.00062036-0.00032375i,-0.00080395+0.00049412i,-0.00063365+0.0011156i,-0.0013594+0.00092279i,-0.0013162+0.00021275i,-0.00033184+0.00027433i,-0.0006434+0.00015514i,-0.0011698-0.00030658i,-2.66e-06-0.00014878i
-0.00032487-7.7434e-05i,-0.00015386+0.0010327i,0.0011638+0.0022578i,0.0018122+0.0017305i,0.0016494-0.00010835i,0.00068692-0.00019256i,-0.00075143+0.00030521i,-0.00019334+0.00036944i,0.00030278+0.000681i,0.00034994+0.00047374i,0.00057187+0.00046032i,0.0007474+0.00063281i,0.00078372+6.0978e-05i,0.00052293-0.00057483i,-0.00012339+0.00015623i,-0.00024104+0.00055044i,0.0001503+9.6759e-05i,-0.00016819-0.00063887i,-0.00034575-0.00032814i,-0.00019191+0.00056176i,-0.00055882+0.00034829i,-0.00044639-9.3525e-05i,-0.00034404-0.00024021i
-0.0002814+0.00027865i,-4.5872e-06-0.00022785i,0.00015417-0.0010857i,-0.00051297-0.00076631i,-0.00060723-0.00018096i,-0.00031226-0.00040035i,-0.00033688-0.00080901i,-0.00032718-0.00063726i,0.00030288+0.0002244i,0.0011088+0.00085992i,0.0020589+0.00094424i,0.0024457+0.001913i,0.0011688+0.0016377i,0.00045539+1.3082e-05i,0.00048082-0.00089075i,0.00041019-0.0012257i,0.00014568-0.00053909i,-0.00015858+0.00030204i,7.7957e-05+0.00051071i,0.00072171+0.00048566i,0.00050012+0.00058931i,-0.00027488+0.0008845i,-0.0006762+0.00087464i
0.0016772-6.7344e-05i,0.0024159-5.6195e-05i,0.0024057-0.00048233i,0.0015048-0.00024778i,0.00081983-0.00037115i,9.306e-07-0.00045675i,-0.00064155-0.00026819i,-0.00074614-4.3847e-05i,0.00011898+0.00058147i,0.00087819+0.0011232i,0.0015379+0.00053623i,0.0027437+0.00031923i,0.0021825+0.00041762i,0.00063037-0.00010055i,-0.00014066+0.00012108i,-0.00019958+0.00025948i,-0.00027059-0.00032269i,-0.00043958-0.00039387i,-0.00072054-0.00041252i,-0.00028279-0.00026736i,-3.3885e-05+0.0001797i,-9.0895e-05+0.00029473i,0.00087569-0.00016513i
-0.001491+0.00064024i,-0.0012457+0.00055116i,-0.0020332+0.0011326i,-0.0014236+0.0022241i,-0.00050103+0.0017814i,-0.00066284+0.00020539i,-0.0013309+0.00019605i,-0.0020124+0.0012468i,-0.0015505+0.001836i,-9.0054e-06+0.0019592i,0.001313+0.0019179i,0.0014318+0.00092261i,0.0012804+0.0003367i,0.00048606+0.00018494i,-0.00075506-3.0418e-05i,-0.00070918+7.8005e-05i,0.00026034+0.00088753i,2.6674e-05+0.0020225i,-0.00031283+0.0014952i,5.173e-05+0.00066205i,-0.0001523+0.00036412i,-0.00017936+0.00037964i,0.00026653+0.0008681i
0.0012792+0.0023345i,0.0012251+0.002041i,5.8967e-05+0.0017063i,8.7037e-05+0.00026471i,0.00045407-0.00041504i,-0.0006003-0.0001107i,-0.0014909-0.00033161i,-0.00071421-0.0003137i,-8.871e-06+0.00055894i,0.00064047+0.0010374i,0.00080921+6.4267e-05i,0.00051673-0.0010105i,0.00068275-0.0013677i,0.00060648-0.0010604i,0.00059363-8.6865e-07i,0.00045843+0.00069706i,0.0004075+0.00055672i,0.0003592-0.00010787i,0.00036255-9.6862e-05i,-4.6159e-05-3.9887e-05i,-1.4917e-05-0.00046914i,0.0001745+8.2139e-06i,0.0004459+0.00064916i
0.0016911+0.001291i,0.0015524+0.00035241i,0.0010816-0.00073713i,0.00029876-0.00075778i,-0.00041965+3.076e-05i,-0.00098093-0.00016545i,-0.0014576-0.00075961i,-0.00098876-0.00039679i,0.00020808+0.00094816i,0.0013327+0.001578i,0.0010579+0.0007773i,0.00059088+0.00024488i,0.00061753-0.00037495i,0.00026832-0.00093734i,3.9117e-05+0.00012962i,2.9457e-05+0.00099421i,-0.00061867+0.00031698i,-0.00096352-7.9993e-05i,-0.00055267+0.0002267i,2.5485e-05+0.00039173i,0.00026715-0.00012792i,0.00040861-7.2126e-05i,0.00025214-0.00014285i
-0.0014525+0.0012306i,-0.0008956+0.0016984i,0.0011414+0.0015429i,0.001904+0.0011766i,0.0013328+0.00035974i,0.00019236-0.00089628i,-0.00067024-0.0007845i,-0.00020378+0.00054844i,-0.00031136+0.00097899i,-0.0004455+5.3694e-05i,0.0007461-0.00041781i,0.0015486-0.00053668i,0.0010816-0.00040504i,0.00024064-0.00039602i,0.00041349+1.824e-05i,0.00028243+0.00032076i,0.00023413-0.00034344i,0.00054145-0.00080703i,0.0003893+8.4476e-06i,0.00038611+0.00084908i,0.00037696+0.0011395i,-0.0001228+0.00083444i,-0.00015198+0.00054412i
-0.00024053+0.0006157i,-0.0018044+0.00077717i,-0.0025531+0.0014111i,-0.0011689+0.0011731i,-0.00035139+0.00010625i,4.0553e-05+5.7221e-05i,-7.8814e-05+6.4315e-05i,-6.5675e-05+0.00011709i,0.00083834+0.00058709i,0.0016003+0.0010452i,0.0012868+0.0016966i,0.0015939+0.0013826i,0.0019403+0.00098231i,0.0011075+0.0011085i,0.00039127+0.00059842i,0.00063808+0.00042118i,0.0003972+0.00089055i,-0.00091643+0.000813i,-0.0014321+0.00064413i,-0.00066869+0.0011589i,-7.1435e-05+0.0011184i,0.0001271+0.00043795i,0.00068387+2.5119e-05i
-0.0027079+0.00021707i,-0.0017301-0.0007665i,-0.00189-0.0012415i,-0.0014491-0.0003433i,0.00020743+0.0010013i,0.0010397+0.0012444i,0.00071599+0.0011228i,-2.2794e-05+0.0011799i,0.00015923+0.0008748i,0.0014773+0.001063i,0.0022592+0.0010948i,0.0017294+0.00044963i,0.00082162+0.00018957i,0.00010028-0.00040856i,-0.00039015-0.00066639i,0.00010519+6.3998e-05i,0.00032847+0.0006634i,4.7104e-05+0.0010934i,2.9799e-08+0.0012842i,-0.00019487+0.00055861i,-0.00075956+4.5478e-05i,-0.00013357+0.00047325i,0.00098555+0.00056509i
0.0023485+0.00091547i,0.0023057+0.00057199i,0.0019866-0.00078762i,0.001052-0.001086i,0.00015628+3.0006e-05i,-0.0006711-6.4339e-06i,-0.0015189-0.00082351i,-0.0011708-0.00055739i,0.00011317+0.0007783i,0.0012885+0.00043677i,0.0012887-0.0007266i,0.0011665-0.00083764i,0.0011883-0.00096165i,0.00036018-0.0011936i,-0.00024757-0.00071686i,6.6955e-05+0.00012765i,0.0007635+0.00080653i,0.00097003+0.00092439i,0.00063749+0.0008182i,-5.3359e-05+0.00058737i,-0.00019504+0.00044312i,4.4281e-05+0.0006013i,3.1628e-05+0.00066488i
-0.00045786+0.00061007i,-0.00067099+0.0015126i,-0.00038625+0.0025269i,-0.00047227+0.0012257i,-0.00070699-0.00096955i,-0.00096812-0.00063649i,-0.001209-0.00045361i,-0.00052425-0.00042467i,1.0963e-05+0.0002057i,0.00056252+0.00038511i,0.00081652+0.00048844i,0.00051375+0.00012129i,0.0004855-0.00024904i,-0.00027252-7.4095e-05i,-0.0011609+0.0005283i,-9.8195e-05+0.00073072i,0.00078053+0.00054929i,-0.00014048+0.00061712i,-0.00044754+0.00031781i,-0.00018542-0.0005704i,2.4079e-08-0.00053647i,6.8345e-06+2.4594e-05i,2.689e-05+0.00010329i
-0.0012973+0.001815i,-0.0020791+0.00096268i,-0.0008262+0.00018618i,0.00056734+0.00011151i,0.0011343+0.00055087i,0.0011403+0.00031906i,4.8586e-05-0.00021403i,-0.00076037-6.2027e-05i,-0.00027374+0.0004103i,0.00068754+0.00093867i,0.0016005+0.0010224i,0.0012428+0.00090447i,0.00037153+0.00082538i,0.00039262+0.00051045i,0.00041279+0.0007853i,9.0056e-05+0.00074931i,0.00025959+0.0003588i,-0.00018315+0.00016115i,-0.00039114+5.5625e-05i,-0.00038512-0.00012456i,-0.00071323-0.00069242i,-0.00047251-0.0007313i,0.00021368-0.00034536i
3.1631e-05+0.0002826i,-0.00015064-0.0011724i,0.00042093-0.00071927i,0.00042267+0.00050297i,-0.00019479-0.00048875i,0.0002807-0.00071099i,0.0004006+0.00023955i,-0.0003408+0.00044642i,-0.00019084+0.0009838i,0.00089966+0.0013148i,0.00060645+0.00066695i,-3.9333e-07+0.00027162i,0.00041568-0.000168i,0.0008729-1.8237e-05i,0.00015371+0.00035514i,-0.0010084+6.3958e-05i,-0.0011778-0.00059738i,-0.00045149-0.00056751i,-0.00057407+0.00069054i,-0.00058969+0.00048957i,6.6636e-05-1.4429e-06i,-0.00035621+0.00024066i,-0.00059516+0.00039292i
0.00030636+0.0011248i,0.00064577+0.0019494i,-5.4579e-05+0.0017553i,-0.00079706+0.0017372i,-0.00088504+0.001753i,-0.0013034+0.00051169i,-0.0010886-0.00056864i,-0.00032834-0.00030233i,-0.00015638+0.00035895i,-0.00015088+0.00089808i,0.00046254+0.0012087i,0.0012034+0.001471i,0.00093838+0.0011196i,0.00029741-0.00022194i,-2.9333e-05-0.00018278i,-0.00035598+0.00062027i,-0.00042457+0.00095493i,-0.0001001+0.00079339i,3.1637e-05+0.00042186i,-0.000322+0.00025151i,-0.0010643+0.00027389i,-0.00071764-0.00013445i,-0.00018262-0.00033094i
-0.00061838+0.00038875i,-0.00093451+0.00104i,-0.00079283+0.0012547i,-0.00081048+0.0014313i,-0.00022838+0.00056276i,0.00010222-0.00065098i,-0.00064552-0.00087136i,-0.00020618-7.314e-05i,0.00055755+0.00078938i,0.00065787+0.0015452i,0.00054681+0.0013518i,0.00077806+0.00032903i,0.00037669-0.00018618i,-0.00041139-0.00060531i,-0.00060542-0.0013839i,0.00026915-0.000912i,0.00027993-0.0005688i,-0.00044271-0.00080372i,-0.00051923-0.00046889i,-0.00051198-0.00039296i,-4.1122e-05+0.0002434i,0.0007984+0.0016096i,7.905e-05+0.0016571i
