-0.0033492-0.0031019i,-0.003661-0.0028496i,-0.0034954+0.00032721i,-0.0028495+0.0031144i,-0.002081+0.0038156i,-0.00095213+0.0031966i,-0.0001389+0.0020612i,8.5846e-05+0.0020419i,0.00054642+0.002389i,0.0011845+0.0015316i,0.0011943+0.00034973i,0.00029266-0.0004387i,0.00045166-0.0013i,0.00082584-0.0012696i,0.00052738+0.00035392i,0.00077297+0.0011102i,0.00071657+0.00027664i,-0.00049661-0.0011007i,-0.0010912-0.0019414i,-0.0004817-0.001283i,-0.00011276-0.0002725i,-1.6595e-05-0.00042766i,-1.5784e-05-0.00092716i
0.00041061+0.0029001i,0.00093234+0.0027003i,0.00014031+0.0018783i,-0.00046811+0.00066993i,-6.7826e-05-0.00025634i,-0.00055136-0.00018562i,-0.00050264+0.00077145i,0.00063038+0.0011973i,0.00057776+0.0012524i,0.00074206+0.0011912i,0.00074804+0.0008689i,0.00031921+0.00025113i,0.00011208+2.6189e-05i,-2.9481e-05+0.00022633i,0.00014339+0.00064777i,0.00037842+7.8889e-05i,0.0011593-0.00031751i,0.00088737-0.00019553i,-0.00038539-0.00025551i,-0.00059547-0.00039705i,-0.00091159-0.00069793i,-0.0011782+9.3098e-05i,-0.00085445+0.00062672i
0.00080325-0.003679i,0.00053175-0.0027977i,-0.000337-0.0019745i,-0.0019775-0.0013344i,-0.0023155+0.00074923i,-0.00065908+0.0029883i,0.00021075+0.0022315i,0.00016126+0.00071048i,-3.9574e-05+0.00034501i,-0.00016248+0.0004744i,-6.0595e-05+0.00029536i,-0.0001914-0.0001354i,0.00040473-0.00043286i,0.00087253+5.1885e-06i,0.00060461+0.00044347i,0.00028402-0.00012042i,0.00022073-0.0008012i,0.00045953-0.00074791i,-0.00014125-0.00050855i,-0.00076892-0.00045513i,-0.00052952+0.00010933i,-0.00015982+9.7423e-05i,0.0001025-0.0002696i
0.0003102+0.0013922i,-0.00030531+0.0018722i,-0.0013567+0.0022789i,-0.00238+0.0011912i,-0.0018357+0.00082889i,-0.0012452+0.00050912i,-0.001318+2.3307e-05i,-0.00066855+0.00063456i,0.00039452+0.0013559i,0.00036041+0.0014358i,-7.0551e-05+0.00064251i,-5.4035e-05-0.0006348i,0.000263-0.00085383i,0.00040514-0.00017984i,0.0002388+0.0001454i,0.0003548+0.00032406i,0.00089756+0.00027929i,0.00028719-3.8564e-05i,-0.0010861-0.00060622i,-0.00056757-0.0011074i,0.00049202-0.00060232i,0.00053109+0.00035318i,-0.00055167+0.00057852i
-0.0028006+0.00063593i,-0.0027864+0.00042776i,-0.0013979+0.0015806i,-0.00026785+0.0016581i,0.00036792+0.0012534i,0.00049129+0.00082777i,0.00049062+0.0007336i,0.00089054+0.00057707i,0.0011593+0.0010974i,0.001087+0.0013186i,0.00085229+0.00020624i,0.0005184-0.0004749i,0.00029049-0.00020465i,-0.00037369-0.0002807i,1.5784e-05-0.00016255i,0.00047648-0.0003158i,4.9643e-06+0.00015395i,-9.9524e-05+0.00022277i,0.0002235+2.7144e-05i,0.00021147-0.00014764i,0.00025026-0.00097359i,0.00029062-0.00089721i,0.00037801-0.00032862i
0.0021795-0.0018311i,0.0019869-0.0022416i,0.0012047-0.0027858i,-0.00037092-0.0025944i,-0.0010721-0.00037017i,-0.0011195+0.00097032i,-0.00031045+0.00058877i,0.00046807+0.00038391i,0.00061707+0.00030871i,0.00053237-0.00029469i,0.00089479-0.00031447i,0.0011206+0.00023185i,0.00013351-2.401e-05i,-0.00014416-0.00032293i,-0.00052336+0.0005399i,-0.00054032+0.00032544i,-0.00041045-0.0002029i,-0.00068772-0.00034633i,-0.00014099-0.00027595i,-0.00022852+0.00044589i,-0.00013975+0.0011184i,0.00022183+0.00084863i,1.0863e-05+0.00033525i
0.00031138+0.0015409i,-1.5161e-05+0.00087647i,1.7121e-05+0.00087885i,0.00053175+0.00072869i,0.00046285+0.00046151i,-0.00023366+0.0005996i,-0.00051064+0.00030147i,0.00013929-0.00011672i,0.0010584-0.00037692i,0.00066831-0.00034514i,0.00044767-0.00050931i,0.0010242-1.9311e-05i,0.0010184+0.00028358i,-0.00013275+0.00010097i,-0.00048641+6.1894e-06i,0.00013813+0.00070264i,0.00016389+0.00075995i,0.00037125-0.00058825i,0.00054268-0.001242i,0.00034118-0.00097391i,0.0004233-0.00055198i,0.00052136-0.00076434i,0.00062355-0.00063845i
0.00020312-2.5036e-06i,0.0001109+0.00063167i,-0.00031753+0.00065553i,-0.00086928+0.00056763i,-0.0012103+0.00013747i,-0.00087888+0.00015916i,7.566e-05+0.00070853i,0.00166+0.0011403i,0.0014806+0.00089084i,0.00076559+0.00043668i,0.00093532+0.00057439i,0.0008526+0.00026669i,0.0011322+0.00015805i,0.0011815+0.0010126i,0.0010815+0.00066303i,0.00089657-0.00020146i,0.00082887-7.7115e-05i,-1.3416e-05+0.00048326i,-0.00069468+0.00039079i,-0.00015626-0.00021618i,-0.00019434-0.0010276i,0.00012463-0.0011061i,0.00052305-0.00020186i
0.00059875+0.00056941i,0.00044578+0.0013184i,0.00088708+0.0010718i,0.0013343+0.00057892i,0.00043801+0.00015189i,-0.00075297+0.00056477i,-0.00056357+0.001127i,0.00031064+0.0011108i,0.00085208+0.00086214i,0.00034866-4.3676e-05i,-0.00053802-0.00049525i,-0.00011857-0.00048796i,-7.7582e-05-0.00060776i,-0.0005212-0.00044782i,-6.1722e-05-0.00019762i,0.00079511-9.4735e-05i,0.00051926+0.00041854i,-0.00052863+0.0008193i,-0.00089567+0.00028631i,-0.00040798-0.00097165i,-5.2239e-05-0.00086021i,0.00028132+0.00026611i,-0.00024193+0.00013356i
0.0013268-0.00039832i,0.00014209-0.0015927i,-0.00086135-0.0014334i,-0.0016919-0.00096738i,-0.0021389-0.00060282i,-0.0018422+0.00047664i,-0.00011265+0.0017249i,0.00098375+0.0020057i,0.00093918+0.00090118i,0.0006623-0.00014586i,0.00092109-0.00060681i,0.0011891-1.3613e-05i,0.00043847+0.00025078i,0.00027044+3.1233e-05i,0.00060783+5.1672e-05i,0.0004925-0.0001834i,0.00036834-0.00021551i,0.00079162+0.0005102i,0.00097435+0.00039312i,0.00013876-0.00028648i,0.00034683+1.2647e-05i,0.00045941+0.00096199i,-0.0001468+0.00065146i
0.00098351-0.00056172i,0.0020149-0.00080435i,0.0013935-0.00022412i,0.00011634-0.00044653i,-0.00015879-0.00058334i,-0.00019832+2.7094e-05i,0.00073748+0.00079002i,0.00074716+0.00089036i,0.00083723-0.00024252i,0.00096703-0.00073021i,0.00038277-0.00052847i,0.00036006+0.00057763i,0.00073779+0.00051499i,0.00023077-0.00080836i,-0.00040225-0.00076404i,0.00022563-1.2513e-05i,0.00063571-0.00068971i,0.0003955-0.0015546i,-0.00021437-0.0016839i,-0.00043525-0.00077653i,-0.00027684-0.00040564i,-0.00054852+3.1614e-05i,-0.0012907+0.0010495i
-0.0021137+0.0019537i,-0.0015581+0.0028414i,-0.00129+0.0024284i,-0.00079133+0.0017666i,0.00011268+0.0015193i,0.00010445+0.00036914i,-0.00041667-0.00063285i,-0.0005381-0.00052046i,6.3214e-05-0.0008871i,0.00079598-0.00054051i,0.0009401+0.00011652i,0.00027362+0.00031058i,-0.00022329-0.00011401i,-0.00058006-0.0012758i,-0.00060538-0.0011694i,1.5244e-05+0.00010836i,0.00046069+0.00010373i,4.6759e-05-6.4264e-05i,-0.00088726+0.00041934i,-0.00090425+0.00047975i,-0.00079606-0.00011709i,-0.0011172-0.00083488i,-8.6036e-05-0.00071625i
-0.0012244-0.0016867i,-0.0016858-0.0013055i,-0.0011314-0.00075326i,-0.0012591+0.0002696i,-0.0018483+0.0012584i,-0.001287+0.0020512i,-0.00031441+0.0019982i,-0.00044387+0.0015455i,-0.00019526+0.00092413i,0.00053048+0.00057345i,0.00050242+0.0010025i,0.00030076+0.0016309i,0.00035268+0.0014978i,-9.2275e-05+0.0001352i,0.00012991-0.00018216i,0.00072976+8.0497e-05i,0.0008018+0.00035782i,0.00059443+0.00053506i,0.00025822+0.00061495i,-0.0006114+0.00081359i,-0.00014936+0.00083737i,7.3593e-05+0.00033796i,-0.00039174-0.00028992i
0.0014375-0.00081011i,0.0010522-8.441e-05i,0.0002485+0.00018076i,-0.0010304+9.572e-05i,-0.0021731+0.00094028i,-0.0014569+0.0017419i,-0.00040079+0.0014047i,0.0011274+0.0007397i,0.0021659+0.0006376i,0.0011469+0.00017285i,0.00057533-0.0005365i,0.00050116-0.00077126i,0.00087811-0.00029175i,0.00085858+0.00023388i,-0.00023202-2.1468e-05i,-0.0010676-0.00014876i,-0.00040376+0.00026944i,0.00055246+7.9113e-06i,0.00085323-0.00024374i,0.00075511+0.00029331i,0.00016693+0.00046524i,-0.00043307+2.4572e-05i,-2.8463e-05-0.00035457i
0.0008219-0.00014155i,0.00060026-0.0001779i,-0.00084283-0.00092451i,-0.0018526-0.001312i,-0.0021374+0.0003864i,-0.0018644+0.0017086i,-0.0010843+0.0015434i,-0.00070596+0.0010527i,-4.8343e-05-9.1313e-06i,0.00034078-0.00073772i,0.00028812-0.00035747i,0.00041979-0.00015094i,0.0006667-0.00020124i,0.00090986+0.00048533i,0.00071611+0.00043959i,0.00014734-2.8767e-05i,-0.00044119+6.2047e-05i,-7.0434e-05+7.0875e-05i,0.00081458-0.00035274i,0.0011402-0.00017617i,-5.6164e-07-0.00024737i,-0.00029039-0.00073079i,-0.00065092-0.00085615i
0.0011136-8.9135e-05i,0.0011855+0.00061169i,0.00060504+0.0012742i,-0.00095461+0.0011528i,-0.0013204+0.00049186i,-0.00075316+0.00058525i,-0.00026983+0.00083124i,0.00018143+0.0005648i,0.00028369+0.00079437i,0.00020211+0.0006299i,-0.00068327+0.00065365i,-0.0015784+0.00089635i,-0.00096575+0.00039167i,-0.00028756+0.00064252i,-0.00052911+0.00082954i,-0.00058103+0.00019909i,-0.00018872-0.00057765i,0.00036541-0.00057563i,0.00035242+2.8091e-06i,0.0001892+0.00025971i,6.8071e-05-5.5536e-05i,8.4769e-05-0.00028681i,2.9838e-05-4.283e-05i
-0.00067571+0.0021643i,-0.00082116+0.0025959i,-0.00069274+0.002803i,0.00077606+0.001963i,0.0013673+0.001313i,0.0011796+0.0018177i,0.0010926+0.0019548i,0.00084876+0.0018494i,0.00051912+0.0013419i,0.00082274+0.00028967i,0.0011656-0.00063746i,0.00064127-0.00086715i,8.2586e-05-0.00061112i,-0.00010843-0.00021275i,-0.00022504-0.00020495i,0.00025122-0.00039559i,0.00039017-7.5164e-05i,0.00046133+0.00053796i,0.00065569+0.00064757i,0.00013116-0.00014678i,-0.00011717-0.00020486i,-9.8666e-06+0.00055845i,8.4308e-05+0.00069772i
-0.0024593-0.0007204i,-0.0030759-0.00049237i,-0.0027876-0.00022115i,-0.0022398+0.0014048i,-0.0012705+0.0015129i,-0.00027429+0.00096253i,-0.00051042+0.0011884i,-0.00057023+0.001155i,0.00010416+0.00069308i,0.00059087+0.00035806i,-0.00041519+0.00029501i,-0.0005865-0.00030128i,0.00025589-0.0010844i,1.2101e-06-0.00058964i,0.00016918-8.5627e-06i,0.00027458-0.00028618i,-0.00021564-0.00014974i,-0.00063547+0.00014964i,-0.00024388+9.6895e-05i,-1.6028e-05+2.1611e-05i,-0.00058805-0.00018605i,-0.00053502-0.00014361i,0.00075527-6.9337e-05i
-0.00045182+0.00038365i,-0.00060009+0.00016461i,-0.0012155+0.00032602i,-0.0018616+0.0010137i,-0.0020538+0.0010413i,-0.0013213+0.00043186i,-0.00018483+0.00071188i,-0.00010078+0.0010067i,-0.00031746+0.00083166i,0.00016969+0.001481i,0.000857+0.0016365i,0.0011437+0.0013169i,0.00059558+0.00074334i,8.2017e-05+9.6994e-05i,0.00028435+0.0006713i,0.00042661+0.00039042i,0.00061473+0.00025438i,0.00074593+0.00013955i,0.0004099-0.00031804i,-0.00022656-0.00026204i,-0.00043016+8.6139e-05i,0.00029173+0.0003069i,0.00030077-0.00025701i
-0.00019953+0.00030789i,0.00058495+0.00099211i,-7.8659e-06+0.001722i,-0.00046493+0.0013857i,-0.00017082+0.0015044i,-7.1045e-05+0.0015647i,-0.00021098+0.0011245i,0.00051774+0.0010329i,0.00086589+0.00059503i,0.00027736+0.00014362i,0.00024483-0.00042227i,0.00060956-0.00076057i,9.0347e-05-0.00039593i,-0.00028204+1.0215e-05i,0.00047735+0.00064802i,0.00036499+0.00096833i,-0.00018071+0.00045734i,-0.00056942+8.5742e-05i,-1.075e-05-0.00033484i,0.00038547-0.00070772i,0.00019339-0.00059641i,0.00017101+0.00046009i,-0.00029865+0.00068123i
-0.0010021+0.00094941i,-0.0011273+0.0010854i,-0.00089042+0.0014894i,-0.0011259+0.0010079i,-0.0011837+0.00017183i,-0.0016787-0.00026825i,-0.0015065-0.00041694i,-0.00043567+0.00034988i,0.00054033+0.0015729i,0.0013519+0.00084087i,0.0019062+7.1452e-05i,0.00072088+0.0002498i,-0.00049164+0.0006193i,-0.00015439+0.00018384i,0.00029922-0.00019971i,0.00072535-0.00037612i,0.00067471-0.00010461i,0.0001988+0.00012619i,-0.00023855+0.00012814i,-0.0004327+0.00026275i,0.00040153+8.529e-05i,0.00091929-0.00027282i,0.00079075-0.00018123i
0.00075117+0.0021481i,0.0014532+0.0029661i,0.0018746+0.0019962i,0.00037028+0.00041417i,-0.0010222-0.00058171i,-0.0012512-0.000663i,-0.0018267-0.00022734i,-0.0015561+3.7524e-05i,-0.00045557-0.00027335i,-0.00015487-0.0011856i,-0.000176-0.0012103i,-0.00028588-0.0010093i,-0.0011202-0.00049256i,-0.0014576-0.00041254i,-0.00077303-0.0009458i,-0.00037026-0.0009025i,-8.2898e-05-0.00044719i,-0.00044877-0.00076172i,-0.00082641-0.00026309i,-0.00063458+0.00044866i,-0.00026849+0.00019115i,-0.0006212+0.00048477i,-0.00078506+0.00099246i
0.0015316+0.00085444i,0.0016432+0.00078455i,0.00051695+0.001406i,0.00014455+0.00080976i,9.7082e-05+0.00055565i,-0.00016965+0.00075439i,0.00042987+0.00051843i,0.00094544+0.00082862i,0.0008878+0.0008795i,0.0011177+0.00050786i,0.00098779+0.00039816i,0.00080336+0.00052833i,0.00053633-0.0001235i,-7.3483e-05-0.00086127i,-0.0011082-0.00089677i,-0.00089633-0.0011147i,-0.00010783-0.0009098i,-0.00020648-0.00031306i,0.00020135+0.00019202i,0.00041274+0.0006519i,-0.00020644+0.0010129i,-0.00015542+0.00097714i,2.2734e-05+0.00014254i
-0.00084055+0.0011163i,-0.0014582+0.001231i,-0.0019467+0.00076464i,-0.0012326+0.0010496i,-0.00057631+0.00093591i,-0.00013845+0.0006959i,-1.6886e-05+0.00058691i,7.9253e-05-2.8768e-05i,0.00080754-0.00049333i,0.00077794-0.00034328i,0.00040686-7.145e-05i,0.00066913-0.00027663i,0.00071487+0.00031126i,0.00012666+0.00057402i,-5.2198e-05+0.0001443i,0.0003897+9.0479e-05i,0.00047516-0.00030402i,0.00051589-0.00040965i,0.00068174-0.00032779i,0.00022904+4.9929e-05i,-0.00033684+1.7808e-05i,2.9879e-05-0.00065276i,5.2889e-05-0.00089693i
0.00037254+0.0017956i,0.00059225+0.0017432i,0.00025606+0.0021166i,-6.0833e-05+0.0012179i,-0.00013897+0.00035501i,-0.00026376+0.00034131i,-3.0879e-05+0.00069466i,0.00056293+0.0012331i,0.0002933+0.0010397i,-0.00037015+0.00056958i,-0.0004485-7.316e-05i,3.706e-05-0.00010484i,0.00027621+0.00057243i,-0.00041834+0.00025752i,-0.00026921+0.00050524i,0.00029985+0.00025046i,0.00076225-0.0010731i,0.00073782-0.000466i,0.00048778+0.00071871i,0.00049803+0.0010199i,-0.00029313-0.00014845i,-0.00042694-0.0012946i,-0.00047513-0.00045309i
0.0010737+0.00010797i,0.00043438-0.0010346i,-0.0012626-0.00084527i,-0.0022076+0.00017718i,-0.0016455+0.00041147i,-0.00056279+0.00032143i,-0.00013851+0.00074755i,-0.00048106+0.0010955i,-0.00049111+0.00072109i,0.00018645-0.00029725i,0.0003534-0.00058785i,0.00050736-2.8346e-05i,0.00063985+0.0005705i,-0.00011298+0.00090141i,-0.00062627+0.00048968i,-0.0003237-2.4763e-05i,-0.00050801-0.00026779i,-0.00098516+5.3524e-05i,-0.00033615+5.7449e-05i,9.7462e-06+0.00034227i,0.00044132+0.00096532i,0.0011873+0.0015153i,0.0010771+0.0015755i
0.00036491+0.0001248i,0.0012254+0.00063302i,0.00078477+0.00087082i,-0.00029669+0.0008908i,-0.00059785+0.00071948i,-0.00045243+0.00067644i,-2.5819e-05+0.0011025i,0.00058756+0.001198i,0.00097533+0.000659i,0.00040226+0.00057395i,-0.00010882+0.00027808i,-0.0007374-0.00011833i,-0.00048129-0.0001145i,0.00033211-0.00022089i,0.00074712-6.6613e-05i,0.0011085+6.5461e-05i,0.00072471+2.5528e-05i,6.1345e-05-0.00048663i,-0.00051884-0.00043892i,-0.0011311-0.0002311i,-0.0013996-0.00022701i,-0.0010599-0.00019152i,-0.00023486-9.9694e-06i
0.0013235-0.0010013i,0.001061-0.0013011i,-0.00049873-0.0012608i,-0.0017073-0.00072244i,-0.0016008+0.00058201i,-0.0011699+0.0012129i,-0.00042908+0.0014103i,3.4216e-06+0.0010256i,-0.00020219+0.00042097i,0.00026719+0.0002009i,0.0010258+0.00013354i,0.00082577+0.00050336i,-5.8617e-05+0.00063894i,-0.00033964+0.00014457i,-3.9179e-05-0.00044138i,-0.0001971+0.00013085i,-0.00018439+0.0008319i,0.00030362+0.00052898i,0.00020233+0.00031619i,-0.00054428-0.00060564i,-0.00046801-0.0011753i,0.00080272-0.0008999i,0.00076767-0.00087357i
0.0010084-0.00072257i,-0.0001665-0.0019446i,-0.00071728-0.0019846i,-0.001753-0.00085909i,-0.0026494-0.00097662i,-0.001308-0.00079596i,0.0009063+0.00046615i,0.0017736+0.00091602i,0.0010705+0.0011276i,-0.000281+0.00080524i,-0.00068035+0.00025775i,-0.0005909+0.00012768i,-0.00031505+0.00035875i,0.00062985+0.0006011i,0.00073624+0.00072091i,0.00035427+0.0007748i,0.00047416+0.0001201i,0.00035109-0.00056774i,0.00054248-0.00032588i,0.00056412-0.00015224i,0.00031804-0.00065789i,-4.951e-06-0.00054699i,0.00027351+0.00014222i
0.0015788-0.0013778i,0.0012012-0.00024992i,0.00055546+0.00078372i,4.7782e-05+0.0011875i,-0.0010713+0.0013417i,-0.0012605+0.0011399i,-0.000549+0.0013366i,-0.00027519+0.0015462i,-0.0003654+0.0012075i,-0.0003688+0.00058537i,-0.00046597+0.00056074i,-0.00086975+0.00069129i,-0.0007214-0.00011816i,4.579e-05-4.3578e-05i,4.6644e-05+0.00081617i,0.00017955+0.00028529i,0.00074154-0.00022947i,0.00062708-0.00059526i,0.00047738+0.00042173i,-2.9356e-05+0.0009065i,-0.00089341+5.435e-05i,-0.00066207-0.00020501i,-0.00017837+0.0003817i
0.0011593+0.00064453i,0.0015211-0.00022155i,-0.00030751-0.0010667i,-0.0012693-0.00074568i,-0.0016564-9.6847e-05i,-0.0010911+0.0010091i,-0.00011052+0.0015904i,3.4149e-05+0.0016976i,5.9633e-05+0.0010999i,0.00062316+0.00014293i,0.00077102+0.00011871i,0.00022399+0.00064311i,-0.00011713+0.00068709i,4.5438e-05+0.00058515i,-1.0084e-05+0.00014358i,-0.00029169-0.00020518i,1.0348e-07-0.00026553i,0.00017111-0.00048492i,-7.3345e-06-0.00059725i,9.2961e-06-0.00024847i,0.00043448-0.00051292i,0.00039013-0.00099899i,0.00043-0.00072266i
-0.0025059+0.0014891i,-0.0036393+0.0030025i,-0.0030541+0.0039352i,-0.0018866+0.0035249i,-0.00077864+0.0017935i,-0.00060552+0.0011331i,-0.00029945+0.00083421i,-1.5991e-05+0.00063558i,-0.00022538+0.00059494i,3.7863e-05+0.0005478i,0.00023642+0.00039824i,-0.00055419-0.00047545i,-0.00074271+5.7315e-05i,-0.00012402+0.00068811i,0.00025137+0.00012907i,0.00024658-0.00044324i,-0.00043056-0.00072438i,-0.00030519-0.0010305i,8.1605e-05-0.00020318i,-0.00015387+0.00010094i,-0.00028671-9.3579e-05i,-9.0325e-05+9.41e-05i,4.1981e-05+0.00029669i
-0.00025352+0.0014292i,-0.00067435+0.00091366i,-7.7939e-05+0.0014372i,-0.00042921+0.00040391i,-0.00052809-0.00076556i,-0.00014507+0.00020325i,-9.2838e-05+0.0014758i,-0.00023618+0.0013904i,-0.00034076+0.00062757i,-0.0001169-0.00036357i,8.6625e-05-0.00090018i,0.00055036-0.00083707i,0.00099985-0.00016649i,0.00060705+0.00035971i,0.0001879+0.00076524i,0.00029385+0.00080843i,-1.6955e-05+2.9416e-05i,-0.00078436-0.00073035i,-0.00061015-0.00079677i,0.00052195-0.00041557i,0.001343-0.00024656i,0.0011664-0.00034098i,0.00030823-0.00016103i
