-0.0013936+0.0013197i,-0.0010176-0.00011651i,-0.0018944-0.00099902i,-0.0014467-0.00086354i,-0.0010923+0.00032128i,-0.00085319+0.00099354i,0.00059841+0.0012081i,0.0021295+0.0017637i,0.0019228+0.001819i,0.00074296+0.00062296i,-0.00036447-0.0004122i,-0.00084711-0.001481i,-0.00079519-0.0014159i,-0.0012159-0.00068472i,-0.00057843-0.00052379i,0.00035733-0.00024225i,0.00025086+0.0002799i,0.00016894+9.122e-05i,0.0001079-0.00027718i,0.00016736-0.00074547i,0.00057487-0.0012913i,-6.7087e-05-0.00064114i,-0.00071426+9.4812e-06i
-0.0015073-5.9594e-05i,-0.001376-1.5071e-05i,-0.00048663-0.00030971i,0.00067201-0.00038213i,0.00086339+0.00057176i,0.00033905+0.00093585i,0.00092707+0.00024584i,0.00086955+7.1729e-08i,0.000256+0.00079793i,0.00033497+0.00064293i,-0.00010931-0.00029502i,-0.00044126-0.00044824i,0.00026467-0.00051993i,0.0006688-0.0012296i,6.8838e-05-0.0016581i,-0.0005761-0.0013628i,-0.00082852-0.00019854i,8.6028e-05+0.00096061i,0.00018937+0.00080897i,-0.00094846-0.00025119i,-0.0009657-0.00062805i,5.4231e-05-0.00049294i,-0.00023227-0.00027451i
-0.00020343+0.0016495i,0.0007807+0.0017485i,0.0014892+0.00097972i,0.0014915+0.00056729i,0.0013929+5.0686e-05i,0.00098372-0.00019448i,0.00064188-4.7563e-05i,0.00040063-0.00027633i,0.00032184-0.00046295i,0.00013713-0.00064119i,-0.00059248-0.00070061i,-0.00066713-0.00010946i,-0.00033545-0.00043981i,-0.00053856-0.00080588i,-0.00061397-0.0001358i,-0.00028833+0.0005613i,9.7968e-05+0.0011954i,0.0001756+0.0011649i,-0.00019992+0.00061734i,0.00015947+0.00017393i,0.00081755+0.00053242i,0.00026682+0.0011435i,-0.00050849+0.00026891i
0.00070368+0.00080298i,0.00035973+0.0012973i,0.00057709+0.0008204i,0.00051116+0.00025071i,-0.0011477+0.00038318i,-0.0015052-0.00029834i,-0.00023494-0.00084183i,0.00051475-0.00026181i,-0.00010347+0.00015176i,-0.00041662+0.00011597i,-0.00010859+0.00048162i,-0.00038118+0.0011804i,-0.00042091+0.0015409i,-0.00079868+0.00095189i,-0.0012956+0.00015713i,-0.0017619+0.00074652i,-0.0013742+0.0013834i,-0.00073889+0.0016639i,-0.0004561+0.0010275i,-0.00022055-5.4131e-05i,-0.00028049-0.00015596i,-0.0007082-4.5025e-05i,-0.0002953-0.00027943i
0.0020387-0.00031631i,0.0021563-0.00056054i,0.0020805-0.00073979i,0.0012352-0.0019623i,0.00061626-0.0028589i,0.00026342-0.0022672i,-8.871e-05-0.0013325i,6.5418e-05-0.0015621i,5.4712e-05-0.00146i,-0.00055208-0.00057731i,-0.0012145+1.6885e-05i,-0.0012152-0.00013086i,-0.00091159-0.00013395i,-0.0004429-0.00018321i,0.0005278-7.0963e-05i,0.00057744+0.00058322i,3.5624e-05+0.00050265i,5.128e-05-1.2146e-05i,0.00041764-0.00045329i,0.00045147-0.00023714i,-3.9678e-05+0.00012125i,0.0002245+0.00013085i,0.00038063-0.00015043i
4.2026e-05-0.0018516i,0.00015417-0.0016136i,0.00058492-0.0020877i,-0.00019766-0.0028343i,-0.00075918-0.001501i,-0.00045889+0.00036738i,0.00021516+0.00030233i,0.00027759-0.000274i,3.5836e-05-0.00054025i,-0.00023-0.00086441i,-0.00030069-0.00059137i,1.3399e-05-0.00014322i,0.00039183-7.7951e-05i,0.0002995-0.00021722i,0.00018038-0.00046911i,-0.00013029-0.0005752i,-0.00049901-0.00050425i,-0.00019665-0.00019323i,-0.00011458-0.0006028i,-0.00020444-0.00085206i,-0.00030159-0.00049261i,-0.00043603-0.00014305i,0.0004269-0.00025723i
-0.0018533-0.0013462i,-0.0010834+0.00024838i,-0.00070447+0.00097187i,-0.00089223+0.00073504i,-3.4246e-05+0.00032005i,0.0015108-0.00041747i,0.0015677-0.0001534i,0.0010341-0.00049976i,0.00058021-0.00046985i,-0.0003619-0.0001055i,-0.00021597+0.00031076i,0.00075289+0.00091211i,0.000689+5.0992e-05i,0.00026284+6.7679e-05i,-9.8033e-05-7.8338e-05i,5.4725e-05-0.00049874i,0.00029439-0.00035312i,-0.00010648-0.001012i,-0.00026394-0.0011478i,0.00010658+6.0459e-05i,-6.5665e-05+3.93e-05i,-0.00032044-0.0011757i,-0.00044636-0.0011051i
0.00062855-0.00043505i,0.00020879-0.00010739i,3.1944e-05-0.001025i,0.00025611-0.0013187i,0.00052536-0.0012917i,0.00085747-0.00033527i,0.00046788+0.00018833i,-5.6517e-06-0.00075156i,-0.00067809-0.0012842i,-0.0012455-0.0003773i,-0.00072867-5.7019e-05i,0.00018128-3.5395e-05i,0.00035608+0.00044671i,0.0005973-0.00031721i,0.00067389-0.0012244i,0.0011996-0.001255i,0.0010896-0.00023975i,-0.00014207+0.0011592i,8.9734e-05+0.00093556i,0.00036125+0.000226i,5.461e-05+8.7861e-05i,0.00013653+0.00030622i,0.00011922+0.00051387i
5.1067e-05+0.00084908i,0.0011408+0.00034547i,0.0010177+0.00047803i,0.00059778-0.00058612i,0.00050582-0.0018465i,0.00037444-0.0015226i,0.0005069-0.00011858i,0.0014415+7.0075e-06i,0.0011342-0.00044106i,0.00034927-0.00064835i,0.00012648-0.00083075i,-0.00045559-0.00080676i,-0.00059771-0.0010317i,0.00011512-0.00068788i,-0.00077428+0.00047601i,-0.0013569+0.00081197i,-0.00085423+0.0008096i,0.00042817+0.0010222i,0.00087144+0.00025571i,0.00043651-0.00064469i,0.00041391+0.000143i,-4.1962e-05+0.00069555i,0.00026191+3.629e-05i
-0.0015363-0.00021357i,-0.00099438-0.00067298i,-0.0004213-0.00074044i,6.3002e-05-0.0005034i,0.00037438-0.00052653i,3.6618e-05+0.00069734i,0.00011737+0.0014455i,0.00084504+0.0005055i,0.00042694+0.00013152i,-0.00048135-0.00033047i,-0.00056174-0.0007512i,-0.00032887-0.00046091i,0.00010868-0.000177i,0.00094461+0.00012353i,0.00062893+5.9335e-05i,-0.00036712-0.00028898i,-0.00023917+5.1546e-06i,-0.00015541+0.00069469i,-0.0010455+0.00047742i,-0.0008895-0.0003281i,-0.00044417-0.00026987i,-0.00013713-0.00032034i,0.00028249-0.00048844i
-0.0019421-0.0014206i,-0.00059391-0.0019433i,-0.0011814-0.0011624i,-0.0008629+0.00057694i,0.00041168+0.0013053i,0.00052352-5.5136e-06i,0.00017338-0.00064038i,0.00079284-0.00052453i,0.0011649-0.00098098i,0.00084819-0.0007326i,0.00057495-0.00012527i,6.6181e-05+0.00047004i,-0.00049144+0.00035029i,0.00012309-0.00050748i,0.00070463-0.00069284i,-0.00050224-0.00012252i,-0.001016+0.00035869i,-0.00053957+0.0001747i,-0.0010744-0.00011707i,-0.0010125-0.00033172i,-0.00095931-0.00020181i,-0.00071919-0.00021924i,0.00014408-0.00035266i
0.0021853+0.0018313i,0.001458+0.0017391i,0.0024648+0.0012847i,0.0025368-0.0005782i,0.0013944-0.0016035i,0.00036832-0.0009204i,0.00048458-3.512e-05i,0.0013197+0.0002825i,0.0019311+2.6707e-05i,0.00085963-0.000604i,-0.00051255-0.0010722i,-0.0010207-0.001113i,-0.0005521-0.0001995i,-0.00031283+0.00078338i,-0.0011324+9.0888e-05i,-0.00095276-0.00030228i,-0.00013025+0.00032765i,0.00032354+0.00019394i,0.00053193+0.00011778i,0.00040825-0.00037434i,0.00043804-0.00075744i,-0.00011637-0.00012047i,-0.0012679-0.00059127i
-0.00054906-0.00099398i,6.5239e-05+0.00024913i,0.00091107-0.00075276i,0.00032109-0.00091593i,-0.0010953-0.00051105i,-0.00025337-0.00052897i,0.00067616-0.00050262i,0.00047897-0.00036938i,0.00027178-0.00041848i,0.00040661-0.00064582i,0.00036525-0.00072397i,0.00016635-0.00071972i,0.00033086-0.0010766i,0.0001092-0.0010044i,-0.00069268-0.00086634i,-0.0009251-0.00096787i,-3.9288e-05-0.00053283i,-0.00016072-7.8306e-05i,-0.00070741-0.00017616i,-0.00044327-0.00057415i,7.6794e-05-0.00027004i,-0.0001573+0.00020447i,-0.00068934+0.00022469i
2.7396e-05+0.00035952i,0.00075177+0.00021828i,0.0016096-0.00025229i,0.0026796-0.0016361i,0.0025669-0.0015575i,0.0010722-0.0004625i,0.0010249+0.00035668i,0.0010272+6.3319e-05i,-0.00017781-0.00065264i,-0.00080183-0.00055079i,-0.00033445+0.00016418i,-0.00052078+6.8744e-05i,-0.0014969+0.00029985i,-0.001557+0.00075257i,-0.00088521+9.7984e-05i,-0.00020966-0.00052473i,4.8169e-05-0.00046534i,0.00014016-0.00045283i,-0.00011343-0.00051166i,-0.00012977-0.00040302i,-0.00026059-0.00050009i,-0.00079768-0.00031535i,-0.0014426+0.00027313i
0.0027377-0.0012402i,0.0027544-0.00072914i,0.002069-0.0019958i,0.0010314-0.002934i,-0.00027164-0.0024271i,-0.0012405-0.0011404i,4.8373e-05-0.00098196i,0.0009821-0.0013738i,0.00022293-0.00084023i,-0.00030863-0.00063589i,-5.0403e-05-0.00079307i,9.6642e-06-3.6378e-06i,-0.00021333+0.00049527i,-0.00042695-0.00027153i,7.6754e-05-0.0004581i,0.00071134+0.00017191i,0.00021574+0.00014235i,-5.4918e-05+0.00023425i,0.00060214+2.5024e-05i,0.00045647-0.00054255i,-0.00034078-0.00086956i,-0.00051087-0.00078033i,0.00015974-0.00045921i
0.000382-0.000207i,0.00077621+0.00013602i,-2.6028e-05+0.00047708i,-0.00037304+0.00063323i,0.0004226+0.00087405i,0.00065232+0.00057624i,0.00054079-2.0486e-05i,8.2279e-05-0.00070037i,-0.0003712-0.00096035i,-0.0010957-0.0002647i,-0.0013713-0.00015193i,-0.00027586+0.00017774i,-0.00045593+0.00016278i,-0.0013259-0.00069494i,-0.00074916-0.00072948i,-0.00021062+1.2205e-05i,-0.00026573+0.00052606i,-0.00021355+0.00028004i,-0.00012558+0.00026225i,6.2992e-05+0.00024405i,4.7045e-05+0.00014864i,3.7795e-05+0.00050962i,0.00022438+0.00024398i
-0.0022565+0.0009023i,-0.0015328+0.00098623i,-0.0011909+0.0020053i,0.00052278+0.0023875i,0.0017655+0.0019656i,0.0011119-1.0789e-05i,0.0010183-0.00082123i,0.00092181-0.00066072i,0.00044234-0.00046195i,0.00068825+0.00013737i,0.0009226-0.00014316i,0.0011178-0.000854i,0.0010125-0.0005918i,0.00052766-0.00012681i,8.8364e-05-0.00046808i,-0.00018536-0.0003167i,-0.00010392-2.5714e-05i,0.00018193+0.00045879i,8.2819e-06+5.5258e-05i,-0.00040505-0.00093595i,-0.00057716-0.00064017i,-0.00019758+0.00018425i,0.00030716+0.00039016i
-0.00088532+0.0012481i,-3.017e-05+0.00011796i,0.00080802+0.0003689i,0.00075989-0.00015994i,0.00013806-0.0012465i,-0.00080466-0.0012242i,-0.00055227-0.0011593i,0.00044754-0.0013626i,0.00036914-0.0017258i,0.00012194-0.0018893i,7.6678e-05-0.00095681i,-0.00050008-6.1071e-05i,-0.0012587+9.1214e-05i,-0.0011278-7.3243e-06i,-0.00049587-0.00011588i,-0.00073013-0.00031382i,-0.00060494-0.00038338i,-0.0006208+0.0002225i,-0.00047705+0.00046432i,-0.00032971-6.2971e-05i,-0.00050933-0.00047139i,0.00014079-0.0006705i,0.00035365-0.00081217i
2.1583e-06-0.00094138i,-0.00043396-0.0011992i,-0.00092594-0.0014405i,-0.0010194-0.00087169i,-0.00099429-0.00054434i,0.00012911+0.00019289i,0.00089315+0.00088858i,0.00074834-1.2638e-05i,0.00041036-0.00077904i,0.0003002-0.00071472i,3.8901e-05-0.00026232i,-5.0368e-05+0.00022588i,0.00067856+2.1678e-05i,0.00066713-0.00072241i,0.0001589-0.0011279i,-0.00050239-0.0011143i,-0.00084638-0.00049807i,-0.00065335+0.00046941i,9.511e-05+0.00061295i,0.00022949-0.00066582i,-0.00055974-0.00095117i,-0.00043559-0.00011666i,0.0003664-0.00016814i
0.0016874+0.0011812i,0.0020367-0.0004611i,0.0037752-0.002074i,0.0043207-0.0029796i,0.0023858-0.0035589i,0.00014033-0.0024251i,0.00022834-0.0011281i,0.00094203-0.001311i,0.00044907-0.0017791i,-0.00012328-0.0014811i,-0.00057853-0.00033071i,-0.00075069+0.00031745i,-0.00079144+5.4094e-05i,-0.00065716-0.00044732i,-0.00047187-0.00028589i,-0.0011804+0.00035841i,-0.0010171+0.00063402i,6.6374e-05+0.0005222i,0.0002268+0.00064901i,0.00023801+0.0004782i,0.00079382-0.00043356i,0.00022745-0.00043309i,-0.00048695-1.8102e-05i
0.0018344+0.00060239i,0.00092431-7.7494e-05i,-0.00035018-0.00067878i,-9.3574e-05-0.0012522i,0.00056558-0.0011299i,0.00021121-0.00054799i,0.00058663-0.00049464i,0.00045667-0.00024557i,0.00017149-0.000287i,0.00024632-0.00057474i,-0.00051665-0.00070835i,-0.00073607-0.00044999i,-3.916e-05+8.9772e-06i,0.00022718+0.00052539i,-0.00010988+0.00036018i,-0.00074368-0.00033192i,-0.0010918+3.7845e-05i,-2.4021e-05+0.00056231i,0.00053213+0.00045402i,0.00051287-0.00017134i,2.2824e-05-0.00072092i,-0.00016046-0.00057992i,0.00060257+2.3807e-05i
6.5587e-05-7.8845e-05i,0.00021119-8.5668e-05i,-0.00099667+0.00049238i,-0.0014856+0.00067448i,-0.00079574+0.00025722i,-0.00015509+0.00035335i,0.00036363+0.00040824i,0.00097727+0.00024461i,0.0003453-0.00034105i,-0.00063252-0.0010432i,-0.00066319-0.00069595i,-6.9796e-05-0.00010943i,8.2472e-05-4.1491e-05i,-0.00016791-0.00026869i,-0.00067534-0.001079i,-0.00054043-0.00098746i,-0.00016933+0.00027403i,-0.00049845+0.00038555i,-5.7697e-05-0.00025597i,0.00044549-0.00011713i,-0.00012249-8.7004e-05i,-2.3938e-05-0.00056712i,8.196e-05-0.00074073i
-6.3797e-05+0.00027963i,-0.00031619+0.0014961i,0.00090011+0.00016137i,0.0011839-0.001402i,3.6121e-05-0.001193i,7.4923e-05-0.0010313i,0.00062254-0.0012817i,0.00052741-0.0018368i,0.00054865-0.001569i,0.00014219-0.001112i,-0.00038784-0.00099559i,-0.00036621-0.00068904i,-0.00056836-0.00048027i,-0.0004384-0.00083289i,-0.00012116-0.0010528i,0.00012988-0.0001974i,0.00029912+0.00041939i,0.00045287+8.673e-05i,0.00017029-0.00030962i,-0.00013543-0.00046962i,-0.00010728-0.00017193i,-0.00057467+0.00051523i,-0.00074783-0.00022922i
0.00020334-0.0013545i,-0.00014809-0.0019209i,-0.00022458-0.0020076i,0.0002976-0.0018044i,0.00019591-0.0007043i,-0.00034802+0.0003144i,0.00047126+0.00049344i,0.00075818+0.00033395i,0.00081973-6.4281e-06i,0.0014387-0.00064406i,0.00099351-0.00064233i,0.0005632-0.00029975i,0.00045158-0.00054607i,0.00013506-0.0011217i,-0.00069485-0.00094532i,-0.0019795-0.0001631i,-0.0016956+0.00046472i,-0.00045216+0.00023131i,-5.0573e-05-0.00035265i,-0.00080938-0.00026188i,-0.0015946-7.1768e-05i,-0.00089932+0.0001314i,-0.00017418-0.00018035i
0.00034243+0.0010832i,-0.00013987+0.0013003i,-0.0002945+0.00078784i,-0.00070571-0.00083897i,-0.0017979-0.001361i,-0.0022438-0.0012205i,-0.00060931-0.001093i,0.00057999-0.00072604i,0.00063238-0.00031811i,0.0002072-0.00069295i,-0.00099086-0.00093654i,-0.00069256-0.00076889i,0.00012572-0.00027356i,-0.00027702+0.00054116i,-0.00076368+0.00050446i,-0.00021534-0.00015752i,0.00035714+0.00030208i,0.00022892+0.00062225i,9.0532e-06-0.00050919i,-0.00020271-0.0012392i,-0.00053277-0.000322i,-0.00062127+0.00016456i,6.0488e-05-0.00041621i
-0.0013919-0.0014059i,-0.0018547-0.00077973i,-0.0018347-0.00065812i,-0.0013557-0.000742i,-0.0007579+1.2432e-05i,-0.00051139+0.00075448i,0.00016323+0.00042624i,0.00071071-0.00022838i,0.00092465-0.0006135i,0.00070971-0.00088077i,0.00098027-0.00082825i,0.0006462-0.00050644i,0.00041352-0.00049155i,0.00067046-0.0011469i,0.00047357-0.00099871i,0.00048733-0.00046107i,-0.000162-5.3443e-05i,-0.00014814+0.00029659i,0.00097817+0.00060029i,0.0012111+0.0003841i,0.00053168-0.00036573i,-0.00060838-0.00060072i,-0.00014926-0.00025175i
0.0015816+0.00058688i,0.0014876+0.0001527i,0.0017468-0.0019009i,0.0021507-0.0022945i,0.0026677-0.0011613i,0.0025263-0.00054661i,0.00204-0.00019332i,0.0015356+0.00047876i,0.00026402+0.00065008i,-0.00075254+0.00026877i,-0.00061992+0.00025874i,0.0002301+0.00069803i,0.00049563+0.00013961i,0.00011101-0.00019861i,-0.00044887+8.6984e-05i,-0.00060428-5.1355e-05i,-0.00054666-4.8682e-06i,-0.00053794+0.00047698i,0.00054195+0.00063747i,0.00075052+0.00075468i,-0.00033341+0.0011784i,-0.0011659+0.00098042i,-0.00098363+0.00048058i
0.0013538+0.0013571i,0.0010273+0.0011722i,0.00125+0.00048524i,0.001127+0.00052765i,0.00013657+0.00034916i,-0.00024005-6.8518e-05i,-0.00033444-0.00076952i,0.00057417-0.0012462i,0.0011834-0.00091717i,0.00022919-0.00085893i,-0.00070897-0.00033464i,-0.00055229+0.00023833i,-0.0003835+0.00033304i,-0.00037387-0.00012551i,2.6465e-06-0.00020078i,-0.00021595+0.00025851i,-0.00091351+0.00031747i,-0.0010476+0.00054083i,-0.00054027+0.0011847i,-0.00039551+0.0010113i,-0.00057141-0.00022414i,-0.00025507-0.00067132i,-0.00026528+4.1193e-05i
0.00049155+0.00012658i,0.00028949+0.00028483i,0.00042726+0.00058284i,0.00064079+0.00039975i,0.00074963-6.3882e-06i,0.0002768-0.00055651i,-2.3135e-05-0.00022006i,0.00075009+0.00017626i,0.0013185-0.00022588i,0.00027323-0.00058827i,-0.00061276-0.00031641i,-0.0011896-0.00017022i,-0.00077528-0.00080285i,-0.00035445-0.00039045i,-0.00088123-0.00012384i,-3.2692e-05-0.00016614i,3.8571e-05+0.00047896i,-0.00015188-0.00010735i,0.00042009-0.0011443i,0.00057484-0.00022578i,-0.00021117+0.00037868i,4.3369e-05-0.00024499i,0.00045289-0.00014524i
0.00018395+0.00092282i,0.0011562+0.00072829i,0.0017071+0.00054428i,0.0013525+0.001045i,0.00086318+0.00070013i,0.00039261+0.00030271i,0.0003339-0.00018382i,0.00092676-0.00039449i,0.0013096-0.00076427i,0.00095796-0.00075854i,0.00051606+0.00018938i,0.00046237+0.00016796i,-0.00022373-0.00048839i,-0.001045+9.1735e-05i,-0.00073656+0.00034102i,-0.00057182+1.2218e-05i,-0.00079496+5.315e-05i,-0.00044121+0.0005922i,0.00013268+0.00050794i,-1.3685e-05-0.00025689i,5.6322e-05-0.00032919i,-0.00024803+0.00041051i,-0.00067173+0.00034745i
0.00087616-0.0011841i,0.00046208-8.5423e-05i,0.00077167-0.00021974i,0.00033439-0.0013579i,-0.00053068-0.0019437i,-0.00031045-0.0011068i,0.00020631-0.00086366i,0.0008585-0.00094229i,0.0011845-0.0015096i,0.00017202-0.0012745i,-0.00076369-0.000319i,-0.00053239-0.0001095i,0.00021502+0.00033918i,0.0010292+0.00022828i,0.0011315-0.00028856i,0.00025401-0.00027489i,-0.00042428+0.00034318i,-0.0005792+0.00056197i,0.0001888+0.00036376i,3.6236e-05-0.00013466i,-0.0011521-0.00099686i,-0.0011617-0.00068877i,-6.5513e-05+0.00033194i
0.0014167-0.00016028i,-0.00045074-0.00086766i,-0.00020621-0.0018931i,0.00077646-0.0011448i,0.00040435-0.00055484i,0.0001339-0.00016644i,0.00074883+0.0009873i,0.00059392+0.0013866i,-0.00018684-4.2786e-05i,0.00011615-0.00085168i,0.000407-0.00045251i,0.00016353-6.342e-05i,1.563e-05-0.00025448i,-0.00013597-0.00032452i,2.2808e-05-0.0005544i,0.00061688-0.00089324i,0.00013989-0.00024667i,-0.0011082-0.00033096i,-0.0010307-0.00032994i,-0.00062905-0.00010876i,7.581e-05-0.00048548i,0.00073295-0.00055208i,0.0010934-0.00049615i
0.00032216+0.0019072i,0.0010137+0.0014276i,0.0023922+0.00091567i,0.0022515+0.00060433i,0.0017169-2.7114e-05i,0.00081948-0.00077799i,0.00057585-0.00069931i,0.00075231-0.00066107i,0.00061897-0.00072677i,0.00039386-0.00065327i,0.00026257-0.00049538i,2.8651e-05-0.00021337i,-0.00054807-7.4767e-05i,-0.00071852-0.00058211i,-0.00016798-0.00031713i,-0.00012369+0.00022366i,-0.00042959-0.00010177i,9.3826e-05+0.0001452i,0.00051557+0.00031084i,0.00012738+9.1891e-05i,-0.00026055-0.00019325i,-0.00027435-1.7962e-05i,0.00043244+0.0001461i
