-0.0024754+0.0012173i,0.00010665+0.0013173i,0.00016769+0.0012527i,0.00082814+0.0010153i,0.00087988+0.0024681i,0.0007319+0.002401i,0.00088805+0.0013343i,0.0010249+0.00063745i,0.00082254+0.00021462i,0.00078755+0.00018884i,0.00042964-0.00019707i,-3.6461e-05-0.00038561i,0.00028189-3.5798e-05i,-0.00040302-0.00018148i,-0.001086-0.00033287i,-0.00081088+5.4519e-05i,-0.00043432+0.00061809i,-0.00023068+0.0010695i,-0.00060414+0.00091992i,-0.0012834-0.00065543i,-0.00077688-0.00098535i,-0.00044241-0.00012617i,-0.0011871-9.7842e-05i
0.0013041-0.00064678i,0.0021134-0.0011331i,0.0018748-0.00049959i,0.00070419+0.00094839i,0.00022051+0.0014829i,-5.703e-05+0.00084276i,-0.00049677-4.4504e-05i,-0.00031499+8.5041e-05i,0.00075261+0.00052195i,0.0011808+0.00095548i,0.00021054+0.00063634i,-0.000297+0.00026356i,4.1625e-05+0.00010715i,6.8338e-05-0.00027466i,0.00087126+0.00014155i,0.001201+0.00057227i,0.00068833+5.7561e-07i,0.00037121-0.00034209i,0.00016966-0.00038682i,0.00063588-0.00056272i,0.00071559-0.0001663i,0.00048584-9.7286e-05i,-8.2606e-05-0.00029609i
-0.0018064-0.001487i,-0.00078269-0.00025802i,0.00026634+6.5048e-06i,-0.00019188-0.00026678i,-6.263e-05+0.00059861i,0.00081269+0.0011028i,0.0011257+0.00040857i,0.00077695-2.6375e-05i,0.00069521+0.00022968i,0.00059533-3.0112e-05i,0.00019464-0.00045033i,-0.00055675-0.00039775i,-0.00023478-0.0004685i,0.00034368+0.00018181i,0.0009349+0.00027549i,0.00085608+1.0193e-05i,0.00025403+0.00011108i,0.00052514+0.00030538i,4.1588e-05+0.00048941i,-0.00038383+0.00061378i,0.00012698+0.00010589i,0.00044279-0.00034409i,-9.6439e-05-0.00014059i
-0.0032825-0.0010148i,-0.0026184-4.7959e-05i,-0.0010257+0.0017187i,-0.00040232+0.0026474i,-0.00070307+0.0026569i,-0.0004932+0.0029593i,-1.6224e-05+0.0013903i,0.00023258+3.5761e-05i,0.00056144+0.00051265i,0.00053619+0.00078476i,0.00072079+0.0010507i,0.00059029+0.00069377i,-5.873e-05+3.9489e-05i,-0.00039112-2.5874e-05i,-0.0012481+8.6598e-05i,-0.0010298+0.00035769i,-8.7946e-05+8.3772e-05i,-0.00032083-8.4756e-05i,-0.00055469+0.00014966i,-0.00011051-7.2017e-05i,-0.00040577+6.401e-06i,-0.00081649+0.00013305i,-0.0003724-0.00043164i
-0.0020957-0.001524i,-0.0021538-0.00091146i,-0.0016875+0.00163i,-0.00027672+0.0030545i,0.00094703+0.0023037i,0.0014849+0.0013021i,0.0011463+0.00034981i,-0.00017502-0.00050966i,-0.00096532+0.00010908i,-2.932e-05+0.0010723i,0.00087717+0.0012331i,0.00092842+0.00061121i,0.00070327+0.0003406i,0.00032412-0.0001686i,0.0005198-0.00037226i,-4.4035e-05-3.1331e-05i,-0.0009399-0.00079228i,-0.00074944-0.00094541i,0.00013216-0.00048663i,0.0003839-0.00017297i,3.4866e-05+0.00022267i,0.00029739+0.00020381i,0.00030797+0.00058164i
0.0016072-0.00018585i,0.0015338-0.00011463i,0.0012944-0.0010526i,-0.00034825-0.0015926i,-0.0011404-0.0013579i,-0.00010155+0.0002394i,0.00099514+0.00027115i,0.00061308-0.00053621i,0.00022342-0.0001888i,0.00012921+0.00088298i,3.3429e-05+0.0011955i,0.0002894+0.00088994i,0.00018646+0.00083929i,0.00043423+0.00064591i,0.00073229+0.00036241i,0.0010714+0.00025933i,0.0011027-4.3554e-05i,0.00047031-3.4912e-05i,0.00035713+0.00016342i,6.1881e-05-0.0003186i,7.3678e-05-0.00015459i,4.3613e-05+0.00062413i,-0.00035718+0.00044344i
-0.0016777-0.001287i,-0.00207-3.4773e-05i,-0.0025095+0.0003513i,-0.0022842+0.00082489i,-0.0011189+0.0024795i,-0.00012839+0.0026895i,0.00030244+0.00087638i,0.00035144-0.00028512i,0.0005169+4.6983e-05i,0.00059671+0.00060814i,0.00056418+0.00040226i,0.00049802+0.00010039i,-0.00029087+0.0002627i,-0.0010015+1.3437e-05i,-0.00066188-0.00021539i,-0.00014205-4.8039e-05i,-0.00020764-6.3034e-05i,-0.00022465-0.00018954i,6.729e-05+0.00016032i,-0.00014358-0.00014987i,-4.4269e-05-0.0006736i,-3.3729e-06-0.00090504i,0.00033795-0.0013733i
-0.0013959-0.00076849i,-0.0018358-0.0012188i,-0.0018854-0.00013071i,-0.00053365+0.0012597i,0.00029651+0.0012356i,0.00035655+0.00061959i,0.00054176+9.4781e-05i,0.00066769-0.0003601i,0.0010163+8.672e-05i,0.00092937+0.00060386i,0.0004752+0.00069726i,0.00041544+0.0011725i,0.00012752+0.00057788i,-0.00064238-0.00087162i,-0.00017152-0.0011681i,0.00059565-0.00023946i,0.00042925-2.691e-05i,0.00056747+9.3788e-05i,0.00034977+0.0005233i,-0.00039929+0.00018142i,-0.00054249-2.836e-05i,-0.00077434+0.0004015i,-0.00095432+0.0002176i
0.0012017-0.0029397i,-2.718e-06-0.0029402i,-0.0010714-0.0026779i,-0.0017185-0.0015116i,-0.00153-0.00019151i,-0.00021513+1.9655e-05i,0.0011106-0.00011635i,0.00072637-0.00011427i,-0.00030743-0.00032444i,-0.00035257-0.00040801i,-0.00080229-1.409e-05i,-0.00121+0.00066906i,4.9158e-05+0.00093022i,0.00046675+0.0004117i,-0.00015142-1.1466e-05i,0.00022856+0.00049042i,-1.5397e-05+0.00075569i,-0.00050606+0.00012481i,-0.00038784-0.0004785i,-0.00038545-0.00063566i,-0.00050379+0.00019441i,-0.00079099+0.00043927i,-0.00043491-0.00019118i
0.001825+0.00055865i,0.0015276+0.00032239i,0.0016678-0.001091i,0.00095634-0.0011973i,-0.00045069-0.0005303i,-0.00082831+0.00054489i,4.1579e-05+0.0013667i,0.00035994+0.00098534i,0.0003619+0.00024402i,-0.00023635-0.0003723i,-0.00089344-0.00047931i,-0.00031674+0.00020843i,-1.6231e-05+0.00056638i,-0.00070972+0.00058466i,-0.00056922+8.0683e-05i,-5.2212e-05-6.3354e-05i,-0.00011204+7.1309e-05i,-0.00036919-0.00085538i,-0.00018103-0.00056896i,0.00010689+0.00012929i,0.0005946-0.00045949i,0.0006262-0.0011244i,0.00041245-0.00059278i
-0.00090528-0.0004426i,-0.00053172+0.0010898i,-0.0010982+0.001507i,-0.00074243+0.0017997i,0.00031721+0.0022568i,0.0010199+0.0019567i,0.0015299+0.0015351i,0.00063496+0.0012134i,-0.00016863+0.00089337i,6.9359e-05+0.0015824i,0.0006708+0.0014835i,0.0008932+0.00016262i,0.000839-0.00036213i,0.00062728-0.00082525i,0.00047212-0.00091367i,0.00014421-0.00012268i,-2.19e-05+0.00023131i,-0.00019009-0.00034539i,-0.00049448-0.00025034i,-5.3862e-05+0.00027215i,-0.00023884+0.00016481i,-0.00070502+0.00019904i,-0.00042305+0.00017651i
-0.00034967+0.00060535i,-0.00054132+0.00061939i,8.7897e-05-0.0003605i,-4.3057e-06-0.00087203i,0.00028053-0.00048163i,0.00080622+0.00039471i,0.0006866+0.00096583i,0.00016794+0.00099094i,-0.00025924+0.00053602i,1.3576e-05+0.00050965i,0.00095565+0.00080846i,0.001326+0.00077033i,0.00050433+0.00089806i,-0.0002858+0.00062778i,-6.7892e-05-0.00020195i,0.00035635-0.00064997i,0.00034194-0.00051507i,-0.00011407-0.00027249i,-0.00057761-0.0008345i,-0.00046047-0.0013904i,9.9452e-05-0.0011068i,0.0003132-0.00028423i,0.00049206-0.00038499i
0.00064274-0.00043248i,0.0017279-0.00087036i,0.0018372-0.00052392i,0.0015506+0.00035518i,0.0011331+0.00091556i,0.0016545+0.00093459i,0.0013291+0.00015431i,0.0010507-0.00017847i,0.0013728+0.00037741i,0.00080411+0.00082948i,0.00035093+0.0010089i,0.00035534+0.0008301i,0.00070932+0.00038029i,0.0011224-4.0616e-06i,0.00057505+0.00012544i,0.00057252+0.00042133i,0.0010835+0.00032019i,0.0001082+0.0005922i,-0.00077147+0.0010337i,-0.00017185+0.0012987i,0.00027137+0.0011668i,-0.00032277+0.00071727i,-0.00064999+0.00043707i
0.00017683-0.00037211i,-0.00031834+0.00077699i,-9.7225e-05+0.0010627i,0.00079989+0.00014497i,4.4834e-05+0.00055197i,0.00021747+0.0012956i,0.001335+0.0010168i,0.00098977+0.0005314i,-4.9795e-05+0.00020679i,0.00025292+0.00029844i,0.00086402+0.00032865i,0.00069683+0.00039328i,0.0010574+0.00044065i,0.0015603+0.000291i,0.00072824+0.00019965i,9.9452e-05-0.00040495i,0.00010167-0.00085343i,-0.00054794-0.00078909i,-0.00099339-0.00077041i,-0.0001952-0.00052674i,7.7334e-05+6.8234e-05i,-0.0004844+0.00013208i,-0.00025156+0.00034327i
0.000286+0.00070391i,0.00065526-0.00031046i,0.0023429-0.00047444i,0.0024976-0.00017851i,0.0011856+0.00076557i,0.00030919+0.0013634i,0.00065581+0.00075724i,0.0011652-0.00026646i,0.0018314-8.8071e-05i,0.0014732+0.0004723i,0.00057578+4.0429e-06i,0.00054946+0.00012866i,0.00019898+0.00022982i,0.00032285-0.00036181i,0.00099788-0.00029588i,0.00014537-0.00029661i,-0.0008529+0.00011197i,-0.00045553+0.00078613i,0.00031007+0.00022665i,0.00015855-0.0002707i,-0.00018916-0.00014696i,-0.00023468+2.5848e-05i,-0.00013364-3.8517e-06i
0.0017934+0.0015923i,0.0018391+0.00038677i,0.0020545-0.00012971i,0.0012364-0.00010646i,0.00064059-0.00074855i,-0.00067793-0.00040766i,-0.0016295+0.00020795i,-0.00085524-0.00010118i,0.0003337+0.00031538i,0.00054763+0.00083654i,0.00032247+0.000776i,-0.00047564+0.0010922i,-0.00066074+0.0011157i,-0.00058593+0.00048837i,-0.0003682-3.3092e-05i,0.00012603+4.574e-05i,-0.00038181-9.891e-05i,-0.00056867-0.00044129i,0.00016757-0.00017988i,0.00035556-3.2482e-06i,-0.00027523-0.00017846i,-0.00070346-0.00056149i,-0.00022166-0.00081894i
0.0015879-0.0004812i,0.0015038-0.0016332i,0.0021937-0.0015826i,0.003013-0.0015039i,0.0026594-0.0012752i,0.0016917-0.00032282i,0.00051565+0.00072127i,0.00023172+0.00062069i,0.00083617+0.00080382i,0.0012215+0.0001376i,0.00064885-0.0014468i,0.00026334-0.0011846i,0.00016784-8.5274e-05i,0.00047125+0.00033149i,0.0010324+0.00025341i,0.00066472+0.0001183i,3.4836e-05+0.0001261i,-4.8558e-05-0.00021587i,0.00046272-0.00030727i,0.00058646-0.00042658i,0.00044605-0.00099736i,0.00085625-0.001072i,0.00065482-0.00055179i
0.0017306+0.0012293i,0.001955+0.00072652i,0.0025652+0.00055316i,0.0020059+0.00032663i,0.0015501-0.00086839i,0.0007674-0.00080872i,-0.00025997+0.00046532i,0.00075784+0.0012785i,0.0017239+0.0017217i,0.0011279+0.00074318i,0.00028264-0.00020907i,-0.00027541+0.0001713i,-0.00061897+0.00072824i,-0.00064846+0.001209i,6.304e-05+0.0013035i,0.0010435+0.00027869i,0.0012121-0.00033975i,0.00029726-0.00013188i,-5.725e-05+0.00013689i,0.000383+0.0003024i,-5.338e-05-0.0004997i,-0.00072783-0.00096921i,-0.00044011-0.00067153i
0.00026857-0.00056433i,0.00027029-0.00016667i,0.00069345-0.00043815i,0.00027908-0.00067999i,0.00062313+0.00019953i,0.0015985+0.00075211i,0.0014421+0.00093816i,0.00095434+0.00064895i,0.0014686+5.0872e-05i,0.0010856-9.0933e-05i,0.00034783-0.00034422i,8.103e-05+0.00024087i,0.00036336+0.00047061i,0.00065452-0.00026288i,0.00067525-0.00052343i,0.00021435-0.00026449i,-0.00047831+0.0004363i,-0.00062183+0.0012548i,0.00024416+0.00079512i,0.00066459-4.1255e-05i,0.00027091-0.00018789i,0.00021093-0.00028297i,0.00030023-0.00011322i
1.9111e-05+0.00023512i,0.0012167+0.0018183i,0.0019479+0.0024701i,0.0014369+0.0012705i,0.00059007+3.117e-05i,0.00030935-0.00022916i,0.00099634-0.00026237i,0.0010713+6.3484e-05i,0.001067+0.00039074i,0.001483-0.00032934i,0.00068809-0.00060217i,-0.00012628-0.00052162i,-0.00023874-0.0009069i,8.0451e-05-0.00066795i,0.00013356-0.00019482i,8.8681e-05-0.00026427i,-0.00026726-0.00086652i,-0.00041429-0.00058253i,-7.5562e-05+0.00035595i,-0.00018067+0.0004931i,0.00037728-0.00031921i,0.0014619-0.00048014i,0.0011559-9.067e-05i
0.0027227-0.0024542i,0.0011036-0.0021611i,0.00048331-0.0026911i,4.6658e-05-0.0019528i,-0.00056463-0.00044883i,-0.00053192+0.0011789i,0.0001333+0.00078053i,0.00064161-0.00028955i,0.00025578-0.00033576i,-0.00030158-8.1726e-05i,0.00034738-0.00016732i,0.00059734-0.0002015i,0.00021307+0.00022611i,0.00043252+0.00026301i,0.00011281+0.00066711i,3.2768e-05+0.0010859i,0.0010404+0.00097925i,0.00068633+0.0014145i,-7.713e-05+0.0010756i,-0.00013045+0.00033356i,-1.6095e-05-3.0633e-05i,2.2305e-05-0.00027617i,0.00028228-0.00030061i
0.00064552+0.0010204i,0.00068989-8.195e-07i,0.0015621+5.1715e-05i,0.001707+0.00054607i,0.0010939+0.00031697i,0.00081138-0.00020885i,0.00037388-0.00035304i,0.00010617+3.3753e-05i,0.00046354+0.00040857i,0.00029934+0.00064467i,0.00026751+0.00027358i,0.00017815-0.00050236i,-0.00010959-0.00033734i,-0.00044685-0.00013689i,-0.00069088-0.00061024i,-0.00025023-0.00043397i,0.00011331-0.00045309i,0.00026947-0.00070461i,-0.00017761-0.00063274i,-0.00025429-0.00050167i,0.00028149-5.1882e-05i,0.0009142-7.1491e-05i,0.00076555-9.4977e-05i
-0.00078797+0.00084726i,4.0907e-05+0.00022128i,0.0005399-0.00047503i,0.00057408-0.00010036i,0.00077817+0.00060375i,0.0009875+0.00048161i,0.00070572+3.7893e-05i,0.00035526+0.00022849i,-2.9676e-05+0.00056687i,0.00035538-1.7867e-05i,0.00083849-0.00031655i,0.00092807-0.00021713i,0.00026453-0.000273i,-0.00031774-0.0003595i,-0.00017422-0.00085321i,-0.00029575-0.00039757i,-0.00078832+9.5276e-05i,0.00030364-0.00035424i,0.0010021-0.00014722i,7.3162e-05+0.00041218i,-0.00055635+0.0003138i,-0.00068137-0.00026442i,-0.00026729-0.0010515i
0.0011515+0.0007345i,0.0012502-0.00039918i,0.00091809-0.00074129i,0.00013341-0.00068693i,-0.00023961-0.00029547i,-0.00032597+0.00048216i,-0.00012545+0.00071741i,0.00018256+0.00019304i,-0.00019459+0.0001328i,-0.00020125+0.00012044i,0.00039345-0.0002994i,9.2522e-05-0.00021345i,-0.00035832-7.0284e-05i,-0.00041595+0.00030512i,7.7503e-05+0.00079132i,7.6172e-05+0.00076906i,-5.179e-05+0.00023796i,-1.5364e-05+0.00016203i,-0.00014649+9.1213e-06i,-0.00062936-0.00012804i,-0.00054678-0.00023897i,-0.00044511-0.00081161i,0.00028918-0.0008444i
0.0013938-0.0011126i,0.00060013-0.002073i,-0.00040812-0.0019524i,-0.00050501-0.0011121i,-0.00051084-0.00075283i,-0.00099808-0.00053348i,-0.00096904-0.00096896i,-1.9999e-05-0.0011674i,0.00092259-0.00059004i,0.00079613-0.00023954i,0.00054844-0.00051953i,0.00074408-0.00036884i,0.00075793+0.00036287i,0.00038809+0.00084538i,-2.5298e-05+0.0004737i,0.00049242+0.0004374i,0.00030988+0.00063426i,-0.00052505+0.00045878i,-0.0003277+0.00067631i,-4.8039e-05+0.00033885i,0.00052399+0.00016645i,0.00041361-3.6117e-05i,-0.0002397-0.00017757i
0.0014355+0.0022687i,0.0030276+0.0012552i,0.0042254+0.00099801i,0.0041562+0.0011221i,0.0030551+0.00055237i,0.0015442-0.00087049i,0.00026434-0.0010297i,-0.00038535+0.00013788i,0.0001455+0.0009143i,0.00078445+0.00057735i,0.00034828+0.00020731i,-0.0002454-8.1511e-05i,-0.00017698-0.00021792i,-0.00042136+0.00019739i,-0.00052503+0.00012535i,-0.00027564-0.00023278i,-0.00021301-0.00074636i,-0.00012793-0.0013378i,-0.0001927-0.0012781i,-0.00037808-0.00089595i,-1.7289e-05-0.00065684i,0.00018061-0.00019327i,-2.5257e-05+0.00034109i
0.00093453+0.00045814i,0.00045248+0.00096826i,0.00013382-0.00051802i,0.00041099-0.0017058i,0.00027468-0.00065241i,-0.0010628-0.0002694i,-0.0010917-0.00052673i,0.00010854-0.0010174i,0.0010841-0.00070993i,0.0015843-7.2608e-05i,0.0011747-0.00019758i,0.00055059+0.000133i,-0.00011512+0.00059267i,-0.00028144+0.00058263i,0.00039308+0.00071716i,0.0011003-5.096e-05i,0.00083456-0.0010001i,0.00041437-0.00041576i,0.00036522+0.00029444i,-0.00055095-0.00012738i,-0.0011345-0.00013427i,8.6487e-06+0.00046491i,0.00068311+0.00041844i
-0.0021919+0.00117i,-0.00061424+0.0015541i,0.0018823+0.0016816i,0.0022018+0.0023602i,0.0016112+0.0016189i,0.0016576+8.5812e-05i,0.0013881-0.00042167i,-6.0231e-05-0.00013627i,-0.00019046+0.00040348i,0.00075398-5.8871e-05i,0.00029295-0.00024908i,-0.00019795-0.00036928i,3.4995e-05-0.0010343i,-0.00066706-0.00088691i,-0.0008526-0.00043845i,-0.00042519-0.00024629i,-0.00030861-0.000307i,0.0001887-0.00073063i,0.0013106-0.00062014i,0.0019342-0.00015807i,0.0015624+0.00021209i,0.0011958+1.8398e-05i,0.00010409+0.00061293i
0.00079709-0.002128i,0.0013138-0.0018277i,0.0013977-0.0015605i,0.00068541-0.0010304i,4.1855e-05-0.00017785i,0.00025993+0.0008057i,0.00086301+0.0009432i,0.00082419+0.00080407i,0.0010683+0.00092814i,0.0013922+0.00063397i,0.00088792+0.0001768i,0.00025251-0.00012541i,0.00033279-0.00058354i,1.3668e-05-0.0006634i,-0.00045822+0.00015462i,-2.7101e-05-3.5836e-05i,0.00058043-0.00098789i,0.00062133-0.0014435i,0.00033099-0.0011307i,0.00042628-0.00057342i,0.00034908-0.00022367i,0.00046681-0.00013734i,0.0001758-2.5547e-06i
0.0016915+0.0019814i,0.0024929+0.0013448i,0.0018625-5.064e-05i,0.00020065-0.00054942i,-0.00038641-0.00060802i,-0.00017208-0.00017457i,0.00084063+0.00054767i,0.001402+0.00073444i,0.0013947+0.00020704i,0.001793-7.3983e-05i,0.00079324-0.00069289i,-0.00037933-0.0010473i,-0.00050596-0.00022371i,-0.00050986+0.0004863i,-0.00025144+0.0001698i,0.0002582+0.00023264i,0.0008626+0.00047294i,0.00024226+0.0004926i,-0.00014746+0.00017438i,-0.00035472+0.00060344i,-0.00013007+0.001001i,0.00073236+0.00033007i,0.00046643-0.00048627i
-5.9558e-06-0.0015568i,-0.00059705-0.00097351i,-0.00061727-0.0002042i,7.6479e-05+0.00048598i,0.00088078+0.0012208i,0.00078511+0.0019591i,0.00027476+0.0020457i,0.00024937+0.0012718i,0.00047963-0.00018897i,0.00086418-0.00080452i,0.00078919-0.00026362i,0.00077902+0.00032239i,0.00052625+0.0009058i,0.00029344+0.00045578i,0.00080837-0.00037993i,0.00073548-0.00074407i,0.00025553-0.00072i,-0.00024432+1.9951e-05i,-0.0004689+0.00031192i,-0.00081919-6.2791e-05i,-0.00069636+0.00038967i,0.00056038+0.0006883i,0.0015636+0.00025623i
0.00051344+0.0017925i,0.00095498+0.0015535i,0.0018955+0.0011375i,0.002268+0.0011799i,0.0015942+0.0014555i,0.00090746+0.00080734i,0.0014224-8.1583e-05i,0.0017708+0.00017051i,0.0010068+0.001309i,0.00068251+0.0016522i,0.00086845+0.00083001i,0.00032411+0.00063574i,-0.00076679-2.9259e-05i,-0.0011246-0.00085905i,-0.0010447-0.00066951i,-0.00099611-3.8821e-06i,-0.00073143-0.00042029i,-0.00063571+0.00021311i,-0.00035519+0.0010025i,0.00025153+0.00040219i,0.00033823-4.8934e-05i,0.00044376-0.00054343i,3.4428e-05-9.0571e-05i
0.00085117-0.00010345i,0.00075-8.9138e-05i,0.00058123-8.2875e-05i,0.00011948-0.00083041i,-0.00047163-0.00034788i,-0.00028029+0.00093349i,0.00012608+0.00070933i,0.00044049-4.6731e-05i,0.00068035-4.0447e-05i,0.00060341+0.00044901i,0.00048869+0.00065687i,0.00084669+0.00048724i,0.0013112+0.00046237i,0.00021135+0.00071529i,-0.00015187+0.00023102i,7.6156e-05-0.00024025i,-9.6597e-05-0.00022868i,0.0009978-0.00074265i,0.0010608-0.0008664i,0.00024256+0.00010415i,-8.8924e-05+0.0011759i,-0.00023949+0.0011288i,-0.00034614+0.00077938i
