-0.0048428+0.00067165i,-0.0053332+0.0010465i,-0.0065103+0.0026415i,-0.0052909+0.0033206i,-0.0030834+0.0030141i,-0.0016844+0.0027009i,-0.0010493+0.0024896i,-0.0007317+0.002511i,-0.00080794+0.0017973i,-0.00032834+0.0013837i,0.00049118+0.00064793i,0.00064149-0.00032247i,0.0005541+0.00020333i,0.00030163+0.0013399i,-0.00044464+0.0016879i,-0.00039288+0.0010243i,0.00016852+0.0010266i,0.0004705+0.00083976i,0.00035789+0.0007437i,-0.00022048+0.00076249i,3.3429e-05+0.00036505i,0.00066091+0.00024086i,0.00031991+0.00034309i
-0.0002466-0.0007514i,-0.00066216-0.00086452i,0.00060812+0.00028764i,0.0003519+0.00083072i,8.4412e-05-0.00020784i,0.00020188-0.0006365i,0.00027379-2.1979e-05i,-1.0526e-05+0.00017567i,-0.00018958+3.8597e-05i,0.00032526+0.00041016i,0.00048517+0.00054419i,-0.00014066+0.0012013i,-0.00025978+0.0014081i,-0.00052902+0.00054438i,-0.001187+0.00039429i,-0.00086355+0.00057686i,-0.00022849+0.00093535i,5.3748e-05+0.00030534i,-0.00029317+0.00020283i,-0.00013294+0.00096917i,0.00057971+0.00039618i,0.0011979-4.3391e-05i,0.0016509+0.00019666i
-0.0010532-0.00060684i,-0.00051765-2.1614e-06i,0.00015576+0.001418i,0.0010078+0.0011081i,-0.00015075-9.877e-05i,-0.001329-0.0010465i,-0.001163-0.000823i,-0.00081036-7.4192e-05i,-0.00065679-0.00015003i,-0.0010385-0.00019771i,-0.00040941-0.00018404i,0.000709-0.00024585i,0.00034619-5.382e-05i,0.00016813-0.00027965i,0.00033639-0.00015164i,2.3335e-05+0.00029754i,-0.00036262+0.00024651i,-0.00020027-0.00010386i,-0.00028744+0.00024129i,-0.00068387+0.00036058i,-0.00040839+0.00050574i,-0.00037369+0.00057621i,-6.2652e-05+0.00066016i
0.0020235+0.00059337i,0.0017577+1.0717e-05i,0.0020178-0.000557i,0.0024587-8.1804e-05i,0.0019541+0.00034188i,0.0002435+0.0005505i,-0.0012739+0.0011279i,-0.00078167+0.00081163i,-0.00067347+0.00046112i,-0.00056771+4.0972e-05i,-0.00022781-0.00077033i,-6.1425e-05-0.00073612i,-0.00015689-0.00059758i,-0.00038403-0.00042487i,-6.8061e-05-0.00015082i,2.3691e-05-0.00030412i,-0.00042235-0.00077181i,-0.00085349-0.00033632i,-0.00083619+0.0003931i,-0.00057954+8.1175e-05i,-0.00034834+0.0002642i,-0.0004707+0.00053193i,-1.4663e-05+0.00032025i
7.4973e-05-0.00056396i,9.6777e-05-0.0001493i,-8.2609e-06+0.00012718i,0.00017313+0.00085852i,0.00024121+0.0016448i,-2.8006e-05+0.0012188i,-0.00054292+0.00095667i,-0.0015543+0.00091374i,-0.0011371+0.00032261i,0.00011191+9.9844e-05i,0.00091572+6.6083e-05i,0.00049929+0.00053526i,-0.00013624+0.00069821i,-0.00032384-0.00041384i,-0.00041589-0.00061087i,0.0001134-0.00017837i,0.00032518+0.00053969i,-0.00016557+0.00059667i,-0.00064863-0.00029653i,-0.00060293+0.00010766i,-0.00020382-6.735e-05i,0.00041805-0.00093429i,0.00023802-0.00076149i
0.0012679+0.00042761i,0.0011454-0.00020383i,0.0013694-0.00236i,0.00064237-0.0028923i,-0.00028971-0.0013337i,-0.00089073+2.7121e-05i,-0.0015701-2.4909e-07i,-0.0015787-0.00028809i,-0.00066639-0.00047228i,-0.00042578-0.00040963i,-0.00038365-0.00042004i,-9.0959e-05+0.00029468i,-0.00089073+0.0011524i,-0.0019214+0.00041269i,-0.0015923+0.00020092i,-0.00049412+0.00077548i,-0.00030552+9.6417e-05i,-0.00032491-8.0396e-05i,7.6191e-06+0.0002034i,0.00055694+0.00063056i,0.0007333+0.00019976i,0.00020779-0.00070887i,-0.0001807-3.5202e-05i
0.00069704-0.0011757i,-0.00046375-0.0011613i,0.0001339-0.0017627i,-0.00047783-0.00081493i,-0.0010345-0.00030362i,-0.00049059-3.3222e-05i,-0.00052051-0.00019518i,-0.0009313-9.8207e-05i,-0.0010714-0.00034001i,-0.00035294-0.00079542i,-0.0009082-0.0009723i,-0.0013733-0.0012147i,-0.00067713-0.00032866i,-0.00056784+0.00073705i,-0.00045895+0.00038382i,-8.1535e-05+6.358e-05i,-0.00015415+0.00042026i,-0.0003439+0.0007833i,-0.00072881+0.00029193i,-0.00082553+0.00038033i,-0.00053179+0.00015954i,-0.0006707-0.00056889i,0.00037758+5.2279e-05i
0.00042362+0.00029775i,0.00079684+0.00057943i,0.0011312+0.00099881i,0.001327+0.00043362i,0.00034854-0.0002813i,-0.0005952+0.00020467i,-0.00044552+0.00093887i,-0.00015656+0.0010156i,-0.00038419+0.00050255i,-2.8818e-05-0.00032223i,0.00085238-0.00058303i,0.001219-0.00022322i,0.00038051+3.1291e-05i,8.708e-05-0.00020812i,0.00040773-0.00035819i,-0.00028004-0.00068504i,-0.0010302-0.00052644i,-0.00085659-0.00040348i,1.3184e-05-1.6601e-05i,0.00056543+0.00092986i,0.00071347+0.0012356i,0.0011588+0.0010619i,0.0011327+0.00010641i
0.0011322+0.0011682i,0.00096508+0.00068954i,0.0013434-0.00038787i,0.0010427-0.00085611i,0.00068148-0.00069633i,8.2546e-05+0.0003423i,-0.0009778+0.0012668i,-0.00093765+0.0016359i,-0.00022089+0.00075481i,0.00030635+0.00037874i,6.3839e-05+0.00054683i,-0.00063646-0.00012578i,-0.00077818-0.00071719i,-0.00039452-0.00057645i,-0.00037036-0.00031386i,-0.00038629+0.0001221i,-0.00012741+0.00034347i,0.00013641+1.3948e-05i,-0.00012061+7.4755e-05i,-0.00020754+0.00013442i,0.00023592+0.00022083i,0.00063624+0.000454i,0.00042107+0.00066715i
0.00032619-0.00090815i,-0.00039802-0.00042856i,-0.0017707-0.00077071i,-0.00069958+0.00020128i,0.00023565+0.0014392i,-8.9038e-05+0.00080869i,0.00027276+0.00052234i,-4.37e-06+0.00048275i,-0.00047345+2.0337e-05i,-0.00069861-8.7098e-05i,-0.00013236+0.00023383i,0.00024539+0.0004749i,-0.00014648-0.00019077i,4.9471e-05+5.3865e-05i,0.00022114+0.0013433i,-4.0122e-05+0.0011278i,-0.00037497+0.00013093i,-0.00055847+1.0338e-05i,-0.00027109-2.2255e-05i,-0.00024951-0.00012277i,-0.00020984+0.00030978i,-0.0008197+0.00042087i,-0.00090431-0.00015939i
0.00032758+7.0125e-05i,0.00042321+0.00068197i,-0.00021344+0.00098466i,-0.0010055+0.00084963i,-0.00078282+0.000681i,-0.00043264+0.00011969i,-0.00045037+0.00049122i,-0.00035424+0.00073908i,-0.00058907+0.00045918i,-0.001183+0.000113i,-0.0010127+0.00033954i,0.00021238+0.00021618i,0.00095441-0.00058407i,0.00038258-0.00037488i,0.00031814-0.00018321i,0.00045975-0.00011162i,0.00020922-0.00020501i,0.00059199-0.00050218i,0.00091465-0.00017152i,0.00061326+0.00058436i,0.00035215+0.00037594i,0.00014294-0.00011886i,6.263e-05-0.00073252i
0.0011122-0.0010565i,0.00066619-7.3454e-05i,-0.00070975+0.00075354i,-0.00079279+0.00060431i,-0.0002314+0.00052829i,-0.00025443+0.00079896i,-0.00017109+0.00040339i,0.00026568+0.00025656i,0.00033743+0.00015613i,3.5659e-06+0.00025799i,-9.5009e-05+0.0009936i,-0.00050398+0.00097274i,-0.00090216+0.00058684i,-0.00091291+0.00066593i,-0.00080053+0.00024695i,-0.00062302+0.00056033i,-0.00080243+0.0012346i,-0.00069272+0.00098199i,-0.00011238+0.0008736i,-7.4468e-05+0.00072822i,-0.00012167+0.00052394i,0.00018753+0.00028188i,1.1067e-05-0.00012916i
-0.00073638+0.00029772i,-0.0010554+0.0001203i,-0.0010167+0.00050397i,-0.001088+0.001091i,-0.0010769-0.00016467i,-0.0016496-0.00053467i,-0.0017582+0.00047845i,-0.0015202+0.0011364i,-0.001382+0.00078551i,-0.00056381+0.00044431i,0.00037823+0.00036593i,7.8156e-05+0.0001318i,-5.8631e-06-0.0003135i,0.00042979-0.00087539i,0.00059276-0.00045259i,0.00067006-0.00075791i,0.00010787-0.00022609i,-0.00038703+0.0010764i,-0.00038397+0.00078416i,-0.00035847+0.00023012i,0.00030118+0.0004527i,0.00046176+0.00055531i,8.7882e-05+0.00046941i
0.001547+0.00081391i,0.0019493+0.00023037i,0.0032611-0.00084646i,0.0039933-0.00076647i,0.001001-0.00012482i,-0.0011345+0.00010436i,-0.00088857+0.00011734i,-0.00072421+0.00012263i,-0.00010907-0.00030821i,0.00069412+5.369e-06i,0.00045862+0.00044732i,0.00032678+0.00033418i,0.00012459+0.0007276i,0.00023006+0.00076381i,0.00036883-0.00041489i,3.2725e-05-0.00042061i,-0.00039672+0.0003623i,-0.00055406-0.00041467i,-3.0799e-05-0.0010287i,0.00036329-0.00094755i,-8.8767e-06-0.00095467i,6.9824e-05-0.00016063i,2.2485e-05-0.00012833i
0.00041969+0.0019135i,0.0013877+0.0020741i,0.0012771+0.0015117i,0.0011754+0.00056185i,0.0014463+2.5321e-06i,0.00071652+0.0007824i,-0.00049685+0.0019293i,-0.00059912+0.001857i,-0.00019465+0.0012837i,-0.00034109+0.0006482i,0.00018538-1.1932e-05i,0.00071631-7.3373e-05i,0.0010036+0.00038453i,0.00030768+0.00065435i,-0.00063807+0.00010109i,-0.0010351+0.00025182i,-0.00048039+0.0010048i,0.00012858+0.00051234i,0.00020738-0.00044546i,0.00067729-6.7872e-05i,0.000773+0.00041028i,0.00063598+3.6646e-05i,0.00053232-0.00064762i
-0.00089375-0.0023976i,-0.0010608-0.0024047i,-0.0012293-0.0015777i,-0.00090345-3.5101e-05i,-0.0011311+0.00068727i,-0.0011583+0.00020975i,-0.0012873-0.00022485i,-0.0013212-0.00012169i,-5.1669e-06+0.00025739i,0.00048975+0.00031045i,0.00020804-2.5717e-05i,0.00047209-0.0004847i,-1.0556e-05-0.00073336i,-0.00072778-0.00049491i,-0.00044378+0.00029164i,4.1629e-05+0.0008248i,-0.00046075+0.00039576i,-0.00055843-0.00012236i,-0.00061977+0.00032052i,-0.00054148+0.00071619i,-0.00034855+0.0010123i,-0.00068998+0.00062642i,-0.00067796+3.5602e-05i
0.00086205-0.0013467i,0.0018133-0.00051493i,0.001038-3.4507e-05i,-0.00097951-0.00051845i,-0.001012-0.00016498i,0.00022106-0.00016009i,0.00028994-6.7491e-05i,-0.00010462+0.00014964i,-0.00053358-0.00027809i,-7.0176e-05-0.00032368i,0.00034553+7.05e-05i,0.00037131-0.0004081i,0.00030385-0.00099082i,0.00018419-0.00093742i,0.0002793+6.8643e-05i,8.4901e-05+0.00059318i,-2.8672e-07+0.0002429i,0.0001816+0.00055255i,0.00015881+0.00087831i,-0.00061736+0.00044611i,-0.00036554+0.00055642i,7.6886e-05+0.00084368i,9.0072e-05+0.00055876i
-0.00069895+0.0010023i,-0.00032762+0.001238i,-0.00081334+0.00059017i,-0.00034146-2.2853e-05i,0.00059137-9.7465e-05i,0.00028271+0.00098253i,-0.00082289+0.0011869i,-0.00063842+0.00025523i,-0.00023526-0.0006755i,-6.713e-05-0.00074207i,-0.00013263-0.00019697i,-0.00047288-0.00024238i,0.00041978-0.00011733i,0.00068325+0.00037471i,-0.00034452+0.00088142i,-0.00064894+0.0011059i,-0.0001086+0.00057617i,0.00078985+0.00044708i,0.00089189+0.00042095i,-0.00013142+0.000417i,-0.0004221+0.00025604i,-0.00023851-0.00029357i,0.00023376-0.00055356i
-0.00039019+0.00010012i,-0.0012031+0.00070839i,-0.00025564+0.00035281i,0.00079912-0.00058106i,0.0003999-0.00051847i,-5.3556e-05+6.2555e-05i,-7.0475e-06+0.00015128i,-0.00024194+0.00027299i,-0.00036034-0.00052817i,0.00038345-0.00091761i,0.00035811-0.000167i,-0.0002434+0.00032143i,-4.3658e-05+0.00024006i,0.00071914+0.00014384i,0.00031221+0.00027042i,-0.00012075+0.00056177i,0.00062778+0.000974i,0.00042064+0.00010786i,0.00018465-0.00047766i,0.0004797+0.00039221i,0.00075066+0.00041959i,0.0010649+0.00010979i,0.0010894-1.0285e-05i
0.00094009+7.2788e-05i,0.00015292-0.001615i,0.00037029-0.0010373i,0.00050081-0.00015762i,9.1806e-05-0.00016203i,-0.0010375+0.00041207i,-0.001039+0.0008609i,-0.000928+0.0006573i,-0.0010142+0.0005045i,-0.00048509+0.00046782i,0.00016955-0.0003321i,0.00024144-0.0012373i,-0.00029956-0.00097587i,-0.00027382+0.00018078i,-0.0002049+0.00056153i,-0.00034905-5.8702e-05i,-5.9883e-05+0.00011185i,-0.0002275+0.00055551i,-0.00055073+0.00066705i,0.00034155+0.00087588i,0.0010829+8.9921e-05i,0.00056769-0.0008218i,0.00024455-0.000478i
0.0010582+0.00025632i,-0.00032968-7.0908e-06i,-0.00069291+0.00064815i,-0.0014692-0.00023713i,-0.0016885-0.00064845i,-0.0013324-5.4031e-05i,-0.00093372+0.00026558i,-0.00072484+0.00051048i,-0.0010425+0.0003058i,-0.0007469+0.00012612i,0.00014655-0.00023852i,9.763e-05-0.00042735i,-0.0006028-0.0001052i,-0.00046214+0.00037778i,-0.00026666+0.00047636i,0.00047167+0.00094111i,0.0012183+0.0013919i,0.00068716+0.00083471i,7.1196e-05+0.00028756i,-0.00017423+0.00043248i,0.0002304+0.00055304i,0.0007825+0.00041998i,0.0004932+0.001022i
0.00074176+6.3179e-05i,0.00078346-0.00037603i,0.0011181+0.00036768i,0.0011288+0.0014723i,0.00086909+0.00076821i,0.00039245-0.00046627i,-0.0003628-0.0003844i,-0.00098338+0.00018703i,-0.0012234+0.00080198i,-0.0008126+0.00051405i,0.00020663-0.00028752i,-0.00020301-0.00018699i,-0.0012688+0.00033912i,-0.00097758-0.0003226i,-0.00045402-0.0004171i,0.00056955+0.00050047i,0.0016672+0.00043918i,0.00015014+0.00051157i,-0.0015561-7.3401e-05i,-0.00087823-0.0010026i,-0.00015348-0.00099268i,9.8039e-05-0.00060971i,0.00043936-0.00039204i
0.00012939+0.00038893i,0.00057189+0.0004806i,0.0013679+0.00030832i,0.0010357-0.00052358i,6.9834e-05-0.00098919i,-0.0014212+0.00037894i,-0.0018642+0.0014223i,-0.00088503+0.00096574i,-0.0004905+0.00059221i,-0.00027715+0.00048827i,0.0004159+7.8767e-05i,0.00023557+0.00025324i,-0.00046789+0.00033797i,-0.00013886+0.00061387i,0.00017172+0.00061285i,0.00098895+0.0003537i,0.00093606+0.00028515i,-0.00013197+0.0004697i,-5.8536e-05+0.00090755i,-0.0003069+0.0010271i,-0.00033641+0.00050765i,-0.00028976-0.00016567i,-0.0006484-0.00050474i
0.00031623+0.0012773i,-0.00010676+0.0015645i,0.001483+0.0022634i,0.002481+0.0021226i,0.0017083+0.0016566i,0.00042736+0.00046562i,-0.0001755+0.00044048i,-0.00049105+0.0011814i,-0.00058755+3.6915e-05i,0.00030877-0.00073266i,0.001515-0.00040845i,0.001503-0.00048878i,0.00076082-0.0008257i,0.00072646-0.00063301i,0.00021084-1.6089e-05i,-0.00015961+0.00080638i,-3.3562e-05+0.00063549i,-0.0004071+2.8985e-05i,-0.00069437+0.00010993i,-0.00014877+0.00024939i,0.00030564+0.00067407i,5.0845e-05+0.00062141i,-0.00023008+0.00010624i
-0.0002157-0.0021898i,-0.0011076-0.0027887i,-0.0014582-0.0023288i,-0.0016242-0.0010071i,-0.001975-7.648e-05i,-0.001429+0.000588i,-0.0008492+0.00060199i,-0.00095215-0.00066619i,-0.00019461-0.0013995i,0.00028754-0.00067796i,-0.00016234+0.0002335i,-0.00092341+0.00095844i,-0.00072561+0.001172i,-0.00070203+0.00065039i,-0.00077397+0.00054767i,0.00016721+0.0011895i,0.00012358+0.0016184i,-0.00018581+0.0011995i,-0.0010607+0.0008901i,-0.0014363+0.00016068i,-0.00081795-0.00040051i,-0.00056636-0.00030409i,-0.00084206-0.00013252i
0.0020103+0.00018706i,0.0014414+0.00062929i,0.0011848-0.00014478i,0.00081544+0.00022592i,-7.755e-05+0.00096123i,-0.00053992+0.00059776i,-0.00067889+0.00064257i,-0.00047775+0.00051861i,-0.00063802-0.0001243i,-0.00083293-0.00017886i,-0.00091875-0.00015345i,-0.00094063-0.0011193i,-0.00029156-0.0012669i,-0.00062392-0.00067472i,-0.0010122+4.1813e-05i,-0.0006332+0.00096761i,-7.2376e-05+0.0005i,0.00035574+0.00053807i,0.00024039+0.00045666i,-3.682e-05-0.0010139i,3.9606e-05-0.0014502i,0.00052619-0.00048306i,0.0005497-0.00020885i
0.00084465-0.0011394i,-0.00018378-0.001496i,-0.00030938-0.0015052i,-5.7475e-05-0.0015235i,-6.2918e-05-0.0012144i,-3.1771e-05-0.0006586i,-8.1392e-05+0.00012966i,-0.00039146+0.00051988i,-0.00094152+0.00047986i,-0.00088809+0.00023252i,-0.00031428+1.7573e-05i,0.00025815+0.00019061i,0.00046389+3.9733e-05i,-2.1882e-05-0.00044736i,-0.00064351-0.00053418i,-0.00054204+0.00043248i,-0.00048551+0.00087949i,-0.0014411+0.00044527i,-0.00086455+0.00038031i,-1.3411e-05+0.00031737i,-0.00022473+0.00025145i,-0.00070766+0.00047455i,-0.00076719-3.2477e-05i
0.00057533-0.0019834i,-0.00023567-0.0011463i,-0.00083028-0.0017576i,-0.00046282-0.0025419i,-0.0008306-0.0014175i,-0.0013802+0.00054403i,-0.0011158+0.0023442i,-0.0003582+0.0020098i,-0.00040111+0.0006297i,-0.00041978+5.8685e-05i,0.00016172+2.5044e-05i,0.00017401-0.00010327i,-0.00065072+0.00050946i,-0.00097672+0.00032971i,-0.00040894-0.0010206i,-0.00022949-0.0010118i,-0.00022273-0.00020631i,0.00059966+7.0247e-05i,0.00054382-6.2405e-05i,-3.7083e-05+0.00024943i,0.00037294+0.00032624i,0.00090113+0.00012047i,0.00055936+0.00035968i
0.0010245+2.3138e-05i,0.0010716+0.00097786i,0.00056734+0.00059109i,0.00048552-5.098e-05i,0.00012661+0.00014331i,-0.00062248+0.0008252i,-0.00052742+0.00086678i,-0.00018331+0.0006026i,-0.00023501+0.00083873i,0.00025295+0.00076336i,0.0009126+0.0004913i,0.00035272+0.00084362i,-0.00037432+0.0010092i,-0.00026027+0.00095162i,0.00029875+0.00060245i,0.00057099+0.00033404i,8.585e-05+0.00055691i,-0.0006442+0.00023733i,-0.00040859+1.931e-06i,-0.00070682+0.00037504i,-0.00092639+0.00065639i,-0.00029804+4.4065e-05i,7.5948e-05-0.00032137i
-0.0017159-0.0009379i,-0.0024536-9.3803e-05i,-0.0035185+0.00070814i,-0.0037383+0.001447i,-0.0017889+0.0017851i,-0.00034732+0.0016778i,0.00032358+0.0016945i,-0.0002112+0.0010671i,-0.0013293+0.00075588i,-0.0010483+0.0010573i,-0.00035825+0.00042985i,0.00011495-0.00071474i,0.00011368-0.0011104i,-0.0001932-0.00021217i,0.00021698+2.6892e-05i,0.00057968-5.2903e-05i,-2.4853e-05+5.588e-05i,-0.00071092-0.00059647i,-0.00045657-0.00036813i,-0.00016717-2.6531e-05i,-0.00089498+8.2853e-05i,-0.00088414+0.00068314i,-0.00066497+0.00080563i
0.00035615-1.4031e-05i,0.00077761+0.00052901i,0.00083021-0.00049566i,-4.8417e-05-0.00026705i,-0.00061188-0.00026822i,-0.00081532-0.00072213i,-0.001312-0.00019137i,-0.0014006+0.00034544i,-0.00069346+0.00048832i,0.00020737+0.00065992i,0.00069645+0.00019312i,0.00051863-0.00061331i,0.00011499-0.00042077i,-0.00024123+0.00030496i,0.00032056+0.00045485i,0.00077316+0.00037431i,0.00033647+0.00076129i,0.00045098+0.00097652i,0.0008297+0.00043002i,0.00083998+0.00012983i,0.00082677-6.3117e-05i,0.00084877-0.00056385i,0.00067306-0.00035385i
0.00011661+0.0017885i,2.1577e-05+0.0011426i,-0.0002783+0.0015569i,0.00051643+0.0014488i,0.0013571+0.00083316i,0.0015585+0.00028517i,0.00041184+0.00027314i,-0.0010413+0.0008988i,-0.00092755+0.0005047i,-0.00029337+0.00037217i,-0.00030286+0.00015524i,-0.0002676-0.00066903i,0.00038471-0.0012155i,0.00088186-0.0010043i,0.00083431-0.00079802i,0.00074091-0.00050015i,0.00060747+4.7376e-05i,7.4956e-05+1.4058e-06i,-0.00060946+0.00063339i,-0.00031248+0.001374i,0.0003633+0.00046362i,0.00054109-0.00038644i,0.00050388-8.1345e-05i
