-0.00097317+0.00017176i,-0.00072808+0.00016042i,-0.001296-6.2388e-06i,-0.0013482+9.2761e-05i,-0.0022472+0.00091383i,-0.0031057+0.0015734i,-0.0019493+0.0021358i,-9.7123e-05+0.0023241i,0.001241+0.0014402i,0.0010642+0.00068233i,0.0005678+0.00027967i,0.00045389+0.00038666i,0.00062877+0.00059959i,-2.9335e-05+0.00021502i,-0.00041483+0.0002946i,8.6606e-05+0.0005569i,0.00033579+0.00025012i,0.00046846-9.4451e-05i,0.00070701+0.00041597i,0.00082685+0.00051642i,0.00043757+0.00040036i,-4.2964e-05+0.0002272i,5.9359e-05+0.00087081i
0.0012611-0.00021001i,0.0013367-0.00071108i,0.0013957-0.00078336i,0.0012057-0.0010582i,0.00079934-0.00080183i,7.7756e-05+3.464e-05i,7.568e-05+0.00035726i,-8.6652e-05+0.0012627i,-0.0004641+0.0015092i,-0.0010932+0.001214i,-0.0017311+0.00041846i,-0.0015535-0.00095069i,-0.00051148-0.0012251i,0.00039711+5.053e-05i,7.8252e-05+0.00078895i,-0.00054522+2.156e-05i,-0.00029756-0.00086013i,0.00064146-0.00052584i,0.0013002-1.5801e-05i,0.00073933-0.00050522i,-0.00076119-0.00073607i,-0.0011738+3.889e-05i,-0.00067688+0.00012328i
0.0016348+0.0019581i,-6.3792e-05+0.0010872i,-0.0012598+0.00035941i,-0.0012522+0.00036213i,-0.00079177+0.00039329i,-0.00018519+0.00088134i,-0.00019571+0.0012469i,-0.00021344+0.0011165i,8.8742e-05+0.00097018i,3.3997e-05+0.0010051i,-0.00081273+0.0007631i,-0.00099587+0.00032933i,-0.00070966+0.00022151i,9.8084e-06-5.348e-05i,0.00054026-0.00012165i,0.00053004+0.00019641i,0.00051534+0.00016981i,0.0013705-0.00025541i,0.0011278-0.00044919i,4.9722e-05-0.00056149i,-0.00054874-0.00047636i,-0.00049497-0.001051i,-0.00033174-0.00057758i
-0.0019731-0.0010396i,-0.0013795-0.001577i,-0.00046143-0.0016619i,-0.00057865-0.00028749i,-0.00075034+0.00072664i,0.00022578+0.00093202i,0.00087523+0.001429i,0.00098868+0.001358i,0.00047107+0.0010393i,4.5044e-05+0.00091666i,-2.5677e-05+0.0012804i,-0.00061903+0.00088349i,-0.00046865+0.0003267i,-8.9559e-07+0.00025327i,-0.00020301-0.00024357i,-0.00053768-0.00031986i,-0.00052182-0.00051575i,-2.2242e-05-0.0012978i,0.00018304-0.0013096i,1.3905e-05-0.00031277i,-0.00031944+0.00063156i,0.00014255+0.00068777i,0.00014882+0.00032907i
-0.0019621-0.0016628i,-0.0018028-0.0013877i,-0.0022505-0.00074396i,-0.0025786+0.00033758i,-0.0015301+0.0013786i,-0.00069826+0.0015394i,-0.00017947+0.0020095i,5.8177e-05+0.0013855i,-5.3288e-05+0.00087112i,0.00011858+0.0011147i,0.00014892+0.0010332i,-0.0001002+0.000698i,-0.00022462+0.00040028i,0.00072499+4.9848e-05i,0.001736-0.00010808i,0.00081563-0.00018967i,0.0001648-0.0006217i,5.9191e-05-0.00043445i,-0.0005803-0.00077735i,-4.9526e-05-0.00080821i,0.00046183-6.8182e-05i,-1.6392e-05+9.9371e-05i,-0.00028511+4.1394e-05i
0.00017421-0.00026987i,0.00031648-0.00061006i,-0.00045058-0.0015088i,-0.0010528-0.00076992i,-0.0012548+0.00011515i,-0.00029552+8.695e-05i,0.00013597+0.00093981i,-0.00042117+0.0018188i,-0.0007351+0.0013156i,-0.00076557+0.00074115i,-0.0010667+0.00058845i,-0.0018663+0.00056119i,-0.001481+0.00070337i,-0.00058328+0.00018887i,0.00029256-0.00015209i,0.00088626-6.2015e-05i,0.00063299-0.00026875i,0.00054498-0.00041471i,-5.2673e-05-0.00040504i,-0.00061778-0.00015992i,-0.00038802+0.00047349i,-0.00076291+0.00062537i,-0.00024532+0.00048294i
0.0007898+0.0010926i,0.00089395+0.00053424i,0.001838-0.00013771i,0.0021964-0.00034472i,0.001786+0.00042202i,0.00078682+0.00041103i,0.00010964+0.00019339i,0.0007482+0.00074141i,0.0011471+0.0016213i,0.00097316+0.00089563i,0.0005433+0.00086611i,8.6905e-05+0.00088157i,-0.00041767+6.1906e-05i,-0.00018764+0.00045587i,0.00083478+0.0004902i,0.00076581-0.00038608i,2.1529e-05-0.00062347i,-0.00037745-0.00082016i,-7.9309e-05-0.00081568i,0.00021466+0.00014075i,0.00066477+0.0010445i,0.001023+0.00079786i,0.00027598+0.00028256i
-0.0032129-0.00068632i,-0.0029964+0.00058714i,-0.0032384+0.0016284i,-0.0023067+0.0010514i,-0.00088588+0.00060689i,-3.2587e-05+0.00067554i,5.1086e-05+0.00053954i,-2.1033e-05+0.0010262i,-0.00053193+0.0013984i,-0.0010421+0.0010492i,-0.0008472+0.00091836i,-0.00064123+0.00093176i,-0.00052799+0.00088985i,-0.00014128+0.00037578i,4.0224e-05+0.0003347i,-0.00069954+0.0006306i,-0.00035995+0.00040309i,0.00059966+0.00019643i,0.00066547+0.00014819i,-7.3101e-05-0.00017557i,-0.0007282+0.00014497i,-0.0010059+0.00051817i,-0.0011225-9.1034e-05i
0.00060015-0.0015322i,0.0008415-0.0016226i,0.0011563-0.002749i,0.00053966-0.002858i,-4.9197e-05-0.001223i,0.00016601+0.00065186i,0.00067833+0.0017812i,0.00097033+0.0013571i,0.00098045+0.00023526i,0.0009414-0.00057832i,-0.00032006-0.0003882i,-0.0012084-7.6505e-05i,-0.00044022-0.00067932i,-0.00012573-0.00088472i,-0.00011362-0.00071092i,-0.00029449-0.00070311i,-0.00066515-0.00042944i,-0.00049044-0.00036813i,-0.00028218-8.3618e-05i,-0.00035665+6.6771e-05i,-0.00037292+0.00023231i,-0.00058718+0.0005422i,-0.0011563-3.8461e-05i
0.0014773+0.0024038i,0.0021079+0.0032113i,0.0018679+0.0024081i,0.0015936+0.001254i,0.0013191+0.0010292i,0.00051589+0.0011195i,-3.7652e-05+0.0011389i,0.00015605+0.00076382i,0.00039676+0.00010273i,0.00034959+0.0003031i,0.00037231+0.00098306i,0.00055858+0.0001837i,0.00052357-0.00034858i,0.00061492-0.00041232i,-3.474e-05-0.00057148i,-0.0011982-0.00024782i,-4.513e-05+3.4461e-05i,0.00079747+0.00027231i,0.00067641+0.00057852i,0.00085879+0.00043836i,0.00027295+6.3413e-05i,-0.00038841-8.6841e-05i,-0.00041002-0.00021952i
-0.00034569-0.0013077i,0.00035116-0.00078984i,-0.00029088-0.00073342i,-0.0013948-0.00085128i,-0.0018126-6.9332e-05i,-0.00089113+0.0010034i,0.00013957+0.0017426i,2.0867e-06+0.0012001i,-6.2541e-05+0.00059042i,-0.00011812+0.00062727i,-2.4737e-05+0.001044i,-2.0881e-05+0.0016155i,0.00011924+0.00076428i,0.00024675-0.00050991i,0.00031508-0.00067796i,-0.00021783-0.00026265i,-0.00040738-0.0006474i,0.00088526-0.00056976i,0.0014511+0.00023221i,0.0012645-6.6241e-05i,0.00072426-0.00051182i,-0.00021583-0.00025195i,-0.0011219-0.00071673i
-0.001079-0.00094418i,-0.00062385-0.00078301i,-0.00017102-0.00095681i,-5.3801e-05-0.0014094i,-0.00035962-0.0011842i,-0.00018559+0.00016005i,0.00042268+0.00070747i,0.00049165+0.00089762i,0.00011698+0.0012359i,0.00043783+0.0010089i,0.00056998+0.00071914i,-0.00010536+0.00054655i,-0.0010151+0.00063917i,-0.0010088+0.00051526i,-0.00057689-0.00021136i,-0.00071741-0.00038071i,-0.00064511-3.3813e-05i,0.00043731+0.00037977i,0.0015789-0.00014484i,0.0015034-0.00097835i,6.8036e-05-0.00090384i,-0.0010739-0.00056536i,-0.00033356-0.00057998i
0.00066855-0.0018445i,0.00020365-0.0015156i,-0.00015178-0.0013686i,0.0002012-0.001372i,-0.00042214-0.0010078i,-0.0013748+0.00038081i,-0.00055775+0.0013533i,0.0001594+0.0010041i,2.2619e-05+0.00030982i,0.00028273+0.0002028i,0.00052174+6.0897e-05i,-0.00011868-0.00011526i,-0.0010438+4.5959e-05i,-0.0010361+3.355e-05i,-0.0011451-0.00044059i,-0.0010509-0.0010767i,-0.00018237-0.00085357i,0.00061294-0.00087392i,0.00058871-0.0014681i,0.00092869-0.0015541i,0.00092105-0.00069841i,4.4161e-05+0.00067779i,0.00050015+0.0011024i
-0.0013234+0.00017851i,-0.00070595+0.00017343i,0.00079668+8.2883e-05i,0.0011354+0.00074054i,0.00098555+0.0013417i,0.00065764+0.0015224i,0.00017994+0.001372i,-1.1797e-05+0.00095443i,-0.00079525+0.00085055i,-0.0010748+0.0010904i,-0.0014497+0.00090434i,-0.0015683+0.0006948i,-0.00061594+0.00060712i,-0.00013428+0.00053419i,0.00031717+0.00052653i,0.00037767+0.00030765i,0.00051725+0.00013905i,0.00085627-0.00027146i,0.00083717-0.0001078i,0.00038263-0.00021626i,0.00050946-0.00094341i,0.00089881-0.00062187i,0.0007711-0.00011572i
-0.0028172-0.00042617i,-0.0019289+0.0013809i,-0.0026601+0.0017036i,-0.0034242+0.001386i,-0.0028686+0.0017359i,-0.0018851+0.0020681i,-0.00056952+0.0016134i,5.4297e-05+0.00099772i,-0.00040312+0.00041189i,-0.0007141+0.00034857i,-0.00097267+0.0006188i,-0.00054938+0.00097515i,0.00012382+0.00094636i,0.00018052+0.00058756i,0.00019948+0.00065738i,0.00052248+0.00067781i,0.00023553+0.00010129i,-0.00031668-0.000454i,-9.5832e-06-8.5225e-05i,0.00051661-0.00014517i,0.00057265-0.00052437i,0.00045262+6.449e-05i,0.00012519+0.0011089i
-0.0011686-0.0021157i,-0.00098762-0.0013382i,-0.0011207-0.0014873i,-0.00039341-0.00083207i,0.00039371+1.9691e-05i,0.0011525+6.3792e-05i,0.0018111+0.00077724i,0.00096043+0.0015717i,-0.00030073+0.00089216i,-0.00041852+0.0011497i,-0.0006977+0.00075954i,-0.00081886-0.00066584i,-0.0005591-0.00050152i,-8.8571e-05+0.00032498i,-0.00040529+0.00034869i,-0.0010944+0.00031156i,-0.0010342-0.00025203i,0.00022111-0.00089277i,0.00054573-0.00033229i,-8.703e-05-0.00019341i,-1.7242e-06-0.0010228i,-0.0002273-0.0011546i,-0.00059129-0.00062584i
-0.00045066-0.0010708i,-0.00029086-0.0011343i,-0.0001743+2.1883e-05i,-0.00088318+0.00087773i,-0.0016847+0.00087757i,-0.001835+0.00064935i,-0.0010158+0.0009061i,-0.00028411+0.0015965i,-0.00030447+0.0012659i,-0.00018079+0.00057014i,-0.00027383+0.0008107i,-0.00023024+0.00048562i,0.0004856+0.00015621i,0.00026+0.0012141i,-0.00024254+0.00087484i,-0.00051253+0.000136i,-0.00022031+0.00055902i,0.00014341+0.000244i,0.00013308-0.00049732i,0.00033316-0.00047364i,0.00032337-0.00045682i,0.00026855-0.0003656i,-0.00012914+6.81e-05i
0.0010259+0.00027619i,0.00062283+0.00078942i,0.00070388-0.00022717i,0.00055693-0.00096865i,9.0785e-05-0.00061388i,-0.00044033-0.00016053i,-0.00030689+0.00053535i,9.0296e-05+0.00088664i,9.8554e-06+0.00041741i,-0.00011012+0.00022918i,-0.00039339-9.9254e-05i,-0.0001718-0.00033981i,0.00041217-0.00017617i,0.0010789-0.00045482i,0.0012062-0.00088732i,0.0010305-0.00057264i,0.00039937+6.7133e-05i,0.00017878-1.7611e-05i,0.00012661-0.00093512i,-0.00021443-0.00045452i,-0.00034711+0.0002734i,-3.0294e-05-0.00033671i,0.00016004-0.00016254i
-0.0011688+0.0016856i,-0.0011195+0.0024292i,-0.0019341+0.0035177i,-0.0013+0.0033329i,0.00011882+0.002478i,0.00075424+0.001577i,0.00082612+0.00087113i,0.00031524+0.00039623i,-0.00050627+0.00036342i,-0.0010167+0.00089164i,-0.00067137+0.0013528i,-0.00087068+0.00089054i,-0.0010583+0.00097318i,-0.000327+0.0014029i,-0.00017817+0.0009241i,1.3605e-05+0.00013727i,0.00070718-0.00034133i,0.00097581-0.00042574i,0.00082233+0.00017685i,0.00043336-0.00018168i,-3.6302e-05-0.00097798i,0.00026872-0.00073653i,0.00069651-0.00016087i
-0.0004766-0.00022897i,0.00024765-0.00086282i,0.00073424-0.00081737i,-0.0006651+0.00013634i,-0.002317+0.00096068i,-0.0016671+0.0010722i,-0.00039325+0.0015151i,-2.3293e-05+0.0018046i,-0.00021996+0.00097004i,-0.000545+0.00022803i,-0.00073681+3.4687e-06i,-0.00060521+0.00015748i,-0.00032976+0.00074707i,0.00013168+0.00044545i,0.00091878-0.00038174i,0.00064984-0.00072332i,0.00035892-0.00035462i,-6.7576e-05-0.00089108i,-0.00015937-0.0010146i,0.00037956-2.6904e-05i,0.00033762+0.0005519i,-0.00023448+0.00018905i,-0.00073851-4.3383e-05i
0.0016896+0.0028405i,0.0020923+0.0028527i,0.0026965+0.0039717i,0.0027838+0.0035486i,0.0025425+0.0019631i,0.0014541+0.00078648i,0.00040141+0.00051951i,6.024e-05+0.00041133i,-0.00030118+0.00036916i,-0.00022507+0.00086902i,0.00027437+0.00067566i,0.00059958-0.00011545i,0.00021695-0.00053301i,0.00027989-8.2254e-05i,0.0006483+0.00010929i,0.00010297-0.00058436i,-0.00090094-0.0011121i,-0.00090803-0.00088353i,-0.0010261-0.000432i,-0.0008453-0.00039582i,2.2872e-05-0.0001405i,-0.00012976+0.00031542i,-0.00084791+3.8185e-05i
-0.00083186+0.0016244i,-0.0013645+0.00045121i,-0.0012756+0.00010461i,-0.001049-0.0010266i,-0.001164-0.00027382i,-0.00062008+0.0010303i,9.1658e-05+0.0011443i,-0.00030293+0.0011706i,-0.00086363+0.00089496i,-0.00071533+0.0010242i,-0.00088265+0.00081229i,-0.0014179-9.4703e-05i,-0.001262-0.00052896i,-0.00054234-6.2589e-05i,-0.00024858+0.00030729i,4.5881e-05+0.000526i,0.0004253+0.00049908i,0.00052896-7.5684e-05i,0.00056878-3.1289e-05i,0.00030601+0.00064288i,-3.6839e-05+0.0010448i,-0.00080637+0.00087346i,-0.00050969-2.837e-05i
-0.00021017-0.0023771i,-0.00059934-0.0018611i,-0.00031638-0.0011004i,-0.0007458-0.00017643i,-0.001209-6.7153e-05i,-0.00042589+9.3986e-05i,-0.00054866+0.00048332i,-0.0002414+0.00039198i,-1.0682e-05+0.00075577i,-0.0004836+0.00078862i,-0.0011804-5.312e-05i,-0.00071057-0.00046729i,0.00039368+0.00079636i,0.00054289+0.0014325i,-0.00075015+0.0012194i,-0.0013793+0.00028215i,-0.00019412-0.00061386i,0.0012818-5.9769e-05i,0.00089867+0.00013865i,0.00075048-0.00010894i,0.0011148-0.00043684i,0.00066602-0.00049103i,0.00022051+0.00019884i
0.00015735-0.001482i,-0.0003716-0.0017938i,-0.00080532-0.0015319i,-0.0012049-0.001269i,-0.00050794-0.00042606i,-0.00031355+0.00062261i,-0.00097909+0.0011313i,-0.0012701+0.00069956i,-0.00047056+0.00041543i,-0.00011891+0.00058767i,-0.00071407+1.7924e-05i,-0.00074831-0.00032585i,-0.0011668-0.00091434i,-0.0010626-0.0015398i,0.00055494-0.0012037i,0.001562-0.0003961i,0.00092589-0.0002454i,0.00013145-0.00053538i,-0.00038429-0.00032905i,5.5807e-05+0.00030464i,0.00057877+0.00064153i,0.00050564+0.00038305i,0.00013471+7.394e-05i
0.0034039-0.00066487i,0.0037329-0.00037044i,0.0027971-0.00095531i,0.0015376-0.0013897i,0.00016506-0.00066474i,-0.00097462+0.00052031i,-0.0017214+0.0013482i,-0.0018046+0.0015552i,-0.0014668+0.0017903i,-0.0013129+0.0013384i,-0.00092631+9.9866e-06i,-0.00088435-0.00088812i,-0.0008877-0.00049225i,3.6166e-06-0.00034574i,9.6849e-05-0.0010155i,-0.00045341-0.0012111i,-0.00054256+6.4591e-05i,-0.00055732+0.0011647i,-0.00042081+0.0006089i,0.00055012-0.00067608i,0.0013627-0.0017812i,0.00078737-0.001894i,-0.00022038-0.0010892i
-0.0017547+0.00042318i,-0.0018208+0.0013779i,-0.00055318+0.0025319i,-0.00030601+0.0025333i,0.00036057+0.0020198i,0.0009022+0.0015604i,0.00032349+0.0018075i,-0.0009181+0.0019362i,-0.0018274+0.0014771i,-0.0012426+0.00056495i,-0.00061476-0.00019187i,-0.00073248-0.00037247i,-0.00078754+0.00025623i,-0.00045898+1.305e-06i,-0.00062667-0.00052301i,-0.00065368-1.9295e-06i,0.00022994-0.00067783i,0.00086872-0.0016144i,0.00061763-0.00052324i,-0.0001801+3.1243e-05i,-0.00011456-6.5792e-05i,0.00026263+1.1458e-05i,8.088e-07+0.00028446i
0.00080907+0.0002454i,0.0007348-0.00038859i,0.00097094+0.00060345i,0.00091452+0.00013584i,0.00032195-0.0015576i,-0.00067983-0.0014817i,-0.00061825-7.8837e-05i,0.00024339+0.001508i,-0.00022623+0.0022789i,-0.0004287+0.0013326i,0.0001917+0.00034678i,-0.00052849-9.0052e-05i,-0.00098396-0.00042725i,-0.0005245-0.00073263i,-6.9131e-05-0.00048058i,0.00080851-0.00041042i,0.0011517-0.00052295i,0.00083403+0.00013453i,0.00038446-0.0002904i,-0.00035379-0.0010707i,0.00021048-0.00109i,0.00059181-0.00073333i,0.00022897-0.00024627i
7.4399e-05+0.00045264i,0.00061493+0.00024469i,0.00028031+0.00086565i,-0.00033904+0.00061025i,-0.00066861+0.00043345i,-0.00093468+0.00070474i,-0.00063396+0.00055265i,-0.00010439+0.00038753i,-0.00013544+0.00046659i,-0.0002913+0.00022259i,-9.7647e-05+0.00036907i,1.4734e-06+0.0005423i,-0.00048434+0.0004252i,-0.00031272+0.00079746i,9.4369e-05+0.00056808i,-0.0002216+0.00072245i,0.00035739+0.00035463i,0.00039395-0.00043802i,-8.8336e-05-0.00058563i,0.00014009-0.00066658i,0.0007206-0.00080676i,0.00032409-0.00020638i,-0.00020351+0.0006689i
-0.0012939+0.00051334i,-0.000499+0.0017573i,0.00032302+0.0012367i,-0.00033366+5.997e-05i,-0.001566-0.0002111i,-0.0015451+0.0010122i,-0.0003257+0.0016438i,0.00015108+0.0010086i,0.00040326+0.0003684i,0.00020223+3.8243e-05i,-0.00057967-0.00021199i,-0.00053514-7.4018e-05i,0.0002751+0.00032296i,0.00087547-4.5895e-06i,0.00086762+0.00023324i,0.00045397+0.00059872i,-0.00034124+0.0003264i,-0.00041973+4.2209e-05i,0.00062007-0.00023394i,0.00081422-0.00025012i,0.00033332-0.00045699i,0.00048611-0.00016713i,-0.0002224+0.00035208i
-0.00079489-0.00029665i,-0.0007397-0.00056949i,-0.00051673+0.0011343i,-0.0011625+0.0017976i,-0.00089179+0.0008123i,-0.00093812+0.00062635i,-0.0011146+0.00034706i,0.00019602+0.00047579i,0.00027936+0.00081288i,-0.0011703+0.001443i,-0.0018702+0.0011513i,-0.0010866+0.00036125i,9.7833e-05+0.00076625i,0.00056516+0.00072423i,0.00068075+1.6686e-05i,0.00068209+0.0003342i,0.00066155+0.0008923i,0.00051209+0.00053074i,0.0004603+3.7417e-05i,0.00036182-0.00058333i,8.7203e-05-0.00090423i,-7.0598e-05+0.00017962i,0.00016691+0.00070739i
0.00018054-0.0013595i,-0.00030628-0.00091573i,-0.00062798-0.00091801i,-0.00066056-0.00086618i,-2.0736e-05+0.00041427i,0.00046708+0.0010155i,0.00010763+0.00084698i,-6.942e-06+0.00017655i,0.00063597+0.00016446i,5.6934e-05+0.00049843i,-0.00068015+0.00047331i,-0.00060074+8.9195e-05i,-0.0001616-0.00026041i,7.8238e-05-0.0003893i,0.00015903-0.00026465i,0.00044208-7.5147e-05i,0.00050309+0.00048374i,0.00056068+0.0010039i,0.00021815+0.00058353i,-7.6192e-05+0.00015247i,0.0003187+0.000502i,0.00052752+2.4895e-05i,0.00017452-0.00055054i
-0.0005022+0.0024801i,-0.00034953+0.0022137i,-2.9925e-05+0.0013572i,0.00048487+0.00044258i,0.0011219+0.00056907i,0.0012453+0.0014543i,0.00038937+0.0020134i,-0.00062279+0.0012915i,-0.00080029+0.00051965i,-0.00084423+0.00052286i,-8.0299e-05+0.00034429i,0.00030628+1.2761e-05i,0.00046888-2.8526e-05i,0.00065769-0.00039396i,0.00024481-0.00036047i,0.00016984+0.00025716i,0.0002047+0.000259i,0.0001136-0.00054857i,-0.00010025-0.0010606i,0.00073874-0.00070567i,0.0017423-0.00023313i,0.00084526-2.6616e-05i,-0.00015432-0.00032449i
