0.00061929+4.6681e-05i,0.00095354-0.00049429i,-0.00066607-0.0015912i,-0.0020155-0.0018086i,-0.0022982-0.00085017i,-0.0019569-0.0004687i,-0.0010582-0.00056846i,-0.00011812+0.00027675i,0.00036303+0.00072075i,0.0004559-0.00039777i,0.00011127-0.00071575i,8.7923e-05-0.00080547i,0.00017721-0.00045742i,-0.0002541+0.0001962i,-0.00062744+0.00070425i,-0.0010085+0.0009785i,-0.00057035+0.00035987i,8.9824e-05-0.00082876i,0.0004363-0.0006327i,0.0002341-0.00030115i,-0.00041556-0.00049182i,-0.00088847-0.00031103i,-0.00072333-0.0002827i
-0.35186+0.29745i,-0.24856+0.40515i,-0.036502+0.24099i,0.091481-0.062725i,0.1974-0.21457i,0.32488-0.20171i,0.36403-0.19874i,0.25814-0.21463i,0.11667-0.16365i,0.060221-0.072611i,0.044449+0.0037061i,0.027279+0.041926i,0.019809+0.030352i,0.017878+0.0032883i,0.016358-0.0050018i,-0.00015657+0.0037825i,-0.036306+0.029406i,-0.049344+0.058434i,-0.039132+0.043976i,-0.055347-0.013783i,-0.079983-0.050978i,-0.064907-0.049465i,-0.029155-0.045022i
0.05176-0.071159i,0.12-0.14107i,0.26161-0.18734i,0.22831-0.20068i,-0.057218-0.098229i,-0.25515+0.086075i,-0.19135+0.19023i,-0.067444+0.16233i,-0.033164+0.10243i,-0.012684+0.097398i,0.041228+0.089184i,0.048898+0.051803i,0.019913+0.037457i,0.019118+0.020278i,0.020734-0.035778i,-0.0024872-0.095087i,-0.033617-0.11996i,-0.064273-0.11102i,-0.088404-0.079668i,-0.08852-0.035518i,-0.064578+0.0013055i,-0.048762+0.015319i,-0.049934+0.02046i
0.12573-0.12548i,-0.065707-0.24847i,-0.37592-0.14555i,-0.47382+0.12204i,-0.36965+0.25133i,-0.33863+0.25194i,-0.33921+0.27262i,-0.25089+0.26599i,-0.1381+0.22076i,-0.040588+0.1796i,0.03204+0.11644i,0.042031+0.055105i,0.027417+0.05602i,0.044709+0.087733i,0.070822+0.094924i,0.086272+0.078854i,0.10329+0.042099i,0.10773-0.0018513i,0.097622-0.0038731i,0.10649+0.043512i,0.12507+0.074895i,0.10571+0.065144i,0.053998+0.05915i
-0.15638+0.21689i,-0.05836+0.32564i,0.070346+0.29391i,0.085539+0.16567i,0.072637+0.12055i,0.15612+0.14034i,0.17691+0.093123i,0.064724+0.059141i,-0.014114+0.075545i,-0.042292+0.042827i,-0.080829+0.005463i,-0.086432-0.00026172i,-0.073201-0.0078461i,-0.06356+0.0035042i,-0.028104+0.022912i,0.011708+0.019359i,0.021355+0.010708i,0.01109+0.02258i,0.0037146+0.04634i,0.0056866+0.048031i,0.0014109+0.025318i,-0.010629+0.0064207i,-0.0098744-0.0012094i
-0.24284-0.13685i,-0.071513-0.095529i,0.097854-0.17656i,-0.015731-0.26041i,-0.2616-0.17601i,-0.33899-0.072941i,-0.25435-0.081623i,-0.15924-0.099152i,-0.1041-0.076014i,-0.066611-0.03141i,-0.028417+0.0072375i,-0.0093735+0.021591i,-0.012098+0.014208i,-0.030839-0.0094622i,-0.05477-0.020165i,-0.065168-0.012847i,-0.057778-0.0075286i,-0.034154-0.015913i,-0.015402-0.053091i,-0.026267-0.088927i,-0.035152-0.083375i,-0.016956-0.058974i,-0.0050172-0.038526i
-0.37563-0.38592i,-0.67443-0.19456i,-0.55348+0.064459i,-0.10821+0.025289i,0.16161-0.16757i,0.14061-0.16326i,0.06945-0.014485i,0.035693+0.05867i,0.024612+0.051379i,0.035245+0.022569i,0.045895-0.015611i,0.033536-0.045879i,0.011027-0.035629i,0.018179-0.0023401i,0.044008+0.010875i,0.057183+0.0073228i,0.051119-0.010457i,0.016086-0.032159i,-0.031471-0.010625i,-0.047139+0.052939i,-0.032975+0.0871i,-0.029015+0.067704i,-0.035093+0.037105i
0.58797-0.30286i,0.67645-0.55474i,0.52978-0.46125i,0.29196-0.0874i,0.060863+0.19309i,-0.10903+0.26687i,-0.13861+0.22529i,-0.10198+0.13797i,-0.095787+0.089074i,-0.065883+0.094705i,-0.014008+0.081514i,0.00092552+0.047864i,-0.019605+0.031018i,-0.049195+0.032864i,-0.066401+0.045648i,-0.062985+0.060189i,-0.032168+0.069023i,0.019376+0.060711i,0.061294+0.025418i,0.070209-0.009427i,0.055879-0.01292i,0.046926-0.0032371i,0.038467-0.0075518i
0.036782+0.63967i,-0.0030505+0.73334i,-0.17976+0.53332i,-0.29336+0.24421i,-0.18642+0.025971i,-0.03684-0.12057i,-0.01591-0.16036i,-0.050144-0.12282i,-0.063826-0.077451i,-0.082285-0.027753i,-0.080045+0.023283i,-0.051283+0.03029i,-0.037301+0.0093507i,-0.025586+0.0076006i,-0.0027847+0.01405i,0.0054278+0.011251i,-0.0091777+0.019634i,-0.024677+0.038486i,-0.029893+0.045283i,-0.03162+0.031738i,-0.031463+0.012375i,-0.022677+0.0033649i,-0.0030792-0.0053579i
-0.3758-0.041927i,-0.28755-0.13152i,-0.050358-0.24645i,0.083004-0.27927i,0.067959-0.19995i,0.04926-0.097512i,0.041369-0.056774i,0.0055095-0.036535i,-0.032289-0.016184i,-0.043527-0.015527i,-0.03201-0.013672i,-0.0052569-0.004637i,0.0077072-0.0080841i,-0.0082672-0.015971i,-0.022001-0.017475i,-0.014908-0.022536i,-0.0015226-0.044725i,0.0010623-0.066928i,-0.0139-0.052395i,-0.03412+0.0053691i,-0.034465+0.05576i,-0.024114+0.060309i,-0.024185+0.049581i
-0.21259-0.20721i,-0.18069-0.056045i,-0.039048+0.063972i,-0.0043456+0.066032i,-0.12183+0.090031i,-0.19455+0.14949i,-0.14003+0.13693i,-0.064335+0.058957i,-0.030575-0.0011792i,-0.013159-0.015571i,0.0016149-0.013725i,0.0029314-0.0076545i,0.0098933-0.0091661i,0.023432-0.032222i,0.020664-0.048772i,0.0025243-0.041351i,-0.021086-0.0232i,-0.033927-0.00080595i,-0.02277+0.011798i,-0.0028019-0.00075073i,0.0029927-0.019846i,-0.00040811-0.018933i,0.0017364-0.0034187i
0.054337-0.34882i,-0.15713-0.31618i,-0.24329-0.042627i,-0.070936+0.12794i,0.11332+0.045481i,0.14502-0.045709i,0.11969-0.036123i,0.082705-0.024554i,0.049869-0.036742i,0.034419-0.055431i,0.0074625-0.057436i,-0.015658-0.033597i,-0.014531-0.0060188i,-0.003958+0.012487i,0.0048686+0.018182i,0.016187+0.015583i,0.032504+0.011766i,0.043461+0.0048362i,0.046428-0.016983i,0.045331-0.049992i,0.038854-0.066847i,0.028203-0.062804i,0.017153-0.056851i
0.3897+0.13859i,0.53875-0.053122i,0.40118-0.237i,0.13938-0.19624i,0.024105-0.07802i,0.015416-0.071692i,-0.003999-0.096847i,-0.0085951-0.078476i,-0.015871-0.046077i,-0.038909+0.0034697i,-0.023786+0.038344i,-0.00091505+0.027344i,-0.0091276+0.019043i,-0.010439+0.034347i,0.007576+0.042686i,0.017608+0.031784i,0.016344+0.01295i,0.0094278+0.0018311i,-0.013512+0.021085i,-0.044827+0.066682i,-0.054069+0.096577i,-0.037089+0.08783i,-0.015951+0.056697i
-0.27687+0.2542i,-0.27817+0.35498i,-0.23756+0.27169i,-0.23282+0.12736i,-0.21744+0.11177i,-0.13209+0.16449i,-0.054124+0.149i,-0.043705+0.086417i,-0.036976+0.05039i,0.00095184+0.028351i,0.01935+0.0093643i,0.0073135+0.0052259i,-0.014413-0.0010424i,-0.044067-0.0077572i,-0.06895+0.0022892i,-0.068981+0.019241i,-0.050263+0.026859i,-0.027543+0.01867i,-0.013426+0.0049177i,-0.0063754+0.0036801i,-0.0035844+0.0062757i,-0.0092947+0.0030367i,-0.016131+0.0089422i
-0.24342-0.12582i,-0.21911+0.020953i,0.036522+0.077949i,0.2443-0.096948i,0.20901-0.26406i,0.13753-0.22518i,0.15334-0.11952i,0.15147-0.072554i,0.089984-0.072047i,0.020683-0.063196i,-0.0089248-0.042073i,-0.011121-0.036368i,-0.0044859-0.041651i,0.014378-0.052376i,0.031212-0.065796i,0.030063-0.067632i,0.0084427-0.049346i,-0.015496-0.018197i,-0.012143-0.011182i,0.005138-0.038915i,0.0094076-0.048944i,0.011239-0.029197i,0.019375-0.01523i
0.12992-0.55144i,-0.1237-0.76875i,-0.34851-0.49544i,-0.22249+0.072289i,0.041212+0.39787i,0.096437+0.41214i,0.025798+0.32385i,0.0021749+0.21585i,0.023259+0.1271i,0.042239+0.058199i,0.034964+0.0095053i,0.024107-0.0055088i,0.02005-0.005873i,0.0046594+0.0065906i,-0.0065334+0.034536i,0.010307+0.059778i,0.041378+0.06172i,0.050627+0.041043i,0.022312+0.029788i,-0.013306+0.036843i,-0.024069+0.029263i,-0.024209+0.0006583i,-0.029572-0.014547i
0.48199+0.50661i,0.79286+0.58844i,0.68032+0.3939i,0.16964+0.097315i,-0.24249-0.090812i,-0.33212-0.15909i,-0.25427-0.11913i,-0.13739-0.029247i,-0.042483+0.012208i,0.0026762+0.034064i,0.026725+0.059183i,0.031943+0.051866i,0.019051+0.027068i,0.01112+0.0011546i,-0.0022592-0.022925i,-0.032944-0.032867i,-0.0527-0.025872i,-0.036144-0.011615i,-0.002517-0.0059545i,0.012488-0.0091421i,0.0091885-0.0034413i,0.011145+0.013106i,0.016111+0.015295i
-0.59204+0.068047i,-0.7546-0.0056555i,-0.63983-0.1644i,-0.3162-0.21496i,-0.0075997-0.099243i,0.14331+0.020234i,0.12071+0.015336i,0.008411-0.020553i,-0.06132+0.0093099i,-0.061705+0.033203i,-0.055898+0.014826i,-0.049476-0.0025209i,-0.032973-0.0068427i,-0.026818-0.0033631i,-0.032998+0.0024915i,-0.045835+0.0049285i,-0.064877+0.0060314i,-0.077072+0.010428i,-0.056375+0.019619i,-0.002328+0.019747i,0.039437+0.005383i,0.04517-0.0097349i,0.036621-0.012986i
-0.032496-0.19298i,0.13269-0.014668i,0.33765+0.17363i,0.3218+0.15967i,0.094512+0.065959i,-0.092174+0.051451i,-0.11237+0.077095i,-0.048576+0.054139i,-0.016873-0.0091995i,-0.018185-0.039321i,-0.002656-0.027153i,0.020508-0.0095281i,0.030659-0.0021462i,0.037449-0.0087812i,0.049596-0.022147i,0.06327-0.034016i,0.063648-0.044641i,0.037046-0.050856i,-0.014872-0.042803i,-0.066391-0.0128i,-0.08785+0.02405i,-0.074322+0.045469i,-0.041426+0.042643i
0.08679-0.3294i,-0.12752-0.45146i,-0.29814-0.37494i,-0.26298-0.20035i,-0.15172-0.098588i,-0.079514-0.074286i,-0.036171-0.065002i,-0.020895-0.035016i,-0.0069295+0.016753i,0.017289+0.033523i,0.011021+0.013639i,-0.012877+0.0038283i,-0.017682+0.0030146i,-0.01571+0.00018171i,-0.026992-0.0021312i,-0.045314+0.0014795i,-0.046224+0.014035i,-0.023175+0.022043i,-0.001436+0.016958i,0.0031811+0.0053191i,-0.0012514-0.01196i,-0.011898-0.031058i,-0.027592-0.032707i
0.28082+0.27767i,0.35875+0.3056i,0.29457+0.28139i,0.22046+0.18438i,0.18444+0.016609i,0.098591-0.092018i,0.012612-0.068919i,0.00034367-0.02993i,0.0086995-0.034496i,0.0079543-0.016525i,0.018628+0.0093277i,0.01914+0.0089676i,0.0077284+0.011748i,0.018443+0.017168i,0.049052+0.0048913i,0.070331-0.023352i,0.064308-0.050903i,0.041348-0.056496i,0.031788-0.045767i,0.043337-0.037083i,0.054732-0.028001i,0.054018-0.0099092i,0.048627+0.00372i
-0.15453+0.086721i,-0.075709-0.050843i,-0.062176-0.23444i,-0.16316-0.16727i,-0.16573+0.08034i,-0.038016+0.17267i,0.021399+0.089512i,-0.0039461+0.032992i,-0.024139+0.035135i,-0.025758+0.025845i,-0.023496+0.0089566i,-0.014566+0.0028961i,-0.0099423+0.0029755i,-0.023923+0.016867i,-0.04287+0.042259i,-0.045767+0.061286i,-0.036863+0.057842i,-0.032131+0.038255i,-0.038925+0.032997i,-0.045562+0.044136i,-0.039593+0.044819i,-0.027632+0.028429i,-0.017841+0.017079i
-0.27422+0.065873i,-0.25351+0.37786i,-0.019194+0.45064i,0.1471+0.10979i,0.060268-0.21309i,-0.066123-0.22356i,-0.062742-0.10879i,-0.02442-0.049201i,-0.010988-0.030271i,-0.013036-0.0043336i,-0.010892+0.029678i,-0.0032141+0.043127i,-0.00073385+0.03269i,0.004959+0.0076221i,0.01151-0.021137i,0.014133-0.035185i,0.021713-0.031256i,0.027614-0.030895i,0.0098288-0.046676i,-0.029844-0.051827i,-0.057751-0.034427i,-0.056224-0.013371i,-0.038558-0.0019757i
0.031676-0.54018i,-0.20647-0.7356i,-0.30277-0.47781i,-0.092982-0.0011106i,0.13707+0.23966i,0.16962+0.24175i,0.11392+0.18202i,0.067816+0.10904i,0.028789+0.044481i,0.005613-0.0080388i,-0.0095372-0.054183i,-0.019058-0.073042i,-0.011756-0.065661i,-0.00017013-0.050107i,0.00035588-0.040515i,-0.017845-0.042095i,-0.045765-0.035905i,-0.047406-0.0093018i,-0.0079827+0.0092479i,0.041106-0.00061742i,0.063686-0.019423i,0.054235-0.031479i,0.025786-0.034442i
0.50162+0.25961i,0.66051+0.16433i,0.37446+0.019489i,-0.076747-0.0014246i,-0.25463+0.00068269i,-0.23454-0.094607i,-0.21245-0.13794i,-0.15197-0.074681i,-0.059476-0.014592i,0.0083013+0.01477i,0.045424+0.030411i,0.049867+0.032319i,0.029542+0.037906i,0.020101+0.051057i,0.039176+0.061343i,0.079106+0.061198i,0.10718+0.034355i,0.083335-0.0068219i,0.027931-0.019142i,-0.0071659+0.00031608i,-0.012524+0.017716i,-0.0056259+0.022814i,0.0062994+0.023111i
-0.34632+0.38762i,-0.2201+0.50461i,0.022671+0.23628i,0.073902-0.14663i,-0.0027034-0.21374i,0.04084-0.065527i,0.098781-0.012508i,0.029481-0.021888i,-0.044044+0.018562i,-0.047235+0.059626i,-0.033583+0.066003i,-0.025816+0.052402i,-0.021621+0.028152i,-0.030936+0.0056673i,-0.055549-0.0033786i,-0.079945+0.007094i,-0.07604+0.027764i,-0.038239+0.036502i,-0.0026977+0.028263i,0.0020156+0.015253i,-0.0091665+0.0061853i,-0.014755+0.00034244i,-0.01536-0.0054093i
-0.3991-0.37379i,-0.57676-0.24673i,-0.36785+0.060623i,0.073693+0.1791i,0.26065+0.067308i,0.16429+0.0034815i,0.10095+0.023136i,0.1088-0.0042286i,0.066462-0.063241i,-0.006208-0.068412i,-0.03475-0.037845i,-0.029335-0.021832i,-0.02484-0.017765i,-0.015506-0.0090072i,0.0061041-0.0089687i,0.017043-0.023867i,0.010426-0.0313i,0.0055465-0.027431i,0.0036654-0.025401i,0.0047612-0.02161i,0.0095642-0.013709i,0.00999-0.0044146i,0.010176+0.0034209i
0.47577-0.34799i,0.42553-0.57825i,0.082595-0.4537i,-0.20766-0.059608i,-0.22838+0.15796i,-0.17507+0.10054i,-0.16614+0.02106i,-0.12193+0.020711i,-0.046116+0.029282i,0.0033825+0.0028164i,0.015003-0.024711i,0.019406-0.02712i,0.029818-0.022534i,0.027455-0.022011i,0.016571-0.022255i,0.0088646-0.028814i,-0.0048574-0.035576i,-0.016615-0.022527i,-0.011397-0.0024126i,-0.0053569+0.0016739i,-0.0041551-0.0026495i,0.00028255-0.011363i,0.001401-0.018629i
0.17211+0.54647i,0.36962+0.57975i,0.38055+0.24592i,0.19387-0.10979i,0.073194-0.18268i,0.11523-0.11091i,0.14533-0.062004i,0.082552-0.034081i,0.021329+7.6832e-05i,0.009885+0.028883i,0.012862+0.038218i,0.0030395+0.03732i,-0.01153+0.037952i,-0.017448+0.041266i,-0.0052746+0.054541i,0.029828+0.069606i,0.062059+0.059027i,0.055313+0.02704i,0.017383+0.0073852i,-0.010667+0.0077583i,-0.016034+0.01035i,-0.013856+0.011636i,-0.009952+0.014905i
-0.54596-0.0092047i,-0.60992+0.13663i,-0.35468+0.21825i,-0.081278+0.14672i,-0.026713+0.073378i,-0.058263+0.081581i,-0.044438+0.073016i,-0.015721+0.027585i,-0.016861-0.0021846i,-0.03378+0.0019963i,-0.041068+0.012928i,-0.038749+0.0095759i,-0.031966-0.0027393i,-0.022347-0.018703i,-0.023703-0.035476i,-0.04044-0.03354i,-0.04515-0.0064836i,-0.025043+0.016752i,0.0041227+0.017223i,0.02315+0.0086423i,0.023408+0.0060314i,0.016696+0.0072289i,0.0094652+0.0015983i
0.11351-0.44242i,0.027934-0.50346i,-0.032745-0.29507i,0.03605-0.057633i,0.10714+0.0162i,0.076442+0.021345i,0.033337+0.052387i,0.033238+0.063815i,0.031243+0.032845i,0.012307-0.0038427i,0.0025012-0.022713i,0.0078014-0.030258i,0.0049753-0.030849i,-0.0084885-0.014245i,-0.0099832+0.0074964i,-0.00097109+0.011922i,0.0011853+0.0030475i,-0.0030946-0.0068755i,-0.013134-0.0099237i,-0.023577-0.0033379i,-0.019127+0.001243i,-0.0082308-0.0023314i,-0.0013219-0.00068811i
0.3183+0.18318i,0.33955+0.11671i,0.13832+0.027923i,-0.09432+0.035519i,-0.16451+0.052737i,-0.11242-0.0062096i,-0.066274-0.071099i,-0.068261-0.070438i,-0.063341-0.026486i,-0.034146-0.0053767i,-0.015413-0.0075292i,-0.0063695-0.00020814i,0.014475+0.0056908i,0.033087-0.0058372i,0.032441-0.01574i,0.022212-0.014021i,0.010202-0.0082337i,0.0014268+0.00055346i,0.002552+0.0016912i,0.0015359-0.012547i,-0.0042606-0.022958i,-0.0012081-0.022274i,-0.00028605-0.021831i
-0.2255+0.20646i,-0.15802+0.21671i,-0.020389+0.07514i,0.026537-0.078115i,-0.0044343-0.082997i,-0.022907+0.03268i,-0.011054+0.11575i,0.0077627+0.090583i,0.010527+0.027456i,0.013466+0.0035072i,0.026214+0.00044426i,0.021791-0.0012397i,0.0033969+0.010812i,-0.0085165+0.02801i,-0.015765+0.038244i,-0.016161+0.03952i,-0.010222+0.031342i,-0.012888+0.020128i,-0.018355+0.01894i,-0.007449+0.026784i,0.0047667+0.031205i,0.00098823+0.033944i,-0.0018976+0.032586i
-0.11313-0.23465i,-0.12045-0.18896i,-0.044534-0.082973i,0.044766-0.06579i,0.07759-0.11657i,0.057114-0.16101i,0.02461-0.15838i,0.008203-0.10336i,-0.00031964-0.04653i,-0.01688-0.0099488i,-0.029477+0.014176i,-0.032882+0.013501i,-0.036201-0.0025549i,-0.029543-0.015642i,-0.013408-0.030436i,-0.0065744-0.038028i,-0.0078579-0.026463i,-0.0065558-0.016328i,-0.0051189-0.020211i,-0.0096743-0.019965i,-0.014044-0.0099024i,-0.0087496-0.0073616i,-0.0012601-0.012376i
0.18691+0.012439i,0.15665+0.050836i,0.11256+0.12278i,0.12602+0.19375i,0.11828+0.22806i,0.059571+0.22383i,0.017165+0.18268i,0.0014057+0.10613i,-0.010216+0.040257i,-0.015513+0.0022969i,-0.008686-0.016688i,0.010323-0.023758i,0.020179-0.029181i,0.0064855-0.024686i,-0.0094797-0.0045483i,-0.014254+0.01091i,-0.014959+0.009606i,-0.0093355+0.0029955i,-0.0034858+0.0029722i,-0.0023367+0.0055359i,0.0023628-0.0020509i,0.0049223-0.012074i,0.002222-0.0098891i
-0.095248+0.10012i,-0.18073+0.019623i,-0.28324-0.05673i,-0.35124-0.05277i,-0.31493-0.056024i,-0.19984-0.083411i,-0.094643-0.075048i,-0.029992-0.043267i,0.0057179-0.02807i,0.018095-0.02703i,0.01074-0.020115i,0.0025702+0.0016165i,0.019028+0.020426i,0.046663+0.013995i,0.053626-0.0057721i,0.039562-0.017682i,0.018444-0.019002i,0.0010752-0.010981i,-0.00062852-0.006785i,0.0085355-0.014716i,0.012456-0.013427i,0.012546+0.0012415i,0.010729+0.0072579i
-0.010111-0.1283i,0.12768-0.19725i,0.25795-0.25232i,0.27303-0.27968i,0.20025-0.22i,0.09896-0.10258i,0.013018-0.02647i,-0.022354-4.7423e-05i,-0.014247+0.0093433i,0.011958+0.015127i,0.033005+0.013594i,0.027599+0.010419i,0.00095722+0.023112i,-0.021261+0.04265i,-0.026079+0.044538i,-0.018539+0.025158i,-0.010486-0.0029724i,-0.014989-0.018525i,-0.026187-0.0040276i,-0.023773+0.027946i,-0.014001+0.041849i,-0.01292+0.034835i,-0.0095787+0.031013i
0.095477+0.058399i,0.11439+0.22571i,0.11071+0.34573i,0.1074+0.34394i,0.095872+0.26764i,0.081499+0.15843i,0.06958+0.063832i,0.050722+0.016282i,0.025475+0.0037355i,-0.0068845+0.0065797i,-0.029712+0.013154i,-0.036514+0.0050167i,-0.040141-0.016668i,-0.034308-0.032106i,-0.015238-0.034133i,0.0057516-0.023925i,0.024597-0.013202i,0.034561-0.023685i,0.021064-0.051525i,-0.012084-0.062779i,-0.02989-0.046441i,-0.019224-0.032584i,-0.012206-0.034485i
-0.12611+0.073347i,-0.273+0.066457i,-0.34266+0.036149i,-0.31428+0.017139i,-0.26318+0.0055264i,-0.20719+0.0096042i,-0.12768+0.016953i,-0.064517+0.009099i,-0.03603+0.0033661i,-0.013671-0.0025355i,0.0062283-0.013948i,0.021626-0.019984i,0.031916-0.023131i,0.028104-0.023976i,0.012056-0.015635i,-0.0054097-0.0044381i,-0.013183+0.005107i,-0.0022208+0.019287i,0.024462+0.034014i,0.045058+0.033665i,0.041722+0.01885i,0.023715+0.0098136i,0.012245+0.011624i
-0.048968-0.18155i,-0.028904-0.34377i,-0.013991-0.39021i,-0.0066175-0.31494i,0.022975-0.23102i,0.038786-0.16975i,0.013705-0.098882i,-0.0054892-0.033135i,0.0006341-0.0041263i,0.0081447+0.0027253i,0.0049398+0.0076063i,-0.00030633+0.017831i,0.010287+0.033872i,0.035215+0.0402i,0.052833+0.029018i,0.056394+0.012925i,0.047768+0.0005606i,0.027433-0.0046723i,0.0061333-0.0045804i,-0.005035-0.004264i,-0.0065895+0.0011207i,-0.0018748+0.0095211i,0.004777+0.010876i
0.2052+0.0054i,0.36969+0.074259i,0.42875+0.11491i,0.35684+0.10097i,0.23551+0.10011i,0.14682+0.097613i,0.099455+0.051376i,0.06066-0.0037267i,0.023879-0.019538i,0.015091-0.0034062i,0.02486+0.0074053i,0.015662+0.0061767i,-0.018185+0.013097i,-0.05417+0.030709i,-0.069991+0.042556i,-0.059144+0.04066i,-0.034737+0.027413i,-0.017307+0.013561i,-0.019034+0.012639i,-0.028298+0.020824i,-0.030956+0.020618i,-0.029202+0.011766i,-0.023061+0.0060511i
-0.091506+0.20648i,-0.20627+0.34311i,-0.27368+0.35221i,-0.27024+0.25201i,-0.23631+0.1362i,-0.18191+0.050348i,-0.12033+0.020531i,-0.059013+0.034671i,-0.013455+0.037334i,-0.014449+0.021262i,-0.033078+0.012506i,-0.036594-0.001806i,-0.031419-0.027532i,-0.01992-0.051679i,-0.0056237-0.062766i,0.0021076-0.046792i,0.0075241-0.015846i,0.015803-0.0073357i,0.018416-0.033081i,0.012071-0.060277i,0.0050258-0.061976i,0.0037492-0.04987i,0.0019861-0.040237i
-0.19083-0.12623i,-0.27205-0.25185i,-0.20746-0.30091i,-0.050497-0.27591i,0.057396-0.22198i,0.093291-0.11706i,0.10425-0.032973i,0.068324-0.022089i,0.013001-0.019984i,0.002627-0.0077018i,0.020229-0.0089373i,0.03764-0.015075i,0.049698-0.017831i,0.050551-0.013651i,0.041648-0.004765i,0.021798-0.0036481i,-0.0034827-0.0021812i,-0.010839+0.018792i,0.010486+0.052283i,0.036946+0.068134i,0.04048+0.054534i,0.025259+0.033764i,0.014343+0.026751i
0.15193-0.17006i,0.25066-0.24079i,0.22111-0.1585i,0.11624+0.018108i,0.049647+0.10189i,-0.01932+0.057178i,-0.086838+0.016397i,-0.075965+0.018301i,-0.025914+0.0098952i,-0.0063137-0.0020851i,-0.0099377+0.0060927i,-0.012714+0.026939i,-0.0047837+0.05126i,0.012148+0.066306i,0.027146+0.062292i,0.038775+0.044087i,0.043061+0.020603i,0.025526+0.001176i,-0.0097663-0.010352i,-0.036378-0.013404i,-0.035723-0.0073247i,-0.016119+0.0003613i,-0.00069458+0.00045401i
0.14068+0.17838i,0.21155+0.28346i,0.18439+0.21039i,0.068204+0.046635i,-0.010403-0.00020406i,0.013368+0.035881i,0.062552+0.045699i,0.06528+0.027142i,0.039328+0.019101i,0.025651+0.028038i,0.023962+0.028271i,0.0080372+0.011312i,-0.028377-0.0055026i,-0.066702-0.010234i,-0.086538-0.0054794i,-0.081972+0.0037796i,-0.062284+0.011803i,-0.039814+0.010274i,-0.022508+0.0045868i,-0.013094+0.0022574i,-0.010053-0.00050188i,-0.01492-0.0025414i,-0.019974-0.0014661i
-0.21883+0.10238i,-0.33119+0.16889i,-0.26699+0.16274i,-0.11795+0.082682i,-0.05884-0.0018754i,-0.058686-0.05673i,-0.068658-0.076638i,-0.076755-0.04198i,-0.057912+0.00042406i,-0.044476+0.0047225i,-0.046373-0.0020947i,-0.033423-0.012535i,-0.0094204-0.033249i,0.016898-0.051972i,0.037877-0.057938i,0.036283-0.044917i,0.019759-0.023329i,0.0093029-0.013062i,0.011865-0.01919i,0.02187-0.027972i,0.029075-0.027387i,0.028506-0.024246i,0.020252-0.021987i
-0.073223-0.23021i,-0.12091-0.34129i,-0.10516-0.25837i,-0.0091753-0.088312i,0.060721+0.0057305i,0.061511+0.082517i,0.071068+0.12721i,0.074233+0.071325i,0.033277+0.0090192i,0.0095718+0.0019907i,0.021247+0.0061095i,0.039268+0.0090611i,0.055776+0.014173i,0.056216+0.02026i,0.037458+0.026307i,0.014891+0.017719i,-0.0026121+0.0011159i,-0.0093979+0.0050527i,-0.006885+0.031862i,-0.0058675+0.055947i,-0.0093799+0.055802i,-0.010323+0.03915i,-0.0060406+0.025645i
0.22653-0.049901i,0.32097-0.10499i,0.19513-0.12253i,-0.032669-0.057754i,-0.11825-0.014733i,-0.10017-0.084603i,-0.10717-0.13295i,-0.096604-0.076968i,-0.043599-0.022447i,-0.015244-0.015551i,-0.024172-0.011476i,-0.040509+0.008364i,-0.046208+0.036665i,-0.037923+0.054556i,-0.019542+0.050803i,0.0061077+0.034429i,0.024196+0.017472i,0.015887-0.00022733i,-0.011454-0.023112i,-0.029473-0.04095i,-0.023159-0.03705i,-0.0063377-0.018863i,0.0041022-0.0073747i
0.0077996+0.23094i,0.08129+0.34777i,0.19071+0.24184i,0.22522+0.0076863i,0.16386-0.066269i,0.11642+0.034818i,0.11034+0.10008i,0.079045+0.070336i,0.024547+0.038819i,-0.00035726+0.038662i,0.0078245+0.030561i,0.012242+0.00065613i,-0.0062477-0.030893i,-0.033995-0.046879i,-0.051258-0.043406i,-0.05356-0.02556i,-0.045661-0.0079061i,-0.027581-0.0016192i,-0.0010995+0.00057923i,0.020037+0.0090426i,0.019979+0.014339i,0.0053681+0.0089536i,-0.0047004+0.0038423i
-0.25173-0.020854i,-0.40105+0.038934i,-0.37526+0.17591i,-0.20501+0.25743i,-0.078871+0.18224i,-0.047356+0.043226i,-0.043339-0.042625i,-0.040101-0.055585i,-0.029707-0.038961i,-0.0224-0.035093i,-0.02464-0.03142i,-0.013778-0.01943i,0.0087686-0.015153i,0.029933-0.015966i,0.045158-0.014378i,0.04043-0.011331i,0.021504-0.0072841i,0.0063776-0.0028411i,-0.004404-0.00058745i,-0.0095113+0.00010496i,-0.0028291-8.1908e-05i,0.0092171-0.003342i,0.011172-0.005988i
