0.00061929+4.6681e-05i,0.00095354-0.00049429i,-0.00066607-0.0015912i,-0.0020155-0.0018086i,-0.0022982-0.00085017i,-0.0019569-0.0004687i,-0.0010582-0.00056846i,-0.00011812+0.00027675i,0.00036303+0.00072075i,0.0004559-0.00039777i,0.00011127-0.00071575i,8.7923e-05-0.00080547i,0.00017721-0.00045742i,-0.0002541+0.0001962i,-0.00062744+0.00070425i,-0.0010085+0.0009785i,-0.00057035+0.00035987i,8.9824e-05-0.00082876i,0.0004363-0.0006327i,0.0002341-0.00030115i,-0.00041556-0.00049182i,-0.00088847-0.00031103i,-0.00072333-0.0002827i
0.001505-0.0024828i,0.0013569-0.0011995i,0.0014217+0.00044556i,0.0012322+0.00036174i,0.00088379-0.00049683i,0.000615-0.001041i,-4.4453e-05-0.0012668i,-0.00042685-0.00097038i,-0.00034829-0.00087079i,-0.00042023-0.00078455i,-0.00058601-0.00021555i,-0.00079505-2.7584e-05i,-0.00070545-0.00026163i,-0.00035732-0.00096749i,-0.00032557-0.0013191i,-0.0003276-0.0012734i,-0.00033467-0.0010075i,-0.00029516+0.00021901i,0.00016699+0.0009213i,0.00045035+0.00052815i,4.7999e-05-0.00026195i,-0.00038799-0.0013137i,-0.00015929-0.0012027i
-0.00045469-0.00019783i,-0.00029275-0.00049076i,-0.00073187+0.00015116i,0.00056248+0.00057011i,0.0020716+0.00054444i,0.0015852-0.00037009i,0.00091759-0.0014152i,0.00040254-0.0011363i,-0.00079351-5.8652e-05i,-0.001121+0.0001633i,-0.00028218+0.00038071i,0.00052572+0.00011297i,0.00045498-0.00054548i,0.00029389-0.00040495i,-0.00045967-0.0002332i,-0.00089353+8.7988e-05i,-0.00032234+0.00067634i,9.7237e-05+0.0005022i,0.00054742-7.4324e-05i,0.0011031-0.00024318i,0.00067734-0.00041259i,-0.0003088-0.00058101i,-0.00016015-0.00026341i
7.7925e-05-0.00083273i,-2.1487e-05-0.0013392i,0.00057484-0.00077988i,0.00096205+9.708e-05i,0.00064068-0.00059074i,0.00037162-0.0010113i,-9.8645e-05-0.00076175i,-0.00042407-0.00085681i,0.00022955-0.0011013i,0.00021525-0.0013283i,-0.0010397-0.001085i,-0.001094-0.00046959i,-0.0007559-0.00029103i,-0.00055812-0.00031448i,-0.00033186+0.00047512i,-8.663e-05+0.0014978i,4.353e-05+0.0016879i,-0.00016919+0.0013722i,-4.4588e-05+0.00056774i,0.00024828-0.00052422i,-0.00017805-0.00043537i,-0.00085671-6.6149e-05i,-0.00048211-0.00018341i
1.7033e-05-0.0014i,0.0003263-0.0018631i,0.00047011-0.0015844i,0.0010211-0.0014525i,0.00086718-0.0018682i,-0.00022672-0.0021333i,-0.00055767-0.00081319i,-2.534e-05+6.8634e-05i,6.9593e-05-0.00058289i,-0.00045132-0.00060735i,-0.000528+0.00024808i,-0.00054255+0.00025845i,-0.00080884-0.00034545i,-0.00049831-0.0002985i,-2.162e-05+0.00029384i,9.2178e-05+0.0005358i,0.00010697+3.3902e-05i,0.00025847+6.9448e-05i,-0.00043037-3.0931e-05i,-0.00060684-0.0010223i,-6.3414e-05-0.0010311i,-5.0167e-05-0.00059038i,-0.00030957-0.00019434i
0.0017239-0.00020453i,0.0011831+0.00032495i,0.00079131+5.6913e-05i,-2.2475e-05-0.0010692i,-0.0010771-0.0019096i,-0.0018155-0.001878i,-0.0010948-0.0006371i,1.2582e-05+0.0002447i,0.00078139-0.00033687i,0.00091598-0.00041828i,-8.0357e-05+0.0001064i,-0.00027733+0.00037259i,0.00010337+0.00058409i,0.00048899+0.00026484i,0.00074425+0.00017561i,7.5587e-05+0.00071917i,-0.00047375+0.00088412i,0.00014036+0.00075296i,0.00031022+0.00051213i,4.0215e-05+0.00036358i,-0.00058447+0.00031275i,-0.00069459-0.00051883i,-6.722e-05-0.00030494i
0.00095004-0.00087703i,0.0016085-0.00074803i,0.0010876-4.6899e-05i,0.00092504+0.0004141i,0.00078242-0.00029641i,0.00036924-0.00052862i,-0.00016114-0.00025831i,-9.7758e-05-0.00067134i,1.6172e-06-0.00089303i,-0.00068572-0.00044576i,-0.00083719-3.312e-05i,-0.00027735+0.00020752i,-8.6465e-05+0.00019992i,-0.00012525+0.00015804i,-0.00054279-5.5937e-05i,-0.00064343+0.00069229i,-2.8281e-05+0.0014728i,-0.00017196+0.0010372i,4.8351e-05-0.00037347i,0.00060828-0.00091224i,0.00058039-0.00098855i,0.00022426-0.0011582i,0.0004256-0.00071754i
-7.1577e-05-0.0015953i,-1.5003e-06-0.0005692i,-0.00082935+0.0002699i,-0.00046625+0.00016093i,0.00020857-6.0552e-05i,0.0002882-0.00080753i,0.00017824-0.0011347i,0.00050874-0.00092544i,-1.7348e-05-0.00052538i,-0.00059588-0.00087125i,-0.00075049-0.00098247i,-0.00071474-0.00059932i,-0.00023763-0.00043893i,-0.00017315-0.00035246i,-0.00055651-0.00058412i,-0.00048353-0.00072172i,-0.00030248-0.0007975i,-3.2782e-05-0.00089094i,0.00063368-0.0013904i,0.00093134-0.0018661i,-2.9856e-05-0.0012777i,-0.00096867-0.00054722i,-0.00045126+0.00019871i
-0.00039664-0.00088569i,0.00047862-0.0011292i,0.00082082-0.00030109i,0.00053402-0.00016572i,0.00054017-0.00093382i,0.00015991-0.0014369i,-0.00096836-0.0017789i,-0.001005-0.0013175i,-0.0007813-0.00031441i,-0.00044116-0.00034857i,-0.00029683-0.0012509i,-0.00069705-0.0017709i,-0.0010878-0.0012991i,-0.0013519-0.00053481i,-0.00091466-0.00011191i,-0.00060032+0.00065094i,-0.00052253+0.00026453i,-0.00027842-0.00051662i,-0.00047238-0.00071426i,-0.00085075-0.00056179i,-0.0011237+5.6362e-06i,-0.0011204+0.00022511i,-0.00078848+0.00012686i
0.0024129-0.00073532i,0.0021556-0.0006304i,0.0014106-0.00037387i,0.00099223-0.00025866i,0.00064675-8.6682e-05i,-0.00017169+5.7001e-05i,-0.00012564-0.00075447i,0.00084133-0.0011863i,0.0014883-0.00050732i,0.00071016-0.00044825i,-1.3836e-06-0.00093392i,3.7143e-05-0.00068411i,4.32e-05-0.000746i,-0.00040003-0.0013072i,-0.00053087-0.0011063i,-0.0002092-0.00022214i,0.00037646+0.00044905i,0.00086872+0.00081524i,0.0011549+0.00018662i,0.0010219-0.00044323i,0.00019215-0.00069692i,-0.0003808-7.9984e-05i,-0.00059259+0.00029422i
-0.0012199-0.001287i,-0.00079879-0.0014129i,1.6524e-05-0.0011365i,0.00035517-0.0013971i,0.00048941-0.001606i,0.00031818-0.0014608i,-0.00017639-0.0010889i,-0.00023754-0.00078698i,-0.00032348-0.001331i,-0.00053189-0.0015332i,-0.00069015-0.00077003i,-0.0010049+0.0001772i,-0.0011801+0.00057062i,-0.0005483+0.00082543i,-4.2355e-05+0.00045967i,0.00011807-0.00058964i,-0.00033537-0.0010416i,-0.00019838-0.00013528i,0.00033344+0.00034476i,0.00010069-0.00051335i,-0.00020113-0.00069392i,-0.00089982-0.00010346i,-0.00085273+0.00046001i
