-0.0029892+0.00058077i,-0.0025301+0.0016326i,-0.0013878+0.001201i,-0.00080585+0.0012346i,-8.7664e-05+0.0010414i,0.00046383+0.00099257i,0.00047246+0.0014653i,0.00047838+0.00079468i,0.00045079-0.00024171i,0.00052778-0.00021096i,0.00074569-0.00042401i,0.00075797-0.00063442i,0.000575-0.00016999i,0.00052078-6.7544e-05i,0.00042433+0.00014053i,0.00064768-0.00018352i,0.00086329-0.00076242i,0.00033926-0.00050657i,0.00029874-2.8055e-05i,0.00078145-8.8343e-05i,0.00076367+0.00028106i,-0.0001641+0.00092723i,-0.00017024+0.0013138i
-0.0011149+0.00054828i,-0.00061814-0.00057273i,-9.7899e-05-0.00086292i,-0.00061778-0.00057646i,-0.00066517-0.00048111i,0.00017955+0.00035504i,0.0011306+0.00049159i,0.001875+0.0006748i,0.0016866+0.000968i,0.00094727+0.00058286i,0.00034702-0.00017404i,-0.00036459-0.00062119i,-0.00044486-7.0284e-05i,-0.00015952+0.00087596i,7.7484e-05+0.00082694i,-0.00010103+0.00071374i,-0.00054845+0.00081627i,-0.001065+0.00069889i,-0.0011976+5.7465e-05i,-0.00083975+0.00026403i,-0.00095506+0.00080469i,-0.00069629+0.00041226i,0.00062507-0.00044816i
-0.00092393-0.00030173i,-0.00032179+0.00030469i,0.00096551+0.00017303i,0.00025234-0.0008379i,-0.00080879-0.0012809i,-0.00040089-0.00070268i,0.00017711-0.00032112i,0.00013899-0.00052863i,0.00023476-9.7059e-05i,0.00042049+0.0012081i,-0.00011565+0.001136i,-0.00086934+0.00018974i,-0.00036945-0.00021972i,0.00082345-0.00079397i,0.00121-0.0009333i,0.0010402-0.0003441i,0.0010077+0.00026285i,0.00072558+0.0010546i,0.00041865+0.00090605i,0.00027701+0.00014579i,0.00020534-7.2989e-05i,0.00013465+2.2773e-05i,8.5958e-05-0.00021108i
5.9571e-07+0.0010553i,0.00082564+0.00043607i,0.0012398+0.0005522i,0.0015427+0.00078508i,0.001106+0.00013307i,0.0011768-0.00036085i,0.00068461-0.00021025i,-0.00034791+0.00032089i,-0.0004953+0.00024647i,-0.00064132-0.0006916i,-0.0007131-0.0011301i,-0.00061813-0.0011003i,-5.3419e-05-0.0010424i,-0.00033953-0.00087335i,-0.0011578-0.0005819i,-0.00092103-0.0007215i,-0.00032547-0.00040369i,0.00040463-1.959e-05i,-0.00014045+0.00058236i,-0.00092789+0.00062363i,0.00034951+0.00030786i,0.0013148-0.00042747i,0.00066464-0.00071338i
-0.0012339+0.00093685i,-0.00038358+0.001496i,-0.00020493+0.00091923i,-0.00031568+0.00028075i,0.00029634+0.0006814i,0.0015366+0.00099525i,0.0015706+0.00045249i,0.00035921+0.00017792i,-0.00049494-0.00014589i,0.00027752-0.00023209i,0.00086245-0.00056104i,0.00063943-0.00051265i,0.00011965-0.00030821i,0.00065816-3.1442e-05i,0.00090679+0.00037299i,0.00072462-0.00074509i,0.00090494-0.0013557i,0.0006067-0.0010444i,-5.4754e-05-0.0012105i,-0.00020829-0.00074483i,-2.3947e-05-0.00031721i,0.00021884+2.6944e-05i,0.00074658-0.00031223i
-0.00043934+0.0027337i,-0.00020997+0.0015704i,0.00066804+0.00052523i,0.00097465+0.00012133i,0.00017983+0.00039876i,-0.00049804+0.0009825i,-2.6416e-05+0.00056573i,0.000704-0.00013144i,0.00038104+3.045e-05i,0.00017846+0.0001276i,-0.00021363+0.00011332i,-0.0010914+6.311e-05i,-0.00067693+0.00030667i,-0.00065598+0.00012135i,-0.00075122-6.4589e-05i,-0.00033775-3.0445e-05i,-0.00036272+0.00040434i,4.2392e-05+0.00081265i,0.00042682+0.00051022i,0.00036869+0.00043585i,-0.00014833-0.00030241i,-0.00075-0.00026545i,-0.00080618-7.6619e-06i
-0.0017993+0.00074814i,-0.0015903+0.00096641i,-0.00030368+2.4645e-05i,0.00041046-0.00065688i,0.00039556-0.00038823i,0.00042141-0.00030947i,0.00023537-0.00068974i,0.00027215-0.00071698i,0.00065947-0.00015574i,0.0011829-0.00022214i,0.00079206-0.00052243i,0.00038236-0.00060624i,0.0002335-0.00092073i,-0.00011488-0.00095713i,-0.00059172-0.00057002i,-0.00051152-0.00026052i,-0.00059349-0.00052527i,-0.00071853-0.00063518i,-0.00052855-0.00016726i,-0.00085463-0.00017363i,-0.0013479-0.0001579i,-0.00069045+0.00037772i,7.4896e-06-0.00062841i
-0.00050175+0.001365i,-0.00014863+0.001007i,3.7398e-05+0.00068423i,8.625e-05-0.00021555i,3.2493e-05-0.00039766i,0.00038465-0.00023846i,0.00033111-7.0423e-05i,-0.00070995+0.00073653i,-0.00062953+0.0008226i,0.00028598+0.0006101i,7.7153e-05-5.844e-05i,-9.7539e-05-0.00085053i,2.7534e-05-0.00034929i,-0.00048156-0.00012877i,-0.0013263-0.00066337i,-0.001332-0.00063688i,-0.00052659-0.00067801i,-0.00024919-0.00080902i,-0.00067519-0.00044034i,-0.00039036-9.1564e-05i,0.00016476+0.00029744i,0.00034567+0.00048964i,0.00048779+0.00053079i
0.00049063+0.0017781i,0.0015079+0.0010354i,0.0012591+0.00015722i,0.0003862-0.0006493i,6.4727e-05-0.0016493i,0.00035891-0.0009441i,0.00049991+0.00014422i,0.0012949+0.00021022i,0.0014792+6.6888e-05i,0.0011086-0.00056435i,0.00061402-0.0013102i,-0.00066086-0.00092627i,-0.0010399-0.00024522i,-0.00054128-0.00060625i,-0.0008103-0.00048681i,-0.0010242+0.00045624i,-0.00061954-0.0001934i,3.7223e-06-0.00089794i,5.0814e-05-0.00075644i,-0.00055025-0.00014393i,-0.00061995+0.00024142i,4.8825e-05+0.00014794i,1.4046e-05+0.00017072i
-0.00012451-0.0010472i,-0.00097007+0.00021806i,-0.0019584+0.00023473i,-0.00071446+9.1323e-05i,0.00025398+0.00051789i,0.0013843+0.001225i,0.0012084+0.0014747i,0.00082468+0.0015954i,0.00077839+0.00086696i,6.2622e-05-0.00045095i,-0.00036001-0.00073733i,-0.00050324-0.0010248i,0.00019646-0.00078963i,0.00039317-1.5414e-05i,0.00019219+0.00042204i,0.00040176+0.0003052i,0.00058679-0.00028071i,-0.00040174-0.00043867i,-0.0012597-0.0010251i,-0.00085931-0.0016482i,-0.0008696-0.00072593i,-0.0011385+0.00036447i,-0.00044909+0.00084464i
