-0.003568+7.5957e-05i,-0.0023353+0.00071392i,-0.00078903+0.00019582i,0.00020964+0.00034014i,9.6953e-05+0.0016345i,-0.00014605+0.0022699i,-0.00045455+0.0016934i,-0.00029502+0.00074548i,0.00052488-0.00056809i,0.00041838-0.0007709i,-0.00026047-0.00085831i,-0.00059277-0.00076191i,-0.0008377-5.8016e-05i,-0.00062146+0.00032438i,-0.00022056+0.00020072i,0.00033551-3.2712e-05i,0.000236+0.0001638i,-8.6273e-05+0.00031405i,0.0002424+0.0002418i,0.0010797-4.9027e-05i,0.0008984-0.00038122i,0.00010646+0.0001813i,-1.258e-05+0.00038911i
0.00020794-0.00046427i,-0.00071965-0.0010263i,-0.001994+0.00016264i,-0.0017001+0.0009568i,0.00040099+0.00053408i,0.00061621+7.9227e-05i,-0.00015489-0.00010805i,2.4391e-05+9.7436e-07i,0.00047208+0.0002131i,0.0002479+0.00010564i,-0.00018532-0.00038727i,0.0007375-0.00026752i,0.00041629-0.00021514i,-0.00029164-0.00071712i,-0.00035837-0.00089638i,-0.00012724-0.00059817i,0.0003951-0.00089567i,-0.00015446-0.00087099i,-0.00014051-0.00025592i,0.00033521-0.00010471i,-0.00018892+0.00032126i,-0.0005579+3.9348e-05i,6.939e-05-0.00079318i
0.0010173+0.00024983i,0.0014949+0.00014489i,0.002426-0.0011327i,0.0016341-0.0014836i,0.00086966-0.00094383i,0.00073445-0.00031983i,0.00021576-0.00055744i,0.00011256-0.00095911i,0.00051535-0.00075125i,0.0001782-0.00059767i,-0.00037269-0.00029305i,-0.000197+0.00045198i,-0.00051278+0.00061369i,-0.00047381+0.00011366i,1.1864e-05+0.00032338i,-0.00022296+0.00064993i,7.7295e-05+0.00010242i,0.00075736-0.00074171i,0.00084001-0.00026143i,0.0011882+0.00048077i,0.00081813+0.00051808i,-9.7397e-06+0.00041582i,0.00031928+0.00061913i
-0.00010573-0.00025981i,-0.00042216-9.1976e-06i,-0.00011862+0.00039822i,0.00065215-2.789e-05i,0.00050121-0.0007012i,0.00026764-0.00057214i,-0.00035902-0.00031053i,-0.0010513-0.00042234i,-0.00014378-0.00055131i,0.00086715-2.9001e-05i,0.00083966-2.0191e-05i,0.00041836-0.001126i,0.00066842-0.00071352i,0.00043933+0.00037136i,0.00043395+0.00046772i,0.00093721+0.00032672i,0.00065901+0.0001026i,0.00024583+0.00041761i,-0.00032903-0.00014119i,-0.00021876-0.00079589i,0.00048994-0.00044435i,0.00090652+7.4818e-05i,0.0011339-0.00014569i
-0.00072416-0.0010194i,0.0006651-0.0012541i,-5.9936e-05-0.0013496i,-0.00057818+0.00050943i,1.0665e-05+0.0032603i,0.00037346+0.0032817i,0.00050844+0.0014i,0.00033864-0.00034272i,0.00040154-0.0011016i,0.00023501-0.00053983i,0.00029898+0.00021382i,0.00050738+0.00036711i,0.00053528+0.00043115i,6.1812e-05+0.00075113i,-0.00017079+0.00084841i,0.00015313+0.00076407i,-7.7742e-05+0.00077525i,-0.00064149+0.0006324i,-0.00021529+0.00028497i,0.00013093-0.00021639i,0.00033654-0.00081537i,0.00061442-0.0010977i,0.00088202-0.00061527i
-0.0010468+0.0032344i,-0.00033106+0.0030897i,8.896e-05+0.0030269i,0.0004041+0.0015745i,0.0010098+0.00033045i,0.0015961-0.00028075i,0.00073529-0.00050414i,-0.00030992-0.00042855i,-0.0001257-0.00059145i,0.00077637-0.0011323i,0.00060667-0.0014288i,-5.6301e-05-0.0010604i,0.00045956-0.00021073i,0.00083361+0.00078062i,-0.00017481+0.0011774i,-0.0014216+0.00062002i,-0.0015625+8.9499e-05i,-0.0010503-0.00015461i,-0.00048947-0.00024306i,-0.00027059-0.0004849i,0.00033701-0.00051713i,0.00056956-0.00055867i,0.000399-0.00016586i
-0.001461-0.0035439i,-0.0014424-0.0033266i,-0.00067877-0.0028447i,-0.00025726-0.0015069i,-0.00045269-0.0009222i,-0.00063459-0.0012002i,-0.00029491-0.0012695i,0.00031327-0.00051724i,-1.2533e-05-1.8554e-05i,-0.00029832-0.00013673i,-0.00061367-0.00038633i,-0.0012801-0.00058404i,-0.0011985-0.00047247i,-0.00099809-0.00082865i,-0.00063886-0.0013948i,-0.00037492-0.001453i,-0.00045866-0.00035369i,-0.00034473-8.3599e-06i,0.00015878-0.00057583i,0.00047687-0.00029087i,0.00018102-0.0001427i,-0.00024658-0.00020748i,-0.00027957+0.00036541i
0.0011329-0.0013387i,0.00039929-0.00093207i,-0.00028554+0.00028331i,-0.00064023+0.00098065i,-0.0005024+0.0008135i,-6.2892e-05+0.0004101i,0.00025075+2.4396e-05i,0.00019479+0.00028386i,-0.00043018-6.6256e-05i,-0.00067771-5.6604e-07i,-0.00013289+6.8086e-05i,7.0268e-06-0.00028611i,1.9505e-05-5.7722e-05i,-0.00013689-0.00033598i,-0.0010209-0.00051264i,-0.00057086+0.00033316i,0.00030728+0.00022924i,0.00021019-0.00048636i,-1.2594e-05-0.00061416i,-0.00012732-0.00045255i,1.1181e-05-3.7902e-05i,-0.00047378+6.3358e-05i,-0.00023358-0.00031714i
0.0011768+0.0028459i,0.00069622+0.0013754i,-0.00040973+0.00067268i,-0.00079243+0.0013235i,0.00015486+0.0014889i,0.00033745+0.0011959i,-0.00018426+0.00086571i,-0.00068179-8.4747e-07i,-0.00048007-0.0013353i,-0.00025602-0.00073105i,-3.6146e-05+0.00063856i,0.00058094+0.00078917i,0.00076924+0.00036952i,0.00047198+0.00018268i,8.5306e-05+0.00051805i,3.3569e-05-0.0001091i,0.00069333-0.00042646i,0.0010805-0.00020663i,0.00030934-0.0005867i,-0.00090707-0.00012959i,-0.0010874-0.00043238i,-0.0005652-0.00074526i,-0.00039527-0.00019043i
-0.0029587+0.0014734i,-0.00022855+0.0024697i,0.00092377+0.002097i,0.00089165+0.0016658i,0.00093996+0.0011938i,0.001568+0.00025101i,0.001993-0.00081063i,0.00060712-0.00033875i,-0.00066666+0.00049785i,-0.00023158+0.00030112i,0.00029659-0.00068994i,0.00042189-0.00057195i,0.00013167-0.00025976i,-0.00031417-0.00065119i,-0.00040491-0.00048845i,-0.00019864-0.00046832i,-0.00023358-0.00028894i,-0.00050287+0.00024364i,-0.00023557-4.8222e-05i,0.00020058-0.00031413i,0.00028058-5.1304e-05i,0.00011488-0.00019663i,4.5319e-05-0.00027868i
-0.0015898-0.0028286i,-0.0013378-0.0018052i,-0.0014157-0.00097853i,-0.0014558-0.00034244i,-0.0011226+0.00079192i,-0.00056998+0.00093369i,-0.00099037+0.00029404i,-0.0010183-9.1262e-05i,-0.00022954+8.0888e-05i,-8.0999e-05+0.00010359i,2.1349e-05-0.00018266i,0.00014951-0.00088865i,0.00057442-0.0010347i,0.00012261-0.00020895i,-0.00085698+0.00087061i,-0.00070882+0.0010605i,-0.00011775+2.9035e-05i,0.00054683-0.00024297i,0.00067031+0.00012301i,0.00051127+1.3551e-05i,-0.00026265+9.8516e-05i,-0.0013054+0.00028677i,-0.00074719-0.00063846i
0.00071022-0.00032044i,0.00055729-0.00035125i,-0.00024053-0.00047693i,-0.0006823+0.00012045i,-0.00011314+0.00087489i,0.00020031+0.0010345i,-0.00036668+0.00073339i,9.8424e-05+0.00028841i,0.00097877-0.00020542i,0.00043946+2.3817e-05i,-0.00043949+0.00064218i,7.4077e-05+0.00034902i,0.00059455-0.00022453i,0.00045359-0.00030603i,0.00052992+0.00012584i,0.00037126+0.00026242i,-0.00023287-7.9669e-06i,-0.00073291-0.00047403i,-2.6847e-05+4.8856e-05i,0.00028145+0.00047275i,-0.00051011+1.2835e-05i,-0.0006261+0.00019653i,-3.4112e-05+0.00033147i
0.0019558+0.00093646i,0.00053579+0.00042411i,-0.00026839-0.0011037i,-0.00099147-0.0010474i,-0.00057566-0.00053992i,-0.00035399-0.00052301i,0.00015287-0.00043936i,0.00082751-0.00024685i,0.00080342-0.00018173i,0.00070266-0.00065471i,0.00022572-0.00024069i,-0.00012516+0.00050049i,-0.0005583+0.00059208i,-0.00058724+8.492e-06i,-0.00023787-0.00036791i,-0.00022399+8.1074e-05i,-0.00013428+0.00010143i,-0.00030822-9.8691e-05i,7.6693e-06-0.00027923i,-0.00021441-0.00032413i,-0.00083052-9.9568e-05i,-0.0007894-0.0001437i,-0.00080226-0.00038452i
0.00097298-0.0015578i,0.00089384-0.001243i,0.00048378-0.0014404i,-0.00020011-0.0012784i,-0.00056049-0.00051128i,-7.922e-05-3.2097e-05i,0.00041743+0.00012282i,0.00084546-6.6811e-05i,0.00067-0.00045756i,9.0067e-05-0.00094675i,-0.00037256-0.0003484i,-0.00067799+0.00040803i,-0.00039819-0.00035486i,-0.00028295-0.00027236i,-0.00019989+0.00081145i,-0.00034841+0.00033781i,-0.00060124-0.00053001i,-0.00022635-0.00039494i,0.00043452+0.00021004i,0.0002799+0.00010976i,0.00013227-0.00014358i,0.00016669+0.00026963i,-7.8803e-05+0.00090833i
0.00011373+0.00088223i,-0.0010835+0.00079617i,-0.00155+0.00060129i,-0.0013518+0.00012953i,-0.0012555+0.00012413i,-0.0001753+0.00079071i,0.00031445+0.00023614i,-0.00065604-0.00040036i,-0.0008985-0.00046895i,-0.00087136-0.00019891i,-0.00043619-0.0002004i,-0.00021137-0.00065846i,-0.00033411-0.00062673i,-0.00034923+0.00036338i,-0.00046199+0.00032366i,-0.00027783-0.00080698i,0.00027163-0.00060118i,0.00052139+0.0008166i,-8.9419e-05+0.00067061i,-0.00020913+1.7271e-05i,0.00040688-0.00010243i,0.0007969-0.00085867i,0.0006128-0.0011381i
-0.00098388-0.00014403i,-0.0012109+0.00018195i,-0.00091968-0.0001684i,-0.00078757-6.5073e-05i,-0.00019163+0.00068036i,0.00089339+0.00086497i,0.00058079+0.00068531i,-6.6562e-05+8.2986e-05i,0.000242-0.00058856i,-0.00014738-0.0007137i,-0.0001369-0.00043613i,7.4227e-05+0.00037588i,-0.00020269+0.00045922i,-0.00018321+0.00027923i,8.3178e-05+0.00037272i,0.00080109-1.2269e-05i,0.00078451-0.00019153i,9.219e-05-0.0004259i,-1.131e-05-0.00033208i,-5.8687e-05+5.0193e-05i,-2.6319e-05+0.00012989i,9.812e-05-0.00024016i,-0.00050839-0.00051962i
-0.0016251-0.001615i,-0.00068963-0.00028851i,0.00046361+0.00044961i,0.00075648+0.00044762i,0.00063097+0.00099714i,0.0012607+0.00046902i,0.00077538-0.00039555i,0.00038649-0.00086556i,0.00029945-0.00071289i,0.00019312+0.00074536i,0.00028641+0.00060592i,0.00055524-8.753e-05i,0.00059321+0.00056942i,7.5728e-05-1.3552e-05i,6.2974e-05-0.00020895i,-0.00011686+0.00058781i,-7.928e-05+0.0003725i,4.0503e-05-0.00028982i,8.6413e-05-0.00014725i,0.0004045+2.6438e-06i,-0.00037541-0.00035445i,-0.00069118-0.00065473i,-1.5475e-05+0.00034885i
0.0031538-0.00044942i,0.0018703-0.00037364i,0.0011576+0.00069742i,0.0004306+0.0005515i,-0.00083368-0.0006887i,-0.0016334-0.00089109i,-0.00092876-0.00055547i,0.00018131-0.00012047i,0.00022148+0.00012817i,-0.00020178-0.00031825i,-0.00040322-0.00012368i,0.00014806+0.00045227i,0.00042159+0.00057384i,-0.00059237+0.00074981i,-0.00093603+0.00035186i,-0.00020315-0.00018685i,0.00019727-0.00036543i,0.00041488-0.00025192i,0.00072865-0.0002261i,0.00083492-0.000395i,0.00018411-0.00076762i,-0.00032894-0.00075734i,0.00016467-0.00068246i
0.00048489+0.0016197i,8.8811e-05+0.001149i,-0.00048976+0.00040662i,-0.00060795+0.0010807i,-0.00056863+0.0019524i,0.00065402+0.0019004i,0.0015641+0.0012432i,0.00055966+0.00041405i,-0.00037211+0.00036647i,-0.00055546+4.3833e-05i,-0.00041139+0.00027723i,-0.00032777+0.00091123i,-1.3665e-05+0.00064277i,0.00013849+4.555e-06i,-0.00012862+0.00056298i,-6.7455e-05+0.0010643i,4.3534e-05+8.4763e-05i,-0.00043893-0.00031049i,0.00018395+0.00057074i,0.0013694+0.00039197i,0.0011952+0.00043096i,-0.00029303+0.00018255i,-0.0016424-0.00058303i
-0.0026229+0.0021225i,-0.0019933+0.0010424i,-0.000958-2.4053e-05i,-0.0002515-0.0005678i,-0.00024978-0.00028322i,-0.00012215+0.00023943i,0.00018162+0.00045505i,-0.00033558+0.00030076i,-0.00079164+0.00064778i,-0.00054874+0.00098797i,-9.3532e-05+0.000583i,0.00023432-0.0002508i,-8.5399e-05-0.00014835i,0.00011515+0.00024394i,0.00089246-0.00040443i,0.0010355-0.00058203i,3.851e-05-0.00038937i,-0.00051638-0.00026458i,-0.00031143+0.00049981i,-0.00023166+0.00044527i,-0.00020017-0.00028661i,-2.6148e-05-0.00031492i,-3.6652e-05+9.4164e-05i
0.00025827-0.0040404i,0.00030479-0.0035943i,-6.12e-06-0.0021339i,0.00012246-0.00083975i,0.00027246+0.00055925i,0.00022194+0.0013364i,-4.0104e-05+0.00036723i,-1.8647e-05-0.0005838i,-0.00023082-0.00055251i,-0.0001954-0.00048488i,7.6203e-05-0.00077111i,0.00057543-0.00074696i,0.0013178-6.9069e-05i,0.0007569+0.00023504i,-0.00044357+0.00029183i,-0.00060236-0.00010705i,-0.00037872-0.0005202i,0.0002568-0.00069196i,0.00057048-0.00085307i,6.0279e-05-0.00018985i,0.00012855-4.9403e-05i,-0.00019067-0.00041948i,-0.00027326-0.00073953i
-0.00012074-0.00013681i,-0.0019722+0.00054506i,-0.0023313-0.00041321i,-0.0013071-0.0010208i,-0.00047369-0.00017326i,0.00032364+0.00061825i,0.00076152+0.00047133i,0.00079604+0.00019222i,0.00032539-0.00025442i,-0.000204-3.0508e-05i,0.00032455+0.00062514i,0.0010987+6.8742e-05i,0.00081771-0.00060283i,6.9913e-05+5.7247e-05i,-0.00053108+0.00075845i,-0.00054385+0.00024427i,-0.00035397-0.00054128i,-0.00057187-0.00021229i,-0.00053851+0.00017358i,-9.1281e-05-0.00029758i,0.00022438-0.00078285i,-0.00031419-0.00096224i,-0.00082745-0.00053718i
-0.00060896-0.002378i,-0.0017524-0.0017559i,-0.0023014-0.00060762i,-0.0020992-0.00015886i,-0.00088424+0.00032485i,-0.00016309+0.0013781i,-2.3846e-05+0.0015806i,0.00023769+0.0010789i,6.5586e-05+0.0001124i,-0.0003582-0.0002471i,-0.00029404-0.00040933i,0.00026519-0.00032123i,0.00048759-0.0001762i,0.00048428-0.00049086i,0.0006602+0.00010301i,0.00081362+0.00085767i,0.0010036+0.00072892i,0.00077896+0.0002113i,0.00020452+6.5447e-05i,-0.00055984+0.0010112i,-0.00078516+0.00090414i,-0.00076599+0.00030798i,-0.0006449+0.00033245i
0.0020646+0.00093427i,0.0015324+0.0010646i,0.0015824+0.00056022i,0.001125-0.00053491i,0.0011845-0.00041276i,0.00066221+6.3638e-05i,-0.00030208-0.00080645i,-0.00017607-0.00090832i,2.7141e-05+0.00012037i,0.00070393+0.0003925i,0.0014734-0.00022185i,0.00098083+2.1513e-05i,0.00025888+0.00034759i,-1.0299e-05+0.00011471i,-0.00061187-0.00010063i,-0.00016292+7.4838e-05i,0.00051276+0.0005626i,6.1332e-05+0.00095533i,-0.00074956+0.00083754i,-0.0013876+0.00026311i,-0.001645+0.00038241i,-0.0013919+0.00015029i,-0.00087344-0.00030299i
0.00063957+0.0004919i,-0.00017583-0.00080307i,-0.0012279-0.0016584i,-0.0010054-0.0011557i,-0.00033375-0.00055455i,-0.00013663-0.00037242i,0.0003015-0.00020832i,-0.00057579-0.00012627i,-0.00094424-0.00015164i,-0.00016939-7.0809e-05i,-9.1721e-05+0.0005073i,0.00034079+6.7916e-05i,0.00042658-0.00069601i,-0.00013377-0.00061231i,-0.00063197+0.00026175i,-0.00066152+0.00099176i,-0.00012725+0.00096765i,-0.00047927+0.00034633i,-0.0012183-8.9787e-05i,-0.0012908-0.00032713i,-0.00093671-0.00014583i,-3.9516e-05+0.00020131i,0.00036647+0.00039538i
-0.0021044+0.00056323i,-0.0025946+0.00062111i,-0.0006924+0.0015579i,0.00011898+0.0015833i,4.3273e-06+0.0017104i,0.00059981+0.0025659i,0.00050537+0.0018968i,-0.00054367+0.0001331i,-0.0008125-0.0004i,-0.00044854-0.0004498i,2.3841e-05-0.0003324i,0.00071809+0.00078228i,0.00055882+0.0013231i,-0.00025173+0.00062333i,-0.00036071+0.00041305i,-0.00039157+0.00053343i,-0.00071828+0.0004536i,-0.00034656+0.00036932i,0.00038197-2.5644e-05i,0.00052527-0.000279i,-0.00018742-1.3527e-05i,-0.00035451+0.00011062i,0.00013069-0.00021343i
-0.00062146-0.0035236i,-0.00043355-0.0026471i,-0.00042924-0.0010455i,0.00077322-0.00047631i,0.00090996-0.00037628i,-0.00017449-0.00059879i,0.00031854-0.0008493i,0.00061671-0.00083881i,6.5749e-06-0.00068357i,-6.9905e-06-0.00038074i,2.4184e-05-0.00043723i,-0.00017274+0.00013075i,-1.2112e-05+0.00071837i,0.00047528+0.00045743i,0.00066685-3.1689e-05i,1.5176e-05-0.00042567i,-6.4082e-05-0.00071098i,-2.417e-05-0.0011377i,-0.00019037-0.0015245i,-0.00052653-0.00082017i,-0.00081062-0.00043045i,-0.00057622-0.00022473i,-0.00023076+0.00045812i
0.0048888-0.0012223i,0.0026672-0.0021371i,0.0015905-0.0027689i,0.0009562-0.0016074i,-0.00031557-0.00049485i,-0.0008324-0.00014644i,-0.00090426-0.00062193i,-0.00022729-0.0013462i,0.00047067-0.001895i,0.00023253-0.0013016i,-1.6547e-05+0.00046664i,1.5367e-05+0.00091149i,0.00023504+0.00051255i,-0.00012572+0.0005241i,-0.0007254+0.00090177i,-0.00081972+0.0008574i,-0.00044366+0.00030243i,0.00029984-0.00012594i,5.7442e-05-0.00049045i,0.000208-0.00041562i,0.00081131-8.6998e-05i,0.00082652-0.00024318i,0.00074058-0.00022248i
-0.00033451+0.001301i,-0.00024275+0.00084798i,-5.0302e-05+0.00094631i,0.00026654+0.00095723i,2.417e-05+0.0013544i,0.00050807+0.0013138i,0.00072996+0.00051729i,0.00012358+0.00086648i,-0.00011965+0.00090545i,-4.5828e-05-0.00065118i,-9.7039e-05-0.00078232i,-0.0002077+0.00016176i,-8.3959e-05-1.4066e-05i,0.00018507-0.00047229i,7.128e-05-0.00051429i,-0.00043905-0.00054355i,-0.0014333-0.00078034i,-0.0013418-0.00074877i,-0.00041546+1.6659e-05i,-5.73e-05+0.00056426i,-0.0001478+0.00015374i,4.8049e-05+3.7557e-05i,0.00012269+6.8147e-05i
-0.0026251-0.00061422i,-0.0014764+0.000344i,-0.0018057+0.00057713i,-0.0016173+0.00097134i,-0.0009893+0.0019224i,-0.0003132+0.002192i,0.0004223+0.0013458i,0.00027863+0.00029655i,-0.00019849+2.9839e-05i,-0.00059301-0.00028022i,-0.00085221-0.00071257i,-0.00018343-0.00048292i,-9.395e-05-0.00018376i,-0.00037828-0.00028094i,-0.0002878-0.00011507i,-0.0003952+0.00026399i,-0.00022463+0.00047124i,0.00014588+0.0004106i,0.0002472+0.00041311i,1.7714e-05+8.0252e-05i,-0.00032088-0.00057426i,-0.00051745-0.00035897i,-0.0011088-3.8139e-05i
0.00015347-0.0023225i,-0.00027776-0.0021475i,-0.00053063-0.0020169i,-0.00031231-0.0012092i,0.00035044-0.00011173i,0.00068663-7.0174e-05i,0.00035818-0.00027332i,0.00027305-0.00020943i,0.00085459-0.00055582i,0.0011599-0.00069016i,-0.0005388-0.00020524i,-0.0012783-0.00079153i,-0.00050039-0.00064394i,-0.00015182+0.00036361i,-0.00034431+0.00072564i,4.6559e-05+0.00020778i,-6.9628e-05-0.00047727i,-0.00031865-0.00033771i,0.00062312-4.4373e-05i,0.00062662-0.00025807i,-0.00017581+0.00014538i,-0.00053379-4.3772e-05i,-0.00019648-0.00015124i
-0.0002341-0.002515i,-0.00037009-0.0010647i,-0.0011471-0.00050829i,-0.0014873-0.00071793i,-0.0012105-0.00013614i,-0.00022618+0.00029207i,0.00036396-9.0899e-07i,0.00056603-0.00055397i,0.00041595-0.0016032i,0.00019727-0.0020234i,0.00029362-0.00095199i,9.4986e-05-0.00035886i,-0.00039922-3.5608e-05i,-0.00042518+0.0004241i,-1.7233e-05+0.00039791i,0.00043571+0.00050688i,-7.1667e-05+0.00037097i,3.5886e-05-0.00023724i,0.00091863-3.234e-05i,0.00068715+0.00017883i,-0.00064902-0.0003678i,-0.00096266-0.00086431i,0.00055216-0.00056387i
