-0.00062715-0.0010701i,0.00029978-0.0018689i,-0.00054353-0.0021131i,-0.0011167-0.00046863i,-0.0020375+0.0014659i,-0.0019663+0.0020663i,0.0001223+0.001945i,0.0011356+0.0016279i,0.00064381+0.0010572i,0.00068724-7.8588e-05i,0.00096787-0.0010886i,0.00038957-0.00059704i,-0.00027399+0.00024183i,-0.00029608+0.00054489i,-0.00050476+0.00046097i,-0.00049454+8.9412e-05i,-0.00065079-0.00026221i,-0.00053029-0.00031257i,-0.00055453+0.00023785i,-0.00011118+0.00085359i,0.00089492+0.00072146i,0.0010676+0.0004942i,0.0008526+8.0516e-05i
-0.00096529-0.0011072i,-0.00058582-0.0014061i,-0.00050899-0.00049001i,-0.0009644+0.00027651i,-0.0011259-0.00018683i,-5.082e-05+0.00026839i,0.001228+0.00056013i,0.0013176+0.00015607i,0.00019868+0.00030196i,-0.00052114+0.0001227i,-0.00029127+8.7948e-06i,3.6089e-05+0.00037832i,0.000344-7.9366e-05i,0.00039477-0.00037002i,0.00021376-0.00013066i,-0.0002426+3.9899e-05i,-0.00088184-5.7639e-05i,-0.00062514-2.7579e-05i,-0.00031133+0.00019515i,-0.00030192-0.00010896i,7.027e-05-0.00027121i,0.00015329-0.00034193i,3.2399e-05+5.0519e-05i
0.0014801-0.0020736i,0.0004298-0.0021271i,-0.00055769-0.0016587i,-0.0015025-0.00093269i,-0.0013415-0.0003704i,-0.00062365-0.000167i,0.00010147-0.00079584i,0.00087358-0.0011946i,0.00056657-0.0013752i,0.00013347-0.0015232i,6.5356e-05-0.00043075i,0.00039787+0.0003056i,0.00090382+0.00036429i,0.00073864+0.00069896i,-7.8552e-05+0.00040791i,-0.00060546-0.0003624i,-0.00010991+0.00014837i,0.00061403+0.0010889i,-0.00038565+0.00055498i,-0.0010429+0.00049205i,-0.00030679+0.00064278i,-2.0429e-05-0.00059804i,-0.00012596-0.00050009i
-0.00081267-0.00091758i,-0.00069245+0.00061892i,-0.00045569+0.0013737i,-0.00029624+0.0023916i,0.00027202+0.0022046i,0.0013958+0.0016619i,0.001389+0.0011593i,0.00083271+0.0007445i,1.0357e-05+9.6657e-05i,-0.0002817-5.9816e-05i,3.5047e-05+0.00063741i,0.00013455+0.00032767i,0.00095996-0.00013896i,0.00094434+0.0002312i,0.00034572+0.00032643i,-0.00059164-0.00010158i,-0.0010574-0.00027193i,-0.00024239+0.00023148i,-0.00038383-0.00010784i,-0.00051166-0.00035626i,0.00031408+3.6595e-05i,0.00012136-0.00012873i,-0.00076033-0.00087954i
-0.00049854-0.0005982i,-0.00092253+0.00028933i,-0.00052843+0.00031653i,-2.2423e-05+0.00033963i,-6.7677e-05+0.0014055i,-0.00029585+0.0010959i,0.00071362+0.0010735i,0.0008748+0.00063382i,0.00076575-0.00049051i,0.0011077-0.00014652i,0.00104+0.00027726i,0.00051918+0.0003871i,0.00015344+0.00069906i,0.00019921+0.00036111i,-2.6644e-05+0.00023991i,-0.00076786+0.00032843i,-0.00076113+0.0003931i,-3.5742e-05+0.00023676i,0.00022239-0.00010053i,0.00050569-0.00045443i,0.00041734-0.00049492i,-0.00015677-0.00043383i,-9.6938e-05+0.00010922i
-0.00075046+0.00036952i,-0.0019201+0.00059667i,-0.0016371-0.00051536i,-0.00055848-0.00011054i,-0.00024514+0.001439i,0.00048067+0.0019216i,0.00083872+0.0016156i,0.00056044+0.0009238i,0.00047168+0.0004205i,0.000156+0.00022487i,-0.00016068-4.2968e-05i,2.3625e-05-0.00043971i,7.9041e-05-0.00027955i,-0.00012737-8.4009e-05i,0.00041982+3.8069e-06i,0.0004674+0.00088937i,0.00058586+0.001002i,0.000572+0.00035765i,9.7396e-05-7.062e-05i,-4.682e-05-9.6813e-05i,-0.00045454-0.0007416i,-0.0005893-0.0016208i,-0.00029277-0.0013297i
-0.0012203+0.0024925i,0.00054842+0.0020601i,0.0013866+0.0025956i,0.0020302+0.0027349i,0.0024455+0.0014465i,0.001868-0.00025119i,0.00091659-0.00061182i,0.00073151-0.00043666i,0.0007699-1.7642e-05i,0.00054445+0.00038208i,2.1067e-05-8.0093e-05i,-0.00071266-0.00061192i,-0.00099948-0.0005814i,-0.00081346-0.00022285i,-0.0006939-0.00028376i,-0.0008228-0.00061458i,-0.00056109-8.0627e-05i,-0.00099586+0.00079062i,-0.00079034+0.0010815i,-0.00041746+0.00094737i,-0.00036697+0.00076357i,-8.9536e-05+0.00048903i,-0.0002584+0.0002076i
0.0018996-0.00051528i,0.0019839-0.0016046i,0.0018434-0.001895i,0.00079627-0.0024762i,-0.00026015-0.002275i,-0.00070059-0.00063774i,9.3511e-05+0.00074126i,0.0012428+0.0010594i,0.0010786+4.3741e-06i,0.00074925-0.00082474i,0.00020329-0.00095927i,-0.00032227-0.00025783i,-0.00023943+0.00040944i,-0.00045994+0.00024339i,-0.00017902+0.00029727i,0.00038761+0.0002505i,0.00035173+0.00026238i,-0.00011814-0.00011755i,-0.00020442-0.00064167i,0.000262-0.00040368i,0.00080115+0.0002364i,0.00055655-0.00014412i,6.0706e-06-0.0001929i
0.00043108+0.0010086i,0.0004091+0.00112i,0.001089+0.0007835i,0.0008414+0.0015435i,0.00058811+0.0019522i,0.00087765+0.00096381i,0.0011131+0.00061862i,0.0007395+0.00019247i,0.00056591-0.00093209i,5.1497e-06-0.00069844i,-0.0011251+8.2351e-06i,-0.00052376+3.836e-05i,-3.4885e-05-4.0512e-05i,-0.00059245-0.00046927i,-0.00023467-0.0008746i,-1.2157e-05-0.00059986i,-9.342e-05-0.00027081i,-0.0006061-0.00039235i,-0.00077233-2.1655e-05i,0.00025118+0.00068974i,0.00032607+0.000831i,-0.00024891+0.00014875i,0.0001533-0.00050916i
-0.00021164-0.00046747i,-0.00039868-0.00047708i,-0.00032964-0.00023523i,0.00056425+3.9434e-05i,0.00053024+0.00022049i,-0.00017372+0.0011014i,9.6969e-05+0.0012558i,0.00026795+0.00049657i,0.00019451+0.00053249i,-0.00010387+0.00042828i,-0.00074197-0.00027556i,-0.00041111-0.00049003i,-5.6997e-06-1.1496e-05i,-0.00042723+0.00035033i,-0.0012085+1.4717e-05i,-0.0019327-0.00044612i,-0.0013428-4.6167e-05i,-0.00075985+0.0006368i,-0.00046057+0.0008103i,-0.0001659+0.0013878i,-5.6463e-05+0.00096389i,-0.00021369+0.00055253i,0.00016984+0.0003659i
0.00096139-0.0012345i,0.00086937-0.0014071i,0.00066319-0.0019075i,-0.00032139-0.0019918i,-0.0015691-0.0012697i,-0.0023792+0.00026341i,-0.0013617+0.0011476i,0.000325+0.00083441i,0.0014102+0.00038662i,0.0005717-5.4574e-05i,-0.00067946-0.00022392i,-0.00066969-5.1642e-05i,-0.00019867+0.00027617i,0.00068227+0.0012356i,0.00079547+0.0014802i,0.00035812+0.00094539i,0.0002268+0.0006981i,0.00047839+0.00047562i,0.00063291+0.00065079i,-0.00017478+0.00065367i,-0.0005161+6.7637e-05i,-0.00038024-0.00020997i,-0.00066486-0.00032299i
