-0.00059003+0.00080088i,-0.00025462-0.0012283i,-0.0023751-0.0015186i,-0.0022845-0.00020713i,-0.0013874+0.0015709i,-0.001324+0.0023012i,-0.00021137+0.0021585i,0.0010239+0.0015797i,0.0014616+0.00030721i,0.0010922-0.00098747i,0.00035511-0.0017968i,-0.00022829-0.0017869i,-0.00080533-0.00090853i,-0.00043489-0.00083186i,0.00018877-0.0010462i,-0.00032335-0.00029385i,-0.00058119-0.00024765i,-0.000483-0.00093917i,-0.00058554-0.00047275i,-0.00066696-0.0001076i,-0.00060283-0.00048401i,-0.00049022-0.00049732i,-3.1542e-05-4.6993e-05i
-0.0018312-1.287e-07i,-0.00074829+0.0005321i,-0.00068125+0.0014163i,6.04e-05+0.0012294i,0.001049+0.0009344i,0.0011036+0.00013518i,0.00050556-0.0003176i,-0.00079512-0.00012126i,-0.0010008-0.00041051i,-0.00012901+0.00013035i,-4.7559e-06+3.4684e-05i,-0.00012445-0.00037533i,-4.7275e-05-0.00026438i,-0.00085756-0.00063521i,-0.0004753-0.0010002i,0.00074536-0.00069147i,0.00099014-0.00062852i,0.00068675-0.00028229i,0.00042755+2.5206e-05i,-3.6593e-05-8.9816e-06i,-0.00036197-0.00032159i,-0.00032712-0.00051161i,4.9441e-05-3.1428e-05i
-0.0025441+0.00098537i,-0.0023681+0.0020922i,-0.0021913+0.0030109i,-0.00047404+0.0029905i,0.00078687+0.0016892i,0.00067863+8.7906e-05i,-0.00013572-0.00034463i,-0.00018872+0.00017435i,0.00020626+0.00050881i,0.00056992+0.00011734i,0.0010881-0.00065384i,0.00087231-0.00059495i,0.00055034-0.00074326i,0.0010171-0.0005791i,0.00074338+2.5379e-05i,-0.00018007-0.0003122i,-8.0849e-05-0.00086407i,-0.00032784-0.00043208i,-0.00042435+0.00034816i,0.00010142+0.00044543i,-0.00043031+0.00013889i,-0.00058471-2.5969e-05i,-0.0002237-8.2891e-05i
-0.0021283-0.00049587i,-0.0021838-0.0009163i,-0.000475-0.0010709i,0.00073464-0.00050303i,0.00089743-5.0487e-05i,0.00047065-0.0003055i,-0.00045797-0.00045155i,-0.00084767-1.9659e-05i,-0.00073278+0.00020264i,9.264e-05+9.6988e-05i,0.00072376+1.2737e-05i,0.00072786-0.00043698i,-0.00015872-0.0010994i,-0.0009115-0.00031558i,-0.00056568+2.2177e-05i,9.8572e-05-0.00016343i,6.1995e-05-0.0007523i,0.00037016-0.000687i,0.00061233+0.00035353i,0.00035101+0.00055156i,0.00021289+0.00056566i,-6.0765e-05+0.00052969i,-0.00044655+0.00017656i
-0.0010493-0.00011069i,-0.00068846+0.0005675i,0.00017797+0.00090735i,0.0011404+0.001616i,0.0011849+0.0025451i,-3.4989e-05+0.0019944i,-0.00075186+0.00037563i,-0.00061979+0.00015904i,-0.0006121+0.00074727i,-0.0005436+0.00081623i,-0.00026236+0.00073118i,0.00016463+0.00043914i,0.00048211+0.00056827i,0.00039742+0.00063495i,0.00077853+0.00058534i,0.00027627+0.00085109i,-0.0001581+0.00033428i,0.00038202-0.00046251i,0.00012242-0.00063857i,0.00025864-0.00052126i,0.00045655-0.00018372i,-0.00033269-5.9456e-05i,-0.00080464-0.00016445i
-0.0014713+0.00022917i,-0.00109+0.00065662i,-0.00072231+0.00059279i,-0.0008625+0.00085369i,-0.00032694+0.0013759i,0.00059614+0.0011545i,0.00068915+0.00069875i,0.00015911+0.00033899i,-0.00018623-5.5661e-05i,-0.00052159-0.00024561i,-0.0010304-0.00024433i,-0.00046893+0.00036847i,0.00056379+0.0012515i,0.00047446+0.0014653i,0.00011635+0.00099007i,1.2211e-05+6.5438e-05i,-0.00034885-7.1809e-05i,-0.00080383-0.00017865i,8.8071e-05-0.00028326i,0.00071747-9.3e-05i,-0.00010332-0.00047051i,-0.00040302-0.00084931i,-0.00024002-6.3145e-05i
0.00033674-0.0010975i,0.00044537-0.00063091i,-0.00026586-0.00052992i,-0.0011087+0.0010361i,-0.0010273+0.0024998i,-0.0001033+0.0016194i,0.00014917+0.00073503i,-0.00056691+0.00049965i,-0.00074922+0.00035547i,-0.00043846+0.00041154i,-0.00041858+0.00086442i,-0.00067682+0.0014828i,-0.00024426+0.0014051i,9.1864e-05+0.0012011i,0.00065788+0.0007496i,0.00091552-1.4758e-05i,0.00051698+0.00031395i,0.00037255+0.00055902i,0.00018543+0.001175i,-0.00026399+0.0015973i,0.00012551+0.0010231i,1.6737e-05+0.00066395i,7.5604e-05+0.00074398i
-0.0012864+0.00083742i,-0.00044609+0.0013421i,0.00064439+0.0018594i,0.0015797+0.0013221i,0.0029835-2.344e-05i,0.0025722-0.00057949i,0.0019289-0.00029683i,0.00029046-0.00024841i,-0.00059049-0.00031906i,8.9144e-05-0.00055163i,8.9257e-05-0.00036275i,2.8494e-05+0.00060953i,6.899e-05+0.00090747i,-0.00042951+0.00060977i,-0.00047983-0.00048712i,2.7569e-05-0.00050099i,-1.8654e-05-2.5518e-05i,-2.4721e-05-0.00036775i,-1.8605e-05-0.00042238i,-0.00012152+0.00064745i,0.00062634+0.0010608i,0.00079045+0.00056359i,0.00063173+0.00046621i
0.00074346-0.00093779i,-0.00036306-0.00040361i,-0.00068454-0.0010201i,-0.0016108-0.0011353i,-0.0020058-0.00064196i,-0.0006139+0.00097947i,3.1244e-05+0.0014757i,0.00016494+0.00057648i,0.00035935+0.00026748i,-5.3929e-05-0.00022788i,7.6205e-05-0.00019494i,0.00064703+0.00074695i,0.00030044+0.00075074i,0.00077894+0.00041228i,0.00063395+0.0012283i,-0.00034453+0.0012651i,-0.00097707+0.00068182i,-0.0011247+0.00047748i,-0.00039333-0.00062147i,0.00091392-0.0011994i,0.0016834-0.00072715i,0.001159-1.4798e-05i,6.6445e-06+9.3555e-05i
0.00022273-0.00039354i,0.00039516+1.1254e-06i,0.00043419+9.0145e-05i,0.00013699+1.4962e-05i,0.00065225+0.00010323i,0.00049856+0.00037518i,0.00027701+0.00052414i,-0.00013111-0.00013268i,-0.00011651-0.00035982i,-0.00025825+0.00039976i,-0.00056245+0.0009017i,0.00022635+0.0010765i,-0.00028123+0.00057657i,-0.00086386+0.00041334i,-2.9816e-05+0.0012021i,-3.4113e-05+0.0011476i,-0.00018298+0.00055471i,-0.00010655-0.00015403i,0.00028137-0.00045779i,0.0002064-0.00043651i,-0.00063335-0.00030872i,-0.00047845+0.00013023i,-0.00040664+0.00026164i
-0.00057457-0.00024717i,0.00022027-0.00028192i,0.00029633+0.00049161i,0.00014273+0.001007i,0.00018197+0.0014934i,-0.00047593+0.0013846i,-0.0012512+0.00078139i,-0.0012733+0.00065569i,-0.00056654-5.6424e-05i,5.0417e-05-0.00040356i,8.0877e-05-0.00024714i,7.7562e-05-0.00043807i,0.00034141-0.00020953i,0.00022838+1.088e-05i,0.00039577+0.00029671i,0.0007036+0.00048211i,0.00042397+0.00026894i,-3.9449e-06-0.00051024i,-0.00015083-0.0010002i,-0.00022942-0.00043905i,0.00010009+0.00012792i,7.0151e-05+0.00024057i,-0.00024092+0.0002101i
-0.00033291-0.00083354i,0.00025469+2.124e-05i,0.00066586+0.00071067i,0.00068226+0.00095926i,0.00076612+0.00058771i,0.00075674+0.00034125i,0.00038458+0.00045233i,-0.00045044+0.00037773i,-0.00082143+0.00013897i,-0.00046931+7.991e-06i,-0.00089615+0.00060646i,-0.00054856+0.00035025i,0.00052701-7.0116e-05i,0.00092025+0.00033064i,0.00018631-0.00026196i,6.5109e-05-0.00057659i,0.00080473-0.00023542i,0.00078364+4.9195e-05i,-0.00014837+0.00021031i,-0.00027656-0.00043195i,0.00030809-0.00052554i,0.00046128-0.00053623i,0.00012066-2.1205e-06i
-0.0015601+0.00035227i,-0.0019032+0.0010963i,-0.00081185+0.0019489i,-0.00021663+0.001027i,0.00027967-4.6153e-05i,0.00059969+0.00038918i,0.000206+0.00089274i,-0.00038485+0.00039474i,-0.00080046-7.8161e-05i,-0.00033967+0.00057229i,0.00017426+0.00059318i,0.00020608+0.0004849i,-0.00030507+0.00057608i,-0.00074746+0.00032154i,-0.0011725-0.00022689i,-0.00091132-6.6913e-05i,-0.00054057+0.00023968i,-0.00011232+0.00030963i,0.00035727+0.00054816i,-0.00016282+0.00097569i,-0.00068124+0.00094978i,0.00024368+0.0007364i,0.00037348+0.00071019i
0.00077617-0.0013208i,0.00053955-0.001249i,0.00029104-0.00076644i,0.00052086+0.00034306i,1.5166e-05+0.0012493i,0.00028559+0.0014758i,0.001019+0.00079083i,0.00068626+0.00058394i,0.00025105+0.00024264i,-0.00028415-0.0003864i,-0.0012749-0.00044694i,-0.0011673-2.5724e-05i,-0.00080275+3.1416e-05i,-0.00046876+0.00023392i,-0.00012819+0.00094793i,-6.9156e-05+0.00061954i,0.00020355-0.00019878i,0.0012062-0.00041177i,0.0010598+0.00061304i,-0.00018255+0.00097054i,-0.00065482+5.048e-05i,-0.00018395-0.00029964i,0.00026648+0.00020058i
0.0020379+0.00087462i,0.0015163+0.0002066i,0.00098325+0.00041602i,0.00060068+0.00012509i,0.00029254-0.00027808i,0.00064808+6.817e-05i,0.00026029-4.5485e-05i,-0.0013738+0.00029537i,-0.0014424+0.00038658i,-0.00034375+0.00064409i,-0.00046329+0.00074954i,-0.00067022-0.00019766i,-0.00042224-0.00082172i,-0.00030973-0.0003274i,-0.00058414+0.00014289i,-0.001224-0.00034881i,-0.0007128-0.00085162i,-8.6125e-05-0.00068285i,0.00039893+0.00020896i,0.00070318+0.0005152i,0.0007614+0.00058326i,0.00107+0.00062799i,0.00063798+0.00021466i
-0.0014342+0.0013116i,-0.0010517+0.00063054i,-0.0014324-0.00026427i,-0.00069109+5.2018e-05i,0.00079655+0.00085285i,0.00098753+0.00083138i,0.0002462+0.00036693i,0.00030994+0.00097781i,0.00027028+0.0006825i,-5.6274e-05-0.00037048i,3.1052e-06-0.00054219i,-0.00051961+1.3444e-06i,-0.0008812+0.00022965i,-0.00031094+0.00031276i,-0.00024823+0.00020623i,-0.00032488-0.0007137i,0.00018078-0.00060401i,0.00041778-0.00024057i,-0.00022887-0.00010542i,4.9063e-05+0.00043162i,0.00015095+0.00032729i,-0.00069433-0.00014949i,-0.00072718-0.00047573i
0.0015501-0.0011806i,0.0015739-0.00083593i,0.00055176-0.00049135i,-0.0007784+0.00020215i,-0.00083357+0.0009276i,0.00014173+0.0010882i,0.00064605+0.0011221i,0.00017697+0.00065927i,-0.00012624+0.00018652i,0.00022835+0.00021401i,-0.00012135+0.00065187i,-0.00071078+0.00072125i,-0.00053184+0.00072346i,-8.9611e-05+0.0010216i,0.00038304+0.00043404i,0.00064796+0.00030781i,0.00026537+0.00015661i,-0.0001412+8.404e-05i,-2.0764e-05+0.0003333i,-2.6717e-05+0.00022166i,-1.3026e-06+0.00021231i,-0.00059186+0.00033879i,-0.00078462-0.00024786i
-0.0021548+0.00088156i,-0.0011015+0.00014685i,-0.00028909+0.0011712i,-0.00035092+0.0017639i,0.00024034+0.0010694i,0.00039587+0.00011745i,-0.00058654-0.00095662i,-0.00076984-0.00032448i,-0.00064984+0.00028328i,-0.00041569-0.00013681i,2.2549e-05-0.00026129i,0.00098769+0.00010849i,0.00079294+0.00074525i,0.00034459-3.9239e-05i,0.00025908-0.0011909i,-9.056e-06-0.00077675i,0.00015285-0.0005199i,0.00048181-0.00050252i,0.00030528+0.00029975i,0.00025937-0.000182i,1.4519e-06-0.00078667i,-0.0004669+6.0686e-05i,-0.00036301+0.00024967i
-0.00014465-0.002255i,0.00037683-0.00076786i,0.0011761-0.00022427i,0.00069193+0.00069539i,-0.00010133+0.0014505i,-0.00037089+0.001025i,-0.00013395+0.0002842i,-0.00023502-0.00018716i,-0.00061584-0.00079393i,-7.1261e-05-0.00040128i,0.00035111+0.00076635i,6.3455e-05+0.0010103i,0.000517+0.00026056i,0.00070417-5.3784e-05i,-7.7553e-05+0.00011486i,-0.00035031+0.00023i,6.635e-07-0.00027232i,-0.00015261-0.00017206i,-0.00064173+6.9169e-05i,-0.00041439-8.0184e-05i,-0.00021338+0.00026646i,-9.6373e-05+0.00089817i,0.00030792+0.00087856i
0.001261+0.0019152i,0.0013492+0.0017183i,0.0010346+0.0011611i,0.00073627+0.00082386i,0.0003977+0.00088678i,0.00011301+0.00095659i,-2.5323e-05+0.00065189i,0.00025965+0.00060599i,0.00041317+0.00087755i,-0.00055816+0.00064456i,-0.00097548+0.00014341i,-0.00030651-0.00018575i,0.00014409+0.00050954i,0.00061251+0.0010076i,0.00038975+0.0010666i,2.1173e-05+0.00063686i,0.00050919+8.9439e-05i,0.00090399+0.001148i,0.00049926+0.0014475i,0.00016653-0.00019304i,0.00032413-0.00061603i,-0.00024305-0.00073075i,-0.00026828-0.0011402i
