0.00065691-0.0020382i,-0.00020492-0.00045066i,-0.0009056+0.0018438i,-0.0021149+0.0026861i,-0.0021568+0.0013594i,-0.00047652+0.00032452i,0.00096385+0.00044869i,0.0006143+0.00025435i,0.00019051+0.00036325i,-0.00020995-0.00060238i,-0.00060795-0.0011541i,-0.0003126-0.00054158i,0.00018013-0.00014904i,0.00024888+7.2806e-05i,-0.00031356-3.8871e-05i,-0.00012317-0.00010421i,0.00057233+0.0002214i,0.0002786+0.00041437i,8.1313e-05+0.00066652i,0.00016167+6.6378e-05i,0.00015845-0.00033033i,6.05e-05-0.00019068i,0.00022241+0.00010883i
0.0018978+0.00064054i,0.00020676-0.00036519i,-0.00045746-0.00054552i,4.2639e-05-0.00076516i,4.0865e-06-0.0012802i,-0.00019448-0.0002185i,-6.1749e-05+0.00062867i,0.00034061+0.00061959i,0.0004629+0.00061182i,0.00033048+0.00026766i,-9.9116e-05-0.0006847i,3.9331e-05-0.00057695i,0.0002018-1.8637e-05i,-0.00079306-0.00044916i,-0.0010658-5.4928e-05i,0.00013161+0.00032415i,0.00042199-0.00073949i,-0.00035297-0.00087999i,-0.0010398+2.0449e-05i,-0.0010966+0.00070698i,-0.00092731+0.00056957i,-0.00064099+0.00015352i,-0.00039389-0.00030026i
-0.0031088-0.00068248i,-0.001926-0.00061782i,-0.0014518+0.00034243i,0.00018855+0.00083074i,0.0010749-0.00012581i,0.00080781-0.0011387i,0.00057259-0.00062257i,0.00024069+0.00061798i,0.00042071+0.00071939i,0.00039524+0.00013989i,6.6301e-07+0.00023553i,0.00037894+0.00039652i,0.00047694-4.0076e-05i,0.00050476-0.00065444i,0.00063774-0.00053845i,0.00084982-0.00086821i,0.00025892-0.00093521i,-0.00075238-0.00038196i,-0.00047274-0.00027115i,-0.00038063-0.00026208i,-0.00064621-0.000566i,-0.00014143-0.00055576i,-0.00011085-0.00018123i
-6.016e-05-0.00074791i,-0.0010342+5.7254e-05i,-0.0011521+0.00053728i,-0.00038264+0.00040123i,6.9502e-05-0.00063998i,8.9386e-05-0.0013471i,5.2195e-05-0.00059139i,0.00048415+0.00056617i,0.00039612+0.00044033i,-9.1153e-05-0.00038452i,-5.1016e-05-0.0011262i,1.2615e-05-0.0010539i,-0.00023965-0.0006552i,4.411e-05-7.4184e-05i,0.00036965+0.00019819i,-0.00027899+0.00038131i,-0.00011071+0.00046871i,0.00031379-0.0003743i,0.00019811-0.00072i,-6.7262e-05-0.00027815i,-0.00020931+7.0528e-05i,-0.00026465+0.00027357i,-0.00073905-0.00051145i
0.001646-0.0012454i,0.00066417-0.0023848i,-0.0003002-0.0022211i,-0.0014545-0.0016488i,-0.0014674-0.001509i,-0.0006124-0.00048185i,0.00013339+0.00067626i,0.00051427+0.00042513i,0.00063872-0.0002492i,0.00086896-0.00037758i,0.00071486-0.00078098i,0.00039412-0.00027874i,0.00020879+0.00081641i,0.0001612+0.0010851i,-0.00038524+0.00052998i,-0.00036542-2.6639e-05i,0.00029409+0.0003593i,-1.1139e-05+0.00070574i,-0.00022678+0.00028448i,0.0001138-0.00033575i,9.1154e-05-0.0003584i,-0.00014075+1.1832e-05i,9.4495e-05-3.6585e-05i
-0.0014665-0.00053531i,-0.0027226-0.00015253i,-0.0020635+0.00080375i,-0.00084481+0.0012072i,-0.0008797+0.00036761i,-0.00058222-0.00024541i,-0.00023868+0.00012492i,-0.00073081+0.00043558i,0.00015705+0.00066005i,0.00096572+0.00077422i,0.00097057+0.00031726i,0.0012621-0.00013025i,0.00042138-0.00041137i,-0.00091223-0.00078722i,-0.00075346-0.00094496i,-0.00025166-0.0001409i,1.2207e-05+0.00069085i,0.00039323+0.00052503i,0.00016339-7.0184e-05i,0.00020927-0.00050208i,0.00030692-0.00017887i,-0.00013629-8.8436e-05i,-0.00067677-0.00027543i
0.0013367-0.0011888i,0.00021623-0.001329i,0.00041674-0.00055808i,-0.00035131-0.00034083i,-0.00096428-0.00031798i,-0.00071829-1.6007e-05i,0.00078776+0.00021894i,0.0013425+0.00075914i,0.00077437+0.00086218i,0.00072387+0.0004102i,0.00046811+0.00036963i,6.3804e-05+9.227e-05i,-7.7064e-05-0.00050447i,0.00010126-0.00030465i,0.00075334+0.00037341i,0.00088299-0.00017111i,-0.00011664-0.001204i,-0.00062384-0.00089298i,-0.00029862-0.00041202i,-0.00071696-0.00061458i,-0.00095172-0.000286i,-0.00050976-0.00022485i,-0.00020435-0.0006417i
0.001884-0.00033357i,0.0006091+0.00017492i,-9.1543e-05+0.00094323i,0.0008776+0.0010632i,0.0011029+0.00019898i,0.00096834-0.00057996i,0.00059199-0.00038747i,-0.00037452-0.00012397i,-0.00059384+0.00041127i,0.00031374+0.00086205i,0.00062448+0.00027659i,-0.00041308-0.00024941i,-0.00064019+0.00012512i,-0.00026489+0.0002075i,-0.00026749-0.00063109i,-0.00020248-0.0008196i,0.00043711-3.55e-05i,0.00064991+0.00014419i,-1.3137e-05+0.00025754i,-0.00044299-0.00054319i,6.0371e-05-0.0010068i,0.00057097-0.0011635i,0.00021092-0.00084681i
-0.00088247-0.0013509i,-0.0025032-0.0010774i,-0.0028572+0.00014957i,-0.0016808+0.0017597i,-0.00098443+0.0013732i,-8.9452e-05+0.00047357i,0.0009816-0.0001985i,0.00081161-0.0006117i,0.00037603+1.8653e-05i,0.00017899+0.00054793i,0.00059426+9.4761e-05i,0.0011943+0.00028149i,0.00077687+0.0011876i,0.00044341+0.0011395i,0.00088524+0.0010643i,0.00058323+0.00083928i,5.295e-06+0.00069256i,7.5844e-05+0.00049094i,-0.00021809+0.00054972i,-0.00041945+0.0006558i,-0.00060669+0.00028709i,-0.00042928+0.00048422i,-0.00012037+0.0012514i
-0.00011587+3.3724e-05i,0.00015021-0.0021731i,-0.00013211-0.0024128i,-0.00022536-0.00087948i,0.00021654-0.00085644i,0.0002703-0.0010283i,0.0001331+3.1864e-06i,-0.00053231+0.00033897i,-0.00075906+0.00021122i,-0.00020341-0.00035515i,-0.00023823-0.0011081i,-0.00044766-0.001917i,-0.00056312-0.0013641i,-0.0007783+0.00011691i,-0.00019984+0.00038691i,0.00010631+1.2471e-05i,0.00041608-0.00018344i,0.00045611+0.00010034i,0.00014403-0.0001912i,-0.00053426-0.00068565i,-0.00093868-0.00040588i,-0.00064929-0.00019121i,-0.0001082-0.00047075i
