-0.0034572+0.0015701i,-0.0041323+0.0013283i,-0.0043315+0.00080916i,-0.0034506+0.00080976i,-0.0025415+0.0021991i,-0.0018984+0.0037293i,-0.00099316+0.0029562i,-0.00021538+0.0013689i,0.00059347+0.00026205i,0.0011273-0.00020745i,0.0011476+0.00012972i,0.00077649+0.00041676i,0.0003485+0.00035261i,0.00062028+0.00022923i,0.00030178-0.0005523i,-6.7684e-05-0.0011928i,-0.0003163-0.0011441i,-0.00046851-0.00067885i,-2.887e-05-9.3308e-05i,0.0002945+0.0004698i,-0.00038576+0.00068147i,-0.00085783+0.00030938i,0.00010671+0.00053219i
0.00033895+0.0018355i,0.00071392+0.0016837i,0.00066636+0.0011472i,0.00075922+0.00038856i,0.0010094+0.0014803i,0.00083005+0.0018439i,0.00077158+0.00035682i,0.00070287-0.0005398i,0.00046935-0.00013789i,-0.00030209-0.00013231i,0.00017857+7.3241e-05i,0.00042232+9.617e-05i,-0.00038549-0.00063364i,-0.00070514-0.00068302i,-0.00076677-0.0010594i,-0.00069212-0.00063142i,-0.00066494-0.00042036i,-0.00034067-0.00029407i,0.00060195+0.00033869i,0.00060707+0.00078602i,-0.00025174+0.00052847i,-0.0010385-9.5242e-05i,-0.0007824-0.00035027i
0.0006213+0.0013339i,0.00029871+0.0011045i,-0.00017122+0.00167i,-0.00049247+0.0026944i,0.00033652+0.0025609i,0.00025734+0.00088677i,-0.00035742-0.00068232i,-2.8214e-05-7.9154e-05i,-4.2328e-05+0.0002917i,-0.00015098+0.00017751i,0.00017202+0.00020245i,0.00038069-0.0001067i,0.00067771-0.00010415i,0.00021864-0.00070233i,-0.00054649-0.0012581i,-0.00094051-0.00087649i,-0.00048821-0.00011838i,-0.00016087+4.0749e-05i,0.00036089+0.00044803i,0.000328+0.0010019i,5.3107e-06+0.00031685i,-2.1079e-05-0.001183i,0.00088671-0.0017738i
0.00085784-0.0028802i,0.00059592-0.0023994i,-0.00031581-0.0022512i,-0.0013286-0.00088626i,-7.6917e-05+0.00081286i,0.00145+0.0011102i,0.0010396-0.00013572i,0.00059779-0.00090962i,0.00014361-0.00058286i,-0.00040083-0.00017065i,-0.00075939+7.5085e-05i,-0.0006532+0.00076173i,-0.00024446+0.00081226i,0.00044631-0.00022947i,0.0009187-0.0004817i,0.0005439-0.00037837i,0.00021427-0.00056109i,0.00020536-0.00065578i,-0.00019662-9.0065e-05i,-0.00055704+0.00016021i,-0.0003478+0.00013365i,-0.00029724+0.00055398i,-0.00037977+0.00054795i
-5.9723e-05-0.00079381i,-0.0010846-0.00013603i,-0.0011911+0.00040563i,-0.0013952+0.001389i,-0.00098127+0.0011934i,0.00034513+0.0006326i,0.0010634+0.00063676i,0.00065335+0.00038941i,-4.2678e-05-3.4877e-05i,-0.00010786-0.00042503i,0.00027137-0.00031743i,-0.00028509-1.7607e-05i,-0.00094056+0.00011197i,-0.00081594+0.00098828i,-0.00020408+0.00062019i,3.7005e-05-0.00051962i,0.00025539-0.0010248i,0.00039638-0.0016881i,0.0001192-0.0015108i,-5.3959e-05-0.00095243i,5.5728e-05-0.00054851i,0.00071847-0.00020868i,0.00074389-0.00064985i
-0.00053796-0.0020114i,-0.00042923-0.0016596i,-0.0004204-0.0010968i,-0.0010718-0.00048128i,-0.0010896+0.00029921i,-0.0006216+0.00059589i,-0.00055835-0.00048821i,-0.0006224-4.1786e-05i,9.7835e-05-0.0003734i,0.00050473-0.00076671i,0.00030157+0.00017414i,0.00022655+0.00095864i,-0.0001314+0.0012547i,-0.00020448+0.00040133i,0.00031162-0.0002436i,0.00093364-0.00052419i,0.00071448-0.00091378i,0.00022469-0.00045496i,-0.00024302+0.00018793i,-0.00066845-0.0001105i,-0.00070298-0.00052923i,0.00014103+0.00016879i,0.00070055+0.00015854i
0.002317+0.00037775i,0.0010483+0.00064715i,0.00088823+0.00046174i,0.0017942+0.00066438i,0.0016302+0.001504i,0.00087641+0.0013529i,0.0014846+0.00080398i,0.0012295+0.00039669i,0.00032142+0.00029149i,0.0004003-0.00013169i,0.00030598-0.00062993i,-0.00074239-0.00062478i,-0.00082613-0.00060253i,0.00033911-0.00057672i,0.0007621-0.00083494i,0.00083124-0.0013689i,0.00079831-0.0014121i,1.4532e-05-0.00023539i,-0.00043597+0.00064853i,0.00018637+0.0011048i,4.1635e-05+0.00014579i,-0.00053825-0.00101i,-0.00099533-0.0001419i
-0.0017571-0.00018594i,-0.0017455-0.00013526i,-0.0015831+0.00020875i,-0.0013308+0.0013158i,1.3163e-05+0.0015626i,0.0013175+0.00017356i,0.0014553-0.00084602i,0.0010951-0.00062245i,0.00087602+9.2448e-05i,0.00045326+0.00079235i,0.00016904+0.0011576i,-0.00028695+0.0011718i,-0.00078273+0.00093426i,-0.00065217+0.00048064i,-0.00072165-0.00044378i,-0.00066929-0.00066403i,-0.00075786-0.00036056i,-0.0010635-0.00016325i,-0.00042818+0.00021123i,0.00065005+0.00055813i,0.00065168+0.00047998i,-3.2451e-05+0.00034772i,-0.00031741-5.5585e-05i
-0.0013585-0.0014444i,-0.0014685-0.00035431i,-0.002228+0.00055741i,-0.0024658+0.0019216i,-0.0017243+0.0025062i,-0.0007813+0.0015361i,-1.575e-05+0.00014569i,-9.4355e-05-0.00025769i,-0.00031932-0.00024058i,7.5063e-05-0.00041461i,0.00031721+6.9078e-05i,0.00015648+0.00034584i,-0.00023766+3.1858e-05i,5.2663e-05+0.00015597i,0.00042689-5.9904e-05i,-5.8987e-05-0.00011093i,-0.00031533+0.00030978i,0.00011374+3.6658e-05i,0.00041125-0.00019661i,0.00020425+0.00020884i,0.00044322+0.00015908i,0.00082803+0.00014917i,0.00026297+0.00048538i
0.0001173+0.000912i,-0.0003337+0.0012288i,-0.00045243+0.0019212i,-0.00014248+0.0020845i,5.71e-06+0.00080868i,0.00044489-0.00037824i,0.0010226+0.00023045i,0.0011806+0.0010618i,0.00050808+0.00069526i,-0.0002885+0.0002084i,-0.0005666+0.00048642i,-0.00056509+5.9611e-05i,-0.00053257-0.00061613i,1.4668e-05-0.0011674i,0.00013592-0.00089255i,-0.00010325-0.00078758i,-1.7934e-05-0.00084388i,1.1352e-05+0.00026895i,0.00010858+0.00058358i,0.00069208-0.00052508i,0.0013634-0.00092217i,0.0010818-0.00064464i,0.00030921-0.00057732i
0.0003843+0.00088454i,0.00020616+0.00017069i,0.00039345-0.00036169i,0.00088604+0.00020037i,0.0012459+0.0015894i,0.0011503+0.0010583i,0.00073151-0.00046149i,0.00060949-0.00092705i,0.00090525-0.0003709i,0.00020129+3.6566e-05i,-0.001137-0.00042867i,-0.0013237-0.00040761i,-0.00033315-8.2211e-05i,0.00030003+5.746e-05i,0.00024444-0.00045581i,0.00061075-0.00083319i,0.00033513-1.6832e-06i,-0.00021501+0.00063563i,-7.5059e-06+0.00075579i,0.00062878+0.00053098i,0.00087836-0.00018256i,0.00032663-0.00094693i,0.00014044-0.00087885i
-0.0011448-0.0012161i,-0.0013977-2.445e-05i,-0.0016603+0.00076999i,-0.00094682+0.0017036i,5.4155e-05+0.002506i,0.00033072+0.0014169i,0.00068739+0.00039014i,0.0010453+3.4401e-05i,0.00069111-0.00028704i,0.00019885-0.00040149i,8.9752e-05-0.0001335i,0.00073258+0.00021397i,0.00067261+0.00020774i,-0.00043752-0.00012206i,-0.00071363-0.00096357i,-0.00042122-0.0013204i,-0.00039126-0.0007165i,-2.293e-05+0.00018029i,-0.00029295+0.0003917i,-0.0003909-0.00044462i,0.00059749-0.00040496i,0.00077861-7.8014e-05i,0.00065486-0.0001244i
