0.000133+0.0007019i,-0.00018371-0.00012634i,-0.0015729-0.0012554i,-0.0018185-0.00089795i,-0.0019844+0.0014509i,-0.0017016+0.0025344i,-0.00074468+0.0024191i,-0.00021522+0.0016839i,0.00047287+0.00040145i,0.00094259-0.00030172i,0.00066584-0.00011195i,0.0015227+6.4425e-05i,0.0014905+1.7551e-06i,0.00014126+5.5487e-05i,-0.00010558+0.00022184i,3.6674e-05+0.00054432i,0.0005428+0.00099312i,-4.0929e-05+0.00095136i,-0.00080637+7.0011e-05i,-0.00027941-0.000199i,-0.00028086+0.00030405i,-0.0010969+0.00046929i,-0.0013896+0.00046199i
-0.0027057+0.00058906i,-0.0022187+0.00052769i,-0.0024773+0.00077399i,-0.0016631+0.001619i,-0.000139+0.001685i,0.00081188+0.00072595i,0.00025354-0.00015294i,-0.00026195-0.00040771i,-0.00033626-0.00015559i,0.00013437+9.3968e-05i,5.2776e-05+0.0002826i,-0.00026592+0.00021414i,2.1245e-05+0.000201i,1.8008e-05+0.00014204i,0.00010362+0.00026556i,0.0012921+0.00018652i,0.0013378-0.00017837i,0.00028345-0.00067317i,0.00036962-0.0012041i,0.00028339-0.00092667i,-0.00020303-0.000102i,-0.00016305+0.00034869i,0.00010922+0.00022581i
-0.0015333+0.0016763i,-0.0010443+0.001521i,-0.00036598+0.0025436i,0.0008355+0.0022691i,0.00085264+0.00099098i,0.00028216+0.00069065i,0.00018142+0.00085289i,-0.00014721+0.00097368i,0.00040691+0.0006255i,0.0010152+0.00059398i,0.0010043+0.00066185i,0.00087589-3.9614e-05i,0.00012673-0.00029541i,-0.00073389+0.00015743i,-0.00062019+0.00061628i,-0.00073734+0.00052187i,-0.00055342+0.00018474i,-0.00010453+0.00023758i,0.00018119+0.00013717i,0.00020496-0.00023047i,0.00011931-0.00042277i,0.00039174-0.00076152i,0.00088773-0.00086861i
-0.00022905-0.0002256i,-0.0007861-1.0774e-05i,-0.00029267-0.00032844i,-0.0016101-0.00016894i,-0.0022957+0.00057598i,-0.0011217+0.0012003i,0.00052954+0.00098898i,0.0013805+3.4594e-05i,0.00070595-0.00042964i,-0.00037829-0.00060133i,-0.00056793+4.4986e-05i,-8.8581e-05+7.7686e-05i,0.00030839-0.00012457i,0.00011554+0.00055421i,0.00015147+0.00052738i,0.0009292+0.000214i,0.000356+0.00025999i,0.000679-0.00017963i,0.0019194-0.00044807i,0.00078799-0.00039483i,-0.00029079-0.00095856i,0.00044881-0.00070231i,0.0006535+0.00019741i
-0.00068984-0.00050721i,-0.00085189-0.00077409i,-0.00039521-0.00034575i,-0.00066466-0.00048257i,-0.0015535-0.00058883i,-0.0011844+0.00020168i,5.264e-05+0.00068956i,0.00071283+0.001012i,0.00019092+0.0012828i,-0.00037473+0.00014854i,-0.00015924-0.00028786i,-0.00012639+0.00037495i,0.00026849+0.00015312i,-0.00014103-0.00038531i,-0.0009174-0.00023587i,-0.00066871+0.00012622i,0.00016507+0.00064021i,-0.00021866+0.00079155i,-0.00072471+0.00044982i,-3.9822e-05+0.00016859i,0.0003096+0.00016175i,-0.00020633-0.00011122i,-1.1308e-05-0.00057611i
-0.00031521-0.0013721i,-0.00014593-0.0016024i,-0.00044685-0.00080598i,-0.00056899+0.00019066i,-0.00044047+0.00089266i,-0.00014193+0.00070577i,-0.00018177+6.1088e-05i,-0.00038369+4.3675e-05i,-0.00025955-0.00014232i,0.00050386-0.001022i,0.00056106-0.00044753i,-0.00021473-0.00026586i,-0.00020731-0.00069166i,-0.00073822-7.3125e-05i,-0.0011087+0.00053823i,-0.00065033+0.00022132i,-0.00035247-5.9537e-05i,-0.00067251+0.0011352i,-0.0011604+0.0017096i,-0.00083921+0.001136i,0.0005637+0.0009086i,0.00080117+0.00039118i,-0.00019747-6.7223e-05i
-0.00065969+0.00098266i,-0.00040678+0.0009726i,-0.00075066+0.0011083i,-0.0011913+0.0016539i,-0.0015263+0.0021839i,-0.00069246+0.0017447i,0.00039223+0.00059953i,-1.6146e-06-2.3833e-05i,-0.00018828+0.00012698i,-1.0356e-05+9.2577e-06i,-0.00052812-2.5456e-05i,-0.00034289+7.2642e-05i,0.00040218+0.00036961i,0.00019312+0.0011314i,-0.00014423+0.00099663i,-0.0002024-8.2158e-05i,-0.00028764-0.00061552i,-0.00066128-1.4029e-05i,-0.00037153+0.00054532i,-1.1897e-05+0.00053754i,6.9699e-05+0.00045998i,0.00082554+6.9508e-05i,0.00084154+0.0001328i
-0.0010847-0.00052152i,-0.0020923-0.00088708i,-0.0017133-0.00054462i,-0.00128+0.0003159i,-0.0010803+0.00066267i,-0.00036233+0.001371i,-0.00030551+0.0011476i,-0.00094738-0.00016701i,-0.0010073-0.00047506i,-0.00037858-0.00069804i,-1.4223e-05-0.00069468i,-9.2962e-05-0.00026478i,-7.5919e-05-0.00035772i,0.0001492-2.3289e-05i,0.00017368-6.0489e-06i,0.00023917-0.00085137i,0.00032081-0.00066131i,-0.00040959-7.3233e-05i,-0.00017751-3.3415e-06i,0.00029971-0.00022809i,6.1572e-05-0.00035872i,0.00060233-0.00017352i,0.0011982+4.5671e-05i
0.00061808-0.0013234i,-5.3485e-05-0.001332i,-0.00025329-0.0003607i,-0.00019017+0.00062964i,-0.00022537+0.00077857i,-0.00017661+0.000479i,0.00019176+0.0002446i,0.001012+0.00035029i,0.001339+9.9486e-05i,0.00024993-0.0001296i,-0.00069252+0.0003205i,-0.00085468+0.0005021i,-0.00019711-4.4083e-05i,0.0006283-8.8163e-05i,0.00067594+0.00030722i,-0.0002831+0.00025204i,-0.00012978-6.6625e-05i,0.0009157-3.9192e-05i,0.00096816+0.00026536i,0.00068023+0.00035246i,0.00021536-0.00027096i,-0.00010645-0.00042015i,0.0002735+5.4033e-05i
-0.00019025+0.00074679i,-0.0010468+0.00039196i,-0.0018145+0.001439i,-0.0022534+0.0014938i,-0.0017958+0.0016661i,-0.0010973+0.0022283i,-0.00049235+0.0012096i,-9.7685e-05-3.9895e-05i,-0.00015352-0.00029675i,-0.00027397-4.9017e-05i,-6.6985e-05-8.6978e-05i,0.00047302-0.00037231i,0.00047329-0.00037139i,0.00054737-0.0002559i,0.00078354-0.00021098i,0.00059496+7.7401e-05i,0.00067919+0.00057743i,0.00117+0.00084951i,0.0010574+0.0003217i,0.00071688-0.00025533i,0.0012073-0.00059011i,0.0013159-0.00030917i,0.00067763-0.00074132i
-0.0012042+0.00033306i,-0.001347+0.00016866i,-0.0018814-0.00020484i,-0.0015289+0.00079397i,-0.0012181+0.0018925i,-0.00060239+0.00090727i,0.00054503-6.9091e-05i,0.0011418+0.00070655i,0.0011275+0.0010279i,7.9379e-05+7.8497e-05i,-0.00051594-0.00097445i,9.098e-05-0.0007039i,-0.000192+0.00039487i,-0.00051246+0.0009244i,-0.00032247+0.00075848i,-0.00018918+0.00064753i,-9.3481e-05+0.00026306i,-6.0278e-05+2.695e-05i,0.0001247+0.00046004i,0.00012314+0.00084499i,0.00011041+0.00085592i,0.00064221+0.00078909i,0.00056229+0.00037325i
0.0005642-0.00044403i,0.00011542-0.00029677i,-0.00090813-0.00084808i,-0.0018213-0.00065913i,-0.0019027+0.00038137i,-0.00084577+0.0010722i,0.00058772+0.00062017i,0.0010075+3.3196e-05i,0.00024486+0.00029462i,-0.00030761+0.00035294i,-0.00031881-7.9328e-05i,-0.00023533-7.7663e-05i,-0.00047772+0.00052783i,-0.00028488+0.0004619i,0.00044393-0.00012484i,0.00065925+0.00018874i,0.00069181+0.00089097i,0.00056674+0.0010081i,0.00063752+0.00057593i,0.00019634+0.00050233i,1.1229e-05-0.0001108i,0.00064759-0.000858i,0.00075002-0.00068134i
-0.0005866-0.00059174i,-9.3942e-05-0.00018649i,-0.00026483+0.00025053i,-0.00037127+0.00015025i,-0.00077294+0.00027083i,-0.00046189+0.00077369i,0.00091844+0.00072589i,0.0013008+1.481e-05i,0.0012039-0.00047554i,0.0011986-0.00070433i,0.00067323-0.00028199i,4.1652e-05+0.00041215i,-0.00022067+0.00035699i,-0.00034417+0.00036429i,-0.0004494+0.00087212i,-8.1675e-05+0.0010672i,0.00026321+0.00079771i,-3.7615e-06+0.0007542i,-0.00034388+0.00053386i,-0.0011287+0.00014899i,-0.001248+0.0002017i,-0.00059861+0.0001026i,-0.00017681+0.00046176i
-0.0032652+0.000286i,-0.0029132+6.292e-05i,-0.0030314+0.0012322i,-0.0032019+0.0018684i,-0.0019609+0.0014124i,-0.00033678+0.0010219i,0.00012383+0.00071656i,7.4033e-05-4.8914e-06i,0.00025374-0.000315i,0.00060827-0.00015155i,0.00052359+0.00056662i,0.00030912+0.00052344i,0.0011056-2.4704e-05i,0.00095001-5.4812e-05i,0.0005018-0.00029804i,0.00068662-0.00088116i,0.00031851-0.00082984i,2.7788e-06+0.00012375i,0.00025306+0.0003163i,0.00087238-0.00022567i,0.00063247-9.4e-05i,-7.7633e-05+0.00032842i,-0.00059998-5.6333e-05i
-0.00080539-0.0014797i,-0.00048728-0.00062006i,-0.00072274-0.00015595i,-0.00086956-0.00033011i,-0.00051774+0.0001568i,-0.00047509+0.00099384i,-0.00074536+0.00086726i,-0.0011276+0.00025009i,-0.0012415-0.00037426i,-0.00044916+0.00015793i,-0.00055981+0.00098094i,-0.00087374+0.00075117i,0.00022397+0.00073841i,0.00079083+0.0012247i,0.0013831+0.00068231i,0.0016466+0.00033446i,0.0010143+0.00010845i,0.0010203-8.6785e-05i,0.00061581+0.00036537i,0.00027258+0.00023684i,-0.00022609+0.00026768i,-0.0001891+0.00089467i,-4.2766e-05+0.0015375i
-0.00069591-0.00053381i,-0.00054241+0.00041752i,-0.00088181+0.0017213i,-0.00036422+0.0019091i,9.466e-05+0.002052i,0.0003685+0.0016199i,3.2718e-06+0.00094187i,-0.00046276+0.0003196i,-0.00012332+0.00034118i,-5.1057e-05+0.00031321i,0.00016408+0.00040999i,0.00019014+0.0008283i,0.00014346+0.00081812i,0.00041967+0.00012979i,0.00031046-0.00056418i,-0.00032561+1.2234e-05i,4.1453e-05+0.00064892i,0.00091983+0.00062613i,0.0011593+0.00040321i,0.0010079+0.0011048i,-4.0467e-05+0.0012708i,-0.00074038+0.0001124i,-0.000537-9.2097e-05i
0.00043429-0.0014135i,-0.00024952-0.0020247i,-0.0016761-0.0019361i,-0.0021557-0.00061906i,-0.0017286+0.00049269i,-0.0013656+0.0012853i,-0.00014472+0.0016976i,0.00096306+0.00054837i,0.00037168-0.00077679i,-0.00020307-0.00054136i,-6.7829e-05-0.00018347i,0.00011642-0.00070837i,0.00061806-0.00020388i,0.00094761+0.00046064i,0.00094113+0.0004758i,0.00098744+0.00092705i,0.00072422+0.0013072i,0.00090098+0.00063747i,0.00089111+0.00030051i,0.00028418+0.00015804i,0.00016336+0.00027617i,0.00033703+0.00069175i,0.00083567+0.0006093i
-0.0010569-0.0015318i,-0.0011108-0.001282i,-0.0024829-0.000477i,-0.0020576+0.0006537i,-0.00094444+0.0009822i,-0.00018361+0.0011798i,0.00018796+0.00054706i,-0.00036227-0.00051903i,-0.00090656-0.00069029i,-0.00046051-0.00033466i,-0.00016151-0.00067915i,-2.4649e-05-0.00051177i,3.395e-05-4.0825e-05i,-1.3696e-06-6.6578e-05i,0.00028839+0.00020922i,-0.00013379+0.00010379i,-0.00072468+2.4867e-05i,-0.0002272+9.014e-05i,-0.00056167+0.0001987i,-0.00088943+0.0005056i,-0.00038434+0.00071047i,0.00040563+0.00077626i,0.00052518-3.4539e-05i
0.0017502+0.0016528i,0.0013295+0.0025422i,0.00041099+0.0020921i,0.00016807+0.00051408i,-0.00044568+0.00021364i,-0.0013266+0.00058334i,-0.00062276+0.00092377i,0.00013757+0.0010776i,0.00054857+6.0963e-06i,0.0012627-0.0010068i,0.0010112-0.0010573i,-0.00013878-0.0012228i,-0.00022874-0.0015312i,7.0528e-05-0.00094053i,0.00016016-3.9641e-05i,0.00018363+0.00091062i,-0.0002195+0.0013196i,-0.00017886+0.00092845i,2.9614e-05+0.001091i,-0.00024697+0.00086968i,-6.3729e-05+0.00023584i,0.00026485+5.971e-05i,0.00027113+3.5431e-05i
0.00096567-0.00050731i,-0.00052036-6.6382e-05i,-0.0013493-0.00015561i,-0.00091531-0.0001074i,-0.00019924+0.00080945i,-0.00040505+0.0010144i,-1.5101e-05+0.00054863i,0.00063303+8.126e-05i,0.00056542-0.00027082i,0.0002741+0.00011992i,0.00034675+0.00031539i,0.00034295-0.0003344i,0.00058391-0.00055562i,0.0010277-0.00012758i,0.00030492+0.00042466i,-0.00036245+0.00013389i,-0.00044056-0.00032205i,-0.00039752+0.00014897i,7.7517e-05+0.00033998i,0.00029261+0.00058195i,-0.00055526+0.00092385i,-0.00037459+0.00099633i,-0.00017914+0.00075518i
0.0020414-0.00032339i,0.0023346+8.1691e-05i,0.0029962-0.00096098i,0.0013124-0.002438i,-0.00069003-0.0015298i,-0.0010459-3.8366e-05i,0.00010318+5.2133e-05i,0.00073942-0.0005534i,0.0003368-0.00059251i,-0.00012941-0.00065025i,4.4764e-05-0.0008391i,-0.00024243+1.6521e-06i,-0.00025376+0.00041469i,-0.00049512+0.00040166i,-0.00059993+0.0014307i,0.00019536+0.0018091i,0.00029986+0.00085949i,0.00056483+0.00023562i,0.00046233+0.00046255i,4.7721e-05+0.00035291i,0.0005345-2.7505e-05i,0.00042355-0.00035725i,0.00026746-0.00045576i
-0.0011138-0.0018057i,-0.0014832-0.0012072i,-0.0028363-0.0012585i,-0.0025353+8.0357e-05i,-0.0016599+0.00132i,-0.0010148+0.0012i,-0.00014126+0.00091715i,0.00064326+0.00090922i,0.00033646+0.00037555i,-0.00043146-6.9034e-05i,-0.00056885+0.00023005i,-0.00029364-0.00015775i,-0.0002661-0.00030311i,-0.00072068+0.00057362i,-0.0005096+0.0005926i,6.9814e-05+0.00078091i,0.00013418+0.001036i,-0.00043091+0.00029915i,-0.001239-9.9876e-05i,-0.00070559-6.1901e-05i,-0.00069335+0.00042187i,-0.00057631+0.00061971i,0.00020625+0.00025096i
0.00019758-0.0014136i,0.0005349-0.0014455i,-0.00040664-0.0008332i,-0.0011714+6.1078e-05i,-0.0012837+0.0014925i,-0.001149+0.0017518i,-0.00026762+0.0010708i,0.00041362-5.6398e-06i,0.00040605-0.00056093i,9.6484e-05-0.0002323i,-0.00031836+0.00014382i,-0.00049749+0.00039442i,-4.2974e-06+0.0007001i,0.00092188+0.00056884i,0.00094351+0.00077812i,0.00043474+0.00090286i,-7.1479e-05+0.00058789i,-0.00034064+0.00080521i,-3.908e-05+0.00092806i,0.00040088+0.00094056i,0.00024244+0.00097285i,-1.093e-06+0.00086507i,-0.00024551+0.00050387i
0.00048946-0.001111i,0.00025078-0.001261i,-0.00075877-0.0019358i,-0.0018364-0.00058358i,-0.0018779+0.0010658i,-0.00087886+0.0010017i,9.4377e-05+0.00060548i,0.00033102+0.00017688i,-0.00063456-0.00083603i,-0.001324-0.00077322i,-0.00040023-8.7509e-05i,-0.0002974+0.00043163i,-0.00070636+0.00055585i,0.00031668+0.0011947i,0.0007175+0.0013133i,0.00087147+0.00044421i,0.0012529+0.00026853i,0.00077736+0.0001642i,0.00023289+0.00018292i,-0.00026108+0.00056621i,-0.0005038+0.001033i,-0.00018138-1.2629e-06i,-0.00020682-0.0011336i
-0.0016415+0.00082939i,-0.0011023+0.0011568i,-0.00047617+0.0031973i,0.00076952+0.002766i,0.0011347+0.0013776i,0.00092836+0.00098144i,0.0010891+0.00057612i,0.00077234+0.00015795i,-1.9688e-05-0.00027595i,-0.0002027-0.00079295i,3.5039e-05-0.0011817i,-0.00021026-0.00078791i,-0.00061563-0.00073034i,-0.000332-0.00016954i,7.147e-05+0.00066392i,-0.00052875+0.00073805i,-0.001066+0.00072943i,-0.00045288+0.00088519i,0.00027925+0.0006455i,6.161e-05+0.00082615i,0.00018295+0.0012228i,0.0005452+0.0011147i,-5.2395e-05+0.00040513i
-0.0015172-0.00097642i,-0.002282-0.00092837i,-0.002997-0.00068913i,-0.0023055+0.0011273i,-0.0017486+0.0025293i,-0.00076365+0.0014113i,0.00036248+0.00054396i,0.00060303+0.00013897i,0.00051753-0.00048329i,0.0010604-4.552e-05i,0.0011765+0.0010416i,0.00049844+0.00076432i,0.00027622+0.00011475i,0.00075028-0.00026728i,0.00074538-0.00014964i,0.00036812+0.00022364i,0.00060657+0.0004918i,0.00069671+0.00075143i,0.00029195+0.0003634i,0.00049979+0.0003747i,0.00031335+0.00012283i,0.00025255-9.2198e-05i,0.00017301+0.00025695i
0.0014949-0.001151i,0.0020133-0.0010535i,0.0011476+0.00010705i,0.00053121+0.00035597i,-0.0005035+0.00043947i,-0.001559+0.00043996i,-0.00035559+0.00046737i,0.00084946+0.00047813i,-0.00013223-2.1168e-05i,-0.0012389-0.00054208i,-0.0011265-0.00029485i,-0.00077329+0.00067864i,0.00014147+0.0011126i,0.00021145+0.00095663i,7.4785e-05+0.0008422i,0.00030707+0.0011394i,-0.00024948+0.0010628i,-0.00079023+0.00059363i,-0.00061646+9.3438e-05i,-0.00027687+0.00010497i,-0.00041309+1.0489e-05i,-0.00036241+0.00020719i,-0.00031208+0.00025867i
0.0020747-0.0001936i,0.0019874-0.00074215i,0.0011817-0.0010395i,-3.8194e-05-0.00052315i,-0.0007906+6.0806e-05i,-0.00078496+4.273e-05i,-4.4799e-05-0.00029148i,0.00085367-0.00038283i,0.00059179-0.00037878i,-0.00019813-0.00061354i,-9.2266e-06-0.00088717i,-8.2382e-05+0.00021199i,-0.00097673+0.00098297i,-0.0015865+0.00068666i,-0.0014789+0.00024597i,-0.00041539+0.00074629i,0.00045295+0.0012381i,0.00024714+0.00075111i,0.00032418+0.00030652i,3.9397e-05-4.5094e-05i,-0.0001091+0.00030033i,-0.00025823+0.00058166i,-0.00061846-0.0003661i
-0.0013667+0.0015172i,-0.0026027+0.00075187i,-0.0020488+0.0014566i,0.00022579+0.0014764i,0.0010321+0.00058457i,1.8745e-05+8.0156e-05i,-0.0005314-7.0825e-05i,-0.0006495-0.0006523i,-0.00032133-0.0011997i,0.00054824-0.0013147i,0.00052464-0.00083216i,-0.0001753-0.001077i,-0.00013121-0.0012705i,0.00055936-0.00050333i,0.00023198-5.3352e-05i,-0.00010726+0.00037884i,0.00028788+0.00056862i,-2.1192e-05+0.00062774i,-0.00065688+6.1361e-06i,-0.00075071-0.00064724i,0.00014568-0.00035148i,0.0011651-7.3415e-05i,0.0013409-0.00035177i
0.0021016+0.0022304i,0.0022951+0.0022559i,0.0034247+0.0013062i,0.0021174+0.00089464i,0.00012423+0.0013377i,-0.000337+0.0019598i,-0.00033535+0.0017655i,-5.1402e-05+0.00048624i,0.00018681-0.00014756i,-0.00012834-0.00031055i,-0.0004944-0.00069657i,-0.00065451-0.00055479i,-5.2174e-05+0.00017749i,0.00083809+6.5195e-05i,0.00085831-0.00036914i,0.00043027-0.0005381i,0.00029683-0.00049934i,7.6612e-05-0.00013803i,0.00023795-0.00012476i,0.00032428-7.0905e-05i,-0.00028631+0.00015716i,-0.00042535-0.00014042i,-8.4543e-05+3.3695e-06i
-0.00046853-0.00056939i,-0.00033054-0.00019748i,-0.0018645-0.00028685i,-0.0019018+0.00020207i,-0.00077895+0.0010028i,0.00025545+0.0013601i,0.00077717+0.00072556i,0.0008252-0.00011294i,0.00043475-0.00018849i,-0.00032455-0.00035937i,-0.00055878+6.2022e-06i,-0.00085373+0.00017497i,-0.00085833-4.4237e-05i,-0.00055505+0.00023689i,0.00027097+0.00085308i,0.0013432+0.0015594i,0.0016967+0.0016111i,0.00082009+0.0004929i,1.7701e-05-0.00027977i,-0.00038797-9.5146e-05i,-0.00029477+0.00039125i,-0.00016891+0.00050005i,-0.00012818+0.00020565i
