-0.002769+0.0012794i,-0.0013457+0.0024327i,-0.0023622+0.0034501i,-0.0022847+0.0032302i,-0.0016773+0.0026016i,-0.0003583+0.0022738i,-0.00015394+0.0021427i,-0.00059354+0.0017878i,-0.00016846+0.0015846i,0.00043742+0.00089193i,0.00055002-0.00091089i,0.00068056-0.0015968i,0.001067-0.0011371i,0.00080751-0.001836i,6.1952e-05-0.0017241i,-0.00012172-0.00052158i,0.00042433+0.00080017i,0.00026491+0.0012945i,0.00022151+0.0004065i,0.00085202+4.9267e-05i,0.00081039+0.00026465i,0.00052797+0.00047407i,0.00071213+3.5783e-05i
-0.0011199+0.0016436i,-7.3529e-05+0.0018034i,0.00012167+0.0026088i,0.00027013+0.0027111i,0.0010547+0.002585i,0.0011405+0.0023471i,0.00069535+0.0012654i,0.00020697+0.00056409i,0.00011038+0.00030483i,6.9556e-05-0.00017113i,-9.8311e-05-0.00086233i,-0.00039049-0.0010419i,-0.00024464-0.0010481i,0.00011519-0.00045221i,-0.00039048+4.7999e-05i,-0.00039624+0.00034617i,0.0001192+0.0011336i,-0.00028639+0.00075897i,-0.00086796-0.00062062i,-0.00092645-0.00064955i,-0.0011035-0.00040455i,-0.00073963-0.00037925i,6.1493e-05-0.00033785i
-0.0013907+0.00080128i,-0.00060149+0.00020389i,-0.00030342-0.00024999i,-0.00026753-0.00022614i,2.0782e-05+0.00021772i,0.00041667+0.00093496i,-7.933e-05+0.00068578i,-0.00072779-0.00029101i,-0.00079971-0.00079215i,-0.00088392-0.00010317i,-0.00088905+0.00062216i,-0.00071085+0.00028197i,6.0285e-05-0.00041417i,0.00074594-0.00078851i,0.0007675-0.0011849i,0.00020204-0.00034761i,-0.00082445+0.00070477i,-0.00095396+0.00088601i,-0.00011448+0.00041882i,0.0006346-0.00024609i,0.00076784-0.00049686i,0.00047049-0.00054065i,0.00036862-0.00049797i
-0.00078957-0.00028842i,-0.0013501+0.00017275i,-0.0015988+0.00080598i,-0.0008499+0.0015275i,-0.00078348+0.0024004i,-0.00035039+0.0021673i,0.00011889+0.0017216i,0.00024181+0.0010438i,-0.00016529-7.7779e-05i,-0.0005877+0.00022832i,-0.00045828+0.00040224i,-0.00030253-8.8654e-07i,-7.2066e-05-0.00012772i,0.0003086-0.00022735i,0.00053445-0.00019362i,0.00058979-0.00022041i,0.00096487-6.3427e-05i,0.00094985+5.9824e-05i,0.00050148+0.00045382i,9.9792e-05+0.00054766i,6.4362e-05-3.5363e-05i,-1.7086e-05-0.00046757i,8.8356e-05-0.00018268i
-0.00087382+1.2692e-05i,-0.0010412-0.0012538i,-0.00092253-0.0019795i,-0.0015627-0.0010177i,-0.0016265+0.00039542i,-0.00021599+0.00087303i,0.00097145+0.00059151i,0.0006852+8.7363e-05i,-0.00027017-0.00028176i,-0.000758-0.00057598i,-0.00077597-0.00054326i,-0.0003953+0.00018498i,2.1888e-05-0.00034163i,2.5968e-05-0.0012327i,-0.00084435-0.00094818i,-0.00082506-0.00026351i,-0.00029052-0.00027789i,0.00012316-0.00078622i,0.00063603-0.00062902i,0.001196-0.00052779i,0.0013111-0.00042939i,0.00069092+0.00025964i,9.0003e-05+0.00037734i
-0.00081208-0.00029746i,-0.00057463+0.00049297i,0.0011321+0.00053502i,0.00094511+0.00064071i,-0.00029303+0.00090628i,0.00024509+0.0010952i,0.00055531+0.0010523i,-0.00020494+0.00030306i,-0.00053335-0.00031906i,-0.00014147-0.00094544i,0.00022261-0.0011715i,0.00014754-0.00038449i,-0.00048319-0.00048515i,-0.00093743-0.00085946i,-0.00078041-0.00034853i,-0.00093219+0.00017175i,-0.00060393+0.00047789i,-6.0518e-05+0.00080471i,-0.00029943+0.0010268i,-0.0004807+0.00073689i,-0.00029455-0.00034506i,-0.00040757-0.00077079i,-0.00053378+2.1221e-05i
0.00099769-0.0006966i,0.0011994-0.00082927i,0.00073577-0.0015345i,-6.8172e-05-0.0017485i,-0.00071244-1.7697e-05i,-0.00051059+0.0016457i,0.00010116+0.0012468i,0.0003273+0.00075744i,0.00023096+0.00061363i,-7.8494e-05+0.00039298i,-0.00060987-4.2653e-05i,-0.0001307-0.0013282i,0.00064495-0.0012174i,0.00057011+0.00066762i,0.00038265+0.0010316i,5.1354e-05+5.4949e-05i,-0.00093451-0.00046792i,-0.0012248-0.00035599i,-0.00042942+0.00030084i,0.00010201+0.00051351i,1.2278e-05-0.00030113i,0.00019109-0.0005348i,0.00012107-0.00014301i
-7.1276e-06-0.0018675i,0.00064421-0.0021481i,1.1584e-05-0.0023215i,-0.00056275-0.0024054i,-0.0009643-0.00097465i,-0.00089056+0.00050582i,-0.00039366+0.00080932i,0.00022489+0.00093012i,0.00037542+0.00036771i,-0.00032584-0.00059208i,-0.00058603-0.00082641i,-0.00049276-0.00027901i,-0.00076786+2.0825e-05i,-0.00036304-0.00046891i,0.00029567-0.00029667i,-8.2288e-05+0.00024551i,-9.0605e-05+0.00016607i,-0.0001403-0.00018648i,-0.0011355-0.00030255i,-0.00097663+0.00019527i,-6.5875e-05+0.00060614i,0.00047157+0.00047814i,0.00033224+4.8634e-05i
-0.0015196-0.00088006i,-0.0015079-0.0011168i,-0.0014027-0.0012313i,-0.0013117-0.00015576i,-0.00094361+0.0010466i,-0.00079155+0.0013126i,-0.0005317+0.0007108i,-0.00023531+0.00050374i,-0.0010933+0.00025608i,-0.0018497-0.00059879i,-0.0012322-0.00059806i,-0.00043788-0.00048511i,-0.00054711-0.00030581i,-0.00030338-0.00052411i,0.00016489-0.0003435i,-6.9737e-05+0.00027418i,-5.244e-05+0.00075037i,5.3417e-05+0.0012259i,1.2241e-05+0.00073833i,4.6405e-05+3.0386e-05i,-5.7347e-05-0.00043156i,-0.00015051+2.7443e-05i,0.00057484+7.4756e-05i
0.00029889+0.00029325i,-0.0012045+0.00015031i,-0.0021678-0.00010309i,-0.0020389-0.0001707i,-0.0019405+0.00034421i,-0.0010862+0.0011769i,0.00014735+0.0011809i,-2.0585e-05-0.00038805i,-0.00041091-0.0021412i,-0.00044824-0.0019627i,0.00010924-0.00069438i,0.00051406+9.9421e-05i,-0.0001815+0.00055919i,-0.00025561+2.9147e-05i,0.00039772-0.0008172i,-1.49e-05-0.00063033i,-0.00066524-9.1293e-05i,-0.00039744+0.00069203i,0.00019149+0.00051486i,7.701e-05+0.00037881i,0.0002483+0.00038742i,0.0010182-0.00041245i,0.0003989-0.0005464i
-0.00091109-7.2541e-05i,-0.00030834-0.00064482i,0.0012504+0.00025405i,0.0011388+0.00057554i,0.00015649+0.0011426i,0.00051957+0.0015633i,0.0008105+0.00094542i,0.00058619+0.00033531i,0.00063392+7.779e-05i,0.00072301-0.00077035i,0.00064905-0.0010104i,0.00090468-0.00070117i,0.00038558-0.00042418i,-0.00048085+0.00015887i,1.6833e-05+0.00028691i,0.00061049+0.00039191i,0.00063483+0.00038153i,-0.00053247+0.00027019i,-0.0010882+0.00028493i,0.00045842+0.00047041i,0.0010773+0.00045119i,0.00071818+0.00010339i,-0.00057715+0.00031689i
-0.00053522-0.0016709i,-0.0011603-0.0017583i,-0.0020155-0.0009194i,-0.0015241-9.5585e-05i,-0.00029772-0.00090261i,-6.0844e-05-0.0007252i,-0.00049103-9.4243e-05i,-0.00088129-0.00053432i,-0.00056709-0.00073914i,-0.00031215-0.00035528i,-0.0004573-0.00073734i,-0.00061589-0.00088629i,-0.00017975-0.00025064i,0.00062356-6.0626e-05i,0.00053-0.00050808i,-0.00021549-0.00057462i,-0.0010893-0.00038833i,-0.0010041-0.00010011i,-0.00011224-0.0004621i,0.00041531+0.00014522i,-0.00016899+0.0013619i,-0.0010301+0.00092184i,-0.0004369-0.00017136i
0.0016532+0.0012858i,0.0017803+9.684e-05i,0.0021302+0.00065646i,0.0014127+0.0011268i,0.00062822+0.00062254i,0.0001896-7.6102e-05i,-0.00052362-5.5744e-05i,-0.00031749+0.00016752i,-0.00059766-0.00025521i,-0.0010525-0.00030823i,-0.0005016+1.4807e-05i,6.1126e-05-0.0001392i,7.6402e-05-0.00024724i,0.00050335+0.00011988i,-4.3641e-05+3.4032e-05i,-0.00063074-0.00012193i,-0.00082315+0.0003409i,-0.0003728+0.0008518i,0.00049376+0.00020886i,0.00037327-2.2174e-05i,0.00038588-7.2314e-06i,0.00086366-0.00034548i,0.00069553-0.00046085i
-0.00047724+0.00075794i,-0.00098588+0.0015564i,-0.0018917+0.00035566i,-0.0018319-0.00054494i,-0.0011013-0.0003002i,-0.00073879+0.00086704i,-0.000461+0.00085988i,-0.00055294+0.00065538i,-0.00097635+0.00078532i,-0.0010851+0.00011659i,-0.00074851-0.00095037i,-0.00021605-0.00097982i,-0.00023681+0.00010233i,-0.00048675-3.7897e-05i,-0.0010427-0.00096202i,-0.0011964-0.00094508i,-0.00075708-0.00025788i,-0.00047863-0.00020752i,-0.00067842-0.00091321i,-0.00010593-0.0012113i,0.00050922-0.00053777i,0.0005963+0.00052449i,-0.00012093+0.00079389i
0.00088441-0.0012637i,0.0022069-0.0010169i,0.0023431-0.00081815i,0.0011313-0.00086911i,0.00014908-0.00056424i,0.00050054+0.00044865i,0.0010527+0.0010674i,0.00080354+0.00028613i,0.00067505-0.00020994i,0.00049783-6.0105e-05i,-0.00031621-0.00035534i,-0.00045518-0.00046956i,0.0001532-6.4968e-05i,5.8623e-05-0.00032765i,-0.00023824-0.00034051i,-0.00059013+0.00070146i,-0.0002497+0.00089248i,0.00015412-3.4098e-05i,-7.8297e-05+0.00024021i,-8.918e-05+0.0014217i,-0.00018978+0.00054495i,-0.00029835-0.00072141i,-0.00063446-0.00032676i
0.00047058-0.0003031i,-0.00012107-0.0015273i,-0.00093934-0.0020007i,-0.0012013-0.00039889i,-0.0012337+0.00077282i,-0.00052871+0.00099908i,0.00063615+0.00083424i,0.00062185+0.00052872i,-8.3803e-05-9.19e-05i,9.4907e-05-0.00053512i,7.4626e-05-0.00047783i,0.00012056-0.00030257i,0.00017487+0.00013769i,3.3141e-06-0.00015301i,3.1377e-05-0.00040631i,0.00010671-0.00024785i,-0.00024467-0.00018374i,-0.00076422+0.00013268i,-0.00071356+0.0009135i,-0.00065514+0.00053395i,-0.00017204-0.00055646i,0.00019426-5.8599e-05i,1.9133e-05+0.00033998i
0.0032966+0.00093425i,0.0033788+0.0009639i,0.0030463+0.00036813i,0.002147-0.00025125i,0.0012172-0.0010152i,0.0011115-0.0010839i,0.0011524-0.0007506i,0.00047787-1.9106e-05i,-0.00031883+0.00057442i,-0.00056668+0.00043238i,-0.00063503+0.00030068i,-0.00041377-0.00035906i,-4.7399e-05+4.716e-05i,-0.00037993+0.00094408i,-0.00065937+0.00049452i,-0.00038321+0.00016872i,-0.00022706+0.00038941i,-0.00045632+0.00016561i,-0.001077+0.00013906i,-0.00081399+0.00023074i,-0.00017952-0.00026243i,-5.8165e-05-8.2268e-05i,-0.00041382+0.00040542i
8.4677e-06-0.00040182i,0.00026697-0.0017602i,0.00034244-0.0017341i,-0.00033649-0.00075511i,-0.00068608-0.00011707i,-0.0012278+0.00065003i,-0.0013899+0.00066093i,-0.00060603+0.00090335i,-0.00017759+0.00056412i,0.00032124-0.00011051i,0.00074984+4.1217e-05i,0.00012252+2.6512e-05i,-0.00061048-0.00056159i,-0.001295-0.0009542i,-0.0016379-0.00030598i,-0.0014661-0.00017054i,-0.00072169-0.00025663i,-0.00048448+0.000154i,-0.00059891+0.0005198i,-0.0003528+0.00043125i,6.7122e-05+0.00020963i,0.00056889-0.00047777i,0.00018031-0.0011505i
0.0015302-0.0002006i,0.0014285-0.0010731i,0.0011889-0.0013468i,0.00090528-0.00026073i,0.00095705+0.0013489i,0.001083+0.0020446i,0.00082466+0.0012393i,0.00035549+0.00027054i,-0.00022991-0.0003757i,0.00038643-0.0010182i,0.00055311-0.0011968i,-0.00045975-0.00065991i,-0.00077691+5.6058e-05i,-0.00017662+0.00051518i,0.00031079+0.00028639i,0.00050593-0.00059481i,0.00060582-0.00071664i,0.00045536+0.00015144i,0.0005128+0.0012475i,0.000341+0.00089094i,0.00024079-0.00060982i,0.000326-0.00089884i,-0.00011746-0.00043015i
-0.0012433-0.00024605i,-0.0008783-0.0003981i,-0.00046649-0.00059521i,-0.00050664-0.0011637i,5.188e-05-0.00033107i,3.7988e-05+0.0015789i,-0.00040497+0.0022759i,-0.00020017+0.00065541i,-0.00037079-0.00093055i,-0.00066453-0.0010185i,-0.00074427-0.00064973i,-0.00017579-0.00044202i,0.00012494-0.00075793i,-8.1861e-07-0.0010038i,-0.00020129-0.00093105i,-0.00044717-0.00043644i,-0.00080391+0.00021647i,-0.00033869-0.00035428i,0.0011956-4.7312e-06i,0.00089411+0.00070456i,0.0001651+0.0005896i,-7.252e-05+0.00038797i,-0.00033476+0.0010312i
-0.0016345-0.0010495i,-0.00059998+0.00048088i,-0.001561+0.0013636i,-0.0026134+0.0011817i,-0.0022756+0.0016157i,-0.0010165+0.0019318i,-0.00076398+0.0011941i,-0.0010547-0.0002925i,-0.0011786-0.00099532i,-0.00093277-0.00054278i,-9.766e-05-1.1117e-05i,0.00020799-0.00021997i,-0.00076864-0.00090691i,-0.00077566-0.00087828i,-5.3314e-05-0.00039714i,0.00039961-0.00022848i,0.00014401+0.00037352i,-5.2291e-05+0.00053419i,-6.7721e-05+3.4438e-05i,0.00024764-0.00041275i,-0.00010289-0.0003341i,-0.00034723-0.00034771i,-4.131e-05+5.4649e-05i
0.00033492+0.00084772i,0.00056729+0.00027154i,0.0016994+0.00012098i,0.0020493+0.00039472i,0.0021326+0.00022204i,0.0010054+0.00023392i,-0.00054037+0.0013083i,-0.00073986+0.0013967i,-0.00077667+0.00069715i,-0.00014796+0.00031658i,0.00058193+0.00051922i,0.0001753+0.00068024i,-0.0004937+0.00038635i,-0.0005903-3.6338e-05i,-0.00042049+0.00027159i,0.00010298-1.0794e-05i,0.00013899-0.00047578i,0.00029629+0.00013539i,0.00033935+0.00095252i,0.0004629+0.00065841i,0.00064786-0.00056218i,0.00022082-0.0016843i,0.00050489-0.0014651i
0.00048662+0.00041206i,-0.00039899-0.00045459i,-0.0014953-0.0012468i,-0.0019632-0.0013936i,-0.0020081-0.00038276i,-0.00097257+0.00050328i,-0.00035533+0.0011371i,-0.0007739+0.0010852i,-0.0008399+0.00018429i,-0.0004404-0.00033964i,-0.00048804-0.00059526i,-0.00013925-0.00072147i,0.00058786-1.9108e-05i,0.00096531+0.00039806i,0.00033266+0.00050792i,-0.00045398+0.00064587i,-0.00020832+0.00072379i,-0.00014676+0.00070586i,0.00013492+0.00083094i,0.00022998+0.00057945i,-0.00016725+0.00049062i,-0.00049263-2.6378e-05i,-0.00039085-0.00063528i
-0.00037636-0.00076714i,-0.00093248-0.001611i,-0.00019448-0.0012338i,0.000879-0.00052101i,0.00065641-0.00032022i,-0.00066015+0.0004389i,-0.00062163+0.00093882i,4.4435e-05+0.00039153i,-0.00038724+0.00021591i,-0.00016489+0.00046594i,0.00057015-4.997e-05i,0.00055445-0.00049948i,-0.00030319-0.00093568i,-0.00030632-0.00095015i,-8.2956e-05-0.00039238i,-0.0001579+6.0889e-06i,8.1245e-05-7.2964e-05i,-0.00017448+0.00014924i,-0.00095641+0.00021792i,-0.00073909+0.0010177i,-0.00042015+0.0010241i,0.00026296-0.00044171i,0.00087912-0.00067898i
-0.0010848-0.00037355i,-0.00087514+0.0011259i,-0.0011237+0.0014995i,-0.0014298+0.0013786i,-0.0013205+0.001639i,-0.00083874+0.00093914i,-7.6771e-05-4.9533e-05i,0.00010905-0.0013419i,-0.00062085-0.0017564i,-0.00048126-0.0007932i,-0.00027146-0.00042315i,-0.0010698+9.738e-05i,-0.0016217-7.2798e-05i,-0.0010423-0.00090366i,-0.00064475-0.00095963i,-0.0004321-0.00050602i,-0.00065039+0.00050296i,-0.00038841+0.0015658i,-0.00035499+0.0015231i,-0.00028817+0.00020435i,0.00022395-0.00079685i,-8.8158e-06-0.00094444i,-0.00054126-0.00035497i
0.0026385-0.00086535i,0.0029358-0.0016859i,0.0025157-0.0020697i,0.00087854-0.0018075i,0.00012193-0.00072125i,-0.00012532+0.00031554i,-0.00057358+0.00079353i,-0.00020084+0.00044231i,-0.00049931+0.00023263i,-0.00081106-0.00050904i,-0.0004354-0.001594i,-1.6446e-05-0.0012446i,0.00042604-0.00076642i,0.0009742-0.00094595i,0.00036254-0.00024664i,-0.00015852+0.00038984i,0.00023183+0.00013352i,-0.00017215-0.00036376i,-0.00063524-0.00042706i,5.5305e-05+9.2698e-05i,0.00019104+0.00012206i,-0.00052258-0.00019448i,-0.00018677-0.00018229i
-0.0020014+0.00077454i,-0.00213+0.0014554i,-0.0010646+0.00068923i,-0.00023496+9.4822e-05i,-0.0007596+0.00079986i,-0.000523+0.0016688i,-0.00019159+0.00067772i,-0.00046145-4.4705e-06i,-0.00037091+7.129e-05i,0.00044832-0.00039617i,0.00017856-0.001042i,-0.00057832-0.0011384i,-0.00082082-0.00092332i,-0.00019275-0.00051091i,0.00052557-0.0001824i,0.00013541-0.00016146i,-0.00050278-0.00017637i,-0.00053357+0.00010214i,-0.00081961+0.00063834i,-0.00035743+0.00017329i,0.00064528-0.00081856i,0.00030909-0.00030756i,0.00010724+9.6127e-05i
0.0025154+0.00041807i,0.0043554+0.0011395i,0.0043719+0.00083363i,0.0032759+9.7029e-05i,0.0017424+0.00013882i,0.00034631+0.00074037i,0.00019474+0.0011891i,7.1026e-06+0.00027861i,-0.00011859-0.00053286i,0.00017614-0.00032637i,-0.00013188-0.0005923i,-0.00022141+5.5459e-06i,-0.00080671+0.0011228i,-0.0013658+0.00033427i,-0.00097918-0.00055223i,-0.00028905-0.00043398i,-2.6082e-05+5.6344e-05i,-0.00034745+0.00028338i,-0.00046228+8.8649e-05i,-0.00061905+2.8983e-05i,0.00018445-0.00057777i,0.00073927-0.00078081i,-0.00020017-0.00021223i
-0.00039047+0.0002152i,-0.00075308-0.00023198i,-0.0024011+0.0004603i,-0.0019799+0.00083508i,-0.00032632+0.00036585i,-0.00046932-0.00012271i,-0.00060428+0.00065447i,-0.00015707+0.00097428i,6.6015e-05+0.00022575i,0.0002901-0.00021004i,0.00036289+0.00043342i,-0.00095185+0.00048094i,-0.0014658-0.00062765i,-0.0008838-0.0010947i,-0.00047958-0.00083227i,6.0897e-05-9.7661e-05i,-3.5337e-05+0.00026356i,-0.00013776+0.00020366i,0.000429+0.00025838i,0.00020912+5.9613e-05i,-0.00019104-0.00054444i,-0.0005468-0.00060914i,0.00013768-0.00055568i
-0.00034394+0.00085475i,0.00031507+0.0013228i,0.00077005+0.00086244i,0.00097639+0.00044439i,0.0005433+0.00075786i,0.00041053+0.00086957i,-4.232e-06+0.00069378i,-0.00010604+9.0953e-05i,-0.00029501-0.00028614i,-0.00077728-5.7639e-05i,-0.00087245-0.00019331i,-0.00050338-0.00076977i,-0.00018905-0.00079056i,0.00032001-0.00029055i,0.0006211+0.00042706i,-4.1749e-05+0.00014099i,-0.00014902-0.00036589i,-1.1314e-05-5.9727e-05i,-0.00012248+0.0001702i,-0.00010567-0.00011482i,0.00045011-0.00038983i,0.00040142-0.00066961i,0.00029031-0.00016697i
0.0029645-0.00055813i,0.0017719-0.0025161i,0.0013335-0.0034485i,0.00038942-0.0022449i,-0.00072133-0.00047417i,-0.0011039+9.6978e-05i,-0.00069939+2.873e-05i,-0.00029706-0.00098476i,0.00051156-0.0015258i,0.0011619-0.00084535i,0.00028546+5.0457e-05i,-0.00053677+0.00014053i,-0.00020613-0.00015465i,0.00063001-0.00044426i,0.00057147-0.00010397i,9.3525e-05-9.9322e-05i,8.383e-05-0.0002641i,-0.00011926-0.00038426i,-0.00018265-0.00010578i,0.00011853+0.00034294i,0.00050617+0.00071294i,0.00089964+0.00052374i,0.00054933-6.4395e-05i
0.0010584-0.00064653i,0.0011395-0.00041783i,0.0010667-0.0016915i,0.00046286-0.0023081i,0.00037162-0.0016638i,-0.00062275-0.00053664i,-0.00074482+0.0011632i,0.00033504+0.0015089i,0.00042156+1.1145e-05i,0.00013414-0.00087741i,4.5576e-05-0.00057042i,-3.4916e-05-0.00092282i,-5.1126e-05-0.00071621i,-0.00019873+5.0322e-05i,9.0084e-05-0.00023334i,-0.00011468-0.00065367i,-0.00047341-0.00017792i,-0.00015308+0.00027691i,0.00012199+0.00065953i,0.00033706-6.8138e-05i,0.00048606-0.00040452i,8.5931e-05+0.00034617i,-0.00018055+8.4786e-05i
