-0.00011216+0.0015063i,0.00019899-0.00048154i,-0.00024865-0.0016438i,-0.0011956-0.0012875i,-0.0033035-0.00064291i,-0.0037602+0.00028396i,-0.0023401+0.0013608i,-0.0014043+0.0018786i,-0.00069253+0.001174i,0.00027682+0.00034036i,0.00018478+0.00015238i,-3.9108e-05+0.00014089i,0.0004949+0.00021357i,0.00044229+0.00016394i,0.00032616+0.00024486i,0.00020455-3.9574e-05i,0.00027139-0.00019098i,0.00083638-0.00050839i,0.00037553-0.00090533i,0.00018176-0.00077281i,0.00048993-0.00028585i,0.00030746+0.00084994i,0.00013917+0.0016361i
0.00080058+0.00078259i,0.0026951+0.00041762i,0.0038715-0.00023477i,0.0015712+0.00028377i,-0.00044858+0.00017058i,0.00029045-0.00028456i,0.00080363+0.0006816i,-1.3621e-05+0.0011145i,0.00040366+0.00043785i,0.00105+0.00081904i,-0.00018442+0.00056102i,-0.00028357+0.00011281i,-0.00011739+0.00053058i,-0.00075713+0.0007886i,-0.001189+0.00048057i,-0.00080524+0.00046687i,0.00019206+0.00031917i,0.00010089+0.00033652i,-0.00034806+0.00046198i,-0.00019359-6.2781e-05i,-0.00010524-0.00033315i,-0.00013285+0.00014361i,-0.00025156+0.00016275i
-0.0025912+0.00063663i,-0.0015092+0.00095572i,-0.00086371+0.00021257i,-0.0012362-0.00024044i,-0.0012112+0.00015845i,-0.00034509+0.00034204i,0.00091339+0.00058418i,0.00043309+0.00048226i,-0.0003264+0.00029255i,0.00012006-0.00017174i,0.00028599-0.00038839i,-4.5733e-05-0.00017179i,-4.477e-05-7.8475e-05i,0.00045281+0.00057712i,0.0010765+0.0011334i,0.00078729+0.00091847i,0.00024793+0.00065356i,0.00047754-0.00033131i,0.00062006-0.00046083i,0.00023341+0.00025179i,0.00019251+0.00073316i,-0.00033317+0.00050093i,-6.3011e-05+0.00024349i
-4.3444e-05+0.00042865i,-0.00016276-0.0005024i,-0.00067254-0.00026096i,-0.00035271-0.00031536i,0.00019012+0.00028899i,0.00018176+0.00072431i,0.00032355+0.00062784i,0.00057081+0.00093475i,0.00037766+0.0016262i,0.00011519+0.0013644i,-0.00035914+0.00040686i,-0.00036344+0.00036147i,0.00029325+0.00028744i,0.00070513+0.00065386i,0.00039977+0.00098283i,0.00029143+0.00085649i,2.3412e-05+0.0010237i,-0.00089685+0.00054964i,-0.00097656-0.00030549i,-0.00042437+2.7749e-05i,-0.00042078+0.0003529i,5.503e-05+2.3884e-05i,0.00085363-0.00040183i
-0.0005379-0.00058954i,-0.0007125-0.0010604i,-0.0017446-0.00081638i,-0.0012801-0.00012244i,-0.00094266+0.00024762i,-0.00046559+0.00033432i,0.0003261+0.00022306i,0.00028604-7.4234e-05i,0.00019999+0.00053203i,0.0007254+0.00076917i,0.00041407+0.00058794i,-0.00030258+0.00035479i,0.00034606+0.00013588i,0.00051049+0.00035501i,-0.00017754+0.00037307i,-0.0010942-6.7582e-05i,-0.0005839-0.0006392i,0.00040873-0.00030607i,0.00019946+0.00028979i,-0.00025404+0.00039528i,-0.00029792+0.00067364i,0.000144+0.00037459i,-9.2836e-05+6.9882e-05i
-0.0012211-0.00050486i,-0.00038554-0.00018705i,4.3437e-05-0.00015582i,-0.00082284+0.00024467i,-0.0013073+7.9611e-05i,-0.0010093-0.00035646i,-0.00033077+8.3804e-05i,0.00050943+0.00019445i,0.00095604+0.00053237i,0.0013059+0.0011229i,0.00098221+0.00081142i,0.0012064+0.00084711i,0.0012832+0.00053535i,-0.00021376+0.00029805i,-0.00077653+0.00041036i,-0.00082509-0.00022395i,-0.0012061-0.00027983i,-0.0014304+0.00049539i,-0.0011891+0.0012395i,-0.00014489+0.00094468i,0.00051926+0.0004032i,0.00023739-0.00013671i,0.00013187-9.5361e-05i
-0.00025927-0.0017877i,0.00047031-0.00083133i,-0.00021487-0.00099718i,-0.0014459-0.0010676i,-0.0020868-0.00028677i,-0.00066301+0.00096362i,0.00070474+0.0011296i,-0.00016107+0.00010097i,-0.00089714+0.00033953i,-0.00063372+0.00081427i,0.00036604+0.00068071i,0.00067447+0.00084639i,0.00097433+0.0007884i,0.0011725+0.00024516i,0.00095882-1.5305e-06i,0.00098828-0.0002555i,0.00071799-0.00066148i,2.829e-06-8.088e-05i,-0.00038345+0.0011577i,0.00013917+0.0012658i,0.0010412+0.00031152i,0.00076309-0.00066955i,0.00017442-0.00042939i
-0.00076989-0.001651i,-0.00098889-0.0021239i,-0.0017432-0.0017479i,-0.0026236-0.0011297i,-0.0017429-0.00082747i,0.0002721-0.00068366i,0.00058211-1.6804e-05i,-1.5605e-05+0.0012243i,-0.00032676+0.001078i,-0.00027401-3.4836e-05i,0.00035707-0.00028598i,-1.4286e-05+0.0003863i,-0.00049275+0.00040818i,-0.00019193-9.9878e-05i,0.00081347-8.2104e-05i,0.0012154-1.6624e-05i,0.00040987-0.00035091i,3.7807e-05-0.00093944i,-0.00059821-0.00028467i,-0.001037+0.0002882i,-0.00040793-0.00063157i,0.0003995-0.00098764i,-0.00047329-0.00036774i
0.001805+0.0005808i,0.0018759+0.00078259i,0.00081971+0.00043348i,-0.00027779-0.00092505i,-0.00057737-0.0021348i,-0.00074453-0.0022336i,-0.00050998-0.0016863i,0.00025361-0.00051309i,0.00085989+0.00028133i,0.00045645-0.00016771i,-9.4567e-05-2.912e-05i,0.00013724+0.00097915i,2.8352e-05+0.0013202i,-0.00033755+0.00088102i,-0.00048719+0.0005764i,-0.00066364+0.00068083i,-0.00097339+0.00044696i,-0.00057824+0.00068504i,0.0004445+0.00074067i,0.00093048+0.00046111i,0.00028965+0.00036479i,-0.00025329+0.00023503i,-0.00098053+0.0001696i
-0.00091118+0.00039818i,-0.00066886+0.00067462i,-0.00053818+0.00018101i,-0.0007741-0.0001466i,-0.00040408+0.00021307i,0.00054169+9.6191e-05i,0.00069326-0.00057496i,-0.00018308-0.00037863i,-0.00024972+0.00059868i,0.00029541+0.00077489i,0.00014666+0.00022661i,-0.00031246-2.3481e-06i,-6.7486e-05-1.4213e-05i,0.00036538+0.00035045i,0.00030002+0.00043916i,9.6525e-05+0.00021927i,-0.00036112-0.00079164i,-0.00072011-0.00084348i,-0.00048078+0.00029254i,5.4238e-05+0.00053537i,0.00027842+0.00047561i,0.00050506+0.00038594i,0.00058359+0.00036169i
-0.00012343-0.0014268i,0.00037583-0.001768i,-0.00038049-0.0019624i,-0.0011637-0.0017423i,-0.00099773-0.0012844i,-6.155e-06-0.00078275i,0.00063541-2.9313e-05i,0.0001112+0.00022539i,-0.00010703-0.00038175i,0.00037924-0.0006418i,0.00074936-0.0006667i,0.0012535-0.00067203i,0.0014179+0.00023718i,0.00088219+0.0012081i,0.00018347+0.00096861i,-0.00012428-1.4774e-05i,0.00013039-0.0002984i,0.00049764-0.00037922i,0.00033171-0.00027474i,-0.00032546-0.00082716i,-0.00013345-0.0014671i,-0.00014815-0.00088516i,-0.00060971-0.00044937i
-0.00013242+0.00050429i,-0.00037438+0.0008323i,-0.0017053+0.00075308i,-0.0019177+0.0014209i,-0.0018711+0.0019744i,-6.6989e-06+0.00080156i,0.00099683-0.0008493i,0.00046812-0.00047309i,-0.00012088+0.00076839i,0.00026541+0.00088737i,0.00071188+0.00026021i,0.00038172+0.00069093i,0.00054014+0.0009601i,0.00032995+0.00018224i,4.1325e-05-0.00034927i,-1.8472e-06-0.00018997i,-0.00018455+0.00013553i,0.00010713+0.0003152i,0.00018153-2.0331e-05i,0.00042771-0.00031988i,0.000736-0.00055349i,0.00016543-0.00054053i,-5.1447e-05+0.00023867i
-0.0028015-0.0010187i,-0.0025952-0.0016289i,-0.0021971-0.0019213i,-0.0027391-0.0021293i,-0.0016565-0.0015931i,-0.00025062-0.00066532i,8.9465e-05-0.00055596i,0.00028491-0.00029693i,0.0004342+0.00092309i,0.00054003+0.0011729i,0.00087776+0.00061097i,0.0011752+0.00053174i,0.00071008+0.00013707i,8.6868e-05-1.7087e-05i,0.00010826+0.00062614i,-5.0841e-05+0.00054674i,0.00011529+0.00025744i,5.079e-05+0.00026149i,-0.00049621+0.00030391i,-4.6345e-05+0.00062223i,0.00059721+0.0011869i,0.00039387+0.0013232i,0.0001587+0.00058496i
0.00043746-0.0015831i,-0.0004426-0.0011295i,-0.00049956-0.00020125i,-0.0010935+0.00022287i,-0.001456+0.00029714i,-0.00045208+0.00079291i,7.4154e-05+0.001777i,7.2076e-05+0.0012479i,-0.00013092+0.0002768i,-0.00027148+0.00041631i,-7.4195e-06+0.00028483i,-0.00017061+3.9e-05i,0.00030521+0.00028866i,0.00052881+0.00029876i,0.00028936-2.6329e-06i,6.1249e-05-0.00036226i,-0.00015892-0.00022764i,-0.00063973+0.00032016i,-0.00079314+0.0001342i,-0.00059275+0.00034588i,-0.00071446+0.00017059i,-0.00068928-0.00046287i,-0.00050631-0.00022803i
-0.000462+0.0026002i,0.00011864+0.002643i,-0.00016206+0.0011615i,-0.0011858+0.00038769i,-0.0012561+0.00045567i,0.00013885+0.0011172i,0.0012387+0.0011507i,0.00038794+0.00060085i,-0.00069442-0.0001175i,-0.00045009-0.00019893i,0.00041269+4.1277e-05i,0.00048584+0.0001917i,3.0058e-05+0.00041838i,-0.00043408+5.3354e-05i,-0.00037113-3.5392e-05i,-0.00066256+3.7867e-05i,-0.00089923-0.00023795i,-0.00042767-0.00041938i,0.00011319-0.00083517i,0.00052957-0.00047145i,0.00037409+0.00011782i,0.00024464+5.7286e-05i,1.3173e-05-0.00045153i
0.0018509-0.00014945i,0.00010323-0.0023687i,0.00064436-0.0033445i,0.00093163-0.0033109i,-0.00050276-0.0030863i,-0.00086297-0.0014158i,-0.00059842-0.00012063i,-0.00069099+0.00033895i,-3.893e-05+0.00043457i,2.0732e-05+0.00018303i,-0.00026308+0.00027948i,0.00023106+0.0003065i,0.00051361+0.0005314i,0.0010066+0.0010857i,0.00046253+0.00090715i,0.00025759+0.00079031i,0.00026534+0.00093619i,-0.00041085+0.0003405i,-0.00028494+0.00013293i,0.00031748-0.00036637i,0.00065865-0.00022631i,0.00014063-0.00057882i,-0.00018399-0.0017499i
0.0028585-0.00030411i,0.0013433-0.00054629i,0.00026187+8.1278e-05i,0.0002209+0.00032372i,0.00051631-2.9127e-05i,0.00084937-3.6053e-05i,0.00028341+0.00065959i,-0.00047966+9.3671e-05i,0.00018743-0.00018807i,0.0010351+0.00015582i,0.001336+0.00032571i,0.001084+0.00071357i,0.00033067+0.00059705i,0.00027471+0.00087039i,0.0007516+0.0010516i,0.00064853+0.00061338i,-0.00039484+0.00022055i,-0.00079826-3.5699e-05i,-0.00048073-0.00022708i,3.8526e-05-0.00059324i,0.0004467-8.8379e-05i,0.00015181+0.00038084i,-1.6537e-05-0.00011604i
-0.0001511+0.00066931i,-0.00023135+0.00045632i,0.00017583-0.00039287i,-0.00089087-0.00066536i,-0.0011244-0.0007531i,8.1695e-05-0.00064689i,0.00033669-0.0001633i,-0.00011403+0.00041014i,-0.0007764+0.00062607i,-0.00030764+0.00033809i,0.00020571-4.697e-05i,-0.00013885+4.0899e-05i,-0.00052931+0.00027722i,-0.00037297+0.0003506i,0.00066548+7.686e-05i,0.00098118+0.00036521i,-0.00012993+0.00062532i,-0.00076398+0.00037101i,-0.00060923+0.00027465i,-0.00061096+0.00031548i,-0.00046355+0.00027867i,0.00032958+0.00023027i,0.0004849+0.00023697i
-0.00058531-0.00077399i,-0.0011875-0.00070053i,-0.00064973-0.00025383i,-1.9627e-05-0.0001825i,-0.00040194+0.00088109i,-0.0011756+0.0011543i,-0.00052532+0.00090362i,0.00030166+0.0017334i,-3.0686e-05+0.0020625i,-0.00084028+0.0017126i,-0.0012106+0.0012166i,-0.00032792+0.00040948i,0.00039925+0.00025775i,0.00037254+0.00046736i,0.00018427-0.00024016i,0.00023844-0.00029232i,6.5266e-05+0.00013067i,-0.00066046+0.0004163i,-0.00087163+0.00073305i,-0.0008744+0.00071975i,-0.00074577+0.00085018i,-0.00036327+0.00079018i,0.00031036+0.00028571i
0.0032598-0.0025649i,0.0018959-0.0024146i,-0.0011894-0.0033781i,-0.003278-0.0031595i,-0.0032684-0.0011582i,-0.0022292+0.00030758i,-0.00090915+0.00034553i,0.00013248+0.00061635i,0.00030256+0.00097361i,0.00056364+0.00088872i,0.0011834+0.00022663i,0.0011786-6.9938e-05i,0.00077272+0.00049274i,0.00037565+0.0007445i,0.00045478-0.00041437i,0.0011664-0.001506i,0.0001947-0.00072074i,-0.0011145+0.00029945i,-0.00078325+0.00068699i,0.00021528+0.00033894i,0.0007801+0.00010407i,0.00037888-0.00022141i,-0.00012009-0.0005953i
-1.1873e-05+0.00039894i,0.00015413+0.0013113i,0.00024246+0.0015601i,0.00028108+0.0010169i,7.8947e-05+0.00038952i,0.00027259-0.0002062i,0.00065044-0.00052123i,0.00086383-6.4795e-05i,0.00060989+0.0010084i,-0.00020998+0.0010768i,-0.0010368+0.00051602i,-0.0012511+3.4272e-05i,-0.00134-0.00053103i,-0.00095441-0.00066689i,0.00017902-0.00076919i,0.00047975-0.00050559i,0.00012095-4.1525e-05i,-0.00074188-0.00060072i,-0.00114-0.0010317i,-0.00028251-0.00067293i,-6.8616e-06+0.00039726i,-0.00017908+0.00067537i,-0.00041684-0.00044118i
-0.00041912-1.1363e-05i,0.0002875+0.00055467i,0.00066856+0.00028632i,6.0004e-05-0.0010156i,-0.00056188-0.0015842i,-4.5321e-05-0.0012093i,0.00059034-0.00041392i,-0.0002325+0.00097135i,-0.00094952+0.0025714i,-0.00010481+0.0025589i,0.00028753+0.0013086i,0.0004942+0.00035786i,0.00043852+0.0003447i,-0.00035812+0.00073403i,0.00035055+0.0011659i,0.00095546+0.0010379i,0.00049015+0.00011256i,0.00047563+0.0001606i,-9.5164e-05+0.00088863i,-0.00085676+0.00035984i,-0.00081066+0.00013845i,-0.00022479+0.00026589i,0.00055474-0.00050235i
-0.00055475-0.00037459i,-0.00061189-0.000568i,-0.0006136-0.00085205i,-0.00044859-0.00098229i,-0.00058874-0.00031971i,-0.00083928+0.00024847i,-0.0002094+0.00028103i,0.00018142+0.00060679i,-0.00030297+0.0012342i,-0.00053048+0.00095509i,-7.1888e-05+0.00060854i,0.00068318+0.00093933i,0.00025403+0.00069044i,0.00022697-0.00051032i,0.0011447+3.4882e-05i,0.0010068+0.00030013i,7.2386e-05-0.00058723i,-0.00067995-0.00030766i,-0.00086653+0.00098035i,0.00012543+0.00065004i,0.00099702-0.0001366i,0.00032874+0.00036416i,5.4887e-05+0.0005715i
0.00085013+0.0021696i,0.00095863+0.00066547i,0.00057533-1.11e-05i,-0.00030993-0.001276i,-0.00054024-0.0014478i,-0.00070554-0.0010142i,6.5254e-06-0.0014437i,-5.7149e-05-0.00035155i,-0.00020987+0.00056266i,0.00088618+7.9547e-05i,0.0009072-0.00013261i,0.00017192-0.00030877i,-0.00015013-0.00017297i,-0.00072122+0.00016439i,-0.00013341+0.0006657i,0.00068384+0.0011033i,0.00043584+0.00071065i,-0.00083274+0.00043438i,-0.001842+0.00074502i,-0.0014539+0.00060963i,-0.00066005+0.00034146i,-7.866e-06+0.00010861i,0.00033334-0.00011752i
-0.00065495-0.0012181i,-0.00073716-0.00016968i,-0.0014191-7.2712e-05i,-0.0012723-0.00085077i,-0.00060872-0.001456i,-0.00022432-0.00030823i,0.00030692+0.00047175i,0.00026077+0.00032332i,-7.4284e-05+0.0003224i,-0.00034947+0.00060775i,-0.00063724+0.00083438i,-0.00036211+0.00092208i,-9.2286e-05+0.00097929i,2.1028e-05+0.00030558i,-0.00024492-0.00011567i,-0.00052775+0.0003681i,-0.00083027+0.00011669i,-0.00052716-0.00047326i,-0.00024771+0.00016678i,0.00029042+0.00028724i,0.00069792-0.00011585i,0.00031439+0.00018257i,-0.00010599+0.00036516i
-0.0011316-0.0020852i,-0.0010298-0.001431i,-0.00071864-0.000327i,-0.0013095+0.00070766i,-0.0016823+0.002139i,-0.0010546+0.0025i,-0.00071909+0.00053745i,-0.0010088-0.00080258i,-0.0011427-0.00020057i,-0.0009537+0.00088226i,-0.00049203+0.00082799i,-0.00047733-0.00017202i,-0.0003271-0.00049538i,0.00021896-8.3215e-05i,4.4032e-05+0.00011942i,-0.00074499+5.1051e-06i,-0.0017492+6.7557e-05i,-0.0011169+0.00021642i,-0.00043103+0.000425i,-0.00053428+0.00064681i,-0.00040444+0.00011987i,-0.00043306-0.00029388i,-0.00020709-0.00027585i
0.00015183-0.00042213i,0.00042947+0.00064644i,0.00015058+0.00044857i,-0.00050722-0.0001384i,-0.00026865-0.00035785i,0.00053204-0.00033044i,0.00062489-0.00050845i,0.00020241-7.7111e-05i,-0.00012917+0.00042402i,0.0006523+0.00064396i,0.0014314+0.0010721i,0.0004523+0.0012036i,-0.00010804+0.00038046i,0.00093893-0.00046573i,0.001408+2.1183e-05i,0.00066883+0.00070246i,-0.00048956+0.0010833i,-0.00099736+0.0011567i,-0.00054463+0.00034393i,0.00046565-0.00019651i,0.00088209+5.8222e-05i,0.00084493+0.00026001i,3.2923e-05+5.9693e-05i
-0.00026168+0.00063028i,0.00014267-0.00027645i,-0.00055074-0.00073502i,-0.00021049-0.0016209i,-0.00046602-0.0013135i,-0.0013398-0.00069492i,-0.00079292-0.00079584i,-0.00074792-0.00021831i,-0.0012708+0.0010612i,-0.00057364+0.0012713i,-0.00010581+0.00087615i,-0.00055911+0.0001967i,-0.00058999-0.00045914i,-0.0006114-0.00066075i,-0.00068528-0.0006281i,-0.00074114-0.00018594i,-0.00045576-0.00023952i,-0.00052513+7.6751e-05i,-0.00088455+0.00030185i,-0.00079019+0.00027617i,-0.00040411+0.00090462i,-0.0001606+0.00077769i,-5.4743e-05+0.00058849i
-0.0011507-0.00046463i,-0.00065288+0.00024916i,-0.0011691+0.00067475i,-0.001819+0.00098851i,-0.0010559+0.00061891i,0.00041568+0.00064638i,0.00036336+0.00089579i,-0.00019829+0.00082746i,7.3611e-05+0.0010608i,0.0010629+0.00088131i,0.00092657+0.00045159i,0.00036145+0.00018249i,-5.5835e-05-9.9256e-05i,-0.00022646+0.00047777i,-0.00043049+0.00080381i,-0.00028797+0.0004341i,4.1648e-05+0.00077i,-0.00064329+0.001222i,-0.00080788+0.0010349i,-7.0078e-05+0.0010822i,0.0003507+0.0007907i,0.00062067+0.00013922i,0.00075647+6.0209e-05i
-0.00014021+0.001165i,-0.00032469+0.001576i,-0.00074268+0.0011286i,-0.00078858-0.0011356i,0.00017963-0.0021773i,0.00019441-0.0010697i,-0.00015749-0.000388i,-0.00048181+0.00024989i,-0.00038511+0.00078129i,-0.0002067+0.00035967i,-0.00021506+0.00051703i,0.00042104+0.00097385i,0.00077107+0.0010289i,0.00019259+0.00063892i,-0.00042032-0.00029322i,-0.000547-0.00058942i,-0.00057488-0.0002204i,-0.00097136-7.2434e-05i,-0.0014115+0.00048669i,-0.00090606+0.0009441i,5.3399e-05+0.0002398i,0.00079878+0.00020333i,0.00041675+0.00045712i
0.00010833+0.0006365i,0.00059122+0.00031249i,0.00087294+0.00020863i,0.0004375+0.00052984i,-2.6815e-05+0.00013575i,0.00052467-0.00018284i,0.00087807-0.00010053i,0.00051995+0.0002244i,0.00053529+0.00062642i,0.00050792+0.00031118i,0.00032699+0.00041678i,0.00032381+0.00066293i,0.00055657+0.00072792i,-7.2925e-05+0.00024987i,-0.00070807-0.00030401i,-0.00066426+0.00033143i,-0.00040113+0.00010821i,-0.0011253+2.1381e-05i,-0.0015347+0.00038098i,-0.00084938+0.00032698i,-2.3427e-05+0.00026918i,0.00087966+0.0004288i,0.00086731+0.00034094i
-0.00060891+0.0006583i,-0.00043144-4.7016e-05i,-0.00079287-0.00033314i,-0.0015785-0.00079911i,-0.0012527-0.00069868i,-0.00045109-0.00028554i,-2.7069e-06-0.00021019i,-0.00048138+0.0010675i,-0.00064647+0.001983i,-0.00016034+0.0019839i,0.00022635+0.00098125i,0.00036645+0.00075702i,-0.00017504+0.0012566i,-0.0003708+0.00072392i,-0.00047145+6.6356e-05i,-0.00061918+8.7843e-05i,-0.00076184+0.00021041i,-0.0011242+0.00096801i,-0.0008381+0.0016476i,-0.00035865+0.0013069i,-0.00033356+0.00067154i,7.2523e-06-0.00028416i,9.749e-05-0.00069001i
