-0.0013938+3.5377e-05i,0.00075167-0.0012292i,0.00063161-0.00205i,8.4609e-05-0.0012178i,-0.00062328+0.00029115i,-0.00089722+0.0007375i,5.6221e-05+0.0014925i,0.00083324+0.0016788i,0.0013801+0.0017166i,0.0013483+0.00077927i,0.00069101+0.0001619i,0.000647+9.497e-05i,0.00074883-0.00048609i,0.00058885-0.0012551i,0.00030607-0.0010519i,-0.00027331-0.00044154i,-0.00048437-5.2112e-05i,0.00017541+1.976e-05i,-5.1979e-05+0.00028304i,-0.00016587+0.00026288i,0.0003397-0.00065337i,-0.00038291-0.00093624i,-0.00059067-0.00029391i
-0.00096665-0.00013967i,-0.00047008-0.00038921i,-0.00028152+0.0012992i,0.00040104+0.0023869i,0.0011029+0.00081076i,0.0014471-0.00038214i,0.00019216-0.00055025i,-0.00013372-0.00062443i,0.00045499-0.00021407i,7.0188e-05-0.00012743i,-0.00026868+0.00042907i,6.9656e-05+0.00029906i,0.00056099-0.00047766i,0.00037091+9.6378e-07i,0.00015374+0.0009997i,-8.0596e-05+0.00064845i,-0.00024502-0.0002799i,0.00064223-0.00026218i,0.00092152+0.00075675i,-3.9427e-05+0.00080116i,-0.00034449+0.00031549i,-0.00056988+0.00054794i,-0.0011508+0.00046945i
0.0022295+0.00061674i,0.003038-0.00019578i,0.0025285-0.00072028i,0.0015493-0.00070693i,0.00059458-0.00062526i,0.00066285-0.0006392i,0.00075456+9.3894e-05i,0.00069507+0.00054711i,0.00066598+0.00026025i,0.00055048-0.0002357i,0.00011633-8.7055e-05i,-7.0393e-05+0.00020808i,-0.00054302-7.5229e-05i,-0.0010383+0.00013905i,-0.00031422+0.00060171i,0.00072814+0.00069091i,0.0015911+0.00060191i,0.00072337+0.00053623i,-0.0010613+0.0005503i,-0.0011862+0.00010287i,-0.00047931-0.00029118i,-2.7934e-06+0.000571i,0.00040172+0.0010517i
-0.00070216+0.0021868i,0.0010982+0.0022571i,0.0021149+0.0028068i,0.0024405+0.0029022i,0.0022565+0.0018145i,0.0015092+4.0435e-05i,0.00062558-0.00021596i,3.8873e-05+0.0004576i,0.00061121+0.00057359i,0.00099841+0.00047523i,0.0005093+0.00032092i,0.00022141-0.00018568i,5.5591e-05-0.00090172i,1.4107e-05-0.0012599i,0.00025787-0.00078096i,0.00068127-0.00013085i,-0.00015629+0.00036052i,-0.00059083+0.00099488i,0.00014324+0.0011063i,0.00031745+0.00055826i,-0.00010313-4.6905e-05i,0.00044707-0.00059837i,0.00057584-0.00013593i
0.0001573-0.0013435i,-0.0012699-0.0011431i,-0.0021852-0.0013395i,-0.0016579-0.00091873i,-0.00072003+7.0641e-05i,-0.00069311+0.00082916i,-0.0004094+0.0010234i,0.00038818+0.0012259i,0.00069012+0.0011554i,0.00060126+0.00049989i,0.00052+7.8434e-05i,9.6494e-05+0.00077058i,0.00075077+0.0012959i,0.0011621+0.0012387i,0.00039335+0.00048522i,0.00068609+1.5031e-05i,0.0011097-0.00032188i,0.0010244-0.0011944i,0.00065597-0.0011491i,0.00021074-0.00089628i,-0.0007001-0.00082775i,-0.0011635-0.00041646i,0.000281+1.4453e-05i
-0.0015343-0.00073597i,-0.00048977+0.00010684i,0.00044135+0.0013857i,0.0011716+0.0014832i,0.0019207+0.00070117i,0.0014806-0.00039624i,-0.00039446+3.9421e-05i,-0.00073173+0.0010142i,0.00046464+0.0011177i,-3.4319e-05+0.00067181i,-0.00040369+0.0005364i,0.00025008+0.00048084i,-0.00033782+0.00037913i,-0.00070514+8.2612e-05i,-0.00027813-0.00019056i,6.4537e-05+8.1976e-05i,0.00038872+0.00018941i,0.00030001-1.7652e-05i,5.8197e-05-0.0003921i,0.00027612-0.00028991i,0.00019528+2.483e-06i,7.6287e-05-0.00071565i,0.00047228-0.001027i
0.00085998-0.00058428i,0.00019318-0.001483i,0.00049107-0.0013721i,0.00063731-0.001022i,0.0007442-0.00013813i,0.0012644+0.00092021i,0.00095624+0.0014791i,0.00054118+0.0010405i,0.001025+0.00062284i,0.00082824+0.00038489i,0.00065075+0.00015165i,0.00050668+0.0014444i,9.8204e-05+0.0021154i,-0.00022643+0.0018291i,-0.00039713+0.0013684i,0.00038484+0.00034316i,0.00060225-0.00026616i,0.00054097-0.00044788i,-0.00023365-0.00058251i,-0.00033868-0.00072623i,-3.9122e-05-0.00061262i,-0.00043502-8.3431e-05i,-0.00079928+0.0003745i
-0.0020591-8.0511e-05i,-0.0014891+0.00081825i,-0.00087196+0.00091676i,0.00031713+0.0010696i,0.0013173+0.00068239i,0.00094554+0.00042159i,0.0011043+0.00060997i,0.00086423+0.00033183i,0.00038076-0.0001319i,0.00054043-0.00034176i,0.00074225-0.00046814i,0.001162-6.5546e-05i,0.0006724-0.00010407i,-0.00023697-0.00049108i,0.00027751-0.00043453i,0.0004976+0.00037148i,-0.00024171+0.00080928i,-0.00037168+0.00052528i,-0.00013818-0.00022836i,2.5181e-05-0.0010847i,6.0215e-05-0.00076312i,-0.00064437+1.0913e-05i,-0.0012569+0.00043198i
-0.0023603+0.00013513i,-0.0014673+0.00092249i,-0.0011307+0.0014874i,-0.00014881+0.00060732i,0.00051276+0.00029309i,-6.6995e-05+0.00043239i,0.00034419+0.0010211i,0.00060308+0.00077677i,-9.2583e-05+0.00049872i,-0.00038135+0.00053845i,-0.00060073-0.0003308i,-0.00041312+8.9583e-05i,0.00044003+5.0471e-05i,0.00029905-0.0013729i,9.6728e-05-0.0012718i,-1.3977e-05+6.0141e-05i,1.9312e-05+0.00057942i,0.00047038+0.00035247i,0.00029744+0.00024488i,0.00016284-0.00026041i,0.00014881-0.00061098i,-0.00046505-0.00069265i,-0.00093479-0.00014029i
0.0020854+0.00058128i,0.0021913-0.00041665i,0.0020313-0.0016705i,0.0016808-0.0010517i,0.0012058+0.00020011i,-0.00016413-0.00011219i,-0.00055789-0.00047853i,-0.00021618-6.4399e-05i,0.00011516-0.00062041i,0.00019817-0.0014163i,-0.00066335-0.0011696i,-0.0008515-0.00049704i,-0.00059252+0.00070032i,-0.00057968+0.00059643i,-0.00017846-0.00013559i,-0.00029669+0.00028984i,-0.00056681-0.00012125i,-3.179e-05-0.00072751i,0.0006731-0.0003172i,0.00038947+0.00017295i,-0.00040014+0.00038838i,-0.00082961+0.00037869i,-0.00087121-0.00053828i
0.00044399+0.0015902i,0.0011715+0.0024936i,0.00043381+0.0020468i,-0.00087519+0.0014816i,-0.0013735+9.2338e-05i,-2.854e-05-0.00030444i,0.00081663+0.00034837i,0.00078515+0.00055225i,0.0006632-0.00019847i,0.00069016-0.00076122i,0.00061-0.00039652i,0.00082779-0.00016845i,0.00072349-0.00029114i,0.00032938-9.0221e-06i,0.00012693+0.00030362i,0.0003155+0.00068488i,-9.4313e-05+0.00056323i,-0.00050408+0.00042853i,0.00032256+0.00053668i,0.00028145-3.3971e-05i,-0.00072207-0.00044538i,-0.00066948+0.00031251i,0.00014836+0.00091219i
0.00063919-0.0011321i,-0.00086236-0.00053278i,-0.0015187-0.00041651i,-0.0012625-0.0010011i,-0.0008728-0.00063255i,-0.0007726+0.00041349i,-0.00096914+0.00082881i,-0.00027764+0.00056149i,0.00038254-0.00010422i,-0.00030868-0.00031446i,-0.00059811+3.1078e-07i,-0.0004271+4.1197e-05i,-0.00030614+0.00056284i,-0.00020153+0.0014333i,-0.00057526+0.00095311i,-0.00093617+0.0007142i,-0.00073241+0.0012024i,-0.00022386+0.00069279i,0.00019089+4.073e-05i,0.00049845+0.00018768i,0.00037516+0.00042834i,0.000488+0.00054787i,0.00017812+0.00037378i
0.0023367+0.00050955i,0.0017979-0.00077307i,0.0016936-0.00063098i,0.0030591-0.00057783i,0.0028575-0.00088596i,0.00077182-0.00018672i,-0.00050555+0.00076751i,0.00016591+0.00086869i,0.0013203+0.00096128i,0.00087847+0.00075472i,-4.8626e-05+0.00029429i,2.3432e-05+0.00059039i,-5.1378e-05+0.00061244i,-0.0011276+0.0010933i,-0.00092139+0.0012206i,-0.00024422+0.00074397i,-0.00034576+0.00078596i,-0.00037988+0.00091194i,-0.00036643+0.00029787i,-0.00084893-0.00024858i,-0.0010702-0.00037266i,5.08e-05-0.00039616i,0.000329-0.00051994i
0.0010762+0.00078696i,0.0024004+0.00039094i,0.0023749-0.001045i,0.0018573-0.0013566i,0.0014233-0.0010477i,0.00067372-0.00046532i,0.00064586+9.1445e-05i,0.00063475+0.00050118i,0.0014108+0.00047756i,0.0016974+0.0007358i,0.0002309+0.00040758i,-0.00055641-0.00035723i,-0.00091527+2.8341e-05i,-0.0012127+0.00054486i,-0.00061014+0.00030954i,0.00031668+0.00010756i,0.00036492+0.00023625i,-0.00011712+0.00043968i,0.00023382+0.00021645i,0.00052714-0.00056315i,0.0008515-0.00055506i,0.00078035+0.00072935i,0.00019313+0.0015154i
0.00098152+0.0011767i,0.00084177+0.0013095i,0.00059916+0.00094015i,0.0010567+0.00047681i,0.0013683-0.00014831i,0.00062665-0.00049872i,0.00049248-0.00077116i,0.00060965-0.00086735i,0.00089818-0.00041337i,0.00083326+0.00017812i,0.00041244+0.00012622i,0.00039522-0.00019262i,0.00019815-0.0006508i,-0.00059904-0.0010026i,-0.0012086-0.00060008i,-0.00079499+0.00063565i,-0.00011802+0.0007617i,-2.5292e-05-0.00067845i,0.00037196-0.00054741i,0.00039874+0.00019208i,-0.00031049-0.00016163i,-0.0011075-7.9654e-05i,-0.0011983-0.00012965i
0.0024704+5.6912e-05i,0.0019079-0.00059029i,0.00073148-0.00053445i,0.00025362-0.00029596i,0.0002931-0.00015479i,-0.00034826+0.00060232i,-0.00026765+0.0005513i,0.00022223+6.9074e-05i,5.0336e-05+0.00063678i,-0.0001572+0.00094889i,-0.00028385+0.001061i,-0.00018838+0.00035286i,3.4283e-05-0.00016063i,-0.00040207+0.0002275i,-0.00047258+0.0006406i,-0.00034789+0.00090058i,-0.00026113+0.00086578i,-0.00022385+0.00073685i,0.00020731+0.00027218i,-0.00017652+0.00028073i,-0.00074032+0.00027222i,-0.00055598-0.00011376i,-0.00069931+0.00019145i
0.0028145+0.00039678i,0.0027455+0.00066307i,0.0024344+0.00076671i,0.0023395-0.00046323i,0.0011637-0.0016723i,0.00019121-0.0011863i,0.00034216-0.00029175i,0.00049434-0.00011498i,0.00085231-0.00064023i,0.0010043-0.00029658i,0.00023144+0.00018246i,0.00018511+0.0004787i,0.00042827+0.0011727i,-0.00035109+0.00089886i,-0.00071821+0.00089254i,-0.0004215+0.00092472i,-0.00082118+0.00056627i,-0.00046595+0.00044902i,0.00036386+0.00041598i,-0.00018943+0.00053266i,-0.00025766+0.00091388i,0.00027025+0.00091408i,0.00019642+2.424e-05i
0.0010617+0.00116i,0.002851+0.00084444i,0.0027976+0.00074451i,0.0020144-0.00029663i,0.0012762-0.0016896i,-0.00043912-0.0018294i,-0.0010721-0.00083414i,-0.00029135-6.6834e-05i,0.00062326-8.2577e-05i,0.0011666-2.4164e-05i,0.00015671+0.00055294i,-0.00032125+0.0010534i,0.00021575+0.00078444i,0.00047877+0.00032458i,0.00031175+0.00062044i,-7.9017e-05+0.00067589i,-0.0005912+0.00014311i,-0.0008001+0.00026124i,-0.00017861+0.00058096i,-0.00024324+0.00054912i,-0.00026648+0.00016881i,0.0012882-0.00019154i,0.0021577-0.00043731i
0.00032287+0.0015779i,-0.00049948+0.0020681i,-0.00068096+0.0016347i,-0.00010915+0.00023618i,0.00053358-0.0018608i,0.0011198-0.002292i,0.00060331-0.00068253i,0.00015352+0.0008853i,-0.00021577+0.00091668i,-0.00024899+0.00031008i,-3.9089e-05+0.00053608i,-0.00045953+8.0111e-05i,0.00016158+0.00017254i,0.00069757+0.0003717i,-0.00040124+0.00020586i,-0.00056507-3.5592e-05i,-0.00023157+0.00029512i,-0.00010813+0.00078764i,0.0001141+0.00060852i,0.00030384+0.00029254i,0.00062021+0.00022748i,0.0003867-0.00035132i,0.00047638-0.0010346i
0.0015354-4.5431e-05i,0.00034557-0.0019789i,0.00012491-0.0026204i,-0.00036197-0.001565i,-0.00091262-0.001569i,-0.0013066-0.00069872i,-0.00046981+0.00069472i,0.00062813+0.0014551i,0.00078402+0.0012371i,0.00072443+0.00022588i,0.001085-0.00042972i,0.0008439-0.0003063i,-0.00019139+2.6505e-05i,-0.00059589+0.00029202i,-0.00053423+0.00085782i,-0.00045008+0.00065381i,-0.00044451+0.00014228i,-0.00068004-0.00036326i,-0.00072873-0.00026624i,6.5538e-05+0.00057218i,0.0007072+0.00016429i,0.0009437+0.00017088i,0.00082151+0.00072167i
0.00013949+0.0023444i,0.0016094+0.0024912i,0.0027017+0.0028679i,0.0030368+0.0010185i,0.0031711-0.0004556i,0.0019342-0.0016599i,0.0005189-0.0012474i,-0.00023103+0.00016617i,-1.4509e-05+0.0007266i,0.00023211+0.00051138i,3.2374e-05+0.000216i,-9.3365e-05+0.00030499i,-0.00018649+0.00045261i,-0.00055861+0.00056474i,-0.0013367+0.00043352i,-0.0013971+0.00043656i,-0.00079667+0.00067744i,-0.00028816+0.00017758i,-0.00060755-0.00013167i,-0.00075763-0.00043639i,-8.4378e-05-0.00093054i,0.00033609-0.00093241i,-5.783e-06-0.00067811i
0.00084228-0.00063706i,-3.6873e-06-0.0016298i,0.00070174-0.0010862i,0.001492+0.00042953i,0.00085719+0.00066561i,0.00019609+0.00055212i,-2.086e-05+0.00054702i,0.00024029+0.0010127i,0.00030994+0.0005924i,0.00035538-0.00014528i,0.0001418+9.4517e-05i,-0.00048348+0.00082379i,-2.4745e-05+0.0004746i,-0.00019087+5.9727e-05i,-0.00086551+0.0005479i,-0.0010151+0.00069807i,-0.00077948+9.5666e-05i,0.00034064-0.00039499i,0.00011245-2.2596e-05i,-0.00063386+0.00014945i,5.6885e-05+9.0378e-05i,0.00079557+2.3196e-05i,0.00033499+0.00041853i
0.00082264+0.0012759i,0.0012669+0.0010244i,0.002572+0.00034905i,0.0030174+0.00040075i,0.0017524-0.00029544i,-0.00022844-0.0017619i,-0.00092594-0.00098724i,-0.00057154+0.00061761i,0.00021263+0.00070298i,8.972e-05+7.0932e-05i,0.00043339-0.00014469i,0.00022506+0.0003246i,-0.00051259+0.00016005i,-2.4964e-06+0.00023024i,2.3114e-05+0.00055861i,-0.00025485+0.00051i,-0.0001501+0.00023002i,-0.00053175+0.00044319i,-0.00085141+3.5974e-05i,-0.00023869+3.7355e-05i,4.539e-05-5.388e-05i,0.00013027-0.00045311i,0.00032141+0.00027618i
0.0010491+0.00086872i,0.0005564+0.00061217i,0.00058784+0.00057999i,0.00023134+0.00031878i,-0.00035179-0.00075894i,-0.00099558+0.00015871i,-0.00033739+0.00087376i,0.0010137+0.00060019i,0.00077655+0.00076388i,0.0003526+0.00075472i,0.00045711+0.00034217i,0.00043219-7.5106e-05i,0.00074204-0.00028915i,0.00081851-0.0001012i,-0.00040905+0.00010121i,-0.00086063+0.00018831i,-0.00037931+0.00028383i,-0.00021261+0.00015428i,-0.00077958+0.00022322i,-0.001463-4.0756e-05i,-0.0011185-0.00066944i,-0.0003725-0.0013078i,0.0002154-0.00087585i
0.00057163+6.6919e-05i,0.0026981+0.00046163i,0.0026988+0.0014245i,0.0024452+0.00059677i,0.0025943+8.1771e-05i,0.0017673-6.6977e-05i,0.00045671+5.2594e-05i,-0.00021892+0.00034412i,-0.00013844+0.00064844i,0.00026353+0.00042629i,8.8903e-05+0.00010256i,0.00015508+0.00082311i,0.00079609+0.00033797i,-0.00044941-0.00074726i,-0.0008352-0.00065231i,-0.00017997-0.00090128i,0.00013859-0.00081766i,0.00092248-0.00041069i,0.00047913-0.0005565i,-7.4475e-05-0.00075574i,-0.00017504-0.00078697i,0.00027062-0.00032728i,0.0005245+0.00012523i
-0.0023056+0.00044351i,-0.0023068+0.0011555i,-0.0013249+0.0017082i,-0.00048238+0.0018935i,-0.00018379+0.0012038i,0.00077586+0.00058471i,0.0011612+3.4126e-05i,0.00040547-0.00035632i,-0.0003336-0.00056024i,-0.00079974+2.1735e-05i,-0.0003168+0.00058216i,4.6378e-05+0.00039204i,-0.0001832-0.00056871i,-0.00045753-0.0015023i,-0.00032545-0.0014972i,0.00080859-0.00072859i,0.00089343-4.2439e-05i,-6.64e-05+0.00027088i,-0.00048537+0.0008288i,-0.00056994+0.00082261i,-0.00055275-0.00013678i,-0.00037276-0.001166i,0.0001733-0.0003427i
0.00080634-0.0006486i,0.00031351-0.00082886i,-0.00064393-0.0010119i,-0.0012644-0.00081692i,-0.001269-0.00052503i,-0.0011484-0.00028327i,-0.00071358+0.00038076i,5.0542e-05+0.00099115i,0.00065362+0.00020901i,6.2899e-05-0.00069488i,-0.00063793-0.0004853i,-0.00068392+0.0001434i,-0.0001828+0.00046233i,0.00066722+0.00049199i,0.00058112+6.3646e-05i,5.2755e-05+7.868e-06i,0.0001091-0.00018276i,2.9547e-05-0.00042216i,-6.3577e-05-0.00023763i,-4.0212e-05-3.9752e-05i,4.4553e-05+0.00045155i,-0.0002163+0.00026671i,-9.5434e-05-0.00021911i
0.00088966+0.0012753i,0.0018374+0.00062672i,0.0024808+0.00092748i,0.0027047+0.00050362i,0.0023245-0.00041806i,0.0011493-0.00050098i,0.00022911+0.00048288i,-4.2826e-05+0.0012333i,0.00042358+0.0012282i,0.00051328+0.0005979i,-0.00025454-0.00034627i,-0.0009253-0.00054057i,-0.00043108+0.00012306i,1.5861e-05+0.00050871i,-0.00045264+0.00065703i,-0.00051067+0.00079649i,-0.00047305+0.00036377i,-0.00092267+0.00023874i,-0.00076242+0.00047428i,-7.6926e-06+0.00018525i,-0.00020087-0.00014311i,-0.0004001-0.00029523i,-0.00020056-0.00018605i
1.9459e-05-0.0014298i,0.00097813-0.00015282i,0.0020588+0.00091714i,0.0017281+3.1798e-05i,0.00085174-0.00082346i,9.621e-05-0.00040909i,-0.00037785+0.00025291i,0.00019541+0.00047617i,0.00043977+1.8013e-05i,2.9929e-05-0.00071483i,-0.00011174-0.00055178i,-8.2476e-05-0.00017156i,-0.00015804-0.00060871i,-0.00013952-0.00059991i,0.00061342+4.5331e-05i,0.00048757+0.00018021i,-0.00051713-2.4853e-05i,-0.0001976-0.0006473i,0.00046481-0.00086872i,0.00065487-0.00048672i,0.00068634-0.0004632i,0.00055032-0.0010682i,0.00051165-0.0017416i
0.00023247+0.00033583i,-0.00021413+0.00024507i,-0.0007251-0.00068858i,-0.00014482-0.001205i,-0.00018103-0.0015113i,-0.00047549-0.00063345i,-0.00011737+0.00042437i,0.00054428+0.00039577i,0.00044148+0.0001359i,-4.64e-05+0.00048261i,-0.00057275+0.0004904i,-0.00077475-0.00029806i,-0.00074828-0.00060727i,-1.3369e-06-0.00039078i,0.00036317-0.00054955i,0.0002412-0.00041612i,0.00031741-0.00011735i,0.00010294+6.4619e-05i,-5.5444e-05+0.00088759i,-0.00034926+0.00097354i,0.00012789-0.00010539i,0.00051839-0.00040556i,0.00039579-0.00018718i
0.00042203-0.00073136i,0.00027646-0.0012023i,0.000982+3.9356e-05i,0.0016975+0.00081626i,0.0012454+0.00013465i,0.0006239-3.9382e-05i,0.00033208-1.5728e-05i,0.00034802-6.2594e-05i,0.0010183-0.0001372i,0.00090666-0.00044859i,-7.3787e-05-0.00049852i,-0.00052464-0.00062019i,-0.00064158-0.0011232i,0.00016372-0.0012427i,0.00072089-0.00040615i,0.00024989-6.7217e-06i,-0.00012899+0.00036865i,-0.0002309+0.00079679i,-0.00029869+0.00051481i,-0.00022793-2.9766e-05i,-0.00034802-0.00046942i,-0.00038414-0.00017484i,-0.0001214+0.0010059i
0.00094043-0.00055755i,0.0021857-0.00091935i,0.0027092-0.0010624i,0.0027877+5.5697e-05i,0.0015508+5.8803e-05i,0.00029362-0.0013632i,-0.0003588-0.001491i,-0.00012623-0.00060265i,0.00054802+5.3152e-05i,0.00077599+0.00049077i,0.00016255+0.00096205i,-0.00013063+0.0007387i,-0.00033838+0.00028473i,-0.00029302+0.0005631i,-0.00011928+0.00090547i,-0.00016936+0.00020113i,0.0002674-0.00012895i,0.00097429+0.00070911i,0.00057726+0.0014358i,0.000215+0.0011613i,-1.3766e-05+0.00025682i,1.6203e-05-0.00062529i,0.00019543-0.0005061i
0.00064819+0.0016494i,0.0013223+0.0017735i,0.0023068+0.0021682i,0.0031728+0.0023135i,0.002881+0.00047858i,0.0022462-0.00098198i,0.00095614-0.00048252i,0.00026199+3.3339e-06i,0.00016237+0.00023049i,-0.00026357+0.00011212i,-0.00037695-0.00022646i,0.00027672-0.00012772i,0.00085582-0.00015843i,0.00046834-0.00034283i,6.1151e-06-0.00043174i,-0.00057674-0.00092607i,-0.00079838-0.001039i,-0.00014898-0.00064359i,0.00060722-0.00082179i,0.00089992-0.00081389i,0.00052902-0.00046821i,-0.00040116-0.00017349i,-0.00088825+0.00018794i
