0.0012383+0.0019382i,0.0022672+0.0015783i,0.00087395-0.00012582i,-0.00072324-0.000952i,-0.0013232-0.00057195i,-0.0017232+0.0012558i,-0.0015823+0.0022311i,0.00017643+0.0011248i,0.0014547+0.00022565i,0.0012285-0.00049311i,0.00085558-0.00079035i,0.00033826-0.00075245i,0.00043368-0.00092881i,0.00021171-0.001199i,0.0001078-0.0015289i,0.00025253-0.00071619i,0.00026421-0.00050824i,0.00051587-0.0013158i,0.00016156-0.001195i,-6.7776e-05-0.00079443i,0.00018233-6.2006e-05i,0.00027419+0.00064805i,-0.00054364+0.00076215i
0.00053673+0.00095076i,0.00052452-0.00082308i,0.00093591-0.002392i,0.00076011-0.00216i,0.00044767-0.00030109i,0.00025978+0.0011284i,-9.8185e-05+0.0016975i,-0.00090093+0.0010654i,-0.00086779-0.00042795i,-0.00024928-0.00044599i,0.00045167-0.00025553i,0.00031999-0.00054704i,-0.0003237-0.00051961i,-5.5604e-05+0.00040354i,0.00068405+0.0003359i,0.0013096+0.00016003i,0.00080433+7.5982e-05i,-3.2178e-05+3.6341e-05i,-7.5662e-05+0.00014112i,0.00011084-5.2629e-05i,-0.00033062-0.00073385i,-0.00057275-0.00021232i,-0.00019953+6.8146e-05i
-0.00017208+0.0019179i,-0.0010882+0.0024061i,-0.0014304+0.0011973i,-0.0010634+0.00038213i,-0.00073014+0.00012842i,1.4217e-05+3.3872e-05i,0.0003257+0.00042565i,-0.00010534+0.00025251i,-0.00018623-0.00010297i,-9.6304e-05-0.0003432i,0.0003313-1.3614e-05i,0.00054277+8.3799e-05i,0.0002137-0.00012274i,-1.0228e-05-5.7778e-05i,-0.00013301+4.8663e-05i,-0.00012186-7.531e-05i,0.00053552+0.00025859i,0.0011385-0.00025763i,0.0010718-0.00071712i,0.00085699-0.00020268i,0.00081409+6.2788e-05i,0.00066318+0.00061682i,0.00044782+0.00036275i
-0.001455+0.00083501i,-0.0015803+0.0013982i,-0.0014776+0.0011187i,-0.00039916+0.00038602i,0.00053432-0.00022426i,0.00088118+0.00036455i,0.00038705+0.001588i,0.00059662+0.0011508i,0.00069472+0.00049018i,0.00025173+0.0005303i,-0.00030354+0.00028997i,-0.00040934-0.00025218i,4.3012e-05-0.0008032i,0.00070686-0.0015751i,0.00065655-0.0007727i,-0.00039148+0.00038183i,-0.00089581+0.00025174i,-0.00092844-1.9335e-05i,-0.00022374-0.00049025i,0.00030074-0.001049i,-0.00023537-0.00025159i,-0.0011686+0.00068264i,-0.0013437+0.00051225i
0.00027587+0.00086535i,0.00058809+0.00028471i,0.00087636-0.00043474i,0.00097263-0.00073487i,0.00054568+0.00035059i,0.00032818+0.0014564i,0.00054618+0.0014753i,0.00069729+0.001253i,0.00050125+0.00051304i,-0.00025054+1.9013e-05i,-0.00056197-0.00016935i,5.0638e-05-0.00058661i,0.00042434-0.00024471i,0.00012464+7.7433e-05i,0.00035468+6.3099e-05i,0.00054626-6.1747e-05i,0.00016752-0.00016628i,1.3831e-05-0.00015553i,-0.00065658+0.00024924i,-0.0010061+0.00024393i,-0.00071281-0.00059589i,-0.00053213-0.00053986i,-0.00062785-0.00054034i
-0.00012364+0.00012798i,-0.00057009+2.6597e-05i,6.9688e-05-0.00010915i,0.00056329+0.00059887i,0.00034963+0.0013316i,0.00032419+0.0010459i,0.00050247+0.00077209i,0.00069639+0.00041705i,-6.934e-05-9.4803e-05i,-0.00020545-0.00018996i,0.00071409-0.00051884i,0.0005405-6.7208e-05i,8.4793e-05+0.00018608i,0.00033717-0.00021346i,0.00068356-0.00058715i,0.00099435-0.0010397i,0.00092911-0.00041095i,0.00040263+0.00046276i,-1.2121e-05+0.0009095i,-0.00051768+0.0010883i,-0.00071813+0.00075688i,-0.00038736+0.00072175i,-0.00023678+0.00019406i
-0.00060139-2.2415e-05i,-0.00028478+0.0011279i,-0.00030428+0.0019138i,-0.00073931+0.0012565i,-0.00091992+0.00015176i,-0.00027792+0.00019104i,0.00091156+0.000835i,0.00058616+0.00045945i,-0.00046806-0.00036021i,-0.00055264-0.00047713i,-0.00019917-0.00010364i,-6.0837e-05+0.00031801i,-0.00015385+0.00059438i,0.00051977+0.0001422i,0.00065732-5.8389e-05i,-0.00024208+6.6313e-05i,-0.00034533-0.00019305i,-8.4837e-05-0.00040179i,-0.00025469-0.00071783i,0.00014692-0.00020436i,-0.00028245+0.00030488i,-0.00059004+0.00021494i,-0.00041021+0.00049942i
0.0020515+0.00031764i,0.0011225+0.00031153i,0.0014058-0.000478i,0.00063204-0.0011811i,-0.00064982-0.00080719i,-0.0010478+0.00035478i,-0.00082238+0.00095821i,-0.00026945+0.00089601i,5.6872e-05+0.0001756i,-0.00068118+0.00014419i,-0.0015593+0.00012131i,-0.0014744+0.00051513i,-0.0011983+0.0015585i,-0.00057433+0.0011852i,-0.00032155+0.00074291i,-0.00020477+0.00089256i,0.00028253+0.00066066i,0.00035048+0.00020894i,0.00023557-9.0067e-05i,0.00057541-0.00058299i,0.00086793-0.0007046i,0.00024747-0.00010597i,-0.00022416+9.2643e-06i
0.0017218-0.00090852i,0.00052458-0.0010861i,-0.00066603-0.0010189i,-0.0011556-0.00033196i,-0.0011121+0.0014587i,-0.00058517+0.0022569i,0.00076584+0.0014511i,0.0017108+0.00025181i,0.00041964-0.00041374i,-0.00054205-0.00048106i,-0.00015145-0.00014957i,-0.00017235+0.00066349i,-0.00022523+0.001551i,0.00033411+0.002013i,0.00061257+0.0013138i,0.00018833+0.00081755i,-0.0010757+0.00062666i,-0.00075967+4.983e-05i,0.00026231-0.00019651i,-0.00043832+9.9561e-05i,-0.00051909+0.00020152i,0.00066719+0.00031351i,0.0006926+0.00069597i
-0.0010752+0.00049688i,-0.0017078+0.00089821i,-0.0013122+0.00040122i,-0.00041445+0.0003645i,0.0005572+0.000754i,0.00048349+0.0010553i,2.2898e-05+0.00071431i,0.00037313+0.00022344i,0.00046486-2.8102e-05i,0.00023899+5.8215e-05i,0.00047148+0.00015458i,0.00066602+0.00030713i,0.0002053+0.00067859i,0.0001411+0.00058024i,0.00015816-0.00012748i,-0.00059856-0.0001393i,-0.0011677-0.00022001i,-0.00081112-4.7466e-05i,-0.00024102+0.00073945i,-6.5022e-05+0.00043227i,0.00018169-0.00022491i,0.00065392-0.00011834i,0.0006382+0.00036559i
0.0011481-0.001061i,0.00087371-0.0012418i,0.00035868-0.0014752i,-0.00022809-0.0011546i,-0.00068257-0.00068159i,-0.00080844+2.97e-05i,-0.00075521+0.0013008i,-9.5204e-05+0.0016173i,0.00027882+0.00031186i,0.00010403-0.00050105i,6.2622e-05-0.00058149i,0.00070897+3.6278e-05i,0.00093088+0.00015147i,0.00048504+0.00048807i,-0.00012847+0.0016678i,-0.00068894+0.0013419i,0.00010553+0.00059992i,0.00058934+0.00029204i,0.00048401+0.00028645i,0.00029354+0.00040959i,0.00042031+0.00021961i,0.00035303+0.00028091i,0.00023875+0.00031426i
-0.00069022+0.00095422i,0.00087702+0.00080359i,0.001459+4.653e-05i,0.0012403+0.0007934i,0.00076539+0.0010406i,6.6291e-05+0.00019481i,7.5224e-05+0.00048654i,4.1572e-05+0.00012115i,-0.00039891-0.00075715i,-0.00032232+0.00010506i,-0.00077285+0.00058148i,-0.00016837+6.1558e-05i,0.00091606+9.1578e-07i,0.00035149+1.3932e-05i,-8.9555e-05+0.00011668i,0.0002968-0.00029436i,0.0003185-0.00076305i,-0.00043665-0.00060071i,-0.00043919-2.4769e-05i,-0.00030673+0.00040788i,-0.00037329+0.00026818i,-0.0001479-0.00019097i,3.7793e-05-0.0005503i
-0.00074976-0.0005794i,-0.0014049-0.00082264i,-0.0017801-0.00092393i,-0.0018541-0.00051551i,-0.0017449+0.00047527i,-0.0011942+0.00097853i,-0.00086866+0.00062841i,-0.0010415+0.00017583i,-0.00070707-0.00051239i,-4.6255e-05-0.00070079i,-0.00052647-0.00010029i,-0.00016024-0.00017621i,0.00039141-0.00050732i,0.00010533-0.00040823i,0.00044893+8.1511e-05i,0.00090578+0.00094021i,0.00023845+0.00085253i,0.00057812-0.00019158i,0.0011883-0.00014313i,0.00042901+0.00018164i,-9.8464e-05-0.00079636i,-0.00036661-0.0015827i,5.9006e-05-0.00055391i
-0.00016217+3.3797e-05i,7.8399e-05+4.0126e-06i,-0.00022938-0.0014166i,-0.00054962-0.0014879i,-0.00036568+0.00023979i,0.0008187+0.00089519i,0.0014095+0.00040173i,0.00092151+9.4903e-05i,7.2984e-05-2.9942e-05i,-0.00020704-4.2281e-05i,0.00015859-0.00019665i,0.0004438-0.0003252i,0.0008158-0.00059292i,0.0010183-0.00065841i,0.00071235-0.0001584i,0.0001363+2.6461e-05i,0.00015636+0.00037841i,0.00033425+0.00032005i,-0.00027237-0.00031977i,-0.00058932-0.00038465i,-0.00078519-0.00078699i,-0.00078996-0.00064206i,-0.00013712+6.9273e-05i
-0.0019824-0.00066034i,-0.0013305-0.00010324i,-6.7916e-05+0.00057909i,-2.0515e-05+0.0013995i,6.6632e-05+0.0024785i,0.00055663+0.0020238i,0.00049697+0.0010382i,-0.00011224+0.00040031i,-0.00033412+0.00030507i,0.0001902+0.00053107i,0.00055878-0.00017209i,0.00023208-0.00082314i,0.00032364-0.00099322i,0.00075219-0.00072317i,0.00087109-0.00034142i,0.0011967-0.00063436i,0.0011094-0.00058353i,0.00062679+0.00053975i,2.0797e-05+0.0010493i,-0.0010678+0.00069507i,-0.0011507+0.0002651i,-0.00022658+0.00046711i,0.00014612+0.00020262i
0.001162+0.00095594i,0.0013149+0.00074643i,0.001164+0.00079501i,0.00063656+0.00018177i,-0.0001821+6.9365e-05i,-0.00041628+0.0011545i,-0.00049669+0.0015343i,-6.5644e-05+0.00084686i,8.8062e-05+0.00051568i,-0.00014477+0.00057116i,0.00020345-6.9288e-05i,4.5154e-05-0.00061166i,-0.00011988+0.00027834i,0.00052292+0.0016533i,0.0005003+0.0018651i,0.00040391+0.00087318i,0.00040593-0.00016967i,-0.00010461-0.0005712i,0.00014031-3.4837e-05i,-0.00015308+0.00048523i,-0.00045122-0.00012256i,-0.00011035+0.00020873i,-0.00083373-4.7007e-05i
0.00045935-0.00019644i,0.00059923-0.00073038i,-0.00035817-0.00118i,-0.00051271-0.000483i,0.00068648+0.00092233i,0.0011213+0.00083101i,0.00079826+0.001063i,0.0010395+0.00081356i,0.00059729+2.0241e-05i,-0.00058042+0.00012087i,-0.00018395+0.00036169i,0.00044786+0.00075279i,-0.00033985+0.0011515i,-0.00064795+0.00082013i,-9.9248e-05+0.00022319i,0.00047173+0.00022679i,0.00071375+0.00038679i,1.4222e-06+0.00076091i,-0.00052666+0.00098258i,-2.5903e-05+0.00015849i,0.0003805-0.00022448i,0.00014473-0.00010572i,0.00020482-0.00036766i
0.00015486-0.0019863i,-9.4889e-05-0.0014293i,-0.00087245-0.0010967i,-0.00056095-0.00073509i,-4.9511e-05+0.00084722i,0.0010849+0.0020844i,0.001472+0.0021423i,0.00046574+0.0011097i,3.7739e-06-0.00032963i,-0.00045893-0.00064338i,-0.00040998+0.00037151i,-0.00016792+0.00022556i,-0.00038215-0.00045202i,-0.0004552-0.0002706i,-0.00065393+0.00014671i,0.00027806+0.0002776i,0.00067877+0.00053623i,0.00034368+0.0010333i,0.00037902+0.00013298i,7.7301e-05-0.00067642i,-5.5635e-05-0.00050879i,1.4092e-05-0.00078963i,3.2943e-05-0.00075369i
0.00020985+0.0014788i,0.00079008+0.0013117i,0.0017026-0.00059093i,0.0016125-0.0016929i,0.00019996-0.00092433i,-0.0001625+0.00039741i,0.00044961+0.0016052i,0.00021158+0.0011802i,-0.00028411-0.00018627i,-4.5326e-05-0.00037386i,0.00076624-0.00038798i,0.0012186-0.00039546i,0.00077727-0.00054635i,0.00014205+0.00012719i,-0.00052937+0.00066346i,-0.00090046+0.0001318i,-0.00070229-0.00032721i,-0.00059699-0.00087552i,-0.00065248-0.0012459i,-0.00020566-0.00081251i,0.00019996-0.0004199i,-8.8043e-05-0.00021962i,-0.00042041+8.9709e-05i
0.00050942+0.00045346i,0.00025624+0.00044529i,-0.00098072+0.00094144i,-0.00015114+0.0019898i,0.0017025+0.0022834i,0.0010512+0.0015034i,0.00031498+0.0014994i,0.00053375+0.0013638i,0.00074199+0.00048698i,0.00038745-0.00013389i,-0.00045701-7.875e-05i,-0.00045585+0.00039392i,0.00022979+0.0005351i,0.00071936+0.0007219i,0.00098979+0.001015i,0.00091483+0.001405i,0.00091765+0.0012761i,0.00081694+0.00074716i,7.3549e-05+0.00019075i,-0.00058984-0.00015368i,-0.00072828+0.00014613i,-0.00090653+0.0005205i,-0.0007954+0.00021668i
0.0016264+0.00083039i,0.0021735+0.0017317i,0.0011331+0.00037277i,-0.00024935-0.00053034i,-0.00089872+0.00022254i,-0.00091559+0.00070965i,-0.00072686+0.0010668i,-0.00056423+0.0010865i,-0.00029346+0.00039334i,-0.0006866-0.00013373i,-0.00067405-0.00078991i,0.00030944-0.00080619i,0.00059172+0.00032955i,0.00053451+0.0013094i,0.00051476+0.00077995i,6.4796e-06+0.00010457i,-0.00035024+0.00015509i,-1.6052e-05+0.00081363i,-0.00020443+0.00084142i,-0.00065934+0.00026107i,-3.2724e-05+0.00014113i,0.00076114+0.00010714i,-0.00014904-0.00044089i
