-0.002129+7.7033e-05i,-0.001919+0.00064552i,-0.002364+0.0012186i,-0.0027081+0.00098891i,-0.0025114+0.0010464i,-0.0016484+0.0013616i,-0.00090703+0.0005675i,-0.00023353+0.00028249i,0.00031518+0.00013441i,0.00033055-0.00049436i,0.00051629-0.00065196i,0.0003117-0.00036698i,0.00028054-0.0002231i,0.00030738-0.00057057i,4.1089e-05-0.00023882i,0.00024002+0.00024584i,0.00033858-1.1661e-05i,-0.00039016+4.1168e-05i,-0.00074783-0.00068938i,-0.00015299-0.00098305i,-2.0186e-05-0.00078701i,-9.0089e-05-0.0013662i,-3.4835e-06-0.0011259i
-0.0014702+0.00067134i,-0.00026716+0.00077561i,-0.00029186+0.00063398i,-0.00029123+0.00036179i,0.00056956-0.00013932i,0.00069895-0.0005472i,0.00056657-0.0010175i,0.0012542-0.0014544i,0.0013714-0.00029866i,0.0004173+0.00098218i,0.00018308+0.0012273i,0.00073618+0.00093389i,0.00074605+0.00067846i,0.00018847-9.7639e-05i,-0.00047182-0.00014852i,0.00030857-0.0011048i,0.0012557-0.0013579i,0.00066059-0.00035782i,-0.00069345-0.00036378i,-0.00072754-0.00073996i,0.00012242+0.00016253i,0.00032353+0.00071973i,-0.00020825+0.00026731i
-0.00014332+0.00037991i,-0.00095302+5.5744e-05i,-0.00084448+0.00027426i,0.00071197+8.9807e-05i,0.0012881+0.00016881i,0.0011269-0.00013075i,0.0014503-0.0011551i,0.001961-0.0015312i,0.0028453-0.0015078i,0.003278-0.00039453i,0.0018848+0.0004241i,0.0010988+0.00090879i,0.00065896+0.00068174i,-3.9574e-05-0.00049643i,-0.00015474-0.0012407i,0.00036688-6.6714e-05i,0.00059834+0.00055147i,0.00030255-0.00044987i,-0.00015872-0.00053437i,-0.0002447-0.00030361i,0.00020327-0.00038447i,0.0010709+8.6532e-05i,0.0011403+0.00053483i
0.00021918-0.0011889i,-0.00026741-0.0005192i,-0.00037131-0.0023179i,-1.7481e-05-0.003273i,0.00038718-0.0024075i,2.2825e-05-0.0014514i,-2.3738e-05-0.00018822i,0.0006549-0.00039626i,0.0010658-0.0014717i,0.0016411-0.001337i,0.0018315-0.000603i,0.0010832-0.00023737i,-0.00024707+0.00021032i,-0.001168+0.00017815i,-0.00034702+0.00050954i,0.00063561+0.0007984i,2.6787e-05+0.0012612i,-0.00071765+0.00094542i,-0.0010287-0.0002088i,-0.00066342-0.00066662i,-0.00016117-0.00093059i,-0.0001171-0.00043306i,-0.0006465+0.00049475i
-0.00070995-3.4751e-05i,-7.5852e-05+0.00050151i,0.00022454+0.0018201i,0.00091987+0.0021391i,0.0015856+0.0010492i,0.0012029-0.00032137i,0.001119-0.00078907i,0.0015065-0.0010411i,0.0022592-0.001307i,0.0029661-0.0015891i,0.0023438-0.0013352i,0.0011506-0.0002793i,0.00076608+0.0010743i,-0.00013456+0.0017762i,-0.00031559+0.0011518i,0.00030799+0.00074718i,0.00076387+0.0011374i,0.00027272+0.0018468i,-0.00049489+0.0011691i,-0.00031462+0.00022697i,-0.000176-0.00057212i,0.00040108-0.0007185i,0.00068967+0.00019918i
0.00050465+0.0011426i,0.0008904+0.0011199i,0.0005735+0.00055534i,-0.00016859-0.00069954i,0.00020095-0.001868i,0.0015254-0.0019918i,0.0014834-0.0019698i,0.0011516-0.0020651i,0.00086484-0.0018046i,0.00016177-0.0020874i,-0.000217-0.0017863i,-9.3232e-05-0.0014731i,-0.00035951-0.0012047i,-0.00095216-0.00052977i,-0.00051094+0.0002229i,0.00074852+0.00057739i,0.0014669+0.00046132i,0.0012059-0.00013365i,0.0004968-0.00013923i,-0.00015572-3.1777e-05i,-0.00086272-0.00040509i,-0.0015996-0.0002251i,-0.0012312-0.00047105i
0.00029459-7.3998e-05i,-0.00029387-0.0013691i,-0.00043921-0.0012936i,-0.00025435-0.00075865i,-0.00017358-0.00056095i,-2.0396e-05-0.000665i,0.00055192-0.00067538i,0.00079127-0.00061813i,-0.00021981-0.00097637i,-0.00093128-0.0015281i,-0.00073824-0.0016821i,-0.00036755-0.00059492i,0.0007053+0.00054297i,0.00102+0.0012672i,0.0002857+0.0013401i,0.00015926+0.00049228i,0.000638-0.00066252i,0.00070321-0.0011767i,0.00034141-0.0011113i,9.8382e-06-0.00067911i,-0.00049674-0.00045995i,-0.00087441-0.0011824i,-0.00054527-0.0012909i
0.0013803+0.0014648i,0.00049082+0.00087892i,0.0019825-0.00030174i,0.0033901-0.00050465i,0.0026638-0.0012721i,0.0011273-0.0016949i,-0.00040197-0.00096811i,-0.0007045-0.00050895i,-0.00021476+0.00053961i,-0.000708+0.0010883i,-0.0013771-1.6348e-06i,-0.0011815-0.00098809i,0.00024235-0.00044215i,0.0014583+0.00040217i,0.0012157+0.00016592i,0.00094439-0.00016011i,0.00054909-0.00056265i,-3.9496e-05-0.00082499i,-0.00027799-0.00089042i,-0.00077479-0.00069168i,-0.00086609-0.00039127i,-0.00040267-0.00069374i,-0.00013771-0.0005736i
0.00030309-0.001434i,0.0004371-0.001709i,0.0011261-0.0014221i,0.00091455-0.0010396i,-0.00038646-0.00051763i,-0.00043891+0.00023733i,-0.00013404+3.0503e-05i,0.00021569-0.00034039i,0.0011589+0.00048609i,0.0012175+0.00039377i,0.00047733+0.00039157i,0.00043026+0.00087736i,0.00061599+0.00062737i,0.00047985+0.00027814i,0.00012927+0.00046946i,-0.00013887+0.0011186i,-9.4538e-05+0.00072209i,-0.00011203-5.6641e-05i,-0.00072309+0.00011763i,-0.0013185-0.00029404i,-0.0010074-0.00097339i,-0.00042747-0.00095257i,-0.00091163-0.00098372i
-0.0010795-0.00098518i,-0.0015094-0.00030924i,-0.0029774-0.0003885i,-0.0022852-0.00089953i,-0.00041357-0.0013828i,3.7915e-05-0.001656i,0.00055891-0.0009309i,0.00143-0.00054565i,0.0018325+0.00018855i,0.0017556+0.00093621i,0.0017532+0.0012895i,0.0020268+0.001777i,0.0012337+0.0013116i,0.00019099+7.9618e-05i,0.00024033+0.00026172i,5.1171e-05+0.0013032i,-8.6497e-05+0.0015633i,-0.00084148+0.0011206i,-0.0016305+0.00032296i,-0.0014906+4.1542e-05i,-0.00075103-8.4583e-06i,-9.3242e-05-0.00017353i,0.00046052-0.00025879i
-0.0010426-0.0010113i,-0.0010427-0.00099944i,2.6863e-05-0.00080378i,0.00041627-0.00050919i,0.00085227-0.00058685i,0.0012347-0.00021532i,0.00090391-0.00052318i,0.0010097-0.001332i,0.0012527-0.00071897i,0.00068578-0.00016013i,0.00072867+0.00014548i,0.00089773+0.001478i,0.00039076+0.0017842i,0.000275+0.0006008i,0.00080639+8.3356e-05i,0.00073239+0.0005398i,0.0002234+0.00027633i,0.00030983+9.4038e-05i,0.00032201+0.00026059i,0.00012901-0.00024387i,0.00018445-0.00084482i,0.00065411-9.8222e-05i,0.00098658+0.00037721i
0.0024305+0.00047167i,0.0030679+0.00081792i,0.0036585+0.00087198i,0.003286+0.00054116i,0.0021003+0.00025871i,-0.00077345-0.00083878i,-0.0015132-0.0012852i,-0.00021045-0.0014132i,0.0009867-0.002473i,0.0015586-0.0026912i,0.00070905-0.0015939i,-0.00010054-0.00091816i,-0.00036683-0.00057961i,-0.00035957-0.00011174i,-6.6988e-05-0.00039834i,0.00043057+0.00021307i,0.00063418+0.00067601i,0.00010408-8.2368e-05i,-2.0257e-05-0.0007707i,0.0006957-0.001024i,0.00067308-0.00052602i,-0.00040489-0.00022935i,-0.00023898-0.00028545i
0.0028962+0.00037003i,0.0016357+0.00061288i,0.0019931+0.00053413i,0.0024064+0.0004996i,0.0010974+0.00036351i,0.00024675+0.00013177i,0.00067557-0.0010117i,0.0022432-0.0019329i,0.0027257-0.002566i,0.0013041-0.0032956i,0.0001381-0.0024431i,5.1129e-05-0.00078533i,0.00019431+0.00027747i,0.0002705+0.00037885i,0.00059424+0.00024548i,0.00061162-0.00069141i,0.00031154-0.001514i,6.5402e-05-0.0013697i,-0.00069204-0.0013566i,-0.0016728-0.00077178i,-0.0016213-0.00011111i,-0.00096369-0.00051806i,-0.00028488-0.00069695i
-0.001305+0.00022095i,-0.0011098-0.00019439i,-0.0015664-0.0010949i,-0.00068539-0.00070249i,0.00051282-0.00047074i,0.0011526-0.0010611i,0.0010253-0.0012847i,0.00042098-0.0012848i,-0.00035403-0.0013163i,-0.00068629-0.0005765i,-6.7309e-05-0.00025139i,0.00044302-0.0002797i,0.00066973+0.00029286i,0.00034249+0.00070019i,4.6115e-05+6.0328e-05i,-0.00034225-0.0007934i,-0.00041003-0.0009369i,-0.00027334-0.0006443i,-0.00075279-6.4798e-05i,-0.0009969-3.3279e-06i,-0.0010886+0.00011586i,-0.00059713+0.00012711i,3.551e-05-4.5519e-05i
0.0022925-0.00025662i,0.0025817+0.00090774i,0.0032604+0.00066928i,0.0030223-0.00048104i,0.0020207-0.00064543i,0.00095954-0.00076825i,0.00043233-0.0018293i,0.00042181-0.0024084i,0.00075558-0.0015227i,0.00028017-0.00066351i,-0.00077513+0.00017814i,9.5736e-05+0.00058297i,0.0012106+0.00059605i,0.0011301-0.00032186i,0.00039628-0.00045602i,-0.00018202+0.0007738i,-0.00029738+0.0011605i,-0.00015118+0.00048542i,-0.00014369-0.00013672i,7.5215e-05+0.00035i,0.00035471+0.00047879i,-0.00019646+7.8614e-05i,-0.00073714-0.00063331i
-0.0001368-0.0022357i,-0.00019019-0.0022642i,-0.00057538-0.0029594i,-0.00094937-0.0024789i,-0.0017741-0.0014756i,-0.0006906-0.00016947i,0.00063611+0.00084459i,0.00072402+0.00093872i,0.00080688+0.0004198i,0.00048532+5.8301e-05i,0.00062362-4.3982e-05i,0.00091959+0.00060234i,0.00067086+0.00066428i,0.00020041+0.00037807i,-0.00011521+0.00080914i,0.00026311+0.0013072i,0.00090409+0.001128i,0.00053018+0.00078705i,-0.00015839+0.00091667i,-0.00079556+0.00073211i,-0.0011326+0.00013708i,-0.00059783-0.00043962i,0.0002705-0.00022765i
-0.0010848+0.00044255i,-0.00054126-0.00011709i,-0.0010885-4.7003e-05i,-0.00096879+0.00051482i,0.00053716+0.00046402i,0.0012092-0.00060162i,0.0011102-0.00065099i,0.0011492+0.00026683i,0.00087582+0.00025353i,0.0010738+0.00016965i,0.0012267+0.0004821i,0.00065289+0.00067415i,0.0007326+0.00057186i,0.0021639+0.00080537i,0.0025687+0.00074371i,0.0011412+6.1556e-06i,0.00016683-0.00042384i,0.00053027+0.0001268i,0.0011517-5.303e-05i,0.00088081-0.00017946i,-0.00020397+1.0497e-05i,-0.00057298-0.00042242i,-0.00065233-0.00032852i
0.0031804-0.00085157i,0.0028264-0.0013852i,0.0040392-0.0026131i,0.0034862-0.0020107i,0.001766-0.0013134i,0.00077981-0.00056604i,0.00045493+0.00019587i,0.0015786-0.00052119i,0.0032-0.0013172i,0.0033613-0.0013535i,0.0022962-0.00091631i,0.001199-0.00022123i,0.00075821-0.0002273i,0.00070896-0.0012005i,0.00096103-0.0010454i,0.00075199-0.0011104i,7.8403e-05-0.0013588i,-0.00026936-0.00054028i,0.00025105-0.00074365i,0.00024768-0.0014451i,9.6348e-05-0.0011565i,0.00015701-0.00091275i,8.4128e-05-0.00097622i
-0.00066831+0.00068076i,-0.00011754+0.00067543i,0.000273+0.00044358i,0.0013846+0.00018534i,0.0016806-0.00054407i,0.0013708-0.00053767i,0.0012157-0.0011024i,0.0012068-0.0017525i,0.0012431-0.0013128i,0.0010863-0.00080979i,0.00056088-0.00019504i,0.00075807+0.00016927i,0.0012899-0.00088646i,0.00079387-0.0011196i,-0.00048082+4.5239e-05i,-0.00044168+0.00016712i,0.00036406-0.00046857i,0.0003642-0.00056733i,0.00029694-0.00033761i,0.00029762-0.00020011i,-0.00013157+7.1357e-05i,-0.00074628+0.0004084i,-0.001236-0.0001842i
-0.00073259+0.0010222i,-0.0016161+0.0018031i,-0.0014424+0.0017912i,-0.00040222+0.002072i,-0.00044002+0.0013048i,-0.00025017-0.0004778i,0.00089089-0.00080723i,0.0014024-0.00082191i,0.0013423-0.00082535i,0.0010522-0.00093581i,0.00010533-0.00048497i,-0.00039261+0.00018993i,-0.00040363+0.0002444i,0.00044451+2.006e-05i,0.00019665-0.00024642i,-0.00025118-0.00050409i,0.00094213+0.00018393i,0.00047183+0.00082015i,-0.00047048+0.00042135i,-0.00013739+0.00041605i,0.00011019-1.8155e-05i,0.00014633-0.00031036i,5.1584e-05-0.0001499i
0.0006032-0.0027728i,0.0008231-0.0021531i,-0.00024276-0.0026021i,-0.00036573-0.0020749i,0.00043024-0.0004604i,0.00073734-0.00021595i,0.00077028-0.00044721i,0.0013455-0.00081449i,0.00088519-0.0014322i,-0.00037237-0.0014339i,-0.00070429-0.00042783i,-0.00045809+0.00086129i,-0.00063422+0.00095344i,-0.00071947+4.5902e-05i,-0.00025454+2.4908e-06i,-0.00035675+0.00054806i,-0.00039578+0.0005277i,-0.00079249+0.00011632i,-0.00055542-0.00060593i,0.00018551-0.0011177i,0.00027452-0.00077673i,0.00015047+0.00046385i,-0.00031207+0.00094063i
0.0020299+0.0021095i,0.0015303+0.00066194i,0.0007922-0.00013701i,-7.731e-06-0.00099154i,0.00034825-0.0018018i,0.00066919-0.0021299i,0.00040973-0.0024299i,0.00050156-0.0023699i,0.00011963-0.0019064i,-0.00032104-0.000953i,0.00029395+0.00014266i,0.00016166+0.0011099i,-0.00072274+0.001519i,-0.00025747+0.00073761i,0.00011288+0.00038963i,5.1865e-05+0.00061743i,0.00054565+0.00097943i,0.00047093+0.0010103i,-0.00019325+0.00024769i,-0.00046379-0.00013361i,-0.00023554+0.00034079i,-0.00052921-0.00012027i,-0.00028763-0.00032507i
-0.00056817+0.00073721i,-6.3708e-05-0.00071335i,-4.5935e-06+0.00011233i,0.00058294+0.00136i,0.0010766+0.00067515i,0.00069903-0.00029661i,-4.7913e-05-0.00052727i,0.00020532-0.00057682i,0.0011649-0.00071142i,0.0016092-0.00042165i,0.0015539+0.00046021i,0.0011916+0.0011325i,0.0012023+0.0012034i,0.00099307+0.00056985i,0.00066176+0.00061121i,0.00077645+0.0015942i,0.00092313+0.0012775i,0.00063891-0.00044326i,8.6046e-05-0.0010694i,4.3381e-05-0.00097705i,0.00039555-0.00070182i,0.0006425-0.00080087i,0.00028158-0.0010117i
-0.00081483+0.00033773i,-0.00062851+0.00094137i,-0.0011101+0.0018099i,-0.00097332+0.0013607i,0.00065853+0.00037991i,0.0010501-0.00012462i,0.00085741-0.00084386i,0.0016923-0.00067425i,0.0014833+0.00042527i,0.00063121+0.00091772i,0.00075932+0.00063091i,0.0014989+4.9932e-05i,0.0025101+0.00040422i,0.0024971+0.0013177i,0.0012939+0.0014405i,0.0005907+0.0011594i,0.00051911+0.00027565i,0.00089253-9.3845e-05i,3.8937e-05+0.00020716i,-0.00081469+0.00016398i,-0.00039372-0.00020692i,-0.0001714-2.8288e-05i,-0.00016316+0.00033755i
0.0011402+0.0017223i,0.0017908+0.0012949i,0.0021836+0.00047544i,0.0021241-0.00094881i,0.0016004-0.0020854i,0.00091562-0.0019234i,0.0003916-0.0010348i,0.00036167-0.00064639i,0.0014869-0.00053526i,0.0012944-5.5691e-05i,-0.00031384-0.00018252i,-0.00059316+0.00014874i,9.7925e-05+0.00024769i,0.00071313-0.0014589i,0.0014384-0.0024649i,0.0013911-0.0011501i,0.00070974+0.00016752i,0.00054625+0.00041719i,0.00077868+0.00033733i,0.00017152-0.00079007i,-0.00029023-0.0011956i,7.6738e-05-0.00032981i,0.00030503-0.00032776i
0.0021607-0.0016368i,0.0010104-0.0013158i,-0.0012647-0.0021732i,-0.0014324-0.0017778i,0.00039578-0.0007028i,0.0006638+5.0931e-05i,0.00035729+0.00010491i,0.0013248+0.00020679i,0.0021664+0.00062168i,0.0014815+0.00089514i,-0.00030046+0.00098654i,-0.00087665+0.00069383i,-0.00082047-0.00022584i,-0.00087512-0.00049985i,-0.001048-0.00034651i,-0.0010653-0.00048235i,-0.00029707-0.00034671i,0.00049249+0.00054275i,0.00086699+0.00037004i,0.00093907-0.00036909i,0.00044868-0.00067004i,-0.00036447-0.00070084i,-0.00068152-0.00045988i
0.00021309+0.0023978i,0.0011111+0.0011756i,0.0021779-0.00018147i,0.002157-0.001436i,0.0010402-0.0021126i,-4.0349e-05-0.0019932i,0.0003694-0.0014309i,0.0016051-0.0011633i,0.0023023-0.00044756i,0.0019368+0.00021646i,0.0010454+0.001076i,0.00093708+0.00072427i,0.00084212-0.0011502i,0.00023645-0.0021213i,-0.00011078-0.0013345i,-7.6235e-05-0.00049768i,0.00024504-0.00011022i,-0.00028016+4.4896e-06i,-0.0011784-0.00014377i,-0.0007012-0.00035885i,-0.00095022-0.00021891i,-0.0020137-0.00042433i,-0.0014436-0.00066259i
0.0012997-0.0024635i,-8.0147e-06-0.0021186i,-0.0011379-0.0030831i,-0.0013796-0.0015389i,-0.0011103+0.001174i,-0.0010866+0.0014793i,-3.3844e-05-0.00062895i,0.0017134-0.002346i,0.0024084-0.0022256i,0.0018209-0.0017621i,0.0012198-0.00059026i,0.00049802+0.00078518i,0.00022809+0.0003589i,-0.00040296-9.9001e-05i,-0.0018012+0.00060773i,-0.0020043+0.00011027i,-0.0014428-0.00052681i,-0.00095697-0.00055266i,-0.00026839-0.00019058i,-0.00042798-6.3637e-05i,-0.0006927+6.7429e-05i,-9.6107e-05-0.0002001i,-1.8122e-05-0.00055888i
0.0011993+8.8808e-05i,0.00072451-0.00011874i,0.0015341-0.00070402i,0.0020685-0.0015399i,0.0020802-0.0024794i,0.0018707-0.0019433i,0.0015191-0.00062927i,0.0014766-0.0012128i,0.0018883-0.002444i,0.0024693-0.0022826i,0.0026413-0.00088453i,0.0021595+0.00058377i,0.00059447+0.00089567i,-0.000806+0.0015292i,-0.00081136+0.0014395i,-6.2855e-05+0.00091551i,0.00030581+0.00070678i,-0.00016556-1.7964e-05i,-0.00069119-8.3475e-05i,-0.00029714+4.1662e-05i,0.00037553-9.9563e-05i,0.0010901-0.00030495i,0.00075235+0.00016871i
0.0014725-0.0010393i,0.0017542-0.0017313i,0.0015655-0.0028737i,-0.00014501-0.0017269i,-0.00097952-0.00083062i,-0.00066934-0.0014126i,-0.0010379-0.0015577i,-0.00066712-0.0022962i,-0.00043408-0.0034028i,-7.475e-05-0.0033182i,0.00079831-0.0023099i,0.0010061-0.0016163i,0.00060313-0.00025762i,7.0675e-05+0.00090176i,0.00043871+0.00029315i,0.00089296+0.00051156i,0.00049169+0.0015997i,0.00017386+0.0016781i,0.00049729+0.0010056i,0.00080234+0.00029572i,0.0005751-0.00054327i,0.00062309-0.00013743i,0.00046504+0.0003218i
-0.0016567+0.0017348i,-0.00085887+0.0021116i,-0.001063+0.0025352i,-0.00063778+0.0015563i,0.0011573-0.00024646i,0.0019068-0.0016372i,0.00084849-0.0017849i,-0.00075777-0.001022i,-0.0016655-0.00031384i,-0.0019429-0.00033914i,-0.0015761-0.00097646i,-0.00019764-0.0014583i,0.0013699-0.0013614i,0.0021393-0.00084097i,0.0021381-0.00018085i,0.0015429+0.00020982i,0.00063571+0.00079893i,0.00015229+0.00066964i,0.00045011+0.00025689i,0.00071232+4.9031e-05i,0.00022819-0.00020074i,-8.8101e-05-0.00034998i,-0.0001243-0.00093041i
-0.00070042+0.0025545i,-8.9453e-05+0.0024227i,0.0016233+0.0031919i,0.0020738+0.0033214i,0.0015558+0.0023469i,0.0011179+0.00054917i,0.00041501+0.00024882i,0.00053184+0.0010534i,0.00095389+0.0018516i,0.00061795+0.0016503i,0.00040627+6.2926e-05i,0.00044264-0.0010112i,0.00095836-0.0014269i,0.0014656-0.0016404i,0.0007617-0.0011306i,0.00041406-0.00037535i,-0.00019346+1.4222e-05i,9.9525e-06-0.00063299i,0.0013385-0.0012224i,0.00108-0.00078351i,-9.645e-05-0.00040748i,-0.00028078-0.00070202i,0.00039366-0.0012276i
0.00056176+0.00082057i,0.00042443-0.00011861i,-0.00046765-9.8163e-05i,-0.00042164-0.00021356i,0.00058294-0.00026274i,0.0016886+0.00068021i,0.0020894+0.00076563i,0.0021614+0.00074886i,0.0014865+0.0013925i,0.00022368+0.0025589i,-0.0008988+0.0031774i,-0.001276+0.001995i,-0.00081878+0.0007828i,-0.00027517-0.00023609i,-0.00017757-0.00081226i,0.00016033-8.7697e-05i,-0.00031966-0.00042024i,-0.00085985-0.00071047i,-0.0008186-0.00041456i,-0.0012199+9.7327e-05i,-0.0011398-4.8791e-05i,-0.00048607-0.00060866i,-0.00031909-0.00067528i
0.0026911-0.00095982i,0.0026376-0.00087077i,0.0022568-0.0014738i,0.002169-0.0021439i,0.00064907-0.0023011i,-0.00091843-0.0017777i,-0.00028569-0.0010566i,0.0021038-0.00036462i,0.003935-0.0004905i,0.0030382+1.6442e-05i,0.00082345+0.0013698i,0.00013717+0.0016081i,-0.00020427+0.00068555i,-0.0008826-0.00021594i,-0.001201-0.0003486i,-0.00050303-0.0008103i,0.00058851-0.00071367i,0.00015951-0.0010049i,-0.00073878-0.00083114i,-0.0011222+0.00023421i,-0.0011563+0.00083111i,-0.00080591+0.0009613i,-0.00081123+0.00091354i
0.001597+0.00030202i,0.0022068-0.00046182i,0.0018177-0.00063595i,0.00053926-0.00061381i,-0.00095379-0.00027046i,-0.00032932-0.00029515i,0.00093579-0.00075729i,0.0014906-0.0020808i,0.0032879-0.0025503i,0.0043785-0.00076957i,0.0035952+0.0015416i,0.0015428+0.0022693i,-0.00034706+0.0008195i,-0.00059751-0.00023424i,-0.00048917+5.0393e-05i,-0.00032768+0.0008092i,0.00013591+0.00092315i,0.00057048+0.0003515i,0.00027055+0.00052174i,0.00015824+0.00078269i,0.00031635+0.00048337i,-0.00015191-0.00047085i,-0.00032137-0.00079319i
-0.0017517-0.00060594i,-0.0023448+0.0014621i,-0.0027477+0.0022662i,-0.0010666+0.0023116i,0.0016782+0.0015751i,0.0024385+0.00037287i,0.0019757-0.00095969i,0.0013136-0.0027474i,0.0018303-0.0037832i,0.0024656-0.003521i,0.0029289-0.0018012i,0.0029006-0.00019143i,0.0023348+0.0004808i,0.0013519+0.0017761i,7.7455e-05+0.0027001i,0.00011081+0.0023956i,0.00015626+0.0012001i,0.0002982+0.00055628i,0.00052225+0.00093215i,0.00080497+0.00098744i,0.00065109+0.00084082i,9.9442e-05+0.0010782i,-0.00023738+0.00070195i
0.0017223-0.00018529i,0.00097725-0.0012953i,0.00031178-0.0019869i,-0.0002073-0.0019096i,-0.00079038-0.0016699i,-0.0010326-0.002052i,-0.00050391-0.0015405i,-0.00024717-0.0012623i,-0.00044253-0.0027974i,-0.00025098-0.0045414i,0.00032724-0.0043436i,0.0012263-0.0028179i,0.001507-0.00056138i,0.00021527+0.0010636i,-0.00070789+0.0010798i,0.00013115+0.00033378i,0.00039761+0.00045173i,0.000453+0.00061515i,0.00058628+0.00018541i,-0.00034012-0.00020798i,-0.00046718-0.0006819i,0.00014462-0.00047064i,0.00053477-0.00062532i
-0.0012016-0.0010224i,2.6442e-05+0.00032955i,0.0010966+0.00075037i,0.0016866+0.0010924i,0.0014601+0.00082081i,0.00046916-0.00039286i,-4.0402e-05-0.0010714i,-0.00046308-0.00097345i,-0.0014563-0.00065793i,-0.0023422-0.0012929i,-0.0020008-0.002128i,-0.0014431-0.0016118i,-0.00098023-0.001035i,-0.00098887-0.00059495i,-0.00063054+5.5298e-05i,0.00035794+0.00018699i,0.0003135-0.00044283i,-0.00020647-0.00092841i,-0.00017955-0.0006857i,-0.00049469+9.3966e-05i,-0.00071039+0.00023322i,0.00012999-0.00073558i,0.00063512-0.0010002i
0.00082015-0.001413i,0.0010806-0.0005742i,0.00087194-0.00022182i,0.00061113-0.00059709i,8.1921e-05-0.00076846i,-0.00016488-0.00062562i,-0.00023223-5.1523e-05i,0.0001033+0.00095853i,-0.00013061+0.0020205i,-0.0017444+0.0020212i,-0.0032418+0.001188i,-0.0032371+0.0009081i,-0.001676+0.00035933i,0.00049531+0.00014163i,0.0019725+0.00017247i,0.0021414-0.00012224i,0.0015285-0.00036469i,0.00030818-0.0014235i,-0.00072906-0.0024931i,-0.00078958-0.0016974i,-0.0012828-0.00050692i,-0.0015719-0.00072261i,-0.0012904-0.001019i
-0.0018131+0.00090721i,-0.0010596+0.00075451i,-0.00017025+0.0005545i,0.00010253+0.00093604i,-0.00027463+0.00088382i,0.00034649-0.0005517i,0.0014684-0.00096677i,0.0025773+0.00038159i,0.0022639+0.0020828i,0.00038141+0.0038187i,-0.0012657+0.0045227i,-0.0010879+0.0039521i,0.00055868+0.0024278i,0.0019583+0.00082169i,0.0017674+0.00015514i,0.0010984-9.5683e-05i,0.00091482-3.9659e-05i,0.00034793+0.00029541i,-9.9689e-05-0.00028538i,0.00048046-0.00026175i,0.00078535+0.00029836i,0.00067184+7.4272e-06i,-0.00049915-0.00060822i
0.0017917+0.0012633i,0.0013566+0.00099782i,0.0021333+0.00059198i,0.0009865-5.3338e-05i,-0.0001976-0.00095515i,-0.00022556-0.00062111i,0.00039754+0.0004647i,0.002166+0.00030316i,0.0042101+0.00021953i,0.0048986+0.001509i,0.0040716+0.0031508i,0.0026229+0.0034243i,0.0010524+0.0019964i,-0.00045946+0.00032883i,-0.0010259-0.00097825i,-0.00075351-0.0011268i,-5.4482e-05-2.3564e-05i,-0.00012906+0.00072495i,-0.00069518+0.00061636i,-0.00025687-0.00031497i,0.00047703-0.00085881i,0.00037813-0.00035486i,0.00045755-9.9614e-05i
-0.00097969-0.0021968i,-0.0016983-0.0023422i,-0.0023755-0.0017995i,-0.0014231-0.00047668i,-0.00037735-0.00022578i,0.00031084-0.00045318i,0.0013569-0.0012786i,0.0027681-0.0023164i,0.0041504-0.0025072i,0.00563-0.002047i,0.0058029-0.00092555i,0.0042165-0.00027548i,0.0019619-0.00040498i,-0.00058901-0.0012451i,-0.0019278-0.0019291i,-0.0020159-0.0015399i,-0.0013967-0.00027868i,-0.00075581+0.00086166i,-0.00016983+0.0013922i,0.00022666+0.0008384i,-8.2821e-05+0.00023307i,-0.00065226+0.0002192i,-0.00048323+0.00047424i
0.0004554-0.00039073i,0.00023141-0.00077041i,-7.7158e-06-0.00091103i,0.00055275-0.000707i,0.0002837-0.00044838i,0.00025384-0.00021687i,0.0012777-0.00018231i,0.0012188-0.0016143i,0.0015016-0.0039344i,0.0018725-0.0041487i,0.0021137-0.0034614i,0.0023181-0.0027191i,0.0013719-0.0012892i,-8.8078e-06-0.00052102i,-0.00021024+0.00013606i,0.00029072+0.0013228i,0.00056271+0.0013158i,0.00043417+0.00016775i,0.00044036-0.0010614i,0.00027714-0.0015847i,-0.00045725-0.00093867i,-0.00077495-5.5283e-05i,-0.00062129-0.00069284i
0.0017683+0.002841i,0.0026784+0.0015189i,0.0039481+0.0013587i,0.0032142+0.00095931i,0.0019594-0.00099907i,0.0011341-0.0018848i,0.00015258-0.0011809i,-0.000843-0.00077758i,-0.001824-0.0016847i,-0.0025203-0.0045235i,-0.0019229-0.0063831i,-0.00096813-0.0051901i,-0.00045531-0.00251i,0.00034786+0.00014129i,0.00072304+0.0024444i,0.00061451+0.0024632i,0.0004047+0.00069831i,0.00020746-0.00098882i,-0.00040087-0.0012875i,-0.00063848-0.0010607i,-3.0377e-05-0.0011295i,-0.0005984-0.0014301i,-0.00093805-0.0015902i
