-0.002129+7.7033e-05i,-0.001919+0.00064552i,-0.002364+0.0012186i,-0.0027081+0.00098891i,-0.0025114+0.0010464i,-0.0016484+0.0013616i,-0.00090703+0.0005675i,-0.00023353+0.00028249i,0.00031518+0.00013441i,0.00033055-0.00049436i,0.00051629-0.00065196i,0.0003117-0.00036698i,0.00028054-0.0002231i,0.00030738-0.00057057i,4.1089e-05-0.00023882i,0.00024002+0.00024584i,0.00033858-1.1661e-05i,-0.00039016+4.1168e-05i,-0.00074783-0.00068938i,-0.00015299-0.00098305i,-2.0186e-05-0.00078701i,-9.0089e-05-0.0013662i,-3.4835e-06-0.0011259i
-0.0013661+0.0015263i,-0.0013387+0.00056839i,-0.00091028+0.0011767i,0.00022928+0.0018443i,0.00074709+0.0016433i,0.00077803+0.00023775i,0.0011601-0.00069493i,0.0008359-6.9429e-05i,0.00059643+0.00067678i,0.00091581+0.00054671i,0.0011105+0.00088219i,0.00058439+0.00096141i,0.00034846-4.525e-05i,0.00037078-0.00064691i,0.00081302-0.00025196i,0.0011812+0.00012982i,0.0011268+0.00019756i,0.00094876+2.2886e-05i,0.00055171-2.6853e-05i,0.00050627-8.4164e-05i,0.00069218-0.00014119i,0.00076464-0.00028055i,0.00014195-0.00059324i
0.00075258+0.00052738i,0.00026186-0.00032454i,0.00066912-0.00047171i,-7.5941e-05-0.0014426i,-0.00018799-0.0023404i,0.00069999-0.001567i,0.00016928-0.00045446i,-0.0010125-0.00063994i,-0.0010973-0.00099478i,-1.7493e-05-0.00089372i,0.00017425-0.00069551i,-9.1906e-05-0.00014578i,-4.3001e-05-4.8276e-06i,-0.00012802-0.00045702i,-4.9912e-05+0.00011367i,0.00011402+0.00031612i,5.4221e-05-7.3881e-05i,0.00010524-0.00046286i,-0.00010137-0.0002804i,-0.00018317+0.00021806i,-0.00011805+8.9545e-05i,-0.00060587+0.0002189i,-0.00050339-0.00020568i
-6.275e-05-0.00055741i,-0.0010437+0.00072609i,-0.0013025+0.00084824i,-3.7673e-05+0.00030393i,0.0010328+0.00095679i,0.00010905+0.00029183i,-0.00091495-0.00047528i,-0.00021035-0.00049389i,0.00068899-0.001295i,0.00015377-0.0008403i,-0.00028499+0.00023741i,0.00026427+0.00053003i,0.00053481+0.00010595i,0.00023693-0.00029837i,-4.7191e-05+1.5949e-05i,0.00049981-0.00031834i,0.0010021-0.00025707i,0.000265-0.00020922i,-0.00051534-0.0012253i,-0.00034952-0.0012839i,0.00034137-0.00012084i,0.00024898+0.00043126i,0.00033003-0.00019607i
-0.00099747-0.000223i,-0.00031611-0.00059223i,0.00039966-0.00073105i,0.0001525-0.00098548i,-0.00043712-0.002195i,-0.00023771-0.0024564i,0.00056452-0.0015769i,0.00084668-0.0017331i,0.00046703-0.0019623i,-0.00021607-0.00096386i,-0.00068289-0.00045669i,-1.2367e-05-0.00065378i,0.0010124-0.0011175i,0.00096594-0.00056271i,0.00069703+0.00038828i,0.00051823-4.2839e-06i,0.00015937-0.00051971i,0.00042016-0.00065765i,0.00084627-0.00037445i,0.00075267+0.00032998i,0.00033847+0.00018649i,-0.00029056+0.00021139i,-0.00021904+0.00030631i
0.0013464-0.001747i,-0.00014176-0.0028365i,-0.00032202-0.0031284i,-0.00072906-0.0024595i,-0.00081991-0.0020316i,-0.00030637-0.0011206i,-0.00048749-0.00056266i,-0.0012982-0.00095857i,-0.0012974-0.0015385i,-0.00020196-0.0017848i,0.0001624-0.001114i,0.00076934+0.00023834i,0.00044992+0.00026434i,-0.00064535-0.00029309i,-0.00063339-0.00019233i,-0.00042816-0.00013159i,-5.3073e-05+0.0001805i,0.00020921+0.00029497i,-4.9118e-06+0.0002738i,-0.00016962+0.00090434i,0.00057033+0.0014225i,0.00056779+0.00074699i,-0.00031946+0.00077113i
-0.001372+0.00078736i,2.7682e-05+0.00086591i,0.00070014+0.0014757i,0.00076068+0.00054057i,0.00077175-0.00035187i,0.00031759-0.00072607i,0.00065402-0.0012996i,0.0016123-0.0011893i,0.00077894-0.00075046i,-0.00023489-0.00063324i,-0.00043326-0.00057105i,-0.00046766-0.00043494i,0.00018512+6.1689e-05i,0.0011455+0.00078065i,0.00038486+0.00033846i,-0.00030376-0.00024508i,-4.1519e-05+0.00025009i,0.0002835+0.00035979i,0.00038429-5.7958e-06i,0.00055189-0.00054099i,0.00041078-0.00039976i,-6.2105e-05-0.00021816i,0.00010056-0.0003469i
0.00082411-0.0015911i,0.0010426-0.0020015i,0.0012555-0.0017655i,7.4217e-05-0.00096513i,-0.0010472-0.00051483i,0.00011187-0.00098819i,0.0006869-0.00075165i,-0.00013933-0.00011771i,-0.00054186-0.00015148i,-0.00040763-0.0012853i,0.0005372-0.0015585i,0.00060455-0.00074239i,0.00031021-0.00059151i,-0.00077359-0.00041812i,-0.0014611-0.0002084i,-0.00029751-0.00085089i,-0.00019424-0.00092637i,-0.00044945-0.00077225i,3.5889e-05-0.0013616i,8.3399e-05-0.0010111i,-0.00023653+0.00057404i,-0.00050233+0.00060869i,6.16e-05-0.0003482i
0.0004289+0.00022695i,0.00023499+0.00080464i,0.00027119+0.00014875i,0.0011777-0.00063056i,0.0011617-0.00040162i,0.00061377-0.00097762i,-0.00015266-0.0012522i,-0.00096278-0.00069966i,-0.00092258-0.00052463i,-0.00058413-0.00024685i,-0.0003334+1.9722e-05i,0.00033758+0.00034701i,0.00017046+0.0005735i,-0.00056323+0.00010195i,-0.00032254+0.00037064i,0.00058618+0.00054956i,0.00075076-0.00026312i,0.00024158-0.00098294i,-0.00072511-0.00023511i,-0.0010259+0.00049072i,0.00010331+0.00055817i,0.00093307+0.00031575i,0.00046068-0.00017738i
0.00093625-0.0023966i,0.0013263-0.0019736i,0.0011752-0.001256i,0.0010332-0.00088165i,0.00019299-0.0011047i,-0.00077748-0.0012131i,-0.00028111-0.001145i,-0.00021433-0.0013337i,-0.00096102-0.0016496i,-0.00046146-0.0013718i,-0.00023792-0.00094599i,-0.00042869-0.0010041i,-0.00052706-0.0011515i,4.6661e-05-0.0014261i,0.00091048-0.0012465i,0.00090619-0.00093122i,0.00047365-0.00024825i,0.00080963+0.00026726i,0.0005367+0.00020523i,0.00023139+0.00071031i,0.00076121+0.00068073i,0.00073795-0.00032295i,0.0003682-0.00070546i
-0.0013979+0.00053082i,-0.0010967+0.0002913i,-0.0015289+0.0002102i,-0.0012101+0.0009233i,-0.0011674+0.0011955i,-0.00017147+0.00031026i,0.00058231-0.00070863i,0.00013096-0.0020461i,0.00037164-0.0019639i,0.00040868-0.00078397i,-5.9251e-05-6.4859e-05i,-2.8306e-05+0.00054069i,0.00082841+0.00085698i,0.00084263+0.00072727i,0.00059439+0.00048325i,-0.00020699+0.00034411i,-0.00049436-0.00061456i,-6.599e-05-0.00067703i,0.0002466-4.5896e-05i,0.00020595-0.00016568i,-0.0001995-0.00071128i,-0.00029913-0.00050852i,-0.00040505-0.00026872i
