0.00086481-0.0011495i,0.00066121-0.0017823i,-0.0019842-0.0021937i,-0.0030755-0.0016484i,-0.0022587-0.0010657i,-0.0015001+0.00010767i,-0.00096668+0.0015692i,-0.0012535+0.0021642i,-0.00035939+0.001065i,0.0007558-0.00017856i,0.00026393-0.00088468i,-0.00039418-0.0014929i,-0.0001486-0.0011751i,0.00049179+0.00014022i,-0.00032664+0.0011046i,-0.0011323+0.00074974i,-0.00068641+0.00012581i,0.0001711-0.00051889i,0.00063874-0.00021071i,6.3761e-05+0.00041891i,-0.00018716+3.843e-05i,-0.00023991+0.00012905i,0.00018334+0.00052577i
0.0010923+0.0010024i,0.00092332+0.00054886i,0.00023951-0.00026672i,-0.0014134-0.00074201i,-0.0017166+0.00020427i,-0.00011874+0.0013936i,-0.00010741+0.0019373i,8.7895e-05+0.00145i,0.00032014+0.00043188i,-0.00084831-0.00021016i,-0.0011395-0.00088374i,-0.00057917-0.0010114i,6.5571e-05-0.00044544i,0.00056357+5.6743e-05i,0.00051069-7.4666e-06i,0.00049545+0.00019288i,-0.00015854+0.00040208i,-0.00049699+1.9745e-05i,-0.0002913-0.00023439i,-0.00034084-0.00051313i,-0.00011475-0.00061349i,0.00033822-0.00061005i,0.00060772-0.0001767i
-0.00070898+9.476e-06i,-0.00038809-0.00056568i,-0.0014097-0.0010223i,-0.0016174-0.00021274i,-0.0017688+0.00064014i,-0.0019052+0.00032345i,-0.0010335+6.3117e-05i,0.00014287+0.00038647i,0.00083066+0.00027217i,0.0004682-0.00014362i,-0.00016825+0.00030667i,-0.00040116+0.00080527i,-0.00040571+0.00081325i,7.306e-05+0.0011139i,0.00030946+0.0007152i,0.00023038+0.00026642i,0.00025412-0.0002244i,0.0001487-0.00098721i,3.139e-05-0.00073908i,0.00021403-0.00024741i,0.00038869-0.00031341i,0.00069477-0.00014585i,0.0012825+0.00041086i
0.0013437-0.00042281i,0.00074049-0.00064609i,0.00025529-0.00019455i,8.7912e-05-0.00012807i,-0.00033382+0.00016279i,-0.00068053+0.00015478i,-0.00044598-0.00072496i,0.00021059-0.00068342i,0.00051109-0.00078446i,-7.1642e-05-0.00098165i,-0.00023378-0.00062013i,0.00036509-0.00066991i,0.0001735-0.0012971i,-0.00040288-0.0013204i,-0.00035144-0.00047496i,0.00053285-0.00015521i,0.0012015-0.00043498i,0.00018055-5.2337e-05i,-0.00057872+0.00029094i,-0.0012497-8.6416e-05i,-0.0011472-0.00019432i,-0.00023382+0.00049434i,6.2534e-06+0.00037266i
-0.00019777-8.344e-05i,-0.00082434-0.0007712i,-0.001628-0.0018236i,-0.001491-0.0011801i,-0.0012098-6.7754e-06i,-0.0007455-5.062e-05i,-0.0009363-0.00026496i,-0.00050727-1.2279e-05i,0.00026157-0.00042242i,-5.5174e-05-0.0010107i,-0.00070383-0.00081143i,-0.001149-0.00061132i,-0.00047003-0.00011879i,0.00023181-3.921e-05i,0.00089537-1.8414e-05i,0.00089813+0.00024565i,0.00017554-0.00015771i,0.00033163-0.00036131i,0.00086817-0.0001772i,0.00059194+0.00049596i,-0.0003213+0.00083363i,-0.00068285+0.0010993i,-0.00020065+0.00065757i
0.00027995+0.00026619i,-0.00021509-0.0002896i,-0.00052016-0.00067813i,-0.0011259+0.00032741i,-0.0011984+0.0010003i,-0.00076129+0.00074134i,-7.0982e-05+0.0002663i,-0.00018497+0.00017125i,-0.00016337-0.00031731i,-0.00027858-0.0010901i,-0.00061853-0.0011206i,-0.00034992-0.00065537i,-0.00015813-0.00037659i,-0.00057438-0.00019729i,-0.00060442-6.9863e-05i,-9.8997e-05-0.00049512i,0.00041165-0.0009573i,0.00067813-0.00094246i,0.00072385-0.00086927i,0.00091054-0.00063754i,0.00065513-0.00015517i,-0.0004843-0.00021996i,-0.00017116-3.2374e-05i
-0.001339-0.0002986i,-0.00073354-0.00036276i,-0.00067134-2.3887e-05i,-0.00046346+7.1974e-05i,0.00012349+0.00055991i,5.0654e-05+0.00079873i,-0.00030752+0.00024822i,-0.00050067+0.00026436i,-0.00039075+0.00084263i,-0.00013368+0.00079781i,-0.00018003+0.00098799i,-0.00056547+0.00095789i,-0.00061387+0.00031768i,-0.00085615+0.00023018i,-0.00050494+0.00013058i,0.00020337+0.00014281i,0.00024277+3.9186e-05i,-0.00018783-0.00033071i,-0.00042232-0.00056592i,-0.00041756-0.00080112i,-0.00090953-0.00071143i,-0.00054472-0.00017379i,0.00055123-0.00017167i
0.00079559-0.00085991i,0.00041303-0.0012828i,0.00028213-0.0014307i,-0.0005613-0.00084878i,-0.0016877+7.9632e-05i,-0.0017414+0.00063617i,-0.00019306-9.5234e-05i,0.00019461-0.00039425i,-0.00068541-0.00022919i,-0.00051989-0.00016106i,-0.00053243+0.00024253i,-0.00074282+0.00037041i,-0.00018995+7.1186e-05i,0.00024667-0.00029498i,-0.00013491-3.3451e-05i,-0.00022506-0.00041714i,0.00012177-0.00047433i,0.00010601+0.00010558i,2.2244e-05+0.0002263i,-0.00046052+0.0005627i,-0.00089616+0.00069803i,-0.0002901+0.00028112i,0.00016253+0.00087977i
-0.00020768+0.0012768i,-0.00060619+0.00010774i,-0.00048051-0.00020409i,-0.00055966-0.00014977i,-0.00026508-4.6416e-05i,-0.00070444-0.00018561i,-0.0014699+3.8092e-05i,-0.00097467+4.1323e-05i,2.5367e-05-0.00051882i,0.00082851-0.00050317i,0.00019319-0.00028435i,-0.00035493-0.0004976i,-0.00020347-0.00025218i,9.6502e-05+0.00034832i,0.00047449+0.00073248i,0.00058461+0.00084618i,-0.00029749+0.0010528i,-0.0005457+0.0004727i,0.00028897-0.00010544i,0.00040741-0.00083693i,0.00016034-0.0013534i,-0.00015789-0.0013023i,0.00014017-0.00095465i
-0.0014701-0.00055429i,-0.00064822-1.4017e-05i,-0.0022166+0.00078921i,-0.0024948+0.0015215i,-0.0014326+0.0020289i,1.8037e-05+0.0023278i,0.00060648+0.0016506i,0.00055132+0.00073987i,0.00081266+0.000357i,0.00054313+0.00026395i,-0.0002894+0.00062898i,-0.00046156-3.9623e-05i,-8.5979e-05-0.00098257i,0.00047899-0.00099098i,0.00055295-0.0004552i,0.00019081-7.0358e-05i,5.6904e-05-0.00013353i,-0.00016414-0.00034934i,-0.00099396-0.00061504i,-0.00066785-0.00067276i,5.5396e-05-0.00052534i,7.5555e-05-0.00047048i,0.00014251+8.3865e-05i
-0.00029517-0.0010162i,-0.0011259-0.00037214i,-0.0025691-8.1862e-05i,-0.0025419+0.00046077i,-0.0025952+0.00040586i,-0.0015935+0.00030131i,8.7619e-05+0.00048536i,0.00076967-0.00012067i,0.0006962-0.00050794i,0.00041925-2.7524e-05i,-0.00044667+0.00061018i,-0.0010202+0.00052654i,-0.00057872-2.5371e-05i,-3.3861e-05-0.00060606i,2.2639e-05-0.00021957i,-0.00017442+0.00054953i,-0.00050191-0.00027131i,-0.0007417-0.00060385i,-0.00048779-3.3506e-05i,0.00038411-7.5035e-05i,0.00041285-9.1948e-05i,0.00016409+0.00019575i,1.2115e-06+0.00059046i
