0.00086481-0.0011495i,0.00066121-0.0017823i,-0.0019842-0.0021937i,-0.0030755-0.0016484i,-0.0022587-0.0010657i,-0.0015001+0.00010767i,-0.00096668+0.0015692i,-0.0012535+0.0021642i,-0.00035939+0.001065i,0.0007558-0.00017856i,0.00026393-0.00088468i,-0.00039418-0.0014929i,-0.0001486-0.0011751i,0.00049179+0.00014022i,-0.00032664+0.0011046i,-0.0011323+0.00074974i,-0.00068641+0.00012581i,0.0001711-0.00051889i,0.00063874-0.00021071i,6.3761e-05+0.00041891i,-0.00018716+3.843e-05i,-0.00023991+0.00012905i,0.00018334+0.00052577i
-0.00036631-0.0013079i,-0.00085366-0.00088221i,-0.0018495+0.00038568i,-0.0023873+0.00038683i,-0.002525+5.9213e-05i,-0.0021008+0.0005896i,-0.0020204+0.0008058i,-0.0016481+0.00074501i,-0.00036624-4.9222e-05i,0.00028932-0.00078606i,-0.0002376-0.00054726i,9.5037e-05-0.00046092i,0.0005717-7.066e-05i,-1.4973e-05+0.00026496i,-0.0010858+0.00024017i,-0.00079622+0.00060047i,0.00016327+0.00069779i,-7.1446e-05+0.00069953i,7.9894e-05+0.00035538i,-5.7237e-05-0.00058638i,-0.00069444-0.00072594i,-0.00051835-7.1625e-05i,-0.00023885-5.7834e-05i
-0.00030219+0.00020434i,-0.00091109-0.00081672i,-0.000421-0.00097658i,-2.9453e-05-0.00073818i,0.00029492+0.00051474i,0.00013093+0.0015049i,-0.00057312+0.0011987i,-0.0001188+0.00011282i,9.3643e-05+8.0281e-05i,-0.00058611+0.00015538i,-0.00046896+0.00022268i,-0.00060683+0.00039322i,-0.00094331+0.00039004i,-0.00052664+0.00068557i,-0.00050625+0.0010375i,-0.00072304+0.0010748i,0.00022538+0.00031025i,0.00098858-4.2674e-05i,0.0012821+0.00020571i,0.0012767+0.00044483i,0.00032391+0.00039224i,-0.00088514+0.00019128i,-0.0014051+0.00048023i
-0.00017472-0.00077797i,-0.0011338-0.00086952i,-0.0022558-0.0012447i,-0.0031105-0.0016308i,-0.0025136-0.0005206i,-0.0015289+0.00092945i,-0.00089486+0.00076131i,0.00030985-0.00024807i,0.00089225-9.212e-06i,0.00038619+0.00061122i,0.00022179+7.4311e-05i,4.3316e-05+0.00011092i,-0.0005333+0.00054029i,-0.00041017+0.00037569i,-1.3108e-05+0.00027473i,-1.4712e-05+0.00064033i,0.00019831+0.00019504i,0.00027387-0.0010323i,0.00028104-0.00061129i,-0.00015759+8.7106e-05i,-0.00019208-0.00032508i,0.00057815-0.00079951i,-1.2153e-05-0.00035279i
0.0011633-0.00084311i,0.0010004-0.00085252i,0.0008449-0.0013784i,0.00020523-0.0019464i,-0.00095724-0.0008551i,-0.0012967+0.0014923i,-0.00055936+0.0020718i,0.00086356+0.0010416i,0.0008494-0.00061375i,0.00021281-0.00157i,-0.00018924-0.001575i,-0.00052966-0.001319i,-0.00034173-0.0010818i,-9.5865e-05+0.00012136i,0.00018511+0.0010256i,-0.00010746+0.00075565i,-0.00037685+0.0007115i,0.00025269+0.00061115i,0.00082992+6.3051e-05i,0.0010773-0.00073522i,0.0010721-0.00096903i,0.00073997-0.00069765i,0.00022445-0.00012163i
-0.00045663-0.001224i,-0.00082638-0.001996i,-0.0027424-0.0008604i,-0.0036668-0.00065189i,-0.002811-0.00040264i,-0.0019823+0.00019565i,-0.0012401+0.00027377i,-0.00070206+0.0007127i,-0.0007074+0.00053447i,-0.00069915-0.00039234i,-0.0010729-4.9141e-05i,-0.0015247+0.00041011i,-0.00073114-6.2008e-05i,0.00058362-0.00039323i,0.00085067+8.8476e-05i,0.00093053+0.00066847i,0.00060962+0.00077486i,0.00011992+0.00017261i,0.00049419-0.00022725i,0.0013047-0.00042323i,0.00055558-0.00014187i,-0.00093635+2.8664e-05i,-0.00097465-0.00015684i
-0.00099313-0.00056063i,-0.00016224-0.00063386i,-0.0002328-0.00085657i,-0.0016199-0.00062994i,-0.0024142-0.00032137i,-0.001142-1.4106e-05i,-0.00038424+0.00079828i,-0.0003948+0.0010802i,-0.00086462+0.00060729i,-0.0011238+0.0001429i,-0.00058003+0.00013124i,-0.00056873+0.00069582i,-0.00090854+0.00061543i,-0.00068427+0.00037244i,-0.00025744+0.00032932i,3.5104e-05-0.00038886i,0.00018599-0.0001088i,0.00026195+0.00062364i,8.6487e-05+0.00065157i,8.2694e-05-0.00017062i,0.00026805-0.00029808i,0.00012476+5.3388e-05i,-0.00013304+2.6642e-05i
-0.00021658+0.0014704i,-0.00043217+0.00076957i,-0.00084663-0.001564i,-0.001556-0.0014002i,-0.0019047+0.0001802i,-0.0013274+0.00037954i,-0.00063788+2.5554e-05i,-0.00043077-0.00018117i,0.00016554-0.00029133i,0.00037447-0.00033215i,-9.6689e-05-0.00024212i,0.00015994+0.00091034i,-0.00056359+0.00084347i,-0.0013404+6.0205e-06i,-0.00085481+0.0004366i,-0.00019075+0.00047803i,0.00055962+0.00020824i,0.0012439+0.00020676i,0.0010406+0.00055947i,0.00027073+0.00029256i,-0.00091836+7.7059e-05i,-0.00097059-0.00060199i,-0.00040066-0.0004331i
0.00065881-0.0016067i,0.00040575-0.0020188i,-0.00039911-0.0016448i,-0.0016429+0.00032953i,-0.002132+0.0013957i,-0.0015887+0.00048924i,-0.00089942-0.00014687i,-0.00060497+9.9514e-05i,-0.00021524-0.00039006i,0.00018814-0.00097432i,0.00021767-0.00095596i,-3.3069e-05-0.00092537i,4.8086e-05-0.00061125i,-7.1867e-05+0.00043715i,-0.00062017+0.00075645i,-0.00068223+0.00017911i,3.3145e-05+1.111e-05i,0.00039348-0.00025595i,0.00033243-6.5919e-05i,-4.9035e-06-0.00025042i,-0.00013418-0.00029124i,-0.00070887-0.00017478i,-0.00063687-0.00020864i
-0.0014682-3.4497e-07i,-0.00057549-2.143e-05i,-0.00068195+0.00088203i,-0.0014978+0.0015152i,-0.0016586+0.0021068i,-0.00090512+0.0016293i,-0.00081727+0.00055668i,-0.00030976+0.00015928i,-1.2053e-05-0.00034296i,1.1467e-05-0.0016664i,0.00056092-0.0018125i,2.4891e-05-0.0013649i,-9.9088e-05-0.0011002i,-0.00073157-0.00035812i,-0.0013725-0.00026751i,-0.0004165+0.00060162i,0.0007246+0.0012351i,0.00056716+0.00031047i,0.00010913-6.2859e-05i,9.744e-05+0.00028038i,-0.000215+8.3822e-05i,-0.00033907-0.00023227i,-0.00052906-0.00045049i
-0.00012014-0.00041748i,6.4508e-05-0.000634i,-0.00012911-0.00065292i,0.00028192-0.0012237i,2.3057e-05-0.0020209i,-0.00037023-0.00096084i,-0.00016667+0.00060825i,-0.0003921+0.00058136i,-2.2946e-05+0.00065254i,0.00025918+0.00021661i,-0.00037369-9.6426e-05i,-0.00090069+0.0004345i,-0.00076209+0.00062192i,-0.00065826+0.00064346i,-0.00053594+0.00027712i,-0.00019244-7.0057e-05i,0.00022189-0.00046292i,0.00026285-0.00078087i,0.000129-0.00055133i,0.00088232-0.00032369i,0.0012823-0.00075725i,0.0010444-0.00097967i,0.00073928-0.00053176i
0.00048698-0.0015687i,-0.00063424-0.0019197i,-0.0018011-0.0024746i,-0.0018787-0.0011892i,-0.0012104+0.0013206i,-0.00097319+0.0019019i,-0.0010333+0.0010384i,-0.0011668+0.0011305i,-0.0011857+0.0013142i,-0.00072254+0.00054571i,0.00019069-0.00029132i,0.00056925-0.00065455i,0.0003109-0.00071008i,0.00028079-0.00031813i,0.00032393+2.9237e-05i,0.00046547-9.0586e-06i,0.00079318+0.00024442i,0.0007916+0.00024945i,0.00067512-0.00015953i,7.5146e-05-7.7078e-05i,-0.00056843+5.2111e-05i,-0.00032201+0.0003099i,-9.8094e-05+0.00065467i
0.0010016+0.0018295i,-0.00024847+0.0013582i,-0.0009257-0.00037964i,-0.00072004-0.0017028i,-0.00062574-0.00081457i,-0.0013311+0.00053734i,-0.0014859+0.00077896i,-0.00047905+0.00065911i,-0.00020046+0.00067721i,-0.00025214+0.00097694i,0.00061791+0.0011853i,0.00043557+0.0013055i,0.00025991+0.00074154i,2.6567e-06+0.00062123i,-0.00033648+0.00032101i,-7.7557e-05+2.3881e-06i,0.00032812+0.0001812i,0.00038917-0.00024251i,0.00016411-0.00022771i,-3.545e-05+1.0556e-05i,-0.00068618-0.00020338i,-0.0014211-0.00023916i,-0.00086399-7.809e-05i
-0.0036921-0.002075i,-0.0042878-0.0026943i,-0.0043804-0.0014538i,-0.0046478+0.0012204i,-0.0038788+0.0021856i,-0.0019436+0.002239i,-0.00087044+0.0013446i,-0.00075285-0.00013617i,-0.00033765-0.00039492i,-0.00029651-0.00056311i,-0.00079978+3.0014e-05i,-0.00021561+0.00064862i,0.00034436+0.00056438i,-0.00062211-6.2886e-06i,-0.0010437-0.00023167i,-0.00066385-0.00012299i,-0.00021396+8.4961e-05i,-5.9586e-05-0.00020568i,-6.3299e-05-0.00050776i,0.00024083-0.00052296i,0.00017998-0.00032383i,-0.00056237+2.1657e-05i,-0.00053153+0.00069373i
0.001263-0.0015899i,0.0013233-0.0027559i,0.00077995-0.0038416i,-0.0012949-0.0031704i,-0.0029684-0.0013597i,-0.0029291-0.00041864i,-0.0014837-0.00030996i,-8.9571e-05-0.00054488i,0.00056963-0.00024529i,0.0011693+0.00042631i,0.00042426+0.00049264i,-0.000825+0.00044271i,-0.0010928-2.801e-05i,-0.00089529-0.00097406i,-0.00091119-0.00065152i,-0.00070264+0.00060785i,0.00024441+0.00087306i,0.0007264+0.00032099i,0.00032636-0.00047601i,-0.00043273-0.00053414i,-0.00050117-0.00012795i,-0.00035466-8.8866e-05i,-0.00099326-0.00010668i
0.0014762+0.0010471i,-0.00016855+0.0013515i,-0.0010338+0.0012128i,-0.0011484+0.00060146i,-0.0018022+0.00071311i,-0.0022554+0.0014113i,-0.0020098+0.00099466i,-0.0008152+0.00063573i,0.00028776+0.00051948i,0.00085956-4.4057e-06i,0.00086125-0.00095167i,1.3089e-06-0.00071082i,-0.00040419-7.9146e-05i,-6.5748e-05+9.1949e-05i,0.00051503+0.00058403i,1.9642e-05+0.00011383i,-0.00060593+7.7755e-05i,3.1347e-05+0.00012645i,-0.00046328-0.00035147i,-0.0012055-0.00025254i,-0.00064631-0.00027498i,1.575e-05-0.00089204i,0.00026505-0.00069965i
-0.00044815+0.00017216i,-0.0013994-8.379e-05i,-0.0023212+9.7713e-05i,-0.0022747-5.9113e-05i,-0.00076092+0.0010112i,2.7489e-05+0.0016286i,-0.00070734+0.0011222i,-0.00075523+0.00064386i,-0.00013742+0.00029609i,-2.1747e-05+0.0001968i,0.00067317+0.00018546i,0.00053527-0.00012016i,0.00045048-0.00056638i,0.00055404-0.00056274i,0.00026938-0.00033095i,0.00028153-9.296e-06i,0.00016676+0.00085181i,-0.00031524+0.00049609i,-0.00080133-0.00015734i,-0.00088847-0.00057144i,-0.00051775-0.00082706i,-0.00037289-0.00094233i,-0.00063766-0.0004869i
-0.0001156+0.00037791i,-0.00047041-0.00074348i,0.00021342-0.0014871i,-9.9312e-05-0.0011967i,-0.0014536-0.00080974i,-0.0018824-9.2193e-05i,-0.0012252+0.0008106i,-0.00055268+0.0012791i,-0.00024151+0.0014596i,0.00012619+0.0007293i,0.00061851-0.00015223i,0.0004374-6.4143e-05i,0.00023557+0.00040976i,0.00042961+0.00033216i,-0.00010254-0.0003464i,-0.00045533-0.00028787i,-0.00016903+0.00012258i,-0.0004138+4.5299e-05i,-0.00028983-0.0001764i,0.00010253-4.7064e-05i,-1.2037e-05+0.00047533i,0.00028401+0.00048412i,0.00045397+0.00035452i
-0.001015+0.00023668i,0.0004484-0.00011892i,-0.0011652+0.00029174i,-0.0025745+0.0012879i,-0.0017743+0.0023277i,-0.00013457+0.001922i,0.00024326+0.00041924i,0.00037099-0.0002955i,0.0011576-0.00015042i,0.0010467+2.7183e-05i,0.00036958+0.00042742i,0.00016726+0.000368i,1.6436e-05-0.00075175i,-0.00040875-0.001422i,-0.00087173-0.0002999i,-0.0013132+0.0010214i,-0.0011529+0.0010616i,-0.00091331+0.00014564i,3.8545e-05-0.00025629i,0.00045919-0.0001655i,-6.0875e-05+0.00059444i,-0.00056569+0.00089026i,-0.00028968-0.0001056i
-0.0027663+0.0016507i,-0.0027543-7.4725e-05i,-0.0018211-0.00087554i,-0.00029412-0.00086889i,0.00016267-0.00060723i,-0.00073644-0.00045472i,-0.0012395+0.0010102i,-0.00046424+0.0019695i,0.00074381+0.0018277i,0.0017683+0.0013886i,0.0016174+0.00078603i,0.0012807+0.00017256i,0.0011907-9.6782e-05i,0.00019963-0.00030075i,-0.00036274-0.00015916i,-0.00061005+0.00025598i,-0.00051054+0.00052293i,5.9204e-05+0.00048907i,0.0003856+9.372e-05i,0.00023718-8.4749e-05i,0.00013404+0.00017645i,0.00037676+0.00026508i,0.00057804+0.00067889i
-0.0019786-0.00061487i,-0.0018705-0.0014878i,-0.0020089+0.0016979i,-0.0021598+0.0032865i,-0.0018587+0.0027081i,-0.0019857+0.0021147i,-0.0016544+0.0026581i,-0.00047477+0.0035572i,0.00092626+0.003847i,0.0024672+0.0038343i,0.0033578+0.0021876i,0.0026427+0.00066179i,0.00062524-5.8222e-05i,-0.00065921-0.00070514i,-0.00074949-0.00090423i,-0.00091868-0.000242i,-0.0008167+6.3989e-05i,-0.0001341-0.00011162i,-3.3572e-05-0.00050507i,-0.00019135+0.00020497i,-0.00033772+0.0003534i,-0.00057946-0.0002145i,-0.00063687+0.00023696i
0.0028015-0.0018263i,0.0029433-0.0013952i,0.0012528-0.0034952i,-0.00072935-0.004647i,-0.0013446-0.0036749i,-0.00051695-0.0015799i,0.0013882-0.0010469i,0.0021232-0.0021253i,0.00041284-0.003315i,-0.0021249-0.0031403i,-0.0037666-0.0016693i,-0.0033766-4.6371e-06i,-0.0020924+0.0011938i,-0.00079836+0.001536i,0.00074696+0.0011056i,0.0015078+0.00013283i,0.0014202-0.0009822i,0.0010511-0.0009782i,2.7165e-05-0.00037453i,-0.00049408-0.00023865i,-0.00066786-0.00047368i,-0.00073356+0.00026533i,0.00022246+0.0010008i
0.00080463+0.00032435i,0.00023189+6.6317e-05i,-0.00054639-0.0014619i,-0.0017753-0.0018368i,-0.0024125-0.0011254i,-0.0024957-0.00021778i,-0.0017241-0.00058667i,-0.0012276-0.0012429i,-0.0011266-0.0016386i,-0.0011899-0.0016418i,-0.0020332-0.00018277i,-0.002351+0.00070507i,-0.0021363+0.00087009i,-0.0014532+0.00093621i,-0.00044761+0.00057638i,-0.00030091+0.00032966i,-0.00045905-6.8249e-06i,-0.00055641+0.00014703i,-6.359e-05+0.00012422i,-1.6511e-05-0.00015863i,-0.0004279-5.0564e-05i,3.0475e-05+0.00043637i,0.00033794+0.00070569i
0.00036208+0.001082i,0.00039358+6.9273e-05i,0.0011862-0.0010558i,0.0014961-0.0020811i,-6.9916e-05-0.0016135i,-0.0017359-0.00042774i,-0.0013767-0.00029808i,-9.141e-05+0.00045035i,0.00025596+0.0011363i,-0.0003391+0.00045694i,-0.0010192-0.0005714i,-0.0011509-0.00030647i,-0.00074906+0.00070431i,-0.0007631+0.00054039i,-0.00020665+0.00047031i,0.00050563+0.00029371i,0.00037233-0.00015507i,0.00026946+1.3001e-05i,-0.00017612+0.00020978i,-0.00025181+0.0001893i,-1.0955e-05+7.1938e-05i,-0.00031968-2.5741e-06i,-0.0001176+0.00026992i
0.00093123-0.0021225i,0.00012537-0.0021211i,-0.0016788-0.0024306i,-0.0031813-0.0015709i,-0.0030942-0.00056701i,-0.0019017-0.00029043i,-0.00065611+1.8313e-05i,0.00010826-0.00028946i,8.8187e-05-0.0012778i,-0.0011152-0.0015152i,-0.0018137-0.00032412i,-0.001129+0.00037906i,0.00013096+0.00056914i,0.00098881+0.00041393i,0.00069076+0.00058736i,0.00049294+0.00049722i,0.0012355-0.00023415i,0.001199+2.0201e-05i,0.00031176+2.3538e-05i,0.00037246-2.8571e-05i,-4.7135e-05-6.4879e-05i,-0.00043112+0.00034022i,5.4807e-05+0.0015476i
-0.00073205-0.00044089i,-0.00093926-0.00033294i,-0.0013525-0.00091763i,-0.0011-0.0013504i,-0.001279-0.0009139i,-0.001799-9.9594e-05i,-0.001128+0.00068665i,-0.0002853+0.0011226i,-8.1673e-05+0.00031458i,0.00014157-0.00087551i,-0.0004207-0.0011205i,-0.0004785-0.0008312i,0.000415-0.00028255i,0.00041751+0.00038309i,-9.4189e-06+0.00020901i,-2.0812e-06-0.00015409i,-0.00037762-0.0004216i,-0.00090782-0.0011325i,-0.00085763-0.00060115i,-0.00045744+0.00045298i,-0.0002488+0.00047729i,-0.00046592-0.00010662i,-0.00054958+0.00026953i
-0.00024475-0.0002255i,-0.00027143-0.00018641i,-0.0018628+0.00021983i,-0.0039101+0.0016858i,-0.003466+0.0021983i,-0.0015392+0.0024418i,-0.00035629+0.0022021i,-0.00029799+0.00084376i,-0.00021101+8.981e-05i,1.2427e-05-8.4651e-06i,-1.8497e-05-9.5453e-05i,-0.00021744-0.00010128i,0.0005759+3.2627e-05i,0.00095498-0.00025968i,0.00024764-0.00027313i,-0.0007536+0.00087024i,-0.0015592+0.00061082i,-0.00036245+0.00010981i,0.00042259-0.00018119i,-3.8615e-05-0.00049247i,-0.00015042-1.3776e-05i,-0.00034357-0.00012234i,-0.00053066-0.00028458i
7.7173e-05-0.00060581i,9.8781e-05-0.001608i,-0.00096507-0.0018181i,-0.001193-0.001269i,-0.00062704-0.000143i,-0.0013395+0.00094147i,-0.0017212+0.00089012i,-0.00065429-0.00023608i,0.00011207-0.00084694i,0.00013614-0.00023165i,2.2397e-06+0.00014212i,0.00034818-0.0001032i,0.00049611-8.139e-05i,0.00080744+6.8787e-05i,0.00070202+0.00067447i,0.00034633+0.00062669i,0.00049191+0.00032564i,0.0004038+0.00053177i,0.00019354+0.00027709i,-1.2792e-05+0.00033048i,4.5226e-05+0.00047497i,2.1311e-05-4.1932e-05i,-0.0001426-0.0010232i
8.5332e-05-0.00068633i,-0.00026635-0.0023247i,-0.0012875-0.003317i,-0.001763-0.0037153i,-0.002184-0.0023987i,-0.0021118-0.00059648i,-0.0013591-0.0003369i,-0.00086867-0.00024695i,-0.00079869+1.8539e-05i,-0.00064788-0.00013074i,-0.00034903+1.7732e-05i,0.00022557+0.00065561i,0.00057762+0.00077838i,0.0001553+0.00051458i,0.00025276+0.00040534i,0.00060258+0.0011834i,0.00053258+0.0013721i,0.00024082+0.00045275i,-0.00034475+2.7881e-05i,-0.00078254+0.00063955i,-0.00078594+0.00065951i,-0.00055257-0.00071905i,-0.00059321-0.00058287i
-0.0013802+1.3022e-05i,-0.0008541-0.00027534i,-0.0019332-0.00072361i,-0.0019339-8.7307e-05i,-0.0015616+0.0021872i,-0.0018214+0.0020597i,-0.0019314+0.00027969i,-0.0010165+0.00010873i,-0.00026125+0.00028031i,0.00025102+2.2914e-05i,-2.7273e-05-0.00046592i,-0.00085645-0.00098793i,-0.0010698-0.00093735i,-0.0012112-0.00087799i,-0.0011158-0.0010965i,-0.0001092-0.0011733i,0.00096121-0.00055846i,0.00092804+0.0002406i,-0.00044914-7.8915e-05i,-0.00079185+0.00039741i,-0.0001543+0.0011642i,-0.0001843+0.00073859i,-0.00045477+0.00050496i
0.00052563+0.0008943i,0.00022325+0.00083557i,-0.00044056+0.0006939i,-0.0012244-0.00040989i,-0.0012604-0.00052371i,-0.00099288-7.6519e-05i,-0.00040565-0.00047936i,-0.00015599-0.0010664i,0.00051301-0.00059516i,0.00090197-0.00035335i,0.00052394+0.00026853i,0.00012427+0.00033838i,0.00029057+0.00014221i,0.00045927+0.00034197i,-7.0141e-05+0.00033015i,-4.3021e-05+0.00070675i,6.1397e-05-3.7473e-05i,0.00041592-0.00081075i,0.00096594-0.00011473i,0.00029612+0.0007148i,6.0971e-06+0.0003408i,-0.00020422-0.00031919i,-0.00077841-0.00034661i
-6.8367e-05+5.5642e-05i,0.00021393-0.0015801i,0.00065777-0.0015964i,0.00060825+0.00047907i,8.4944e-05+0.0017835i,0.0005331+0.0010928i,0.00074068-0.00031492i,-0.00014111-0.0007408i,-0.00076593-0.00054501i,-0.00044951-0.00027115i,-0.00040679-0.00022868i,-0.00088117-0.000731i,-0.00050003-0.0010131i,-5.9478e-05-0.00094641i,-5.2771e-05-0.00012422i,2.8933e-05+0.00028164i,0.00059241+6.2693e-06i,-1.7937e-05-6.7612e-05i,-0.00068555+1.6615e-05i,-0.00067074+6.4213e-05i,-0.00012114-0.00014592i,-0.00031187+8.9904e-05i,-0.00034374+4.042e-05i
0.0013207+1.0161e-05i,-0.00014797-0.00059954i,-0.0014991-0.0021456i,-0.0022268-0.00234i,-0.0026525-0.0016614i,-0.0020141-0.0001829i,-0.0011107+0.00014247i,0.0003761+5.4266e-05i,0.00055039-0.00023104i,-0.00081179-2.6521e-05i,-0.001507+0.0005771i,-0.00090346+0.00073553i,-0.00011394+0.00068545i,0.00016664+0.00031996i,0.00029492-0.00021939i,0.00037228-0.00096182i,0.00015529-0.0011014i,0.00011488+0.00012416i,-3.184e-05+0.00014177i,-0.00048388-0.00045134i,-0.00077127-0.00051462i,4.1573e-05+0.00015486i,0.00022362+0.00081005i
-0.0013521+7.6722e-05i,-0.0012252-3.4795e-05i,-0.0002426-0.00020455i,-0.0001027-0.00037237i,-0.00076727+9.4888e-06i,-0.0013265-2.0829e-05i,-0.00028079-0.00041608i,0.0001446-0.00037964i,-0.00010782-0.00047071i,-0.00023727-0.00020036i,-0.00036974+0.00037168i,-0.00034305-0.00014224i,7.6978e-05-0.00044953i,3.9469e-05-0.00011127i,-0.00038266-2.0283e-05i,-0.00024054+1.8235e-05i,0.000222+5.0177e-05i,-0.00019465+0.00021313i,-0.00082672-7.9378e-05i,-0.00054545+7.2328e-06i,1.2738e-05+0.00059296i,-7.3405e-05+0.001111i,-3.2658e-05+0.00087715i
-0.00053836-0.0010894i,-0.0012949-0.002369i,-0.0024331-0.0028654i,-0.0037449-0.0017613i,-0.0043077-0.00019535i,-0.0036836+0.0014969i,-0.0020152+0.0016253i,-0.00020243+0.00047327i,0.00037686-0.00030485i,-0.00010372-0.00048129i,0.00015013-0.00031462i,0.00077702+0.00010464i,0.00055149+0.00012562i,9.87e-06-0.00050194i,-0.00067594-0.00081788i,-0.00068847+0.00029667i,-0.00023232+0.0014171i,2.902e-05+0.0012669i,0.00030344+0.00052748i,0.00088955-5.9031e-05i,0.0012408-0.00061927i,0.00046227-0.0013308i,-0.00078035-0.0012732i
0.00097014+0.00064998i,0.0011928+0.00057897i,0.0012233-0.0011361i,-0.00071872-0.0017362i,-0.0024705-0.0018584i,-0.0020034-0.0013476i,-0.0013591-0.00030126i,-4.2337e-05+5.0343e-05i,0.0010791-4.7773e-05i,0.00056382-0.00049712i,-6.5413e-05-0.00072694i,-0.00069375-3.7665e-06i,-0.00093945+0.00068734i,0.00013309+0.001064i,0.00072739+0.0008702i,6.4912e-05+0.00012353i,-2.3974e-06-0.00064687i,0.00030449-7.3519e-05i,0.00036456+0.00097168i,0.00054311+0.00081276i,0.00024841-6.7341e-05i,0.00019709-0.00072579i,0.0003391-0.00050727i
-0.0015412-0.00048531i,-0.0014695-0.0013111i,-0.0033539-0.0021251i,-0.003625-0.001873i,-0.0026469-0.0011387i,-0.0025035-0.00026575i,-0.0019052+0.00040715i,-0.0010298+5.0685e-05i,-0.00095728-0.0005491i,-0.0006399-0.00065361i,-0.00036541-0.00017184i,-0.00085068+0.00031106i,-0.0012665+0.00079464i,-0.00061151+0.00091261i,0.00049836+0.0006178i,0.00062217+0.0006027i,-0.00031839+0.00021846i,-0.00080405-0.00011385i,-0.00067002-0.00049949i,-0.00068553-0.00082889i,-0.00065863-0.00034411i,-0.00093033+0.00045637i,-0.0014721+0.00040125i
-0.00077448+0.00069827i,-0.00065041-4.4863e-05i,0.00013526-0.00025728i,0.00059739+5.2273e-05i,0.0003805+0.00045141i,0.00020406+0.00053678i,-2.4064e-05+0.00050159i,-0.00065064-5.4642e-05i,-0.00060212-0.00082675i,0.00039337-0.00047287i,0.00047449+0.00020095i,-2.4647e-05+0.00051484i,-0.00037025+0.00046061i,-0.00075405-0.0001147i,-0.00076922-0.00078955i,-0.00042781-0.00078232i,0.0004519-0.00032433i,0.00080104-0.0002548i,0.0006609+0.00061508i,0.0010905+0.00067119i,0.001375-4.1853e-06i,0.00063415+0.00037197i,0.00020729+0.00080216i
0.00039943-0.00066137i,1.7719e-05+0.00025272i,0.0003474+0.00011864i,-0.00068126-0.0018315i,-0.001727-0.0022808i,-0.0017422+3.8414e-05i,-0.0005505+0.00084649i,0.0005542-0.00038092i,0.00065738-0.00083571i,-0.00027893-0.00072497i,-0.0011704-0.00082436i,-0.0014268-0.00076167i,-0.0009329-0.00093559i,0.00033759-0.00035584i,0.00046085+0.00044056i,0.00019136+0.00061315i,0.00039279+0.0007451i,0.00069456+0.000311i,0.00052037-0.00047474i,0.00046042+0.00038956i,0.00024385+0.0010439i,0.00026355+0.00010998i,0.00039942-0.00018846i
-5.6493e-05+8.6103e-05i,-0.00011766-0.00026636i,-0.0010077-0.0013983i,-0.0019198-0.00079673i,-0.0024831+0.0011177i,-0.0019069+0.0021371i,-0.0010876+0.001542i,-5.9706e-05+0.00041582i,0.00024078+0.00028213i,-0.0004644+0.00094632i,-0.00078728+0.00092813i,-0.00062921+0.0004677i,-0.00078065+0.00034886i,-0.00078889+0.00010148i,-0.00041221-0.00018403i,-0.00071646-0.00084062i,-9.1707e-05-0.00093857i,0.0010308+0.00011003i,0.00087946+0.00057225i,0.00028244-0.00025376i,7.224e-05-0.00055475i,-9.4299e-05-0.00049639i,0.000234-0.0004327i
-0.0026603+0.00040243i,-0.0023812-0.0014493i,-0.0028665-0.0015757i,-0.0033524-0.00052729i,-0.0016819+0.00017728i,-0.00067853+0.0004859i,-0.00067944+0.00074028i,-0.00049227+0.00091853i,-0.00022181+0.0014067i,0.00031919+0.0011895i,-0.00035295+0.00071788i,-0.0013026+0.00014864i,-0.00052518-0.00034432i,-3.3536e-05-0.00042955i,0.00026923+9.2461e-05i,0.00036446+0.00048852i,-0.00026884-0.00046154i,-0.00038639-0.0013694i,0.0004247-0.00078016i,0.00078258-0.00011684i,0.00021154-0.00022586i,-0.0001816+0.0001118i,-0.00026483-0.00026726i
0.00028649-0.00062514i,0.00064578-0.00092553i,0.00065636-0.001877i,-0.00096271-0.0019994i,-0.0024571-0.00099663i,-0.0023235+0.00028202i,-0.0013336+0.00060262i,-0.00022638+0.00022577i,0.0001739+0.00033683i,-0.0007173+0.00027551i,-0.0010637-0.00011399i,-8.6852e-05-0.00067393i,0.00065112-0.00061988i,0.00082502+0.00023811i,2.395e-05+0.00089245i,-0.0008339+0.00042986i,-0.00071271+0.00032302i,-0.00061375-7.4378e-05i,-4.8453e-05-0.0011404i,3.0364e-05-0.00059867i,-0.00034862-0.00036477i,0.000266-0.00091876i,0.00055881-0.00014161i
-6.9371e-05-0.0015167i,-8.5576e-06-0.0014159i,0.00011621-0.0012076i,0.0002707-0.0006749i,-0.00086867-3.9344e-05i,-0.0018232+5.7255e-05i,-0.0016909-0.00034035i,-0.00081017-0.00095193i,0.00044525-0.00077166i,0.00050747+2.1592e-05i,-0.00061259+0.00021082i,-0.00047555+0.00022753i,0.00037305+0.00096963i,0.00050014+0.0013658i,8.0264e-05+0.0011331i,-0.00055427+0.00064312i,-0.00020369+1.9443e-05i,0.00040541-0.00030905i,0.00035731-0.00037335i,3.5566e-05-0.00022819i,-8.4434e-05+0.00019061i,-3.4675e-07+0.00062762i,0.00023082+0.00016209i
