-0.0015639+0.00013624i,-0.0022153+0.00088475i,-0.0021213+0.0011279i,-0.0015404+0.0012148i,-0.00052472+0.00099716i,0.0010204+0.0010222i,0.0012536+0.0013662i,0.00090724+0.0014815i,0.0015549+0.0014317i,0.0020399+0.0017175i,0.0017389+0.00036161i,0.00076896-0.00066089i,0.00015766-0.0002128i,4.3136e-05+8.7231e-05i,-0.0004588-0.00035122i,1.8285e-05-0.00018542i,0.00030113-2.355e-05i,-0.0002623-0.00060818i,-0.00038527-0.00050194i,-0.00069164+0.00030343i,-0.00092497+0.00023372i,-0.00052902-6.9492e-05i,-0.00016772-7.0737e-06i
0.0010698+0.0011276i,0.0018964-0.00074257i,0.0024086-0.0014427i,0.0012259-0.0014687i,0.0011057-0.0016869i,0.0012142-0.0012826i,0.00087096-0.00077268i,0.00053388-0.00047086i,0.0002186-0.00011452i,0.00027019+0.00023864i,0.0013581-0.0002555i,0.0016563-0.00042996i,0.0012234-1.0989e-05i,0.00079884+0.00016733i,-0.00021261+0.00030135i,-0.00036772+0.00023539i,-0.00047693-0.00020026i,-0.0002472-0.00032255i,0.00062783-0.00021733i,0.0004226-1.0226e-05i,-2.602e-05+0.00039809i,0.0001991-0.00013901i,0.00026583-0.00059093i
-0.0011582-0.0014088i,-0.0016003-0.00035437i,-0.0010711+0.0014467i,-0.00040673+0.0021135i,0.0011236+0.0019991i,0.0024965+0.0017413i,0.001672+0.0011475i,0.00041593+0.00030647i,0.00016901-0.00019095i,0.00018421+0.00019067i,-5.0779e-05+0.00089288i,-0.00071111+0.00071478i,-0.0011001+0.0008472i,-0.0014664+0.0012268i,-0.0017309-1.3332e-05i,-0.00051129-0.00088774i,0.00083182-0.0007557i,0.00025985-0.00046561i,-0.00048018-0.00051374i,-0.00044083-0.00025562i,-4.4593e-05+0.00057866i,0.001003+0.00066421i,0.00099246+4.7044e-05i
-0.0020716-0.00020559i,-0.0014614+0.00022645i,-0.0014787-0.00044226i,-0.0022566-0.00033187i,-0.0012199+0.00017534i,0.00038683+0.00020835i,0.00087946-0.00042987i,0.00070743-5.3707e-05i,0.00012718+0.0007853i,0.00012463+0.00109i,0.00026661+0.0011559i,0.00045543+0.00061509i,0.00081101+1.16e-05i,0.0010429-0.00013048i,0.00088141+0.00021745i,0.00016966+8.4719e-05i,-0.00030635-3.2728e-05i,-0.0001767-0.00045099i,-4.1832e-05-0.00091718i,0.0007824-0.00038593i,0.00086023-0.00011158i,0.00040744-0.00030608i,0.00017393-0.00010344i
-0.00027556-0.00025219i,-0.00077843+0.00033759i,-0.0013119+0.0026325i,-0.00029914+0.0033406i,0.00065617+0.0025901i,0.00099499+0.00099761i,0.00041527-0.00021221i,0.00020481-0.00096565i,0.00025768-0.001058i,0.00028929+0.00041207i,0.00023945+0.00065885i,0.00021537-1.1409e-05i,0.0008209+0.00020568i,0.00050416-1.0133e-05i,-0.00013164-0.0002615i,0.00020306-2.4656e-05i,0.00055244-0.00046064i,0.00026511-0.00092558i,-0.00013053-0.00054662i,9.0668e-05+0.00078332i,0.00082088+0.00048586i,0.0011743-0.00016011i,0.0011565+0.00017957i
-0.0015436-0.0017323i,-0.0025159-0.0024762i,-0.0012416-0.00083061i,-0.0012269+0.0011724i,-0.0012009+0.00078166i,0.00063131+0.00045748i,0.00089993+0.00053478i,0.00022393+0.00066754i,-0.0002168+0.00064785i,-0.00024184+0.00044679i,-4.8707e-05+0.00014508i,0.00038796+4.2316e-07i,0.00064451+0.00098838i,0.00060861+0.0010914i,0.00017688+0.00035921i,-0.00048094+6.1359e-05i,-0.00057839-0.00018373i,0.00017703-0.00022381i,0.00075435-0.00050836i,0.00021024-0.00068534i,-0.00050344-0.00033198i,-0.00040251-0.00092669i,-0.00021046-0.0014417i
-0.00062196+0.00055876i,0.00023585-2.9232e-05i,0.0016081-0.0010432i,0.0020067-0.0021509i,0.001685-0.001997i,0.0016954-0.0012289i,0.0018783-0.00099707i,0.001323-0.0004465i,0.001287+0.00029959i,0.00085056-0.00014283i,0.00026608-0.00046906i,0.001033-1.012e-05i,0.0014801+0.00026078i,0.00052861+0.00041628i,-0.00013296+0.00018547i,-0.00048677-0.00019009i,0.00014365-0.00032826i,0.0010496-0.00021276i,0.00099841+0.00032891i,0.00058499+0.00023753i,0.00049579+0.00012898i,-2.1775e-09-3.9093e-05i,-0.00020682+0.0003371i
-0.0013588+0.0009022i,-0.0014828+0.00063986i,-0.00043462+0.0012251i,0.0006938+0.0019882i,0.0013403+0.0017824i,0.0014105+0.0008689i,0.00066123+0.00030029i,-1.6783e-06+0.00034044i,0.00011729+0.00099912i,0.0011934+0.0014484i,0.0015295+0.0012449i,0.00098706+0.0005718i,0.00037132+0.00026984i,0.00042322+0.00065141i,0.00045714+0.00084386i,0.00028971+0.00034175i,9.1763e-06-0.00022916i,5.2455e-05-0.00022349i,0.00062333+0.00012404i,0.00076085+0.0001212i,8.1123e-05-4.0837e-05i,-0.00027636-0.00010517i,-0.0003927-4.4144e-05i
0.0014656+0.00074656i,0.0013735+0.001037i,0.0018866+0.0015152i,0.001296+0.00054687i,0.0008266-3.3888e-05i,0.0012788-4.8263e-05i,0.0014771-0.00081758i,0.0011028-0.00080133i,-1.1264e-05-0.0002375i,-0.0011682-5.5948e-05i,-0.00021081-6.422e-05i,0.0014135-0.0002089i,0.0013283-2.8102e-05i,0.00022666+0.00032854i,-0.00036456+3.9186e-05i,-0.00052537-0.00085209i,2.5931e-05-0.00057741i,0.0001132-3.9533e-05i,-0.00048146+0.00023714i,-0.0004295+4.6229e-06i,-0.0003622-0.00025416i,0.00012808-0.00023149i,0.00029562-0.00040972i
-0.0014805+0.00081189i,-0.00068306+0.00074839i,-5.4247e-05+0.00142i,0.00048819+0.0017948i,0.00057272+0.0017895i,0.0007986+0.0015991i,0.00086315+0.00064517i,0.00064056+1.7686e-06i,0.00034082+0.00087458i,0.00058631+0.0018673i,0.0008787+0.0018517i,0.00087304+0.00033967i,0.00089526-0.00095981i,0.00050298-0.00053041i,1.8777e-05+0.00076335i,0.00016836+0.00099185i,0.00025952+0.00034049i,0.00028943+0.00033661i,0.00066892+0.00013851i,0.00041687+7.9727e-06i,0.00046402+1.8689e-05i,0.00064567-0.00038276i,0.00054683-0.00036985i
0.00075305+0.00093668i,0.0013989-0.00074598i,0.0021839-0.0015644i,0.00064229-0.0022191i,-0.00036812-0.0021568i,0.00034885-0.00093752i,0.00092862-0.00027942i,-2.4097e-05+6.2539e-05i,-0.00016948-0.00012017i,0.00077301+0.00032564i,0.00098183+0.0010933i,0.00019968+0.0010207i,6.4172e-05+0.0007308i,0.00066233-0.00013335i,0.00011236-0.00068639i,0.00010476-0.00054184i,0.0004648-0.00010777i,0.00046158+0.00029526i,0.00030948+0.00037305i,-0.00018762+0.0006174i,-0.00047261+0.00043886i,-0.00061008+0.00037844i,-0.00085895+0.0008031i
-0.00025283+0.0027392i,0.00011452+0.0011584i,0.0011468+0.0016524i,0.0026079+0.0013888i,0.0027396+0.00021769i,0.0012625-3.1068e-05i,7.9629e-05-0.00048174i,-0.00026088-0.00065501i,0.00037347+0.00048836i,0.0012216+0.00066629i,0.0016492+0.00031622i,0.0012506+0.00028975i,0.00052151+2.8441e-05i,-5.3526e-05-0.00078081i,-0.00014442-0.00083681i,0.00017798-0.00039203i,0.0003962-0.00056244i,0.00028697-0.0006435i,0.00013039-0.0010338i,0.00053419-0.00071621i,0.0010614-0.00035557i,0.00074535-0.00075188i,0.00031771-0.00033965i
0.00085149+0.00055064i,0.0016178+2.7359e-05i,0.0014255-0.00022313i,0.0018497-0.00041176i,0.0029178+5.468e-05i,0.0017566+1.0165e-05i,0.00010829-0.00047275i,0.00013626+0.00056156i,0.0010223+0.0015419i,0.0017364+0.0012128i,0.0016389+0.0010817i,0.00095825+0.00044749i,0.00012461-0.00046098i,0.00022531-9.866e-05i,0.00050577+0.00034471i,-0.0003174-0.0002604i,-0.00083053-0.00048095i,-0.00030946-0.001153i,0.0007521-0.0018429i,-2.9111e-05-0.0012686i,-0.00043026-0.00066068i,0.00020531-0.00033704i,0.00023849-0.00018876i
-0.001652+0.00069697i,-0.0002783+0.0015741i,0.00068312+0.0020238i,0.00037205+0.0018524i,0.00040794+0.0010592i,0.0016361+0.0011211i,0.0013958+0.001016i,0.00011033-0.00038573i,9.7811e-05-0.0010933i,0.00013734-0.00012813i,-0.00049816-0.00013727i,-0.00059191-0.00019555i,0.00012512+0.00037383i,0.00040544+0.00056799i,0.00068387+0.00063i,0.00083168+0.0002593i,0.00085491-0.00037546i,0.00045463-0.00030147i,-0.00040337-3.3613e-05i,-0.00056121+0.00011756i,-0.00019322+0.00034447i,0.00033142-0.00012654i,0.0002937-0.0003759i
4.2141e-05+0.00077115i,-0.00052281+0.0019962i,-0.00027064+0.0020784i,0.00064451+0.0022302i,0.00091137+0.0014734i,0.001813-1.0368e-05i,0.0025728-0.00090496i,0.001203-0.00083655i,0.00056777-0.00013857i,0.00064745+0.00029734i,0.00033471+0.00013663i,-0.00014097+0.000295i,-0.00041807+0.0010707i,0.00014177+0.0010895i,-2.7482e-05+0.00057472i,-0.0010502+0.00040949i,-0.00077035-0.00032654i,-2.3783e-05-0.00039066i,0.00047717-0.00014448i,0.00093864-0.00043978i,0.00039804-0.00042979i,-0.00010584+1.805e-05i,-3.5841e-05+0.00011008i
-0.0014553-0.001212i,-0.0017391-0.0003622i,-0.0030543-8.2396e-05i,-0.0031216+0.00096988i,-0.0015885+0.0018903i,0.00051926+0.0010831i,0.0013023-0.00012794i,0.00054368+3.902e-05i,-0.00017979+0.0007512i,2.3982e-05+0.00044586i,0.00077169-0.00052379i,0.00068258-0.00088479i,0.00046436-0.00051482i,0.0007125-0.00033162i,0.0004663-8.5069e-06i,0.00027274-9.596e-05i,0.00070443-0.00074429i,4.1982e-05-0.00080273i,-0.0004721-0.00052089i,-0.00034763+0.00063571i,-0.00037411+0.00082077i,0.00050592+0.00053268i,0.00061039+0.00052368i
-0.00017833-0.0023573i,-0.0010408-0.0019428i,-0.0013589-0.0015198i,-0.00081409-0.00027455i,0.00041361+0.00099948i,0.00099076+0.0010519i,0.0010153+0.00033088i,0.0010647-0.00073346i,0.0006363-0.00010832i,4.1508e-05+0.0011477i,-0.00029252+0.0013731i,-0.00099233+0.0016647i,-0.0017131+0.001643i,-0.0014671+0.0015679i,-0.00031766+0.00061236i,0.00029221-0.00051589i,0.00079594+2.7349e-05i,0.00046853+0.00080959i,-0.00037356+0.00059946i,3.9513e-05+0.00016027i,0.00046277+0.00027236i,-0.00020212+0.00041603i,-0.0008783-0.0001899i
-0.0017134-0.00056784i,-0.0023098+0.00055026i,-0.0024796+0.00068895i,-0.0024157+0.00070485i,-0.0016018+0.0010486i,-0.00020871+0.001328i,0.0011415+0.00091851i,0.0014411+0.00013477i,0.00095586-0.00012394i,0.0011385-4.9317e-06i,0.0012486-3.6414e-05i,0.0010619+0.00037267i,0.0013809+0.0010309i,0.00072194+0.00092774i,0.00029153+0.00075131i,0.0002684+5.3103e-05i,0.000244-0.00088869i,-2.9433e-05-0.0010326i,0.00073182-0.00061413i,0.00093173-0.00033624i,0.00052744-0.00043325i,0.00095547-0.00050748i,0.00068753-0.00026632i
-0.00095041+7.7437e-05i,-0.00088325+0.00035789i,-6.5015e-05-0.00055871i,0.00063545-0.00060163i,0.00081918-1.4393e-05i,0.0016932-0.00051087i,0.0017043-4.5505e-05i,0.00096599+0.00061776i,0.00096387+0.00085238i,0.0004089+0.0015643i,-0.00024735+0.0015289i,0.00018748+0.00075104i,0.0006098-0.00024789i,0.00067414-0.00051048i,5.2535e-05-0.00024055i,-0.0010473-0.00030994i,-0.00077458-0.00035252i,-0.00011084-0.00064934i,-0.00038721-0.00039904i,-0.0005748+0.00030969i,0.00033082-0.00010566i,0.00081552-8.2453e-05i,0.00094552+0.00042284i
9.3686e-05-0.00024095i,-0.00045763-0.001054i,-0.00036754+0.00015041i,-0.00063182+0.0018425i,4.3673e-06+0.0016798i,0.0014311+0.00096788i,0.002052+3.2445e-05i,0.0012055-0.00046982i,0.00047994-0.00017748i,0.00097958+0.00026448i,0.0011795+0.00052635i,0.00032707+0.00038216i,5.1998e-05-0.00019197i,5.0349e-05-0.00034055i,0.00058794+4.8988e-05i,0.00095937-0.00032606i,0.00014693-0.00073637i,0.00012642-0.00065468i,0.0005799-0.00074023i,0.0007693-0.00098008i,0.00030051-0.00078173i,0.00021163-0.00086992i,0.00070812-0.0010213i
0.0012402-0.00057843i,0.00018969-0.0012207i,0.00079609-0.0015636i,0.00081103-0.00096994i,0.00033421-0.00091608i,0.00072894-0.00075293i,0.0014776-0.00018519i,0.0016701+0.00010488i,0.0011574-6.5027e-05i,0.00087539-0.00038164i,0.00076604-0.00032383i,0.00063823-0.00021924i,-0.00038426-0.00036396i,-0.00065431-0.00048299i,-0.00057924-0.00011842i,-0.00049845+0.00021725i,-0.0002165-0.00022216i,-0.00040896-0.00022338i,-0.0002704+0.00025842i,-0.00014048+0.00016615i,0.00015076+0.00029156i,-0.00053185+0.00069811i,-0.0012715+0.00017053i
-7.162e-05-0.00076561i,0.00084648-0.00090104i,0.00069994-0.00079233i,0.00014123-0.00078732i,3.3099e-05-0.00010503i,0.00089594+0.000758i,0.0015282+0.0012232i,0.00042884+0.0010085i,0.00014015+0.00039058i,0.0012337+9.9948e-05i,0.0021259+0.00014647i,0.0013128-8.3253e-05i,0.00047773-0.00012028i,0.00072472+0.0011143i,0.00096917+0.00096182i,0.00072401-0.00042218i,0.00053303-0.00033353i,-0.0001894-0.00053159i,-0.00037584-0.00079322i,4.1155e-05-0.00033681i,3.1561e-05-0.0006712i,0.00075632-0.00060174i,0.0012229-0.00017908i
0.00045564+0.0010953i,-0.00024769+0.002013i,0.00010942+0.0015596i,0.0010608+0.0007266i,0.002067-0.0001154i,0.0021218+0.00046819i,0.0010564-1.64e-05i,0.00023432-0.00086975i,-5.5888e-05-0.0002699i,1.8305e-06+0.00027238i,0.00038825+0.00024277i,0.00088362-5.5772e-06i,0.00090816-0.00011183i,0.00096172+0.00010269i,0.00067553+0.00039402i,0.00017948-2.5521e-06i,-8.6322e-05-9.4761e-05i,6.7319e-05-0.00027714i,0.0005173-0.0008018i,-0.00034314-0.00054581i,-0.00077285-0.00052767i,-0.00039535-0.00062719i,-2.6514e-05-2.0394e-05i
0.00020006+0.0003528i,-0.00039626+0.00052408i,-0.0002315+0.0011165i,-0.00011775+0.00069883i,-6.2367e-05-1.0865e-05i,0.00089208-0.00028754i,5.6739e-05-0.00058335i,-0.00028659-0.00034753i,0.00067347+0.00012086i,0.00089275-0.00022061i,0.00082695-0.00053178i,0.00068683-7.0467e-05i,0.00088384+0.00032626i,0.00080612-4.6505e-05i,2.0287e-05-0.00020465i,-0.00050887-0.00016168i,-0.0010977-0.00076759i,-0.00061026-0.0007077i,0.00031046+0.00011586i,0.00010116+6.7333e-05i,0.00057477+2.4141e-05i,0.00071983+0.00016835i,-9.6741e-05+0.00019505i
-0.00091693-2.2287e-06i,4.2997e-05-0.00034755i,0.0006435+0.00071341i,0.00088982+0.00063659i,0.00069143-7.2457e-05i,0.0010674+0.00048919i,0.0016419+0.00043522i,0.0015933+8.9573e-05i,0.0015303-1.9352e-06i,0.00094266+3.5064e-05i,0.0011724+0.00039519i,0.0015698+0.00020926i,0.0010388+0.00034594i,0.00073646+0.00046018i,0.00021078+0.00030662i,-0.00035883-6.8667e-05i,0.00031041-0.00068031i,0.00078536-0.00091275i,0.00059335-0.0010474i,0.00034198-0.0011322i,7.804e-05-0.00077512i,-0.00039051-0.00032505i,8.9697e-05+0.00018438i
0.00074622+0.0011116i,0.0009223+0.00059639i,0.00073401-0.0001474i,0.00036255-9.3987e-05i,0.00059437+0.00015475i,0.00081945+0.00089374i,0.00066794+0.00040093i,-0.00087324+0.00013961i,-0.0016825+0.00087405i,6.8311e-06+0.0015819i,0.00053552+0.0013196i,-0.00018683+0.00044372i,0.00033224+3.5785e-05i,0.0009669+0.0011968i,0.001087+0.0016573i,0.00046548+0.00021764i,-0.00056186-0.00066607i,-0.00059487-0.00076849i,-0.00036979-0.00075376i,6.1196e-05-0.00096008i,2.9286e-05-0.00062515i,-0.00014757+0.0006649i,-0.00044781+0.0010042i
0.00013028-0.00047902i,-0.00044159-0.00097076i,-0.00028431-0.00085074i,0.00042443-0.0013119i,0.0012833-0.0013607i,0.0016586+1.8253e-05i,0.0014712+0.00084864i,0.00076575+0.00058449i,0.00048039+0.00010004i,0.00089734+3.5358e-05i,0.00049881+0.00090636i,0.00044834+0.0012205i,0.00069495+0.00033905i,0.00065769-0.00056834i,0.00063473-2.9082e-05i,0.00028862+0.00037713i,0.00038731+0.00013119i,0.00018743+5.1677e-05i,0.00066847+0.00027749i,0.0009821+0.00061642i,0.00040683+0.00077595i,-0.00030298+0.00075821i,-0.00070557+0.00074552i
-0.00022416-0.0012583i,-0.0008515-0.00096857i,-0.0027641-0.0007534i,-0.0028475+0.00066723i,-0.00047058+0.0015075i,0.0017055+0.0012908i,0.00094622+0.00024537i,8.2828e-06-8.8943e-05i,-2.5859e-05+0.00071804i,1.1874e-05+0.0012017i,3.2774e-05+0.00088839i,-0.00034275+8.5746e-05i,8.0538e-05-0.00032737i,0.00073953+0.00042823i,4.5707e-05+0.0006737i,-0.00013242-9.63e-06i,0.00013953-0.00039024i,0.00056001-0.00063917i,0.00068333-0.00060265i,0.00015978-0.00015549i,5.0224e-05-0.0002191i,0.00035193-0.00039133i,0.00062281+0.00024159i
0.0017359+0.00088922i,0.0013648+0.0003261i,0.0021217+0.00017996i,0.002708-0.00061534i,0.0023949-0.0011446i,0.0015731-0.00068972i,0.00020956-6.4016e-05i,-0.0005865+0.00014328i,-0.0003316+0.00041918i,-0.00012025+0.0002157i,-0.00035012-6.7575e-05i,3.4101e-05+8.622e-05i,0.00063175-0.00015517i,0.00077582-0.00044086i,0.00058503-0.00032241i,-0.00026955+0.00017543i,-0.0013045+0.00043404i,-0.0013386-0.00029522i,-0.00068492-0.00088313i,-0.00030003-0.00048437i,2.4408e-06+0.00018511i,-0.00053939+0.00014223i,-0.00048904-3.5241e-05i
-0.00010587+0.00068792i,0.00050443+0.00034143i,0.00018985+8.7995e-05i,-0.0001498+0.00036095i,0.00024322+0.00017319i,0.0015964+5.3826e-05i,0.0021078-0.00036169i,0.0016097-0.00035357i,0.0014809+0.0011077i,0.0018563+0.0013578i,0.002174+0.00010331i,0.0014868-0.00011612i,-0.00018662+0.00025946i,-0.00087301-2.7631e-05i,-0.00079131+7.5609e-05i,-0.00083987-8.2725e-05i,-0.00037988-0.00036574i,0.00041966-0.00051605i,0.00048098-0.00069965i,0.00036949-0.00015635i,-0.00011139-0.00018232i,-0.00021809-0.00062098i,0.00033437-0.00020242i
0.00085566-0.0025516i,-9.9043e-05-0.0023253i,7.374e-05-0.0025105i,-0.00038463-0.0019262i,-0.0011246-0.0010563i,-0.00035475+0.00016459i,0.00059026+0.00033206i,0.00034407-0.00012859i,0.00028328+0.00013109i,4.1474e-05+6.8892e-05i,-0.00076643+0.00028365i,-0.00091179+0.00070807i,-0.0010413+0.00018348i,-0.00056072-0.00047229i,-0.00026318-0.00084264i,-0.00064756-0.00070621i,-0.0005279-0.00035587i,0.00065471-0.00081228i,0.0013234-0.00099944i,0.00080555-0.00015154i,0.00037435+0.00024791i,9.558e-05+0.00014458i,-0.00040289+8.9921e-05i
-0.00076888+0.0019963i,-0.00066164+0.0021807i,9.3853e-05+0.0023231i,0.00058634+0.0021802i,0.0015454+0.0013478i,0.0019389+0.00028553i,0.00084485-9.1491e-05i,1.7571e-06-0.00021493i,-0.00063379+0.00076892i,-0.00054032+0.0012177i,0.00065476+0.00057565i,0.0011632-0.00017166i,0.00059322-9.0534e-05i,9.0618e-05+0.00035385i,-0.00013922+1.4257e-05i,0.00030006-0.00032448i,0.00030441+0.00026655i,7.4486e-05+0.00025296i,0.00020411+0.00012233i,4.4874e-05+0.00047958i,-0.00046129+9.4395e-05i,3.1632e-05-0.00046401i,0.00044308+0.00018485i
-0.00010299+0.00052723i,0.00022282+0.00025907i,0.00043842-5.1886e-05i,-0.00014598-0.00021475i,-0.00026766-7.4474e-05i,-0.00041733-0.0001606i,-0.00051949-0.0006482i,0.00038096-0.00056018i,0.00028398-0.00058183i,0.00019973+0.00015678i,0.00086602+0.0013261i,0.00092811+0.0012123i,-2.0967e-05+0.00038134i,-5.827e-05+7.804e-05i,0.00014441-0.00027132i,0.00015691-0.00052984i,0.00062023-0.00014563i,0.0011312+2.9686e-05i,0.00087218+0.00023329i,-0.00055708+6.8748e-07i,-0.0006163+7.9464e-05i,0.00044311+0.00026864i,0.00044755-7.2011e-06i
