-0.00017035+0.0023784i,5.1813e-05+0.0022594i,0.00085644+0.0025124i,0.001198+0.0022019i,0.0010733+0.0015973i,0.0013681+0.00082407i,0.0014228+0.00083447i,0.0010668+0.0010921i,0.00097674+0.00093151i,0.00099269+0.00032221i,0.00034367+6.8854e-05i,-0.00013921+0.00046723i,-0.00045355+0.0013621i,-0.0010221+0.0010279i,-0.00062024-0.00047152i,-0.00050857-0.00074527i,-0.00056618-0.0003573i,0.0003395-0.00081801i,0.00043047-0.00089598i,-0.00035659-7.7981e-05i,-0.00038564-4.4439e-05i,0.0002346+4.382e-05i,0.00071198-0.00023847i
0.00016585-8.9406e-05i,-0.0010476-0.0010069i,-0.0011184-0.00054569i,-0.00092437+1.0803e-06i,-0.00068389+0.00020506i,0.00015988+0.00033549i,0.00099949+0.00018904i,0.00094934-0.00049691i,0.00076653+0.00021374i,0.00044563+0.0013033i,-0.0003296+0.0010327i,-0.00061125+0.00023356i,-0.00017702-0.00032659i,0.00023463-0.00025307i,-0.00022351-0.00041157i,-0.00079451-0.00026429i,-0.0010434+0.00020134i,-0.00029735+0.00041987i,0.0010459+0.00071872i,0.00089582+0.0009231i,-0.00056674+0.00034679i,-0.0011641-0.00028403i,-0.0008512-0.00043937i
-0.0010383-0.0007896i,-0.001009-0.00063346i,-0.00043362+0.00097862i,-0.00032311+0.0020137i,-3.2298e-05+0.0016922i,0.00087618+0.0010703i,0.0012527+0.00066752i,0.00073518+0.00043488i,0.00052086+0.00039968i,0.0001217+7.2792e-05i,0.00027895-7.2247e-05i,0.000312-4.1539e-05i,-0.00027808+8.4535e-06i,-0.00054082+0.00051654i,-0.00066945+0.00036775i,-0.00024602+5.2841e-06i,0.00015938-2.2528e-06i,0.00039132-0.00063143i,0.00090397-0.00033185i,0.0003797+0.0013228i,-0.0010533+0.0016982i,-0.00077768+0.00019761i,0.00029676-0.00021464i
4.9966e-05-0.00099763i,-0.00087641-0.00032316i,-0.0012627+0.00040361i,-0.00081675+0.00096293i,3.0452e-06+0.0007916i,0.0006985+0.00081468i,0.00057485+0.00043673i,0.00066329-0.00036288i,0.0010295-0.00023653i,0.00084054+0.0004003i,0.00090197+0.00049445i,0.00065746+0.0002777i,0.00036484+0.0011299i,-0.00022688+0.0015341i,-0.0010032+0.00070492i,-0.0012588+0.00046i,-0.0012027-0.00010914i,-0.0002495-0.00037455i,-1.5201e-05+8.9218e-05i,-0.00033553+0.000371i,0.00025684+0.00098369i,0.00015443+0.00063554i,1.5405e-05+0.00010629i
-9.44e-05+0.00042441i,0.00012873+0.0011077i,0.00043682+0.00051495i,0.0004992+0.00033675i,5.6956e-05+0.00051525i,-0.00045063+0.0011449i,3.6855e-05+0.001127i,0.00027592+0.0002619i,-9.4862e-05+0.00015697i,0.00026873+0.00052135i,0.00054036+0.00050391i,0.0004267-6.9201e-05i,0.00090015-0.00087484i,0.0012914-0.0010243i,0.00091999-0.00061985i,-0.00012668-0.00032543i,-0.00038868+0.00069504i,-0.00013453+0.0014034i,-0.00068241+0.00088956i,6.3006e-05-0.00026969i,0.00043066-0.0005133i,-0.00014561-0.00010391i,0.00032361+0.00018274i
-0.0018192-0.00071503i,-0.002901-0.00071758i,-0.0026997+0.00021199i,-0.0015545+0.0011005i,-0.00056513+0.0016187i,0.00088935+0.0007778i,0.0016237+0.00010441i,0.00020834+0.00079673i,-0.00064607+0.0012202i,-0.00056448+0.00089706i,4.7613e-05+0.00069513i,0.00062776+0.0005568i,0.00080033-0.00038211i,0.0011514-0.00061649i,0.0009183+0.00021662i,0.00094352+0.00046319i,0.0010386+0.00036135i,0.00083295+0.00049813i,0.00078143+6.1183e-06i,0.00033106-0.00058005i,0.00036449+0.00015013i,0.00076732+0.00098088i,0.00050081+0.00048459i
-0.00023414-0.0024722i,-0.0013242-0.0015563i,-0.0018299+0.00043639i,-0.0012845+0.0014517i,-0.00020724+0.002041i,0.0010123+0.0020197i,0.0014019+0.0010828i,0.00072773+0.00024691i,-1.6709e-05+0.0002331i,0.00029379+0.00036692i,0.00036256+0.00089415i,0.00067655+0.0020286i,0.0012835+0.0022933i,0.00096608+0.0014304i,0.00043633+0.00061077i,-0.00012534-0.00042047i,-0.00055286-0.00071752i,-0.0007464-0.00020512i,-7.3585e-05-0.00059962i,0.00062834-0.00071297i,0.00035555+0.00023497i,-5.4495e-05+0.00035577i,0.00038614-0.00038362i
-0.0015902-0.0013906i,-0.0022079-0.00038761i,-0.0017598+0.00064785i,-0.00053474+0.0016445i,-5.0549e-05+0.0019642i,0.0010209+0.0015968i,0.0019117+0.0011394i,0.0012392+0.00043988i,0.00061735-0.000363i,0.00051942-0.00058616i,0.00016921-0.00017379i,-6.9038e-05+0.00036741i,-0.00013913+0.00039818i,-0.00026253+0.00011858i,4.342e-05+0.00018872i,6.3609e-05+0.00036358i,0.00011818+0.00010858i,0.00043272-7.3708e-05i,-0.00033168-0.00015785i,-0.00033412+0.00043973i,0.00083908+0.0005996i,0.00087399+4.2481e-05i,0.00097636-2.8293e-05i
-0.00074742-0.00024985i,-0.00054113+0.00071367i,-0.00058468+0.0017236i,0.00022637+0.0021362i,0.0012563+0.0020704i,0.0012527+0.0010099i,0.00084199+7.0422e-05i,0.00056044-0.00042737i,0.00021297-0.00062768i,9.2492e-06-0.0002446i,0.0001515-2.9748e-06i,0.00054047-0.00040667i,0.0008627-0.00060656i,0.00031511-0.00066596i,-0.00017855-0.00023996i,-0.00021896+0.00034572i,-0.00067847-0.00043051i,-0.0012395-0.0009387i,-0.0010691-0.00026607i,-0.00052126+4.3988e-05i,0.00050875-0.00022291i,0.00086448+0.00017095i,0.0012989+5.4693e-05i
0.0007997-0.00027365i,-2.5838e-05+0.00034476i,-0.00059046-0.00011939i,0.000268+0.00010824i,0.0010907+0.0010619i,0.001507+0.001198i,0.00047675+0.00048411i,-0.0003332-0.00061392i,0.0001969-0.00065713i,0.00042913+9.2432e-05i,0.00044203+0.00051334i,0.00020719+0.00020435i,-8.7767e-05-0.00065698i,0.00013362-0.00069997i,-4.6769e-05+1.6482e-05i,5.103e-05+0.00037638i,-8.6616e-06+0.00033119i,-0.0006319+0.00035742i,-0.0003169+0.00018009i,0.0005041+1.4464e-05i,0.00019723+0.0001428i,-7.3125e-05-0.00020205i,0.00022218-0.00029677i
