-0.0024395+0.00087668i,-0.0014717+0.00031765i,-0.0026499+0.00070052i,-0.0025561+0.0010787i,-0.001327+0.0022685i,-0.0009828+0.0026055i,-0.00072899+0.0020181i,0.00015264+0.0018185i,0.00095658+0.0015101i,0.0010061+0.00080015i,0.00059454-0.0004414i,0.00057207-0.0004666i,0.00077362-0.00021256i,0.00081255-0.0003804i,0.00026872+0.00013941i,-0.00014514+2.4002e-05i,-0.00025921-0.0010816i,0.00071984-0.0011045i,0.0007741-0.00050329i,0.00015905-0.00019559i,8.9679e-05-5.3854e-05i,0.00017881+0.00022566i,0.00012796+0.00030069i
-0.001053-0.00035078i,-0.00039023+0.00052632i,-0.00045012+0.0013862i,-0.00039745+0.0012518i,0.00027364+0.00078218i,0.00075523+0.0010856i,0.00021979+0.00048375i,-0.00073491-0.00053555i,-0.00050482-0.00069188i,0.00029439-0.0009021i,0.00064078+0.00010018i,0.00057761+0.0013722i,7.3065e-05+0.00039423i,-0.00012191-0.00021984i,8.6616e-06+0.00015102i,-7.114e-05-8.986e-06i,0.0002271-0.00041341i,0.00012408-0.00075369i,-9.6839e-05-0.00062332i,0.00019492-0.00029907i,0.00062571-0.00039525i,0.00016453-0.00013397i,0.00056853+0.00010228i
0.00015595+0.0014997i,0.00050831+0.0012081i,0.0018289+0.0015556i,0.0016643+0.0014181i,0.0013787+0.0010366i,0.001105+0.00075789i,0.0008831+5.0884e-05i,0.0010275-0.00050912i,0.00088335-0.00021175i,0.00063766-3.8533e-05i,0.0011159-0.00018073i,0.00078416+5.1689e-05i,-0.00013929-0.00026868i,-0.00030723-0.00075138i,-0.00027548-0.00052795i,-0.00022014-0.00070409i,-0.00055117-0.00036575i,-0.00070842+0.00027698i,-0.00018084+4.8454e-05i,0.00023732-0.00026299i,0.00045777-0.00056782i,0.00060577-0.00035108i,0.00038081+0.00068394i
0.00075229+0.00039385i,0.00032383+0.00079279i,5.9707e-06+0.00060716i,6.6888e-05+0.00044846i,-8.5018e-05+0.00090481i,-9.4664e-05+0.00070761i,-0.0003961+0.0002056i,-0.00056248-0.0002036i,-0.00090951-0.00077554i,-0.00075707-0.0006315i,-4.1667e-05-0.0009284i,-4.3357e-05-0.00036237i,8.2316e-05+0.00055492i,0.00015108-5.7458e-05i,0.00036257-0.00061427i,-0.00016073-0.00021277i,-0.00085544+0.00021886i,0.00043675-0.00013716i,0.0020594-0.0006119i,0.0019415-0.00043554i,0.00081627-0.00017071i,0.00012766-0.00012819i,-0.00042512-0.0001427i
0.00076359+0.0026938i,0.0016482+0.0023289i,0.0038822+0.0025459i,0.0037763+0.0022495i,0.0017835+0.00052296i,0.00049245-0.00095869i,0.00021246-0.0013363i,-0.00023301-0.00084772i,-0.00053311-0.0002578i,-0.00026549-0.00036502i,6.4368e-05-0.00071037i,0.00032186-0.00055637i,0.00020352+1.169e-05i,4.7548e-05+0.00018736i,0.00013659+0.00020146i,-0.00056113-0.00036096i,-0.00081586-0.00079268i,1.9091e-05-0.00096962i,0.00041965-0.00093912i,9.6444e-05-0.00065925i,-0.00010769-0.00053684i,-0.00018186-0.00041296i,0.00040908-0.00055389i
0.0013105-0.0015827i,0.00067746-0.0018894i,0.00011537-0.0013098i,-0.0005534-0.00045696i,-0.00095685-0.00066235i,-0.00049988-0.00076165i,-0.00050897-0.00090926i,-0.00059296-0.0013151i,-0.0010562-0.00086535i,-0.0019268-3.7717e-05i,-0.0015475+0.00077699i,-0.00061662+0.0011727i,0.00025872+0.00097127i,0.00094097+0.00047711i,0.001074+0.00017184i,0.00081341+0.00035239i,7.8946e-05+0.00033768i,-0.00028961+0.00033514i,0.00023876+0.00075333i,7.192e-05+0.00037031i,-0.00014843-0.00061175i,8.2162e-05-0.00056081i,2.4371e-05-0.00016209i
0.0008934-0.00023961i,0.00096517+0.00023572i,-0.00032817+0.00027841i,-0.00055894+5.0674e-05i,4.0645e-05-8.1622e-05i,-0.00024372-0.00019094i,-0.00053762-4.8666e-05i,-9.653e-05-0.00021012i,0.00035933-0.00020562i,0.00031817-0.00010573i,0.0005299+4.489e-05i,0.00065148+0.00056503i,-0.00053039+0.0010167i,-0.0013165+0.00093425i,-0.00099756+0.00022292i,-0.00035867-0.00047203i,0.00043049-0.00033398i,0.0005836+0.00041322i,0.00042669+0.00023602i,0.0007445+8.2775e-06i,0.00053609-5.6303e-05i,-0.00042171-0.00046699i,-0.00091371-0.00049047i
-0.00063531-0.00065893i,-0.00043196-0.00011023i,-0.0014051-0.00077246i,-0.0016384-0.00070252i,-0.0012249+6.3257e-06i,-0.0009067+0.00035422i,-0.00098262+0.00014462i,-0.0011337-0.00015314i,-0.0013236-0.00084437i,-0.0013585-0.0013738i,-0.00081641-0.00063405i,5.4719e-05-0.00049177i,-0.0002507-0.00075703i,-0.00047838-0.00044531i,-0.0004688+0.0005879i,-0.00060408+0.00048439i,-0.00012161-0.00013039i,-1.8955e-05-0.00023393i,-0.00013773-0.00022255i,0.0002991+0.00015663i,0.00036348+0.00060304i,-2.1418e-05+0.0003646i,-0.00030587-0.00020726i
0.0023682+0.0029878i,0.0025981+0.0017753i,0.0038022+0.00054228i,0.0036068+0.00074364i,0.0020411-8.8263e-05i,0.00076276-0.00096771i,-0.00045548-0.00075557i,-0.00056476-0.0002851i,0.00021579+0.00038248i,0.00048935-0.00035303i,0.00019182-0.0019026i,-0.00031577-0.0012643i,-0.00098337+0.0002465i,-0.0010811+0.00041671i,-0.0010408-0.00066989i,-0.00031904-0.00075815i,0.00048079+0.00013256i,-0.00012151-0.0002768i,-0.00076563-0.0011312i,-0.00066058-0.00044959i,-0.00078513+0.0001203i,-0.00050578-0.00019909i,-8.4958e-06+5.1389e-05i
0.0018209+0.00077877i,0.00165+0.0009332i,0.0016315+8.9032e-05i,0.0008281-0.00058489i,-0.00034631-0.000978i,-0.0011158-0.0011984i,-0.00040307-0.00068493i,-0.00043049-0.00063351i,-0.00044389-0.00050875i,-0.00011978-0.00025146i,-5.6172e-05-0.00045123i,0.00035826-0.00048816i,0.00053109-0.00045706i,0.00031707+0.00019511i,0.00062295+0.00071309i,0.00068691-5.7762e-06i,0.00088408-0.0002012i,0.00078038-5.5267e-06i,0.00017249-0.0001923i,-0.00048145-0.00040011i,-0.00051487-0.00042522i,1.4415e-05-0.00050881i,6.4898e-05-3.1619e-05i
0.00087864-0.00065985i,0.00075082-0.00023362i,0.00059481+0.00036033i,-0.00036191-0.00026174i,-0.00090873-0.0011516i,-0.00095114-0.00080032i,-0.00095396-0.00013261i,-0.00074098-9.9244e-06i,-0.00077717-8.3831e-05i,-2.4331e-05-0.00047589i,0.00070963-0.0006502i,0.00019479+1.932e-05i,-0.00032274+0.00028241i,-0.00017108-4.4641e-05i,-0.00014559-0.00035671i,-8.7403e-05-0.0006179i,0.00014569+7.1822e-05i,-0.00014905-0.00037609i,-0.00027102-0.0012217i,0.0001347-0.00099635i,0.00067093-0.00082616i,0.00073405-0.00067279i,2.6164e-05-0.00041585i
-0.00055544+0.00087912i,-0.00021593-7.4228e-05i,6.0045e-05-0.00047487i,0.00030238-0.00026633i,0.00018412-6.5648e-05i,0.00023389-4.589e-05i,-0.00058761+0.00010394i,-0.0016329+0.00058345i,-0.001143+0.00048381i,-0.00011354-5.2345e-05i,0.00014516-4.6699e-05i,-0.00018612+0.00017451i,-0.00071931-0.00052394i,-7.3746e-05-0.0011283i,0.00019961-0.00091309i,0.00022807+1.0099e-05i,-0.00011504+9.2438e-05i,-0.00076089-0.00093977i,-0.00021835-0.00064462i,0.00034005+0.00035925i,0.00024591+0.00020619i,-0.0002089-0.00038493i,-0.00037209+0.00014123i
-0.00029313-0.0012587i,-0.00029554-0.00069822i,-0.00014421-0.00072439i,-0.00011741-0.00025444i,-0.00042886+0.00013358i,-0.00024439-5.7534e-05i,0.00014043-5.0011e-05i,0.00036351+0.00061942i,0.00051738+0.0012265i,-0.00040134+0.00087959i,-0.00079804-3.5595e-05i,5.8694e-05+0.00013974i,0.00086048+0.00049717i,0.0015888+0.00013979i,0.0012617+0.00049385i,0.00060844+1.8151e-05i,-0.00040722-0.00043667i,-0.00075761-0.00052856i,-5.564e-05-0.00027248i,8.8276e-05+0.00015475i,-0.00025065+3.1541e-05i,-0.00042067-0.00023694i,0.00022827-0.00073191i
0.0014389-0.00033731i,0.00033897+0.00065847i,0.00011049+0.00076446i,0.00012651-0.00039499i,0.00016204-0.0010168i,5.9851e-05-0.00013553i,0.00019041-0.00095625i,0.00048057-0.0020224i,0.00019565-0.0015648i,0.00011239-0.00036677i,-0.0002321+0.0001486i,-0.00070787+0.00073209i,-0.0012831+0.0018612i,-0.0016961+0.0015458i,-0.00068452+0.00044887i,8.6096e-05-0.00021903i,-0.00023585-0.00014876i,-0.00069983-0.00018941i,0.00026027-0.00058562i,0.0012457-0.00062963i,0.00041522-0.00036085i,0.0001938+0.00039756i,0.0002781+0.00026646i
0.00031037-0.0010462i,-0.00048378-0.00049286i,-0.0012034-0.0010495i,-0.0012062-0.0015502i,-0.0014471-0.00065806i,-0.00093356-0.0001596i,-8.2486e-05+0.00013517i,6.5802e-06-0.00028263i,0.00011984-0.00050196i,-0.00036931-0.00016751i,-0.00079694-0.00020847i,-0.00045591+0.00047259i,-0.00015378+0.0012034i,-5.3628e-05+0.00078464i,0.00026934+0.00046955i,0.00059053+0.00057092i,0.00050606+0.00023254i,0.00049599-8.5226e-07i,0.00040462-0.00017608i,0.00018618-0.00018397i,0.00037236+7.4074e-05i,0.00012693-0.00018085i,-0.00067078-0.00014911i
0.00075087-0.00017454i,0.0004722+3.8284e-05i,0.00061986-5.8172e-05i,0.00034376-0.00068257i,0.00069476-0.00012142i,0.00080024-0.00021956i,-2.8356e-05-0.00060081i,-0.00075255-0.00098785i,-0.00044609-0.00079327i,-5.2746e-05-9.6044e-06i,-0.00011357+0.00012889i,0.00018869-0.00010096i,0.00051775+0.00030614i,0.00031283+0.00082724i,0.00033494+0.0003845i,0.00026919-0.000113i,-0.00049618-0.00079999i,-0.0010095-0.0010503i,-0.00019547-0.00091828i,0.0012173-0.00050742i,0.00059312+0.00043034i,-0.00040857+0.00072711i,-0.00042697+0.00018182i
0.0004373+0.00088942i,-8.3676e-05+0.0016567i,-0.00063112+0.0021958i,1.3137e-05+0.0022078i,-2.5649e-05+0.0017965i,-0.00013414+0.00067536i,8.6193e-05+0.00065364i,-0.00046383+0.00075002i,-0.00095933-5.1718e-05i,-0.00079459-0.00027872i,-0.0009138-0.00049682i,-0.00077246-0.0012778i,0.0004987-0.0010674i,0.00060294-0.00011091i,3.0101e-05+0.00027451i,-1.5027e-05+0.00025564i,0.00011779+0.00058838i,5.0396e-05+0.00036349i,1.0748e-05-0.00024851i,-0.00030032-7.1871e-05i,-0.00081285-4.395e-05i,-0.00084042+0.00022474i,-2.506e-05+0.00028494i
-0.0012818+0.0010687i,-0.00017692+0.0013165i,-0.00054998+0.0021608i,-0.0012099+0.0030875i,-0.00080293+0.0026229i,-0.00085025+0.0010453i,-0.00081392+0.00032229i,-0.00033905-1.4913e-06i,7.7581e-05-0.00034246i,0.00024341-5.081e-05i,6.6745e-06+0.0001325i,-4.8486e-05+1.5673e-05i,0.000351+3.5291e-05i,0.00044867-5.133e-05i,0.00032511-0.0001699i,-0.0004744-0.00043675i,-0.0012377-0.00030163i,-0.00088507-0.00011032i,-0.00044166-0.0001671i,-0.00055025+0.00021295i,-0.00027545-0.00061229i,0.00059102-0.0013146i,0.00088886-0.00046077i
-0.00055173+0.00075442i,3.909e-05-0.00038369i,0.0014222-0.0017443i,0.0021924-0.002078i,0.0015047-0.0018564i,-9.6811e-05-0.001443i,-0.00023788-0.00068711i,-0.000286-0.00039646i,-0.0006535-0.00054465i,-0.00054327-0.00055027i,-0.00017429-0.00013709i,3.6266e-05+0.00011961i,0.00019938-8.8569e-05i,0.00033618-9.5189e-05i,3.729e-05-0.00010357i,-0.00054637+0.00010439i,-0.0004182+0.00012612i,0.00011034-0.00085381i,0.00047066-0.00083799i,0.00027278-0.0003797i,-0.00039435-0.00056079i,-0.00076543-0.00067833i,0.00010537-0.00043136i
-0.00010741+0.00075839i,-0.00071952+0.00053301i,-0.00061208+0.00023147i,-0.00030239-1.3107e-05i,0.00020027-3.8699e-06i,-0.00045191-0.00022135i,-0.001333-0.00026506i,-0.00095314-0.00016873i,-0.00034128+0.00016179i,-6.7859e-05+0.0005081i,0.00038117+0.0005164i,0.00052172+0.00022093i,0.00032403-0.00059962i,-2.463e-05+7.275e-05i,2.1584e-05+0.00075463i,0.00035502+0.00026585i,0.00028477-0.00029889i,-0.00014895-0.00067909i,-0.00057191-0.00082678i,-0.00047525+4.8885e-07i,0.0001469+9.6581e-05i,0.00011544-0.00037481i,0.00018568-0.00024247i
-0.00050798+0.0006769i,0.00049074+0.00086997i,0.0004764+0.0027663i,0.00026462+0.0026482i,0.00087439+0.0014248i,0.00093876+0.001015i,7.763e-05+0.00066608i,2.4843e-05+0.00035976i,0.00044011+5.6638e-05i,0.0010123-0.00032987i,0.0012812-0.00037086i,0.00039592-7.6007e-05i,-0.00086473-0.00046088i,-0.000612-0.00047563i,9.9504e-05-0.000279i,0.00024781-0.00087727i,0.0001486-0.0006879i,-6.8835e-05-8.7292e-05i,0.00024798+4.999e-06i,0.00020249-0.00011161i,-0.00041878+0.00039835i,-0.00034257+0.00083575i,-0.00013649+0.00051332i
-0.00076914+0.0012936i,-0.0015252+0.00068987i,-0.0017414+0.001009i,-0.0012651+0.0016835i,-0.00084655+0.0017232i,-0.00073307+0.000838i,-0.00090016+0.00034714i,-0.001074+5.1999e-05i,-0.00012794-0.00020941i,0.00063122-0.00013553i,0.0004274-0.00049804i,-0.00034091-0.0014843i,-0.00018232-0.0013853i,8.4346e-05+0.0001261i,7.8774e-05+0.00037991i,-0.00015286-0.00087009i,-0.00060242-0.0013225i,-0.0002596-0.0002769i,0.00047918+0.00036348i,0.00035869+0.00036435i,0.00012427-0.00020805i,-5.4274e-05-0.00045255i,-0.00035996-0.00035582i
0.0024261+0.00012134i,0.0025699+0.00040285i,0.0018848+0.0002919i,0.0014983-0.00053985i,0.0014355-0.0011491i,-0.00010158-0.0011232i,-0.0012189-0.00065621i,-0.00079015-0.00081216i,-0.00045369-0.00070546i,-0.00065635-0.00069852i,-0.00042575-0.00075244i,-0.0002761-0.00064351i,-0.00099499-0.00049262i,-0.001114+0.00017881i,-0.0010242+0.00017815i,-0.0011514-0.00049064i,-0.00031874-0.0011661i,0.0004077-0.0012986i,0.00074406-0.00039698i,0.00048923-0.00023629i,-0.00039833-0.00089716i,-0.0007313-0.00060032i,-7.445e-05-0.00031779i
-0.0013263+0.00045357i,-0.00066256+0.0006344i,0.00021982+0.0010109i,0.00046904+0.0011033i,0.00066348+0.00039374i,0.00098205-0.00056505i,0.00086695-0.00097951i,0.00075153-0.00010617i,-9.1216e-05+0.00052781i,-0.00061085+6.5774e-05i,-0.00039584-8.2691e-05i,6.9129e-05+0.00036346i,0.00054957+0.00051433i,0.00079251-0.00010425i,0.0008222-0.00042977i,0.0007419-0.00025449i,0.00046053-0.00079603i,0.0006023-0.001575i,0.00093693-0.00074081i,0.00041562+0.00055169i,-0.00015571+0.00082531i,-0.0001365+0.00061766i,0.00032338+0.00029357i
0.00051112+0.00090953i,-0.0003404+0.00074738i,-0.0015574+0.0010826i,-0.00033683+0.0014506i,0.00065423+0.0020549i,0.00013272+0.0011124i,0.00010739-0.00062003i,4.2151e-05-0.00069909i,-0.00014903+0.00012348i,5.1673e-05+0.000354i,0.00073061+0.00022824i,0.00086079-0.00053483i,-0.00029396-0.00016488i,-0.0010607-3.6384e-05i,-0.00075531-0.00039129i,-0.0010952-0.00060547i,-0.00066199-0.0011764i,-0.00013964-0.0010199i,-0.00012034-0.00068444i,0.00048309+2.8006e-05i,0.00054764+0.00058613i,-0.0001858-8.6141e-05i,0.00044779-8.415e-05i
0.00055498-0.0017483i,-0.00053373-0.0020408i,-0.0020331-0.0024309i,-0.0027255-0.0020131i,-0.0020305-0.0012506i,-0.00070065-0.0005029i,-0.00041668+0.00014174i,-0.00052457-0.00036027i,-0.000112-0.00060749i,-0.00016652+0.00035887i,-0.0001602+0.0004902i,0.00024747+0.00013735i,-0.00014834+0.00034187i,-9.6746e-05+0.00037573i,0.0005849+0.0010542i,0.00073157+0.0012777i,0.0012039+0.00070448i,0.0015149+0.00044005i,0.00084951-1.2029e-05i,0.00068292-0.00057454i,0.00011978+0.00020925i,-0.00090956+0.00040629i,-0.00057713+2.8546e-05i
0.0013632+0.0014578i,0.0012259+0.0015315i,0.0024539+0.0010666i,0.0033832+0.00037275i,0.0028919-0.00065471i,0.0010037-0.0011306i,-0.00016412-0.0012487i,-0.00058168-0.00072375i,-0.00034883-0.00012112i,-0.0001606-0.0011405i,-0.00090228-0.0014564i,-0.0017836-0.00038624i,-0.001945+0.00031287i,-0.0015613+0.00027188i,-0.0012297-0.00012005i,-0.00089263-0.00013011i,-0.0009629+0.00061565i,-0.00021542+0.0010131i,0.00041487+0.00061278i,0.00033801+7.2503e-05i,0.00014402-0.00021793i,-0.00017045-1.6255e-06i,-0.00019328+0.00030264i
-1.2632e-05-0.00043018i,0.00043097+0.00019464i,0.00043482-0.00044064i,-0.00019612-0.00071835i,-0.00061375-0.00046215i,-0.00091905-0.00036533i,-0.00091116-0.00039246i,-0.0005435+6.482e-05i,-0.00050608+0.00021362i,-0.0005058-0.0004933i,-0.0008771-0.0005108i,-0.0012342+0.00044668i,-0.0011073+0.0012542i,-0.00077625+0.00066834i,-0.00027073-0.00014903i,-0.00022543-0.00033982i,-0.00025079-0.00063701i,0.00028126-0.00070705i,0.00067891+2.7015e-05i,0.00023423+0.00039413i,-0.00058588-9.3587e-05i,-0.0013113-0.00014336i,-0.0010101-0.00012125i
-0.0012889+0.00027951i,-0.0013565+0.00010804i,-0.00061562+0.001382i,-0.00064918+0.0025351i,-0.00036088+0.0020608i,-0.00022903+0.00059471i,-0.00065399+5.6748e-05i,-0.0010647+0.00042794i,-0.00068098+0.00062887i,-0.00044846+0.00039831i,-0.00065076+0.00011032i,3.1852e-06+5.7056e-05i,3.8626e-05+5.4161e-05i,-0.001032+0.00048608i,-0.001118+0.00056571i,-0.00018491-0.00044971i,0.0006766-0.00095447i,0.00095843-0.00065094i,0.001054-0.00055481i,0.0008716-0.00042502i,-0.00031465-0.0004734i,-0.00093436-0.0001836i,-0.00037891-4.083e-05i
-0.00015202-0.00071262i,-0.00080571-0.00083925i,-0.00024535-0.00085331i,0.00031657-0.0012186i,9.9725e-05-0.00042152i,-0.0001083-0.00016438i,-0.000182-0.00050802i,-0.00044363-0.00059863i,0.00015691-0.00068411i,0.00043899-8.104e-05i,0.00020201+0.00027282i,-0.00024516-0.00016314i,-0.00024582-0.00055881i,0.00058549-0.0007621i,0.00052579-0.0004824i,0.00010773-0.00052048i,-0.00010234-0.00093358i,0.00022849-0.0005697i,-3.4393e-05+1.9391e-05i,-0.00018864+0.00049379i,0.0003796+0.00024726i,5.718e-05-0.00025102i,-0.0006627-0.00033908i
0.0010688+0.0019865i,0.00079872+0.0018693i,0.0013123+0.0011683i,0.002206+0.00059383i,0.0016659-0.0005297i,0.0005445-0.0013608i,7.0739e-05-0.0010629i,-4.9908e-05-0.00021263i,0.00010389-0.00017873i,0.00024056-0.0006925i,-0.00019383-0.00044315i,0.00010673+0.00014765i,0.00014243+0.00038955i,-0.00024013+0.00018308i,-0.00033224-0.00074416i,-0.00077075-0.0013496i,-0.001037-0.0010592i,-0.0011161-0.00039435i,-0.00042181+0.0003108i,0.00030319+0.00045345i,0.0004249+0.0002205i,-1.185e-05-7.6157e-05i,-5.2319e-05-0.00072688i
0.0014929+0.00018589i,0.0019429-1.7826e-07i,0.0021685+9.4562e-05i,0.00071688-0.00018907i,9.7881e-05-0.0014017i,-0.00049982-0.0011411i,-0.00065469-0.00036301i,-0.00020337-3.2883e-05i,-0.00042772+0.00020531i,-0.00052701-0.00025909i,-0.00015462-0.00049368i,-4.532e-05+0.00017476i,-0.00066017+0.0009132i,-0.00082773+0.0010882i,-0.00026153+0.00019472i,9.3149e-05-0.00027198i,-0.00014876+0.00045036i,-0.00029508+0.00087121i,7.6497e-05+0.000607i,0.00059671+0.00013072i,7.8954e-05+0.00050919i,-0.0010503+0.0010919i,-0.0012769+0.0011717i
