-0.0056356+0.00063609i,-0.0031581+0.0016856i,-0.0032969+0.0025816i,-0.002563+0.0038595i,-0.00093809+0.0048871i,-0.00015296+0.0033342i,-0.0003483+0.0014617i,-0.00055687+0.00067862i,0.00014993+0.00035394i,0.0015549+0.00037384i,0.0018051+0.00053598i,0.0016213-0.00040227i,0.0011582-0.0017346i,0.00018155-0.0023405i,-0.00024009-0.0009582i,-0.00028018+0.00075329i,-0.0003397+0.0011191i,2.5824e-05+0.00065425i,0.0004496+7.4758e-05i,0.00054146+4.8407e-06i,0.00076027-1.0651e-05i,0.0002853+0.00026953i,-0.00018666+0.0003868i
-0.00055889-0.00029598i,-0.00024275-0.00042435i,-0.0009678+0.00015629i,-0.0009254+0.00047468i,0.00013164+0.0001127i,0.00014562-0.00043518i,-0.00022894-0.00064694i,-0.00017934-0.0007224i,-0.00051388-0.00072615i,-0.00010364-0.00022819i,0.00072604+0.00035053i,0.0009344+4.0736e-05i,0.00052948-0.00049014i,-0.00010852-0.00055258i,0.00041458-0.00075922i,0.00065718-0.00013379i,0.00026569+8.0864e-05i,0.00046297+0.0001331i,0.00054339+0.00095249i,8.2627e-05+0.00092301i,-0.00016135+0.00079479i,-7.643e-05+0.00044901i,3.1631e-05+0.00051028i
-0.00084827+0.00041922i,0.00065131+0.0004815i,0.00092437+0.00037255i,0.00084707+0.0010136i,0.00064792+0.0017484i,0.00033183+0.0009308i,0.00029985+0.00063571i,0.00041054+0.00045811i,0.00029452+0.00010623i,0.00016934-0.00034074i,7.7857e-05-0.00024358i,0.0002384+0.00050885i,0.00072321+0.001187i,0.00048845+0.00087483i,0.00013063+0.00072921i,0.00016382+0.00075329i,0.00034731+0.00032934i,0.00063268+0.00028818i,0.00041678-2.5427e-05i,1.017e-05+7.9008e-05i,0.00016265-0.00016006i,0.00056103-0.00024105i,0.00071964-0.00011896i
0.00060867+0.0014951i,0.00067146+0.0015115i,0.00043365-0.00031949i,-0.00061023-0.0020694i,-0.0012577-0.0020793i,-0.00084556-0.0015119i,-0.00015979-0.00055798i,0.0004858-7.4531e-05i,0.00059745-0.00097207i,8.0045e-06-0.0013588i,-0.0011235-0.00027917i,-0.0010496+0.00051726i,0.00067932+0.00038382i,0.0008206+0.00043469i,8.8358e-05+0.00052449i,0.00026518+0.00045784i,0.00025037+0.00064195i,0.00017554+0.00069481i,0.00056969+0.0001979i,-8.8903e-05-0.000505i,-0.00073285-0.00018947i,-0.00014424+0.00031279i,0.00020059+0.0002075i
0.00057558+0.00039761i,0.00018062-0.0013617i,0.00038907-0.0013621i,0.00040073-0.00094987i,0.00044637-0.00084887i,0.00071458-0.00016821i,0.00023135+0.0012183i,-0.00029365+0.00077833i,0.00034715-0.00026642i,0.0012039-0.00051275i,0.0011004-0.00053119i,0.00036631-0.0002401i,-0.00026853+6.1873e-07i,4.777e-05+4.9046e-05i,0.00019266+0.0011253i,-7.6689e-05+0.0015316i,0.00010249+0.00052595i,0.00011586+5.3124e-05i,0.00039995-0.00051796i,0.00037907-0.00065747i,-0.00028981-0.000434i,0.00010429-0.00033651i,0.00068452-0.00017005i
-0.00088936-0.00059241i,0.00018788-9.7245e-06i,0.00065498+0.00077354i,0.00036956+0.00084525i,0.00053895+0.00083468i,0.00035755+0.00038156i,7.0947e-05+0.00042025i,0.00084701+0.00054066i,0.0011617+5.6258e-05i,0.00036728+0.00019267i,-0.00026767+0.00027474i,0.00029047-4.6411e-05i,0.00054607-0.0002315i,0.00064213-0.00087384i,0.0010346-0.0011011i,0.00049563+4.4599e-05i,1.8724e-05+0.00052233i,5.727e-05+0.00030627i,0.00066482+0.00013507i,0.00087671-2.1907e-05i,0.00040716+6.3749e-05i,0.00047565+0.00018193i,0.00081506-0.00021521i
-0.0011214+0.0020226i,-0.00095752+0.0026965i,-0.00019768+0.0028023i,-0.0005838+0.0017696i,9.2634e-05+0.00036171i,0.00076343-0.00016684i,0.00042271+0.00019895i,0.00051826+0.00039004i,0.00018925+0.00013144i,0.00059454-5.6827e-05i,0.00050398+0.00016496i,-4.0327e-05-0.00024589i,-0.00037-0.00056433i,-0.00066236+5.5239e-05i,-0.00018236-0.00020366i,9.6916e-06-0.00054425i,-0.00039309+0.00030371i,-0.00010327+0.00056009i,0.00036567+0.00024879i,0.00022558+0.00035534i,0.00034875+0.00019658i,0.00046751-0.00014826i,0.00042769-0.00013161i
-0.0022903-3.0263e-06i,-0.0013523-0.00027934i,-0.00072866-0.00081807i,0.00029172-0.00042561i,0.0015107+0.00027606i,0.0017033+0.00023237i,0.0015112-0.00014852i,0.0011218-0.00027762i,0.00089685+0.00017179i,0.00089259+0.0006116i,0.00016886+0.00040594i,-0.0004535+0.00050682i,-0.00046131+0.00022734i,-0.0010271-0.00063491i,-0.00098168-0.0010114i,-0.00027099-0.00042112i,0.00022867+0.00039252i,0.00069108+0.00070473i,0.00076907+0.00063621i,-0.00018681+0.00016605i,-4.827e-05-9.6041e-05i,0.00028577-0.00015744i,-0.00017087-0.00062089i
0.0010654-0.00040862i,0.00088728-0.001153i,0.00012593-0.0013226i,-0.00083028-7.059e-05i,-0.0016291+0.00092846i,-0.0010276+0.0002487i,-4.6523e-05+0.00026115i,-0.00020013+0.0010245i,2.7375e-05+0.001074i,0.00063349+0.00038928i,0.00056762+9.1376e-06i,0.00039622-0.00056963i,0.00034402-0.00041893i,0.00031864+0.00046292i,0.00049782+0.0003821i,0.00042769-0.00033213i,0.00014257-0.00061131i,0.00060674+4.6501e-05i,0.00089632-0.0002656i,0.00053675-0.00060449i,0.00053689-7.7674e-05i,0.0002393+0.00018952i,5.3686e-06+0.00066055i
-0.00028643+0.00031849i,5.8738e-05-0.00012961i,-0.0012578-0.00018639i,-0.001604-0.00075432i,1.6782e-05-0.0004211i,0.00026254+0.00071544i,-0.00012036+0.0007997i,3.1456e-05+0.00051329i,-0.00017104-0.00030425i,-0.00060172-0.00074663i,-0.00023834-0.00055772i,0.0004021+0.00048513i,7.7904e-05+0.00083962i,-0.00019237-0.00057817i,0.00020339-0.0011873i,6.1944e-05-0.001078i,-1.079e-05-0.00020307i,5.4017e-05-7.234e-05i,0.00041459-0.00046329i,0.00044855+0.00015243i,9.8406e-06+0.00069744i,0.00010758+0.00021661i,0.00078064-0.00017615i
-0.0012547-0.00055616i,-0.0011981+0.00017265i,-0.0021738+0.00043636i,-0.0027728+0.0010346i,-0.0015543+0.001092i,-0.00063044+0.0015011i,-0.00011478+0.0017644i,-0.00019457+0.00088117i,-0.00059706-5.0513e-06i,-0.00041897-0.00012753i,-0.00026656-0.00045684i,0.0004309-0.00058651i,0.0012353+0.00029577i,0.0010769+0.00052816i,0.00050936-1.3102e-05i,-0.00031969-5.2974e-05i,-0.00042891-0.00021233i,0.00037898+0.00034509i,0.00027785+0.0010545i,8.3583e-05+0.00060003i,0.0002363+0.00073743i,-1.2374e-05+0.0010806i,-0.00066659+0.00038967i
