-0.00013308-8.1843e-05i,-0.00062106-0.00045949i,-0.0010149-0.00090099i,-0.00089785-0.0004792i,-0.00078036+0.00030709i,-0.0010627+0.0012832i,-0.00030976+0.0011735i,0.00073575+0.001484i,0.00086537+0.0016774i,-0.00014055+0.00057454i,-0.00061572-0.00053111i,0.00014617-0.00073035i,0.00052106-0.00041695i,0.00030809-0.00045242i,0.00032871-0.00051182i,0.0011681-0.00036121i,0.0015422-0.00018515i,0.00041848-0.00022801i,0.00047556+0.00034559i,0.00056453+0.0010816i,-6.1062e-05+0.00010859i,-0.00029745-0.00069881i,-7.1953e-05-0.00023938i
0.00071353+0.00014877i,0.00087567+0.00080967i,-1.1896e-05+0.00020416i,0.00021952-0.00068577i,0.00088122-0.00060468i,0.00090612+7.9956e-05i,0.00055261-0.00014972i,0.0002992-0.0001964i,-0.00019078+0.00038501i,-0.00050107-0.00020237i,-0.00032406-2.7989e-05i,-0.00013488+0.00057925i,1.4463e-05-0.00017471i,0.00095789-0.00058472i,0.00091372-7.0436e-05i,0.00060298-9.2317e-05i,0.00076021-1.501e-05i,-6.4588e-05-0.00020081i,-0.00030158-0.00096855i,-0.00032764-0.000666i,-0.00012436+2.9648e-05i,0.000611+0.00019395i,0.00041718-0.0004438i
0.0004419+0.00011115i,0.00017495+0.00082971i,-0.0011156+0.0018045i,-8.8234e-05+0.0016295i,0.0019364+0.00064548i,0.0021844-0.00093612i,0.00049866-0.0015433i,-0.00035737-0.00073659i,-9.0935e-05-0.00012414i,-1.0403e-05+0.00063081i,-0.00032789+0.00094925i,-0.00063974+0.00048951i,0.00023175-0.00066249i,0.0011469-0.00076859i,0.001525-0.00049074i,0.0017958-0.00057006i,0.00082818-0.00028924i,-0.00014542-0.00045844i,0.00011545-0.00070486i,3.9994e-05-0.00059742i,-0.00022374-8.6962e-05i,-2.6106e-06+0.00063931i,-0.00015806+0.00079326i
0.0021397+0.00066278i,0.0012829+0.0014712i,0.00068626+0.00078932i,0.00022121-0.00057395i,0.0003751-0.0017821i,-6.9454e-05-0.001873i,-0.00095513-0.001115i,-0.00017023-0.00054218i,0.00031689-9.7089e-06i,-0.00017222-2.0762e-05i,-5.2696e-05-0.00054844i,0.00037859-0.00050784i,0.00019274+0.00036419i,4.4559e-05+0.00011107i,-0.00037113-0.00029673i,-0.00021059-0.0003405i,0.00030499-0.00013208i,-0.00039317+0.00026133i,-0.00066498+0.0007678i,-0.00034399+0.00088968i,-0.00015848+0.00081986i,0.00040951+0.00069949i,0.00022993+0.00021547i
0.0021446-0.0032696i,0.00037257-0.0034187i,-0.00077897-0.0025132i,-0.0012001-0.001443i,-0.001002-0.00080895i,-0.00028858+0.0002037i,0.0003623+0.00041306i,0.00014019+7.8314e-06i,-0.00087514+8.6228e-05i,-0.0013384-0.00018991i,-0.00080014+0.00026783i,-0.00046622+0.00038692i,-0.0001712+0.00025058i,0.00013137+0.00052937i,0.0006302+0.00079294i,0.0012932+0.00042031i,0.00097955+7.4016e-05i,0.00042252+0.00030418i,0.00071228+0.00017585i,0.00086092+8.7507e-05i,0.00031188+0.00030506i,-0.00028258+0.00011965i,-0.00029409+0.00015573i
0.0010857+0.00077574i,0.0013056+0.0021598i,0.00078907+0.0019473i,0.0012226+0.0011435i,0.0013196+0.00024629i,0.00038495-0.00032008i,0.00019014-0.0001202i,0.00037029+2.3485e-05i,0.00046102-0.00035339i,0.00025611-4.4285e-05i,0.00019623+0.00089422i,0.00019057+0.00033883i,0.00068389-0.00052232i,0.0014484-0.00057463i,0.0014802-0.00089677i,0.00152-0.00055296i,0.0012366+0.00033325i,0.00066637+0.00039119i,0.00025427-0.00044323i,-0.00028475-0.00079228i,-0.00055214-0.00014514i,2.8786e-05+0.00015346i,0.00050222-0.0001995i
0.0016443+0.00017592i,0.001303+0.0014406i,0.00106+0.0016818i,0.0010678+0.00070473i,0.0015304-0.00071235i,0.00078065-0.0015227i,-0.00019149-0.001011i,-0.00017992+3.4244e-05i,-0.0003529+0.00035014i,-0.00071594-0.00053205i,-0.00067472-0.0013825i,-0.00064086-0.00077467i,-0.0011361+5.66e-05i,-0.00083231-3.3148e-05i,0.00012581+0.0001634i,0.00065882+0.00057284i,0.0007894+0.00088892i,0.00067299+0.001032i,-0.00018538+0.00052747i,0.00030765+9.0563e-05i,0.0011901+0.0002749i,0.00037489+0.00026593i,-0.00032397+7.8904e-06i
0.0011991-0.00098012i,-2.4296e-05-1.8401e-05i,-0.0010365+0.0003096i,-0.00059929-0.00034731i,0.00031898-0.0011224i,0.00081231-0.0010919i,0.00049941-0.00075763i,0.00036543+4.6255e-05i,-0.00010393+0.00081814i,-0.0011803+0.00058173i,-0.00091946+0.00028306i,0.0005551-0.00015189i,0.001687-0.00031638i,0.0013461-0.00020453i,0.00067291+6.0442e-05i,0.00090226+0.00031857i,0.00075481+7.0029e-05i,-8.1591e-05-0.00029182i,-4.338e-05-3.7919e-05i,0.0005017+0.0001374i,0.00015367+0.00026009i,3.3609e-05+9.1613e-05i,0.00042022-0.00031725i
0.0026766-0.00056604i,0.0014042-0.00012972i,0.00019997-0.00071541i,0.00052474-0.00019877i,-0.00029476-0.00061047i,-0.00016244-0.0015375i,0.00041912-0.00056211i,-0.00021162-1.2234e-05i,-9.2464e-05-0.00013487i,0.0003106-1.7355e-05i,0.0010621+0.00037504i,0.0014214+0.00055738i,0.00075961-8.4471e-05i,0.00013774-0.0011694i,0.00019325-0.00067967i,-6.6808e-05-0.00015837i,-0.00048365-4.7034e-05i,-0.00061845+0.00065953i,-0.00046205+0.00054855i,0.00017333-0.00013747i,0.00039357-0.0005419i,0.00032719+0.00015781i,7.5546e-05+0.0010746i
0.0022773+7.6289e-05i,0.0011903+0.00080589i,-0.00030032+8.7083e-05i,-0.00030204-0.00017215i,-0.00075698-0.00033888i,-0.00032561-0.00029814i,0.00030505-0.00019527i,-0.00046433-0.00032728i,-0.0013694-6.7184e-05i,-0.0013865-0.000202i,-0.00085622+0.00016897i,0.00022187+0.00070387i,0.0006823+0.0003627i,0.00075094+0.00073149i,0.00060576+0.00087588i,0.0007688-0.00010151i,0.00057502-0.00028053i,-0.00038264+0.0001486i,-0.00067798-0.00018752i,0.00025784-0.00068987i,0.00045156-0.00039925i,-8.2157e-05+0.0012908i,0.00010447+0.0021294i
0.00040661+0.0013207i,4.1541e-05+0.0021125i,0.00042341+0.0019586i,0.00078796+0.00036682i,-1.8724e-05-0.00086829i,-0.00026458-0.00071171i,-0.00063896-0.00047705i,-0.00024119-0.00053311i,0.00038616-0.0001668i,0.00047598+0.00043719i,0.00069001+0.00016969i,8.0149e-05-0.0012601i,-0.0010561-0.0017385i,-0.0010929-0.00090541i,-0.00016132-0.00017774i,-0.00044528-0.0008971i,-0.0007204-0.0011271i,-0.00010623-0.00034138i,0.00069419-0.00046349i,0.00084508-0.00034837i,0.00021087+3.3313e-05i,-3.6937e-05-0.00028385i,0.00023855-0.00087601i
0.00042768-0.00074855i,-0.00079054-0.00052365i,-0.0013736+3.356e-05i,-9.5927e-05+0.00021225i,0.00058497+0.00028738i,0.00050396+7.4874e-05i,0.00063274-8.238e-05i,0.0006801+0.00040047i,0.00016296+2.6541e-05i,0.00021149-0.0004489i,0.00049038+0.00045391i,0.00017459+0.00028719i,-0.00032758-0.00033026i,-0.00053562+0.00013178i,-1.4214e-05+0.00058663i,0.00031193+0.00068012i,0.00042852+0.00029083i,8.8218e-05+0.00014123i,-0.00016754+0.00060144i,0.00018713+0.00053557i,0.00016829+0.00020948i,-0.00042331+0.0004506i,-0.00098127+0.0001062i
0.0016888+0.00059821i,0.00073348+0.00057534i,0.00025555+0.0013445i,0.00086676+0.001365i,0.00038238-0.00012397i,0.00026841-0.0011489i,0.00043627-0.00053714i,-0.00019925+0.00050788i,-0.00049164+0.00065038i,-0.00060208+0.00018097i,-0.00046591-0.00058284i,0.00067113-0.00055158i,0.00097917+0.00016734i,-7.5871e-05+0.0006827i,-0.00018918+0.00066108i,0.0003511+0.0001049i,0.00088205-5.6943e-05i,0.00076657+0.00057015i,0.00044888+0.00026053i,-0.00012441+0.00016962i,-0.00056011+0.0002125i,-8.6244e-05+7.0921e-05i,-0.00016287-0.00034403i
0.0013581+0.00068743i,0.00044154+0.0011831i,-0.00083962+0.00044671i,0.00031358-0.00055187i,0.0020712-0.0011446i,0.0018357-0.0013525i,0.0010131-0.00099493i,0.00075056-0.00044952i,0.00053563+0.00038571i,0.00067496+0.0010165i,0.00038978+0.00017769i,-0.00014792-0.0012491i,0.00037705-0.0015261i,0.00067717-0.00012633i,0.00089338+0.00055275i,0.00059693+0.00062112i,-0.00026225+0.00065837i,-2.9098e-05+0.00031679i,0.00078349-9.4761e-05i,0.00058184+0.00023347i,0.00031861+0.00025754i,0.0001296-0.00040438i,-0.00069051-0.00019165i
0.0018283-0.0022946i,0.00046369-0.0011471i,-0.00020659-0.00029157i,-0.00028409+0.00022993i,9.655e-05+0.00035757i,-1.0972e-06+8.6365e-05i,-0.00040078-7.3199e-05i,-0.00056132+0.0003387i,-0.00036046+0.00024489i,0.00016256+7.291e-05i,0.00033+0.00084179i,-0.00030633+0.0011423i,-0.00012989+0.00031322i,0.00015338-4.5584e-05i,8.8012e-05-0.00031629i,0.0013348+4.6869e-05i,0.0014867-8.4955e-06i,0.00036506-0.00060496i,-4.6955e-05-0.00049921i,-2.7589e-05+4.9605e-05i,4.4673e-05+0.00051306i,-0.00023943+0.0003775i,-0.00041056+5.1298e-05i
0.0037752+0.0014166i,0.002132+0.0019194i,0.00052988+0.0016299i,0.0011294+0.00075915i,0.0014372-0.00023063i,0.0011456-0.00063958i,0.00084889-0.00053012i,0.00012811+0.00015655i,0.00031413+0.00079762i,0.00047492+0.00070975i,-0.00065551+0.00021485i,-0.00072502-0.00057519i,0.00043094-0.0016207i,0.00098479-0.0015345i,0.00041554-0.00087355i,0.00013335-0.0005665i,-5.0956e-05-0.00063059i,-0.00061139+0.00017658i,-0.00046954+0.00037813i,2.7819e-05-0.00028151i,0.00067614-0.00082563i,0.00083457-0.00082132i,0.00021711-0.00015399i
0.0019781+0.0021441i,0.0017297+0.0016767i,0.0016917+0.00074769i,0.0012606-0.00048428i,0.0016229-0.0013967i,0.0010403-0.0015349i,-0.00028033-0.0003211i,-0.00032416+0.00032689i,0.00030023+0.00050612i,0.0001548+0.00028862i,-0.00011886-0.00028009i,-0.00033899-0.00027918i,-0.00055878-0.00013257i,-8.2113e-05+0.00036914i,0.00025639+0.0003563i,0.00037732-0.00015947i,0.00036201+5.8909e-05i,0.00034402+0.00042029i,0.0007261+0.00035078i,0.00011557+0.00056807i,-0.00053164+0.0011364i,-0.00032243+0.00088541i,-0.00030015+2.5515e-05i
0.0012157-0.00024994i,0.0013651-0.00067505i,9.5237e-05-0.00048127i,-0.00021473-0.0003426i,-0.00024936-0.00061306i,-0.00064923-0.0010149i,-0.00054776-0.00065539i,-0.00043942-0.00032197i,-0.00015514-0.0002751i,-5.2122e-05+0.00018742i,0.00021494+0.00044342i,0.00032147+0.00051715i,-0.00022978+0.0003604i,-0.00014308+0.00032876i,0.0001573+0.00056426i,-0.00037612+0.00026744i,-0.0005809-0.00014687i,-0.00045831-0.0001968i,-5.1443e-05-0.00011079i,0.00042114-0.00075804i,-4.9933e-05-0.0011324i,-0.00072643-0.00073952i,0.00013106-0.00034313i
0.0042947+0.0018716i,0.0034604+0.0016411i,0.001669+0.00077597i,1.8998e-05-0.00031067i,-0.00028345-0.0011982i,-0.00032074-0.00061507i,-1.2724e-06+0.00053019i,2.978e-05+0.00091244i,-0.00030976+0.00044851i,-0.00032742+0.00015153i,0.00041718-2.6775e-06i,0.00084915-0.00060475i,0.00010607-0.00073985i,-0.00066206+0.00011649i,-0.001025+0.00081912i,-0.0010735+0.00062116i,-0.00056806+0.00010331i,8.2858e-05-0.00061073i,-6.3155e-05-0.00058161i,5.216e-05+0.00025497i,0.00022634+0.00046509i,5.7262e-05+4.7072e-05i,5.1115e-05+0.00037452i
0.00050687+0.00075171i,-0.0010277+0.0010754i,-0.00060469+0.00052168i,0.00023863-0.0010132i,0.00032645-0.0022038i,0.00023305-0.0019767i,0.00021092-0.0013036i,2.113e-06-0.00062323i,-0.00019129-0.00049106i,-0.00039283+0.00012913i,-7.5038e-05+0.00029045i,1.9377e-06-0.00025324i,3.0948e-05-0.00018655i,0.00099401+0.00010985i,0.00073441+0.00043166i,-3.6536e-05+0.00010594i,0.00037917+6.3883e-05i,0.00061714-2.3405e-05i,0.00046936+3.6297e-06i,-7.9906e-06+0.00026606i,-0.00093586+0.00081902i,-0.00093492+0.00089766i,0.00033177+0.00056483i
0.00156-0.0036039i,0.0012816-0.0028307i,0.00031772-0.0015204i,3.0135e-05-0.00096025i,-3.1379e-05-0.00086066i,-0.00024067-1.9853e-05i,-0.00077513+0.00040253i,-0.00031664+3.5142e-05i,0.00087672-0.00012766i,0.0011866+0.00032526i,0.00036917+0.000848i,-0.0001298+0.0011073i,-0.00050516+0.00058316i,-0.00033754-0.00015359i,0.00064262-0.00074394i,0.0011497-0.00077163i,0.00016622-0.00070327i,-0.00022108-0.00048907i,0.00024926-4.212e-05i,0.00074822-0.00061642i,0.001488-0.00098174i,0.0012348-0.00038903i,0.00032712+7.7705e-05i
0.0016434+0.0005001i,0.00054485+0.00094707i,-0.00063016+0.0010455i,-0.000228+0.00098051i,0.00024299+0.00033555i,0.00035237-0.00040761i,0.0001649-0.00098334i,8.8686e-05-0.00066663i,-0.00029292-0.00039757i,-0.0010019-0.00030084i,-0.00092954-0.00034435i,-4.4704e-05-0.00077876i,0.0004928-0.0011825i,0.00053735-0.00097511i,0.00086314+5.8395e-05i,0.001143+0.00037278i,0.00076705+0.00051567i,0.00036682+0.001156i,0.00059079+0.00078305i,0.00053097+0.00029649i,0.00026706-0.00017514i,0.00033032-0.00043856i,0.00084389-0.00023107i
0.0025911-0.0015221i,0.0016752-0.00088018i,-0.00027628-0.00014486i,-0.0016937+0.00048147i,-0.00085035+0.0006272i,0.00025945-6.516e-05i,0.00047042-0.00081376i,-5.1475e-05-0.00021814i,-0.00075906+0.00044494i,-0.00086318+0.00043201i,-0.00057644+0.00047405i,0.00011702+8.063e-05i,0.00099458-0.00014695i,0.00060852-0.00043816i,3.7538e-05+3.68e-05i,0.00054598+0.00047338i,0.0010436+0.00038085i,0.000642-0.00014406i,3.2635e-05-0.00049194i,-0.00054723-0.00045103i,-0.00047914-0.00029276i,0.00043738+0.00037414i,0.00086573+0.00014846i
0.002113-0.0023377i,0.00077751-0.00097134i,-0.0017231+0.00099442i,-0.001444+0.0018101i,0.00072244+0.001354i,0.00086484-0.00014364i,0.00066722-0.00092487i,0.0003618-0.00071721i,-0.00043734-0.00020055i,-0.00061456+0.00042863i,-0.00057267+0.0006153i,-0.00036922-2.2745e-05i,0.00030944-0.00043831i,0.0010991+3.5856e-05i,0.00086746-7.5889e-05i,0.00042932+9.577e-05i,0.00044448-0.00024155i,-1.8396e-05-0.00068315i,-0.00017876-0.00030165i,-0.00010247+0.00021443i,0.00010055+0.00026063i,1.162e-05+0.00016962i,0.00010008+0.0007001i
0.003129+0.0012904i,0.0022091+0.00092003i,0.0015214+0.00048939i,0.0015319+0.00013479i,0.0015829-0.00061852i,0.00090838-0.0010444i,-0.00040656-0.00071057i,-0.00087472+0.00028822i,-0.00028782+0.00012472i,6.9501e-05+0.0004081i,-0.00017132+0.00028376i,1.5275e-05-0.0013013i,-0.0001347-0.0010865i,6.6346e-06-0.00028132i,0.0010521-0.00011718i,0.00093007+0.00038665i,-4.7759e-05+0.00036458i,0.00064403+0.00013557i,0.0014927+0.00022387i,0.00074596+0.00031866i,0.00049143+0.00023924i,0.00086812-0.00049409i,0.00053382-0.0010955i
0.00067106+0.00099994i,0.00022211+0.001668i,0.00017706+0.0019078i,0.00088928+0.0015408i,0.0010722+0.00095744i,0.00084934+9.4601e-05i,0.0004878-0.00062062i,-0.00074449-0.00053099i,-0.0009631-0.00021102i,-1.8641e-05-0.00076895i,0.0010361-0.0010383i,0.001006+0.00026923i,0.0001551+0.00066468i,0.00010224+0.00014264i,0.00061842+0.00056723i,0.00064009+0.00076999i,0.00010253+0.00041694i,-7.2676e-05+3.0766e-05i,0.0002323-4.0322e-05i,0.00011452+0.00040886i,-0.0001365+0.00098923i,8.7982e-05+0.00083847i,-0.00025637+0.00044706i
0.00028442+0.0004148i,-0.00073581+0.00045337i,-0.0016534+0.00061836i,-0.0014344-0.00021513i,-0.00012135-0.00050192i,0.00052385-0.00022359i,0.00014135-0.00069607i,-0.00033378-0.00069708i,-0.00043336-0.00037248i,0.00019808+0.00014076i,0.00028087+0.00047438i,0.00048396+0.00069563i,0.00050304+0.00041133i,0.00018288+9.1484e-05i,0.00036177+0.00010181i,0.00073356+0.00054815i,0.00059765+0.00036364i,0.00048105+3.9508e-05i,3.0079e-05-0.00023758i,-0.00046387-0.00075015i,-0.00018827-0.00028971i,0.0012246+0.00017616i,0.0014202+0.00018635i
0.0022832-0.00084293i,0.00041869+0.00076353i,7.1405e-05+0.00063609i,0.00068825-9.7876e-05i,0.0013621-0.00064513i,0.0011037-0.0013136i,-0.00029418-0.00084756i,-0.00096988-0.00013758i,-0.00058331-0.00028943i,-0.00030944-0.00043366i,0.00025511-0.00060466i,0.00081154-0.00066829i,0.00075944-0.00078809i,0.00044946-0.00084196i,0.00052432-0.00060069i,0.0010334-2.421e-05i,0.00036833+0.000264i,-0.00056951+0.00019696i,-0.00058132-0.00037842i,-0.00039545-0.000974i,-0.00056575-0.00037899i,-0.00056753-0.00022506i,-0.00049987-0.00060126i
0.00089985+0.00095594i,0.00018497+0.0018937i,-0.00083759+0.0038256i,0.00061944+0.0036057i,0.0017166+0.00079449i,0.0016807-0.0013557i,0.00053181-0.0013597i,-0.00072614-0.00045659i,-0.0012745+0.00015371i,-0.00077795+0.0001673i,0.00021493-0.00014513i,0.00078999-0.00071753i,0.00065655-0.0014716i,0.0011262-0.0012069i,0.0018768-0.00067582i,0.0010813-0.00087498i,6.3671e-05-0.00040541i,-8.3011e-05+0.00034882i,-0.00022029+0.00028636i,-0.00015697+0.00040253i,-0.00029454+0.00041445i,0.00013067-0.00022148i,0.00056128-0.00024022i
0.0001564+0.0016552i,-0.00017271+0.0021223i,-0.00061498+0.0030423i,0.00032938+0.0031025i,0.0012952+0.00060634i,0.0010522-0.00077984i,0.00010836+0.00013577i,4.9824e-05-0.00010345i,0.00068753-0.00031809i,0.00039798+0.00052939i,-0.00017632+0.001003i,-0.00043779+0.00034991i,-0.00075455-0.00042992i,-0.00096713-0.0012296i,-6.7409e-05-0.00129i,0.00066304+5.7552e-06i,0.00048239+6.5538e-05i,-5.39e-05+2.7656e-05i,-0.00018873+0.00061791i,0.00040338+0.00014694i,0.00065941-1.8178e-05i,0.00069584-0.00045213i,0.00072593-0.0010186i
0.0019359-0.00069448i,0.00060923-0.0010185i,-0.00015869-0.0003031i,-9.5222e-05+0.00012566i,0.00029203-2.7583e-05i,0.00080544-0.00020459i,0.00030559-2.175e-05i,-0.00031555+0.00062305i,-0.00026809+0.00081466i,-0.00010653+0.00042206i,-0.00019272-4.5606e-05i,-0.00012487-0.00097708i,0.0001712-0.0011204i,0.00035515-7.511e-05i,0.0011576+0.00022724i,0.001324+0.00054543i,0.00048806+0.00079681i,0.00029603+0.00051747i,-0.00013928+0.0001598i,-0.00059952-5.7537e-05i,-8.7307e-06-0.0004148i,0.00030396-0.00035474i,-0.00015536+0.0002939i
0.0024831+0.0015332i,0.0024107+0.0017415i,0.0014157+0.0013175i,0.00040205+0.00071515i,0.00016073+0.00041509i,0.00038683-0.00059047i,0.00059957-0.00035971i,0.00023969+0.00023853i,-0.00035642+0.00014341i,-0.0001634+9.3642e-05i,-0.00016409-0.00013098i,-0.00033245+0.00011572i,-0.00024168-0.00010349i,0.00018597-0.0006469i,0.00084934-0.00082963i,0.00089892-0.00019233i,-7.72e-05-3.2356e-06i,-0.00033633-0.00027935i,8.8491e-05+7.1591e-05i,0.00018637+0.0002195i,0.00020102-0.00024658i,-0.00032313-0.00064414i,-0.00072802-0.0003543i
0.0021514+0.0018734i,0.00097487+0.0015074i,0.00048166+0.00074804i,6.001e-05-0.00064171i,0.00055642-0.0012136i,0.00050672-0.00081933i,-0.0006709-0.00047999i,-0.00096659-0.00028644i,-0.0006043-0.00044058i,-5.6474e-05+0.00020024i,-0.00024511+0.00038247i,-0.00058187-0.00049983i,-0.00029861-0.0010622i,8.6562e-05-0.00075123i,-0.00014736-0.00029757i,5.067e-05-0.0002466i,0.00048424-0.00040241i,0.00025999+1.7022e-05i,-0.00086744+0.00020857i,-0.0011308-0.00049611i,0.00013167-0.0006971i,0.00069586-0.00039188i,0.00057649-5.5837e-05i
