0.00016128+0.0031118i,0.0014531+0.003778i,0.00074263+0.0013923i,-0.00031272-0.00037474i,-0.001198+0.00018679i,-0.0017999+0.0023243i,-0.00096255+0.003444i,0.00011904+0.0027944i,0.001524+0.001412i,0.0014349+9.0396e-05i,-0.00015074+0.00020687i,-0.00021517+0.00025873i,0.00032516+7.9811e-05i,0.00059222+0.00011728i,0.00076977-0.00025939i,0.00042355-0.0005156i,-2.1728e-05-0.00022332i,-0.00030496-0.00018755i,9.3308e-05-0.00035154i,7.9479e-05+1.3497e-05i,-0.00030729+0.00064004i,-3.3576e-05+0.00037527i,0.00033681-0.00037999i
-0.00052921+0.0011061i,0.00037056+0.0018512i,0.0015544+0.0021388i,0.0012313+0.0012058i,0.00046563+0.00077711i,0.00065459+0.00063159i,0.00076705-0.00027631i,0.00034131-0.00037146i,-0.00015204+0.00063614i,0.00032774+0.00097938i,0.00081991+0.00073302i,0.00047186+0.00047456i,-0.00032251-0.00011158i,0.00010643-0.00045807i,0.00080428-0.00012588i,0.00035693+0.00015303i,0.00040019-4.4721e-05i,0.00090236-0.00012582i,0.00023624-0.00072046i,-0.0011065-0.00087333i,-0.0014373-0.00094284i,-0.0012905-0.00076992i,-8.3911e-05-0.00025227i
-0.0020413+0.0015149i,-0.0013068+0.0031444i,-0.0010542+0.0033548i,-0.00025556+0.0023747i,0.00050828+0.0022063i,0.0010356+0.00086854i,0.00035029-0.0011579i,-0.00039581-0.00092507i,-0.0007477-0.00022171i,-0.00013062+9.781e-05i,0.00041379+0.00030881i,-0.00027542-0.00010978i,1.3178e-05-0.00012988i,0.00081462+0.00025965i,0.0010631+0.00012131i,-4.7817e-05-3.3892e-05i,-0.00029823-0.00016996i,0.00026797-0.0002919i,0.00013941-0.0001015i,0.00012636-0.00034216i,-0.00020139-0.00026738i,-0.00064818+0.00012447i,-0.00021214+0.00020177i
0.00050404+0.0011824i,0.0012991+0.0021275i,0.0016694+0.0015487i,0.00060458+0.0011895i,-0.00033677+0.0015172i,-0.00023778+0.0017237i,0.00013244+0.0015105i,0.00048087+0.0015198i,-0.00012947+0.0013878i,-0.00082046+0.00098818i,-0.00055434+0.00069942i,-0.00025772+0.00023426i,0.00037543-0.00043077i,-3.4313e-05-0.00026677i,0.00034458-0.00010463i,0.0011913-0.00069781i,0.00073851-0.0011585i,0.00019047-0.0011252i,0.00049251-0.00090397i,0.0013403-0.00067i,0.00024682+5.2857e-05i,-0.00075547+0.00046389i,-0.00011011+0.00040101i
-0.0016028+0.00056145i,-0.0013746+0.0012722i,-0.0018001+0.0012685i,-0.002103+0.00056722i,-0.00097187+0.0013709i,0.00010757+0.0021746i,0.00014344+0.00080256i,-0.00037313-0.00049106i,-0.00067725-0.00038044i,-0.00014862-0.00012831i,0.0004331-0.00026762i,0.00011739-0.00046386i,-0.0004996-0.00031547i,-0.0010459+0.00025546i,-0.00072363+0.00012482i,-3.3042e-05-0.00092727i,7.8721e-06-0.00085613i,-0.00036605-0.00032187i,-0.00037538-0.00051612i,-0.00025415-0.00041466i,-0.00040567-0.00032098i,-0.00034878-0.0005528i,-6.4495e-05-0.00050892i
0.00087389+0.0011949i,0.00075161+0.0022035i,0.00097494+0.001652i,0.00083919+0.00068001i,0.00073965+0.00064262i,0.00079777+0.00036224i,0.00048165+6.5763e-05i,0.00010251-0.00014205i,-9.0928e-05-0.0004365i,-8.482e-05-0.0007995i,0.00013227-0.00044084i,0.00057186+0.0004587i,0.0010034+0.00051238i,0.00059649+0.0004148i,0.00025546+0.00054374i,0.00062189+0.00040194i,0.00059038+0.00030875i,0.00098373-0.00060817i,0.00043307-0.0013506i,-0.00094626-0.00056138i,-0.0010214+1.2011e-05i,-4.2243e-05-0.00045877i,0.00034187+0.0004394i
-0.00022553+1.4929e-07i,-0.00013767+0.00012575i,-0.00047497-0.00059958i,-0.00044844-6.6389e-05i,-0.00042263+0.0017673i,-0.00018259+0.0022742i,0.00022434+0.0018434i,-2.527e-06+0.0011714i,2.5493e-05+0.00084025i,-0.00033972+0.0011586i,-0.00081486+0.00099767i,-0.0008985+0.00074499i,-0.00040776+0.00021584i,0.00029422-0.00049332i,0.00020806-0.00070049i,-2.2485e-05-0.00057863i,5.3207e-05-0.00058629i,0.00011014-0.00040286i,0.0003378-0.00029851i,-0.00015049-0.00012918i,-0.00066072+0.00044631i,-8.1038e-05+0.00044455i,0.00015064+0.00023184i
0.00036646+0.0031755i,0.00067447+0.0037881i,0.00052559+0.0021584i,-0.00085278+0.00071289i,-0.00084745+0.00033619i,-0.00012746+0.00087571i,-0.00054441+8.4915e-05i,-0.00079259-0.00063935i,-0.00033675-0.00036159i,-0.00037382+0.00033699i,-0.00029038+0.00048478i,3.6497e-05-5.1654e-06i,0.00023771-0.00018721i,9.9524e-05-0.00039662i,0.00012356-0.00087405i,0.0004518-0.0018261i,0.00068786-0.0013296i,0.00065077-0.00032077i,-0.00041532-0.00030743i,-0.0010552+0.00025462i,-0.00082485+0.00035402i,-0.00077508-0.00011141i,-0.00067275+0.00021866i
-0.00053226+0.0009766i,-0.00096584+0.001717i,-0.0005339+0.0011537i,-0.00046941+0.00040971i,-0.0013069+0.0011988i,-0.00096175+0.0013857i,-0.00017313+0.00051247i,-8.7903e-05-0.00061084i,-0.00093796-0.0014205i,-0.0014529-0.0011406i,-0.001286-0.00063908i,-0.00077331+0.0001922i,-0.00013067+0.00098691i,-0.00013638+0.0010565i,0.00017996+0.00023445i,0.00055209-0.00068446i,0.00051917-0.00085725i,-0.00015642-0.0011578i,-0.00038118-0.0010786i,-0.00033854-0.00064461i,-0.00069009-0.00046932i,-0.00019335-0.00038622i,-0.00057953-3.0134e-05i
-0.0012261+0.0024807i,-0.0015006+0.0032522i,-0.001406+0.0028553i,-0.00063992+0.0015358i,0.00071707+0.00074126i,0.00028437+0.00055543i,-0.00015537-4.1351e-05i,0.00083655+0.00010078i,0.0013961+0.00047166i,0.001005+0.00019352i,0.00035913-0.00040186i,0.00044031-0.00087286i,0.00075721-0.00054373i,0.00031465+3.4812e-05i,0.00058995+0.00033427i,0.0010422-1.5425e-05i,0.00095558-0.00086258i,0.00023443-0.0010004i,-0.00037039-0.00083598i,-0.00038309-0.00051637i,-0.00047909-0.00068868i,-7.5825e-05-8.8599e-05i,-0.00030697+0.00055633i
-0.00075438+0.0017099i,-0.00040062+0.0018636i,0.00048081+0.0021396i,0.00042784+0.0018452i,0.00032429+0.00087281i,0.00094234+0.00014779i,0.00074884+0.00079809i,-0.00010883+0.0014433i,-0.00013172+0.0012631i,-0.00015369+0.00061552i,-0.00044793-0.00021683i,-0.00051575-0.00042115i,-0.00059613-7.9992e-05i,-0.00048863-0.00069246i,0.00025503-0.0011727i,0.00044808-0.00072464i,0.00022114-0.00087957i,0.0001823-0.00096721i,-0.00025776-0.00013747i,-0.000604+0.00048178i,-0.00019096+0.00060546i,-6.9268e-06+0.00031408i,0.00036218-0.00023686i
-0.0010344+0.0016526i,-0.000791+0.0028679i,2.8852e-05+0.0022794i,0.00010522+0.0013953i,-0.00019267+0.00053263i,-0.00016333+0.00040171i,0.00014363+8.9772e-05i,0.00023695-5.8135e-05i,-0.00021942-5.3598e-05i,-0.00036833-6.8311e-05i,-0.00030754+0.00033154i,-0.00014572-7.6863e-06i,-0.00013839+2.7802e-05i,-0.00012941+0.00013441i,0.0011502-0.00017078i,0.0011669-0.00038453i,8.0889e-05-8.0614e-05i,0.00011213+5.6545e-05i,-0.00019657+4.6707e-05i,-0.00077872+8.5629e-05i,-0.0010416+0.00021929i,-0.0005997+0.00034933i,-6.2913e-05+1.9452e-05i
-0.00042478-0.000765i,0.0001767+0.00080874i,0.00036551+0.001946i,0.00025565+0.0022345i,-0.00025131+0.0016084i,-0.00068576+0.00093203i,0.00019515+6.6467e-06i,0.0004911-0.00061731i,3.8257e-05-0.00021532i,-0.00047546+0.00057037i,-0.00061803+0.00082901i,9.5708e-05+4.7765e-05i,0.00016826-0.00032529i,3.6603e-05-0.00051503i,0.00024233-0.00099358i,-0.00018626-0.00099511i,0.00043883-0.00053776i,0.00057728-0.00044171i,-0.00039319-4.2343e-05i,-6.7043e-05+0.00026182i,7.8804e-05-9.0916e-05i,-0.00040182-7.7958e-05i,-0.0004095+0.00048519i
-0.00011315+0.0014191i,-0.00012248+0.0024642i,-0.00060979+0.0016918i,-0.00035982+0.0013149i,-0.00017947+0.0019801i,0.000322+0.0019329i,0.00040788+0.0013594i,-0.00032599+0.00075517i,-0.00092837+0.00059478i,-0.00094684+1.0847e-05i,-0.00055507-0.00049912i,-0.00027111-0.00013916i,-0.00063449+0.00045045i,-0.00050118+0.00032416i,0.00039863+0.00036815i,0.0010327+3.1883e-05i,0.00088942-0.00033221i,0.00074327-9.6594e-05i,0.00049918-9.8906e-05i,0.00015542-0.00044879i,0.00018972-0.00048979i,-0.00030441-0.00060289i,-0.00074191-0.00046069i
-0.0026376+0.0019079i,-0.0020948+0.0025907i,-0.0011645+0.0032948i,-0.00025986+0.0026442i,0.00038086+0.0010117i,0.00082436+0.0012009i,0.00056535+0.0010343i,-7.5329e-05+0.00051407i,0.0003781+0.00096008i,0.00039182+0.00085104i,0.00024623+0.00046208i,0.00036199-0.00024069i,0.0003615-0.00039181i,0.00063042+0.00026528i,0.00033802+0.00055885i,-0.00041166+0.00060932i,-0.00053451+0.00028967i,-0.00068575-0.00049646i,-0.00058592-0.0010492i,0.00064879-0.00064413i,0.00041321+0.00027726i,-0.00031686+0.0010387i,0.00043661+0.00064186i
0.00051529+0.0012809i,0.00043098+0.0018428i,0.00093966+0.001611i,0.0016835+0.00036374i,0.0012795+0.00030639i,0.00066321+0.00022296i,-0.00015872-5.7778e-05i,-0.00060643+0.00014418i,-0.00030071-0.00034038i,-1.8324e-05-0.00080815i,2.7039e-05-0.00010647i,2.2677e-06+0.00019287i,-0.00011376+0.00045949i,-0.00065957+0.00058865i,-0.00078029-0.0003508i,0.00032456-0.001279i,0.0007594-0.00080291i,0.00029336-0.00053563i,-9.311e-05-0.00068656i,-0.00047048-0.00050556i,-0.00065733+0.00010873i,-0.00046522+0.00072639i,-0.00014435+0.00064161i
-0.0019322+0.0025007i,-0.0017275+0.002192i,-0.0011008+0.001508i,-0.00077087+0.00097902i,-0.0012687+0.00073909i,-0.00070094+0.0010769i,0.00075369+0.000656i,0.00053701+8.9732e-05i,6.9446e-05+5.974e-05i,-0.00016681-6.425e-05i,-0.00022019+5.6964e-05i,-4.1189e-05+0.00024488i,0.00052067+8.4135e-05i,0.00087337-8.7625e-06i,0.00095343+0.00020893i,0.00097865+0.00053388i,0.00067849+0.00034823i,0.00030513-0.00039272i,0.00033704-0.0010035i,0.00019839-0.00041512i,-0.00096356+0.00055411i,-0.0010983+0.00046254i,0.00042341+0.0013075i
-0.0014046+0.0010487i,-0.00053048+0.0023741i,0.0012089+0.0028364i,0.0018683+0.0023546i,0.00069073+0.0015906i,0.0003253+0.000988i,0.0012781+0.00079264i,0.00078803+0.00098222i,-0.00054216+0.001067i,-0.0002467+0.00076239i,0.00045487+0.00037135i,0.00078899-5.1831e-05i,-0.00014257-2.9053e-05i,-0.00050126-7.3483e-05i,0.00061588-0.00057462i,0.00042685-0.00082931i,-0.0002942-0.0007797i,-0.00024103-0.0011871i,-0.0001617-0.00119i,-0.00027853-0.00066961i,-0.00050967-0.00037706i,-0.00079319-0.00026384i,-0.00016054+0.00022414i
-0.000291+0.00050875i,-0.00020719+0.0017987i,-0.0012882+0.0018774i,-0.0012616+0.0012502i,0.00018559+0.0012005i,0.00070682+0.001603i,0.00047599+0.0011624i,0.00038186+0.00073894i,-0.00012006+0.00099921i,-0.00077385+0.0010261i,-0.00027978+0.0002893i,-5.5933e-05-0.00024001i,-9.8933e-05-0.00031878i,0.00031806-0.00027998i,0.0011404-0.00039033i,0.0015397-0.0012332i,0.0015201-0.00135i,0.0011629-0.0006267i,0.000302-0.00079538i,-0.00027602-0.0009162i,-0.0002974-0.00088338i,-0.00014765-0.00053986i,0.00065351+0.00042168i
-0.0022489+0.0013632i,-0.0010903+0.0015743i,-0.0002506+0.0014247i,8.2842e-05+0.00053053i,-0.00016773+0.00058068i,-0.00012717+0.00090627i,0.00019502+0.00049511i,-1.6383e-05+0.00082497i,-2.2332e-05+0.00069357i,0.00037446+0.0001126i,5.1874e-05+4.2857e-05i,-0.0010845-0.00025674i,-0.00097595-0.00021116i,3.5406e-05-0.00022842i,0.00019276-0.00028323i,-4.4853e-05-0.0005812i,9.7641e-05-0.00063286i,6.2328e-05-0.00028827i,-0.00050454-0.00045193i,-0.00078675-0.00035156i,-0.00019269-0.00037034i,0.00030606-0.00028246i,-5.6571e-05-8.1023e-05i
-0.0015266+0.00035011i,-0.00070707+0.0019566i,0.00014126+0.0022681i,0.00042098+0.0021072i,-0.0011766+0.0024561i,-0.0017645+0.0017548i,-0.0012493+0.00018772i,-0.00074886-0.0002103i,-0.00051627+0.00016291i,-0.00082022+0.00036039i,-0.00088459+0.00039302i,-0.00041108+0.00032199i,-0.0001765-0.00039254i,-0.00010911-0.00046524i,0.00014949+9.9676e-05i,0.0002353+0.00020441i,-7.277e-05+0.00014269i,0.00018567+7.0103e-05i,0.00021257+0.00054148i,-0.00042423+0.00033418i,-0.00014601+0.00052759i,0.00065348+0.00050555i,0.00039903-0.00020345i
-0.00024831+0.0021102i,0.00034419+0.0028153i,0.00039136+0.0020231i,-0.00072573+0.0012903i,-0.00038878+0.0012816i,0.00054203+0.0007864i,-0.00018379+0.00041147i,-0.00089065+0.00035103i,-8.3646e-05-6.5463e-05i,0.00042653-0.0006906i,0.00032855-0.0004347i,-0.00018611+0.00046345i,-0.00023013+0.00066668i,0.00074821+0.00011957i,0.0019799+1.4743e-05i,0.0019742+0.00098137i,0.00077315+0.00054814i,0.00069607-0.00012766i,0.00097503+1.1971e-05i,0.00031572-0.00038837i,-0.00047527-0.00051985i,-0.00058253+0.00011154i,-0.00059751+0.00061463i
-0.001791+0.0012686i,-0.0010301+0.0024025i,9.8466e-06+0.0023883i,0.00035514+0.00082727i,0.00059914+0.00029616i,0.00012624+0.00077804i,0.00026074+0.00060883i,0.00077632+0.00030366i,0.00025976-0.00021784i,-2.293e-06-0.00045156i,-0.00016723-0.00027334i,-0.0005648-0.00049243i,-0.00052133-0.00069074i,-0.00022399-0.00024056i,0.0001557+2.555e-05i,-0.00011534-0.00035945i,-0.00028144-0.00081281i,0.0004928-0.001325i,0.00093091-0.0012243i,-0.00019303-0.00068843i,-0.0010891+3.3885e-05i,-0.00067043+0.00043131i,-0.00039574+0.00044413i
-0.0014619+0.0019943i,-0.00091017+0.0031979i,-0.00036774+0.0028282i,0.00029869+0.0020173i,0.0003303+0.0022005i,0.00040985+0.0019856i,0.00020742+0.00052324i,-0.00072579-0.00049321i,-0.0011237-0.0001533i,-0.00029457+0.00044283i,0.00060441+0.00045457i,0.00048825+0.00049845i,0.00058915+0.00056317i,0.00022922+0.00012681i,-0.00027191-0.00061141i,0.00013169-0.00037315i,0.00016266+0.0001052i,0.00012695-0.00038783i,5.8093e-05-4.1076e-05i,-0.00057774+0.00055492i,-0.0002165+0.00044938i,-2.9555e-06+0.0006749i,-0.00011389+0.00091069i
-0.0020814+0.0015824i,-0.0023722+0.0025984i,-0.0011273+0.002189i,-0.00052095+0.0014534i,3.2179e-05+0.0016933i,0.00021802+0.0027185i,-0.00042815+0.0023838i,-0.00040837+0.001062i,-0.00026476+0.00017398i,-0.00052344-0.00016177i,-0.00017658+0.00017617i,0.0004422+0.0008279i,0.00046034+0.00042252i,0.00018571-0.00024674i,2.4716e-05-0.00021041i,7.3889e-05-0.0003326i,-0.00033683-0.00054097i,-0.00026842-0.00052242i,0.00014795-0.00026909i,8.0528e-06+0.00036954i,8.2281e-05+0.00016423i,4.9907e-05-0.00028531i,-0.00067035-0.00021465i
-0.00092904+0.00083966i,-0.00033659+0.001687i,0.00042884+0.0011648i,0.00076636-0.00015135i,0.00037722+0.00063849i,-0.00010861+0.0014938i,-0.00038645+0.00075529i,-0.00048764+6.0581e-05i,7.5299e-05+0.00017302i,0.00016467+0.00018079i,-0.00062325-0.00011341i,-0.0011206-0.00025389i,-0.00081672+0.00024459i,-0.00070068+0.00035033i,-7.6973e-05+0.00015737i,0.00056679-0.00020494i,0.00099273-0.00023794i,0.00083879-0.00036569i,0.00057584-0.00054239i,-7.5733e-05+5.5237e-05i,-0.00053186-4.7121e-05i,-1.2363e-05-0.00014114i,-7.7102e-05+0.00046941i
-0.0011547+0.0021638i,-0.0013029+0.002658i,-0.000692+0.0021467i,3.1943e-05+0.00038573i,0.00033463+0.0009914i,0.00048076+0.00088863i,0.00082704+0.00048489i,0.00062786+0.0010699i,0.00051227+0.0011841i,0.00094975+0.00071174i,0.0005549+0.00022449i,0.00055035+0.00014513i,0.00096709+0.0003932i,0.00066456+3.3239e-05i,0.00030381-5.6235e-05i,6.8058e-07+0.00053205i,0.00032231+0.00089412i,0.00054076+0.00013436i,0.00038733-0.00083534i,0.00034123-0.00049743i,5.7565e-05-0.00028363i,-0.00021661-0.00061818i,-0.0002502-0.00018765i
