-0.00067017-0.0014738i,-0.00078135-0.0018843i,-0.0022015-0.0011127i,-0.0027803+9.5756e-05i,-0.0011681+0.00030119i,-0.0001203+0.00050501i,-0.00026607+0.00031161i,0.00039529+6.8936e-05i,0.0014348-0.00022459i,0.00096563-0.00019513i,8.6087e-05+6.4466e-05i,0.0004705+0.00057592i,0.00031264+0.0009446i,0.00027824+0.00046185i,0.00079419+0.00024837i,0.00052752+0.00033838i,-0.00051776+2.4587e-05i,-0.00091299-4.3256e-05i,-4.2353e-05-0.00033536i,0.00024114-0.00028825i,-0.00029406+0.00026455i,0.00016425+0.00071495i,0.00044818+0.00078943i
-0.0011567+0.0015952i,-0.0013742+0.0014935i,-0.0013433+0.0017831i,-0.0004149+0.0014584i,0.00041892+0.0010845i,0.00013561+0.00036322i,-0.00035778-0.00036525i,-0.00095796-0.0003096i,-0.0012527-0.0001726i,-0.0007858-0.00023498i,-0.00030523-0.0002106i,-3.5562e-05+0.00058489i,0.00019214+0.00072155i,-8.0238e-05+0.00052378i,-0.0004485-8.9641e-05i,-0.00046551-0.00044014i,-0.00071816-0.00049031i,-0.00057361-7.1803e-05i,6.6974e-05+0.00022789i,4.95e-05+0.00033878i,3.3539e-05+5.9282e-06i,0.00050627-0.00025775i,0.00067186-0.00017345i
-0.0024276-0.00011698i,-0.0021708+0.00041994i,-0.0015325+0.0008021i,-0.00019138+0.0013822i,2.7449e-05+0.0016379i,-7.608e-05+0.00019273i,-0.00023788-0.0014606i,5.0701e-05-0.0015423i,0.00062896-0.0010966i,-0.00010067-0.00031878i,-0.000384+0.00083128i,0.00011653+0.00083645i,0.00075255+0.00028555i,0.0013079-1.1083e-05i,0.00094569+0.00069358i,0.00056979+0.0010663i,3.5918e-05-0.00011655i,-0.00026738-0.00075982i,-0.00031883-0.00080676i,-0.0005407-0.00042142i,-0.0002993-0.00033544i,0.00022898-0.00081428i,2.7058e-06-0.00083335i
-0.0013983+0.00023784i,0.00011231+0.00025498i,0.00061906-9.0005e-05i,0.00087735+0.00029046i,0.00054848+0.00046217i,-0.00021712-0.0011037i,-0.0011296-0.0015508i,-0.0013798-0.00010202i,-0.00027549+0.00052419i,0.00066901+0.00065659i,0.00093865+0.00044394i,0.0012724-0.00024314i,0.0014735-0.00019465i,0.0015497-0.00057208i,0.00082779-0.00046253i,0.00020972-5.8639e-05i,0.00036137-0.00014273i,1.8254e-07-0.00017754i,-0.00063491+0.0001031i,-0.00073824+0.001048i,-0.00022114+0.0014999i,7.8369e-05+0.00032188i,-0.00035672-0.00052201i
0.00073021-0.0024597i,0.00039856-0.0029549i,0.00064107-0.001833i,0.00051709-0.00021775i,-0.00045226+0.00082017i,-0.00071356+0.00079808i,-0.00055869+7.5835e-05i,1.9317e-05+0.00040414i,0.00020044+0.00020559i,6.4072e-05-0.00024407i,0.00014886+0.00014808i,0.00028627+0.001073i,0.0006256+0.0015923i,0.00044617+0.001125i,0.00017915+0.00036467i,0.00011941+0.0003021i,-0.0003969+0.0014677i,-0.00043149+0.0017153i,0.00034103+0.00085486i,0.00035471-0.00026892i,-0.00035673-0.00043237i,-0.00060362-0.00030976i,-0.00016516-3.4504e-05i
-0.0010942-7.1559e-05i,-0.0016159+0.00033957i,-0.0014451-0.00022303i,-0.00098708+0.0001553i,-0.00042038+0.00093055i,-0.00018502+0.00092651i,-0.00053867+0.00051521i,0.00046423-0.00031039i,0.00058571-0.00032613i,-0.00048405+7.5546e-05i,-0.00050512-0.00015543i,0.0002398-0.00032716i,0.0009774-0.00054925i,0.00080154+0.00038721i,-0.0001698+0.0011242i,-0.00041194+0.00029023i,-0.0005957-0.00058748i,-0.00057156-0.00037804i,1.681e-06+0.00017524i,7.4994e-05+0.00022896i,-0.00031295+0.0008028i,-6.9596e-05+0.00085262i,8.45e-05+0.00045877i
6.6628e-06-0.0015542i,3.4909e-06-0.0013098i,0.00034568-0.00034426i,-0.00045043-0.00021881i,-0.0010253-0.00049086i,-0.00048527-0.00079697i,-0.00048478-0.0011808i,-0.0011452-3.9973e-06i,-0.00069298+0.00091466i,0.00065412+0.00038268i,0.0010023+6.5325e-05i,0.00095594+0.00050312i,0.0008665+0.00037067i,0.00051365-5.6548e-05i,7.0208e-05+1.924e-05i,-6.7252e-05+0.00017172i,-3.3673e-05+0.00023922i,-0.00021725+6.1378e-05i,-0.00030114+0.00044882i,-0.00084704+0.00064259i,-0.00016157+0.0006185i,-3.4542e-05+7.2012e-05i,-0.00037073-0.00032735i
0.00099938-0.0011633i,0.00050023-0.00083288i,-9.0682e-05-0.0012261i,-0.00063231-0.0011005i,-0.0011184-0.00015484i,-0.0016672+0.00063949i,-0.0013105+0.00088169i,-9.5773e-05+0.0008468i,0.0010078+0.00070037i,0.00093845-6.9729e-05i,0.00048884-6.9477e-05i,0.00049929+0.00061312i,4.218e-05+0.00031519i,-0.00023749-4.2892e-05i,-0.00050447+0.0008289i,-0.00025757+0.0012555i,0.00037593+0.001195i,0.00082667+0.0011396i,0.00073821+0.00065509i,0.00059702+0.00068857i,0.00045486+0.00049598i,-0.00023594-0.00036017i,-0.00073112-0.0007387i
0.00048277-4.9227e-05i,0.0012729-0.0010508i,0.0024851-0.001449i,0.001405-0.0011524i,-0.00040915-0.0011943i,-0.0012411-0.00093127i,-0.00065595-0.00025974i,0.00012332+9.6184e-05i,0.00032735-0.00051196i,3.7832e-05-0.00040474i,-0.00026601+0.00059856i,-0.00052932+0.00082025i,-0.00047382+0.00067219i,-0.00012071-0.00010204i,0.00030195-0.00064757i,0.00018231+0.0004244i,-0.00038322+0.00065303i,-0.00017452+8.3067e-05i,0.00028593-0.00028472i,0.0007328-0.00078035i,0.000775-0.00065659i,0.0004653-0.00046617i,0.00010583-0.00023389i
-0.00070874-0.0003103i,-0.0011398-0.0007732i,-0.0009756+0.0003514i,-0.00047656+0.0010095i,3.4841e-05+0.00092889i,-0.00019782+0.00015561i,-0.00071422-0.00037609i,-0.00080029+1.3334e-05i,-0.00051883+0.00062024i,-6.6708e-05+0.00076881i,0.00035623+0.00086319i,5.4093e-05+0.0011206i,1.6266e-05+4.1342e-05i,0.00027885-0.00070145i,0.00031537-0.00044195i,0.00024332+2.6692e-05i,-0.00013732+0.00031476i,0.00032437+0.00054241i,0.00095128+0.00052644i,0.00050955+0.00060321i,-0.00037538+0.00071297i,-0.00092761-0.00028732i,-0.0005282-0.00051392i
-0.0002785-0.0025998i,-0.0012289-0.0026997i,-0.0011203-0.002167i,-0.00064088-0.00057335i,-0.00049994+0.00051138i,-0.00093349+0.00087097i,-0.00052683+0.0004437i,-0.00041086+0.00022321i,-0.00074266+0.00082948i,-0.00010149+0.00092018i,3.8656e-05+0.0012222i,-6.4534e-06+0.0017342i,0.0004539+0.0014634i,0.00088889+0.00055942i,0.00018376+0.00062899i,-0.00056842+0.00039773i,-0.00036372-7.6304e-05i,-0.000162+0.00025467i,0.00024544+0.00012949i,-0.00024715-8.4669e-05i,-0.00057687-0.00033399i,-0.00025449-0.00018358i,-0.00010906+0.00023752i
-0.0012073-0.00033849i,-0.0010701-0.0009212i,-0.00076372-0.00010463i,-0.00066315+0.00056707i,-0.00015508+0.00035136i,-0.00016797+0.0001111i,-0.0007033+5.8465e-05i,-0.00025588+0.00025524i,-8.2071e-05+0.00026737i,0.00010503+0.00037692i,0.00072127+0.00046141i,0.0012375+0.00045326i,0.0014512+0.00038968i,0.0010482-0.00041329i,0.00042115-0.00101i,-1.035e-05-0.00039698i,-0.00022062-1.6686e-05i,-0.00061254-1.4693e-05i,-0.00056559+0.00016086i,-2.9193e-05-9.4107e-05i,0.00050542-0.00032943i,0.00062142-0.00031769i,-4.3165e-05-0.00042701i
0.0032296-0.00020506i,0.0021188-0.00084844i,0.00032787-0.0021307i,-0.00069521-0.0021182i,-0.0003968-0.00092495i,-0.00061079+0.00011466i,-0.00040718+0.00023222i,0.00016492-4.6432e-05i,-0.00019545+0.00011063i,-1.6217e-05+0.00057645i,-5.6958e-05+0.00080868i,-0.00025384+0.0012945i,-0.00016784+0.001136i,0.00029665+0.00026046i,7.942e-05+0.00017865i,-0.00025042+0.00010429i,-0.00050191+0.0001636i,-0.0004807+0.00012944i,5.6888e-05-1.4506e-05i,3.2645e-05+0.00010776i,-0.0002766+0.0001751i,-0.0003555+0.00068967i,-0.00054993+0.00064092i
-0.0012313-0.00044968i,-0.0005415-0.00011219i,-0.0016859+0.00039506i,-0.00185+0.0008082i,-0.001175+0.00055985i,-0.0012231-1.048e-05i,-0.0019955-0.00050493i,-0.00090878-0.00055874i,0.0012501-0.0005641i,0.0012738-0.00039906i,0.0007534-3.8909e-05i,0.0012634+0.00033535i,0.00078391+0.0015321i,-0.00021836+0.0013823i,-0.00071488+0.00037466i,-0.00050478-0.000105i,-4.6085e-06+0.00074846i,0.00026387+0.0012347i,0.00048092+0.0007167i,0.00027486+0.00011754i,3.5483e-05-0.00049406i,0.00044319-0.00027361i,0.00028248+2.0451e-05i
0.00066985+0.0023452i,0.0011988+0.002045i,0.0016105+0.0010508i,0.0021127+0.00058935i,0.0029021-0.00018169i,0.0019349-0.00096365i,-0.00023144-0.00059068i,-0.00086769+8.3772e-07i,-0.00023205+0.00041186i,0.00044506-9.8361e-05i,0.00091391-0.00070813i,0.00034244-0.0010865i,-0.00032236-0.0014286i,-0.00036339-0.00062294i,-0.00010734+1.3915e-05i,0.00011568-8.8487e-05i,-0.00044619+0.00013704i,-0.0010705+0.00029546i,-0.00025759-0.00032758i,0.00014582-0.0001936i,2.8804e-06+0.00015564i,0.00034327+0.00017945i,0.00053513+8.8698e-05i
-0.0032947-0.0015364i,-0.0041739-0.00039902i,-0.0032484+0.00073694i,-0.0017406+0.00047862i,-0.00069185+0.00038491i,-6.3158e-05+0.00053097i,-0.00048805+0.00039525i,-0.00085822-0.0004261i,-0.00059557+0.00012792i,0.00011336+0.00041016i,0.00067519+0.0002634i,0.0011014+0.00064799i,0.0012335+0.00047929i,0.00087857-3.9645e-05i,0.00090922-0.00057401i,0.00080231-0.00034191i,-4.4201e-05-0.00040742i,-0.00029102-7.1596e-05i,0.00034065+7.4154e-05i,0.00032112-0.00012153i,0.00010292+0.00040721i,-0.00012612-4.1876e-05i,-0.00062586-0.00096098i
0.0006978-0.0010144i,-5.7623e-05-0.00052203i,5.1294e-05-0.00070414i,2.8343e-05-0.0015976i,-0.00012006-0.0016587i,-0.0011238-0.00092098i,-0.0020586+1.4328e-05i,-0.0013335+0.00017318i,-0.00010308-0.00018419i,0.00011028-0.00013481i,0.00056385+0.0001342i,0.0010827+0.00022783i,0.00071628-4.5859e-05i,0.0001358-0.00028385i,-0.00028787+0.00024803i,-0.00046486-0.00014891i,-0.00052004-0.00061789i,-0.00061941-0.00011623i,-0.00026353+0.00027922i,-0.00046747+0.00017502i,-0.0010776+0.00016108i,-0.00092695+0.00027864i,0.00041622+0.00022943i
-5.6811e-05+0.00087206i,-0.00050246+0.00042333i,-0.00074507+0.00025419i,-0.00064152+0.00050835i,0.00014391+0.00064023i,0.00043488+0.00085142i,0.00039057+0.00052852i,-0.00013548-8.7502e-05i,-0.00080938-0.00043356i,-0.00019766-0.00046726i,0.00066321-0.00064555i,0.00094929-0.00013148i,0.00040048-9.2839e-06i,0.00068955-0.00083893i,0.00075444-0.00073423i,0.00013836-0.00016679i,-2.0166e-05+0.00054495i,-0.00020004+0.00044287i,-2.1573e-05-0.00020579i,-9.9972e-05-6.0978e-05i,0.00013217+5.6987e-06i,3.1699e-05-0.00013611i,-0.00035789-0.00032354i
-0.0010848+0.0016483i,-0.0005578+0.0018019i,-8.7986e-05+0.00099121i,0.00054122+0.00063594i,0.00033765+0.001227i,-0.0013076+0.0010197i,-0.0022552+0.00054894i,-0.0013113-0.0001324i,-0.00021469-0.00030727i,-0.00010087-0.00033545i,0.0002998-0.0011503i,0.00079883-0.0012571i,1.2879e-06-0.00074114i,-0.00060623-0.00015815i,-0.00092545-3.5376e-05i,-0.0010103+7.6072e-05i,-0.00073289-2.1569e-05i,-0.0010557-2.8441e-05i,-0.00099355-3.4261e-05i,-8.8012e-05+0.00028634i,4.9322e-05+0.00094532i,1.1628e-05+0.00021455i,0.00024943-0.00023151i
-0.0014375-0.0021985i,-0.00088139-0.00065419i,-0.00081611+0.00096891i,-0.00068176+0.001507i,-1.9457e-05+0.0012491i,0.00041093+0.00092958i,-0.00032049+6.0286e-05i,-0.0010471-7.9845e-05i,-0.00021316+0.00031509i,0.0010949+0.00037835i,0.0015157+0.00035972i,0.001123-7.0969e-05i,0.00036169-0.0009475i,0.00013862-0.0012148i,0.00055721-0.0013587i,0.0005871-0.00097961i,0.00049882+2.2539e-05i,0.00028455-0.00023141i,0.0009558-0.00087722i,0.00080922-0.00015741i,-0.00010058+0.0004134i,-2.8885e-05+0.0001749i,-2.7175e-05+0.00013276i
0.001107-0.0014003i,0.00019064-0.0024924i,-0.00059242-0.0019636i,-0.00080499-0.00070309i,-0.00010469+7.6902e-06i,-0.00018443+9.2031e-05i,-0.00085328-0.00017783i,-0.00067479-0.00059318i,-0.00081324-0.00089274i,-0.00098759-0.00096694i,-0.00069756-0.00024357i,-0.00020004+0.00019293i,8.4602e-05+2.2124e-05i,-0.00010086-0.00011586i,0.00038084-5.7893e-05i,0.00065142+0.00065579i,0.00051011+0.00051014i,0.00049061-0.00013904i,0.00018306-7.1542e-05i,-0.00055028-0.00032046i,-0.00054914-0.00065459i,0.00057937-0.00025593i,0.0004299+0.00037219i
-0.0014592+4.8014e-05i,-0.00022841+0.00064243i,0.00035971+0.00070635i,-0.00081523+4.7935e-05i,-0.0011293+0.00019865i,-0.00027148+0.00085169i,-0.00013412+0.0009419i,-0.00085828+0.00049238i,-0.00075427+0.00039608i,6.3408e-05+0.00067659i,0.00068693+0.00062705i,0.0010129+0.00048931i,0.0008348-8.3709e-05i,0.00067959+0.0001486i,0.00074559+0.00018081i,8.2769e-05-0.0005114i,6.4975e-05-0.00016402i,-0.000164+0.00077924i,-0.00037657+0.00023988i,0.00034841-0.00077842i,0.00030636-0.00092482i,0.00023987-0.000689i,0.00083796-0.00063995i
-0.0012875-0.0017351i,-0.0019205-0.0017052i,-0.0019764-0.0008386i,-0.00046735+0.00030214i,0.00012472+0.00055934i,-0.00051831-0.00039393i,-0.00042001-0.00091398i,0.00017177-0.00045702i,0.00055948+4.8834e-05i,0.00068623+0.00051804i,0.0013985+0.00070803i,0.001288+0.00040448i,-4.1211e-05+0.00060935i,-0.00077133+0.00056349i,0.00032737+0.00012067i,0.0015458+0.0004774i,0.001125+0.00062811i,0.00022095+0.00021936i,0.00022168-0.00017545i,-1.3986e-05+0.00038706i,-0.00017933+0.00035655i,0.00017472+0.00018964i,0.00059981+0.00017251i
0.00059481-0.0010513i,0.00011765-0.0014582i,-0.00048155-0.001093i,-0.00039491-0.0005216i,-0.00020006-0.00048275i,-0.00048113-0.00023852i,-0.00096634-0.00037386i,-0.0010781-0.00068375i,-0.00015765-0.00039472i,0.00042788-0.00028863i,3.6954e-05-0.00079886i,-5.7983e-05-0.00071451i,0.00025512-3.8521e-05i,-0.00048577+0.00061311i,-0.0010673+0.0011186i,-0.00051029+0.00097094i,-0.00072797+0.00066976i,-0.0004175+0.00054223i,0.00071348+0.00017269i,0.0014665+9.5727e-05i,0.00085998+0.00057205i,-0.00023378-0.00027818i,-0.00027026-0.0015186i
3.7734e-05-0.00018902i,0.00057904-0.00031575i,0.00077155-0.00039252i,0.00053079+0.00047918i,-6.8567e-05+0.00084902i,-0.00033082+2.7164e-05i,-0.00039946+5.1507e-05i,-0.00015287+0.00057602i,-0.00012944+0.0004855i,-0.00035573+0.00092124i,-0.0002271+0.0011412i,-8.395e-05+0.0009258i,0.00036559+0.00052463i,0.00095247+0.00092157i,0.00071012+0.0010724i,0.00051932+0.00027212i,0.0001924-0.00020448i,-0.00023345-0.00029292i,-0.00037881-0.00044317i,-0.00013999-0.00084267i,-0.0004875-0.00047651i,-0.0012651+2.8593e-05i,-0.00089472-1.5962e-05i
-0.00081726+0.00052302i,-0.00048262+0.00037438i,-0.000371+0.0012234i,-0.0003117+0.0018723i,0.00067985+0.00077767i,0.0010781+0.00012972i,-1.6173e-05-0.00048445i,-0.00042604-0.00073803i,-0.00028489+5.1091e-05i,0.00028213+0.00055525i,0.00055401+0.00080662i,0.00067607+0.00054852i,0.00035593-0.00026151i,-5.4651e-05-0.0010376i,-7.3844e-05-0.00035456i,-0.00071933+0.00025296i,-0.00075388-0.00025856i,-0.00022649-7.9546e-05i,8.2335e-05+0.00034465i,-0.00010331+0.0005195i,-0.00072511+0.00084088i,-6.39e-05+0.00067106i,0.00026555-0.00028997i
