0.00098095+0.00013237i,0.0016235-0.0016537i,0.0013868-0.0037934i,0.0003326-0.0039908i,-0.0017273-0.0028022i,-0.0033533-0.00088865i,-0.0021355+0.001032i,0.0001813+0.00038008i,0.0011362-0.00045522i,0.00090928-0.00075172i,0.00070799-0.00055416i,9.7683e-05+5.2938e-05i,-0.00044118-1.6077e-05i,-0.00051602+0.0001273i,8.932e-05+0.00015743i,0.00015894+0.00048498i,0.00046933+0.00078751i,0.00081077+0.00013675i,0.00020102-0.00040979i,-0.00036936-0.00032587i,-0.00067459-0.00083772i,-0.00083935-0.0016211i,-0.00089797-0.0014904i
0.00047025-0.00026001i,0.0005224-0.0013985i,-0.00038471-0.0019254i,0.00052949-0.0019378i,0.001098-0.0017889i,-0.00024711-0.0004411i,-0.00071511+0.00099813i,-0.00034197+0.00071409i,-0.00015319-0.00013644i,-4.7132e-05-0.00040223i,1.1242e-05-0.0001284i,0.00011106+0.00023461i,-0.00024236+0.00033577i,0.00024411-4.6979e-05i,0.00077756-0.00051307i,0.00072579-0.00092435i,0.0012813-0.0008833i,0.0010932-0.00017014i,9.0752e-05+0.00034128i,-3.7806e-05-0.00030089i,-0.00027866-0.00038935i,-0.00091431-0.00020533i,-0.00075544+0.00017152i
-0.00095332-0.0018507i,-0.00082911-0.00052632i,-0.00079084-0.00037049i,-0.00024603-0.001014i,0.0003867-0.0011378i,-2.2125e-05-0.00026165i,-0.00036186+0.00024892i,-9.4928e-05-0.00024153i,3.5679e-05-0.00058284i,0.00024556-0.00017123i,0.0010989+0.00074285i,0.00089568+0.00041977i,0.00015597-0.00030023i,0.00023216-0.00026959i,0.00047498+0.00013652i,0.00072844+0.00029396i,0.00055725-7.5897e-06i,-0.00023627+2.5839e-05i,-0.00069724+0.00038582i,3.616e-05+0.00036442i,6.641e-05+0.00029259i,-0.0010609-6.2742e-05i,-0.0012506-0.00064336i
-0.00031077-0.00019869i,-7.5546e-05+0.00017004i,-2.8535e-05-0.0010422i,0.00031086-0.0026342i,0.00071173-0.0018178i,-0.00012351-7.8153e-05i,-0.0007699+0.0011186i,0.00019803+0.00082435i,0.00099539-0.00063884i,0.00079044-0.0014636i,0.00085728-0.001157i,0.00073934-0.00020303i,-2.2546e-05+0.000118i,-0.00018236+0.00044796i,-0.00035454+0.00034072i,6.229e-06-0.00011176i,-5.2392e-05+0.0002572i,-0.00055574+0.00081479i,0.00020218+0.0004501i,-1.453e-05-5.6336e-05i,-0.00053929-0.00016502i,-0.00089723-0.00043191i,-0.0011837-0.00036108i
0.00045945-0.0014314i,0.0003333-0.0014942i,0.0004621-0.0013622i,3.7747e-05-0.00081881i,-0.00064327-0.0008837i,-0.00069651+0.00022522i,-0.00095704+0.00066592i,-0.00034821-0.00035179i,0.0007501-0.00045259i,0.00058321-0.0002666i,-2.9752e-05-0.00070517i,-0.0001565-0.00067606i,-0.0003169-0.00035372i,6.5458e-05-9.3144e-05i,0.00049296-0.00032272i,0.00093509-0.00058004i,0.00081583-0.00014767i,0.00023389-2.7656e-05i,-0.00011561+0.00013468i,0.00048505+0.00018972i,0.0010011-0.0002687i,0.00063765-0.00073473i,0.00034447-0.0002521i
-0.0013247-0.0001947i,-0.0014461-0.00078574i,-0.0010501-0.00077972i,-0.00034623-0.00071084i,0.00025415-0.00091584i,0.00011223-0.00056632i,0.00013713+0.00043279i,0.00054016+0.00056517i,0.0005939-0.00035389i,0.00026757-0.00054127i,-0.00046507-0.00048974i,-0.0008024-0.00079926i,-0.00037011-0.00078297i,6.1031e-07-0.00057354i,-0.00016307-0.00071046i,-0.00028282-0.00069878i,0.00029665-0.00058814i,-0.0001588-0.00051876i,-0.00088235-0.00015561i,-0.00067129-0.00037999i,-0.00049833-0.00053966i,-0.00057319-0.00065169i,-0.00038557-0.00024534i
0.0010871-0.0013813i,0.00051303-0.0017678i,0.00018716-0.0023158i,-0.00071154-0.0013296i,-0.0018157-0.00032463i,-0.00087776+0.0008554i,0.00022705+0.00032414i,0.00068369-0.00061231i,0.00051115-0.00086326i,-0.00012473-0.0012392i,-0.00033931-0.00061388i,-0.00047503-0.00021785i,-0.00084282-0.0007245i,-0.00059362-0.0011936i,-0.00017346-0.00051078i,-0.00012456-4.2653e-05i,0.00023171-0.00048637i,0.00072276-0.00053296i,-0.00012474-0.00059668i,-0.00032323-0.00031533i,0.00051281+2.6523e-05i,0.00070693-0.00056752i,-3.1271e-05-0.00087347i
0.0025872-0.00065193i,0.0023545-0.00079537i,0.0031691-0.0017587i,0.0026011-0.0024585i,0.00087958-0.0025236i,-0.00018207-0.0014475i,-0.00046572+0.00029748i,-0.00053042+0.0012805i,0.00014098+0.0011211i,0.0014074+0.00048407i,0.0019681+4.577e-05i,0.0014156-0.00059348i,0.00074897-0.00094955i,0.00096921+2.7564e-05i,0.00077439+0.0012574i,0.00018745+0.00044474i,-0.00023918-0.00035325i,-0.00025877-1.8636e-05i,-5.0497e-05+0.00028768i,-0.0002844+0.00012317i,-0.00043268-0.00065812i,-0.00017015-0.00050682i,-0.00025157+0.00020851i
0.00040802+0.0008867i,0.00075236+0.001112i,0.0018834-0.00010257i,0.0019069-0.001229i,0.00046629-0.0024316i,-0.0013817-0.0024563i,-0.0018952-0.00087922i,-0.00077302-4.6981e-05i,0.00044759-0.00052385i,0.0010589-0.00073574i,0.00055212-0.00033949i,7.9085e-05-0.00040994i,-0.00052612-0.00043041i,-0.00097719+7.5358e-05i,-0.00093603+0.00013799i,-0.00031586-0.00031117i,-0.00015337-3.7594e-05i,-0.00046974+0.00012293i,-0.0012097-0.0002626i,-0.0014032+3.0547e-05i,-0.0011934+0.0007414i,-0.00095923+0.00053459i,1.7758e-05+0.00012952i
0.0011689+0.00053792i,0.00036382+0.00065909i,0.00065732-1.2532e-05i,0.00072786-0.0012083i,-0.00071279-0.0017844i,-0.0011144-0.00090238i,-0.0008388-0.00013259i,5.4869e-05-4.2293e-05i,0.0007977+5.3753e-05i,0.0012714-0.00053899i,0.001518-0.0010688i,0.00066334-0.00053733i,-0.00028291+0.00040154i,-0.00076346+0.00044711i,-0.0006831+7.9936e-05i,-0.00030881+8.6875e-05i,0.00022153+0.00030518i,6.9608e-05+0.00056316i,-0.00059178+0.00050848i,-0.0011758+0.0003367i,-0.00075718-0.0004085i,-6.0809e-05-0.00070898i,-8.8849e-05-3.0606e-05i
-0.0015831-0.00133i,-0.0011761-0.00076379i,-0.00083781-0.0015601i,0.00041239-0.0014182i,0.0012141-0.0013406i,0.00098221-0.00031841i,0.00023585+0.001216i,0.00023194+0.00078022i,0.00060612-0.00041464i,0.00068043-0.0010241i,0.00043357-0.0010269i,-0.00026634-0.00090463i,-0.00029401-0.00048557i,-0.00046942-7.2485e-05i,-0.00038921-0.00024892i,0.00039596-0.00036296i,0.00061305-0.00028218i,0.000292+3.599e-05i,-8.1309e-05+0.00026401i,-4.8459e-05-0.00035803i,0.00023459-0.00024996i,0.00025847-0.00033202i,0.0004082-0.00064314i
0.0010875+3.1915e-05i,0.0013444-0.00055468i,0.0018916-0.0011152i,0.0021946-0.0010116i,0.0010706+0.00033784i,-0.0012217+0.00070032i,-0.0020164+0.00040382i,-0.0011107+0.00034692i,-0.00060832+0.00010509i,-0.00065448-0.00055447i,-0.00011197-0.0013472i,-4.581e-05-0.0015649i,0.0001651-0.001368i,2.2107e-05-0.00059771i,-0.00015616+8.1691e-06i,0.00018365+0.00016296i,0.00041434-0.00054244i,0.00012449-0.00090504i,0.0001594-0.00064807i,0.0003847+0.00013706i,-2.7613e-05+0.00042982i,-0.00055064-3.4178e-05i,-0.0001102+0.00026999i
-0.00045982+0.00045147i,-0.00063812-0.0010121i,1.1688e-05-0.002418i,0.001024-0.0027437i,0.00082878-0.002356i,0.00020397-0.00086609i,0.00015856+0.001185i,0.00016131+0.0011982i,-0.00059243-0.00039841i,-0.0017788-0.0010702i,-0.00094111-0.00022919i,0.0004901+0.00038919i,0.00088295-0.000144i,0.0010105-0.00044728i,0.0013149-0.00042847i,0.00054724-0.0007158i,-0.0003546-0.00090804i,-0.00075562-0.00071196i,-0.00034829-0.00067335i,-5.3136e-05-0.00015598i,-0.00059483+0.00070005i,-0.0012222+0.00085806i,-0.00051114+0.00024193i
-0.0010497+0.00042098i,-0.0012936+0.00090658i,-0.00075897+0.0011806i,0.00037191+0.0005628i,0.00087053-6.449e-05i,3.3603e-05-0.0005115i,-0.00052375-0.000688i,0.00014301-0.00022739i,0.0005215+1.9825e-05i,0.00042905-0.00019492i,0.00041458+8.7968e-05i,0.00032992+0.00063891i,0.00039393+0.00047351i,-0.00021956+0.00035049i,-0.00051666+0.00071101i,-0.00034358+0.00088926i,-0.00053694+0.00044184i,-0.00092664+0.00068689i,-0.00064582+0.00023878i,-3.207e-05-0.00047669i,-0.00010395-3.7682e-05i,-0.00028812-0.00035959i,5.2052e-05-0.00064965i
0.0016882+0.00061628i,0.0021737-2.9881e-05i,0.0024573-0.00026936i,0.0023826-0.00095613i,0.0011592-0.0015322i,0.00045065-0.0014669i,0.00037839-0.00064026i,0.00026431-0.00026711i,0.00077305-0.00023497i,0.00071038-0.00011976i,0.00018659-0.00048438i,-0.00016154-0.00054455i,-0.00055394-6.0524e-05i,-0.0010168-0.00030328i,-0.00070273-7.6836e-05i,0.00014826+0.00044874i,0.00077336-0.00029681i,0.0005711-0.00069442i,1.5433e-05-0.00013482i,-0.00022917+4.0629e-05i,-0.00029623+0.00013629i,-0.00050939-0.00020308i,-0.00042914-0.00086541i
0.0002079-0.00049992i,0.00042039-0.00017694i,-0.00020911-0.0010664i,-0.00072634-0.00073333i,-0.0014135+0.00078578i,-0.0012893+0.0011868i,-0.00057072+0.0007951i,9.1736e-05+0.00015768i,0.00036603-0.00094468i,0.0005722-0.0015943i,0.0006094-0.0012639i,0.00091807-0.0010907i,0.00035771-0.00078539i,-0.00026416-0.00031816i,-0.00032443-5.8038e-05i,0.00029538+0.00012262i,0.00034382-2.7555e-05i,4.1174e-05-0.00018172i,-3.5633e-05+2.8297e-05i,-0.00039367+3.5669e-05i,-0.00022908-3.2865e-05i,-1.4664e-05-4.4502e-05i,-3.2604e-05-0.00017159i
-0.0013155+0.00058877i,-0.0013004+0.0010025i,-0.00041055+0.00028907i,0.00070568-0.0009511i,0.00098571-0.0019921i,9.1115e-05-0.0013416i,-0.00020453+4.9289e-05i,0.00029112-0.00045644i,0.00015524-0.0014244i,0.00079923-0.0017923i,0.00087201-0.0016999i,-0.00018149-0.0012527i,-0.0010544-0.00040289i,-0.0011876+0.00030694i,-0.00028111+0.00068121i,0.00021703+0.00070367i,0.00040889+0.00042018i,0.00052427+0.00062777i,0.00067859+0.00057292i,0.00045012-0.00017331i,-0.00027772-0.00058363i,-0.00035187-0.0009258i,-4.5619e-05-0.0014224i
0.0015788-0.00064099i,0.0017495-0.0011755i,0.0020634-0.0011761i,0.0018038-0.0011117i,0.00081642-0.0015801i,-0.00045582-0.0016031i,-0.00036834-0.00044295i,0.00057662+0.00091096i,0.00085728+0.00090889i,0.00034222+6.4044e-06i,-0.000177-0.00072057i,-0.00063657-0.00045689i,-0.00025869-4.446e-05i,4.5393e-05-9.9641e-05i,0.0001406+6.61e-05i,0.00051937+0.00011266i,0.00039986+0.00079368i,0.0002724+0.0006784i,0.00057288-8.628e-06i,0.000343-8.0896e-06i,-0.00071204-0.00025147i,-0.0011379-0.00051811i,-0.00114-0.00077581i
0.00029298+0.00050614i,0.001342+0.0010725i,0.0020482+8.8836e-05i,0.0021746-0.0010536i,0.0010287-0.0015844i,-0.00051126-0.0013146i,-0.0011149-0.0004471i,-0.00087671-0.00030709i,-0.00012967-0.00045872i,0.00059532-0.00032415i,2.3587e-05+0.00028163i,-0.00042485+0.000292i,0.00010356+0.00052967i,0.00012602+0.00070155i,-0.00046754+6.7061e-05i,-0.00097204+0.00010409i,-0.00094539+0.00054843i,-0.00053746+0.00060798i,-3.8998e-05+0.00084045i,0.00015981+0.00032706i,-0.00034732-0.0008987i,2.6645e-05-0.0011137i,0.00040402-0.0010349i
-0.00047846-0.00086086i,-0.00030891-0.0015574i,-0.00020855-0.0019204i,-3.0179e-05-0.001661i,0.00070725-0.0013087i,0.00064883+9.7964e-05i,0.00052034+0.0010992i,0.00073706+0.0002883i,2.4586e-05-0.00036475i,-0.00025377-4.0368e-06i,-9.0759e-05+0.00041002i,-0.00062389-5.0203e-05i,-0.00047496+0.00020876i,-0.0004587+0.00034562i,-0.00079116-0.00042732i,-0.00052333-0.00015865i,-0.00021077+0.00085738i,-0.0003405+0.00084542i,-0.00082132-0.00029182i,-0.00027528-0.00052578i,0.00045734-0.00033749i,0.00048303-0.00049259i,0.00029546-5.7823e-05i
-7.7708e-05+0.00060574i,5.8898e-05-0.00072229i,0.00046705-0.0012667i,0.00076306-0.001641i,0.00091107-0.0020762i,0.00044258-0.0012046i,0.00034369+0.00038109i,0.00095913+0.00052111i,0.0014092+0.00035423i,0.0012565-0.00011167i,0.00067149-0.00066498i,-1.3501e-05-0.0010188i,-0.00032578-0.00075884i,-0.00063173-4.5464e-05i,-0.00057897-3.1141e-05i,-9.5798e-05-0.0002213i,0.00092473+0.00048048i,0.0012191+0.0013131i,0.00030168+0.00074472i,-0.0001911+0.00013749i,0.00035122+0.00066481i,0.00068788+0.00023072i,0.00025265-0.0004278i
0.00092075+0.0013847i,0.0011092+0.0011688i,0.0019803+0.00089165i,0.0022186-0.00058177i,0.0024534-0.0020604i,0.0014078-0.0015147i,1.8471e-05-0.00069412i,0.00059943-0.00024788i,0.0010984-0.00024322i,0.00086579-0.0013244i,0.0011649-0.0020998i,0.00088336-0.001842i,-0.00024888-0.0013414i,-0.0012499-0.00047252i,-0.00082247+0.000306i,7.3133e-05+0.00047578i,0.0004116-0.00032931i,0.00082664-0.00055209i,0.00099461-5.1531e-05i,0.00058116+0.00026942i,0.00012008-0.00020161i,-0.00026495-0.00038797i,-0.00062273-0.00054551i
-0.001604+0.0028838i,-0.0005246+0.0015313i,0.00094908+0.0012623i,0.0018726+0.0006373i,0.0016919-0.00026696i,0.00057804-0.00032056i,-0.00067294-0.00047613i,-0.001184-0.00027979i,-0.00064761+0.00084183i,0.00017499+0.0013795i,0.00043107+0.00078676i,9.8764e-05+0.00027211i,-0.00019315-0.00022661i,7.5838e-05-0.0007482i,0.00048239-0.00036351i,0.00079551-7.2823e-05i,0.00067646-0.00011803i,6.9062e-05+0.00039047i,-0.00067395+0.0011074i,-0.0014038+0.00063708i,-0.00042233-0.00032214i,0.00027632-0.00073877i,-0.00084774-0.00017962i
0.00050154+0.0020765i,0.00037581+0.0023975i,0.00086173+0.0023127i,0.0017482+0.00025604i,0.0018302-0.0016082i,0.00035765-0.0024916i,-0.0010479-0.001345i,-0.0010577+0.00033217i,-0.00072607+0.001302i,-0.00052548+0.001319i,-0.00090591+0.0010331i,-0.0014569+0.0003168i,-0.0010621-0.00033675i,-0.00062457-0.00010004i,0.00020818+0.00084752i,0.00083929+0.0014358i,0.00020521+0.0013744i,-0.00073545+0.00072546i,-0.00083372+0.00045346i,-0.00060428+0.00035527i,-0.00065742-0.00026071i,-0.0011836-0.0006433i,-0.0010281-0.00020101i
0.0020303-0.000164i,0.0025149-0.00089377i,0.0033565-0.0010647i,0.002347-0.0017538i,0.0015124-0.0020193i,0.00027128-0.00076663i,-0.00071831+0.00090028i,-0.00059659+0.0011992i,-0.00054623+5.6181e-05i,-0.0012047-0.00050154i,-0.00077944-0.00034268i,-0.00030962+0.00014113i,-0.00033005-5.4792e-06i,0.00053769+6.2311e-05i,0.00093748+0.00027248i,0.0015895+0.00061797i,0.0017256+0.00098563i,0.00014356+0.00051961i,-0.00063334+0.00023659i,0.00030006+0.00073943i,0.00088583+0.00090575i,-4.1888e-05+0.00049527i,-0.00077521-0.00021621i
-0.00065657-0.00075212i,-0.00067589-0.0021246i,-0.00041824-0.0030999i,5.9881e-05-0.0026591i,0.00019814-0.00077544i,3.1882e-05+0.00066715i,0.00014152+0.0011771i,9.5843e-05+0.0011378i,0.00013474+0.00087074i,0.00063882+0.00072429i,0.00036413+0.00038984i,0.00047245-0.00047966i,0.00066611-0.00013217i,8.6659e-05-0.00023432i,0.00017283-0.0011079i,-4.023e-05-0.00083329i,-0.0006852-0.00018797i,-0.00079418+0.00014676i,-0.00082552-0.00034343i,-0.0002564-0.00072082i,4.5454e-05-5.2008e-05i,-0.00054406-0.00036454i,2.7297e-05-0.00013767i
-0.00079855+7.3572e-05i,-0.00026613+0.00041649i,0.00017947+0.0008839i,0.00035022-5.5096e-05i,0.0002959-0.00035949i,-0.00027047+0.00018884i,-0.00039479+0.00013154i,0.0005076-0.00039518i,0.0015686-0.00067959i,0.0013021-0.0006278i,0.0011052-0.00059907i,0.00089919-0.00059966i,-0.00042599-0.00048032i,-0.0010603-0.00071334i,-0.00038719-0.00058899i,0.00048369+4.3052e-06i,0.00088654+0.00029791i,0.00048229+0.00018354i,0.00036997-0.00027927i,0.00035845-0.00082924i,-7.5885e-05-0.00061752i,9.1649e-05-0.0004256i,0.00028139-0.00034477i
0.00017974-0.0024601i,1.9268e-05-0.0023053i,-0.00017708-0.0021017i,-0.00025242-0.0017159i,0.0002089-0.0013211i,0.00054937-0.00025028i,0.0005223+0.0016456i,0.00089999+0.0010195i,0.00045244-0.00025732i,-0.00014935-0.00053952i,0.00049299-0.0005828i,0.00049662-0.00044467i,-6.9163e-06-0.0010617i,0.00025349-0.0010619i,0.00051422-0.00067658i,0.00052548-0.00071764i,0.00084002-8.3228e-05i,0.00079557-0.00017298i,0.00010404-0.0002087i,-0.00039128+0.00017186i,-8.4651e-05+2.7663e-05i,0.00074276-0.00012258i,0.00022735+0.00015473i
0.00058159+0.0017949i,0.00086336+0.0019294i,0.0015256+0.001354i,0.001705-0.0003303i,0.0011621-0.00075909i,-0.00014213-9.7907e-05i,-0.0003394+0.00024568i,0.00049068-0.00028762i,0.00064748-0.00091836i,0.00042029-0.0013375i,0.00012641-0.0014957i,-0.0011669-0.0010741i,-0.0018163-0.00077678i,-0.00095281-7.007e-05i,-8.652e-05+0.00032139i,-0.0001957+0.0003358i,-0.00055014+0.00037392i,-0.00051609-0.00020909i,-0.00078665+6.2385e-05i,-0.00057156+0.00040683i,0.00033077-0.00011518i,0.00069614+0.00054345i,0.00087481+0.0008351i
-0.00055091-0.00073913i,-0.00025876-0.0010209i,-0.00049477-0.0016671i,-0.00048255-0.0014799i,-0.00036904-0.0011127i,-0.0007581-0.00072432i,-0.00031922+0.00013929i,-7.1484e-05+0.00036864i,-0.00075213-0.00022297i,-0.0005152-0.0001564i,-0.00028574+0.00017154i,-0.00083516-0.00051269i,-0.00052413-0.0008889i,0.00055907-0.00057498i,0.00058267-0.00014185i,4.4674e-06+0.00032851i,-0.00032019+0.00071515i,-0.00033788+0.00068525i,-0.00085612+0.00047377i,-0.00065735+7.6627e-05i,0.00070707-1.5119e-05i,7.914e-05+0.0007407i,-0.00084644+0.001435i
0.00029019-0.00064304i,-4.5654e-05-0.0014955i,0.00019151-0.0018019i,0.0010615-0.0010499i,0.0012385-0.00074632i,0.0011616+5.0159e-05i,0.00012728+0.00096115i,-3.3207e-05+0.00051225i,0.0010084-0.00010954i,0.001322+0.00032896i,0.0018561+0.0013052i,0.0018075+0.0010548i,0.00090034+0.00056721i,0.00051944+0.00077191i,5.002e-05+0.00066483i,-0.0002741-0.00015017i,-0.00015104-0.00079679i,-0.00052728-0.0004842i,-0.00073521+8.4765e-05i,-0.0004952+0.00048244i,0.000477+0.00018813i,0.001121-0.00051923i,0.0006082-0.00021527i
0.0014573+0.0015842i,0.0010183+0.0015694i,0.0010851+0.00063584i,0.001552-3.0262e-05i,0.0010252-0.00064974i,-0.00073034-0.00085416i,-0.00097197-0.00047617i,-0.00011287-0.00043842i,0.00065581+0.00015983i,0.0010666+0.0011099i,0.00023438+0.0010793i,-0.00032744+0.00032433i,-0.00094622-0.00023145i,-0.0015166-0.00071848i,-0.00060687-0.00076185i,0.00016293-0.00044332i,8.3766e-05-0.00048278i,3.4118e-05-0.00046335i,0.00028929-0.00026251i,0.00029281-0.00029058i,0.00024824-0.00080896i,0.00032339-0.00089963i,-0.00013992+0.00010645i
0.00098661-0.00027252i,0.0012491-0.00091805i,0.0014529-0.0019018i,0.001362-0.0022964i,0.00030104-0.0013946i,-0.00078425-0.00051169i,-0.00046822+0.00024462i,8.3442e-05+0.00025304i,0.00063194-0.00029084i,0.0011429-0.00047479i,0.00083594-0.00096579i,-2.0289e-05-0.00098206i,4.5344e-05-0.00041069i,0.00059851-8.843e-05i,0.00088594-0.00072408i,0.0010315-0.001204i,0.0013346-0.00032076i,0.0011509+0.00049965i,0.00065469+0.00020066i,-0.00018241+0.00011766i,-0.001027-0.00015381i,-0.0004424-0.00017725i,-0.00040678+5.1563e-05i
-0.0010624+0.00045091i,-0.00011294+0.00024481i,2.8805e-05-0.0015583i,-1.1259e-05-0.0017595i,0.00044863-0.0002925i,0.00048412+0.00047711i,0.00024247+0.00040691i,0.00018104+0.00055562i,0.00014466-0.00015393i,-0.00021709-0.0012849i,-0.00078436-0.001668i,-0.00075499-0.0017832i,-0.00058874-0.0015055i,-0.0010507-0.0008028i,-0.0015704-0.00084481i,-0.0016431-0.00079074i,-0.0013698-0.00036734i,-0.00069592-0.00042851i,-0.00068148+0.00074053i,-0.00035145+0.0015003i,0.00066235+0.00057499i,0.00064139-0.00022047i,-8.0392e-05-0.00053349i
0.0015202+0.001742i,0.0026481+0.00092517i,0.0034637+0.0010563i,0.003389-0.00042265i,0.00201-0.0017378i,0.00027354-0.0015741i,-0.00079557-0.00044985i,-0.00051727+0.00052839i,0.00039879+0.00025482i,0.00091529-0.00090042i,0.00065599-0.0015963i,0.00044802-0.0010969i,0.0001861-0.00015964i,-0.00027005+0.00033971i,-3.0613e-05+0.00067466i,7.8728e-05+0.00013766i,0.00018852-0.00089616i,0.0011053-0.0009048i,0.0012724-0.00021177i,0.00046969+0.00027947i,-0.00018384+0.00050959i,-0.00068064-0.00037746i,-7.4266e-05-0.0014022i
0.0018095+0.0014834i,0.0028589+0.00059555i,0.0032025+8.2189e-05i,0.0027696-0.0014412i,0.001518-0.0026946i,-0.00050392-0.0022407i,-0.0010385-0.00061029i,-0.0003275+0.0003915i,0.00018258+6.1636e-05i,0.00025313-0.00052635i,0.00065889-0.00022704i,0.00047594+0.00037461i,-0.00083721+0.00048628i,-0.0012948+0.00063146i,-0.0012795+0.00038619i,-0.00093918-5.1239e-06i,5.8097e-05-0.00012584i,0.0001986+5.2079e-05i,-0.00014799-0.00038571i,-0.00014284-0.00068626i,-0.00024328-0.00025628i,-0.00079012-3.91e-05i,-0.00072816-9.3112e-05i
-0.00012136-0.0015752i,-0.0006449-0.0013782i,-0.00046451-0.0014414i,-0.00034897-0.0012967i,8.4651e-05-0.001669i,0.00073261-0.0013719i,0.00104-0.00058242i,0.00043446+0.00014019i,-0.00029308-0.00011403i,7.4506e-05-0.0006865i,-0.00010246+0.00015457i,-0.00048859+0.00081191i,-0.00027971+0.00040828i,-0.00013841-0.00050889i,-6.1612e-05-0.00056671i,0.00055807-0.00012185i,0.00080051-0.00047747i,0.00034425-0.00081367i,-0.0001562-0.00019721i,-0.00057043+0.00032581i,-0.00035959+0.00025491i,1.7786e-05-4.1477e-05i,-9.6065e-05-0.00066014i
-0.00027868+1.7914e-06i,-0.00059761-0.0005935i,-0.00010071-0.00092986i,0.0010102-0.00095992i,0.0013527-0.0015599i,0.00020536-0.0013531i,-0.00011044+6.3977e-05i,-0.0005603-0.00010373i,-0.00048028-0.00074948i,0.00011212-0.00032416i,0.00076016-0.00051583i,0.0008868-0.0010211i,0.00041364-0.00096513i,0.00030272-0.001519i,-0.00018112-0.00072125i,-0.00043618+0.0004594i,0.00023715+0.000357i,0.0010492+0.000318i,0.0014919+0.00032445i,0.0012487+0.001104i,0.00044752+0.0010471i,0.00010171-0.00018047i,-0.00012209-0.00054828i
0.0031296+0.00082699i,0.0036592+2.5072e-05i,0.003361-0.0018497i,0.0027281-0.0025667i,0.0014168-0.0017155i,-0.00072185-0.0012105i,-0.0010609-0.00059831i,0.00010609+8.2559e-05i,0.00077128-0.00018635i,0.0016937-0.0011119i,0.0017455-0.0015588i,0.00043615-0.0016249i,-0.00020265-0.0016707i,0.00020666-0.001182i,0.0010782+9.509e-06i,0.0010698+0.00027604i,0.00064866+0.00044892i,0.00071581+0.0010202i,0.00080027+0.0011758i,0.00070961+0.00088605i,0.00012329+0.00011632i,-0.0002936-0.00013592i,-0.0004402+0.0001752i
0.0011862+0.00054271i,0.001595+5.4402e-05i,0.0024967-0.00047587i,0.0021628-0.0015946i,0.00069674-0.0021846i,-0.00042024-0.0011146i,-0.0011229+0.00014547i,-0.00077907+0.000577i,0.00089063+0.00037544i,0.0018664-0.00076857i,0.0014722-0.0018147i,0.00040342-0.0016967i,-0.00026981-0.001153i,-0.00021317-0.00076196i,0.00057103-0.00064839i,0.00082021-0.00017106i,0.00025632+0.00026108i,-5.793e-05+0.00024458i,-0.00016246+0.0006566i,-0.00033529+0.0013474i,-0.00044888+0.00088341i,-5.2474e-05+4.4029e-08i,-0.00028746-3.3714e-05i
-0.00084616+0.00067465i,-0.00038822-0.0004816i,0.00037311-0.0010346i,0.0017115-0.0006798i,0.0021178-0.00045481i,0.0011315-0.00088322i,6.6705e-06-0.00097696i,0.00034446-0.00018287i,0.00084905-3.7476e-05i,0.00023608+6.6857e-05i,-0.00057493+0.00022121i,-0.0012504+0.00014187i,-0.0015846+0.00085192i,-0.0016526+0.00135i,-0.0020516+0.00081224i,-0.0012536+2.8661e-05i,0.00025158-2.1311e-06i,0.00040588-0.00017943i,0.00012649-0.00047321i,1.2258e-05-0.00027578i,-0.00062654-0.00068937i,-0.00053089-0.00071649i,-0.00033653+0.00020159i
-0.00071813+1.1448e-07i,-0.00040149-0.00022594i,0.00035781-0.0010545i,0.0010331-0.0017941i,0.0019816-0.0020597i,0.0007655-0.0009257i,-0.0009399+0.00063933i,-0.00089582+0.00026964i,6.9892e-06-0.0012635i,0.00061622-0.0010849i,-0.00010553+0.00027431i,-0.0011716-0.00015082i,-0.00076741-0.00080366i,-0.000668-6.0297e-05i,-0.001372+0.0005477i,-0.00060696+0.0007752i,0.00049226+0.00067341i,0.00054724+6.1054e-05i,0.00013226-9.2345e-05i,-2.8595e-05-0.00056839i,0.00015468-0.00093791i,0.00019334-0.00074982i,-0.00068804-0.00073665i
-0.00019363+0.0016561i,0.00061751+0.00085662i,0.0014103+0.00053945i,0.0012742-5.2508e-05i,0.0015208-0.00038483i,0.0021849-0.00025121i,0.00061761-0.00030905i,-0.00065257-0.00056354i,-0.00024547-0.00055373i,0.00022038-0.00045877i,0.00082933-7.6729e-05i,0.00035894-0.00022889i,-0.00075589-0.00081732i,-0.0013669-0.001201i,-0.0014388-0.00106i,-0.00076232-0.00065231i,0.00031717+0.00010617i,0.00044694+0.00073417i,-0.00046395+0.00068372i,-0.00016812+6.4859e-05i,0.00074284-0.0009487i,8.2052e-05-0.00060082i,-7.7939e-05+0.00016688i
0.0011456-0.0012088i,0.00074465-0.00066126i,0.00085107-0.00067044i,0.00087704-0.0011781i,6.767e-05-0.00095522i,-6.7737e-05+0.00025019i,-0.00041116+0.0011585i,-0.00026998+0.00030417i,0.001077-0.00056052i,0.0012494-3.0604e-05i,0.0016618+0.00012396i,0.0017358-0.00064716i,0.0011153-0.00085299i,0.00022354-0.00072621i,0.00031066-0.00076781i,0.0010237-0.00018679i,0.00078509-0.0002217i,0.00020234-0.00014746i,-0.00030386+0.00058025i,0.00026492+0.00035375i,0.00071647+5.3507e-05i,0.00072861-9.882e-05i,0.00035812+0.00027649i
